abstract-region;['produkt', 'produkt i matematikk'];Resultatet av multiplikasjon
functional-matter;['glukokortikoid'];Klasse av kortikosteroid
functional-matter;['bakterieklorofyll'];Kjemisk sambinding
functional-matter;['sulfadiazin'];Kjemisk sambinding
functional-matter;['minosyklin', 'minocyklin'];Kjemisk sambinding
functional-matter;['sirup'];tjuktflytande sukkerløysning
functional-matter;['sulfacetamid'];Kjemisk sambinding
functional-matter;['mefenytoin'];Kjemisk sambinding
functional-matter;['oksazepam'];Kjemisk sambinding
functional-matter;['minoksidil'];Kjemisk sambinding
functional-matter;['fenacetin'];Kjemisk sambinding
functional-matter;['benzokain'];Kjemisk sambinding
functional-matter;['sekobarbital', 'secobarbital'];Kjemisk sambinding
functional-matter;['litiumkarbonat', 'li2co3', 'li₂co₃'];Kjemisk sambinding
functional-matter;['klortetrasyklin', 'klortetracyklin'];Kjemisk sambinding
functional-matter;['oksytetrasyklin', 'oksytetracyklin'];Kjemisk sambinding
functional-matter;['morene'];Denne artikkelen handlar om morene.
functional-matter;['lindan', 'gammaheksaklorsykloheksan', 'γ-heksaklorsykloheksan'];Kjemisk sambinding
functional-matter;['klorambucil'];Kjemisk sambinding
functional-matter;['nikotin', '(-)-nikotin', '(s)-nikotin'];Kjemisk sambinding
functional-matter;['nikotin', '(-)-nikotin', '(s)-nikotin'];kjemisk sambinding
functional-matter;['nandrolon'];Kjemisk sambinding
functional-matter;['ikkje-steroid antiinflammatorisk middel', 'nsaid'];Legemiddelgruppe
functional-matter;['nitrofurantoin'];Kjemisk sambinding
functional-matter;['amoksicillin'];Kjemisk sambinding
functional-matter;['aztreonam'];Kjemisk sambinding
functional-matter;['vankomycin', 'vancomycin'];Kjemisk sambinding
functional-matter;['tetrasyklin', 'tetracyklin'];Kjemisk sambinding
functional-matter;['doksysyklin', 'doksycyklin'];Kjemisk sambinding
functional-matter;['gentamicin'];Kjemisk sambinding
functional-matter;['klorokin'];Legemiddel til behandling og førebygging av alle typar malaria, med unntak av klorokinresistent falciparummalaria
functional-matter;['etosuksimid'];Kjemisk sambinding
functional-matter;['metyldopa'];Kjemisk sambinding
functional-matter;['fluorouracil'];Kjemisk sambinding
functional-matter;['plikamycin'];Kjemisk sambinding
functional-matter;['vinblastin'];Kjemisk sambinding
functional-matter;['zidovudin'];Kjemisk sambinding
functional-matter;['azatioprin'];Kjemisk sambinding
functional-matter;['kloramfenikol'];Kjemisk sambinding
functional-matter;['ciprofloksacin', 'ciprofloksasin', 'ciprofloxacin'];Kjemisk sambinding
functional-matter;['aciklovir', 'acyklovir'];Kjemisk sambinding
functional-matter;['cefaleksin'];Kjemisk sambinding
functional-matter;['melfalan'];Kjemisk sambinding
functional-matter;['katekolamin'];Organisk sambinding med ein pyrokatekol og eit sidekjedeamin
functional-matter;['perca'];Fiskeslekt
functional-matter;['næringsemne', 'næringsstoff', 'fødeemne', 'føde', 'kost', 'mat'];Stoff som ein organisme treng for å veksa
functional-matter;['gryn', 'matgryn'];Avskala matkorn
functional-matter;['consomme'];Wikimedia-fleirtydingsside
functional-matter;['sulindak'];Kjemisk sambinding
functional-matter;['magesyre', 'magesaft'];Meltingsvæske i magesekken
functional-matter;['diflunisal'];Kjemisk sambinding
functional-matter;['ingrediens'];Stoff som er del av ei blanding
functional-matter;['eple'];Frukt
functional-matter;['plast', 'kunststoff', 'plastikk', 'plaststoff'];Namn på ulike kunstige og halvkunstige organiske materiale
functional-matter;['koboltblå', 'koboltblått'];Kjemisk sambinding
functional-matter;['gummi arabicum', 'arabisk gummi', 'gummi arabikum'];Kjemisk sambinding
functional-matter;['pizza'];Matrett
functional-matter;['kumjølk', 'mjølk'];mjølk av ku
functional-matter;['fenoprofen'];enantiomert par
functional-matter;['naproksen'];Kjemisk sambinding
functional-matter;['talg'];Kjemisk sambinding
functional-matter;['cefalosporin', 'cefoksitin', 'kefalosporin'];Kjemisk sambinding
functional-matter;['barbiturat'];Legemiddel som verkar som CNS-depressiva
functional-matter;['syltetøy', 'sylte', 'syltety'];Wikimedia-fleirtydingsside
functional-matter;['koks'];karbonrikt brennstoff av kol
functional-matter;['nabumeton'];Kjemisk sambinding
functional-matter;['camembert', 'camembertost'];Halvmjuk og kremete kvitmuggost med opphav i Camembert, Frankrike
functional-matter;['østrogen'];Primært kjønnshormon hos kvinner
functional-matter;['ampicillin'];Kjemisk sambinding
functional-matter;['pasta'];Matrett
functional-matter;['brisling', 'sprattus sprattus'];fiskeart
functional-matter;['bolle'];Bakverk laga av gjærdeig
functional-matter;['kremost'];Mild smøreost med høgt innhald av feitt
functional-matter;['maissirup'];sirup framstilt av maisstivelse
functional-matter;['dorema'];Planteslekt
functional-matter;['cytoplasma', 'celleplasma'];del av celle mellom cellekjerne og cellemembran
functional-matter;['tolmetin'];Kjemisk sambinding
functional-matter;['bøttepapir'];handlaga papir
geographical-object;['hav', 'sjø', 'havet', 'urhav'];Stor saltvasslekam
geographical-object;['oseania', 'oceania'];Den minste av dei sju verdsdelane
geographical-object;['amazonaselva', 'amazonas-elva', 'amazonas-floden', 'río amazonas'];Elv i Sør-Amerika
geographical-object;['austersjøen', 'austersjöen', 'baltarhavet', 'balterhavet', 'det baltiske hav', 'det baltiske havet', 'mare suebicum', 'östersjöen', 'östersjön', 'østersjøen'];Innhav som inneheld brakkvatn
geographical-object;['shetlandsøyane', 'shetlandsøyene', 'hjaltland', 'hjaltlandsøyane', 'shetland', 'sjetland', 'sjetlandsøyane'];øygruppe nord for Skottland
geographical-object;['ny-caledonia', 'new caledonia', 'nouvelle-caledonie', 'nouvelle-calédonie', 'nouvelle caledonie', 'nouvelle calédonie', 'ny-calédonia', 'ny-kaledonia', 'ny caledonia', 'ny kaledonia', 'nycaledonia', 'nykaledonia'];Wikimedia-kategori
geographical-object;['martinique'];Franske departement
geographical-object;['nilen', 'nilen i egypt'];elv i Afrika
information-encoding-system;['dramakomedie', 'dramatisk komedie', 'komediedrama', 'komisk drama'];sjanger innan teater, film og fjernsyn
information-encoding-system;['pleonasme'];Språkleg verkemiddel
information-object;['typografisk ellipse', 'ellipse', 'utelatingsteikn', '...', 'ellipseteikn'];Serie av prikkar som typografisk markering av at noko er utelate
information-object;['makron', 'ˉ'];diakritisk teikn
information-object;['kappa', 'κ'];Bokstav i det greske alfabetet
information-object;['my', 'μ'];Bokstav i det greske alfabetet
information-object;['ny', 'ν', 'νy'];bokstav i det greske alfabetet
information-object;['ksi', 'ξ', 'xi'];Bokstav i det greske alfabetet
information-object;['omikron', 'ο'];Bokstav i det greske alfabetet
information-object;['pi', 'bokstaven pi', 'π', 'p'];bokstav i det greske alfabetet
information-object;['rho', 'ρ', 'ϱ'];Bokstav i det greske alfabetet
information-object;['sigma', 'σ', 'ς'];Bokstav i det greske alfabetet
information-object;['tau', 'bokstaven tau', 'τ'];Bokstav i det greske alfabetet
information-object;['alfa', 'α', 'a'];Bokstav i det greske alfabetet
information-object;['ypsilon', 'υ'];Bokstav i det greske alfabetet
information-object;['reshmonu'];Malaysisk songar
information-object;['fi', 'φ', 'phi'];Bokstav i det greske alfabetet
information-object;['khi', 'χ'];Bokstav i det greske alfabetet
information-object;['psi', 'ψ'];Bokstav i det greske alfabetet
information-object;['beta', 'β', 'b'];Bokstav i det greske alfabetet
information-object;['epsilon', 'ε', 'e'];Bokstav i det greske alfabetet
information-object;['zeta', 'ζ'];Bokstav i det greske alfabetet
information-object;['eta', 'η'];Bokstav i det greske alfabetet
information-object;['iota', 'ι', 'jot', 'jota'];Bokstav i det greske alfabetet
information-object;['leksikalsk element', 'leksikalsk eining'];Element av eit leksikon
information-object;['omega', 'ω'];Bokstav i det greske alfabetet
information-realization;['domarane', 'dommerne'];Syvende bok i Bibelen, omfatter 21 kapitler
information-realization;['rondo', 'rondeau'];Wikimedia-fleirtydingsside
information-realization;['musikal'];Musikkteaterform
information-realization;['leksikon', 'ensyklopedi', 'encyklopedi'];Type oppslagsverk
information-realization;['dos', 'disk operating system'];Operativsystem
information-realization;['fjerde mosebok', '4. mosebok', '4. mos.', '4.mos.'];Fjerde bok i Det gamle testamentet i Bibelen, fjerde bok i Toráen
information-realization;['actionfilm', 'action', 'spenningsfilm'];filmsjanger
language;['prolog'];Programmeringsspråk
language;['programmeringsspråket c', 'c'];Programmeringsspråk
language;['georgisk', 'grusisk', 'georgisk språk'];Kartvelsk språk
language;['færøysk', 'færøysk språk', 'færøyisk'];Nordgermansk språk som blir tala i Færøyane
language;['norsk', 'norsk språk', 'det norske språket'];Nordgermansk språk som blir tala i Noreg
language;['dansk', 'da', 'dan', 'da.', 'dansk språk'];Nordgermansk språk som blir tala i Danmark
language;['islandsk', 'isl.', 'islandsk språk', 'islendsk', 'islendsk språk'];Nordgermansk språk som blir tala i Island
language;['svensk', 'svensk språk', 'svenska'];Nordisk språk som blir tala i Sverige
language;['pasjto', 'pashto', 'afghansk', 'pakhto', 'pashtu', 'pushtu'];Språk
language;['gammalengelsk', 'gamalengelsk', 'angelsaksisk', 'gammalengelsk språk', 'gammelengelsk'];Vestgermansk språk
language;['mellomhøgtysk', 'middelhøgtysk'];Omgrep for dei høgtyske dialektane som var i bruk mellom 1050 og 1350
language;['nynorsk', 'norsk', 'nn', 'norsk nynorsk', 'norsk mål', 'norskt mål', 'nynorsk språk'];Ein offisiell skriftstandard av norsk
language;['irsk', 'irsk språk', 'det irske språket', 'irsk-gælisk', 'irsk-gælisk språk', 'irsk gælisk', 'irsk gælisk språk'];Språk som blir tala i Irland
language;['amharisk', 'amharisk språk'];Språk
language;['gamalfransk', 'gammalfransk'];Romansk språk
language;['norrønt', 'oldnordisk', 'gammalnordisk', 'gno.', 'norr.', 'norrøn', 'norrønn', 'norrønt språk', 'gammelnorsk/gammalnorsk'];Nordgermansk språk
language;['nygresk'];språk
language;['gujarati', 'gujaratisk språk'];Språk
language;['persisk', 'farsi', 'det persiske språket', 'farsi språk', 'farsisk språk', 'fârsi', 'persisk språk'];Iransk språk
language;['swahili'];bantuspråk
language;['nordgermansk', 'nordgermanske språk', 'nordisk', 'nordisk språk', 'nordiske språk'];språkgrein till indoeuropeisk som er snakka hovudsakleg i Nord-Europa
language;['estisk', 'estisk språk'];Austersjøfinsk språk
language;['ungarsk', 'magyar', 'ungarsk språk'];Språk
language;['latvisk', 'lettisk', 'latvisk språk'];Språk
language;['spansk', 'kastiljansk', 'kastiljansk språk', 'spansk språk'];Romansk språk
language;['polsk', 'polsk språk', 'polski', 'polszczyzna'];Vestslavisk språk
language;['tsjekkisk', 'tsjekkisk språk', 'čeština'];Vestslavisk språk
language;['tysk', 'høgtysk', 'tysk språk', 'de', 'deutsch', 'hochdeutsch', 'høgtyske språk', 'ty.'];Vestgermansk språk
language;['nederlandsk', 'nederlandsk språk', 'nl', 'ndl.', 'nederlands'];Vestgermansk språk
locative-role;['firenze', 'florence', 'florens', 'florenz', 'florientia'];Kommune i Italia
locative-role;['wrocław', 'breslau', 'vratislav', 'vratislavia', 'vroclavas', 'wratislavia', 'wroclaw'];By i Polen
locative-role;['perm'];By i Russland
locative-role;['volgograd', 'tsaritsyn'];By i Russland
locative-role;['st. petersburg', 'leningrad', 'petrograd', 'sankt petersburg', 'st.petersburg', 'санкт-петербу́рг'];Sovjetisk storby
locative-role;['pisa'];Kommune i Italia
locative-role;['padova', 'padua', 'patavium'];Kommune i Italia
locative-role;['mayenne'];Franske departement
locative-role;['tanganyika'];Tidlegare land i Aust-Afrika
locative-role;['trondheim', 'nidaros', 'bartebyen', 'råante', 'tettstaden trondheim', 'trondheimar', 'trondheimer', 'trondhjem', 'trønderhovudstaden'];By i Trøndelag
locative-role;['bergen', 'tettstaden bergen', 'bergen by', 'bergen sentrum'];By i Vestland
locative-role;['genova', 'genoa', 'genua', 'génova', 'gênes', 'xénova', 'zena'];Kommune i Italia
locative-role;['vladivostok', 'владивосток'];By i Russland
locative-role;['kyrkjegard', 'gravlund', 'gravplass', 'kirkegård'];Plass for begravning
locative-role;['martinique'];Franske departement
locative-role;['det nære austen', 'midtausten', 'den nære austen', 'midt-austen', 'fram-asia', 'framasia', 'midtøsten', 'nære austen'];Geografisk område som strekkjer seg over store delar av Vest-Asia og Egypt
locative-role;['milano', 'milan'];Kommune i Italia
non-agentive-physical-object;['bukse', 'brok', 'buksa', 'bukser'];Kledeplagg
non-agentive-physical-object;['hjulkloss', 'hjulklossar'];Kile brukt for å stoppa hjul frå å rulla
non-agentive-physical-object;['figur', 'heraldisk figur', 'heroldsfigur'];Heraldisk motiv
non-agentive-physical-object;['vasspipe', 'vannledning', 'vannpipe', 'vasspipa'];Vannrør
non-agentive-physical-object;['frekne', 'frekner'];Pigmentmerke
non-agentive-physical-object;['karabinar', 'sporring', 'karabinkrok'];Type låsring
non-agentive-physical-object;['hatt', 'chapeau'];Hovudplagg
non-physical-collection;['data'];Handsamlege fakta
non-physical-collection;['ordforråd', 'ordtilfang', 'leksikon', 'vokabular'];Katalog over ordtilfanget i eit språk
non-physical-collection;['omgrep', 'filosofisk omgrep', 'førestilling', 'konsept'];Idé om eller mental representasjon av eit abstrakt objekt eller fenomen
non-physical-collection;['naturalisme'];Filosofiske retningar som hevdar at det berre er naturlovene, og ikkje noko anna, som styrer universet.
non-physical-collection;['kristendommen', 'kristendom', 'den kristne religionen', 'kristen religion', 'kristen tru', 'kristendomen', 'kristentru', 'kristentrua', 'kristentrui', 'kristi tru', 'krista tru', 'kristeleg', 'kristent'];Monoteistisk religion
non-physical-collection;['protestantisme', 'protestantisk kristendom', 'den lutherske kyrkja', 'luthersk', 'protestant', 'protestantar', 'protestantisk', 'protestantiske', 'protestantismen', 'protestantist'];Kristen trusretning
organized-collection;['data'];Handsamlege fakta
parameter;['anafylaksi', 'anafylaktisk reaksjon'];Alvorleg allergisk reaksjon
parameter;['alopesi', 'alopeci', 'håravfall', 'hårtap'];Tap av hår på hovud eller kropp
parameter;['luftforureining', 'luftureining'];(skadeleg) partikkelforureining i jordatmosfæren
phenomenon;['reaksjon', 'reaksjon i fysikk'];I fysikk
phenomenon;['gravitasjonsfelt'];Eit område der gravitasjonskrafta verkar på ein lekam
phenomenon;['biologisk prosess'];Einkvan avgrensa prosess som er relevant for funksjonen til celler, cellevev, organ eller organismar
phenomenon;['hikke', 'singultus'];Ufriviljug samantrekking av mellomgolvet
phenomenon;['katalysator', 'katalyse', 'katalytisk aktivitet', 'katalytisk prosess'];Stoff som aukar den kjemiske reaksjonsfarten
phenomenon;['katalysator', 'katalyse', 'katalytisk aktivitet', 'katalytisk prosess'];Kjemisk prosess
phenomenon;['fenomen', 'ovring', 'hending', 'oppleving'];Synleg hending
phenomenon;['aldring', 'biologisk aldring', 'biologisk elding', 'elding'];Utviklingsprosess som medfører kroppsleg forfall og funksjonstap over tid, med nedsett motstandskraft mot sjukdom, homeostase og fertilitet
phenomenon;['nedbør', 'nedburd'];Vatn som fell frå himmelen
phenomenon;['kaldbrann', 'nekrose', 'gangren', 'vevsdød'];Prematur celledød
phenomenon;['celledød', 'selledød'];Einkvan biologisk prosess som fører med seg permanent opphøyr i livsviktige cellefunksjonar
phenomenon;['blodtrykk'];Trykk ytt av blodomlaupet på innerveggen av blodårer
phenomenon;['kjemisk syntese', 'syntese'];Teknikk i kjemi
physical-body;['tau-lepton', 'partikkelen tau', 'τ-lepton'];Ladd elementærpartikkel
physical-body;['pion', 'pi-meson', 'π-meson'];Det lettaste mesonet
physical-body;['hydrogenion'];Wikimedia-fleirtydingsside
physical-body;['myon'];Elementærpartikkel
physical-body;['inklusjonslekam'];Avgrensa del av celleindret der det har hopa seg opp molekyl i form av protein eller andre biopolymerar
physical-body;['autosom', 'somatisk kromosom'];Eitkvart kromosom som ikkje er eit kjønnskromosom
physical-body;['kosmos', 'universet', 'allheimen', 'rommet', 'verdsrommet', 'akselererande univers', 'allheim', 'univers', 'verdensrommet', 'jord', 'jordklode', 'jordklote', 'jordkule', 'verd'];Alt som eksisterer, derfor all fysisk masse og energi, planetar, stjerner, galaksar, og alt i det intergalaktiske rommet
physical-body;['jorda', 'jord', 'klode', 'jorden', 'jordi', 'planeten jorda', 'planeten jorden', 'planeten jordi', 'planeten tellus', 'planeten terra', 'tellus', 'terra', 'den blå planet', 'den blå planeten', 'verda', 'verden', 'jordklode', 'jordklote', 'jordkule', 'verd'];Tredje planeten frå sola. einaste kjende planeten med liv
physical-body;['mars', 'planeten mars', '♂'];Fjerde planeten frå sola
physical-body;['aldebaran', 'alfa tauri'];Raud kjempe
physical-body;['io', 'jupitermånen io', 'månen io'];Jupitermåne
physical-body;['ceres', 'dvergplaneten ceres', '(1) ceres', '1 ceres', 'ceres i astronomi'];Dvergplanet
physical-body;['merkur', 'planeten merkur'];Planeten nærast sola
physical-endurant;['entitet', 'entity', 'eining', 'einskildting', 'enkeltting', 'gjenstand', 'ting'];Noko som eksisterer
physical-object;['gravhaug', 'hauggrav', 'gravhaugar'];gravplass og gravskikk
physical-object;['bukse', 'brok', 'buksa', 'bukser'];Kledeplagg
physical-object;['vassflaske'];flaske som inneheld vatn
physical-object;['gangbru', 'fotgjengarbru'];bru for fotgjengarar
physical-object;['erlenmeyerkolbe', 'ristekolbe', 'titrerkolbe', 'e-kolbe', 'rystekolbe', 'rørekolbe', 'titreringskolbe'];konisk kolbe med sylindrisk hals
physical-object;['sikring', 'grepssikring'];Type sikringsmekanisme på skytevåpen som kan hindra utilsikta avfyring
physical-object;['sikring', 'grepssikring'];Mekanisme på skytevåpen som kan hindra utilsikta avfyring
physical-object;['bunsenbrennar'];Laboratoriereiskap som produserer ein open, einskild gassflamme
physical-object;['låskasse'];Mekanisk del som utgjer den sentrale delen i ein dørlås
physical-object;['gassmaske', 'anderettsvern'];utstyr som vernar mot inhalering av støv, damp og gass
physical-object;['augelok', 'augnelok', 'palpebra'];Tynn hudfald som dekkjer over og vernar om auget
physical-object;['surfebrett', 'brett'];Brett som nyttast til surfing
physical-object;['altartavle', 'altartavla', 'altertavla', 'altertavle'];Wikimedia-kategori
physical-object;['teaterskip'];Skip brukt som teater
physical-object;['hytte', 'hytta'];lite hus
physical-object;['diabolokule'];Ikkje-sfærisk prosjektil til luftvåpen, som regel 4.5 mm eller 5.5 mm i diameter
physical-object;['retikkel'];Eit siktepunkt for optiske sikte
physical-object;['gjæringsboks'];Reiskap til trearbeid for å sage vinklar med handsag
physical-object;['rømmar'];Roterande maskineringsverktøy brukt for å fjerne materiale. Av og til kalla roterande brotsj for å ikkje forvekslast med det som vanlegvis vert kalla brotsj (trekk-brotsj).
physical-object;['grev', 'hakke'];Jordbruksreiskap
physical-object;['university of oxford', 'oxford-universitetet', 'oxford universitet', 'universitetet i oxford', 'oxford university'];nettverksuniversitet i Oxfordshire, Storbritannia
physical-object;['slede', 'sanki'];Køyredoning på meiar
physical-object;['ambulanse', 'sjukebil'];Transportmiddel for sjuke og skadde
physical-object;['kingelvev', 'spindelvev', 'edderkoppnett', 'edderkoppspinn'];Bygnad laga av kongroar
physical-object;['instrument med frie røyrblad', 'instrument med frie tunger', 'røyrbladinstrument'];klasse av musikkinstrument
physical-object;['instrument med frie røyrblad', 'instrument med frie tunger', 'røyrbladinstrument'];klasse av instrument som lagar lyd ved at røyrblad (inkludert frie røyrblad) vibrerer
physical-object;['bru'];byggverk laga for å kryssa eit visst område
physical-object;['spegelreflekskamera'];kamera
physical-object;['hydrometer', 'areometer', 'densimeter', 'væsketettleiksmålar', 'alkoholmeter'];instrument som måler tettleik av væsker
physical-object;['spektrometer'];Instrument for måling av lyseigenskapar
physical-object;['karabinar', 'sporring', 'karabinkrok'];Type låsring
physical-object;['loft', 'bygningstypen loft'];rommet nærast taket på ei bygning
physical-object;['flaskeopnar', 'øljekk', 'ølopnar'];reiskap til å ta korkar av flasker
physical-object;['brystning', 'brystningsflate'];Innan mekanikk, kontaktflata mellom to objekt. Ofte brukt om området på eit skuehovud som direkte bærer delen som vert festa.
physical-object;['tennstempel'];Del på skytevåpen som slår på tennhetta for å antenna ei patron
physical-object;['elektrometer', 'elettrometro'];Wikimedia-fleirtydingsside
physical-object;['fartshaldar'];Teknologi som automatisk held farta til eit køyretøy
physical-object;['bb-luftvåpen'];Type luftvåpen, vanlegvis med 4.5 mm glattbora pipe, for bruk med sfæriske kuler
physical-object;['hatt', 'chapeau'];Hovudplagg
physical-object;['orgel', 'pipeorgel'];Musikkinstrument
physical-object;['klokketårn'];tårn til å hengje ringeklokker i
physical-object;['kor i arkitekturen', 'kor i arkitektur'];Wikimedia-fleirtydingsside
physical-object;['fiolin', 'fele', 'fela', 'felespelar', 'fiolinar', 'fiolinist', 'fiolinspelar', 'violin'];Strykeinstrument
physical-object;['handelsflåte', 'koffardi', 'handelsfart', 'handelsflåten', 'handelsskipsfart'];ein flåte av handelsfartøy registrert i eit spesifikt land.
physical-object;['flansch'];Wikimedia-fleirtydingsside
physical-object;['bagasje', 'ferdagogds', 'oppakning', 'reisegods'];Esker eller behaldar til å ta vare på eiendelane til ein som reiser i
physical-object;['botanisk hage', 'arboret'];samling av tre og buskar planta på friland
political-geographic-object;['greenwich'];Bydel i London
political-geographic-object;['firenze', 'florence', 'florens', 'florenz', 'florientia'];Kommune i Italia
political-geographic-object;['wrocław', 'breslau', 'vratislav', 'vratislavia', 'vroclavas', 'wratislavia', 'wroclaw'];By i Polen
political-geographic-object;['perm'];By i Russland
political-geographic-object;['volgograd', 'tsaritsyn'];By i Russland
political-geographic-object;['st. petersburg', 'leningrad', 'petrograd', 'sankt petersburg', 'st.petersburg', 'санкт-петербу́рг'];Sovjetisk storby
political-geographic-object;['pisa'];Kommune i Italia
political-geographic-object;['padova', 'padua', 'patavium'];Kommune i Italia
political-geographic-object;['noreg', 'kongeriket noreg', 'norge', 'kongedømet noreg', 'kongeriket norge', 'noregs historie', 'norig', 'norway'];Land i Nord-Europa
political-geographic-object;['sveits', 'ch', 'confœderatio helvetica', 'det sveitsiske eidsforbundet', 'konføderasjonen sveits', 'confoederatio helvetica'];Forbundsrepublikk i Vest-Europa
political-geographic-object;['storbritannia', 'det sameinte kongeriket storbritannia og nord-irland', 'det sameinte kongeriket', 'britar', 'britisk', 'det forente kongerike', 'det forente kongerike storbritannia og nord-irland', 'det sameinte kongedømet', 'det sameinte kongedømet av storbritannia og nord-irland', 'det sameinte kongedømmet', 'kongeriket storbritannia', 'storbritania', 'storbritannia og nord-irland', 'storbrittania', 'u.k.', 'uk', 'united kingdom'];Land i Europa
political-geographic-object;['swaziland', 'eswatini', 'eawatini', 'kongeriket swaziland', 'svasiland', 'svaziland', 'swasiland'];Monarki i Afrika
political-geographic-object;['tonga'];Wikimedia-listeartikkel
political-geographic-object;['austerrike', 'østerrike', 'republikken austerrike', 'austerike', 'republikken østerrike', 'österreich', 'österrike', 'østerike'];Forbundsrepublikk i det vestlege sentral-Europa
political-geographic-object;['trondheim', 'nidaros', 'bartebyen', 'råante', 'tettstaden trondheim', 'trondheimar', 'trondheimer', 'trondhjem', 'trønderhovudstaden'];By i Trøndelag
political-geographic-object;['bergen', 'tettstaden bergen', 'bergen by', 'bergen sentrum'];By i Vestland
political-geographic-object;['apartheid', 'apartheidpolitikken', 'apartheidsystemet'];Systematisk lovpålagt raseskille på alle samfunnsnivå i Sør-Afrika
political-geographic-object;['ungarn', 'magyar köztársaság', 'republikken ungarn'];Land i Aust-Europa
political-geographic-object;['tyskland', 'sambandsrepublikken tyskland', 'forbundsrepublikken tyskland', 'bundesrepublik deutschland', 'den tyske forbundsrepublikken', 'deutschland', 'germany', 'tyske'];Land i Sentral-Europa
political-geographic-object;['egypt', 'den arabiske republikken egypt', 'misr'];Land i Nord-Afrika og Sørvest-Asia
political-geographic-object;['frankrike', 'france', 'franskrike', 'r.f.', 'republikken frankrike', 'république française', 'sør-frankrike'];Land i Europa
political-geographic-object;['ecuador', 'ec', 'ecu', 'ekvator'];Land ved ekvator, nordvest i Sør-Amerika
political-geographic-object;['genova', 'genoa', 'genua', 'génova', 'gênes', 'xénova', 'zena'];Kommune i Italia
political-geographic-object;['vladivostok', 'владивосток'];By i Russland
political-geographic-object;['georgia', 'delstaten georgia', 'ga', 'georgia, usa', 'georgia i usa', 'staten georgia'];delstat i USA
political-geographic-object;['libanon', 'den libanesiske republikken', 'republikken libanon'];Land i Vest-Asia
political-geographic-object;['roma', 'den evige staden'];Kommune i Italia
political-geographic-object;['berlin'];Hovudstaden i Tyskland
political-geographic-object;['israel', 'staten israel'];Land i Midtausten
political-geographic-object;['oslo', 'osloensar', 'osloenser', 'oslokvinna', 'oslokvinne', 'oslomann', 'tettstaden oslo', 'tigerstaden'];Hovudstad og fylke i Noreg
political-geographic-object;['milano', 'milan'];Kommune i Italia
practice;['tatakelakuan'];Wikimedia-fleirtydingsside
quality;['asymmetri', 'ikkje-symmetri'];Mangel på eller opphøyr i symmetri
quality;['oransjeraud'];farge
quality;['impuls i fysikk', 'impuls', 'kraftstøyt', 'fart', 'tempo'];Kraft gonger tida krafta varer
quality;['ulikskap', 'ulikskap i matematikk', 'ulikhet i matematikk'];Matematisk ulikskap
quality;['termodynamisk temperatur', 'absolutt temperatur'];Absolutt temperaturmål
quality;['ambideksteritet', 'ambidekster', 'ambidekstrisitet', 'jamhendt', 'kapphendt', 'likehendt', 'tvihendt'];Evna til å bruke begge hendene like godt
quality;['svart'];farge
quality;['kristendommen', 'kristendom', 'den kristne religionen', 'kristen religion', 'kristen tru', 'kristendomen', 'kristentru', 'kristentrua', 'kristentrui', 'kristi tru', 'krista tru', 'kristeleg', 'kristent'];Monoteistisk religion
quality;['protestantisme', 'protestantisk kristendom', 'den lutherske kyrkja', 'luthersk', 'protestant', 'protestantar', 'protestantisk', 'protestantiske', 'protestantismen', 'protestantist'];Kristen trusretning
region;['valuta', 'mynteining', 'monetær eining', 'pengeeining', 'mynteinheit', 'valutaeining', 'valutta'];Bytemiddel for varer eller tenester
region;['tidseining', 'måleining for tid'];Måleining for tid
region;['milliradian', 'mil', 'mils', 'mrad'];Ei eining på vinkelmål brukt til skyting og avstandsvurdering
region;['coulomb', 'c'];SI eining for elektrisk lading
region;['joule', 'wattsekund', 'j', 'kilojoule', 'ws'];avleidd eining for energi i SI-systemet. ekvivalent med 1 wattsekund
region;['joule', 'wattsekund', 'j', 'kilojoule', 'ws'];måleining for energi som er ekvivalent med 1 joule
region;['elektronvolt', 'ev', 'bev', 'gev', 'mev'];måleining for energi
region;['gauss'];Måleining
region;['volt', 'v', 'mv', 'v i fysikk'];avleidd eining for spenning i SI-systemet
region;['watt', 'w', 'mw'];avleidd eining for effekt i SI-systemet
region;['pascal', 'pa', 'eininga pascal', 'hektopascal', 'hpa', 'måleenh pa.', 'n/m'];Måleining for trykk og mekanisk spenning
region;['eininga li', 'li'];Kinesisk måleining for lengd og masse
region;['halvdel', '.5', '0,5', '1/2', 'ein halv', 'halv', 'halvpart'];Fullstendig forkorta brøk
region;['cgs-systemet', 'centimeter-gram-sekund-systemet'];absolutt målesystem som bruker centimeter, gram og sekund som grunneiningar
region;['100', 'hundre', 'talet 100', 'tallet 100', 'tirøtt hundre'];Tal
region;['franc', '₣'];namn på ulike valutaeiningar
region;['ampere', 'ampère', 'a'];Grunneining for elektrisk straum
region;['meter', 'm', 'meterar', 'metrar'];SI-eining for lengd
region;['seychellisk rupi', 'sr', 'sre'];Mynteining på Seychellane
region;['talet 5', '5', 'fem', 'v', 'romartalet v', 'talet fem'];Naturleg tal
region;['talet 3', '3', 'iii', 'tre', 'talet tre', 'talet tri', 'tri'];Naturleg tal
region;['talet 2', '2', 'to', 'ii', 'talet to'];Naturleg tal
region;['talet 4', '4', 'fire', 'iv', 'talet fire'];Naturleg tal
region;['kardinaltal', 'transfinite tal'];Måleining for kardinaliteten til ei mengd
