activity;['সিনেমা'];সিনেমা অইলতা শিল্পর আরাক মেঠেল যেহাত চলমান দৃশ্য পর্দাত দৃম্যমান অয়া নিকুলের।
political-geographic-object;['আয়ারল্যান্ড'];আয়ারল্যান্ডর পুরা নাঙহান আয়ারল্যান্ড, এহান ইউরোপ মহাদেশ বারো ঔয়াঙেদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ডাবলিন।রাষ্ট্র এহানর মানুরে/নাগরিকরে আয়ারিশ ম্যান/আয়রিশ ওম্যান বুলতারা।
political-geographic-object;['মাদাগাস্কার'];মাদাগাস্কারর পুরা নাঙহান প্রজাতন্ত্রি মাদাগাস্কার, এহান আফ্রিকা মহাদেশ বারো মুঙেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ আন্টানানারিভো।রাষ্ট্র এহানর মানুরে/নাগরিকরে মাদাগাসি বুলতারা।
political-geographic-object;['মালদ্বীপ'];মালদ্বীপর পুরা নাঙহান প্রজাতন্ত্রি মালদ্বীপ, এহান এশিয়া মহাদেশ বারো খা-হমবুক এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ মালি।রাষ্ট্র এহানর মানুরে/নাগরিকরে মালদ্বীভিয়ান বুলতারা।
political-geographic-object;['এল সালভাদর'];এল সালভাদরর পুরা নাঙহান প্রজাতন্ত্রি এল সালভাদর, এহান ঔয়াং আমেরিকা মহাদেশ বারো হমবুক আমেরিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ সান সালভাদর।রাষ্ট্র এহানর মানুরে/নাগরিকরে সালভাদরিয়ান বুলতারা।
political-geographic-object;['ফিলিপাইন'];ফিলিপাইনর পুরা নাঙহান প্রজাতন্ত্রি ফিলিপাইন, এহান এশিয়া মহাদেশ বারো খা-মুঙেদের এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ মেনিলা।রাষ্ট্র এহানর মানুরে/নাগরিকরে ফিলিপিন বুলতারা।
political-geographic-object;['সেইশেল দ্বীপপুঞ্জ'];{{দেশর পৌরঝাপি | |native name = Sesel বারো Seychelles |conventional long name = প্রজাতন্ত্রি সেইশেল দ্বীপপুঞ্জ |common name = সেইশেল দ্বীপপুঞ্জ |image flag = Flag of the Seychelles.svg |image coat = Seychelles coa.png |image map = LocationSeychelles.png |national motto = |national anthem = Koste Seselwa |official languages =
political-geographic-object;['সুইডেন'];সুইডেনর পুরা নাঙহান রাজতান্ত্রিক সুইডেন, এহান ইউরোপ মহাদেশ বারো ঔয়াঙেদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ স্টকহোম।রাষ্ট্র এহানর মানুরে/নাগরিকরে সুইডে বুলতারা।
political-geographic-object;['রাজধানী'];রাজধানী বুলতে নানান রাষ্ট্রর রাজনৈতিক সুবিধারকা লেপকরিসি শহর আহানরে বুঝার।
political-geographic-object;['পুয়ের্তো রিকো'];পুয়ের্তো রিকোর পুরা নাঙহান কমনৱেলথ অফ পুয়ের্তো রিকো, এহান ঔয়াং আমেরিকা মহাদেশ বারো ক্যারিবিয়ান উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ সান হুয়ান।রাষ্ট্র এহানর মানুরে/নাগরিকরে পুয়ের্তো রিকো বুলতারা।
political-geographic-object;['লিষ্টেনষ্টাইন'];লিষ্টেনষ্টাইনর পুরা নাঙহান নৈতিক লিষ্টেনষ্টাইন, এহান ইউরোপ মহাদেশ বারো পিসেদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ভান্দুজ।রাষ্ট্র এহানর মানুরে/নাগরিকরে লিষ্টেনষ্টাইনিয়ার বুলতারা।
political-geographic-object;['এন্ডোরা'];এন্ডোরার পুরা নাঙহান নৈতিক এন্ডোরা, এহান ইউরোপ মহাদেশ বারো খায়েদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ এন্ডোরা লা ভেল্লা।রাষ্ট্র এহানর মানুরে/নাগরিকরে এন্ডোরান বুলতারা।
political-geographic-object;['টেনেসি', 'tennessee'];টেনেসি, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর খা বারার মুং-খা-হমবুক লয়া গর রাজ্য আহান.
political-geographic-object;['কেন্টাকি', 'kentucky'];কেন্টাকি, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর খা বারার মুং-খা-হমবুক লয়া গর রাজ্য আহান.
political-geographic-object;['ক্যানসাস', 'kansas'];ক্যানসাস, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর হমবুকপিছ বারার পিছ-ঔয়াং-হমবুক লয়া গর রাজ্য আহান.
political-geographic-object;['ভার্মন্ট', 'vermont'];ভার্মন্ট, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর ঔয়াং বারার নিউ ইংল্যান্ড লয়া গর রাজ্য আহান.
political-geographic-object;['ম্যাসাচুসেট্\u200cস', 'massachusetts'];ম্যাসাচুসেট্‌স, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর ঔয়াং বারার নিউ ইংল্যান্ড লয়া গর রাজ্য আহান.
political-geographic-object;['রোড আইল্যান্ড', 'rhode island'];রোড আইল্যান্ড, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর ঔয়াং বারার নিউ ইংল্যান্ড লয়া গর রাজ্য আহান.
political-geographic-object;['সাউথ ডাকোটা'];সাউথ ডাকোটা, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর হমবুকপিছ বারার পিছ-ঔয়াং-হমবুক লয়া গর রাজ্য আহান.
political-geographic-object;['আলাস্কা', 'alaska'];আলাস্কা, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর পিছ বারার প্রশান্ত লয়া গর রাজ্য আহান.
political-geographic-object;['মন্টানা', 'montana'];মন্টানা, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর পিছ বারার টেঙারা লয়া গর রাজ্য আহান.
political-geographic-object;['অরেগন', 'orégon'];অরেগন, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর পিছ বারার প্রশান্ত লয়া গর রাজ্য আহান.
political-geographic-object;['লুইসিয়ানা', 'louisiana'];লুইসিয়ানা, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর খা বারার পিছ-খা-হমবুক লয়া গর রাজ্য আহান.
political-geographic-object;['ওকলাহোমা', 'oklahoma'];ওকলাহোমা, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর খা বারার পিছ-খা-হমবুক লয়া গর রাজ্য আহান.
political-geographic-object;['আরকান্\u200cসাস', 'arkansas'];আরকান্‌সাস, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর খা বারার পিছ-খা-হমবুক লয়া গর রাজ্য আহান.
political-geographic-object;['ফ্লোরিডা', 'flórida'];ফ্লোরিডা, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর খা বারার খা আটলান্টিক লয়া গর রাজ্য আহান.
political-geographic-object;['জর্জিয়া', 'geórgia'];জর্জিয়া, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর খা বারার খা আটলান্টিক লয়া গর রাজ্য আহান.
political-geographic-object;['নর্থ ক্যারোলাইনা'];নর্থ ক্যারোলাইনা, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর খা বারার খা আটলান্টিক লয়া গর রাজ্য আহান.
political-geographic-object;['নিউ মেক্সিকো'];নিউ মেক্সিকো, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর পিছ বারার টেঙারা লয়া গর রাজ্য আহান.
political-geographic-object;['অ্যারিজোনা', 'arizona'];অ্যারিজোনা, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর পিছ বারার টেঙারা লয়া গর রাজ্য আহান.
political-geographic-object;['মিসিসিপি', 'mississíppi'];মিসিসিপি, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর খা বারার মুং-খা-হমবুক লয়া গর রাজ্য আহান.
political-geographic-object;['সাউথ ক্যারোলাইনা'];সাউথ ক্যারোলাইনা, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর খা বারার খা আটলান্টিক লয়া গর রাজ্য আহান.
political-geographic-object;['ভার্জিনিয়া'];ভার্জিনিয়া, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর খা বারার খা আটলান্টিক লয়া গর রাজ্য আহান.
political-geographic-object;['আইডাহো', 'idaho'];আইডাহো, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর পিছ বারার টেঙারা লয়া গর রাজ্য আহান.
political-geographic-object;['আলাবামা', 'alabama'];আলাবামা, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর খা বারার মুং-খা-হমবুক লয়া গর রাজ্য আহান.
political-geographic-object;['হাৱাই', 'হাওয়াই'];হাৱাই, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর পিছ বারার প্রশান্ত লয়া গর রাজ্য আহান.
political-geographic-object;['নেভাডা', 'névada'];নেভাডা, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর পিছ বারার টেঙারা লয়া গর রাজ্য আহান.
political-geographic-object;['ক্যালিফোর্নিয়া'];ক্যালিফোর্নিয়া, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর পিছ বারার প্রশান্ত লয়া গর রাজ্য আহান.
political-geographic-object;['ৱাইওমিং', 'wyoming'];ৱাইওমিং, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর পিছ বারার টেঙারা লয়া গর রাজ্য আহান.
political-geographic-object;['ইউটা', 'utah'];ইউটা, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর পিছ বারার টেঙারা লয়া গর রাজ্য আহান.
political-geographic-object;['কলোরাডো', 'colorado'];কলোরাডো, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর পিছ বারার টেঙারা লয়া গর রাজ্য আহান.
political-geographic-object;['নর্থ ডাকোটা'];নর্থ ডাকোটা, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর হমবুকপিছ বারার পিছ-ঔয়াং-হমবুক লয়া গর রাজ্য আহান.
political-geographic-object;['বিহার', 'bihâr'];বিহার ভারতর মুং লয়ার রাজ্য আহান।
political-geographic-object;['ওমান'];ওমানর পুরা নাঙহান সুলতানাত ওমান, এহান এশিয়া মহাদেশ বারো পিসেদের এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ মাসকট।রাষ্ট্র এহানর মানুরে/নাগরিকরে ওমানি বুলতারা।
political-geographic-object;['আমেরিকান সামোয়া'];আমেরিকান সামোয়ার পুরা নাঙহান টেরিটরি অফ আমেরিকান সামোয়া, এহান ওশেনিয়া মহাদেশ বারো ওশেনিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ পাগোপাগো।রাষ্ট্র এহানর মানুরে/নাগরিকরে আমেরিকান সামোয়ান বুলতারা।
political-geographic-object;['কুয়েত'];কুয়েতর পুরা নাঙহান স্টেট অব কুয়েত, এহান এশিয়া মহাদেশ বারো পিসেদের এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ কুয়েত সিটি।রাষ্ট্র এহানর মানুরে/নাগরিকরে কুয়েতি বুলতারা।
political-geographic-object;['জর্ডান', 'জর্দান'];জর্ডানর পুরা নাঙহান হাশেমিতে রাজতান্ত্রিক জর্ডান, এহান এশিয়া মহাদেশ বারো পিসেদের এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ আম্মান। রাষ্ট্র এহানর মানুরে/নাগরিকরে জর্ডানিয়ান বুলতারা।
political-geographic-object;['লেবানন'];লেবাননর পুরা নাঙহান লেবানীজ প্রজাতন্ত্র, এহান এশিয়া মহাদেশ বারো পিসেদের এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ বৈরুত।রাষ্ট্র এহানর মানুরে/নাগরিকরে লেবানিজ বুলতারা।
political-geographic-object;['ভ্যাটিকান সিটি'];ভ্যাটিকান সিটির পুরা নাঙহান পবিত্র সুমুদ্রু, এহান ইউরোপ মহাদেশ বারো খায়েদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ভ্যাটিকান সিটি।রাষ্ট্র এহানর মানুরে/নাগরিকরে ভ্যাটিকান বুলতারা।
political-geographic-object;['ফিজি'];ফিজির পুরা নাঙহান প্রজাতন্ত্রি ফিজি, এহান ওশেনিয়া মহাদেশ বারো মেলানেসিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ সুভা।রাষ্ট্র এহানর মানুরে/নাগরিকরে ফিজি আইল্যান্ডার বুলতারা।
political-geographic-object;['কেপ ভের্দ'];কেপ ভের্দর পুরা নাঙহান প্রজাতন্ত্রি কেপ ভের্দ, এহান আফ্রিকা মহাদেশ বারো পিসেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ পারাইয়া।রাষ্ট্র এহানর মানুরে/নাগরিকরে কেপ ভের্দিয়ান বুলতারা।
political-geographic-object;['সেন্ট ভিনসেন্ট বারো গ্রেনাডাইন'];{{দেশর পৌরঝাপি | |native name = Saint Vincent and the Grenadines |conventional long name = সেন্ট ভিনসেন্ট বারো গ্রেনাডাইন |common name = সেন্ট ভিনসেন্ট বারো গ্রেনাডাইন |image flag = Flag of Saint Vincent and the Grenadines.svg |image coat = St Vincent and the Grenadines coa.gif |image map = LocationSaintVincentAndtheGrenadines.png |national motto = |national anthem = St Vincent Land So Beautiful. |official languages = ইংরেজি ঠার |capital = কিংস্টন |মাপাহান = ১৩°১৫′ঔ ৬১°১২′পি |largest city = |government type = সংসদীয় গনতন্ত্র |leader title1 = রাষ্ট্রমাপু |leader name1 =
political-geographic-object;['বাহরাইন'];বাহরাইনর পুরা নাঙহান রাজতান্ত্রিক বাহরাইন, এহান এশিয়া মহাদেশ বারো পিসেদের এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ মানামা।রাষ্ট্র এহানর মানুরে/নাগরিকরে বাহরাইনিয়ান বুলতারা।
political-geographic-object;['ভানুয়াতু', 'vanuatu'];ভানুয়াতুর পুরা নাঙহান প্রজাতন্ত্রি ভানুয়াতু, এহান ওশেনিয়া মহাদেশ বারো মেলানেসিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ পোর্ট ভিলা।রাষ্ট্র এহানর মানুরে/নাগরিকরে ভানুয়াতুয়ান বুলতারা।
political-geographic-object;['কিরিবাতি', 'kiribati'];কিরিবাতির পুরা নাঙহান প্রজাতন্ত্রি কিরিবাতি, এহান ওশেনিয়া মহাদেশ বারো মাইক্রোনেশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ তারাৱা।রাষ্ট্র এহানর মানুরে/নাগরিকরে কিরিবাতিয়ান বুলতারা।
political-geographic-object;['ত্রিনিদাদ বারো টোবাগো'];ত্রিনিদাদ বারো টোবাগোর পুরা নাঙহান প্রজাতন্ত্রি ত্রিনিদাদ বারো টোবাগো, এহান খা আমেরিকা মহাদেশ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ পোর্ট অফ স্পেন।রাষ্ট্র এহানর মানুরে/নাগরিকরে ত্রিনিদাদিয়ান বুলতারা।
political-geographic-object;['আইসল্যান্ড'];আইসল্যান্ডর পুরা নাঙহান প্রজাতন্ত্রি আইসল্যান্ড, এহান ইউরোপ মহাদেশ বারো ঔয়াঙেদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ রেইকজাবিক।রাষ্ট্র এহানর মানুরে/নাগরিকরে আইসল্যান্ডার বুলতারা।
political-geographic-object;['গ্রেনাডা', 'grenada'];গ্রেনাডার পুরা নাঙহান গ্রেনাডা, এহান ঔয়াং আমেরিকা মহাদেশ বারো ক্যারিবিয়ান উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ সেন্ট জর্জ।রাষ্ট্র এহানর মানুরে/নাগরিকরে গ্রেনাডিয়ান বুলতারা।
political-geographic-object;['সাও পাউলো', 'são paulo'];সাও পাউলো, এহান ব্রাজিলর খামুঙ লয়ার সাও পাউলো রাজ্যর পৌরসভা আহান।
political-geographic-object;['বারি', 'bári'];বারি, ভারতর রাজস্থান রাজ্যর ধৌলপুর জিলার শহর বারো পৌরসভা এলাকা আগ।
political-geographic-object;['বেইজিং'];চীন দেশর রাজধানীগর নাংহান বেইজিং।
political-geographic-object;['টাইলান্ডিয়া'];টাইলান্ডিয়া, এহান ব্রাজিলর ঔয়াং লয়ার পারা রাজ্যর পৌরসভা আহান।
political-geographic-object;['ইথিওপিয়া'];ইথিওপিয়ার পুরা নাঙহান কেন্দ্রীয় গনতান্ত্রিক প্রজাতন্ত্রি ইথিওপিয়া, এহান আফ্রিকা মহাদেশ বারো মুঙেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ আদ্দিসআবাবা।রাষ্ট্র এহানর মানুরে/নাগরিকরে ইথিওপিয়ান বুলতারা।
political-geographic-object;['বেনিন'];বেনিনর পুরা নাঙহান প্রজাতন্ত্রি বেনিন, এহান আফ্রিকা মহাদেশ বারো পিসেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ পোর্ট নভো।রাষ্ট্র এহানর মানুরে/নাগরিকরে বেনিনেইস বুলতারা।
political-geographic-object;['বুর্কিনা ফাসো'];বুর্কিনা ফাসোর পুরা নাঙহান বুর্কিনা ফাসো, এহান আফ্রিকা মহাদেশ বারো পিসেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ঔয়াগাদৌগৌ।রাষ্ট্র এহানর মানুরে/নাগরিকরে বুর্কিনাবে বুলতারা।
political-geographic-object;['বাহামা'];বাহামার পুরা নাঙহান কমনৱেলথ বাহামা, এহান ঔয়াং আমেরিকা মহাদেশ বারো ক্যারিবিয়ান উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ নাসাউ।রাষ্ট্র এহানর মানুরে/নাগরিকরে বাহামিয়ান বুলতারা।
political-geographic-object;['সাঁউ তুমে বারো প্রিঁসিপি'];সাঁউ তুমে বারো প্রিঁসিপির পুরা নাঙহান গনতান্ত্রিক প্রজাতন্ত্রি সাঁউ তুমে বারো প্রিঁসিপি, এহান আফ্রিকা মহাদেশ বারো হমবুক আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ সাও টোমে।রাষ্ট্র এহানর মানুরে/নাগরিকরে সাঁউ তুমিয়ান বুলতারা।
political-geographic-object;['ইসরাইল'];ইসরাইলর পুরা নাঙহান স্টেট অব ইসরাইল, এহান এশিয়া মহাদেশ বারো পিসেদের এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ জেরুজালেম।রাষ্ট্র এহানর মানুরে/নাগরিকরে ইসরাইলি বুলতারা।
political-geographic-object;['নিউ ইয়র্ক কাউন্টি, নিউ ইয়র্ক', 'manhattan'];ইটালিক মেয়েক
political-geographic-object;['ফিনল্যান্ড'];ফিনল্যান্ডর পুরা নাঙহান প্রজাতন্ত্রি ফিনল্যান্ড, এহান ইউরোপ মহাদেশ বারো ঔয়াঙেদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ হেলসিঙ্কি।রাষ্ট্র এহানর মানুরে/নাগরিকরে ফিন বুলতারা।
political-geographic-object;['ওড়িশা', 'orissâ'];ওড়িশা বা উড়িষ্যা মুং লয়ার রাজ্য আহান।
political-geographic-object;['অসম', 'assam'];অসম, ভারতর ঔয়াং-মুং লয়ার রাজ্য আহান।
political-geographic-object;['ঢাকা', 'dhaka'];ঢাকা বাংলাদেশর জাগা আহার নাংহান। ঢাকা বাংলাদেশর রাজধানীগো। এহান সিটিকর্পোরেশন আহান বারো বিভাগ আহানৌ।
political-geographic-object;['ওসলো', 'oslo'];ওসলো, এহান নরৱের ওসলো কাউন্টির আসলেন্ডেট লয়ার/প্রভিন্সর পৌরসভা বা মিউনিসিপালিটি আহান বারো দেশহার রাজধানীগ। এহানর পুরানা নাঙহান ক্রিস্টিনা। ওসলো দেশহার হাবিত্ত ডাঙর শহরগ।
political-geographic-object;['ফ্রিটাউন', 'freetown'];শালুত চম্মেন্ত ভউস আল্লের মই ত্রèস বিএন ààààààèèèèèèéééééééééé।।।।।্্্্্্,।।।।।।।।।।।।।।।।--------০০০০০০০০০০০৮৮৮৮****&&&&????%%%%%৳৳৳৳৳%%৳৳৳৳#####@@@@@!!!!!\\\\\\\\\\/////////+++++=====¬–––¬¬¬¬¬¬¬¬¬¬¬¨¨`.°"">>>>।
political-geographic-object;['চাংৱাত ব্যাংকক'];চাংৱাত ব্যাংকক এহান থাইল্যান্ডর হমবুক লয়ার বিভাগ আহান।
political-geographic-object;['ব্রাসিলিয়া', 'brasília', 'ব্রাসইলিয়া'];ব্রাসিলিয়া, এহান ব্রাজিলর কেন্দ্রীয় রাজধানীগ বারো হমবুক-পিছ লয়ার ডিস্টিরিয় ফেডারেল রাজ্যরতাউ রাজধানীগ বারো পৌরসভা আহানউ।
political-geographic-object;['বিস্সাউ', 'bissáu'];বিস্সাউ, ভারতর রাজস্থান রাজ্যর ঝুনঝুনুন জিলার শহর বারো পৌরসভা এলাকা আগ।
political-geographic-object;['নুৱা দিল্লী'];নুৱা দিল্লী, ভারতর কেন্দ্রশাসিত অঞ্চল ন্যাশনাল ক্যাপিটাল টেরিটোরি অফ দিল্লীর নুৱা দিল্লী-হমবুক-খা পিছ বারো খা জিলার শহর আগ।
political-geographic-object;['ৱেলিংটন', 'wellington'];ৱেলিংটন, ভারতর তামিল নাড়ু রাজ্যর নীলগিরি জিলার শহর আগ।
political-geographic-object;['ভালপারাইসো', 'valparaiso'];ভালপারাইসো
political-geographic-object;['রিও ডি জেনিরো', 'rio de janeiro'];রিও ডি জেনিরো, এহান ব্রাজিলর খামুঙ লয়ার রাজ্য আহান।
political-geographic-object;['ফিলাডেলফিয়া'];ফিলাডেলফিয়া, এহান ব্রাজিলর ঔয়াংমুঙ লয়ার বাহিয়া রাজ্যর পৌরসভা আহান।
political-geographic-object;['ব্রাজিল'];ব্রাজিলর পুরা নাঙহান কেন্দ্রীয় প্রজাতন্ত্রি ব্রাজিল, এহান খা আমেরিকা মহাদেশ বারো খা আমেরিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ব্রাসিলিয়া।রাষ্ট্র এহানর মানুরে/নাগরিকরে ব্রাজিলিয়ান বুলতারা।
political-geographic-object;['কোরিনটো'];কোরিনটো, এহান ব্রাজিলর খামুঙ লয়ার মিনাস জেরায়িস রাজ্যর পৌরসভা আহান।
political-geographic-object;['টেক্সাস', 'téxas'];টেক্সাস, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর খা বারার পিছ-খা-হমবুক লয়া গর রাজ্য আহান.
political-geographic-object;['ডেনভার কাউন্টি, কলোরাডো', 'ডেনভার কাউন্টি', 'denver'];ডেনভার কাউন্টি, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর পিছ বারার টেঙারা লয়াগর কলোরাডো ষ্টেইট/রাজ্যর কাউন্টি আহান।
political-geographic-object;['দেশ'];ৱাইসাংপা দেশর তালিকাহান
quality;['হিন্দু লিচেত'];হিন্দু ধর্ম বা সনাতন ধর্ম, বিশ্বর মুরুসি লিচেত অতার মা অন্যতম। ভারতীয় উপমহাদেশে নিকুলেসে এরে লিচেত এহানর অনুসারী অতা এবাকা খা এশিয়া, খা-মুং এশিয়া বাদেউ বিশ্বর আবকচা জাগাত সালুইয়া আসি। আস্তা বিশ্বহাত ১০০ কোটির চুৱা হিন্দু আসি। ভারতর মা ৮৯০ লক্ষ হিন্দু থাইতারা। আর ডাঙর হিন্দু লিচেতর মানু এরে দেশ এহানিত থাইতারা: নেপাল, বাংলাদেশ, পাকিস্তান, শ্রীলঙ্কা, ভুটান, মায়ানমার, ইন্দোনেশিয়া, মালয়েশিয়া, সিঙ্গাপুর, খা আফ্রিকা, কেনিয়া, উগান্ডা, মরিশাস, সৌদি আরব, তিলপা আরব আমিরাত, ইয়েমেন, ফিজি, গায়েনা, সুরিনাম, ত্রিনিদাদ বারো টোবাগো, নেদারল্যান্ড, তিলপারাজ্য, কানাডা বারো তিলপারাষ্ট্র।
quality;['ধর্ম'];ধর্ম বা লিচেত, এহানে মানুরে হবা পথে চলতে সাহায্য করের, মনহানরে ঙকখি-ঙারাল করেদের। মানুর নানান লিচেতর মা
region;['ফুট'];ফুট, দীঘলহান মাহানির এককগো। ১২ ইঞ্চিত ফুট ১ হান।
region;['মিটার', 'm'];মিটার, মাহানির এককগো
region;['আফগান আফগানি'];আফগান আফগানি এহান আফগানিস্তান র তাংখার নাংহান। তাংখা এহানর চিনৎহান: ؋ বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: এএফএন.
region;['আলবেনিয়ান লেক'];আলবেনিয়ান লেক এহান আলবেনিয়ার তাংখার নাংহান। তাংখা এহানর চিনৎহান: L বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: এএলএল.
region;['এঙ্গোলান কাৱানজা'];এঙ্গোলান কাৱানজা এহান এঙ্গোলার তাংখার নাংহান। তাংখা এহানর চিনৎহান: Kz বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: এওএ.
region;['অষ্ট্রেলিয়ান ডলার', 'অষ্ট্রালিয়ান ডলার'];অষ্ট্রেলিয়ান ডলার এহান ওশেনিয়া মহাদেশর কিরিবাতি, টুভালু, নাউরু, অস্ট্রেলিয়া, ক্রিসমাস দ্বীপমালা, কোকোস দ্বীপমালা, বারো নোরফোক দ্বীপমালা-র তাংখার নাংহান। তাংখা এহানর চিনৎহান: $ বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: এইউডি.
region;['বাংলাদেশি টাকা', 'taka', 'টাকা'];বাংলাদেশি টাকা এহান বাংলাদেশর তাংখার নাংহান। তাংখা এহানর চিনৎহান: ৳ বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: বিডিটি.
region;['ভুটানিজ ঙুলট্রুম'];ভুটানিজ ঙুলট্রুম এহান ভুটান র তাংখার নাংহান। তাংখা এহানর চিনৎহান: বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: বিটিএন.
region;['বলিভিয়ান বলিভিয়ানো', 'boliviano'];বলিভিয়ান বলিভিয়ানো এহান বলিভিয়ার তাংখার নাংহান। তাংখা এহানর চিনৎহান: Bs.
region;['বোৎসোয়ানা পুলা'];বোৎসোয়ানা পুলা এহান বোৎসোয়ানার তাংখার নাংহান। তাংখা এহানর চিনৎহান: P বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: বিডব্লিউপি.
region;['বুলগেরিয়ান লেভ', 'lev'];বুলগেরিয়ান লেভ এহান বুলগেরিয়ার তাংখার নাংহান। তাংখা এহানর চিনৎহান: лв বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: বিজিএন.
