abstract-quality;['personnalité', 'problème de personnalité', 'caractère'];Combinaison de caractéristiques émotionnelles, d'attitude et de comportement d'un individu
physical-object;['autobus', 'bus', 'car', 'char-à-bancs', 'coche', 'omnibus', 'autobus de ville', 'autobus standard', 'autobus urbain', "chauffeur d'autobus", "siège d'autobus", 'autocar', 'autobus à impériale', 'char à bancs', 'charabanc', 'ligne de bus urbain-suburbain', 'pièce de cinq cents', 'véhicule de tourisme'];Véhicule affecté au transport urbain de voyageurs
physical-object;['autobus', 'bus', 'car', 'char-à-bancs', 'coche', 'omnibus', 'autobus de ville', 'autobus standard', 'autobus urbain', "chauffeur d'autobus", "siège d'autobus", 'autocar', 'autobus à impériale', 'char à bancs', 'charabanc', 'ligne de bus urbain-suburbain', 'pièce de cinq cents', 'véhicule de tourisme'];Transport routier pouvant accueillir plusieurs voyageurs pour de longues distances
physical-object;['aéronef', 'appareil volant', 'aeronef', 'aéronefs', 'avion', "plus lourd que l'air", 'appareil', 'avions', 'machine volante'];Moyen de transport capable d'évoluer au sein de l'atmosphère terrestre
physical-object;['voiture électrique', 'automobile électrique', 'voitures électriques', 'voiture electrique', 'électrique', 'électrique automobile'];Voiture automobile électrique
physical-object;['ambulance', 'assu', 'ambulances', 'amblance'];Véhicule destiné au transport des malades ou des blessés
physical-object;['arbre de mai', 'fête des mayos', 'arbres de mai', 'fêtes des mayos', 'mai', 'mât enrubanné'];Rite de fécondité
physical-object;['mât', 'mat', 'grand mât', "mât d'artimon", 'mât de misaine'];Élément de bateau
physical-object;['mégalithe', 'monument mégalithique', 'mégalithes', 'mégalithique', 'cercle mégalithique', 'megalithe', 'structure mégalithique', 'tombe mégalithique'];Pierres de grandes dimensions, érigées par les hommes, sans mortier ou ciment
physical-object;['gratte-ciel', 'gratte-ciels', 'gratte ciel', 'grattes-ciel', 'grattes-ciels', 'grattes ciels', 'supertall', 'tour de bureaux'];Immeuble de grande hauteur
physical-object;['bateau de pêche', 'navire de pêche', 'bateaux de pêche', 'barque de pêche', 'navire de peche', 'barque à pêche', 'senneur'];Bateau dont l'activité est dédiée à la pêche
physical-object;['ostensoir', 'monstrance', 'porte-sacre'];Pièce d’orfèvrerie destinée à montrer l'hostie
physical-object;['navire', 'navires', 'bateau', 'vaisseau', 'unité'];Type d'embarcation
physical-object;['détecteur de fumée', 'détecteur et avertisseur autonome de fumée', 'détecteur avertisseur autonome de fumée', 'detecteur de fumee', 'détecteurs de fumées', "avertisseur d'incendie", 'détecteurs de fumée'];Appareil de détection incendie
physical-object;['trois-ponts', 'vaisseau à trois ponts'];Type de navire
physical-object;['montre à gousset', 'montre de gousset', 'montre gousset', 'montre de poche', 'pocketwatch'];Montre de poche
physical-object;['tour de guet', 'feu tour', 'firetower', 'tour guet'];Tour servant à repérer un départ de feu
physical-object;['bélier hydraulique', 'pompe oléohydraulique', 'pompe hydraulique', 'pompe oleohydraulique', 'pompes hydrauliques', 'bélier', 'belier hydraulique', 'bélier à eau', 'pompe hydraulique bélier', 'vérin hydraulique'];Permet de pomper de l'eau à une certaine hauteur en utilisant l'énergie d'une chute d'eau de hauteur plus faible
physical-object;['noria', 'puiserande'];Machine hydraulique permettant d'élever l'eau en utilisant l'énergie produite par le courant
physical-object;['imperméable', 'imper', 'impermeable', 'manteau de pluie'];Vêtement de pluie
physical-object;['galoche', 'botte de pluie', 'botte en caoutchouc', 'arctique', 'caoutchouc', 'claque', 'galoches', 'galosh', 'golosh', 'privé'];Sorte de chaussures gauloises. Soulier de bois, chaussure de bois. Chaussure en cuir avec la semelle en bois.
physical-object;['arc', 'arc à flèche', 'arc et flèche', 'archerie', 'toxophile', 'toxophilie', 'arc et la flèche', 'arcs et des flèches'];Arme de trait
physical-object;['arme à feu', 'arme de projectile', 'pistolet', 'arme a feu', 'armement léger', 'armes à feu', 'fusil'];Arme à canon ou autre dispositif tirant des balles ou autres projectiles
physical-object;['lance-flammes', 'lance-flamme', 'lance flamme'];Arme incendiaire
physical-object;['arme nucléaire', 'arme atomique', 'armes nucléaires', 'armement nucléaire', 'nucléaire militaire', 'armes atomiques', 'bombe nucléaire', 'bombes atomiques', 'bombes nucléaires', 'charge nucléaire', 'ogive nucléaire', 'arme nucleaire', 'arme thermonucléaire', 'armement atomique', 'armements atomiques', 'armements nucléaires', 'force de frappe nucléaire', "possesseurs de l'arme nucléaire", 'tête nucléaire', 'têtes nucléaires', 'bombe atomique', 'ogive thermonucléaire', 'ogives nucléaires'];Arme de destruction massive utilisant l'énergie de la fission de noyaux atomiques lourds, éventuellement avec la fusion de noyaux atomiques légers
physical-object;["toile d'araignée", "fil d'araignée", 'arantèle', 'toile', "toile d'araignee", 'toile d’araignée', 'araignée'];Un des types de pièges en soie d'araignée que fabriquent les araignées pour capturer leurs proies
physical-object;['balancier', 'balanciers', 'équilibre'];Appareil d'horlogerie
physical-object;['wagon', 'autorail', 'véhicule ferroviaire', 'véhicule ferroviaire remorqué', 'autorails', 'voiture', 'diesel wagon', 'la voiture de chemin de fer', 'micheline', 'transport ferroviaire', 'voitures de chemin fer', 'véhicules ferroviaires', 'wagons'];Véhicule ferroviaire à une seule voiture, autonome et alimenté par énergie thermique
physical-object;['voiture', 'voiture à cheval', 'wagon', 'carrosse', 'équipage', 'véhicule ferroviaire', 'voiture hippomobile', 'calèche', 'voitures'];Véhicule muni de deux ou quatre roues, dont la traction est assurée par un ou plusieurs chevaux
physical-object;['discipline', 'escourgette', 'flagellation', 'flagelle', 'flagellé', 'fléau'];Type de fouet ou matraque
physical-object;['baudrier', 'baudrier militaire'];Ceinture portée sur une épaule et/ou sous la taille, généralement utilisée pour porter une arme (habituellement une épée) ou un autre instrument comme un clairon ou un tambour.
physical-object;['jarre'];Grand vase de terre cuite
physical-object;['instrument à anche libre', 'instrument à anche', 'anche libre', 'instrument a anche libre', 'anches libres', 'anches libres instrument'];instrument de musique dont le son est produit par la vibration d'une anche
physical-object;['oriel', 'fenêtre en baie', 'bow-window', 'baie vitrée', 'baies vitrées', 'fenêtre en saillie'];Fermé, couvert, pour atteindre plus de un ou plusieurs projectiles porche sur la façade d'une maison
physical-object;['jalousie', 'fenêtre jalousie', 'fenêtre à persiennes'];Système de volets orientables
physical-object;['trombone', 'clip bijou'];Petit objet utilisé pour maintenir solidaire une liasse de feuilles de papier
physical-object;['corset', 'gaine', 'corsets', 'ceinture', 'gaines', 'reste'];Sous-vêtement rigide destiné à comprimer la taille et le ventre
physical-object;['robe à la française', 'robe à paniers', 'robe a la francaise', 'sacque'];Robe de femme à paniers
physical-object;['chopine', 'plate-forme'];Type de chaussure
physical-object;['mantille'];Voile léger apparu en Espagne et porté traditionnellement par les femmes catholiques à la messe
physical-object;['planche à découper', 'planche à hacher', 'planche de découpe', 'planche a decouper', 'planche à pain'];ustensile de cuisine servant de support à la découpe
physical-object;['plantoir'];Outil horticole qu'on enfonce dans le sol pour y introduire des graines ou un plan
physical-object;['pilori', 'exposition publique', 'échelle patibulaire', 'échelles patibulaires', 'giroflées', 'matthiola', 'stocks', 'cloué au pilori', 'mis au pilori'];Poteau ou un dispositif auquel un condamné est attaché temporairement pour être vu du public
physical-object;['béquille', 'canne anglaise', 'béquilles'];Ustensile sur lequel une personne prend appui
physical-object;['chiton', 'chitôn'];Vêtement de la Grèce antique
physical-object;['clé allen', 'clef allen', 'clé btr', 'clé six pans', 'hexagonale creuse', 'clef six pans', 'clé six pans creux', 'clé hexagonale'];Outil utilisé pour la manœuvre des vis, têtes de boulons et autres pièces possédant une empreinte hexagonale creuse
physical-object;['clé serre tube', 'clé stillson', 'clé anglaise', 'clé à griffes', 'clé à tuyaux', 'clé serre-tube', 'clé à griffe', 'clé à tuyau', 'clé tube de', 'clé à pipe', 'clé à tube'];clé pour serrer les tubes
physical-object;['tourne-à-gauche', 'porte-taraud', 'tourne-a-gauche', 'exploiter clé'];Porte outil destiné à l''utilisation des tarauds manuels
physical-object;['clé à douille', 'clé à cliquet', 'cliquet', 'clé à rochet'];Clé de serrage à douille
physical-object;['télescope de type maksoutov-cassegrain', 'télescope de type maksoutov', 'télescope de type maksutov', 'télescope de type maksutov-cassegrain', 'télescope maksutov'];Type de télescope catadioptrique.
physical-object;['teinture de tournesol', 'papier de tournesol', 'papier tournesol', 'tournesol', 'test décisif'];Substance chimique composée d''extrait de lichens utilisée comme indicateur pH
physical-object;['queue de détente', 'gâchette', 'queue de detente', 'double action', 'gâchette du pistolet', 'revolver à simple action', 'simple action'];Page d''homonymie d''un projet Wikimédia
physical-object;['baratte', 'barattage', 'baratte à beurre', 'baratter'];Récipient pour battre la crème du lait afin de la transformer en beurre
physical-object;['harmonium', 'harmonio', 'harmoniumiste', 'orgue à pompe', 'orgue', 'accordéon diatonique', 'orgue à anches'];Instrument à vent à clavier
physical-object;['boîte de conserve', 'boite de conserve', 'conserve', 'boîte', 'canette', 'étain', 'boîtes de conserve'];Contenant métallique hermétique
physical-object;['pont', 'liste de ponts romains', 'ponceau', 'types de ponts', 'passerelle', 'construction de ponts', 'pont de chemin fer', 'pont ferroviaire', 'pont routier'];Construction qui permet de franchir une dépression ou un obstacle
physical-object;['mortier', 'mortarboard', 'bouchon académique', 'panneau de mortier'];Couvre-chef des magistrats dans les pays de tradition germano-canonique
physical-object;['collisionneur', 'collisionneurs', 'collisionneur de particules'];Type d''accélérateur de particules
physical-object;['aéroplane', 'avion', 'aéronefs à voilure fixe', 'voilure fixe'];Aérodyne à voilure fixe
physical-object;['autogire', 'gyrocoptère', 'autogyre', 'hélicoptère', 'gyroplane'];Aérodyne à voilure tournante non-motorisée
physical-object;['hélicoptère', 'hélicoptères', 'helicoptere', 'helicoptère', 'hélico', 'helicopter', 'banane', 'whirlybird'];Aéronef à voilures tournantes
physical-object;['aéroport', 'aérodrome', 'aerodrome', 'aérodromes', 'aéroports', 'aéroportuaire', "hall d'aéroport", 'sécurité dans les aéroports', 'zonage aéroportuaire', 'aeroporto', 'aréoport', "exploitant d'aérodrome", "exploitants d'aérodrome", 'plateformes aéroportuaires', 'service d’escale', 'airport', 'côté piste', 'côté ville', 'drôme'];Ensemble des bâtiments et des installations qui servent au traitement des passagers ou du fret aérien
physical-object;['aéroport', 'aérodrome', 'aerodrome', 'aérodromes', 'aéroports', 'aéroportuaire', "hall d'aéroport", 'sécurité dans les aéroports', 'zonage aéroportuaire', 'aeroporto', 'aréoport', "exploitant d'aérodrome", "exploitants d'aérodrome", 'plateformes aéroportuaires', 'service d’escale', 'airport', 'côté piste', 'côté ville', 'drôme'];Surface utilisée pour l'arrivée, le départ des aéronefs
physical-object;['monoplan', 'aile basse', 'aile haute', 'mi-aile', 'monoplans'];aéronef n'ayant qu'une seule paire d'ailes comme plan de sustentation
physical-object;['turbopropulseur', 'turbopropulseurs', 'groupe turbopropulseur', 'groupes turbopropulseurs', 'turboprop', 'turbopropulsion', 'avion à turbopropulseur', 'propjet', 'turbo-hélice avion'];Moteur d'avion composé notamment d'une turbine à gaz et d'une hélice
physical-object;['skyphos', 'skyphoï', 'scyphus'];Forme de vase à boire grec
physical-object;['baliste', 'catapulte', 'mangonneau', 'trébuchet', 'onagre', 'balistes', 'caable', 'mangonneaux', 'trebuchet', 'arbalète', 'bricole', 'arbalist', 'catapault', 'catapultes', 'trebucket'];Engin de siège
physical-object;['baliste', 'catapulte', 'mangonneau', 'trébuchet', 'onagre', 'balistes', 'caable', 'mangonneaux', 'trebuchet', 'arbalète', 'bricole', 'arbalist', 'catapault', 'catapultes', 'trebucket'];Engin de siège de l'époque médiévale utilisé pour lancer des projectiles
physical-object;['baliste', 'catapulte', 'mangonneau', 'trébuchet', 'onagre', 'balistes', 'caable', 'mangonneaux', 'trebuchet', 'arbalète', 'bricole', 'arbalist', 'catapault', 'catapultes', 'trebucket'];Engin de siège
physical-object;['schofar', 'shofar', 'shophar', 'chophar', 'chofar', 'shoffar'];Instrument de musique à vent
physical-object;['psaltérion', 'psalterion', 'canon', 'luths'];Instrument à cordes
physical-object;['amphore', 'amforă', 'amphores'];Récipient de stockage pourvu de deux anses
physical-object;['pendule', 'balancier'];Système oscillant qui, écarté de sa position d'équilibre, y retourne en décrivant des oscillations, sous l'effet d'une force
physical-object;['réacteur chimique', 'réacteur', 'reacteur', 'réacteurs chimiques', 'cuve de réaction'];Enceinte ou récipient apte à la réalisation et l''optimisation de réactions chimiques.
physical-object;['alphabet sémaphore', 'pavillons marine', 'sémaphore', 'sémaphore drapeau'];Moyen de communication visuel utilisant deux pavillons Oscar fixés chacun sur une hampe
physical-object;['grille-pain', 'toasteur', 'grille pain'];Appareil ou instrument permettant de maintenir des tranches de certains aliments devant une source de chaleur
physical-object;['four à micro-ondes', 'micro-ondes', 'four micro-ondes', 'four micro-onde', 'micro-onde', 'four a micro-ondes', 'four à micro-onde', 'four à micro ondes', 'microonde', 'micro onde', 'au micro-ondes', 'fours à micro-ondes'];Appareil électroménager
physical-object;['plate-bande', 'arc droit', 'arc plat', 'plat arc'];Linteau à système de clé analogue à l''arc
physical-object;['voûte', 'voute', 'voutes', 'cave', 'plafond voûté'];Plafond de bâtiment incurvé vers le haut
physical-object;['mur', 'mur de ville', 'muricole'];Structure séparant deux espaces
physical-object;['piédestal', 'socle', 'plinthe', 'piedestal', 'piédestaux', 'piédouche', 'scabellon', 'chevalet', 'bloc de béton', 'socles'];Plateforme de support
physical-object;['piédestal', 'socle', 'plinthe', 'piedestal', 'piédestaux', 'piédouche', 'scabellon', 'chevalet', 'bloc de béton', 'socles'];Support isolé qui sert à recevoir une colonne, une statue, un buste ou un grand objet d''art et d''ornement
physical-object;['nard', 'aralia', 'aralies'];Huile parfumée
physical-object;['jouet', 'jouets', 'johnson and friends', 'marché du jouet', 'toyline'];Objet dont la fonction principale est de permettre le jeu
physical-object;['céramique', 'histoire de la céramique', 'carreaux céramiques', 'ceramique', 'céramiques'];Matériau inorganique non métallique utilisé pour la production de vaisselle
physical-object;['couronne', 'couronne dentaire', 'crownwork', 'veste couronne'];Prothèse dentaire
physical-object;['œil de verre', 'prothèse oculaire', 'oeil de verre', 'yeux de verre', 'prothese oculaire', 'œil artificiel', 'prothèses oculaires'];Prothèse cranio-faciale
physical-object;['satellite de télécommunications', 'satellites de communication', 'satellite de communication', 'satellite de telecommunications', 'satellite de télécommunication', 'satellites de communications', 'satellites de télécommunications', 'télécommunications spatiales', 'communications par satellite', 'communication par satellite', 'les communications par satellite'];Satellite artificiel placé dans l'espace pour des besoins de télécommunications
physical-object;['pagode', 'pagodă', 'pagodes'];Type de bâtiment
physical-object;['télescope optique', 'télescopes optiques'];Appareil d'approche utilisant la lumière visible
physical-object;['aérographe', 'pistolet à peinture', 'aerographe'];Pistolet à peinture miniature pour travaux de précision
physical-object;['grand-bi', 'ordinaire', 'bicyclette ordinaire', 'penny farthing', 'sou-sou'];Type de bicyclette
physical-object;['basilique', 'basilique religieuse', 'plan basilical', 'basilique catholique', 'basilique chrétienne', 'basilical', 'basiliques'];Type d'église chrétienne
physical-object;['astrolabe', 'astrolabe planisphérique', 'astrobale', "l'astrolabe arabe", 'almicantarat', 'ostenseur', 'astrolabes'];Instrument astronomique permettant notamment de mesurer et d'observer les positions et la hauteur de corps célestes
physical-object;['lanterne magique', 'diapositives'];Instrument d'optique permettant de projeter des vues peintes ou imprimées sur une plaque de verre
physical-object;['iconoscope'];Un tube analyseur d'image, employé dans les caméras des premiers temps de la télévision
physical-object;['émetteur à étincelles', 'émetteur à ondes amorties', "susciter l'émetteur", 'éclateur émetteur', 'émetteur éclateur'];Appareil
physical-object;['pot', 'pot de fer', 'pot de terre', 'jarre'];Récipient à ouverture large (généralement forme haute)
physical-object;['hache', 'haches', 'guitare', "hache d'incendie"];Outil ou arme
physical-object;['cellule galvanique', 'batterie primaire', 'cellule', 'cellule électrochimique', 'cellule électrolytique', 'les batteries primaires', 'cellule primaire', 'pile voltaïque', 'pile galvanique'];Dispositif pour la conversion spontanée de la substance chimique en énergie électrique
physical-object;['bus', 'bus informatique', "bus d'entrée/sortie", "bus d'entrées/sorties", "bus d'extension", 'bus informatiques', 'bus local', 'bus parallèle', 'autobus', 'bus électrique'];Dispositif numérique
physical-object;['transformateur', 'transformateur électrique', 'transfo', 'rapport', 'rapport de transformation', 'transformateur de tension', 'pertes fer', 'tranformateur', "transformateur d'isolation", 'transformateur electrique', 'transformateurs électriques', 'transformer', 'transformateur de puissance'];Appareil électrique
physical-object;['condensateur', 'capacité', 'condensateur électrique', 'condensateur variable', 'condensateur électrochimique', 'condensateur électrolytique', 'les éléments passifs: le condensateur', 'capacité électrique', 'capacitance', 'capacitif', 'condensateurs', 'condenseur'];Composant électronique
physical-object;['inductance', 'inducteur', 'bobine', 'inductances'];Composant électronique passif qui stock de l’énergie dans son champ magnétique
physical-object;['résistance', 'resistance', 'résistance bobinée', 'résistance à couche', 'résistor', 'résistant', 'résisteur', 'conductance électrique', 'résistances', 'résistive'];Composant électronique ou électrique
physical-object;['centrale électrique', 'centrales électriques', 'centrale electrique', 'centrale', 'station énergétique', 'power plant', "station de production d'électricité"];Site industriel destiné aux productions d'électricité
physical-object;['bascule', 'bascule d', 'verrou d', 'verrou'];Circuit électronique
physical-object;['mémoire', 'mémoire informatique', 'mémoire de stockage', 'memoire informatique', 'mémoire centrale', 'mémoires informatiques', 'tore magnétique', 'tores magnétiques', 'mémoire principale', 'stockage informatique', 'carte mémoire', 'disques durs', "mémoire d'ordinateur", 'mémoire interne', 'mémoire physique', 'stockage de données informatiques', 'stockage primaire', "support d'enregistrement", "supports d'enregistrement", 'supports de stockage'];Dispositif électronique de stockage d'informations
physical-object;['mémoire', 'mémoire informatique', 'mémoire de stockage', 'memoire informatique', 'mémoire centrale', 'mémoires informatiques', 'tore magnétique', 'tores magnétiques', 'mémoire principale', 'stockage informatique', 'carte mémoire', 'disques durs', "mémoire d'ordinateur", 'mémoire interne', 'mémoire physique', 'stockage de données informatiques', 'stockage primaire', "support d'enregistrement", "supports d'enregistrement", 'supports de stockage'];Système physique de stockage de données pour ordinateur
physical-object;['ballon de barrage', 'ballons de barrage'];dispositif de guerre anti-aérien
physical-object;['char de combat', "char d'assaut", 'véhicule militaire blindé', 'tank', 'char', 'char de bataille', 'char blindé', "char d'assault", 'char de bataille principal', 'char d’assaut', 'char moyen', "chars d'assault", "chars d'assaut", 'chars de combat', 'véhicule blindé de combat', 'armée réservoir', 'chef de char', 'réservoir', 'véhicules blindés de combat'];Véhicule militaire
physical-object;['contrepoids', 'contre-poids', 'contrepoid', 'curseur de balance', 'but égalisateur', 'égaliseur', 'équilibre', 'contrebalancer'];Masse mobile, parfois suspendue et déplacée le long d'un fléau de balance pour apprécier la masse soumise à la pesée
physical-object;['vélo stationnaire', "vélo d'appartement", 'bicyclette stationnaire', 'body-bike', 'cycle-exerciseur', 'spin-bike', "vélo d'intérieur", 'vélo de salle', 'vélo fixe ergométrique', 'vélo spinning', 'exercycle', "vélo d'exercice"];Appareil immobile simulant le fonctionnement d'une bicyclette
physical-object;['haltère', 'haltères', 'haltere'];Équipement de musculation
physical-object;['clocher-mur', 'campenard', 'clocher-arcade', 'clocher-peigne', 'clocher arcade', 'clocher mur', 'clocher à peigne', 'clocher'];Élément architectural
physical-object;['fléau', 'fleau'];Ancien outil agricole
physical-object;['faucille', 'serpe', 'récolter crochet'];Outil agricole, à longue lame en arc de cercle, utilisé pour la moisson
physical-object;['faux', 'fauchage'];Outil agricole à couper l'herbe ou moissonner, à lame large et arquée, qu'on manipule d'un large mouvement latéral et une rotation du buste, pour trancher les épis rassemblés dans le mouvement
physical-object;['brosse', 'brosse à cheveux', 'pinceau'];Ustensile de nettoyage, dont la forme varie suivant l'usage, fait d'un assemblage régulier de fibres monté sur un même support
physical-object;["matériel d'écriture", "instrument d'écriture", "instruments d'écriture", 'écrit en œuvre'];Desservir l''écriture, et l''application de caractères sur un substrat
physical-object;['outil', 'outils', 'outil de jardinage', 'outillage', 'instrument'];Instrument physique utilisable pour exercer une action
physical-object;['rame', 'aviron', 'pagaie', 'rames'];Outil destiné à la propulsion manuelle d'une embarcation
physical-object;['château', 'châteaux', 'chateau', 'châteaux français', 'demeure seigneuriale', 'liste des chateaux francais'];Demeure de vastes dimensions, initialement seigneuriale, à laquel est rattaché un domaine
physical-object;['raffinerie', 'usine', 'raffineries'];Usine où on enlève les impuretés d''un produit brut
physical-object;['pulp', 'pulp magazine', 'pulp magazines', 'pulps magazines', 'pulp fiction', 'pulp paperback', 'pulps', 'héros de pâte', 'roman de pâte', 'science-fiction pulpe'];Magazine à bas coût
physical-object;['combinaison pressurisée'];Combinaison sous pression utilisée par les pilotes d''avions en haute altitude ou par des spationautes
physical-object;['punching-ball', 'punching ball', 'sac de frappe', 'sac de boxe', 'ballon de frappe', 'punchball'];En boxe, ballon d'entraînement en cuir cousu, fixé au bout d'une tige métallique articulée plantée au sol ou accrochée au plafond
physical-object;['relais de poste', 'relais routier', 'roadhouse'];Lieu où étaient tenus prêts des chevaux frais pour les cavaliers afin de permettre une vitesse maximale à la communication par courrier
physical-object;['maison de repos', 'unité de soins de longue durée', "établissement d'hébergement pour personnes âgées dépendantes", 'maison de retraite', 'ehpad', 'foyer de soins infirmiers', 'hospice', 'maison de soins infirmiers', 'maison médicalisée', "etablissement d'hebergement pour personnes agees dependantes", 'hepad', 'unités de soins de longue durée', 'établissement d’hébergement pour personnes âgées dépendantes', "établissements d'hébergement pour personnes âgées dépendantes", 'domicile', 'foyer', 'maison', 'origine', 'pays', 'à la maison', 'maisons de soins infirmiers', 'soins à domicile'];Maison de santé médicalisée pour personnes âgées
physical-object;["instrument d'optique", 'instrument optique', 'instrument', 'appareil optique', "instrument d'optique objectif", "instrument d'optique subjectif", 'instruments optiques'];Instrument formant une image d''un objet
physical-object;['lacet étrangleur', 'garrot', 'corde à piano', 'garrot vil', 'lacet etrangleur', 'collier de fer', 'garrotté', 'étrangler'];Dispositif servant à tuer par strangulation
physical-object;['ohmmètre', 'mesure de résistance', 'milliohmmètre', 'ohmmetre'];Appareil de mesure de la rėsistance électrique
physical-object;['accéléromètre', 'accelerometre', "capteur d'accélération", 'détecteur de mouvement', 'détecteur de mouvements', 'détecteurs de mouvements', 'accéléromètres'];Capteur permettant de mesurer l'accélération linéaire
physical-object;['sextant', 'sextants'];Instrument de navigation
physical-object;['actinomètre', 'actinogramme', 'actinographe'];Instrument de mesure d’intensité énergétique des radiations
physical-object;['gravimètre', 'gravimetre'];Appareil servant à mesurer l'intensité de la gravité
physical-object;['chaise électrique', 'chaise electrique', 'old sparky', 'chaise', 'chaise mort'];Instrument d'application de peine de mort par électrocution
physical-object;['téléphone', 'téléphones', 'combiné téléphonique', 'telephone', 'téléphone automatique', 'téléphonique', '☏', '✆', 'appareil', 'poste téléphonique', 'téléphonie fixe'];Dispositif de télécommunication spécialement conçu pour les CM2B
physical-object;['chambre à étincelles', 'chambre a etincelles', 'susciter contre'];Détecteur de particules
physical-object;['microscope', 'microscopes'];Instrument
physical-object;['baromètre', 'barometre', 'barographe', 'baromètre anéroïde', 'baromètre de torricelli', 'baromètres', 'barométrique'];Instrument de mesure de la pression atmosphérique
physical-object;['scléromètre'];Instrument servant à la mesure de la résistance à la compression du béton
physical-object;['analyseur'];page d'homonymie de Wikimedia
physical-object;['instrument de navigation', 'instruments de navigation'];Appareil ou outil permettant de déterminer la position, l''orientation (ou leurs dérivées) d''un véhicule
physical-object;['tube de pitot', 'sonde pitot', 'antenne de prandtl', 'capteur pitot', 'pitot tube', 'sonde de pitot', 'sondes de pitot', 'tube pitot'];Système de mesure de vitesse des fluides
physical-object;['microprocesseur', 'liste de microprocesseurs', 'microprocesseurs', 'micro-processeur', 'microséquenceur', 'μ-processeur', 'μprocesseur'];Processeur dont les composants ont été suffisamment miniaturisés pour être regroupés dans un unique circuit intégré
physical-object;['mezzanine', 'entresol'];Passage ou une aire de plancher en surplomb d''une pièce
physical-object;['herse'];Élément défensif d'une porte
physical-object;['mousqueton', 'anneau élastique', 'circlip', 'anneau de retenue', 'anneau elastique', 'circlips', "segment d'arrêt", 'mousquetons'];Crochet avec une fermeture
physical-object;['arquebuse', 'arquebusier', 'arquebusiers', 'arquebuses', 'caliver', 'hacquebute', 'hagbut', 'harquebus'];Arme à feu
physical-object;['salle de rédaction', 'rédaction', 'salle de nouvelles', 'salle des nouvelles'];Terme
physical-object;['presbytère', 'vicariat', 'cure', 'presbytere', 'presbytéral', 'maison paroissiale'];Habitation du curé chez les catholiques ou du pasteur protestant
physical-object;['grenier', 'loft', 'comble', 'galetas', 'mansarde', 'combles', 'comble brisé', 'comble à surcroît', 'loft style', 'faux-comble', 'lofts', 'manhattan loft', 'voilerie'];Espace situé sous la toiture
physical-object;['cruche', 'aiguière', 'pichet', 'broc', 'carafe', 'lanceur', 'olpe'];Type de récipient pouvant contenir des liquides généralement doté d'une anse et d'un bec verseur
physical-object;['souk', 'souks', 'souck'];Marché du monde arabe
physical-object;['foire', 'marché fermier', 'circuit court alimentaire', 'circuits courts alimentaires', 'marché de producteurs fermiers', 'marché paysan', 'marchés de ferme', 'marchés de producteurs fermiers', 'marchés fermiers', 'marchés paysans', 'vente des produits fermiers en circuits courts', 'greenmarket', 'marché du dimanche', 'marché vert'];lieux de vente directe en circuits courts des produits fermiers
physical-object;['décapsuleur', 'ouvre-bouteille', 'ouvre-bouteilles', 'decapsuleur'];Appareil permettant de retirer la capsule métallique des bouteilles
physical-object;['kaléidoscope', 'caléidoscope', 'kaleidoscope'];Tube de miroirs réfléchissant
physical-object;['treillis', 'chantourné', 'transenne', 'chantourne', 'claustra', 'chantournage', 'découpage', 'pièce chantournée'];Élément d'architecture
physical-object;['attelle', 'atelle'];Dispositif destiné à contenir un membre ou une articulation
physical-object;['jacket'];Établissement humain, Missouri, États-Unis
physical-object;['manteau', 'veste', 'paletot'];Type de vêtement qui se porte en extérieur sur les autres vêtements
physical-object;['train épicycloïdal', 'planétaire', 'train planétaire', 'train epicycloidal', 'trains épicycloïdaux', 'engrenage planétaire', 'épicycloïdal', 'engrenages planétaires', 'roue planétaire', 'réducteur planétaire'];Dispositif de transmission mécanique
physical-object;['pothoek', 'crémaillère'];Hameau de la commune de Hof van Twente
physical-object;['baraque', 'atelier', 'remise', 'hangar', 'abri de jardin', 'hangars', 'remise à outils'];Petit bâtiment extérieur servant à entreposer de des objets et des outils
physical-object;['baraque', 'atelier', 'remise', 'hangar', 'abri de jardin', 'hangars', 'remise à outils'];Bâtiment de travail
physical-object;["train d'atterrissage", 'train d’atterrissage', "trains d'atterrissage", 'atterrisseur', "train d'atterrissage mono-trace", "train d'atterrissage rétractable"];Roue utilisé pour atterrir
physical-object;['canapé', 'sofa', 'divan', 'canapés'];Siège confortable à plusieurs places, un dossier et un appuie-bras de chaque côté
physical-object;['balcon', 'balcons', 'balcon filant'];Élément d'architecture consistant en une plate-forme se dégageant du mur d'un édifice
physical-object;['chevalet', 'établi'];Support utilisé en peinture pour tenir l''œuvre en cours de création
physical-object;['métro', 'métropolitain', 'réseau de chemin de fer métropolitain', 'réseau de métro', 'réseau de métropolitain', 'réseau du métro', 'u-bahn', 'transport rapide', 'chemin de fer métropolitain', 'mass rapid transit', 'système de métro', 'système de transport rapide', 'transport en commun rapide'];Transport en commun urbain par rail
physical-object;['pendule à coucou', 'coucou', 'horloge coucou', 'pendule a coucou', 'elliptiquement coucou', 'coucous'];Pendule dont la sonnerie imite le cri du coucou
physical-object;['lumière', 'lumière visible', 'source lumineuse', 'lumiere', 'lumineuse', 'lumineux', 'nature de la lumière', 'rayonnement lumineux', 'la lumière visible', 'onde lumineuse', 'ondes lumineuses', 'rayonnement visible', 'réflexion de la lumière'];Ensemble des ondes électromagnétiques visibles par l'œil humain
