abstract-quality;['osobnosť'];Osobnosť definícií existuje okolo 110.
information-realization;['psč', 'poštové smerovacie číslo', 'zip kód', 'smerovacie číslo', 'poštové smerové číslo', 'postcodes', 'poštové smerovacie čísla', 'poštového obvodu'];Poštové smerovacie číslo sa používa v poštovom styku ako súčasť adresy.
information-realization;['lun-jü', 'rozhovory a výroky', 'konfuciove rozhovory a výroky', 'analects', 'analecta', 'analects konfucius', 'luny'];Rozhovory a výroky
information-realization;['atharvavéda', 'atharvavéd', 'atharvavédah'];Atharvavéda alebo Atharvavédah alebo Atharvavéd je skupina posvätných textov hinduizmu, jedna zo štyroch véd, často nazývaná Štvrtá véda.
information-realization;['sámavéda', 'sámavédah', 'sama-veda'];Sámavéda alebo Sámavédah alebo Sámavéd je súbor posvätných textov hinduizmu, jedna zo štyroch véd.
information-realization;['žaltár'];Žaltár
information-realization;['jadžurvéda', 'jadžurvéd', 'yajur-veda'];Jadžurvéda alebo Jadžurvédah alebo Jadžuvéd je súbor posvätných textov hinduizmu, jedna zo štyroch véd.
information-realization;['antológia', 'anthological', 'anthologist', 'poézia antológia'];Antológia je výber literárnych diel alebo hudobných diel viacerých autorov osvetľujúcich určitú tému alebo epochu alebo typ tvorby.
information-realization;['akord', 'akord symbol'];Akord je súzvuk najmenej troch tónov rôznej výšky.
information-realization;['príslovie', 'porekadlo', 'rčenie', 'porekadlá', 'príslovia', 'synonymom'];Porekadlo je ustálený obrazový výrok s charakterom uzatvorenej vety, ktorá sa svojím obsahom viaže na konkrétny prípad, situáciu.
information-realization;['príslovie', 'porekadlo', 'rčenie', 'porekadlá', 'príslovia', 'synonymom'];Príslovie je „základný a najvšeobecnejší paremiologický útvar, ktorý zhustenou formou vyjadruje istú ľudovú múdrosť alebo skúsenosť“.
information-realization;['tlačová konferencia', 'tlačovka', 'tlačová porada', 'tlačovej konferencii', 'tlačových konferencií'];Tlačová konferencie je organizované stretnutie podávateľa informácie s novinármi s cieľom poskytnúť im aktuálne informácie na publikovanie či odvysielanie verejnosti.
information-realization;['kánon', 'caccia'];Kánon je vokálna skladba kontrapunktickej formy, založená na princípe prísnej imitácie, t.j.
information-realization;['ikona', 'ikony'];Ikona (gr.
information-realization;['kniha', 'knižka', 'knihy'];Kniha je nejasne definovaný termín.
information-realization;['falzifikát', 'falzum', 'falošný', 'falšovateľ'];Falzifikát alebo falzum je napodobenina vydávajúca sa za originál.
information-realization;['hieratické písmo', 'egyptské hieratické písmo', 'egyptské kňazské písmo', 'hieratic', 'hieratic skript'];hieratické písmo alebo kňazské písmo bolo písmo používané v starovekom Egypte súčasne s hieroglyfickým písmom, od ktorého sa nelíšilo princípom, ale iba tým, že jeho tvary boli značne jednoduchšie než tvary hieroglyfické.
information-realization;['denník'];Denník je žáner vecnej literatúry.
information-realization;['monografia', 'monografie', 'monografií'];Monografia
information-realization;['horoskop', 'horoskopy', 'kozmogram'];Horoskop alebo kozmogram je v astrológii diagram rozmiestnenia nebeských telies v určitom časovom bode, najčastejšie v čase narodenia jedinca.
information-realization;['bloková schéma'];Bloková schéma je funkčný diagram, štruktúrny obraz - topologicko-geometrické znázornenie štruktúry systémov.
information-realization;['durová stupnica', 'durové stupnice', 'major diatonic meradlo'];Durové stupnice sú diatonické stupnice, typické pre európsku hudbu.
information-realization;['debata', 'argumentácia', 'diskusia', 'argumentačný teórie', 'debatné spoločnosť', 'diskutovať o'];Slovo debata môže byť znamenať aj chat.
information-realization;['rokovanie', 'vyjednávanie', 'dialóg', 'negociátor', 'rokovateľ', 'vyjednávač', 'hovorí', 'rokovania'];Rokovanie je dialóg s cieľom vyriešiť spory, dohodnúť sa na ďalšom postupe alebo dohovoriť pravidlá a sankcie, pričom na rozdiel od súdneho pojednávania či arbitráže neexistuje nezávislá rozhodovacia autorita nadradená všetkým účastníkom sporu.
information-realization;['patent', 'patent vynálezu'];Patent je zákonná ochrana vynálezov zaručujúcich vlastníkovi patentu výhradné právo na priemyslové využitie vynálezu.
information-realization;['zvitok', 'rotulus', 'volumen', 'zvitky'];Zvitok alebo volúmen alebo zriedkavo rotulus či rolla
information-realization;['opera', 'barokový operu', 'operný', 'opery', 'opier'];Opera je hudobno-dramatický žáner, v ktorom sa celý príbeh vyjadruje spevom so sprievodom orchestra a často je doplnený aj baletom.
information-realization;['pero', 'pero a atrament'];Pero je nástroj používaný na písanie.
information-realization;['graf funkcie', 'graf', 'diagram', 'grafické záznamy'];Graf funkcie f alebo graf f je množina všetkých dvojíc a/alebo grafické znázornenie týchto dvojíc v súradnicovej sústave.
information-realization;['román', 'romány'];Román je veľký prozaický a epický žáner.
information-realization;['motto', 'slogan', 'heslo', 'heslo strany', 'reklamné heslo', 'vojnový pokrik', 'volebné heslo', 'heraldický motto', 'slogany'];Motto je slovná fráza opisujúca motiváciu alebo zámer sociologických skupín alebo organizácií.
information-realization;['motto', 'slogan', 'heslo', 'heslo strany', 'reklamné heslo', 'vojnový pokrik', 'volebné heslo', 'heraldický motto', 'slogany'];Slogan je obchodné, manifestačné, náborové, agitačné heslo, resp.
information-realization;['snehuliak'];Snehuliak je stojaca podoba človeka vyformovaná zo snehu a tvorená tromi či štyrmi guľami.
information-realization;['derivát', 'derivátový nástroj', 'derivátny kontrakt', 'derivátny nástroj', 'derivátový kontrakt', 'podkladové aktívum', 'podkladový nástroj', 'finančný derivát', 'finančných derivátov'];Derivát je zmluva, ktorej hodnota či cena je úplne alebo prevažne odvodená od hodnoty či ceny nejakého aktíva, od úrovne nejakého indexu alebo od úrovne nejakého iného ukazovateľa.
information-realization;['výkaz ziskov a strát', 'výkaz straty a zisku', 'výkaz zisku a straty', 'výsledovka', 'výkaz ziskov a strát a ostatných súčastí komplexného výsledku', 'výkaz o tvorbe a rozdelení hrubého dôchodku', 'prevádzkové vyhlásenie', 'výkazu ziskov a strát', 'zisk správu', 'ziskov a strát'];Výkaz ziskov a strát je vo finančnom účtovníctve prehľadné usporiadanie všetkých výnosov a nákladov za určité obdobie, ktoré ukazuje aj výsledok hospodárenia
information-realization;['sloha', 'strofa', 'stanca'];Stanca (tal.
information-realization;['tanka'];Tanka (jap.
information-realization;['cenný papier', 'cenina', 'cenné papiere', 'papier cenný', 'cenných papierov', 'dlhové cenné papiere', 'dlhových cenných papierov'];Cenný papier je listina, ktorá stelesňuje majetkové právo toho, kto listinu vlastní, voči tomu, kto ju vystavil.
information-realization;['riot act'];Článok o rovnomennom albume je pod Riot Act
information-realization;['rondel', 'rondeau', 'rondeaux'];Rondel (franc.
information-realization;['krajinomaľba', 'krajinár', 'krajinka', 'krajinkár', 'krajinkárstvo', 'krajinárstvo', 'krajinomaľby', 'maliar'];Krajinomaľba je druh maliarstva, v ktorom je na obraze zachytená najmä krajina, t.j.
information-realization;['nomogram'];Nomogram je diagram umožňujúci riešiť rovnicu, pre ktorú bol zostrojený, len čítaním, bez počítania.
information-realization;['odysea'];Odysea alebo Odysseia alebo Odyssea je starogrécky epos, ktorý patrí spolu s eposom Iliada, na ktorý nadväzuje, medzi najstaršie pamiatky gréckej literatúry.
information-realization;['iliada', 'ilias', 'ílias'];Iliada alebo Ilias alebo Ílias
information-realization;['doxológia', 'doxologii', 'doxology'];Doxológia je velebenie výsostnej božej moci.
information-realization;['applet', 'applety'];Applet je jednoduchá aplikácia, ktorá sa spúšťa z iného programu napr.
information-realization;['trójsky kôň', 'trojánsky kôň', 'drevený kôň'];Trójsky kôň alebo zastarano trojánsky kôň bola vojnová lesť Grékov v trójskej vojne v podobe daru, ktorým bol drevený kôň.
information-realization;['socha slobody'];Socha slobody
information-realization;['verejné právo', 'jus publicum', 'verejného práva'];Verejné právo
information-realization;['listina', 'dokument', 'postupná listina', 'zmluva', 'čin', 'listina dopravu'];Listina môže byť: v práve a diplomatike: at.j. nie napríklad vyrytá do kameňa
information-realization;['encyklika', 'encyklika list', 'encykliky', 'encyklík'];Encyklika
information-realization;['aerogram', 'aerogramu', 'letecký list'];Aerogram je špeciálny typ listu, zasielaný letecky.
information-realization;['gregoriánsky chorál', 'plainchant', 'plainsong', 'gregoriánskeho chorálu'];Gregoriánsky chorál je forma jednohlasného liturgického latinského bohoslužobného spevu rímskokatolíckej cirkvi v kostole.
information-realization;['symfónia', 'simfonija', 'symfonickej hudby', 'symfonická hudba', 'symfónií'];Symfónia je dielo z oblasti klasickej hudby určené pre symfonický orchester.
information-realization;['óda'];Óda môže byť: oslavná lyrická báseň hudobná skladbaÓda je oslavná pieseň alebo rozsiahla lyrická báseň, ktorá vyniká nadnesenosťou a pátosom.
information-realization;['mystérium', 'hra zázračná', 'mirákly', 'pašiové hra', 'tajomstvo hry'];Mystérium alebo hra zázračná bol stredoveký divadelný žáner v 10.
information-realization;['cantus firmus', 'cantus-firmus'];Cantus firmus je pevný vopred daný hlas, je to základná melódia v kontrapunktických skladbách.
information-realization;['blok valcov', 'blok motora', 'bloku motora'];Blok valcov je konštrukčná časť viacvalcového spaľovacieho motora alebo iného piestového stroja, ktorá v sebe obsahuje niekoľko valcov - pracovných priestorov.
information-realization;['litografia', 'kameňotlač', 'litografie', 'litografií', 'mikrolitografii'];Litografia alebo kameňotlač patrí medzi grafické techniky, do skupiny tlače z plochy.
information-realization;['pravopis', 'písmo', 'pravopisu', 'písomne systém'];Pravopis alebo ortografia je súbor znakov a pravidiel na zapisovanie jazykových prejavov písmenami a interpunkčnými znamienkami.
information-realization;['pravopis', 'písmo', 'pravopisu', 'písomne systém'];Písmo má v jazykovede viacero definícií, konkrétne ich možno zhrnúť takto: At.j. napr. aj dymové, svetelné a iné signály, uzlové písmo, vzorce, piktogramy, značky na letiskuteda napr. bez svetelných, dymových a pod.
information-realization;['rýchlopis', 'stenografia', 'tesnopis', 'stenografov', 'stenografové', 'stenography', 'tachygraphy'];Stenografia
information-realization;['fotomontáž', 'fotomontáže', 'kompozitný snímku', 'photocollage'];Fotomontáž je tvorená špecifickým použitím techniky fotografických obrazov.
information-realization;['elégia', 'elegie'];Elégia je lyrický žáner, žalospev.
information-realization;['hypermédium', 'hypermédiá', 'hypermédiá systému', 'interaktívne multimediálne', 'interaktívny multimediálny systém'];Hypermédium je kombinácia multimédií a hypertextu.
information-realization;['sonáta', 'sonata', 'sonát'];Sonáta (z tal.
information-realization;['suita', 'orchestrálne suita'];Suita môže byť: 1.
information-realization;['kontrapunkt', 'contrapunctus', 'contrapuntal', 'druh kontrapunkt', 'kontrapunktu'];Kontrapunkt je súčasné vedenie niekoľkých samostatných melódií na harmonickom základe.
information-realization;['rondo', 'forme rondo'];Rondo alebo rondó je hudobná forma, založená na niekoľkonásobnom návrate výraznej témy, pričom jej jednotlivé nástupy sú vystriedané iným hudobným materiálom – medzivetami alebo novými, samostatnými témami.
information-realization;['hlasová oktáva', 'oktáva', 'hudobné oktávy', 'oktávy', 'oktávy rovnocennosti'];Oktáva (z lat.
information-realization;['omša'];Omša je vokálno inštrumentálna forma zhudobňujúca omšové modlitby pôvodne spievané ľudom.
information-realization;['kantáta', 'oratórium', 'kant', 'oratórií'];Kantáta
information-realization;['kantáta', 'oratórium', 'kant', 'oratórií'];Oratórium je rozsiahla epická, vokálno-inštrumentálna skladba určená pre sólistov, zbor a orchester.
information-realization;['nota', 'hudobná nota', 'tón', 'noty'];Nota je základná jednotka dĺžky trvania tónu.
information-realization;['notácia', 'hudobný záznam', 'notopis', 'notové písmo', 'notový zápis', 'notový záznam'];Notácia je systém záznamu skladieb pomocou grafických symbolov a slov, ktorý umožňuje jednoznačnú interpretáciu hudobného diela.
information-realization;['pozičná číselná sústava', 'miesto-hodnota', 'polohová číselná sústava', 'polohový systém', 'polohový systém reprezentácie', 'pozičné číselné sústavy', 'pozičný zápis'];Pozičná číselná sústava je dnes prevládajúci spôsob písomnej reprezentácie čísel - dokonca ak sa dnes hovorí o číselných sústavách, sú tým zvyčajne myslené sústavy pozičné.
information-realization;['zátišie', 'zátišia', 'zátiší'];Zátišie je druh maliarskeho námetu, pri ktorom je zobrazované náhodné alebo štylizované zoskupenie predmetov dennej potreby alebo nehybných vecí, ktoré tvoria prevažne hlavnú tému obrazu.
information-realization;['citát', 'citovanie', 'citáty'];Citovanie alebo citácia je doslovné uvádzanie výroku, vety a pod.
information-realization;['dagerotypia', 'daguerrotypia', 'dagerotyp', 'daguerreotypes', 'daguerrotype'];Dagerotypia
information-realization;['rezbárstvo', 'rezbár', 'drevených blokov', 'rezby z dreva'];Rezbárstvo je remeselná, alebo umelecká činnosť, pri ktorej je zo základného materiálu odoberaný materiál s cieľom zobraziť zámer Ako názov napovedá, charakteristickým pracovným úkonom je rez, ktorý je vykonávaný rezbárskym nožom, alebo rezbárskym dlátom.
information-realization;['kryptogram', 'kryptogramy'];Kryptogram je text so skrytým významom, tajným písmom alebo hádanka.
information-realization;['fotolitografia', 'fotolitografii', 'optickej litografie', 'photolithographic', 'photolithography'];Fotolitografia je proces, ktorý sa využíva v mikroelektrotechnológiách na výrobu polovodičových súčiastok.Využíva svetlo na prenos geometrického vzoru z fotomasky na svetlo citlivý tzv.
information-realization;['ofsetová tlač'];Ofsetová tlač alebo ofset je tlač z plochy, pri ktorej prenos tlačovej farby iba z tlačiacich miest zabezpečujú rozdielne fyzikálno-chemické vlastnosti tlačiacich a netlačiacich miest.
information-realization;['muzikál', 'hudobná komédia', 'hudobné divadlo', 'hudobné', 'hudobné kniha', 'hudobného divadla', 'hudobných komédií', 'muzikály'];Muzikál je syntetický dramatický žáner, ktorý spája literatúru, hudbu a tanec.
information-realization;['braillovo písmo', 'braillovskému bunku', 'braillského bunku'];Braillovo písmo je špeciálny druh písma, resp.
information-realization;['šestnástková sústava', 'hexadecimal', 'hexadecimálne číslo', 'hexadecimálne', 'hexadecimálne systém', 'hexadecimálne číselná sústava', 'sexadecimal číselná sústava'];Šestnástková alebo hexadecimálna číselná sústava je pozičná číselná sústava so základom 16.
information-realization;['unix', 'operačnom systéme unix', 'unix operačný systém'];Unix, alebo UNIX je operačný systém počítača pôvodne vyvíjaný v 60tych a 70tych rokoch skupinou zamestnancov firiem AT&T a Bell Labs, vrátane Kena Thompsona, Dennisa Ritchieho a Douglasa McIlroya.
information-realization;['litánie'];Litánie sú rímskokatolícka modlitebná forma.
information-realization;['preambula'];Preambula je úvodná, spravidla slávnostná, časť textu nejakého písomného dokumentu, ktorá dnes pravidla stanovuje úmysel, zámer, význam či zmysel textu nasledujúceho za preambulou.
information-realization;['drevoryt', 'drevorytectvo', 'dřevorytec'];Drevoryt alebo xylografia je jednak synonymum pre drevorytectvo, teda umeleckú grafickú techniku tlače z výšky vyvinutú v roku 1771 Thomas Bewickom, jednak tlačová platňa na takúto tlač, a jednak odtlačok zhotovený takouto tlačou.
information-realization;['mezzotinta'];Mezzotinta alebbo škriabaná rytina je grafická technika patriaca pod tlač z hĺbky.
information-realization;['snellenov optotyp', 'snellenove optotypy', 'snellen chart'];Snellenov optotyp je pomôcka na zisťovanie ostrosti zraku, ktorú vyvinul v roku 1862 holandský oftalmológ Herman Snellen.
information-realization;['umelecké dielo', 'umelecké predmety', 'umeleckých diel', 'umeleckých predmetov'];Umelecké dielo je dielový umelecký výtvor, opisový umelecký výtvor - tvarovo fixovaný umelecký výtvor, ktorý je výsledkom zvláštnych umeleckých tvorivých schopností autorov.
information-realization;['aplikácia', 'aplikačný počítačový program', 'aplikačný program', 'aplikačný softvér', 'aplikácia programu', 'desktopové aplikácie', 'počítačových aplikácií'];Aplikácia alebo používateľský aplikačný program vo výpočtovej technike a v informatike je počítačový program pomáhajúci používateľovi pri uskutočňovaní činnosti určitého konkrétneho typu, napríklad pri manipulácii s textami, číslami, grafikou a pod.
information-realization;['webový prehliadač', 'prehliadač', 'browser', 'internetový prehliadač', 'prehliadač webových stránok', 'prehliadač webu', 'web browser', 'webový browser', 'internetové prehliadače', 'internetového prehliadača', 'internetových prehliadačov', 'webového klienta', 'webových prehliadačov'];Webový prehliadač alebo webový prezerač alebo web browser je aplikačný softvér umožňujúci používateľovi zobrazenie a interakciu s HTML dokumentmi hosťovanými na webových serveroch alebo na lokálnom súborovom systéme.
information-realization;['novela', 'poviedka', 'krátka poviedka', 'poviedok', 'krátku beletriu', 'spisovateľ novely'];Poviedka je epický žáner krátkeho rozsahu s jednoduchou fabulou a menšou intenzitou dramatickosti.
information-realization;['uspávanka', 'berceuse'];Uspávanka môže byť: pieseň, ktorou matka prejavovala lásku svojmu dieťaťu.
information-realization;['slovník', 'lexikón', 'slovníka', 'slovníky'];Slovník je dokument, ktorý uvádza k súboru slov, výrazov a ďalších lingvistických alebo sémiologických jednotiek
information-realization;['encyklopédia', 'encyklopedisti', 'cyclopaedia', 'encyklopedický', 'encyklopédií', 'náučný'];Encyklopédia je dielo, ktoré možno definovať nasledovne: odborné dielo, ktoré sprostredkúva formou výkladového slovníka dosiahnuté poznatky ľudstva, alebo poznatky z niektorého vedného odboru, a to buď v abecednom, alebo v systematickom poradí.
information-realization;['chorál', 'odrieka'];Chorál
information-realization;['krížová cesta', 'krížová', 'stanica', 'via crucis'];Krížová cesta je starobylá a stále používaná modlitba rímskokatolíckej cirkvi, v ktorej veriaci rozjíma o utrpení Ježiša Krista obvykle konkretizovanom v jednotlivých zastaveniach Jeho krížovej cesty z Pilátovho domu až na horu Golgota po Via Dolorosa.
information-realization;['internacionála', 'internationale'];Internacionála je hymnická pieseň.
information-realization;['generátor náhodných čísiel', 'generátor náhodných čísel', 'generovanie náhodných čísel', 'generátory náhodných čísel'];Generátor náhodných čísel je zariadenie alebo procedúra, ktorá generuje čísla ktoré naozaj sú alebo len pripomínajú náhodné čísla.
information-realization;['zdravas mária', 'zdravas’ mária', 'raduj sa', 'ave maria', 'hail mary'];Zdravas’ Mária alebo Raduj sa, Bohorodička je tradičná modlitba k Panne Márii, matke Ježiša Krista, známa v mnohých kresťanských cirkvách
information-realization;['diatonická stupnica', 'heptatonia prima', 'diatonic meradlo', 'diatonická stupnice'];Diatonická stupnica alebo heptatonia prima je stupnicový rad v rozsahu jednej oktávy zložený z piatich celých tónov a dvoch poltónov.
information-realization;['scenár', 'filmový scenár', 'scenáristka', 'scenárista'];Scenár je textová predloha pre vznik filmového, televízneho, rozhlasového príp.
information-realization;['stupnica', 'hudobná škála', 'škála', 'hudobná stupnica', 'tónová stupnica', 'hudobné stupnice'];Stupnica je v muzikológii rad tónov, stupňovito zoradených v stúpajúcom alebo klesajúcom smere podľa určitých pravidiel od základného tónu – toniky stupnice k jeho oktáve.
information-realization;['strojový kód', 'strojový jazyk', 'natívneho kódu', 'strojového kódu'];Strojový kód alebo tiež strojový jazyk je súbor inštrukcií priamo vykonateľný procesorom počítača.
information-realization;['podprogram', 'rutina', 'subrutina', 'funkcie', 'podprogramu', 'podprogramy', 'volanie procedúr'];Podprogram
information-realization;['opereta', 'light opera', 'operety', 'operiet'];Opereta je divadelný hudobno-dramatický žáner, v ktorom sa striedajú hudobné a prozaické časti.
information-realization;['etuda', 'etud', 'etudy', 'hudobné cvičenie'];Etuda (z fr.
information-realization;['selanka', 'idyla', 'eklóga', 'pastierska báseň', 'báseň', 'bukolický'];Selanka alebo idyla je epická báseň menšieho rozsahu, ktorej námetom je vidiecky, najmä pastiersky život.
information-realization;['bájka', 'apologue', 'bájok'];Bájka je epický žáner, v ktorom zvieratá, rastliny alebo neživé predmety konajú alebo hovoria ako ľudia.
information-realization;['pieseň', 'pesnička', 'song', 'piesne', 'spev', 'ľudského hlasu'];Pieseň alebo pesnička je spievané hudobné dielo a osobitný hudobný žáner.
information-realization;['novela', 'krátky román', 'novellae', 'novely', 'noviel'];Novela je prozaický epický literárny žáner kratšieho alebo skôr stredného rozsahu, ktorý sa od poviedky a románu odlišuje tým, že obsahuje pútavý príbeh osoby či skupiny osôb, ktorý podáva dramaticky a zovreto a má prekvapivý záver.
information-realization;['gnóma', 'gnómické príslovie'];Gnóma je stručne vyjadrená múdrosť, myšlienka, ktorá má všeobecnú platnosť.
information-realization;['znak rovnosti', '=', 'znamienko rovná sa'];Znak rovnosti alebo znamienko rovnosti, hovorovo rovná sa, je =.
information-realization;['funkčná skupina', 'funkčné skupiny', 'chemická skupina', 'chemická série', 'chemické skupiny', 'periodickej tabuľky skupiny', 'časti molekuly'];V organickej chémii je funkčná skupina špecifická skupina atómov v molekule zodpovedajúca za charakteristické chemické reakcie takýchto molekúl.
information-realization;['country', 'country hudba', 'western', 'country & western', 'country and western', 'country music', 'hillbilly', 'krajiny a západnej', 'americká country hudba', 'c a w', 'country-western', 'country western', 'country spevák', 'klasické country hudby', 'krajiny západnej', 'nový country'];Country alebo country and western je hudobný žáner, ktorý pôvodne vznikol na juhu Spojených štátov.
information-realization;['brožúra', 'pamflet', 'leták', 'brožúrka', 'knižka', 'knižočka', 'letáčik', 'prospekt', 'hanopis', 'politický pamflet', 'brožúr'];Pamflet alebo hanopis v užšom zmysle je kratšie literárne dielo s hanlivým, kritizujúcim obsahom.
information-realization;['bábka', 'figúrka'];Bábka je hmotný objekt, ktorým bábkoherec vytvára javiskovú postavu.
information-realization;['štátna hymna', 'národná hymna', 'národných hymen'];Štátna hymna je slávnostná, spravidla vlastenecká pieseň slúžiaca ako symbol štátu.
information-realization;['chválospev', 'hymnus', 'hymna', 'hymnist', 'hymnodist', 'hymnographer', 'hymnwriter'];Chválospev alebo hymna
information-realization;['glóbus', 'zemegule'];Glóbus je zmenšený model planéty, nebeských telies alebo nebeskej sféry.
information-realization;['faktúra', 'účet', 'fakturácia', 'faktúry'];Faktúra alebo hovorovo účet je účtovný doklad zachytávajúci určitý výmenný vzťah, napríklad predaj tovaru, dvoch právnych subjektov.
information-realization;['účet', 'výpis z účtu', 'vyúčtovanie', 'zúčtovanie'];Účet alebo konto je jedným zo základných metodických prostriedkov účtovníctva pre zachytávanie stavov a zmien stavov jednotlivých druhov aktív a pasív.
information-realization;['premlčanie', 'zákon o premlčaní', 'zákony o premlčacej lehote'];Premlčanie, ako právny inštitút, je následok kvalifikovaného uplynutia času, ktoré spôsobuje zánik súdnej vymáhateľnosti práva, z ktorého sa stáva tzv.
information-realization;['povesť', 'legenda', 'legendárnej histórii'];Povesť je nie veľmi dlhý žáner prozaickej epiky, ktorý spravidla spracúva historickú tematiku voľne, v rozpore s historickou skutočnosťou, s pútavým dejom.
information-realization;['chinoizéria', 'chinoiserie'];Chinoizéria [vyslov: šinuazéria] bola rokoková móda 18.
information-realization;['op-art', 'op art', 'opart', 'op-artu'];Op-art
information-realization;['triler', 'thriller', 'akčný thriller', 'akčný thriller film', 'detektívka', 'lekárske thriller', 'napätie film', 'thriller film', 'thriller román', 'thrillery'];Triler je žáner filmu, knihy alebo televízneho seriálu, ktorý má u čitateľa alebo diváka vyvolať silné napätie a emócie.
information-realization;['lineárne písmo b', 'krétske lineárne písmo b', 'krétsko-mykénske lineárne písmo b', 'linear b', 'lineárne b'];Lineárne písmo B alebo krétske lineárne písmo B alebo krétsko-mykénske lineárne písmo B bolo písmo, ktoré sa používalo na zápis mykénskeho jazyka, ranej formy gréčtiny.
information-realization;['dévanágarí', 'devanagari', 'devanagári', 'devanágari', 'devanágarí', 'nagar', 'devanagari skript', 'devanagari skriptu', 'devanagiri', 'devanagri', 'devnagri', 'nagar skript', 'nagar skriptu'];Dévanágarí
information-realization;['solmizácia', 'solmizačný', 'solmisation', 'solmization'];Solmizácia je slovné označenie tónov diatonickej stupnice.
information-realization;['medzinárodná morseova abeceda', 'morseova abeceda', 'medzinárodná morseho abeceda', 'medzinárodná morsova abeceda', 'morseho abeceda', 'morseho kód', 'morseovka', 'morsova abeceda', 'morzeovka', 'medzinárodnej morseova abeceda'];Medzinárodná Morseova abeceda [vyslov: morzeova] je sústava telegrafných signálov zodpovedajúcich písmenám, čísliciam a iným znakom, ktoré sa používajú pri písaní. v grafickom vyjadrení je to sústava bodiek a čiarok, časovo bodka predstavuje krátky signál a čiarka dlhý signál.
information-realization;['sochárstvo', 'socha', 'plastika', 'sochár', 'sochárske umenie', 'sochy', 'sochári', 'sochárka', 'sochárske'];Sochárstvo je trojrozmerný druh umenia, ktoré na svoju prezentáciu používa formovanie pevného, alebo plastického materiálu.
information-realization;['diplomová práca', 'diplomka', 'diplomovka', 'dizertačnej práce', 'diplomovej práce', 'dizertačných prác'];Diplomová práca alebo hovorovo diplomovka alebo v slangu diplomka je záverečná práca spravidla druhého stupňa vysokoškolského štúdia.
information-realization;['dodekafonická hudba', 'dodekafónia', 'dvanásťtónová hudba', 'dvanásťtónová kompozičná technika', '12-tone music', '12-tón systém', 'dodecaphonism', 'dodekafonická', 'dodekafonie', 'dvanásť-posilniť', 'dvanásť-posilniť hudby', 'dvanásť-posilniť systém', 'dvanásť-posilniť techniku', 'dvanásť-tón hudby', 'dvanásť techniky tónu'];Dodekafónia alebo dvanásťtónová kompozičná technika alebo dvanásťtónová hudba je kompozičná technika a druh hudby, založenej na rovnoprávnom využití všetkých dvanástich tónov chromatickej stupnice.
information-realization;['gui', 'grafické užívateľské rozhranie', 'grafické používateľské rozhranie', 'grafické rozhranie', 'grafických užívateľských rozhraní'];Grafické používateľské rozhranie
information-realization;['príkazový riadok', 'rozhranie príkazového riadku', 'argument príkazového riadku', 'cli', 'command line interface', 'command line interpreter', 'interpret príkazov', 'príkazové', 'príkazového riadku'];Príkazový riadok predstavuje používateľské rozhranie, pri ktorom užívateľ komunikuje s programom alebo operačným systémom prostredníctvom textových príkazov.
information-realization;['rigvéda', 'rgvéd', 'rgvéda', 'rgvédah', 'rigvéd', 'rigvédah', 'rig-veda'];Rigvéda je najstaršia a najdôležitejšia skupina textov tvoriacich védy, ktorá pozostáva zo zbierky hymnov vznikajúcej pomerne dlhú dobu a redigovanej pravdepodobne v 12.
information-realization;['sonet', 'sonetov'];Sonet alebo znelka je lyrická básnická forma, má 14 veršov rozdelených do dvoch štvorveršových a dvoch trojveršových strof
information-realization;['tercína', 'tercet', 'rima terza', 'terza rima'];Tercína je lyrické trojveršie, viazaný verš s rýmom.
information-realization;['antifóna', 'antifóny', 'antiphony', 'polychoral'];Antifóna je verš, či veta s vlastnou melódiou.
information-realization;['ilustrácia', 'ilustrovaný', 'ilustrovaných kníh', 'ilustrácie', 'ilustrácií'];Ilustrácia je výtvarné stvárnenie myšlienky textu diela.
information-realization;['recitatív', 'recitatívu'];Recitatív
information-realization;['súdny príkaz', 'uznesenie'];Uznesenie je forma rozhodnutia v právnom konaní.
information-realization;['arménske písmo', 'arménčina', 'arménska abeceda', 'armenian abeceda', 'arménskej abecedy'];Arménske písmo sa používa na zápis arménskeho jazyka.
information-realization;['egyptské hieroglyfické písmo', 'egyptské hieroglyfy', 'egyptský hieroglyf', 'čisté egyptské hieroglyfy', 'egyptskej hieroglyf', 'egyptských hieroglyfov', 'hieroglyfy'];hieroglyfické písmo alebo hieroglyfy bolo hieroglyfické písmo starovekého Egypta.
information-realization;['pakt', 'zmluva', 'medzinárodná zmluva', 'dohoda', 'medzinárodná dohoda', 'protokol', 'pacte', 'zmlúv'];Medzinárodná zmluva je dohoda dvoch alebo viacerých subjektov medzinárodného práva, ktorá má medzinárodno-právne účinky a riadi sa medzinárodným právom.
information-realization;['list', 'formálny list', 'úradný list', 'úradné list'];List je písaná správa spravidla posielaná poštou.
information-realization;['šek', 'bankový šek', 'poukážka', 'zloženka', 'kontroly'];Šek je abstraktný cenný papier spĺňajúci isté náležitosti, ktorým osoba, ktorá ho vystavila, prikazuje inej osobe, aby zaplatila nejakú sumu v prospech ďalšej osoby.
information-realization;['citoslovce', 'citoslovcia'];Citoslovce alebo interjekcia je neohybný slovný druh, ktorý obyčajne nemá žiadnu gramatickú súvislosť so zvyškom vety a vyjadruje iba city alebo emócie hovorcu vety, hoci väčšina citosloviec má jednoznačnú definíciu.
