abstract-region;['vektorski produkt', 'vektor izdelek', 'vektorski izdelka', 'čez izdelek'];Binarni operator v trirazsežnem prostoru
parameter;['kisli dež', 'kisel dež', 'kislina padavin', 'padavin kisline'];Kisle padavine, ki jih povzročajo predvsem emisije žveplovega dioksida in dušikovih oksidov v atmosferi
parameter;['albinizem', 'albinistic', 'albinov'];Genetska bolezen za katero je značilno pomanjkanje melanina
parameter;['geometrična sredina', 'geometrijska sredina'];Množice pozitivnih števil je v matematiki n-ti koren zmnožka vseh elementov množice, kjer je n število elementov
parameter;['poldan', 'poldne', 'opoldne', 'vrhunec', '12 opoldne', 'high noon', 'talne'];Z dobesednim pomenom na pol dneva, je astronomski izraz za trenutek v dnevu, ko Sonce navidezno zavzame najvišjo lego nad obzorjem, nasprotno od polnoči, ko ima najnižjo
parameter;['ubežna hitrost', 'ubéžna hitróst', 'druga kozmična hitrost', 'pobeg hitrost'];V fiziki za dano gravitacijsko polje najmanjša hitrost, ki jo telo potrebuje, da se brez pogona neskončno oddalji od vira gravitacijska polja, oziroma da ne pade nazaj ali da ne ostane v tiru na določeni razdalji od izvora
parameter;['svetlobni tok', 'svetlobna jakost', 'svetlobna moč'];Fizikalna količina, ki pove količino izsevane svetlobne energije v časovni enoti
parameter;['albedo', 'odbojnost', 'odsevna moč'];Mera za svetlobno odbojnost telesa
parameter;['hitrost svetlobe', 'svetlobna hitrost', 'lightspeed', 'svetlobno hitrost'];Osnovna fizikalna konstanta, ki podaja hitrost, s katero se svetloba in drugo elektromagnetno valovanje širi v praznem prostoru
parameter;['standardni odklon', 'standardna deviacija', 'standardni pogrešek'];Statistični kazalec, največkrat uporabljen za merjenje statistične razpršenosti enot
parameter;['aritmetična sredina', 'pričakovana vrednost', 'povprečje', 'poprečje', 'pričakovanje', 'prvi moment'];Niza podatkov je v matematiki in statistiki seštevek vseh vrednosti, razdeljen na skupno število teh vrednosti oziroma podatkov
phenomenon;['kemijska reakcija', 'kemijska sprememba', 'kemična sprememba', 'reakcija', 'kemijske reakcije', 'kemična reakcija', 'kemično'];Snovna sprememba, pri kateri nastane nova snov z drugačnimi lastnosti kot izhodna
phenomenon;['anticiklon', 'anti-ciklon', 'anticiklona', 'anticiklonske'];Območje visokega zračnega tlaka
phenomenon;['šibka jedrska sila', 'šibka interakcija', 'šibka sila', 'šibke sile', 'šibkih interakcij', 'šibko interakcijo'];Ena od štirih osnovnih interakcij v naravi
phenomenon;['močna jedrska sila', 'barvna sila', 'močna interakcija', 'močne interakcije', 'barva sila', 'močna sila', 'močne sile', 'močnih interakcij'];Ena od štirih osnovnih interakcij v naravi
phenomenon;['osnovna sila', 'osnovna interakcija', 'interakcije', 'kemične interakcije', 'temeljna interakcija', 'temeljne interakcije'];Mehanizem, s katerim delujejo delci drug na drugega, ki ga ni mogoče pojasniti z drugim, še osnovnejšim mehanizmom
phenomenon;['fazni prehod', 'fizikalna sprememba', 'fizikalni proces', 'fazna sprememba', 'ehrenfestova klasifikacija', 'država spremembe', 'faznih prehodov', 'fizikalni postopek', 'fizične spremembe'];Sprememba iz enega stanja (trdno, tekoče ali plinasto) v drugo, ne da bi se pri tem spremenila tudi kemijska zgradba snovi.
phenomenon;['ionske vezi', 'ionska vez', 'heteropolarna vez', 'electrovalent obveznic', 'elektrostatično vez'];Kemijska vez med različnima kemijskima elementoma, od katerih je eden kovina, npr. alkalijska kovina, drugi pa nekovina, npr. halogenid. Atom kovine odda enega ali več elektronov na zunanji elektronski orbitali in s tem postane kation, atom nekovine pa elektrone sprejme in s tem postane anion
phenomenon;['kovalentna vez', 'kovalentne vezi', 'dvojnimi vezmi', 'kovalentna spojina', 'kovalentne', 'kovalentno'];Kemijska vez, ki nastane, ko dva atoma prispevata po enega ali več elektronov v skupni elektronski par, ki atoma poveže v molekulo
phenomenon;['električno polje', 'električna polja', 'električnega polja'];Prostor, v katerem deluje električna sila na električni naboj
phenomenon;['električni tok', 'tok', 'električnega toka'];V fiziki in elektrotehniki imenujemo usmerjeno gibanje nosilcev električnega naboja, bodisi po praznem prostoru, bodisi po kovini ali drugem električnem prevodniku
phenomenon;['planetarna meglica', 'planetárna meglíca', 'planétna meglíca', 'planetarne meglice', 'planetna meglica', 'planetne meglice'];Astronomsko telo, ki ga tvori približno okrogla sevajoča lupina plina, nastala iz določenih tipov zvezd, na koncu svojih življenj
phenomenon;['jedrska cepitev', 'cepitev jedra', 'jedrska fisija', 'cepitev jeder', 'fisija', 'fizija', 'jedrska fizija', 'razcep jedra', 'cepitev', 'jedrsko fisijo'];Jedrska reakcija, pri kateri težko atomsko jedro razpade na dve srednjetežki jedri, pri tem pa navadno odleti nekaj nevtronov
phenomenon;['jedrska fuzija', 'jedrsko zlivanje', 'zlitje jedra', 'jêdrsko zlívanje', 'fuzija', 'jedrsko zlitje', 'zlivanje jeder', 'fuzijsko reakcijo', 'jedrska fuzija reakcija'];Zlivanje vodikovih in drugih zelo lahkih atomskih jeder v težja jedra
phenomenon;['površinska napetost', 'površinske napetosti'];Pojav, da se gladina kapljevine obnaša kot prožna plošča
phenomenon;['kromatografija', 'analitične kromatografija', 'kromatograf'];Družina tehnik analizne kemije za ločevanje zmesi
phenomenon;['homoseksualnost', 'homoseksualec', 'homoseksualka', 'istospolna usmerjenost', 'istospolnost', 'lezbijke', 'lezbištvo', 'peder', 'homoeroticism', 'gayness', 'homoerotično', 'homoseksualnosti', 'homosexualism', 'istospolne privlačnosti'];Način obnašanja in spolnosti, ko sta oba partnerja istega spola
phenomenon;['sončev veter', 'sončni veter', 'zvezdni veter', 'solarni veter', 'solarnih vetrov', 'sončnega vetra'];Tok nabitih delcev, ki prihajajo iz zgornjega ozračja zvezde
phenomenon;['navor', 'vzvoj', 'vrtilni moment', 'torzija', 'rotacijski moment', 'navora'];Togega telesa
phenomenon;['cirus', 'cirrus', 'cirusni oblaki', 'cirusov', 'cirusi'];Visoki, tanki oblaki, sestoječi iz ledenih kristalčkov. Ime cirrus izhaja iz latinščine in pomeni »pramen las«
phenomenon;['kondenzacijska sled', 'contrail', 'kondenzacijski pot'];Umetni oblak, ki ga tvori motor reaktivnega letala ali krilni vrtinec pri velikih hitrostih
phenomenon;['izmenični električni tok', 'izmenični tok', 'ac', 'izmeničnega električnega toka'];Električni tok, pri katerem električni naboj ne teče venomer v isti smeri, ampak niha, največkrat tako, da se s časom sinusno spreminja
phenomenon;['kemijska vez', 'vez', 'kemična vez', 'dvojna vez', 'dvovez', 'enojna vez', 'trojna vez', 'kemijske vezi', 'obveznic'];V kemiji privlačna sila, ki povezuje atome v molekulo ali kristal
phenomenon;['enočlena operacija', 'unarna operacija', 'monadic operacija', 'predznak', 'predznak operacija'];* igra Operacija
phenomenon;['analni seks', 'analni spolni odnos', 'sodomija', 'buggery', 'analni penetraciji', 'sodomije', 'sodomized'];Spolno občevanje, v katerem partner vstavi svoj penis v stanju erekcije v partnerkino/partnerjevo danko ali v zadnjik
phenomenon;['mitoza', 'mitotska delitev celice', 'mitozi'];Postopek delitve celice, značilen za evcite
phenomenon;['dopplerjev pojav', 'dopplerjev efekt', 'dopplerjev premik', 'dopplerjevega pojava'];[dóplerjev pojáv] je fizikalni pojav kjer zaradi gibanja vira, opazovalca ali obeh nastane navidezna razlika v valovni dolžini zvoka ali svetlobe
phenomenon;['sistemski krvni obtok', 'sistemski obtok'];Del krvožilnega sistema, ki prenaša oksigenirano kri od srca v ostala tkiva po telesu in vrača deoksigenirano kri zopet v srce
phenomenon;['osmoza', 'osmotski tlak', 'ozmoza', 'osmotski'];Usmerjen prehod topila skozi polprepustno sredstvo
phenomenon;['žarek gama', 'sevanje gama', 'žarki gama', 'gama žarki', 'žarek &gamma.', 'gama foton', 'gama žarkov', 'sevanja gama'];Visokoenergijski foton, ki nastane pri radioaktivnem razpadu ali drugem jedrskem ali delčnem procesu, kot je denimo anihilacija elektrona in pozitrona
phenomenon;['sončna energija', 'solarna energija', 'sončne elektrarne', 'sončne energije', 'sončni pogon', 'sončno'];Slika
phenomenon;['sublimacijska toplota', 'toplota sublimacijo'];Toplota, ki jo moramo pri stalnem tlaku dovesti enemu kilogramu dane snovi v trdnem agregatnem stanju, segrete do temperature sublimacije, da sublimira, torej da preide v plinsto agregatno stanje
phenomenon;['krebsov cikel', 'cikel citronske kisline', 'ciklus citronske kisline', 'ciklus trikarboksilnih kislin', 'krebsov ciklus', 'ciklu krebs', 'citronska kislina cikel', 'krebs cikel', 'krebs citronska kislina cikel', 'trikarboksilna kislina cikel', 'trikarboksilnih cikla kisline'];Zaporedje več kemijskih reakcij, ki potekajo v živih celicah, pri tem pa uporabljajo kisik kot del celičnega metabolizma
phenomenon;['bioluminiscenca', 'bioluminiscenčnimi'];Oddajanje svetlobe pri živih bitjih, ki nastane pri pretvorbi kemične energije v svetlobno, pri čemer je udeležena beljakovina luciferin, kemično energijo pa posreduje adenozintrifosfat
phenomenon;['paramagnetizem', 'paramagnetiki', 'paramagnetnost', 'paramagnetno'];Pojav, da je gostota magnetnega polja v snovi, ki smo jo postavili v magnetno polje, malo večja od gostote magnetnega polja izven te snovi
phenomenon;['diamagnetizem', 'diamagnet', 'diamagnetik', 'diamagnetic'];Pojav, da je gostota magnetnega polja v snovi, ki smo jo postavili v magnetno polje, malo manjša od gostote magnetnega polja izven te snovi
phenomenon;['feromagnetizem', 'feromagnetik', 'feromagnetizma', 'feromagnetov', 'ferromagnet'];Pojav, da je gostota magnetnega polja v snovi, ki smo jo postavili v magnetno polje, veliko večja od gostote magnetnega polja izven te snovi
phenomenon;['jedrska energija', 'atomska energija', 'jedrski pogon', 'atomske energije'];Slika
phenomenon;['elipsa', 'izpust', 'glagolski izpust', 'tri pike', 'tripičje', 'eclipsis'];Končno ali nekončno ločilo in se rabijo kot znamenje izpusta, vrinjenega stavka ali spremembe skladenjskega naklona
phenomenon;['reaktanca', 'kapacitivni upor', 'upor'];Elektrotehniška in fizikalna količina, definirana kot imaginarni del impedance pri analizi električni vezij, po katerih teče izmenični tok
phenomenon;['oralni seks', 'oralni spolni odnos'];Spolni odnos, pri katerem se partnerja zadovoljujeta z vzburjanjem spolnih organov s pomočjo ust
phenomenon;['vetrna energija', 'energija vetra', 'veterna energija', 'veter', 'vetrna energija rastlin', 'vetrne'];Skupen izraz za postopke pridobivanja energije iz premikanja zračnih mas
phenomenon;['vulkanizacija', 'vulkanizacijo', 'vulkanizerstvo', 'vulkanizirane', 'vulkaniziranje', 'vulkanizirati'];Kemijski proces, pri katerem se posamezne polimerne molekule povežejo z drugimi polimernimi molekulami z atomskimi vezmi
phenomenon;['elektromagnetno valovanje', 'elektromagnetno sevanje', 'elektromagnetni valovi', 'elektromagnetno žarčenje', 'elektromagnetnega sevanja', 'elektromagnetnega valovanja', 'elektromagnetnih valov', 'em sevanje', 'nonparticulate sevanja'];Valovanje električnega in magnetnega polja
phenomenon;['jedrska magnetna resonanca', 'magnetna resonanca', 'nmr', 'protonske magnetne resonance'];Fizikalni pojav, ki opisuje interakcijo magnetnih momentov atomskih jeder z elektromagnetnim poljem s frekvenco enako lastni frekvenci jeder
phenomenon;['incest', 'krvoskrunstvo', 'incestuozno'];Spolni odnos med najožjimi sorodniki
phenomenon;['fotosinteza', 'fotosintetskih', 'fotosintezo', 'photosynthesize'];Biokemijski proces, pri katerem rastline, alge ter nekatere bakterije izrabljajo energijo svetlobe za pridelavo hrane
phenomenon;['paralaksa', 'sončna paralaksa', 'napake paralakse', 'predloga paralaksa', 'trigonometrična paralaksa'];Razlika med dvema kotoma, na primer med vidnim kotom iskala in snemalnim kotom objektiva
phenomenon;['električni potencial', 'električna napetost', 'napetost', 'voltaža', 'elektrostatični potencial', 'elektrostatski potencial', 'coulombovo potencial', 'električni potencial razlika', 'morebitni padec', 'napetosti', 'potencialna razlika'];Fizikalna in elektrotehniška količina, določena kot razlika električnega potenciala
phenomenon;['električni dipolni moment'];Fizikalna količina, ki označuje električni dipol
phenomenon;['superprevodnost', 'superprevodnik', 'supraprevodnost', 'superprevodnih', 'pretvornik', 'superprevodniki'];Pojav, da električna upornost snovi pri določeni, za dano snov značilni zelo nizki temperaturi, skokovito pade na nič
phenomenon;['aktivacijska energija', 'aktivacijsko energijo', 'energija aktivacije'];Pražna energija, potrebna, da steče kemična reakcija
phenomenon;['centripetalna sila', 'radialna sila'];Sila, ki deluje pri kroženju in ukrivlja tir krožečega telesa
phenomenon;['magnetno polje', 'magnetnega pretoka'];Prostor okoli trajnih magnetov ali vodnikov, po katerih teče električni tok, v katerem lahko zaznamo magnetno silo in magnetni navor
phenomenon;['magnetosfera', 'magnetosfero', 'magnetni'];Valjasto območje, ki obdaja Zemljo, v katerem je Sončev veter pospešen pod vplivom zemeljskega magnetnega polja
phenomenon;['kinetična energija', 'gibalna energija', 'k.e.'];Energija, ki jo ima telo zaradi svojega gibanja
phenomenon;['porod', 'rodni', 'accouchement', 'ob rojstvu', 'vaginalni porod'];Zadnja stopnja nosečnosti, pri kateri plod zapusti maternico
phenomenon;['električni prevodnik', 'električna prevodnost'];Snov, ki dobro prevaja električni tok
phenomenon;['alotropija', 'alotropia', 'alotrop', 'alotropnost', 'allotropy', 'allotropes', 'allotropism', 'alotropnih'];Pojav, ki označuje, da se neki kemijski elementi pojavljajo v več oblikah z različnimi fizikalnimi lastnostmi
phenomenon;['zračni tlak', 'atmosferski tlak', 'zračni pritisk', 'pritisk', 'tlak', 'standardnem atmosferskem tlaku', 'standardni atmosferski tlak', 'zračnega tlaka'];Tlak v Zemljinem ozračju nad katerokoli površino, povzroči pa ga teža zraka
phenomenon;['krvni tlak', 'krvni pritisk', 'arterijskega krvnega tlaka', 'diastolični krvni tlak', 'sistolični krvni tlak'];Tlak krvi v žilah
phenomenon;['strjevanje krvi', 'koagulacija', 'faktor strjevanja krvi', 'faktorji strjevanja krvi', 'koagulacijski faktorji', 'sesedanje', 'sesirek', 'strdek', 'strditev', 'strjevanje', 'faktorjev strjevanja krvi', 'koagulacijski kaskadi', 'strjevanja', 'zaledeni', 'zasirjenja', 'zasirjenjem'];Beljakovine v krvi, ki so pomembne v kaskadi reakcij, ki privedejo do koagulacije krvi
phenomenon;['električni naboj', 'elektrina', 'naboj', 'električnih nabojev', 'električno nabitih'];Ena temeljnih lastnosti snovi
phenomenon;['vztrajnostni moment', 'masni vztrajnostni moment', 'vtrajnostni moment ploskve', 'vztrajnostni tenzor'];Fizikalna količina, določena kot sorazmernostni koeficient med navorom in kotnim pospeškom pri vrtenju togega telesa okrog nepremične osi
phenomenon;['kožni pojav', 'skin efekt', 'koža učinek'];V fiziki lastnost izmeničnega električnega toka, da teče znotraj električnega prevodnika tako, da je gostota električnega toka blizu površine vodnika večja kot v njegovem središču
phenomenon;['magnetni moment', 'magnetni dipolni moment', 'trenutek magnet'];Vektorska količina, ki določa navor magnetnega polja na paličast magnet ali na tuljavo, po kateri teče električni tok
phenomenon;['strjevanje', 'zmrzovanje', 'zamrzovanje', 'zmrznjenje', 'zamrznitev'];Fazni prehod, pri katerem snov preide iz kapljevinskega v trdno agregatno stanje
phenomenon;['sinergija', 'sinergizem', 'sinergij', 'sinergije', 'sinergijo'];Se nanaša na pojav, ko dva ali več povzročiteljev oziroma vplivov, ki delujejo skupaj, ustvari efekt, ki je večji od efekta, ki bi ga napovedali, če poznamo samo efekte posameznih povzročiteljev ali vplivov
phenomenon;['učinek tople grede', 'pojav tople grede', 'toplogrednih plinov in segrevanja', 'toplogrednih segrevanja'];Izraz za otoplitev zemljine atmosfere in površja kot posledice emisij toplogrednih plinov zaradi uporabe fosilnih goriv in drugih človekovih dejavnosti ter posledično povečane sposobnosti atmosfere, da absorbira IR-sevanje
phenomenon;['rosa'];Pojav usedanja vode iz zraka
physical-body;['komet', 'koma', 'kometi in meteorji', 'repatica', 'dolgo obdobje komet', 'kometov'];Slika
physical-body;['nukleon', 'nukleona', 'nukleonov'];V jedrski fiziki skupno ime za gradnike atomskih jeder, protone in nevtrone
physical-body;['bela pritlikavka', 'bela pritlikavka zvezdicami', 'bele pritlikavke'];Astronomsko telo, ki nastane, ko zvezda z majhno ali srednjo težo umre
physical-body;['črno telo', 'celotna hladilnika', 'črnega', 'črnega spektra', 'črnega telesa'];Telo, ki absorbira vso valovanje, ki pade nanj
physical-body;['osnovni delec', 'elementarni delec', 'osnovni delci', 'osnovnih delcev', 'temeljnih delcev'];Osnovni in nedeljiv gradnik snovi
physical-body;['zemeljski planet', 'zemeljskih planetov'];Planet, ki ima trdno površino, tako kot Zemlja
physical-body;['delec alfa', 'sevanje alfa', 'delci alfa', 'alfa delci', 'alfa delcev'];Ionizirajoče sevanje, ki ga atomsko jedro oddaja pri razpadu alfa
physical-body;['foton', 'fotoni'];Osnovni delec, energijski kvant kvantiziranega elektromagnetnega polja
physical-body;['rakovica', 'rakova meglica', 'meglica rakovica', 'messier 1', 'ngc 1952'];Objekt, ki ga je Charles Messier 12. septembra 1758 kot prvega označil v svojem katalogu. Meglica je razširjajoč oblak plinov, ki je nastal ob eksploziji supernove 4. julija 1054, kar so opazovali Kitajci in severnoameriški Indijanci
physical-body;['rdeča pritlikavka', 'zvezda m v', 'rdeče pritlikavke', 'rdeča pritlikavka zvezdicami'];Najmanjše dejavne zvezde in so zvezde glavnega niza spektralnega razreda M
physical-body;['supernova', 'supernove'];Zvezda, ki je eksplodirala
physical-body;['nevtronska zvezda', 'nevtronskih zvezd'];Strnjena zvezda v kateri njeno težo vzdržuje tlak prostih nevtronov
physical-body;['spremenljivka', 'spremenljiva zvezda', 'spremenljive zvezde', 'zvezda spremenljivka', 'spremenljivke', 'spremenljivih zvezd'];Zvezde, katerih absolutni izsev se spreminja. Navidezni sij in pogosto tudi absolutni izsev nekaterih zvezd se časovno gledano spreminja in niha
physical-body;['dvojna zvezda', 'binarna zvezda', 'binarni zvezdni sistem', 'dvozvezdje', 'navidezno dvozvezdje', 'optično dvozvezdje', 'dvojnih zvezd', 'astrometric binarno', 'binarni zvezdicami', 'dvozvezdju', 'enormnih binaries', 'enormnih binarna zvezda', 'optični spremljevalec', 'spektroskopskih binaries'];Sistem dveh zvezd, ki zaradi gravitacije krožita druga okrog druge
physical-body;['zvezda orjakinja', 'orjakinja', 'bela velikan', 'oranžna velikan', 'rumena velikan', 'velikanka'];Slika
physical-body;['apolonski asteroid', 'apollo asteroid'];Član skupine Zemlji bližnjih asteroidov
physical-body;['mion', 'muon', 'mu-mezonov', 'muons', 'negativni muon'];V standardnem modelu fizike delcev skupno ime za par osnovnih delcev s pozitivnim in negativnim električnim nabojem
physical-body;['pozitron', 'antielectron', 'pozitronov', 'pozitronska'];Antidelec elektrona
physical-body;['nevtrino', 'neutrino', 'mase nevtrinov', 'nevtrini', 'nevtrinov'];Osnovni delec s spinom 1/2, zatorej spada med fermione
physical-body;['nadorjakinja', 'superorjakinja'];Zvezda zelo velikega tipa, ki ima maso od približno ~10 do 50 Sončevih mas v Herztsprung-Russellovem diagramu
physical-body;['plinski velikan', 'plinasti orjak', 'plínski velikán', 'jupitrovski planet', 'ledeni velikan', 'orjaški planet', 'plinasti velikan', 'plinski orjak', 'jupitrov planet', 'jupitrovih planeti', 'jupitrovih planetov', 'superjovian'];Velik planet, ki ni sestavljen pretežno iz kamnin ali druge trdne snovi
physical-body;['antares', '21 sco', '21 scorpii', 'alfa škorpijona', 'alpha scorpii', 'alpha scorpii a', 'antarean', 'antares a', 'demon antares', 'hip 80763', 'sao 184415', 'α sco', 'α scorpii'];Najsvetlejša zvezda v ozvezdju Strelec in ena najsvetlejših na celotnem nočnem nebu
physical-body;['severnica', 'polara', 'polarnica', 'polarna zvezda', 'polestar', 'north star', 'polaris', 'pole zvezdicami'];Najsvetlejša zvezda v ozvezdju Malega medveda
physical-object;['anorak', 'vetrovka', 'parka', 'vetrovko'];Vremensko obstojen jopič s kapuco
physical-object;['svetlobno pero', 'elektronsko pisalo', 'lightpen'];Računalniška vhodna naprava, podobna običajnim peresom in služi za podajanje položaja na računalniškem zaslonu
physical-object;['navidezni pomnilnik', 'virtualni pomnilnik', 'navideznega pomnilnika', 'virtualno shranjevanje'];Značilnost računalniških sistemov, kjer se uporablja »trajno« shranjevanje podatkov za pomoč pri izvajanju procesorskih funkcij, in se s tem osvobodi več bralno pisalnega pomnilnika oziroma glavnega pomnilnika
physical-object;['bralni pomnilnik', 'rom', 'prom', 'eprom', 'read-only memory', 'trajni pomnilnik', 'samo za branje za shranjevanje', 'vgrajena skladiščna'];Vrsta notranjega pomnilnika, iz katerega lahko med obratovanjem podatke beremo, ne moremo pa jih vanj zapisovati
physical-object;['modem', 'dial-up modem', 'računalniški modem', 'telefonski modem', 'usb modem'];Naprava za pretvorbo podatkov v obliko primerno za prenos po telekomunikacijskih linijah
physical-object;['laager', 'tabor', 'wagenburg'];Izpeljana enota SI za moč, toplotni tok, svetlobni tok in druge oblike energijskega toka. 1 W je enak 1 J/s, kar pri električnih enotah ustreza 1 V&middot.A.
physical-object;['šahovska figura', 'šahovske figure', 'šah kos', 'chessman'];Poleg šahovnice del igralnega kompleta za igranje šaha
physical-object;['vzmetna tehtnica', 'dinamometer', 'silomer', 'pomlad lestvice', 'pomlad bilanca'];Priprava za merjenje sil
physical-object;['medcelinska balistična raketa', 'icbm', 'medcelinski balistični izstrelek', 'medcelinski balističnih izstrelkov'];Balistična raketa z zelo dolgim dosegom in so ponavadi namenjene za uporabo jedrskih konic na sovražnikovem ozemlju
physical-object;['drog', 'drogu', 'visoka bar', 'vodoravna vrstica'];Športna priprava, ki se uporablja pri izvajanju istoimenske gimnastične discipline
physical-object;['gorsko kolo', 'terenska', 'gorsko kolesarstvo', 'gorska kolesa', 'gorsko', 'mountainbike', 'terenska kolesa'];Vožnja kolesa izven urejenih poti, ponavadi po gozdnih poteh
physical-object;['parnik', 'parnika', 'parnih ladij', 'steamboats'];Ladja, katere propeler ali vodno kolo poganja parni stroj
physical-object;['spovednica', 'spovednici'];Prostor, v katerem poteka spoved
physical-object;['samostrel', 'crossbows', 'izstrelili', 'lokostrelcev', 'samostreli'];Močan lok, pritrjen na oporo
physical-object;['hotel', 'hotelska dejavnost', 'nevejski prelaz', 'hotelska veriga', 'hotelski industriji', 'hotelu proračuna', 'luksuzni hotel', 'nizkocenovni hotel', 'poslovni hotel'];Zgradba komercialnega tipa, ki za razmeroma kratek čas nudi prenočišče proti plačilu
physical-object;['taksi', 'taxi', 'avtomobil', 'avtotaksi', 'taksijev', 'taksist'];Osebno prevozno sredstvo, ki ga upravlja poklicni voznik
physical-object;['sončna celica', 'sončne celice', 'fotovoltaične celice', 'fotovoltaičnih celic', 'sončne električne'];Naprava, ki sončne fotone s pomočjo elektronov pretvori v elektriko
physical-object;['metronom', 'taktomer'];Naprava, s katero se natančno določi hitrost izvajanega glasbenega dela
physical-object;['ura na nihalo', 'ura z nihalom', 'nihalo ure'];Mehanska naprava, ki za pogon uporablja nihalo
physical-object;['t-shirt', 'tee shirt', 'majica', 't-shirts'];Vrhnji del oblačila, ki se obleče čez glavo
physical-object;['pozlatitev', 'pozlata', 'mladica', 'pozlačeni', 'požarno pozlata'];Proces nanašanja zlata na površino predmetov, izdelanih iz drugih materialov
physical-object;['svetovni splet', 'splet', 'www', 'world wide web', 'svetovnega spleta', 'deskanje po spletu', 'na spletu', 'svetovnem spletu'];Porazdeljen hipertekstni sistem, ki deluje v medmrežju
physical-object;['cd-rom', 'zgoščenka', 'kompaktni disk', 'zgoščenka bralni pomnilnik'];Vrsta optičnega diska CD, ki služi samo za branje, vsebino torej dobi med izdelavo
physical-object;['prostrano omrežje', 'wan', 'prostranih omrežij'];* mednarodna avtomobilska oznaka za Nigerijo
physical-object;['dachau'];Bavarsko mesto, 20 km oddaljeno od Münchna in ima 40.000 prebivalcev
physical-object;['kadilnica', 'kadílnica', 'kadionik', 'thurible', 'censing', 'kadila gorilnik'];Priprava, ki jo uporabljajo v večini krščanskih Cerkva za blagoslavljanje s kadilom
physical-object;['relikviarij', 'relikvarij', 'relikvij', 'skrinja', 'relikviariji'];Skrinja za shranjevanje relikvij
physical-object;['hladilni stolp'];Tehnična naprava za odvajanje odpadne toplote v atmosfero
physical-object;['hoverkraft', 'hovercraft', 'razlog za delovanje stroja', 'zračno blazino'];Amfibijsko vozilo, ki se giblje na zračni blazini
physical-object;['koktajl molotova', 'molotov koktajl', 'molotovka', 'bencin bomba', 'bencinskimi bombami', 'molotovke'];Preprosto zažigalno orožje, ki je v množično rabo stopilo v 30. in 40. letih 20. stoletja. Koktajl je poimevan po sovjetskem zunanjem ministru Vladimirju Mihajloviču Molotovu
physical-object;['handžar', 'scimitar', 'kriva sablja', 'saif', 'scimitars'];Dvorezen meč, ki je zakrivljen in ima običajno bogato okrašen ročaj
physical-object;['meč', 'sablja', 'meči'];Hladno orožje za sekanje in bodenje, praviloma z ravnim in na obeh straneh nabrušenim rezilom
physical-object;['netilka', 'tolkala kapa'];Del naboja, ki je namenjen vžigu smodniške polnitve v njem
physical-object;['mikrofon', 'kondenzator mikrofoni', 'mike', 'mikrofoni'];Naprava, ki spreminja zvok v električno napetost
physical-object;['alkotest', 'breathalyser', 'breathalyzer'];Priprava, ki oceni prisotnosti oz. koncentracijo alkohola v krvi na podlagi vzorca izdihanega zraka
physical-object;['lcd-zaslon', 'lcd', 'lcd zaslon', 'lcd zasloni', 'liquid crystal display', 'zaslon s tekočimi kristali', 'tekočimi kristali', 'zaslon na tekoče kristale'];Kratica za liquid cristal display
physical-object;['šibrenica', 'šibrovka', 'bojna šibrenica', 'flinta', '12-merilnika', 'puška', 'puško', 'scattergun'];Slika
physical-object;['fagot', 'fagót', 'fagota', 'fagotto'];Leseno pihalno glasbilo tipa oboe. Cev je konična in preganjena, ima 5 luknjic in do 22 zaklopk
physical-object;['angleški rog', 'anglẹ̑ški rọ̑g'];Pihalo, ki spada v družino oboj
physical-object;['tekoči trak', 'proizvodna linija', 'montažne linije', 'proizvodne linije', 'proizvodno linijo', 'traku'];Danes uporabljajo že v skoraj vseh tovarnah po svetu
physical-object;['pištola', 'samokres', 'pištolo', 'pištole', 'revolver', 'ročno pištolo', 'stranska veja', 'streljanje železo'];Podskupina kratkocevnega ročnega strelnega orožja
physical-object;['avtomatsko orožje', 'avtomatsko strelno orožje', 'avtomatska pištola'];Orožje, ki se po vsakem strelu avtomatsko napolni, z enkratnim potegom na sprožilec pa lahko izstreli enega ali več nabojev
physical-object;['amfibijsko vozilo', 'dvoživka', 'amfibijska vozila'];Vojaški izraz za motorno vozilo namenjeno premikanju po vodi in po kopnem
physical-object;['kitajski zid', 'veliki kitajski zid', 'great wall'];Starodavna kitajska fortifikacija, zgrajena od konca 14. stoletja do začetka 17. stoletja, za časa dinastije Ming, s katero je ta želela zaščititi Kitajsko pred vpadi mongolskih in hunskih plemen
physical-object;['tower of london', 'londonski tower'];Utrdba, ki stoji ob reki Temzi v Londonu
physical-object;['sfigmomanometer', 'sphygmomanometer'];Naprava za merjenje arterijskega krvnega tlaka
physical-object;['vojne ladje', 'vojna ladja', 'seznam vojnih ladij', 'oklopnica', 'boj proti ladjo', 'bojna ladja'];Vojaške ladje, ki so oborožene, namenjene pomorskemu bojevanju in s posadko, ki jo sestavljajo vojaške osebe
physical-object;['izstrelek zemlja-zrak', 'zemlja-zrak raket', 'zemlja-zrak rakete', 'protiletalske rakete', 'sam', 'zemlja-zrak'];Izstrelek, ki ga izstrelimo s kopnega proti zračnim plovilom
