abstract-region;['ଲଘିଷ୍ଠ ସାଧାରଣ ଗୁଣିତକ', 'ଲ. ସା. ଗୁ.', 'ଲସାଗୁ', 'least common multiple'];ପାଟିଗଣିତ ତଥା ସଂଖ୍ୟାତତ୍ତ୍ୱରେ ଅନ୍ତତଃ ଦୁଇଟି ପୂର୍ଣ୍ଣାଙ୍କର ଲଘିଷ୍ଠ ସାଧାରଣ ଗୁଣିତକ
subject;['ପ୍ରାଣୀବିଜ୍ଞାନ', 'ପ୍ରାଣୀ ବିଜ୍ଞାନ', 'zoology'];ବିଜ୍ଞାନର ଯେଉଁ ବିଭାଗରେ ପ୍ରାଣୀ ଏବଂ ସେମାନଙ୍କ ବିଶେଷତ୍ୱ ବିଷୟରେ ଆଲୋଚନା କରାଯାଏ ତାହାକୁ ପ୍ରାଣୀବିଜ୍ଞାନ କୁହାଯାଏ । ଏହି ବିଷୟକୁ ଅଧ୍ୟୟନ କରୁଥିବା ଲୋକଙ୍କୁ ପ୍ରାଣୀବି଼ଜ୍ଞାନୀ କୁହାଯାଏ ।
subject;['ଉଦ୍ଭିଦ ବିଜ୍ଞାନ', 'botany', 'ଉଦ୍ଭିଦବିଜ୍ଞାନ'];ବିଜ୍ଞାନ ର ଏହି ବିଭାଗ ରେ ଉଦ୍ଭିଦ ଜଗତ ର ପୁଙ୍ଖାନୁପୁଙ୍ଖ ତଥା ବୈଜ୍ଞାନିକ ପଦ୍ଧତି ରେ ଅଧ୍ୟୟନ କରାଯାଏ.
subject;['ଆର୍ଟିଫିସିଆଲ ଇଣ୍ଟେଲିଜେନ୍ସ', 'କୃତ୍ରିମ ବୁଦ୍ଧିମତ୍ତା', 'artificial intelligence', 'କୂତ୍ରିମ ବୁଦ୍ଧିମତ୍ତା'];ଆର୍ଟିଫିସିଆଲ ଇଣ୍ଟେଲିଜେନ୍ସ ବା ସଂକ୍ଷେପରେ କହିଲେ ଏ.ଆଇ.
subject;['କମ୍ପ୍ୟୁଟର ବିଜ୍ଞାନ'];କମ୍ପ୍ୟୁଟର ବିଜ୍ଞାନ କହିଲେ କମ୍ପ୍ୟୁଟର ସମ୍ପର୍କିତ ବିଭିନ୍ନ ତଥା ସ୍ୱତନ୍ତ୍ର ଗଣନା ଗୁଡିକର ସଠିକ ମୂଲ୍ୟାୟନ ଓ ଏହାର ବାସ୍ତବିକ ବ୍ୟବହାରର ଅଧ୍ୟୟନକୁ ବୁଝାଏ । ଏହା ଆମକୁ କମ୍ପ୍ୟୁଟରର ଗଠନ, କାର୍ଯ୍ୟ ଦକ୍ଷତା, ସାମର୍ଥ୍ୟ, ବାହ୍ୟ ଯନ୍ତ୍ରପାତି ଓ ଏହାର ବ୍ୟବହାରକାରୀଙ୍କ ସହ ଯୋଗାଯୋଗ ପଦ୍ଧତି ଗୁଡିକର ସହଜ ପ୍ରଣାଳୀ ଓ ଉପଯୋଗିତା ବିଷୟରେ ଅବଗତ କରାଇଥାଏ ।ଏହାଦ୍ୱାରା କମ୍ପ୍ୟୁଟର ସହ ଜଡିତ ହାର୍ଡୱେର ଯନ୍ତ୍ରାଂଶ ଓ ସେଥିରେ ଚାଲୁଥିବା ସଫ୍ଟୱେର ପ୍ରୋଗ୍ରାମଗୁଡିକର ଉଦ୍ଦେଶ୍ୟ ଓ ସଠିକ ଭାବେ ବ୍ୟବହାର କରିବାର ପ୍ରଣାଳୀ ବିଷୟରେ ଧାରଣାହୋଇଥାଏ । ଏହାର ଅନେକ ଉପ-ବିଭାଗ ମଧ୍ୟ ରହିଛି, ଯେପରିକି ପ୍ରୋଗ୍ରାମିଂ, ମନୁଷ୍ୟ ଓ କମ୍ପ୍ୟୁଟର ଆଦାନ ପ୍ରଦାନ, ନେଟୱର୍କିଂ, କୂତ୍ରିମ ବୁଦ୍ଧିମତ୍ତା, ସଫ୍ଟୱେର ଇଞ୍ଜିନିୟରିଂ, ସୁରକ୍ଷା ଇତ୍ୟାଦି ଇତ୍ୟାଦି । କମ୍ପ୍ୟୁଟର ବିଜ୍ଞାନୀ ଓ କମ୍ପ୍ୟୁଟର ବିଜ୍ଞାନର ଛାତ୍ରଛାତ୍ରୀ ମାନେ କମ୍ପ୍ୟୁଟର ସହିତ ଜଡିତ ଥିବା ତତ୍ୱ ପରିସଙ୍ଖ୍ୟାନ ଓ ନୂତନ ଉପକରଣ ଅଥବା ଉପାୟର ରୂପାନ୍ତରଣ ଉପରେ ଗବେଷଣା କରିଥାନ୍ତି । ଏହାର ବ୍ୟବହାର ଓ ସିଦ୍ଧାନ୍ତ ଗୁଡିକ ଉପରେ ଗବେଷଣା କରି ଏହାର ବିଭାଗୀକରଣ କରାଯାଇଛି । ଏହାର କିଛି ବିଷୟକୁ ଆମର ଦୈନନ୍ଦିନ ଜୀବନରେ ସଫଳ ଭାବେ ବ୍ୟବହାର କରାଯାଇପାରୁଥିବା ବେଳେ, ଅନ୍ୟ କଛି ବିଷୟକୁ କେବଳ ସମ୍ୟକ ଧାରଣା ଓ ଅନୁମାନକୁ ଆଧାର କରି ଭବିଷ୍ୟତରେ ଗବେଷଣା ପାଇଁ ବିଷୟବସ୍ତୁ ଭାବରେ ନିଆଯାଉଛି । == ଇତିହାସ == କମ୍ପ୍ୟୁଟର ବିଜ୍ଞାନର ମୂଳ ବିଷୟ ଗୁଡିକର ଚର୍ଚ୍ଛା, ଆଧୁନିକ ଡିଜିଟାଲ କମ୍ପ୍ୟୁଟର ଗୁଡିକର ଉଦ୍ଭାବନ ସହିତ ହୋଇଥିବାର ସୂଚନା ମିଳେ । ପ୍ରାରମ୍ଭିକ ସମୟରେ "ଆବାକସ" ଭଳି ସହଜ ଗଣନ ଜନ୍ତ୍ରକୁ ଛୋଟ ଛୋଟ ଗାଣିତିକ ହିସାବ ଓ ସୂତ୍ର ଗୁଡିକର ଆକଳନ ପାଇଁ ବ୍ୟବହାର କରାଯାଉଥିଲା । ପରେ କମ୍ପ୍ୟୁଟର ବିଜ୍ଞାନର ଉନ୍ନତି ପାଇଁ ବିଭିନ୍ନ ଆଲଗୋରିଦିମ ଓ ବିଜ୍ଞାନୀ ମାନଙ୍କର ଗବେଷଣାର ତଥ୍ୟ ଗୁଡିକୁ ବ୍ୟବହାର କରଯାଇଥିଲା । ୧୬୨୩ ମସିହାରେ ୱିଲହେମ ଚିକାର୍ଡ ନାମକ ଜଣେ ଜର୍ମାନ ଗବେଷକ ପ୍ରଥମ ମେକାନିକାଲ କାଲକୁଲେଟର ନିର୍ମାଣ କରିଥିଲେ । ୧୬୭୩ ମସିହାରେ ଗଟଫ୍ରିଡ଼ ଲେବିନିଜ ନାମକ ଜଣେ ଜର୍ମାନ ଦାର୍ଶନିକ ପ୍ରଥମ ଥର ପାଇଁ ଏକ ଡିଜିଟାଲ ମେକାନିକାଲ କାଲକୁଲେଟରର ସମ୍ପୂର୍ଣ କାର୍ଯ୍ୟ ପ୍ରଣାଳୀକୁ ବୁଝାଇ ବିସ୍ତୃତ ବିବରଣୀ ଦେଇଥିଲେ । ଏହାର ନାମ "ଷ୍ଟେପ ରେକୋନର" ରଖାଯାଇଥିଲା । କମ୍ପ୍ୟୁଟର ବିଜ୍ଞାନରେ ତାଙ୍କୁ "ଦ୍ୱିକ ସଂଖ୍ୟା ଗଣିତ"ର ପ୍ରଥମ ଗବେଷକର ଆଖ୍ୟା ଦିଆଯାଇଛି । ପରେ ୧୮୨୦ ମସିହାରେ ଥୋମାସ ଡି କୋଲମର ନାମକ ଜଣେ ଗବେଷକ ପ୍ରଥମ ଥର ପାଇଁ ବ୍ଯବସାୟିକ ଉଦ୍ଦେଶ୍ୟରେ ଏହି ମେକାନିକାଲ କାଲକୁଲେଟର କାରଖାନାଟିଏ ଆରମ୍ଭ କରିଥିଲେ । ସେ ସମୟରେ ଦୈନନ୍ଦିନ ଜୀବନର ବିଭିନ୍ନ ହିସାବ ଓ ଅଫିସ କାମରେ ଏଗୁଡ଼ିକୁ ବହୁଳ ଭାବରେ ବ୍ୟବହାର କରାଯାଉଥିଲା । ୧୮୨୨ ମସିହାରେ ଚାର୍ଲ୍ସ ବାବେଜ ନାମକ ଜଣେ ଦାର୍ଶନିକ ପ୍ରଥମ ଥର ପାଇଁ ଏକ ସ୍ୱୟଂଚାଳିତ ମେକାନିକାଲ କାଲକୁଲେଟର ବ୍ୟବହାର କରିଥିଲେ । ପେସାରେ ମେକନିକାଲ ଇଞ୍ଜିନିୟର ଭାବରେ କାମ କରୁଥିବା ବାବେଜ ଥିଲେ ପ୍ରଥମ ମଣିଷ, ଯିଏ ସେ ସମୟରେ କମ୍ପ୍ୟୁଟର ବିଜ୍ଞାନରେ ଇଲେକ୍ଟ୍ରୋନିକ ଡିଜାଇନ ଗୁଡିକର ବ୍ୟବହାର କରିଥିଲେ ଓ ସେଥିରେ ଗବେଷଣା କରି ଡିଫରେନ୍ସ ଇଞ୍ଜିନ ଓ ଆନାଲିଟିକାଲ ଇଞ୍ଜିନ ନାମକ କମ୍ପ୍ୟୁଟର ଗୁଡିକର ନିର୍ମାଣ କରିଥିଲେ । ସମୟ କ୍ରମେ ତାଙ୍କୁ ଆଧୁନିକ କମ୍ପ୍ୟୁଟରର ଜନକ ଭାବରେ ନାମିତ କରଯାଇଥିଲା । ୧୮୩୪ ମସିହାରେ ସେ ଏହିପରି ଆଉ ଏକ ଜନ୍ତ୍ର ନିର୍ମାଣ କରିବା ଆରମ୍ଭ କରିଥିଲେ ଓ ପାଖାପାଖି ୨ ବର୍ଷ ମଧ୍ୟରେ, ସେ ଆଧୁନିକ କମ୍ପ୍ୟୁଟରର ଅନେକ ପ୍ରମୁଖ ଦକ୍ଷତା ଗୁଡିକୁ ସେଥିରେ ଯୋଡିବାରେ ସଫଳ ହୋଇଥିଲେ । ୧୮୪୩ ମସିହାରେ ଜଣେ ଇଂରେଜ ଗଣିତ ଗବେଷିକା ଲେଡି ଆଡା ଲଭଲେସ, ଆନାଲିଟିକାଲ ଇଞ୍ଜିନ ସମ୍ପର୍କିତ ଏକ ଫ୍ରେଞ୍ଚ ପ୍ରବନ୍ଧକୁ ଅନୁବାଦ କରିବା ସମୟରେ ନିଜର ଅନୁବାଦ ପ୍ରସଙ୍ଗ ସହିତ ଯୋଡିଥିବା ତଥ୍ୟ ଗୁଡିକର ହିସାବ ରଖିବା ଓ "ବର୍ଣ୍ଣୋଲି ସଂଖ୍ୟା" ଗୁଡିକର ବ୍ୟବହାର ନିମନ୍ତେ ଏକ ଆଲଗୋରିଦିମ ଲେଖିଥିଲେ । ଏହାକୁ କମ୍ପ୍ୟୁଟର ବିଜ୍ଞାନରେ ସର୍ବପ୍ରଥମ କମ୍ପ୍ୟୁଟର ପ୍ରୋଗ୍ରାମ ଭାବରେ ବିବେଚନା କରାଯାଏ ଓ ସେଥିପାଇଁ ତାଙ୍କୁ ପ୍ରଥମ କମ୍ପ୍ୟୁଟର ପ୍ରୋଗ୍ରାମର ଭାବରେ ଅଭିହିତ କରାଯାଏ । ୧୮୮୫ ମସିହା ବେଳକୁ ହର୍ମାନ ହୋଲେରୀ ନାମକ ଜଣେ ଆମେରିକୀୟ ଉଦ୍ଭାବକ ଏକ "ଇଲେକ୍ଟ୍ରୋ-ମେକାନିକାଲ ପଞ୍ଚ କାର୍ଡ ଟାବୁଲେଟର" ନାମରେ ଏକ ଜନ୍ତ୍ର ନିର୍ମାଣ କରିଥିଲେ, ଯେଉଁଠାରୁ "ପଞ୍ଚ କାର୍ଡ"ର ପ୍ରଥମ ବ୍ୟବହାରଅ କାର୍ଯ୍ୟ ପ୍ରଣାଳୀ ବିଷୟରେ ଧାରଣା ମିଳିଥିଲା । ପରେ ଏହା ଆଇ.ବି.ଏମ.ର ଏକ ପ୍ରମୁଖ ଅଂଶ ଭାବେ ସାମିଲ ହୋଇଥିଲା । ୧୯୩୭ ମସିହା ବେଳକୁ ଆଇ.ବି.ଏମ.
subject;['ବିଦ୍ୟୁତ୍ ଓ ଅଭିବିଦ୍ୟୁତ୍ ସଙ୍କ୍ରାନ୍ତୀୟ ବୈଷୟିକ ବିଜ୍ଞାନ', 'electrical and electronics engineering', 'ବୈଦୁତିକ ବିଜ୍ଞାନ'];ବିଦ୍ୟୁତ୍ ଓ ଅଭିବିଦ୍ୟୁତ୍ ବୈଷୟିକ ବିଜ୍ଞାନ ବୈଷୟିକ ବିଜ୍ଞାନର ଏକ ଶାଖା ଯାହାକି ବିଦ୍ୟୁତ, ଅଭିବିଦ୍ୟୁତ ଓ ବିଦ୍ୟୁତ-ଚୁମ୍ବକୀୟତା ସମ୍ପର୍କିତ ଅଧ୍ୟୟନକୁ ବୁଝାଇଥାଏ । == ଇତିହାସ == == ଶିକ୍ଷା == == ଉପବିଭାଗ == == ଆହୁରି ଦେଖନ୍ତୁ == == ଟୀକା == == ଆଧାର == == ବାହାର ଲିଙ୍କ == International Electrotechnical Commission MIT OpenCourseWare in-depth look at Electrical Engineering - online courses with video lectures.
subject;['ବିଦ୍ୟୁତ୍-ଚୁମ୍ବକତ୍ଵ', 'ବିଦ୍ୟୁତ୍,ଚୁମ୍ବକତ୍ବ,'];ବିଦ୍ୟୁତ୍-ଚୁମ୍ବକତ୍ୱ ବା ବିଦ୍ୟୁତ୍-ଚୁମ୍ବକୀୟ ପ୍ରଭାବ ଭୌତିକ ବିଜ୍ଞାନର ଏକ ପ୍ରମୁଖ ଶାଖା । ବିଦ୍ୟୁତ୍-ଚୁମ୍ବକୀୟ ବଳ ଓ ତାହାର ପ୍ରଭାବର ଅନୁଶୀଳନ ଏହି ଶାଖାର ଭିତ୍ତିଭୂମି । ବୈଦୁତିକ ଚାର୍ଜ୍ ବହନ କରୁଥିବା ବସ୍ତୁମାନଙ୍କ ମଧ୍ୟରେ ବଳ ସୃଷ୍ଟି ହୁଏ, ତାହାକୁ ବିଦ୍ୟୁତ୍-ଚୁମ୍ବକୀୟ ବଳ ବୋଲି କୁହାଯାଏ । ବିଦ୍ୟୁତ୍-ଚୁମ୍ବକୀୟ ବଳ, ବିଦ୍ୟୁତ୍-ଚୁମ୍ବକୀୟ କ୍ଷେତ୍ର ସହିତ ଓତଃପ୍ରୋତ ଭାବେ ଜଡ଼ିତ । ଆଧୁନିକ ଭୌତିକ ବିଜ୍ଞାନରେ ବିଦ୍ୟୁତ୍-ଚୁମ୍ବକୀୟ ବଳକୁ ପାରମାଣବିକ ବସ୍ତୁ ଙ୍କ ମଧ୍ୟରେ ଥିବା ଏକ ମୌଳିକ ପାରସ୍ପରିକ ବଳ ଭାବେ ଗଣନା କରାଯାଏ । ସାଧାରଣତଃ ପାରମାଣବିକ ବସ୍ତୁମାନଙ୍କ ମଧ୍ୟରେ ଥିବା ୪ଟି ମୌଳିକ ପାରସ୍ପରିକ ବଳ ହେଲା: ଶକ୍ତିଶାଳୀ ବଳ, ଶକ୍ତିହୀନ ବଳ, ମହାକର୍ଷଣୀୟ ଏବଂ ବିଦ୍ୟୁତ୍-ଚୁମ୍ବକତ୍ୱ । ବିଦ୍ୟୁତ୍-ଚୁମ୍ବକତ୍ୱକୁ ବିଦ୍ୟୁତ୍-ଚୁମ୍ବକୀୟ ବଳ ର ପ୍ରଭାବଦ୍ୱାରା ପରିପ୍ରକାଶ କରାଯାଏ । ବିଦ୍ୟୁତ୍-ଚୁମ୍ବକୀୟ ବଳରେ ବୈଦୁତିକ ବଳ ଓ ଚୁମ୍ବକତ୍ୱ ସମାହିତ । ପାରମ୍ପରିକ ଭୌତିକ ବିଜ୍ଞାନର ଅନୁସାରେ ବିଦ୍ୟୁତ୍ ଚାର୍ଜ୍ ଓ ବିଦ୍ୟୁତ୍ ବିଭବ ଯୋଗୁଁ ବୈଦ୍ୟୁତିକ କ୍ଷେତ୍ର ସୃଷ୍ଟି ହୋଇଥାଏ । ମାଇକେଲ୍ ଫାରାଡ଼େଙ୍କ ନିୟମାନୁସାରେ ଚୁମ୍ବକୀୟ କ୍ଷେତ୍ର, ବିଦ୍ୟୁତ୍-ଚୁମ୍ବକୀୟ ଉପପାଦନ ଓ ଚୁମ୍ବକତ୍ୱ ସହିତ ସମ୍ପୃକ୍ତ । ବୈଦୁତିକ କ୍ଷେତ୍ରରେ ଚାର୍ଜ୍ ଓ ପ୍ରବାହ, ଚୁମ୍ବକୀୟ କ୍ଷେତ୍ର ପରସ୍ପରକୁ କିପରି ଭାବେ ପ୍ରଭାବିତ କରନ୍ତି ମାକ୍ସୱେଲଙ୍କ ସମୀକରଣରେ ଦର୍ଶିତ ହୋଇଛି । ବିଦ୍ୟୁତ୍-ଚୁମ୍ବକତ୍ୱର ପରୀକ୍ଷଣଦ୍ୱାରା ଶୂନ୍ୟରେ ଆଲୋକର ବେଗ ନିରୂପିତ ହୋଇପାରିଲା ଓ ଏହା ଆଇନଷ୍ଟାଇନଙ୍କ ବିଶେଷ ଆପେକ୍ଷିକ ତତ୍ତ୍ୱର ଭିତ୍ତିଭୂମି । == ଇତିହାସ == ପୂର୍ବେ ବିଜ୍ଞାନ ଜଗତରେ ବୈଦୁତିକ ପ୍ରଭାବ ଓ ଚୁମ୍ବକତ୍ୱ ଭିନ୍ନ ଭିନ୍ନ ବଳ ବୋଲି ଧାରଣା ଥିଲା । ୧୮୭୩ ମସିହାରେ ଜେମ୍ସ୍ କ୍ଲାର୍କ ମାକ୍ସୱେଲଙ୍କ ବିଦ୍ୟୁତ୍ ଓ ଚୁମ୍ବକତ୍ୱ ସମ୍ବନ୍ଧୀୟ ଲେଖ ପରେ ଏହି ଧାରଣା ବଦଳିଲା । ଯେତେବେଳେ ଯୁକ୍ତ ଚାର୍ଜ୍ ଓ ବିଯୁକ୍ତ ଚାର୍ଜ୍ ପରସ୍ପରର ପ୍ରଭାବରେ ଆସନ୍ତି ସେତେବେଳେ׃ ୧.
subject;['କଣିକା ପଦାର୍ଥ ବିଜ୍ଞାନ', 'particle physics'];କଣିକା ପଦାର୍ଥ ବିଜ୍ଞାନ, ପଦାର୍ଥ ବିଜ୍ଞାନର ଏକ ଶାଖା ଅଟେ । ଏଥିରେ ବସ୍ତୁ ଓ ବିକିରଣ କୁ ସଂଗଠିତ କରୁଥିବା କଣିକା ଗୁଡ଼ିକର ପ୍ରକୃତି ଉପରେ ଅଧ୍ୟୟନ କରାଯାଏ । In current understanding, particles are excitations of quantum fields and interact following their dynamics.
subject;['ସେଟ ତତ୍ତ୍ୱ', 'ସେଟ ତତ୍ତ୍ଵ', 'set theory', 'ସେଟ ତତ୍ଵ', 'ସେଟ୍ ତତ୍ତ୍ଵ', 'ସେଟ୍ ତତ୍ଵ'];ବିଂଶ ଶତାବ୍ଦୀରେ ଗଣିତଶସ୍ତ୍ରରେ ଚମକ ସୃଷ୍ଟି କରିଥିବା ସେଟ ତତ୍ୱର ସ୍ରଷ୍ଟା ହେଉଛନ୍ତି ବିଖ୍ୟାତ ଜର୍ମାନ ଗଣିତଜ୍ଞ ଜର୍ଜ କ୍ୟାଣ୍ଟର । ସୂର୍ଯ୍ୟ ବିହୁନେ ଗ୍ରହମାନେ ଯେପରି ନିଷ୍ପ୍ରଭ ଓ ନିସ୍ତେଜ ହୋଇଯାନ୍ତି, ସେଟ ତତ୍ୱ ବିନା ଗଣିତଶାସ୍ତ୍ରର ବିଭିନ୍ନ ବିଭାଗ ଯଥା: ଜ୍ୟାମିତି, ବୀଜଗଣିତ, କଳନ ଶାସ୍ତ୍ର ଇତ୍ୟାଦିର ଅବସ୍ଥା ଠିକ ସେହିପରି ହୋଇଥାନ୍ତା । ସେଟ ତତ୍ୱ ଗଣିତକୁ ସହଜ ସୁନ୍ଦର କରିବାରେ, ଜଟିଳ ଗାଣିତିକ ତତ୍ୱକୁ ସରଳ ଓ ସାବଲୀଳ ଭାବରେ ବିଶ୍ଲେଷଣ କରିବାରେ ମୁଖ୍ୟ ଭୂମିକା ଗ୍ରହଣ କରିପାରିଛି । ସେଟ ସଂଜ୍ଞା ବିହୀନ ଅଟେ । == ସେଟ୍ ଓ ଏହାର ଉପାଦାନ == ଆମେ ଅନେକ ସମୟରେ କଥା ପ୍ରସଙ୍ଗରେ ଚାବିନେନ୍ଥା, ଛାତ୍ରଦଳ, ଗାଈପଲ, ତାରକା ପୁଞ୍ଜ, କ୍ରିକେଟ ଟିମ୍, ବାସନ ସେଟ୍, ସୋଫା ସେଟ୍ ଆଦି କହିଥାଉ । ଏଠାରେ ନେନ୍ଥା, ଦଳ, ପଲ, ପୁଞ୍ଜ, ଟିମ୍ ଆଦି ଗୋଟିଏ ଗୋଟିଏ ଗୋଷ୍ଠୀ ବା ସମାହାର କୁ ସୂଚାଏ । ଏହି ଗୋଷ୍ଠୀ ବା ସମାହାର ପ୍ରତ୍ୟେକ ସେଟର ଗୋଟିଏ ଗୋଟିଏ ଉଦାହରଣ । ବାସନ ସେଟ୍ ଓ ସୋଫା ସେଟ୍ କହିଲେ ଆମେ ଯଥାକ୍ରମେ ବାସନର ସମାହାର ଓ ସାଫାର ସମାହାର ବୋଲି ବୁଝୁ । ସାଧାରଣତଃ ଆମ ମନ ମଧ୍ୟରେ ଯେକୌଣସି ନିର୍ଦ୍ଧିଷ୍ଟ ବସ୍ତୁମାନଙ୍କୁ ଚିନ୍ତାକରି ଆମେ ସେହି ବସ୍ତୁମାନଙ୍କଦ୍ୱାରା ସେଟ୍ ଗଠନର ପରିକଳ୍ପନା କରିଥାଉ । ଉଦାହରଣ ସ୍ୱରୂପ : ଓଡ଼ିଶାର ଜିଲ୍ଲା ସମୂହସମସ୍ତ ଗଣନ ସଂଖ୍ୟା୨,୩,୫,୭,୧୧,୧୭,୩୨ବାଘ, ଭାଲୁ, ସିଂହ ଆଦି ସମାହାରକୁ ନେଇ ଗୋଟିଏ ଗୋଟିଏ ସେଟ ଗଠନର ପରିକଳ୍ପନା କରାଯାଇ ପାରିବ । କିନ୍ତୁ, ସେଟଟି ଏପରି ହେବା ଉଚିତ ଯେପରିକି, କୌଣସି ଦତ୍ତ ବସ୍ତୁ ଉକ୍ତ ସେଟର ଉପାଦାନ କି ନୁହେଁ, ତାହା ନିର୍ଦ୍ଧିଷ୍ଟ ଭାବରେ ସ୍ଥିରୀକୃତ କରାଯାଇ ପାରୁଥିବ । ଉଦାହରଣ : 'ସୁନ୍ଦର ଫୁଲ' ମାନଙ୍କୁ ନେଇ ଏକ ସେଟର ଗଠନ ସମ୍ଭବ ନୁହଁ, କାରଣ ସୌନ୍ଦର୍ଯ୍ୟର ଏପରି କିଛି ମାପକାଠି ନାହିଁ ଯାହାଦ୍ୱାରା ଆମେ କେଉଁ ଫୁଲଟି ସୁନ୍ଦର ଓ କେଉଁଟି ସୁନ୍ଦର ନୁହଁ ତାହା ନିଶ୍ଚିତ ଭାବରେ କହିପାରିବା ।'ବୃହତ୍ତର ଧନାତ୍ମକ ସଂଖ୍ୟା'କୁ ନେଇ ଏକ ସେଟ ଗଠନ ସମ୍ଭବ ନୁହେଁ, କାରଣ କେଉଁ ସଂଖ୍ୟା ବୃହତ୍ ତାହା ଠିକ୍ ଭାବରେ କହିବା ସମ୍ଭବ ନୁହେଁ । ସୁତରାଂ ଉତ୍ତମରୂପେ ସ୍ଥିରୀକୃତ ହୋଇନଥିବା ଉପାଦାନମାନଙ୍କୁ ନେଇ ସେଟ୍ ଗଠନ ଅସମ୍ଭବ । ଯଦି ସେଟ୍ 'S'ର ଗୋଟିଏ ଉପାଦାନ 'a' ହୋଇଥାଏ, ତେବେ ଆମେ ଲେଖିବା a ∈ S । ଏଠାରେ 'a ∈ S'ର ଅର୍ଥ ହେଉଛି, Sର a ଏକ ଉପାଦାନ । ଦ୍ରଷ୍ଟବ୍ୟ : ଯେକୌଣସି ଗୋଷ୍ଠୀ ବା ସମାହାର ଏକ ସେଟ୍ ନ ହୋଇପାରେ । କିନ୍ତୁ ପ୍ରତ୍ୟେକ ସେଟ୍ ଗୋଟିଏ ଗୋଟିଏ ଗୋଷ୍ଠୀ ବା ସମାହାର ଅଟନ୍ତି । == ସେଟର ଲିଖନ ବା ପରିପ୍ରକାଶ == ସେଟ୍ ଲେଖିବା ପାଇଁ ଦୁଇ ପ୍ରକାର ପଦ୍ଧତି ଅଛି : ତାଲିକା ପଦ୍ଧତି ବା ସାରଣୀ ପଦ୍ଧତି ସୂତ୍ର ପଦ୍ଧତି ବା ସେଟ୍ ଗଠନକାରୀ ପଦ୍ଧତି === ତାଲିକା ପଦ୍ଧତି === ଇନ୍ଦ୍ରମଣି ଜାଣି ଥିବା ଭାଷା ସେଟ୍ = === ସୂତ୍ର ପଦ୍ଧତି === X . X ଏକ ପିପିଳିଆ ଗ୍ରାମର ସାହି == ବିଭିନ୍ନ ପ୍ରକାର ସେଟ == ସସୀମ ଅସୀମ ପରିପୂରକ ଶୂନ୍ୟସେଟ୍ ବ୍ୟାପକ ସେଟ୍ ଅଧିସେଟ୍ ଉପସେଟ୍ == ସେଟ ପ୍ରକ୍ରିୟା == == ଆଧାର == == ବାହାର ଆଧାର == Foreman, M., Akihiro Kanamori, eds.
subject;['ସାମାଜିକବିଜ୍ଞାନ', 'ସାମାଜିକ ବିଜ୍ଞାନ'];ବିଜ୍ଞାନର ଯେଉଁ ବିଭାଗରେ ସମାଜ ଏହାର ଚଳଣି, ଆଚରଣ ବିଧି, ନୀତି, ନିୟମ ଇତ୍ୟାଦି ବିଷୟରେ ଆଲୋଚନା ଓ ପଠନ କରାଯାଇଥାଏ ତାହାକୁ ସାମାଜିକ ବିଜ୍ଞାନ କୁହାଯାଇଥାଏ ।
subject;['ରସାୟନ ବିଜ୍ଞାନ', 'chemistry', 'ରସାୟନବିଜ୍ଞାନ'];ରସାୟନ ବିଜ୍ଞାନ ହେଉଛି ଭୌତିକ ବିଜ୍ଞାନର ଏକ ଶାଖା । ଏଠାରେ ପଦାର୍ଥର ସଙ୍ଘଟନ, ସଂରଚନା, ଗୁଣ, ଆଉ ରାସାୟନିକ ପ୍ରତିକ୍ରିୟା ସମୟରେ ହେଉଥିବା ପରିବର୍ତ୍ତନର ଅଧ୍ୟୟନ କରାଯାଏ। ରସାୟନ ବିଜ୍ଞାନଦ୍ଵାରା ଆମେ ଜାଣିପାରୁ ଥିବା ଦୃଷ୍ଟିକୋଣ ମଧ୍ୟରୁ ମୁଖ୍ୟ ହେଉଛି ଉଦ୍ଭିଦ ବିଜ୍ଞାନ, ଆଗ୍ନେୟଗିରିରୁ ଉତ୍କ୍ଷିପ୍ତ ହଉଥିବା ପଥର ବା ଆଗ୍ନେୟ ପଥରର ଗଠନ ଭୂବିଜ୍ଞାନ,କିପରି ବାୟୁମଣ୍ଡଳୀୟ ଓଜୋନର ନିର୍ମାଣ ହୁଏ ଏବଂ କିପରି ବାୟୁମଣ୍ଡଳକୁ ଦୂଷିତ କରୁଥିବା ପଦାର୍ଥ ନଷ୍ଟ ହୁଏ ପରିବେଶ ବିଜ୍ଞାନ, ଚନ୍ଦ୍ର ପୃଷ୍ଠରେ ମୃତ୍ତିକାର ଗୁଣଧର୍ମ ବିଷୟରେ,କିପରି ଔଷଧ କାମ କରେ ଇତ୍ୟାଦି । == ଆଧାର == == ଅଧିକ ପଢ଼ିବେ == Popular readingAtkins, P.W. Galileo's Finger ISBN 0-19-860941-8 Atkins, P.W. Atkins' Molecules ISBN 0-521-82397-8 Kean, Sam.
