abstract-region;['khi̍t-han'];Khi̍t-han he hien-thoi Sú-ho̍k thi̍t-phe̍t he Fûn-sak-ho̍k chûng ke kî-chhú khói-ngiam chṳ̂-yit.
locative-role;['wales', 'vî-ngì-sṳ̂', 'vî-ngì-sṳ'];Vî-ngì-sṳ̂ he Thai Britain lâu Pet Ireland Lièn-ha̍p Vòng-koet ke yit-ke vòng-koet, vi-yî Thai Britain-tó sî-nàm-phu, tûng-kie England, sî-lìm Saint George Hói-hia̍p, nàm-mien Bristol-vân, pet kho Ireland hói, Cardiff he khì sú-tû lâu thi-yit thai-sàng.
locative-role;['rotterdam', 'lu̍k-thi̍t-tan'];Rotterdam he Hò-làn thi-ngi thai sàng-sṳ, vi yî Hò-làn ke nàm Hò-làn sén, Nieuwe Maashò pán.
locative-role;['münchen', 'munich'];München he Tet-koet nàm-phu ke yit-chak sàng-sṳ.
locative-role;['làn-chû-sṳ', 'lanzhou'];Làn-chû-sṳ he Chûng-koet Kâm-suk-sén ke yit-chiak thi-kip-sṳ.
locative-role;['milano', 'mí-làn'];Milano he Êu-chû koet-kâ Yi-thai-li ke sî-pet-fông thai sàng, ya-he Milano-sén ke Sén-fi fò Lombardia ke Sú-fú, vi-yî Yi-thai-li ngìn-khiéu chui me̍t-si̍p fò fat-chán chhàng-thu chui-kô ke Lombardia phìn-ngièn sông.
locative-role;['ná-pa-sṳ', 'naha-sṳ', 'naha'];Naha-sṳ he Ngit-pún Okinawa-yen ke yit-ke sàng-sṳ, vi-yî Okinawa pún-tó nàm-phu ke sî hói-ngan.
locative-role;['valparaíso', "wǎ'ěr pà lái suǒ"];Valparaíso vi-yî Thai-phìn-yòng ngan-piên, he Chṳ-li li̍p-fap sú-tû, koet-fi ke só-chhai-thi, Valparaíso-sén sú-fú, Valparaíso Thai-khyî sú-fú.
locative-role;['rio de janeiro'];Rio de Janeiro he vi yî Pâ-sî tûng-nàm-phu ke yit-chho sàng-sṳ, he Pâ-sî thi-ngi thai sàng, kiùn-chhṳ yî Sṳn Pó-lò, mien-chit 1,256 phìn-fông kûng-lî, ngìn-khiéu 6,094,183-ngìn, chên-kîn he Phù-thò-ngà Ti-koet sú-tû, fûng-kín yù-mî, mî-ngièn khi̍p-yín thai-liòng yû-hak to chhṳ́ kôn-kông, sṳ-kin-nui ke Rio de Janeiro kóng he sṳ-kie sâm-thai thiên-yèn liòng-kóng chṳ̂-yit.
locative-role;['mî-sok-put-tha̍t-mí-â', 'mesopotamia'];Mî-sok-put-tha̍t-mí-â（ܒܝܬ ܢܗܪܝܢ） he Kú Hî-lia̍p tui Lióng hò liù-vet ke chhṳ̂n-fû.
locative-role;['detroit'];Detroit he Mî-koet Me̍t-hiet-kîn-chû chui-thai ke sàng-sṳ, ya-he Wayne-yen ke yen-chhṳ só-chhai.
locative-role;['new york sṳ', '紐約', '紐約州', '纽约', '纽约州', 'néu-yok-sṳ', 'néu-yok'];New York Sṳ fe̍t-chá ham-cho Néu-yok-sṳ, he Mî-koet ngìn-khiéu chui-tô ke sàng-sṳ, ya-he chhiòn sṳ-kie chui-thai ke Tû-fi-khî chṳ̂-yit ——New York Tû-fi-khî ke fu̍t-sîm.
locative-role;['philadelphia', 'fi-sàng', 'fî-là-thiet-fî'];Philadelphia vì Mî-koet thi-ńg thai sàng, pin-chhiâ he Pennsylvania ngìn-khiéu chui-tô, mien-chit chui-thai ke sàng-sṳ.
locative-role;['chûng mî-chû', 'chûng-mî-chû'];Chûng Mî-chû he yit-ke thi-lî khói-ngiam, yî kí m̀-thùng ke va̍k-fûn-fap, su̍k-yî Pet-mî-chû fe̍t Nàm-mî-chû ke yit-phu-fun, yit-pân chṳ́ lièn-chiap Pet-mî-chû lâu Nàm-mî-chû chṳ̂ kiên ke thi-hia̍p, hien yû chhit chṳ pat-ke koet-kâ.
locative-role;["l'aquila", 'â-khwuî-là'];L'Aquila he yit-chho Yi-thai-li chûng-phu sàng-sṳ, Abruzzo fò L'Aquila-sén Sú-fú, ngìn-khiéu 72,913 ngìn, than-he kâ-sông mî-thiên chhai kin-nui chhiu thu̍k, chhiu ngia̍p fò lî-yû chá, ngìn-sú tha̍t-to 10 van.
locative-role;['venezia', 'vî-nì-sṳ̂'];Venezia he Yi-thai-li tûng-pet-phu chho̍k-miàng ke lî-yû lâu kûng-ngia̍p sàng-sṳ, ya-he Veneto thi-khî ke Sú-fú.
locative-role;['cape town'];Cape Town he Nàm-fî ngìn-khiéu phài-miàng thi-ngi thai sàng-sṳ, ya-he Cape Town tû-fi sang-khî chû-sṳ̀n phu-fun, Sî Khôi-phú-sén sén-fi, Cape Town vi Nàm-fî li̍p-fap sú-tû.
locative-role;['sahara sâ-mo̍k', 'sat-hâ-là sâ-mo̍k', 'sáhara'];Sat-hâ-là sâ-mo̍k he sṳ-kie chui ngie̍t ke fông mo̍k, yi̍t he sṳ-kie thi-sâm-thai fông mo̍k, kiùn chhṳ yî nàm khi̍t fò pet khi̍t, khì chúng mien-chit chhêu-ko 9400000 km2, lâu Kâ-nâ-thai fe̍t Mî-koet koet-thú mien-chit siông-tông.
method;['mìn-tsú tsú-ngi'];Mìn-tsú Tsú-ngi thoi-péu tshiu-he yù ngìn-mìn thúng-tshṳ tsṳ̂ yi-sṳ.
method;['kiûn-chú-chṳ'];Kiûn-chú-chṳ（君主制） he koet-kâ chui-kô khièn-li̍t vàn-chhiòn fe̍t péu-mien song tsi̍p-chûng yî hân-yit ke-thí ke chṳ-thu.
non-agentive-physical-object;['pâ-nâ-mâ yun-hò', 'panama yun-hò'];Pâ-nâ-mâ Yun-hò vi-yî Chûng Mî-chû ke Pâ-nâ-mâ, vàng-chhôn Pâ-nâ-mâ thi-hia̍p, chúng chhòng 82 kûng-lî, thai-chṳ chhṳ̀n sî-pet - tûng-nàm chéu hiong, khôn ke thi-fông tha̍t 304 mí, chui-tsak ke thi-fông ya-yû 152 mí.
non-agentive-physical-object;['hà-mà', 'koái-é', 'kúai-é', '𧊅仔'];Hà-mà蛤嬤（蛤嫲／蛤蟆） thai-phu-fun yû thu̍k, than-he thu̍k-sin khó-yî tsṳ-tsho yo̍k-vu̍t.
non-agentive-physical-object;['hà-mà', 'koái-é', 'kúai-é', '𧊅仔'];Koái-é thai-yok yû si-tshiên pat-pak tsúng-lui, yì-yèn thai-phu-fun sên-fa̍t tshai súi-tsûng.
non-agentive-physical-object;['chṳ̂n-chû'];Chṳ̂n-chû he yit chúng yù ngiôn-thí thung-vu̍t sâng-sán ke ngang ke, yèn va̍t ke tûng-sî.
non-agentive-physical-object;['wall-kiê', 'fà-ngì-kiê', 'wall street'];Fà-ngì-kiê he yit-thiàu vi-yî Mî-koet Néu-yok-sṳ Hâ Màn-hâ-tun ke ha̍p-chak kiê-tho.
non-agentive-physical-object;['sok-é', 'sok'];Sok-é, fe̍t-chá ham cho sok, he yung-lòi phiok tûng-sî ke kûng-khí.
non-agentive-physical-object;['bû-la-chiá'];Bû-la-chiá he ńg-ngìn ke yit-chúng tái-sâm, chho̍k chui tî-tú, yung lòi pó-fu nen-kû.
non-physical-collection;['chûng-kau'];Liá-piên "Chûng-kau" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"宗教" ke ya̍p-mien chhai liá-hong tiám-chhut.
non-physical-collection;['ôn-sit-ngit-fi', 'ôn-sit-ngit fi'];Ôn-sit-ngit-fi he Kî-tuk Sîn-kau ke yit-ke kau-phai, sṳ̀n-li̍p yî 1863-ngièn.
non-physical-collection;['tho-kau'];Liá-piên "Tho-kau" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"道教" ke ya̍p-mien chhai liá-hong tiám-chhut.
non-physical-collection;['luther kau-phai', 'lu-tet kau-phai', 'sin-ngi-chûng'];Lu-tet kau-phai / Sin-ngi-chûng, fe̍t chhṳ̂n Lu-tet-chûng, vì Sîn-kau chûng-phai chṳ̂-yit, ngièn chhṳ 16 Sṳ-ki Tet-koet sṳ̀n ho̍k-kâ Mâ-tên Lu-tet vì kiet-sîn Thiên-chú-kau fi fat-hí ke chûng-kau kói-kiet yun-thûng, khì sṳ̀n ho̍k sṳ̂-sióng sṳ̀n-vì kói-kiet yun-thûng ke siong-chṳ̂n.
non-physical-collection;['chóng-ló kau-fi', 'chóng-ló-fi', 'chhòng-ló-fi', 'chhòng-ló kau-fi'];Chóng-ló Kau-fi he Kî-tuk-kau Sîn-kau ke yit-phai, kîn-ngièn he chhiùng Sṳ̍p-liuk Sṳ-ki ke sî Êu-chû kói-kiet yun-thung khôi-sṳ́.
non-physical-collection;['yî-sṳ̂-làn-kau', '伊斯兰教', '伊斯蘭教', '回教', 'islam'];Liá-piên "Yî-sṳ̂-làn-kau" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"伊斯蘭教" ke ya̍p-mien chhai liá-hong tiám-chhut.
non-physical-collection;['yù-thai-kau'];Liá-piên "Yù-thai-kau" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"猶太教" ke ya̍p-mien chhai liá-hong tiám-chhut.
non-physical-collection;['ńg-sùn-chiet yun-thung'];Ńg-sùn-chiet Yun-thung he Ngi-sṳ̍p Sṳ-ki chhut-thèu hîn-hí ke Kî-tuk Sîn-kau chhai-nui ke yun-thung.
non-physical-collection;['sùn-tho-tsûng', 'sùn-tho-chûng', 'ví-lî kûng-fi', 'ví-sṳ̂-lî-chûng'];Sùn-tho-chûng fe̍t-chá Ví-lî-chûng he Kî-tuk-kau Sîn-kau chú-yeu chûng-phai chṳ̂-yit.
non-physical-collection;['kî-tuk-kau', '基督教', 'gi-tuk-gaau', 'kî-tuk-kau-fi'];Liá-piên "Kî-tuk-kau" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"基督教" ke ya̍p-mien chhai liá-hong tiám-chhut.
non-physical-collection;['yì-kâ', 'yî-kâ'];Yì-kâ he Khúng-chṳ́ sṳ̂-sióng cho-vì chú-yeu nui-yùng ke yit-chak chet-ho̍k sṳ̂-sióng thí-hì, kì-yu ham-cho Yì-kau fe̍t chá Khúng-kau.
non-physical-collection;['sîn-kau', '基督新教', '新教', 'kî-tuk sîn-kau'];Liá-piên "Sîn-kau" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"新教" ke ya̍p-mien chhai liá-hong tiám-chhut.
organized-collection;['kông-phú'];Kông-phú he fu̍k-set-kông thûng-ko set-san ne-thúng chin-hàng fûn-kông heu, yî-cheu kông pô-chhòng ke thai-séu sun-chhṳ phài-lie̍t hìn-sàng ke thù-on.
parameter;['kâ-suk-thu'];Tu Vu̍t-lí-ho̍k, kâ-suk-thu he Suk-thu ke pien-fa-li̍t.
parameter;['yun'];Yun he la̍k-fap tú ke yit chúng siû-chang sṳ̀-kiên ke fông-sit, pâu-hàm yun-ngièn, yun-ngie̍t, yun-chû, yun-miéu tén-tén.
parameter;['ko-men'];Ko-men he su̍k-yî yàm-tsin fán-yin, he chṳ́ -tông ngoi-lòi-vu̍t chhîm-ngi̍p ngìn-thí sṳ̀, ngìn-thí ke miên-yi̍t hì-thúng sán-sâng ke ko-thu fán-yin.
parameter;['het-tsṳ̂', '赫兹', '赫茲'];Het-tsṳ̂ he kie-son phìn-liu̍k ke Tân-vi.
phenomenon;['solvay fap', 'sok-ngì-vì-fap'];Sok-ngì-vì-fap he 1861-ngièn Pí-li-sṳ̀ kûng-ngia̍p Fa-ho̍k-kâ Êu-nui-sṳ̂-thi̍t Sok-ngì-vì fat-mìn ke yung ôn-súi lòi sṳ́ liu̍k-fa-na̍p chón-pien vì Than-sôn-na̍p ke fông-fap.
phenomenon;['thòi-fûng', '颱風', '台风', '風搓', '风搓'];Thòi-fûng he Ngie̍t-tai Hi-siên ke yit-ke lui-phe̍t.
phenomenon;['yùn', '云', '雲'];Yùn he Hàng-sên péu-mien Thai-hì-chhèn chûng yù súi fe̍t tô-chúng Fa-ho̍k vu̍t-chṳt kèu-sṳ̀n ke khó-kien ke yi̍t-tit fe̍t pên tsin ke Si̍p-ha̍p-thí.
phenomenon;['siet', 'siet-fâ'];Siet he kong-súi hìn-sṳt ke yit-chúng, he chhiùng yùn chûng kong-lo̍k ke Kiet-chin-chhong ku-thí pên, sòng yî siet-fâ ke hìn-sṳt chhùn-chhai.
phenomenon;['pho̍k'];Liá-piên "Pho̍k" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"雹" ke ya̍p-mien chhai liá-hong tiám-chhut.
phenomenon;['sâng-miang'];Sâng-miang fàm-chṳ́ yit-lui khí-yû vún-thin ke vu̍t-chṳt lâu nèn-liòng thoi-chhia hien-siong nèn fì-yin chhiuk-kit, nèn chin-hàng chhṳ-ngài fu̍k-chṳ ke pan khôi-piong vu̍t-chṳt hì-thúng, Kién-tân lòi-kóng, ya chhiu-he yû sâng-vu̍t kî-chṳ ke vu̍t-thí.
phenomenon;['thoi-chhia'];Thoi-chhia he vu̍t-thí vì-chhṳ̀ sâng-miang ke Fa-ho̍k fán-yin chúng-chhṳ̂n.
phenomenon;['fó'];Fó he yit-chúng tûng-sî yèn-sêu ke chhṳ-yèn hien-siong.
phenomenon;['ngit-tèu-kông', 'ngit-tèu fuk-sa', '日光', '日头丝', '日頭絲', 'ngit-kông'];Ngit-tèu Fuk-sa chṳ́ Ngit-tèu chhiùng-fu̍t yùng-ha̍p só sán-sâng ke nèn-liòng, kîn yù Thien-chhṳ̂-pô chhòn-thì to kok-thi ke Fuk-sa nèn.
phenomenon;['ngit-tèu-kông', 'ngit-tèu fuk-sa', '日光', '日头丝', '日頭絲', 'ngit-kông'];Ngit-tèu-kông kién-chhṳ̂n Ngit-kông, kóng-ngi ke thin-ngi he lòi-chhṳ Ngit-tèu só-yû phîn-phú ke thien-chhṳ̂ Fuk-sa.
physical-body;['so-pá-sên', 'fùi-sên', 'só-pá-sên'];Só-pá-sên, ya cho-tet ham-cho fi-sên, he yù pên kèu-sṳ̀n ke Thai-yòng-hì Séu-thiên-thí, tông kì chêu-hiong Ngit-thèu chiap-khiûn sṳ̀, fi pûn kâ-ngie̍t pin-chhiâ khôi-sṳ́ sṳt-hì, chán-sṳ chhut khó-kien ke Thai-hì-chhèn, ya chhiu-he fi-fat, yû sṳ̀ ya-fi yû fi-mî.
physical-body;['ngiam-set-thí', '染色体', '染色體'];Ngiam-set-thí he Se-pâu nui khí-yû vì-chhòn sin-chṳt ke vu̍t-thí, chhai se-pâu fûn-lie̍t chṳ̂-chhièn chhòi hìn-sàng.
physical-body;['ngiėt-fâ-kông', 'ngie̍t-khiù', 'ngie̍t-fâ-kông', 'ngie̍t-khiû', 'ngie̍t-kông'];Ngie̍t-khiù siu̍k-chhṳ̂n Ngiėt-kông fe̍t-chá Ngie̍t-fâ-kông — he Thi-khiù vì-yit ke Thiên-yèn Ví-sên, he Thai-yòng Hi chûng thi-ńg thai ke Ví-sên.
physical-body;['yî-chhiu'];Yî-chhiu péu-sṳ chhiòn-phu sṳ̀-kiên lâu khûng-kiên.
physical-body;['thi-khiù'];Liá-piên "Thi-khiù" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"地球" ke ya̍p-mien chhai liá-hong tiám-chhut.
physical-body;['fó-sên', '♂'];Fó-sên he Thai-yòng-hi lî-mien thi-si ke khiun Thai-yòng ke hàng-sên, he fùng-set.
physical-body;['súi-sên'];Súi-sên, he Thai-yòng-hi ke pat-thai Hàng-sên chûng chui-séu lâu chui kho-khiûn Ngit-thèu ke Hàng-sên, than yû Pat-thai Hàng-sên chûng chui-thai ke lì-sîm-sut, Kwuí-tho chû-khì he 87.969 Thi-khiù ngit.
physical-object;['kiok-tha̍p-chhâ', '脚踏车', '腳踏車', '自行車', '自行车', '自轉車', '自转车'];Kiok-tha̍p-chhâ, ya ham cho chhṳ-chón-chhâ, chhṳ-hàng-chhâ fe̍t-chá thiet-mâ, he yit chúng chhâ.
physical-object;['khi-chhâ'];Khi-chhâ, ya ham cho hi-châ, he yit chúng chhâ.
physical-object;['kî-chhâ', '奥多拜', '奧多拜', '引擎', '机车', '機車'];Kî-chhâ he lióng-chak fe̍t sâm-chak chhâ-lùn-è ke thûng-li̍t-chhâ.
physical-object;['pat-tet-li̍t'];Pat-tet-li̍t fàm chṳ́ só-yû chhai thien-liòng yung to yit-thin chhàng thu chṳ̂-heu cho-tet pûn chai-chhṳ chhûng-thien, fán-fu̍k sṳ́-yung ke fa-ho̍k-nèn thien-chhṳ̀ ke chúng chhṳ̂n.
physical-object;['la̍p-pá'];La̍p-pá he thùng-kón ngo̍k-hi kâ-tshu̍k tsṳ̂-yit.
physical-object;['kie-chhàng-chhâ', '他库西', '他庫西', '計程車', '计程车'];Kie-chhàng-chhâ he yit chúng chhâ.
physical-object;['world wide web', 'chhiòn-khiù chṳ̂-sín mióng'];World Wide Web fe̍t-chá Chhiòn-khiù Chṳ̂-sín Mióng, Van-vì-mióng, he yit-ke yù hí-tô fu-siông-lièn-kiet ke chhêu-vùn-sṳ chû-sṳ̀n ke hì-thúng, théu-ko Internet chhùn-chhí.
physical-object;['kâu-thûng kûng-khí'];Kâu-thûng kûng-khí lòi tsṳ́-tshut yit-tshiet tsai-tén ngìn fe̍t vu̍t-thí yit-thùng sán-sên vi-yì ke ngìn-tsho kûng-khí.
physical-object;['hài-è', '鞋仔'];Hài-è he yit-chúng chhôn-chhai kiok-song ke vu̍t-phín.
physical-object;['chién-tô', '剪刀', '鉸刀', '铰刀'];Chién-tô he yit chúng kûng-khí.
physical-object;['pok-vu̍t-kón'];Pok-vu̍t-kón, he ôn-chṳ yit-tho vùn-vu̍t tién-chhông ke kien-chuk-vu̍t fe̍t-he kî-kèu.
physical-object;['fû-khi̍p-kî'];Fû-khi̍p-kî he yit-chúng khó yû-háu thoi-thoi, khúng-chṳ fe̍t kói-pien ngìn ke chang-sòng sâng-lî fû-khi̍p, chen-kâ hi-thûng hì-liòng, kói-san fû-khi̍p kûng-nèn, kám-khiâng fû-khi̍p sêu-hô, chiet-yok sîm-chhong tú-phi ke yî-liàu hi-hài.
physical-object;['van-lî tshòng-sàng', 'tshòng-sàng'];Van-lî Tshòng-sàng he Chûng-fà mìn-tshu̍k ke siong-tsṳ̂n, sṳ-kie song chui ví-thai ke Kien-tsuk tsṳ̂-yit.
physical-object;['hàng-thung thien-fa', '手机仔', '手機仔', '行动电话', '行動電話', 'sú-kî'];Hàng-thung Thien-fa, kién-chhṳ̂n "Sú-kî", he cho-tet chhai pí-káu kóng fam-vì nui sṳ́-yung ke Thien-fa, lâu ku-thin thien-fa siông-tui.
physical-object;['phiang-yèn', 'phiang-yen', 'yî-yen'];Phiang-yèn he thì-kiûng yî-liàu khi̍p fam-phiang hiû-yông fu̍k-vu ke kî-kèu, fu̍k-vu tui-siong chhṳ̂n-cho sîm-lî sông fe̍t-chá sên-lî sông ke pí-káu ngiàm-chhung chhi̍t-phiang fam-chá, su-sông ke sông-chá.
physical-object;['pak-fo kûng-sṳ̂'];Pak-fo Kûng-sṳ̂ he yit-chúng chhiû-mai tô-chúng fo-phín ke thai-hîn làng-chhiû sông-tiam.
physical-object;['fó-chhâ'];Fó-chhâ, ya ham cho fó-châ, he yit chúng chhâ.
physical-object;['thô-hài'];Thô-hài he yit chúng hài-è.
physical-object;['khiéu-chau', 'khiéu-chàu'];Khiéu-chau he yit-chúng tai chhai choi lâu phi phu-vi ke yung-khí.
physical-object;['kú'];Kú he yit-tsúng Tá-kit ngo̍k-hi, tshai Fî-chû ke tshòn-thúng Yîm-ngo̍k yî-khi̍p hien-thoi yîm-ngo̍k chûng he yit-tsúng pí-káu tshung-yeu ke ngo̍k-hi.
physical-object;['chṳ̂m'];Chṳ̂m he yit chúng kûng-khí.
physical-object;['yo̍k-ho̍k'];Yo̍k-ho̍k he yung kok-chúng khô-ho̍k chok-vi kî-chhú lòi ngiên-kiu yî-vu̍t ke tî-sṳt ne-thúng, lâu Yo̍k-lî-ho̍k he m̀-thùng ke khái-ngiam.
physical-object;['cho-hâ'];Cho-hâ he chú-sṳ̍t ke só-chhai.
physical-object;['phien-só'];Phien-só ya hêm cho fun-kau, fun-kông fe̍t-chá sṳ́-fut, he ô sṳ́ ô ngiau ke só-chhai.
physical-object;['lin-é', 'lùn'];Lin-é liá-tsún kûng-khí ngièn-lòi mò-fap tshùn-tshai yî thai tshṳ-yèn ke thung-vu̍t fe̍t-tsá tshṳ̍t-vu̍t.
physical-object;['phong-kiang'];Phong-kiang he yit chúng voi chiông sṳ piong thai ke kiang.
physical-object;['kòng-khìm'];Kòng-khìm he sî-yòng Kú-tién Yîm-ngo̍k chûng ke yit-chúng Khèn-phàn Ngo̍k-hi, phú-phiên yung-yî thu̍k-cheu, chhùng-cheu, phân-cheu tén yên-chhut, yung-yî chok-khiuk lâu phài-lièn yîm-ngo̍k sṳ̍p-fûn fông-phien.
physical-object;['chhak'];Chhak he yung-lòi liòng chhòng-thu fe̍t-chá va̍k chhṳ̍t-sien ke vùn-khí.
physical-object;['mâ-tshâ'];Mâ-tshâ 馬車 ke li̍t-sṳ́ khi̍t-khì kiú-tshòng, têu lâu ngìn-lui ke vùn-mìn yit-yong tshòng-kiú.
physical-object;['sṳ̂-thán-fuk thai-ho̍k', 'stanford thai-ho̍k'];Stanford Thai-ho̍k he Mî-koet yit-kiên sṳ̂-li̍p thai-ho̍k, pûn-ngìn kûng-ngin vi sṳ-kie song chui khiet-tshut ke thai-ho̍k tsṳ̂-yit.
physical-object;['yâ-lû thai-ho̍k', 'yale thai-ho̍k'];Yâ-lû Thai-ho̍k he yit-kiên Mî-koet Không-nái-ti-kak-chû Néu Het-vùn-sṳ ke sṳ̂-li̍p thai-ho̍k, tshong-sṳ́ tì 1701-ngièn, tshû-miàng "Thai-ho̍k Ho̍k-yen".
physical-object;['oxford thai-ho̍k', 'ngiù-chîn thai-ho̍k', 'ngiù-tsîn thai-ho̍k', 'oxford university'];Liá-piên "Oxford Thai-ho̍k" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"牛津大學" ke ya̍p-mien chhai liá-hong tiám-chhut.
physical-object;['harvard thai-ho̍k'];Harvard Thai-ho̍k he Mî-koet chui kú-ló ya-he chui yû-miàng ke kô-kip ho̍k-fú tsṳ̂-yit, he yit-kiên yung phì-yông ngiên-kiu sâng lâu tsin-hàng Khô-ho̍k Ngiên-kiu vi-tsú ke Thai-ho̍k.
physical-object;['phú-lìm-sṳ̂-tun thai-ho̍k', 'princeton thai-ho̍k'];Phú-lìm-sṳ̂-tun Thai-ho̍k, vi-é tì Mî-koet Sîn-tset-sî-chû ke Phú-lìm-sṳ̂-tun, he Mî-koet tshṳ̍t-mìn sṳ̀-khì thi-si kiên sṳ̀n-li̍p ke kô-tén Kau-yuk Ho̍k-yen.
physical-object;['gung-gung-hi-tsaa', '公共汽車', '公共汽车', '公車', '公车', '巴士'];Chhâm-siòng Hak-kâ-ngî Pha̍k-fa-sṳ pán-pún.
physical-object;['mô-thiên thai-hà', 'mô-thiên thai-lèu'];Mô-thiên Thai-hà, he chṳ́ khí-yû siông-tông kô-thu ke kô-chhèn kien-chuk-vu̍t.
physical-object;['sòn'];Sòn he yit chúng kâu-thûng kûng-khí.
physical-object;['pit'];Pit he yit-chúng siá sṳ fe̍t-chá va̍k fa yung ke tûng-sî.
physical-object;['chhṳ-chón siên-yi̍t-kî'];Chhṳ-chón Siên-yi̍t-kî, he Siên-yi̍t hòng-khûng-hi ke yit-chúng, kie yî fî-kî lâu chhṳ̍t-sṳ̂n-kî chṳ̂-kiên.
physical-object;['chhṳ̍t-sṳ̂n-kî'];Chhṳ̍t-sṳ̂n-kî he yit-chúng yù yit-ke fe̍t tô-ke súi-phìn siên-chón ke siên-yi̍t thì-kiûng hiong-sông sṳ̂n-li̍t lâu thûi-chin li̍t-yì chin-hàng fî-hàng ke hòng-khûng-hi.
physical-object;['kî-chhòng', '机场', '機場', '飛機場', '飞机场'];Kî-chhòng he Ku-thin-yi̍t Fî-kî, Chhṳ̍t-sṳ̂n-kî fe̍t-chá Fî-thiáng hí-fî lâu kong-lo̍k ke chhòng-thi.
physical-object;['thap', 'pagodă'];Thap he yit-chúng kien-chuk-vu̍t.
physical-object;['chhut-é'];Chhut-é he yit chúng vùn-khí.
physical-object;['thien-fa'];Thien-fa he yit khoán kâu-thûng sâng-yîm lâu thien-sin ke sat-phi lâu ne-thúng.
physical-object;['hién-mì-kiang'];Hién-mì-kiang fàm chṳ́ chiông mì-séu nàn-kien vu̍t-phín chṳ̂ yáng-chhiong piong-thai, yì nèn pûn ngiuk-ngién fe̍t khì-thâ sṳ̀n-chhiong ngì-hi kôn-chhat chṳ̂ kûng-khí.
physical-object;['thien-sṳ', '电视', '電視'];Thien-sṳ he yit-tsúng thûng-thí yung-lòi kóng-pô tsiet-muk, pûn-ngìn ngin-vì he ngi-sṳ̍p sṳ-ki tsui ví-thai ke fat-mìn tsṳ̂-yit.
physical-object;['kiok-tha̍p-chhâ', '脚踏车', '腳踏車', '自行車', '自行车', '自轉車', '自转车'];Kiok-tha̍p-chhâ, ya ham cho chhṳ-chón-chhâ, chhṳ-hàng-chhâ fe̍t-chá thiet-mâ, he yit chúng chhâ.
physical-object;['só-sù', 'só-sṳ́'];Só-sù, fe̍t-chá thu̍k só-sṳ́, he khôi só ke kûng-khí.
physical-object;['internet', 'mióng-chi-mióng-lu'];Mióng-chi-mióng-lu, yu chhṳ̂n Fu-lièn-mióng, he mióng-lu lâu mióng-lu chṳ̂-kiên só chhon-lièn sṳ̀n ke phàng-thai mióng-lu, liá-chúng mióng-lu yî yit-chû thûng-yung ke hia̍p-thin siông-lièn, hìn-sṳ̀n Ló-si̍p sông ke tân-yit ki-thai Koet-chi mióng-lok.
physical-object;['bû-la-chiá'];Bû-la-chiá he ńg-ngìn ke yit-chúng tái-sâm, chho̍k chui tî-tú, yung lòi pó-fu nen-kû.
physical-quality;['chhṳ̍t-sien'];Chhṳ̍t-sien, he yit-ke tiám chhai phìn-mien fe̍t khûng-kiên yèn chho̍k yit-thin fông-hiong lâu khì siông-fán fông-hiong yun-thûng ke kuí-chiak. mò-vân-khiuk ke sièn.
political-geographic-object;['romania', 'lò-mâ-nì-â'];Romania he Êu-chû yit-ke koet-kâ.
political-geographic-object;['orlando', 'orlando, florida', 'o-làn-tô'];Orlando he vi yî Mî-koet Florida chûng-phu ke yit-chho sàng-sṳ, kîn-kí Mî-koet Ngìn-khiéu Thiàu-chhà-khiu̍k 2006-ngièn thúng-kie, ngìn-khiéu khiung 220,186-ngìn.
political-geographic-object;['braunschweig'];Braunschweig he Tet-koet Hâ Saxony chû tûng-phu ke yit-ke sàng-sṳ, kî-mìn sú yok vì 247,227, he kâi chû ki Hon-nok-vî heu ke thi-ngi thai sàng-sṳ lâu kâi chû ke yit-ke thi-khî chûng-sîm.
political-geographic-object;['firenze', 'fu̍t-lò-lùn-sṳ̂', 'fu̍t-lò-lùn-sat'];Fu̍t-lò-lùn-sṳ̂ he Yi-thai-li chûng-phu Thok-sṳ̂-khà-na̍p Thai-khî lâu Fu̍t-lò-lùn-sṳ̂-sén ke Sú-fú, yúng-yû 366,091 miàng sàng-sṳ ngìn-khiéu, he kâi thi-khî mien-chit chui-thai, ngìn-khiéu chui-tô ke sàng-sṳ, yî-khi̍p chú-yeu ke Li̍t-sṳ́, vùn-fa fò sông-ngia̍p chûng-sîm.
political-geographic-object;['lyon'];Lyon he Fap-koet nàm-phu sàng-sṳ, Rhône-Alpes Thai-khî Rhône-sén sén-fi.
