abstract-quality;['особистість', 'особистості'];Відображення соціальної природи людини
phenomenon;['фотосинтез', 'фотосинтезу'];Процес синтезу органічних сполук з вуглекислого газу та води з використанням енергії світла
phenomenon;['овуляція', 'овуляції'];вихід зрілої яйцеклітини чи ооцита з яєчника
phenomenon;['тиск', 'механічний тиск', 'рівень тиску', 'сила на одиницю площі', 'тиск води', 'тиск рідини', 'тиску', 'тиску рідини'];Фізична величина, питома силова характеристика
phenomenon;['менструація', 'менструа́ція', 'мі́сячні', 'менструації', 'менструальна кровотеча', 'місячні'];регулярне відторгнення крові та тканин внутрішнього шару матки через вагіну
phenomenon;['повернення каретки', 'carriage return'];керівний симовол або механізм, що використовується для повернення позиції пристрою до початку рядка
phenomenon;['негентропія', 'негентропії'];філософський і фізичний термін
phenomenon;['життя', 'biota', 'eobionti', 'vitae', 'жива істота', 'живий організм', 'створіння'];Явище, що є сукупністю фундаментальних загальнобіологічних ознак, які характеризують живих істот, відрізняючи їх від неживих об''єктів
phenomenon;['пологи', 'роди', 'ро́ди', 'дітонародження', 'родиво', 'родини', 'вагінальні пологи', 'пологів'];вихід плода з тіла вагітної
phenomenon;['форс'];переписна місцевість, США, штат Пенсильванія
phenomenon;['поглинання електромагнітного випромінювання', 'поглинання світла', 'абсорбція', 'оптичного поглинання', 'поглинання'];Передача енергії електромагнітного поля в унутрішню енергію речовини
phenomenon;['гідроенергія', 'енергія води', 'гес', 'гідроенергетики'];Енергія, зосереджена в потоках водних мас у руслових водоводах та припливних рухах
phenomenon;['випаровування', 'пароутворення', 'па́ра', 'пар', 'сумарне випаровування', 'випаровується'];Перехід речовини з рідкого стану в газоподібний, що відбувається на її поверхні
phenomenon;['народження', 'роди', 'наро́дження', 'поло́ги', 'ро́ди', 'пологах', 'пологи', 'пологів'];процес дітонародження у живородних тварин
phenomenon;['сльози', 'плач', 'сльоза́', 'ридання', 'рюмсання', 'сльоза', 'сльозотеча'];Фізіологічна реакція людини, що супроводжує реакції організму, на певну ситуацію, частіше це стрес
phenomenon;['дихання', 'кисневе дихання', 'вдих', 'видих', 'подих', 'респірація', 'вентиляції', 'вентиляційний отвір', 'зовнішнього дихання'];Сукупність процесів, які забезпечують надходження в організм кисню, використання його в окиснювальних процесах і видалення з організму вуглекислого газу
phenomenon;['еволюція', 'філогенетика', 'філогенія', 'філогенетична систематика', 'біологічна еволюція', 'філогенетичного', 'філогенії', 'біологічної еволюції', 'еволюційним фактором', 'еволюційної теорії', 'еволюціоніст', 'еволюції', 'органічної еволюції', 'розвивалися', 'розвивається', 'теорії еволюції', 'филогенетично', 'філогенез', 'філогенезу', 'філогенетики', 'філогенетичних'];Розділ генетики
phenomenon;["кон'югація хромосом", 'синапсис', 'синапсів'];переклад
phenomenon;['тверде тіло', 'тверда речовина', 'твердий стан'];Агрегатний стан речовини, що характеризується стабільністю форми
phenomenon;['магнітний момент', 'магнітний диполь', 'магнітний дипольний момент', 'момент магнетний', 'момент магнітний', 'магнітного моменту', 'момент магніт'];Екстенсивна фізична властивість
phenomenon;['конвекційний потік', 'конвекція', 'конвективних', 'конвекційного струму', 'конвекції'];Явище перенесення тепла
physical-body;['метеор', 'метеори', 'літавець'];Явище в астрономії
physical-body;['іон водню', 'іонів водню'];Сторінка значень у проекті Вікімедіа
physical-body;['змінні зорі', 'змінна зоря', 'змінна зірка', 'зміна зоря', 'змінні зірки', 'змінних зірок'];Зоря, блиск якої змінюється з часом
physical-body;['подвійні зорі', 'подвійна зоря', 'подвійна зірка', 'бінарна зоря', 'візуально-подвійні зорі', 'затемнювано-подвійні зорі', 'оптично-подвійні зорі', 'подвійні зірки', 'спектрально-подвійні зорі', 'подвійних зірок', 'затемнених подвійних зірок', 'затемнюваної подвійної', 'затемнюваної подвійної зірки', 'зірки-компаньйона', 'оптичних супутника', 'оптичної подвійної', 'подвійної зоряної системи', 'подвійної зірки', 'спектрально-подвійних зірок'];Система з двох гравітаційно пов'язаних зір
physical-body;['електрон', 'електрони', 'електронного', 'електронів', 'негатрона'];елементарна частинка
physical-body;['місяць', 'маса місяця', '☽', '☾', '🌙', '🌛', '🌜', 'місяця'];Природний супутник Землі
physical-body;['космос', 'всесвіт', 'світобудова', 'усесвіт', 'всесвіту', 'всесвіті', 'всесвітів', 'макрокосм', 'світі', 'фізичним світом', 'фізичному світі'];Сукупність усього, що існує: час, простір, матерія, енергія
physical-body;['земля', 'земля́', 'планета земля', '⊕', '♁', '🌏', 'tellus', 'блакитна планета', 'гея', 'світ', 'терра', 'третя планета', 'earth', 'земна куля', '🌍', '🌎', 'землі', 'світу'];Третя планета Сонячної системи
physical-body;['марс', '♂', 'червона планета', 'планета марс', 'четверта планета', 'марсіанська орбіта', 'орбіта марсу', 'марса'];Четверта планета в Сонячній системі
physical-body;['4 веста', 'веста', 'vesta', '4 vesta'];Другий найбільший астероїд головного поясу астероїдів
physical-body;['рігель', 'rigel', 'β оріона', 'β ori', 'hd 34085', 'бета оріона', 'ригель'];Біло-блакитний надгігант спектрального класу B8 у сузір'ї Оріона
physical-body;['сіріус', 'hd48915', 'hip32349', 'hr2491', 'hd 48915', 'сиріус', 'dog star', 'сотіс'];найяскравіша зірка нічного неба, знаходиться в сузір'ї Великого Пса
physical-body;['акрукс', 'альфа південного хреста', 'альфа crucis'];Зоря в сузір''ї Південний Хрест
physical-body;['труп', 'мертвець', 'мертвий', 'мертві', 'покійник', 'небіжчик', 'трупа', 'трупи', 'трупів'];Мертве тіло людини чи тварини
physical-body;['церера', 'цере́ра', '(1) церера', '1 ceres', '1 церера'];Карликова планета в поясі астероїдів, в середині Сонячної системи
physical-body;['ходор', 'бета центавра', 'хадар'];Друга за яскравістю зоря у сузір''ї Центавра
physical-body;['меркурій', 'мерку́рій', 'добропан', 'планета меркурій', '☿'];Найближча до Сонця велика планета Сонячної системи
physical-endurant;['суще', 'сутність'];Те, що існує
physical-object;['центральний процесор', 'цп', 'central processing unit', 'cpu', 'центральний оброблювальний елемент', 'c.p.u.', 'процесор', "процесор комп'ютера", 'процесорів'];Функціональна частина комп''ютера
physical-object;['аттик', 'аттік'];Архітектурна конструкція
physical-object;['арка', 'а́рка', 'арки', 'intrados'];Криволінійне перекриття прорізу в стіні або простору між двома опорами (стовпами, колонами, пілонами), що передає на основу не лише навантаження, а й розпір
physical-object;['велосипед', 'велосипе́д', 'ро́вер', 'байк', 'ровер', '🚲', 'велик', 'веломашина'];Транспортний засіб, який приводить в рух сила людських м''язів, що передається на ведуче колесо
physical-object;["комп'ютерна мережа", "комп'ютерні мережі", 'комунікаційна мережа', 'комп’ютерна мережа', "мережа комп'ютерна", 'мережеві технології', 'datacom', 'мереж передачі даних', 'мережі передачі даних', 'передачі даних'];Система зв'язку між комп'ютерами
physical-object;['eprom', 'uv eprom', 'ппзп', 'сппзу'];Програмований постійний запам’ятовуючий пристрій зі стиранням ультрафіолетовим випромінюванням.
physical-object;["віртуальна пам'ять", "віртуальна память комп'ютера", "віртуальної пам'яті"];Ріст оперативної пам'яті з втратами швидкодії
physical-object;['принтер', "комп'ютерний принтер", 'принтери', 'чорнильний картридж'];Пристрій для друку інформації на папері
physical-object;['спікізі', 'сліпа свиня', 'сліпий тигр', 'speakeasies', 'speakeasy', 'бар, де незаконно торгують спиртними напоями', 'сліпі свині'];Заклад, що незаконно продає алкогольні напої. зараз, бари в стилі ретро
physical-object;['модем', 'моде́м', "модем комп'ютера", 'модеми', 'телефонний модем'];Мережна інтерфейсна плата
physical-object;['телекомунікації', 'телекомунікація', "електрозв'язок", "зв'язок", 'електронних комунікацій', "електронного зв'язку", "зв'язку", 'телекомунікацій', 'телекомунікаційному', 'телекомунікаційної галузі'];Передавання, випромінювання та/або приймання знаків, сигналів, письмового тексту, зображень та звуків або повідомлень будь-якого роду дротовими, радіо, оптичними або іншими електромагнітними системами
physical-object;['шахова фігура', 'фігура', 'ша́хова фігу́ра', 'шахові фігури', 'шахових фігур'];Фігура на шахівниці
physical-object;['45'];Натуральне число
physical-object;['рюкзак', 'наплечник', 'наплічник', 'ранець', 'рюкзаки'];Торба з двома лямками для носіння речей на спині
physical-object;['стійка', 'стійки'];силовий елемент фермової конструкції фюзеляжу
physical-object;['цековка', 'зенкер', 'зенковки', 'раззенковивать'];Осьовий багатолезовий інструмент для оброблення циліндричної або торцевої ділянки отвору заготовки
physical-object;['клюз', 'fairlead'];Круглий, овальний або прямокутний отвір в фальшборті, палубі або борті, окантований литою рамою або металевим прутком, що служить для пропускання і зменшення перетирання якірного ланцюга, швартовних кінців чи буксирного каната
physical-object;['баржа', 'ліхтер', 'баржі', 'плоскодонка', 'flatboats', 'агов', 'плоскі човни', 'хой'];Плоскодонне несамохідне або самохідне вантажне судно із спрощеними обрисами корпуса
physical-object;['флюгельгорн', 'fluegelhorn', 'flugel роги', 'flugelhornist', 'fluglehorn'];Мідний духовий музичний інструмент
physical-object;['труба', 'корнет', 'дримба', 'джазовий сурмач', 'сурмачів', 'трубач', 'труби'];Мідний духовий музичний інструмент
physical-object;['пішохідний міст', 'надземний пішохідний перехід', 'пішохідні мости', 'overcrossing', 'пішохідний шляхопровід', 'пішохідних мостів', 'пішохідної естакади'];Міст, призначений для пішоходів, а в деяких випадках для велосипедистів, руху тварин та вершників, але не для автомобільного руху
physical-object;['підвісний міст', 'висячий міст'];Міст, основними несучими елементами якого є гнучкі елементи, що сприймають головним чином зусилля розтягу.
physical-object;['пензель', 'пе́нзель', 'пе́нзлик', 'щі́точка', 'кисть', 'кисті'];Інструмент для фарбування й живопису
physical-object;['швабра', 'щіткою'];інструмент для прибирання
physical-object;['готель', 'готелі', 'бюджетний готель', 'бізнес-готель', 'готельного бізнесу', 'розкішний готель'];Установа, яка надає послуги з тимчасового проживання, і відповідний господарчо-майновий комплекс (готельний комплекс: споруда, територія тощо)
physical-object;['зруб', 'зрубна аріхтектура', 'зрубна архітектура', 'log cabin'];житло з колод
physical-object;['трамвай', 'трамвайний вагон', 'вагон трамвая', '🚊', '🚋'];Транспортний засіб, що використовується для трамвайних перевезень
physical-object;['колчан', 'сагайдак', 'тула'];Сумка для стріл
physical-object;['науково-дослідний центр', 'експериментальна установка'];Установа, яка займається науковими дослідженнями в певній галузі
physical-object;['коромисло клапана', 'клапанне коромисло', 'коромисла', 'коромисло'];Двоплечий важіль з відношенням плечей у діапазоні 1,3…2,0
physical-object;['слон', 'офіцер', '♗', '♝'];Шахова фігура
physical-object;['або', 'or', 'або ланцюга', 'схема або'];Логічний вентиль
physical-object;['електричний провід', 'провід', 'будівлі проводка', 'електропроводки'];Електричний вироб, служить для передачі електричного току.
physical-object;['метроном', 'метроно́м', 'metronom'];Прилад для визначення темпу шляхом точного відліку тривалостей музичного метру
physical-object;['мотанка', 'лялька-мотанка', 'лялька'];Лялька зроблена з тканини
physical-object;['позолота', 'золочення'];Нанесення на поверхню металевих і неметалевих виробів тонкого шару золота
physical-object;['тремп', 'бродяга пароплав'];Ирем
physical-object;['лійка', 'воронка'];прилад
physical-object;['скатертка', 'скатертина', 'о́брус', 'обру́с', 'ска́терть', 'скате́рка', 'скатерть', 'порток'];Виріб, яким накривається стіл
physical-object;['судно на повітряній подушці', 'корабель на повітряній подушці', 'граунд-ефект машини'];Судно, яке підтримується над опорною поверхнею (земною чи водною) на стиснутому повітряному прошарку (подушці), що створюється судновими вентиляторами (нагнітачами)
physical-object;['качалка', 'вало́к', 'кача́лка', 'валок', 'качалкою'];інструмент циліндричної форми, який використовують в кулінарії для виготовлення виробів із тіста.
physical-object;['грю́кальце', 'сту́кальце', 'стука́чка', 'дверне клепало', 'клепало', 'клепа́ло', 'дверний молоток', 'doorknocker'];знаряддя для стукання у вхідні двері
physical-object;['мікрофон', 'мікрофо́н', 'конденсаторних мікрофонів', 'майк'];Прилад, що перетворює звукові коливання на коливання сили електричного струму
physical-object;['кулер', 'кулер для води', 'охолоджувач води'];пристрій для подачі води
physical-object;['вимірювальний перетворювач', 'вимірювальні перетворювачі', 'перетворювач'];Вимірювальний пристрій, призначений для формування на своєму виході сигналу, що функціонально зв'язаний із сигналом вимірюваної інформації на вході
physical-object;['скрубер', 'скрубера'];Апарат або машина, що використовується для очищення твердих або газоподібних середовищ від домішок у різних хіміко-технологічних процесах
physical-object;['сигналізація', 'сигнальний пристрій', 'аварійна сигналізація'];Пристрій для сигналізування про небезпеку, аварійний стан, певну подію тощо.
physical-object;['звичка', 'звички'];Форма поведінки людини
physical-object;['ворота', 'брама', 'воріт'];Широкий проїзд або прохід в огорожі, мурі, що зачиняється стулками
physical-object;['фагот', 'фаго́т', 'фагота'];Духовий музичний інструмент
physical-object;['штангенінструмент', 'каверномер', 'супорт', 'супорта', 'супорти'];Узагальнена назва засобів і приладів вимірювання та розмічання зовнішніх (вали), внутрішніх (отвори) і змішаних розмірів (глибина, висота) розмірів
physical-object;['бейсбольний стадіон', 'бейсбол парк'];Стадіон для гри в бейсбол
physical-object;['потокова лінія', 'конвеєрне виробництво', 'конвеєр', 'конвеєри', 'лінія збірки', 'складальних ліній'];Виробнича дільниця, оснащена сукупністю машин і механізмів, призначених для виготовлення певної продукції та встановлених згідно з послідовністю операцій технологічного процесу, що виконуються із заданим ритмом
physical-object;['паливний фільтр'];Елемент конструкції паливної системи двигуна внутрішнього згоряння, що містить фільтрувальний елемент, розташований у паливній магістралі, призначений для затримання твердих часток у паливі
physical-object;['масляний фільтр', 'оливний фільтр', 'фільтр оливи'];Фільтр, що призначений для видалення забруднень з моторних і трансмісійних олив, мастил або робочих рідин гідроприводів
physical-object;['кран', 'трубопровідний кран', 'водопровідний кран', 'змішувачі дверні ручки'];Вид запірної арматури, у якому керування потоком здійснюється кутовим зміщенням отвору запірного пристрою навколо осі, що переважно перпендикулярна до осі прохідного отвору корпуса
physical-object;['салон', 'вітальню', 'вітальні', 'зняття номерів'];кімната в будинку, де відвідувачів можна розважати
physical-object;['рама', 'рама картини', 'рамка', 'рамки для фотографій', 'фоторамки'];Декоративне обрамлення картини, фотографії та, іноді, тексту
physical-object;['вікно', 'вікна'];Архітектурний елемент
physical-object;['лафет'];опора, на якій закріплюється ствол зброї з затвором
physical-object;['спідниця', 'спідни́ця', 'спідниці'];Вид жіночого одягу
physical-object;['каптур', 'відлога', 'капюшон'];Елемент одягу
physical-object;['лікарня', 'шпiталь', 'клініка', 'шпиталь', 'лазарет', 'лікарні', 'районних лікарень загального профілю'];Стаціонарна громадська медична установа для надання медичних, лікувальних і консультаційних послуг з лікування і охорони здоров'я
physical-object;['наличник', 'лиштва', 'одвірок', 'косяки'];сторінка значень у проекті Вікімедіа
physical-object;["комп'ютерна клавіатура", "клавіатура комп'ютера", 'клавіатура', 'клавіатури', "клавіатури комп'ютера", "клавіатурі комп'ютера"];Сукупність розміщених у певному порядку клавіш пристрою, що використовується для введення і редагування даних
physical-object;['особняк', 'особняки', 'палац'];будинок багатого власника, в якому живе одна сім'я
physical-object;['замок', 'за́мок', 'японські замки', 'замки', 'замок-форт', 'середньовічний замок', 'середньовічного замку'];тип укріпленої споруди, побудованої дворянством в Європі, Азії та на Близькому Сході в середні віки
physical-object;['гармата', 'гармати'];Тип артилерійської зброї з довгим стволом і відносно високою початковою швидкістю
physical-object;['лімузин', 'лімузини'];Трьохоб''ємний закритий пасажирський кузов легкового автомобіля вищого класу на основі седану
physical-object;['статуя свободи', '🗽'];Національний пам'ятник у Нью-Йорку (США), символ свободи, демократії та справедливості
physical-object;['водонапірна вежа', 'водонапірна башта', 'башта водопроводу', 'вежа водогону', 'водонапірні вежі/башти', 'водогінна башта', 'водогінна вежа', 'водокачки', 'водонапірні башти'];Напірний резервуар для води на штучній опорній конструкції
physical-object;['стадіон', 'арена', 'аре́на', 'стадіо́н', 'грище', 'критий стадіон', 'спортивний стадіон', 'стадіонів'];Спортивна споруда
physical-object;['флорет'];Спортивний снаряд, використовуваний в фехтуванні
physical-object;['поїзд', 'валка', 'потяг', 'залізничний поїзд', 'основний опір руху потяга', 'основний опір руху потягу', 'поїзди', 'залізничний потяг', 'залізничні потяги', 'пасажирських поїздів', 'поїзної'];У залізничному транспорті — сформований і зчеплений склад вагонів з одним або декількома діючими локомотивами чи моторними вагонами, що мають встановлені сигнали
physical-object;['фуганок', 'фугувальний верстат', 'довгі плоскі', "з'єднувальні площині", 'фуганок площині'];Деревообробний поздовжньо-фрезерний верстат, призначений для вирівнювання неправильної (жолобленої) чорнової поверхні деталей, створення геометричних площин, що мають бути базовими поверхнями під час подальшого оброблювання
physical-object;['спис', 'копіє', 'копия', 'кавалерійська піка', 'кавалерійський спис', 'турнірний спис', 'списами', 'списники'];Спис для кінного бою
physical-object;['водозлив', 'греблі'];Перепона (поріг, гребля) у відкритому потоці води, яку вона долає шляхом переливання або крізь водозливні отвори.
physical-object;['пуф', 'горбок', 'лавочка для ніг', 'підставка для ніг'];різновид м'яких меблів, табуретка з м'яким сидінням
physical-object;['орбітальна станція', 'космічна станція', 'космічна лабораторія', 'космічних станцій', 'космічної платформи', 'космічної станції', 'орбітальної станції'];космічний апарат з екіпажем, призначений для тривалого перебування у космосі
physical-object;['стіна'];Австралійсько-німецький художній фільм 2012 року
physical-object;['медіа', 'носій обміну інформацією', 'медія'];інструменти для зберігання чи передавання інформації чи даних
physical-object;['чайник', 'коте́л', 'ча́йник', 'електричний чайник'];з функцією "дупа"
physical-object;['самовар', 'самова́р', 'samovar'];металічний посуд з нагрівачем, призначений для кип'ятіння води
physical-object;['тарілчастий клапан', 'крихта'];Клапан, у якому заслінка відкривається вздовж руху транспортованого газу або рідини
physical-object;['барабан', 'мембранофони', 'бараба́н', 'мембранофон', 'перетинкові музичні інструменти', 'барабани', 'membranophone', 'tympan'];Ряд ударних музичних інструментів групи мембрафонів, що складається зі шкіри (пергаменту, пластику, нейлону), натягнутої на резонатор
physical-object;['поршень', 'толок'];Циліндрична деталь двигунів внутрішнього згоряння, парових машин, насосів, компресорів і т. ін., що робить зворотно-поступальний рух всередині циліндра.
physical-object;['шпангоут', 'футокс', 'перебирання'];Дерев'яний або металевий поперечний елемент силового набору корпусу корабля або літального апарата, що забезпечує жорсткість обшивки і зберігає її форму
physical-object;['погріб', 'льох', 'по́гріб', 'підва́л', 'пивниця', 'підвал кореня'];Заглиблене у землю сховище для цілорічного зберігання харчових продуктів
physical-object;['стрілецька зброя', 'вогнепальна зброя', 'вогнепальної зброї', 'вогнепальну зброю', 'збройовий магазин', 'малі руки', 'стрілецької зброї'];Зброя, яка запускає снаряд з високою швидкістю внаслідок швидкого згоряння палива в обмеженому об'ємі
physical-object;['примус'];Нагрівальний прилад на рідкому паливі. Винайдений у 1892р.
physical-object;['валіза', 'валі́за', 'валі́зка', 'чемода́н', 'чемодан', 'кофр', 'валізу', 'дорожня сумка'];Прямокутна місткість, призначена для перевезення та зберігання багажу
physical-object;['куля', 'ку́ля', 'забійна дія', 'забійна дія кулі', 'кулі'];Головна частина набою
physical-object;['струминний насос', 'насос струминний', 'аспіратор'];Насос тертя
physical-object;['лялька-рукавичка', 'рук маріонеткового', 'рукавичка ляльки', 'рукавичка ляльковий'];Тип ляльки
physical-object;['санний спорт', 'саночник', 'тобогган-одинак'];Luge на природний і штучний трек
physical-object;['американські гірки', 'роллеркостер', 'російські гірки', 'американських гірках', 'жолоб-жолоб-'];Атракціон у парку розваг
physical-object;['телевізор', 'tv', 'телевізори', 'телеприймач', 'телевізійний приймач', 'тараща очі вікно', 'ідіот вікні'];пристрій, для демонстрації нерухомих і рухомих зображень із звуковим супроводом
physical-object;['відео', 'відеозапис', 'відеосигнал', 'відеофайл'];Електронний метод запису, копіювання та передачі рухомого візуального матеріалу
physical-object;['бабин вузол', 'бабуся вузол'];мотузковий морський вузол
physical-object;['ванна кімната', 'ванна', 'ванними кімнатами', 'ванні кімнати'];приміщення в будинку, призначене для купання
physical-object;['суд', 'судова інстанція', 'судівництво', 'lawcourt', 'суди'];Орган, що здійснює правосуддя
physical-object;['художня галерея', 'галере́я', 'художній музей', 'картинна галерея', 'галерея мистецтв', 'мистецький музей', 'музей мистецтв', 'художніх галерей', 'художніх музеїв'];Будівля або простір для виставки мистецьких творів
physical-object;['поверх', 'по́верх', 'рівень в будівлі', 'поверсі', 'поверсі нумерації', 'поверхів', 'підлогу нумерації'];Частина простору будівлі (споруди), відокремлена від інших горизонтальним перекриттям (підлогою та стелею)
physical-object;['їдальня', 'столова', 'їдальні'];Кімната в квартирі або будинку, де зазвичай вживають їжу
physical-object;['гулаг', 'gulag', "головне управління виправно-трудових таборів, трудових поселень і місць ув'язнення", 'гутаб'];Підрозділ радянського уряду, який керував системою концтаборів
physical-object;['консерваторія', 'академія музична', 'музичний навчальний заклад', 'консерваторії', 'hochschule für musik', 'академії музики', 'вищій школі музики'];Музичний навчальний заклад вищої акредитації
physical-object;['діод', 'рівняння ідеального діода', 'напівпровідниковий діод', 'германієвих діодів', 'кристалічний випрямляч', 'напівпровідникового діода', 'перехід випрямляча'];Електронний прилад з двома електродами, що пропускає електричний струм лише в одному напрямі
physical-object;['тральщик', 'тралер', 'тральник', 'базовий тральщик', 'мінний тральщик'];військове судно для виловлювання та знищення підводних мін тралами
physical-object;['блок', 'механізм', 'шків-гат', 'обойма блоку', 'шків', 'шків-блок', 'шківів'];Простий механізм
physical-object;['каттер', 'катер'];Переписна місцевість, США
physical-object;["м'яч для гольфу", "м'яч для гольфа"];М'яч, який використовується для гри в гольф
physical-object;['кастет', 'knucks', 'латуні knucks'];засіб для завдання ударів, вид холодної зброї
physical-object;['сулиця', 'дротик'];Метальна зброя
physical-object;['прямий вузол', 'риф вузол', 'плоский вузол'];Він є най першим інай простішим
physical-object;['трансформатор тесли', 'котушка тесли', 'трансформатор тесла', 'тесла котушки'];Пристрій у вигляді трансформатора, увімкнутого обмотками в коливальні контури, які працюють в резонансному режимі та служить для утворення високої електричної напруги
physical-object;['гітара', 'гіта́ра', 'акустична гітара', 'ґітара', 'гітари'];Щипковий струнний музичний інструмент
physical-object;['стільник', 'стільники', 'стільниковий'];Замощення у 3-чи-більше-вимірному евклідовому або гіперболічному просторі
physical-object;['будівля', 'будинок', 'дім', 'споруда', 'буди́нок', 'спору́да', 'господарська будівля', 'наземна споруда, будівля', 'споруда класу будівля', 'громадських будівель'];Споруда із дахом і стінами, яка майже або практично не може бути переміщена
physical-object;['фарба', 'ба́рва', 'фа́рба', 'фарби', 'фарбування'];Матеріал для фарбування, фіксації зображень
physical-object;['бак', "fo'c'sle", 'баку'];Надбудова судна у носовій частині, що починається від форштевня
physical-object;['трапеція', 'трапеції'];Циркове або гімнастичне знаряддя
physical-object;['механічна система', 'механічної системи', 'механічних систем'];сукупність матеріальних точок або тіл, рух яких є взаємопов'язаним
physical-object;['кінотеатр', 'кінозал', 'кінотеатри'];Громадська установа для публічної демонстрації кінофільмів
physical-object;['годинник', 'годи́нник', 'дзиґа́р', 'дзиґарі́', 'годинники', 'дзигар', 'дзиґар', 'дзиґарі', '⌚', '⏰', '🕰', 'механічні годинники'];Пристрій для вимірювання часу
physical-object;['ручний інструмент', 'ручні інструменти'];Інструментальне обладнання, що працює вручну, не від мотора
physical-object;['коаксіальний кабель', 'coax', 'коаксіальних кабелів', 'коаксіального кабелю', 'умовляти'];тип кабеля
physical-object;['лінза', 'оптична лінза', 'оптичні лінзи', 'лінзи', 'меніск', 'оптична система'];оптичний пристрій, який пропускає і заломлює світло
physical-object;['фронтон', 'fronton', 'щипець', 'зламаний фронтон', 'фронтони'];Архітектурний елемент даху
physical-object;['оксфордський університет', 'університет оксфорду', 'oxford university'];Університет в місті Оксфорд, Англія, Велика Британія
physical-object;['гарвардський університет', 'га́рвард', 'гарвард', 'harvard', 'harvard university', 'гарвардського університету'];Приватний дослідницький університет в Кембриджі, Массачусетс
physical-object;['дисковий затвор', 'затвор дисковий', 'затвор поворотний', 'двостулковий клапан'];Тип трубопровідної арматури, у якій замикальний чи регулювальний елемент має форму диска, що повертається навколо осі, яка розташована перпендикулярно чи під кутом до напрямку потоку робочого середовища
physical-object;['дросельна заслінка', 'дросельної заслінки', 'дросельний клапан'];Механічний регулятор прохідного перерізу патрубка
physical-object;['судно'];Транспортний засіб
physical-object;['повітряне судно', 'літак', 'важчий за повітря', 'важчий за повітря польоту'];машина, що здатна триматися в атмосфері за рахунок взаємодії з повітрям, виключаючи взаємодію з повітрям, відбитим від земної поверхні
physical-object;['трактор', '🚜', 'сільськогосподарських тракторів', 'тракторів'];польовий транспорт, підходить для городу
physical-object;['одвірок', 'косяк', 'наличник'];Рама, на яку прикріпляють двері
physical-object;['щогла', 'бізань-щогли', 'грот-щогла', 'щогли'];частина корабля
physical-object;['казан', 'коте́л', 'котел', 'котли'];Металева посудина
physical-object;['флорет'];Спортивний снаряд, використовуваний в фехтуванні
