abstract-region;['grannizza fìsica scalari', 'rannizza fìsica scalari'];Grannizza fìsica chi si po'' misurari cûn nùmmiru sulu
physical-body;['callistu', 'callisto', 'giovi iv'];Satèlliti di Giovi
physical-body;['mircuriu', 'mercuriu', 'suli i'];Primu pianeta dû Sistema Sulari
physical-endurant;['entity', 'entità'];Na cosa ca esisti
physical-object;['prucissuri', 'cpu'];Circùitu ntigratu chi esegui l''istruzzioni dûn prugramma
physical-object;['bicicletta', 'bici'];Veìculu a du roti spinciutu a forza di pidali
physical-object;['pub'];Lucali d''orìggini ngrisi unni si va pi bìviri bivanni alcòlichi
physical-object;['palacciunata', 'ricintu', 'sticcatu'];Struttura liggera chi mpidisci lu passaggiu a traversu di na linia di cunfini
physical-object;['bicicletta di muntagna', 'mountain bike', 'mtb'];Bicicletta bona pi'' jiri macari fora dî strati asfaltati
physical-object;['traghettu', 'ferribbottu', 'ferri', 'ferry', 'ferry-boat', 'traggittu', 'ferribbuottu', 'ferribottu', 'ferribuottu', 'trachettu', 'traghetto'];Navi o barca chi porta genti o menzi di trasportu di terra di na banna a l''autra di nu specchiu d''acqua
physical-object;['pruièttili', 'prujèttilli'];Corpu ca veni tiratu a distanza, di manera particulari nta l''armi
physical-object;['ponti mòbbili'];Ponti ca si po'' spustari, canciannu la pussibbilità di passari supra d''iddu o sutta d''iddu
physical-object;['risturanti', 'tratturìa'];Lucali unni si va pi manciari, a pagamentu, nu pastu cumpletu stannu assittati a tàvula
physical-object;['càrciri', 'casa circunnariali', 'càrciara', 'càrzara', 'càrzari', 'priggiòni', 'carciri', 'càrciaru', 'càrzaru', 'càrziri'];Postu nchiusu unni si custrìnciuni a stari chiddi chi ficiru riati
physical-object;['burdeddu', 'burdellu', 'nchiuituri'];Casa unni travàgghiunu prustituti
physical-object;['centru suciali', 'centru sociali'];Struttura pùbblica o aperta ô pùbblicu unni si va pi participari nta attività culturali, ricriativi o di sirvizzu
physical-object;['alferu', 'alferi', 'delfinu'];Pezzu dî scacchi chi si po'' mòviri di manera diagunali di quanti casi si voli
physical-object;['veìculu'];Machina pî spustamenti ca po'' purtari cristiani e merci
physical-object;['imbarcazzioni', 'immarcazzioni', 'mbarcazzioni', 'mmarcazzioni'];Menzu di trasportu chi sta nsumma nta l''acqua
physical-object;['piscina'];Vasca fatta apposta pi fari natari li cristiani
physical-object;['sipala', 'caia', 'caja'];Filarata di troffi chiantati e putati di manera di furmari un muriceddu cu li so pàmpini
physical-object;['sauna'];Stanza chiusa unni si fannu caudu e vapuri d''acqua apposta pi fari sudari li genti ca cci vannu
physical-object;['bunker'];Custruzzioni rinfurzata, pû cchiu'' sutta terra, di sòlitu a usu militari
physical-object;['estinturi'];Arnisi purtàtili chi s''adòpira pi stutari lu focu, di sòlitu è na bùmmula chi jetta na sustanza chi stagghia li vampi, sutta forma di pùrviri o di scuma
physical-object;['spitali', 'ospitali', 'spidali', 'uspidali'];Postu unni si cùrunu li malati
physical-object;['bacinu'];Stuttura ranni chi si po allagari o asciugari e giuva pi mèttiri a siccu na navi duranti la so custruzzioni o manutinzioni
physical-object;['hangar', 'aviurimissa'];Magasenu granni e chiusu fattu p''ospitari vilìvuli
physical-object;['casteddu', 'ciambra'];Palazzu furtificatu custruutu ntê tempi antichi cu finalità difinsivi e comu sedi o sìmmulu d''auturità
physical-object;['granni magasenu', 'granni magazzinu', 'ranni magasenu', 'ranni magazzinu'];Nigozziu assai granni unni si vìnnunu granni quantità di merci di tanti qualità
physical-object;['idruvulanti a scaffu', 'barca vulanti'];Idruvulanti chi havi nu scaffu chi sta dirittamenti nsumma nta l''acqua, senza bisognu di galliggianti
physical-object;['supermircatu', 'supermercatu', 'supirmircatu'];Nigozziu granni unni si vìnnunu principalmenti manciari e artìculi pâ casa
physical-object;['palazzettu dû sport', 'stadiu', 'arina', 'campu'];Campu spurtivu cu tanti posti a ssittari pî cristiani, unni si ponnu fari macari cuncerti e autri manifistazzioni
physical-object;['menzu di cumunicazzioni', 'media'];Canali di trasmissioni o menzu d''archiviazzioni chi s''adòpira pi cunsignari o sarvari missaggi e nfurmazzioni
physical-object;['circuitu intigratu'];Circuitu elittrònicu fattu tuttu nta nu sìngulu pezzu di matiriali semicunnutturi
physical-object;['sirrarìa', 'serrarìa'];Postu unni si serra lignu, màrmuru o petra pi fari tàvuli, pala, sirratizzi, balati, etc.
physical-object;['furnu crimatoriu'];Machina chi ncinnirisci li cadàviri pi fini di sipultura
physical-object;['arma di focu'];Arma ca tira nu pruièttili a vilucità auta, sfruttannu lu scoppu cuntrullatu di na sustanza esplusiva
physical-object;['frangi-flutti', 'frangiflutti'];Struttura misa di l''omu a difesa dâ costa contra la forza di l''unni. po'' èssiri un molu o puru na jittata di petri o di scogghî artificiali
physical-object;['casa di jocu', 'casa di giocu', 'casinò'];Postu unni si joca d''azzardu
physical-object;['tribbunali'];Curti chi dicidi cu havi raggiuni ntê dìsputi cìvili e cu havi curpa ntê prucessi pinali
physical-object;['pompa dâ binzina', 'pompa di binzina', 'rifurnimentu', 'stazzioni di sirvizzu'];Postu unni si ponnu firmari li veìculi a muturi pi fari rifurnimentu di carburanti
physical-object;['tabbaccarìa', 'tabacchinu', 'tabbaccaru', 'privativa'];Postu unni si vìnnunu sicarri, sicaretti, prudutti dû tabbaccu, beni sturicamenti suttaposti a monupoliu, e autru
physical-object;['cafittarìa', 'surbittarìa'];Lucali unni si sèrvunu cafè e autri bivanni
physical-object;['pompa dâ binzina', 'pompa di binzina', 'rifurnimentu', 'stazzioni di sirvizzu'];Postu unni si ponnu firmari li veìculi a muturi pi fari rifurnimentu di carburanti
physical-object;['funtana', 'garraffu'];Funti fabbricata di l''omu, po'' dari acqua pi bìviri o puru po'' èssiri sulu pi biddizza
physical-object;['turri'];Edificiu assai cchiu'' autu chi largu
physical-object;['edificiu'];Custruzzioni stàbbili chi havi pariti e suffittu
physical-object;['cìnima', 'cìnema', 'cinema', 'cinima'];Specia di tiatru unni si va pi vìdiri li film
physical-object;['rulòggiu', 'ruloggiu', 'raloggiu', 'rològgiu', 'ralogiu', 'riloggiu', 'orologgiu', 'ralogghiu', 'ralòggiu', 'rilòggiu', 'rogghiu', 'roggiu', 'rologghiu', 'rologgiu', 'rològghiu', 'rulogghiu', 'rògghiu', 'ròggiu'];Arnisi chi dici l''ura
physical-object;['trasfurmaturi'];Cumpunenti elèttricu chi pruduci ntôn circùitu di nisciuta na tinsioni maggiuri o minuri di chidda dûn circùitu di trasuta
physical-object;['trasfurmaturi'];Cumpunenti elèttricu chi pruduci ntôn circùitu di nisciuta na tinsioni maggiuri o minuri di chidda dûn circùitu di trasuta
physical-object;['astrunavi', 'veìculu spazziali'];Veìculu, vilìvulu o màchina pruggittata p''annari ntô spazziu
physical-object;['veìculu fora terra'];Veìculu chi camina fora dâ terra, vali a diri nta l''acqua, nta l''aria o ntô spazziu
physical-object;['ariumòbbili', 'veìculu aeriu'];Veìculu chi camina nta l''aria pigghiannu spinta d''idda
physical-object;['navi', 'lignu', 'navigghiu'];Imbarcazzioni granni pû trasportu di genti e merci
physical-object;['ponti'];Parti di na strata suspinnuta nta l''aria pi scavaddari n''ostàculu, comu un ciumi o n''autra strata
physical-object;['ariumobbili a ali fissi'];Ariumobbili chi pigghia purtanza di ali chi nun si mòvunu rispettu ô veìculu
physical-object;['ariuportu', 'airuportu'];Postu unni ponnu attirrari e dicullari vilìvuli di linia, cummirciali o militari
physical-object;['idruvulanti'];Vilìvulu chi po'' dicullari e attirrari nta nu specchiu d''acqua
physical-object;['eliportu'];Postu fattu apposta pi fari attirrari l''elicòttiri
physical-object;['mircatu', 'mircatu di strata'];Mircatu chi si arma nta strata
physical-object;['mircatu', 'mircatu di strata'];Postu unni si ritròvunu li mircanti pi vìnniri e ccattari
physical-object;['jucattulu'];Oggettu chi si usa spicificamenti pi jucari
physical-object;['trasfurmaturi'];Cumpunenti elèttricu chi pruduci ntôn circùitu di nisciuta na tinsioni maggiuri o minuri di chidda dûn circùitu di trasuta
physical-object;['arnisi', 'arnesi'];Oggettu matiriali chi havi la funzioni di spicciari quarchi travagghiu o jutari un cristianu a fàrilu
physical-object;['telèfunu', 'tilèfunu', 'talèfunu', 'telefunu', 'tilefunu', 'tilifunìa'];Apparicchiu chi pirmetti di parrari cu cristiani luntani
physical-object;['micruprucissura', 'micruprucissuri'];Prucissuri pi calculatura elittrònici implimintatu pi menzu di circuiti ntigrati
physical-object;['metropulitana', 'metrupulitana', 'metrò', 'mitrupulitana'];Sorta di trenu viloci, chi servi zoni urbani, e di sòlitu camina sutta terra
physical-object;['chiesa', 'chesia', 'chiesia', 'cresia'];Edificiu sacru dî Cristiani
physical-object;['bicicletta', 'bici'];Veìculu a du roti spinciutu a forza di pidali
physical-object;['gru'];Machina auta chi jisa e sposta mmarazzi granni e pisanti pi menzu dûn ganciu
physical-object;['carburaturi'];Arnisi chi mmisca aria e carburanti pûn muturi a cumbustioni interna
physical-object;['discu', 'album'];Cugghiuta di canzuna o mùsichi pubblicata dûn cantanti o musicista
physical-object;['munizzioni', 'càrrica'];Chiddu ca giuva pi carricari n''arma
physical-object;['buca', 'buca dâ posta', 'cascitta dâ posta', 'buca dî littri', 'buca dî lìttiri'];Cascitta pùbblica unni s''havi a mettiri la posta chi si voli spidiri
physical-object;["stazzioni di l'autubbussu", 'autustazzioni', "stazzioni di l'autubus"];Postu unni fèrmunu tanti autubbussi, sia dâ cità chi pi fora, cchiu'' granni di na firmata
physical-object;['zoo', 'giardinu zoològgicu', 'sirragghiu'];Postu unni si ponnu a vidiri armali sarvaggi tinuti in cattività
physical-object;['rota di bicicletta'];Rota ca si po'' adupirari nta na bicicletta
physical-object;['cuntinituri', 'ricipienti'];Oggettu fattu apposta pi mantèniri dintra autri cosi
physical-object;['re'];Pezzu dî scacchi cchiu'' mpurtanti, chi si po'' mòviri di na casa nta tutti li dirizzioni, e chi s''havi a manciari pi vìnciri la partita
physical-object;['furnu', 'furnu dû pani', 'putìa dû pani'];Putìa unni si po'' annari e ccattari pani, ma macari autri prudutti di furnu comu fucacci, durci, scacciati etc.
physical-object;['stazzioni dû trenu', 'stazzioni', 'stazzioni ferruviaria'];Postu unni li treni fèrmunu pi carricari e scarricari passaggeri o merci
political-geographic-object;['firenzi', 'firenze'];Nu cumuni di Tàlia
political-geographic-object;['saluniccu', 'salunicchi', 'tessalonica'];Città ntâ Macidonia Cintrali, riggioni dâ Grecia
political-geographic-object;['pisa'];Nu cumuni di Tàlia
political-geographic-object;['pàduva', 'padova', 'padua', 'paduva', 'pàdova', 'pàdua'];Nu cumuni di Tàlia
political-geographic-object;['norveggia', 'nurveggia', 'kongeriket noreg', 'kongeriket norge', 'noreg', 'norge', 'norvegia'];Paìsi nta l''Europa dû Nord
political-geographic-object;['nglaterra', 'inghilterra', 'anghilterra', 'anglaterra', 'inghirterra', 'ingriterra', 'nghilterra', 'nghirterra', 'ngraterra', 'ngriterra'];Nazzioni custituenti dû Regnu Unitu
political-geographic-object;['lussimburgu', 'luscimburgu', 'luscimmurgu', 'lussemburgu'];Paìsi di l''Europa di punenti
political-geographic-object;['spagna', 'spain'];Paìsi di l''Europa
political-geographic-object;['metròpuli', 'citati', 'cità', 'mitròpuli'];Cità assai granni
political-geographic-object;['belgiu', 'beggiu', 'bergiu'];Paìsi di l''Europa di punenti
political-geographic-object;['abbruzzu', 'abbruzzi', 'abruzzu'];Riggioni di l''Italia
political-geographic-object;['tirolu'];Riggioni di l''Austria
political-geographic-object;['tuscana', 'toscana'];Riggioni di l''Italia
political-geographic-object;['pugghia', 'puglia', 'pugghi', 'puia', 'puja', 'pùgghia'];Riggioni di l''Italia
political-geographic-object;['lummardìa', 'lumbardìa', 'lombardia', 'lumbardia', 'lummardia'];Riggiuni di l''Italia
political-geographic-object;['emilia rumagna', 'emilia-rumagna', 'emilia-romagna'];Riggioni di l''Italia
political-geographic-object;['trintinu-autu àdiggi', 'trintinu-tirolu dû sud'];Riggioni di l''Italia
political-geographic-object;['vènitu', 'vèneto', 'venetu', 'venitu', 'vènetu'];Riggioni di l''Italia
political-geographic-object;['lucania', 'basilicata'];Riggioni di l''Italia
political-geographic-object;['mulisi', 'molise', 'molisi'];Riggioni di l''Italia
political-geographic-object;['unghirìa', 'ungarìa', 'ncaria', 'ncarìa', 'nchiria', 'nchirìa', 'ngaria', 'ngarìa', 'nghiria', 'nghirìa', 'uncaria', 'uncarìa', 'unchiria', 'unchirìa', 'ungaria', 'ungheria', 'unghiria'];Paìsi di l''Europa cintrali
political-geographic-object;['girmania', 'germania', 'germany', 'gimmania', 'girmania uccidintali', 'girmània', 'ripùbblica fidirali di girmania'];Paìsi di l''Europa
political-geographic-object;['francia', 'france', 'franza', 'franzia', 'regnu di francia'];Paìsi di l''Europa
political-geographic-object;['ecuador', 'ecuaturi', 'ec', 'ecu', "l'equador", 'acuador', 'acuaduri', 'acuator', 'acuaturi', 'aquador', 'aquaduri', 'aquator', 'aquaturi', 'cuador', 'cuaduri', 'cuator', 'cuaturi', 'ecuaduri', 'ecuator', 'equador', 'equaduri', 'equator', 'equaturi', 'quador', 'quaduri', 'quator', 'quaturi'];Statu di la Merica dû Sud
political-geographic-object;['gènuva', 'genova', 'genua', 'genuva', 'gènua'];Nu cumuni di Tàlia
political-geographic-object;['capitali'];Cità unni è la sedi dû guvernu di n''entità pulìtica (statu, riggioni, pruvincia, etc.)
political-geographic-object;['mississippi'];Statu dî Stati Uniti d''Amèrica
political-geographic-object;['ìsula dû prìncipi eduardu'];Pruvincia dû Canadà
political-geographic-object;['cumuni'];Entità tirrituriali amministrativa
political-geographic-object;['praga'];Cità capitali dâ Ripùbblica Ceca
political-geographic-object;['roma', 'rruma', 'rumani'];Nu cumuni di Tàlia
political-geographic-object;['kiev'];Capitali di l''Ucraina
political-geographic-object;['thailandia', 'tailandia', 'regnu di thailandia', 'tailanda', 'tailannia', 'thailannia'];Paisi di l''Àsia
political-geographic-object;['trìpuli', 'tripoli', 'tripuli'];Capitali dâ Lìbbia
political-geographic-object;['finlandia', 'finlannia', 'fillannia'];Paìsi di l''Europa dû nord
political-geographic-object;['albany'];Cità capitali dû statu di New York, ntê Stati Uniti d''Amèrica
political-geographic-object;['ateni', 'atene', 'atini'];Capitali dâ Grecia
political-geographic-object;['milanu', 'milano'];Cumuni capulocu dâ Lumbardìa
political-geographic-object;['nova york', 'nova jorca', 'new york', 'niu iorche', 'nu-iorchi', 'nu-jorchi', 'nu iorchi', 'nu jorchi', 'new york city', 'broccolino', 'brooklyn', 'brucchelino', 'brucchilin', 'brukelino', 'niu iorchi', 'niu jorche', 'niu jorchi', 'niuiorche', 'niuiorchi', 'niujorche', 'niujorchi', 'niù iorche', 'niù jorche', 'nova iorca', 'nova iorche', 'nova iorchi', 'nova iorka', 'nova iorki', 'nova jorche', 'nova jorchi', 'nova jorka', 'nova jorki', 'nova yokki', 'nova yorca', 'nova yorchi', 'nova yorka', 'nova yorki', 'novaiorca', 'novaiorche', 'novaiorchi', 'novaiorka', 'novaiorki', 'novajorca', 'novajorchi', 'novajorka', 'novajorki', 'novayorca', 'novayorchi', 'novayorka', 'novayorki', 'nuiorchi', 'nujorchi', 'nuova iorche', 'nuova york', 'nuovaiorche'];Città cchiu'' granni dû statu di New York e dî Stati Uniti d''Amèrica
political-geographic-object;['trìpuli', 'tripoli', 'tripuli'];Capitali dâ Lìbbia
political-geographic-object;['piemunti', 'piamonti', 'piamunti', 'piedimonte etneo', 'piedimonti etneu', 'piemonti'];Riggioni di l''Italia
political-geographic-object;['paìsi', 'statu'];Riggioni giugràfica cu carattirizzazzioni pulìtica distinta
practice;['istituzzioni'];Stuttura o miccanismu suciali chi havi na certa stabbilità ntô tempu
quality;['architittura di calculaturi elittrònicu'];Spicìfica dû funziunamentu dî cumpunenti hardware d''un calculaturi elittrònicu
quality;['pùrpura', 'viola'];Culuri a menzu fra lu russu e lu blu
quality;['blu marinu', 'ble marinu'];Tinta scura dû blu
quality;['crèmisi', 'crimisinu'];Tinta dû russu
quality;['adduratu', 'ambratu', 'ambra', 'nduratu', 'oru'];Culuri a menzu tra giarnu e ranciuni
quality;['rosa vivu'];Tinta dû rosa sìmili ô fucsia
quality;['azzolu', 'cilesti', 'cirùliu', 'zaffiru', 'celesti', 'cerùleu', 'cerùliu', 'azzoru', 'azzurru'];Culuri dû celu
quality;['azzolu', 'cilesti', 'cirùliu', 'zaffiru', 'celesti', 'cerùleu', 'cerùliu', 'azzoru', 'azzurru'];Tinta dû blu
quality;['argintatu', 'argentu'];Culuri di l''argentu
quality;['cicculatti'];Tinta scura dû marrò
quality;['malva', 'marva'];Tinta chiara dû viola
quality;['griciu', 'griggiu', 'grisciu'];Culuri a menzu tra biancu e nìuru
quality;['turchinu', 'virdi acqua'];Culuri
quality;['siccia'];Culuri tra lu russu e lu marrò
quality;['pèrsica'];Tinta chiara dû rosa
quality;['avoliu', 'avoriu'];Culuri biancu cûn velu di giarnu
quality;['curaddu', 'curallu'];Tinta dû russu
quality;['scarlatu', 'sgarlatu'];Culuri russu vivu
quality;['culuri', 'tinta'];Carattiristica visuali dî cosi, data dâ pircizzioni a l''occhiu umanu dî diffirenti lunghizzi d''unna dâ luci visìbbili
quality;['monoteismu', 'monuteìsmu', 'monutiìsmu', 'munuteìsmu', 'munutiìsmu', 'monuteismu'];Riliggioni chi cuntempla l''esistenza d''un sulu diu
quality;['politeismu', 'politeìsmu', 'puliteìsmu', 'pulitiìsmu', 'puliteismu'];Riliggioni chi cuntempla l''esistenza di cchiu'' ssai d''un diu
quality;['grannizza', 'rannizza'];Cuncettu matimàticu ca cunsenti di cunfruntari dui esimplari di na stissa classi dicidennu quali è maggiuri e quali è minuri
quality;['blu', 'ble'];Culuri
quality;['gèniri'];Insiemi di li carattirìstichi ca ntô cuntestu di na sucietà difinìsciunu l''èssiri màsculu o puru fìmmina
quality;['massa'];Grannizza fìsica chi misura la quantità di materia cuntinuta nta n''entità fìsica
quality;['ambidestru', 'mancusu e drittusu'];Cu rinesci a adupirari câ stissa listizza tantu la manu manca quantu chidda dritta
quality;['virdi'];Culuri
quality;['grannizza', 'rannizza'];Cuncettu matimàticu ca cunsenti di cunfruntari dui esimplari di na stissa classi dicidennu quali è maggiuri e quali è minuri
quality;['prifirenza di manu'];Cuncettu di quali manu nu suggettu adòpira cu prifirenza
quality;['giarnu', 'giallu'];Culuri
quality;['cristianèsimu', 'riliggioni cristiana', 'cristianesimu'];Riliggioni monuteìstica ca vènira a Gesù di Nazaret comu figghiu di Diu fattu omu
region;['munita', 'valuta'];Valuta accittata comu menzu di pagamentu
region;['byte'];Siquenza di 8 bit
region;['unità di tempu'];Unità ca s''adòpira pi misurari lu passari dû tempu
region;['unitati di misura', 'unità di misura', 'grannizza fisica', 'grannizza fìsica'];Quantità difinuta pricisamenti e ufficialmenti di na grannizza fìsica, chi s''adòpira pi misurari l''autri grannizzi pi cunfruntu
region;['marcu'];Munita
region;['yen giappunisi', 'yen'];Munita ufficiali dû Giappuni
region;['setti', '7'];Nùmmuru naturali
relation;['liveddu dû mari'];Puntu di rifirimentu chi'' di sòlitu s''adòpira pi misurari l''autizzi di l''entità giugràfichi
relation;['nord', 'n', 'nordu', 'sittintrioni', 'tramuntana', 'nodd'];Dirizzioni cardinali di cu varda lu polu Nord dâ Terra
relation;['sud', 'minziornu', 'miridioni', 's', 'suddu'];Dirizzioni cardinali opposta a chidda di cu varda lu polu Nord dâ Terra
relation;['est', 'e', 'esti', 'levanti', 'livanti', 'orienti'];Dirizzioni cardinali dâ manu dritta di cu varda lu polu Nord dâ Terra
relevant-part;['varva', 'barba', 'varba'];Pilu ca crisci ntâ facci di l''omu
relevant-part;["cintura di l'astiroidi"];Riggioni dû Sistema Sulari tra di l''òrbiti di Marti e Giovi ca cunteni na granni cuncintrazzioni di astiroidi
set;['spazziu'];Insiemi matimàticu di punti
simple-collection;['custiddazzioni', 'custillazzioni'];Purzioni dâ volta cilesti difinuta pi cunvinzioni, chi menti nsèmmula stiddi e autri corpi cilesti
simple-collection;['mituluggìa', 'mitoluggìa', 'mitologgìa', 'mitoluggia', 'mituluggia'];Cumplessu dî cunti tradizziunali d''un populu o di na cultura chi riguàrdunu ê so divinità e li so antinati
simple-collection;['universu', 'cosmu'];Lu nsiemi di tuttu chiddu chi esisti
simple-collective;['genti'];Gruppu di cristiani cunsiddirati nsèmmula tutti a na vota
simple-collective;['nazziuni', 'nazzioni'];Cumunità di cristiani chi hannu a cumuni na lingua, na cultura, l''etnìa, la discinnenza o la storia
simple-planned-collective;['stabbilimentu umanu'];Locu unni cristiani campunu, o hannu campatu, stabbilmenti o p''un pirìudu
simple-planned-collective;['casali'];Insiemi di casi cchiu'' picciriddu dûn villaggiu e circunnatu dâ campagna
simple-planned-collective;['auturità giudicanti', 'curti'];Cristianu o istituzzioni chi havi l''auturità di giudicari e prununziàrisi
simple-planned-collective;['funzioni pùbblica'];Insiemi dî travagghiatura dâ pùbblica amministrazzioni
simple-planned-collective;["cungressu dî stati uniti d'america"];Parlamentu bicammirali dî Stati Uniti d''Amèrica
situation;['epilissìa'];Malatìa neurulòggica
situation;['malatìa neuruloggica'];Malatìa o disfunzioni dû sistema nirvusu
situation;["palora d'òrdini", 'password'];Palora sigreta adupirata pi pruvari la propia identità o di aviri nu pirmissu
situation;['zimma'];Accumulo di cose
situation;['arfabbètu cirillicu', 'alfabbetu cirillicu', 'cirillicu'];Alfabbetu adupiratu pi scrìviri tanti lingui slavi comu lu Russu, l''Ucraìnu e lu Serbu
situation;['affizzioni', 'malatìa'];Altirazzioni dâ saluti
situation;['ruttura', 'frattura', 'ossu ruttu'];Dannu di n''ossu pruvucatu di na sullicitazzioni eccissiva, comu na mmistuta
situation;['tubbirculosi', 'consunzioni', 'cunsunzioni', 'tisi', 'tisichizza', 'tbc', 'tuberculosi'];Malatìa infittiva ca curpisci li purmuna
situation;['orvu', 'cicità', 'cicitati', 'orbàggini', 'orvàggini', 'orbu'];Statu di cu è privu dâ vista
situation;['suggettu'];Cuncettu filusòficu di na cosa chi havi na rilazzioni cu n''autra cosa chi è autru d''idda
situation;['cucina'];L''arti di priparari lu manciari pî cristiani
situation;['alfabbetu àrabbu'];Alfabbetu chi s''adòpira pi scrìviri la lingua àrabba, e macari autri
situation;['alfabbetu grecu'];Alfabbetu chi s''adòpira pi scrìviri la lingua greca
situation;['tempu', 'cunnizzioni mitiurulòggichi', 'tempu atmusfèricu'];Cunnizzioni dî finòmini di l''atmusfera chi nfluenzunu l''omu: caudu, friddu, ventu, nivi, etc.
situation;['statu'];Cuncettu tiòricu
social-role;['menzu di pagamentu'];Cosa ca si po'' dari in canciu di robba e sirvizza
social-role;['munita', 'valuta'];Valuta accittata comu menzu di pagamentu
socially-constructed-person;['rossetti', 'dante gabriel rossetti'];Pàggina di disambiguazzioni di Wikimedia
socially-constructed-person;['adolf hitler', 'hitler'];Dittaturi dâ Germania, capu dû Partitu nazista
socially-constructed-person;['ninfa'];Divinità fimminina sicunnaria dâ mituluggìa greca
socially-constructed-person;['adi', 'plutoni', 'plutuni'];Diu di l''ìnfiri dâ mituluggìa greca
socially-constructed-person;['ares'];Diu dâ guerra ntâ mituluggìa greca
socially-constructed-person;['gaia', 'gaja', 'gea'];Divinità primurdiali pirsunificazzioni dâ terra ntâ mituluggìa greca
socially-constructed-person;['atena'];Dia dâ mittuluggìa greca
socially-constructed-person;['giapetu', 'giàpitu', 'japetu', 'jàpitu'];Titanu dâ mituluggìa greca
socially-constructed-person;['nettunu', 'nittunu'];Diu di l''acqua ntâ mituluggìa rumana
socially-constructed-person;['mircuriu', 'mercuriu'];Diu dâ mituluggìa rumana
socially-constructed-person;['arianrhod'];Nomu di battìu fimmininu
socially-constructed-person;['carolus linnaeus', 'linneu', 'carl von linné', 'carlu linneu'];Zoòlugu, butànicu e dutturi svidisi
socially-constructed-person;['napuliuni bonaparti', 'napoleone', 'napoleoni', 'napoléon bonaparte', 'napulioni', 'napuliuni', 'napuliuni bonaparte'];Monarca, capu militari e pulìticu francisi
socially-constructed-person;['benitu mussolini', 'benito mussolini', 'binitu mussulini', 'mussolini', 'mussulini'];Dittaturi d'Italia
socially-constructed-person;['george washington'];Pulìticu miricanu, primu prisidenti dî Stati Uniti d''Amèrica
socially-constructed-person;['funtaneri', 'stagnataru'];Cu munta o consa funtani, tubba e impianti idràulici
socially-constructed-person;['vitirinariu', 'veterinariu'];Dutturi ca cura l''armali
socially-constructed-person;['dia', 'iddìa'];Divinità fimminina
socially-constructed-person;['riggina', 'rigina'];Suvrana fìmmina dûn regnu
socially-constructed-person;['pirsuna', 'cristiana', 'cristianu'];Èssiri astrattu chi havi li carattirìstichi di cu apparteni â razza umana
socially-constructed-person;['picciriddu', 'carusu', 'caruseddu', 'picciliddu', 'picciriddi', 'piccittu'];Cristianu nta dda parti dâ vita chi va dâ nàscita fina â pubbirtà
socially-constructed-person;['mèdicu', 'medicu', 'mèricu', 'dutturi'];Prufessiunista dâ midicina
socially-constructed-person;['patri', 'papà'];Ginituri màsculu
socially-constructed-person;['pusteri', 'porta-littri', 'portalittri'];Cu di misteri porta la posta ntê casi e nta l''ufficî
socially-constructed-person;['diputatu'];Tìtulu assignatu ê membri di certi assimblèi liggislativi, di sòlitu li càmmiri basci dî parramenti
socially-constructed-person;['màsculu', 'masculinu', '♂'];Armali o chianta di sessu masculinu
socially-constructed-person;['santu'];Pirsuna chi veni ricanusciuta comu ligata â divinità
socially-constructed-person;['sartu', 'custureri'];Cu travagghia pi misteri facennu robbi, cunsannuli, o canciannuli
socially-constructed-person;['scinzatu', 'scienziatu', 'scinziatu'];Cristianu chi studia na scienza
socially-constructed-person;['biòlugu'];Scienziatu chi studia l''èssiri viventi e li rapporti d''iddi cu l''ambienti
socially-constructed-person;['filòsufu', 'filòsufi'];Cristianu ca si ntiressa dâ filusufìa
socially-constructed-person;['matri', 'mamma'];Ginitrici fìmmina
socially-constructed-person;['pueta'];Cu è bonu a scrìviri puisìi
socially-constructed-person;['omu', 'màsculu', 'corpu umanu', 'homo sapiens', 'omminu', 'omunu', 'òminu', 'òmu', 'òmunu'];Cristianu adultu màsculu
socially-constructed-person;['ufficiali'];Cu havi na pusizzioni di cumannu ntâ girarchìa militari
socially-constructed-person;['divinità', 'diu'];Èssiri supranaturali di impurtanza suprema
socially-constructed-person;['pasifai', 'pasifae', 'pasiphae'];Pirsunaggiu dâ mituluggìa greca, matri dû Minutauru
socially-constructed-person;['uranu'];Divinità primurdiali pirsunificazzioni dû celu ntâ mituluggìa greca
socially-constructed-person;['ocèanu'];Titanu diu dû mari ntâ mituluggìa greca
socially-constructed-person;['afruditi'];Dia di l''amuri ntâ mituluggìa greca
socially-constructed-person;['ruluggiaru'];Cu fàbbrica o aggiusta li ruloggia
socially-constructed-person;['ermafrudita', 'intersessuatu'];Organismu chi havi tutti dui l'òrgani sissuali masculinu e fimmininu
socially-constructed-person;['ermafrudita', 'intersessuatu'];Organismu chi havi tutti dui l''òrgani sissuali masculinu e fimmininu
socially-constructed-person;['ermafrudita', 'intersessuatu'];Cristianu cu canciamenti ntê carattirìstichi sissuali ca nun cunsèntunu di classificàrilu distintamenti comu màsculu o fìmmina (adupirari câ prupietà P21)
socially-constructed-person;['casciamurtaru', 'becca-mortu', 'biccamortu', 'bicchinu', 'onoranzi funibri', 'pompa funebri', 'pompi funibri'];Cu s''incàrrica d''organizzari li funirali e ssuttirrari li morti
socially-constructed-person;['parrucchieri', 'piluccheri', 'parruccheri'];Cu havi la prufissioni di tagghiari e curari li capiddi (ntô significatu ginèricu ca cumprenni cu ccî tagghia ê fìmmini e cu ccî tagghia ê màsculi)
