abstract-region;['skaler', 'sayısal'];Koordinat sistemlerindeki özelliklerden etkilenmeyen bir niceliktir
locative-role;['edirne', 'adrianopolis', 'edirne merkez', 'hadrianapolis', 'merkez, edirne', 'odrin'];Edirne ilinin merkez ilçesinin eski ismi
locative-role;['utrecht'];Utrecht `teki şehir.
locative-role;['perm'];Perm kentinin 1940 - 1957 yılları arasındaki adı.
locative-role;['bizans i̇mparatorluğu', 'doğu roma i̇mparatorluğu', 'bizans imparatorluğu', 'doğu roma imparatorluğu', 'bizans', 'bizans devleti', 'bizans dönemi', 'bizans i̇maparatoru', 'bizans krallığı', 'bizanslar', 'bizanslı', 'bizanslılar', 'doğu roma', 'doğu roma i̇mparatoru', 'doğu romalı', 'doğu romalılar', 'rum i̇mparatorluğu'];Roma İmparatorluğu `nun 395 `te Doğu ve Batı olarak ikiye ayrılmasıyla ortaya çıkan imparatorluk
locative-role;['frankfurt', 'frankfurt am main', 'main frankfurt'];Almanya `nın Hessen eyaletinde yer alan ülkenin beşinci en büyük şehri.
locative-role;['türkistan', 'hazrat-e turkestan', 'yasi', 'şehri türkistan', 'hazret-i türkistan', 'turkistan', 'yesi'];Kazakistan' ın Güney Kazakistan Eyaletinde yer alan şehir.
locative-role;['park', 'parkland'];Doğal ve kültürel sahalar, toplu yaşam alanları
locative-role;['otopark', 'park yeri', 'durguluk', 'otomatik otopark', 'park alanı', 'otoparklar'];Otomobillerin bırakıldığı trafiğe kapalı alan
locative-role;['liman', 'limanlar', 'liman nedir', 'derin su limanı', 'liman kenti', 'balıkçı limanı', 'deniz limanı', 'liman şehridir', 'sıcak su limanı'];Gemi, tekne vs. gibi deniz araçlarının park yeri,
locative-role;['bahçe'];Arkasında, yanında yer alan mekanlar, avlular
locative-role;['bordeaux'];Fransa `da bir şehir.
locative-role;['bengal'];Güney Asya `daki bir bölge.
locative-role;['telefon santrali', 'telefon santralı', 'telefon santralleri', 'anahtarlama merkezi', 'merkezi', 'santral', 'telefon anahtarlama', 'telefon anahtarı'];Kurum içi konuşmalarda kullanılan cihaz
locative-role;['millî park', 'ulusal park', 'milli park', 'milli parklar'];Ulusal değer addeden doğal ve kültürel sahalar
locative-role;['argos'];Yunanistan' ın güneyinde Mora Yarımadası `nda yer alan bir kent.
locative-role;['persepolis'];Marjane Satrapi `nin çizgi romanından uyarlanarak hazırlanan çizgi film
locative-role;['pompeii', 'pompei faciası', 'pompeii felaketi'];Antik Roma şehri
locative-role;['britanya i̇mparatorluğu', 'britanya imparatorluğu', 'büyük britanya i̇mparatorluğu', 'i̇ngiliz i̇mparatorluğu'];Britanya İmparatorluğu `nun diğer adı.
locative-role;['orta doğu', 'yakın doğu', 'near east', 'yakındoğu', 'ortadoğu', 'orta doğu bölgesi'];Siyasi ve coğrafi bölge
locative-role;['münih', 'munich', 'münchen', 'münich', 'muenchen'];Berlin ve Hamburg `tan sonra Almanya `nın en büyük üçüncü kentidir.
locative-role;['palermo'];Akdeniz `de bir ada olan Sicilya `nın başkentidir
locative-role;['i̇stanbul', 'istanbul', 'dersaadet', 'istanbul, turkey', 'i̇stanbul, türkiye', 'i̇stanbuldaki ilçeler', 'yeditepe', 'miklagard', 'stamboul', 'stambul'];CeBIT Bilişim Eurasia
locative-role;['new york', 'new york kenti', 'new york city', 'nyc', 'new york şehri', 'new york, new york', 'nev york', 'new york city, new york', 'newyork', 'ny', 'greater new york'];New York kentinin resmi adı. New York eyaletinde yer aldığını gösteren adlandırma biçimi.
locative-role;['philadelphia', 'philadelphia, pensilvanya', 'filadelfiya', 'filadelfiya, pensilvanya', 'filafeldiya', 'filapeldiya', 'filedelfiya', 'filedelfiya, pensilvanya', 'filifeldiya', 'filipeldia', 'philadelphia, pennsylvania', 'kardeşçe sevginin şehri'];ABD `nin Pensilvanya eyaletine bağlı bir şehir.
locative-role;['orta amerika'];Amerika kıtasının orta bölümü.
method;['polis devleti'];Bir devlet yönetimi kuramı
non-agentive-physical-object;['yüzme havuzu', 'havuz', 'natatorium', 'hamamı'];Yüzme veya süs amaçlı kullanılan, içi su ile doldurulan çukur.
non-agentive-physical-object;['barış çubuğu', 'barış boru', 'calumet'];Ritüel amaçlı kullanılan tütün çubuğu
non-agentive-physical-object;['arı kovanı', 'kovan'];Arıların barındıkları ve bal yaptıkları yapılardır.
non-agentive-physical-object;['broadway', 'broadway müzikali', 'büyük beyaz way'];ABD `nin New York kentindeki Manhattan bölgesinde yer alan bir cadde
non-agentive-physical-object;['kaldırım', 'yaya kaldırımı', 'dükkan önü', 'dükkanönü', 'tretuvar', 'yaya yolu', 'yürüme yolu', 'kaldırımda', 'kaldırımlar', 'yaya geçit'];Sokak ve caddelerde yayaların kullanımına ayrılmış özel yol, "tretuvar".
non-agentive-physical-object;['zar', 'kalıp', 'zarlar'];Tavla ve başka oyunlarda kullanılan altı yüzünde birden altıya kadar benekler bulunan oyun aracı.
non-agentive-physical-object;['beze'];Bir köpük kurabiye türü
non-agentive-physical-object;['tütü', 'bale eteği'];Balerin giysisi
non-physical-collection;['sekülerizm', 'dünyacılık', 'dünyevilik', 'laisite', 'laïcité', 'sekülarizm', 'sekülerlik', 'laiklik', 'laikler'];Ahiret ve diğer dinî, ruhanî meselelerden ziyade dünya hayatına odaklanılması yönündeki siyasî düşünce.
non-physical-collection;['bauhaus', 'bauhaus ekolü', 'bauhaus okulu', 'bauhaus tarihi', 'bauhaus tasarım okulu'];Tasarım, sanat alanlarında yeni akımlar yaratmış bir okul.
non-physical-collection;['safsata', 'serbest safsata', 'mantıklı safsatalarını', 'safsatalarını', 'yanlış inanç'];Mantıkta eleştirel düşüncenin bir unsuru.
non-physical-collection;['büyü', 'ak büyü', 'büyücülük', 'maji', 'sihir', 'kara büyü', 'harikalar', 'thaumaturge', 'thaumaturgic', 'thaumaturgy', "traumaturgus'un"];Bağıcı, afsuncu, efsuncu, sihirbaz
non-physical-collection;['politeizm', 'çoktanrıcılık', 'politeist', 'politeistik', 'çok-tanrılı dinler', 'çok tanrıcılık', 'çok tanrılı', 'çoktanrıcı', 'çoktanrılı', 'müşrik', 'müşriklerin', 'tanrılı'];Bir dini inanışta birden çok tanrıya inanmak, Tanrı inancı çeşitliliği.
non-physical-collection;['uluslararası hukuk', 'uluslararası kamu hukuku', 'devletler umumi hukuku', 'uluslararası sözleşmeler', 'devletler kanunu', 'uluslararası kanunlar', 'uluslararası kongre'];Uluslararası ilişkiler altında bir disiplin
non-physical-collection;['i̇slam', 'i̇slam dini', 'islam', 'i̇slamlık', 'muhammedîlik', 'i̇slam dîni', 'i̇slâm dini', 'i̇slâm dîni', 'müslümanlık', 'muhammedizm', 'islamiyet', 'islâm', 'islâmiyet', 'i̇slam inancı', 'i̇slami', 'i̇slamiyet', 'i̇slamiyetin doğuşu', 'i̇slamiyetlik', 'i̇slamî', 'i̇slâm', 'i̇slâmiyet', 'i̇slâmî', 'muhammedilik', 'neo islam', 'islamcılar', 'islamcılık', 'islami', "militan islam'ın", 'muhammadanism'];Kazâ, Allah' ın ezelde takdir buyurduğu olayların, zamanı gelince ilim ve iradesine yani kadere uygun olarak meydana gelmesine verilen isimdir.
non-physical-place;['mozole', 'anıt mezar', 'mezar', 'anıt kabir', 'anıtmezar', 'mozoleler', 'türbe'];Makam, şöhret veya zenginlik sahibi kişilerin yaptırdığı ya da onlar için sevenlerinin yaptırdığı büyük gösterişli mezarlar
organized-collection;['matris', 'dizey', 'submatrix'];Gerçek ve karmaşık sayıların dikdörtgen biçiminde tablosu.
organized-collection;['uluslararası hukuk', 'uluslararası kamu hukuku', 'devletler umumi hukuku', 'uluslararası sözleşmeler', 'devletler kanunu', 'uluslararası kanunlar', 'uluslararası kongre'];Uluslararası ilişkiler altında bir disiplin
organized-collective;['grup', 'toplumsal grup', 'toplumsal gruplar', 'sosyal grup', 'sosyal gruplar'];Sosyolojide bir terim.
parameter;['hız', 'ortalama hız', 'hızı'];Fizik ve kimyada hızın sembolü. (velocity: İng. hız)
parameter;['moment', 'momentler'];Istatistikte ve olasılık kuramında kullanılır
parameter;['kilometre bölü saat', 'km/h', 'kilometre/saat', 'km/s', 'km/sa', 'kmh', 'km / h', 'km h', 'kph', 'saatte kilometre'];Hız birimi.
parameter;['yakıt verimliliği', 'gaz kilometre', 'benzinli arabalar', 'yakıt tasarruflu', 'yakıt tüketim oranı', 'yakıt tüketimi', 'yakıt verimli'];Yakıt enerjisinin hareket enerjisi ya da işe çevrilmesi
parameter;['aritmetik ortalama', 'beklenen değer', 'ortalama', 'beklenen değer operatörü', 'matematiksel beklenti', 'beklenen değeri', 'beklenti değeri', 'ilk andan'];Olasılık kuramında, rastgele bir değişkenin alabileceği tüm değerlerin ağırlıklı ortalaması.
phenomenon;['kovalent bağ', 'kovalent bağlı', 'kovalent bağlar', 'kovalent', 'kovalent bileşik'];Kimyasal bağ tipi
phenomenon;['regresyon analizi', 'regresyon modeli'];Değişkenler arasındaki ilişkileri tahmin etmek için kullanılan istatistiksel bir teknik.
phenomenon;['elektrik akımı', 'akım', 'cereyan', 'akım şiddeti', 'akan elektirik', 'elektriksel akım', 'elektrik akımları', 'elektrik akımını', 'geleneksel akım'];Elektriksel yükün hareketi.
phenomenon;['hıçkırık', 'hıçkırmak', 'singultus'];Göğüs boşluğu ile karın boşluğunu birbirinden ayıran diyafram kasının birden kasılması sonucunda ses telleri arasındaki açıklığın istem dışı kapanması ile gerçekleşen ani soluk alımı ve bu sırada bir sesin dışarı çıkmasıdır.
phenomenon;['meteor yağmuru', 'gök taşı yağmuru', 'meteor akımı', 'meteor fırtınası'];Meteorların Dünya atmosferine girmesiyle oluşan doğa olayı
phenomenon;['tayfun', 'süpertayfun', 'pasifik tayfun', 'tayfunlar'];Bir hava olayı.
phenomenon;['alçak basınç', 'alçak basınç alanı', 'alçak basınç sistemi', 'hava sistemi'];Meteorolojide alçak basınç bölgesi
phenomenon;['kimyasal bağ', 'kimyasal bağlar', 'bağ'];Atomlar arası çekime neden olan fiziksel olgu.
phenomenon;['oksidatif fosforilasyon'];Gıdaların oksidasyonu sonucu ATP `nin oluştuğu metabolik yol.
phenomenon;['mıknatıslık', 'manyetizma', 'manyetizm', 'manyetik kuvvet', 'manyetik', 'manyetik çekim'];Sürtünme, çarpma ve elektrikle olur
phenomenon;['gama ışını', 'gama ışınları', 'gama dalgaları', 'gama işını', 'gama radyasyonu', 'gama ışıması', 'gama ışınımı', 'gamma ışıması', 'gamma ışınları', 'gama foton', 'gama radyasyon'];Işınetkin atomların 3 ana tip enerji salınım şeklinden birisi (Alfa, Beta ve Gama).
phenomenon;['kemosentez', 'kemosentetik', 'kemosentetik sentez'];Işık enerjisi olmadan organik madde üretilmesi.
phenomenon;['fotosentez', 'fotosentetik', 'bitkiler ışıkta glikoz sentezlerler', 'fotosentetik organizma', 'fotosentetik organizmalar'];Klorofil taşıyan canlılarda ışık enerjisi kullanılarak organik bileşiklerin üretilmesi.
phenomenon;['gerilim', 'elektrik potansiyeli', 'potansiyel farkı', 'elektriksel gerilim', 'potansiyel fark', 'voltaj', 'elektriksel potansiyel', 'elektrostatik potansiyel', 'alçak gerilim', 'orta gerilim', 'potansiyel elektrik', 'yüksek gerilim', 'coulomb potansiyeli', 'elektrik potansiyel farkı', 'potansiyel düşüşü'];Elektriksel bir büyüklük
phenomenon;['kohezyon', 'içyapışkanlık', 'uyum'];Aynı cins moleküllerin arasındaki çekim kuvveti
phenomenon;['moment', 'momentler'];Istatistikte ve olasılık kuramında kullanılır
phenomenon;['yaşam', 'hayat', 'ömür'];Bir hayvan ya da bitkiyi anorganik ya da ölmüş organik maddeden ayıran özellik. Canlının metabolizma, büyüme, üreme, çevreye uyum gibi gösterdiği hayatî olaylar. Canlı, sağ olma durumu.
phenomenon;['sürükleme', 'sürükleme kuvveti', 'atmosferik sürüklenme', 'hava direnci', 'hava sürtünmesi', 'hidrodinamik', 'kuvvet geciktirici', 'rüzgar direnci', 'sürtünme kuvveti'];Suda sürükleme
phenomenon;['alev', 'ateş', 'ateşin bulunması', 'ateşin icadı', 'kıvılcım', 'od', 'yanan', 'yangın', 'yangınlar'];Yüksek sıcaklık ve alev veren hızlı yanma olayı
phenomenon;['uyurgezerlik', 'sleepwalking', 'uykuda dolaşma', 'uykuda gezinme', 'uyurgezer', 'somnambulation'];Bir tür uyku bozukluğu.
physical-body;['alfa centauri', 'alpha centauri', 'alfa centauri b', 'alfa centauri bc', 'alfa erboğa', 'alpha centauri a', 'rigel kent', 'rigel kentaurus', 'rigelkent', 'rigil', 'rigil kent'];Bir yıldız sistemi
physical-body;['algol', 'umacı'];Yıldız sistemi.
physical-body;['dünya', 'yerküre', 'yeryüzü', 'yer', 'acun', 'yerdiz', 'yertinç', '♁', 'dünya gezegeni', 'küre-i ârz', 'mavi gezegen', 'sol 3', 'sol d', 'sol iii', 'tellus', 'terra', 'terra mater', '🌏', 'arz', 'batonik', 'dünya teorileri', 'dünya yarıçapı', 'dünyanın katmanları', 'dünyanın yörüngesi', 'dünyâ', 'koytak'];Bir gezegen
physical-body;['i̇o', 'io'];Astronomide Jüpiter `in uydularından biridir.
physical-body;['ceres', '1 ceres', '⚳'];Bilinen en büyük asteroit.
physical-body;['betelgeuse', 'betelgeuse yıldızı', 'alpha avcı'];Avcı Takımyıldızı `nda yer alan kırmızı dev yıldız.
physical-body;['callisto'];Jüpiter `in uydularından biri.
physical-object;['konsol', 'bindirme', 'bindirmeli', 'cumbası', 'destekle çıkmak', 'konsollar'];Bir duvarın yüzeyinden çıkıntı yapan ve balkon, korniş, cumba gibi bölümleri alttan destekleyen yapı öğesi
physical-object;['bumerang', 'boomerang', 'bumerank', 'atma sopa', 'sopa atmak'];Antik bir silah.
physical-object;['bisiklet', 'velespit', 'yarış bisikleti'];Motorsuz, iki tekerlekli, pedallı, insan gücü ile ilerleyen bir ulaşım aracı
physical-object;['bilgisayar ağı', 'bilgisayar ağları', 'bilgisayar ağ teknolojileri ve hizmetleri', 'network', 'i̇letişim ağı', 'veri ağı', 'bilgisayar iletişim', 'datacom'];Bilgisayarların birbirine bağlanmasıyla oluşan yapı
physical-object;['babil kulesi', 'bâbil kulesi'];Tevrat `ta, Kur `an `da ve dünyanın birçok bölgesinde yerel efsanelerde bahsi geçen, tanrıya ulaşmak için inşa edildiğine inanılan kule.
physical-object;['thompson m1a1', 'thompson makineli tabanca', 'hafif makineli tüfek'];Amerikan yapımı Thompson M1A1 makineli tüfeğinin gayrı resmi adlarından birisi
physical-object;['film', 'fotoğraf filmi', 'ham film', 'film kamera', 'fotografik film'];Fotoğrafçılıkta, radyografide ve sinemacılıkta resim çekmek için kullanılan. selülozdan, saydam, bükülebilir şerit
physical-object;['akümülatör', 'akü', 'biriktireç', 'akümülatörler', 'ikincil pil', 'şarj edilebilir', 'şarj edilebilir pil', 'şarj edilebilir piller'];Elektrik enerjisini kimyasal enerji olarak depo eden, istenildiğinde bunu elektrik enerjisi olarak veren cihaz, akım toplar, biriktireç.
physical-object;['çekmece', 'göz'];Dolabın küçüğü, ayrıca mobilya.
physical-object;['genelev', 'bordello', 'fuhuş evi', 'genelevi', 'genelevler', 'spor evi'];Randevuevi anlamına gelen Farsça kökenli sözcük.
physical-object;['teleobjektif', 'zoom', 'odaklama', 'telefoto lens', 'optik zoom', 'telefoto', 'zoom lens', 'zoom merceği'];Fotoğraf ve kamera çekimine ait teknik terim.
physical-object;['taksi', 'taksi şöförü', 'taksi şoförü'];Belirli bir ücret karşılığı yolcu taşıyan, taksimetresi olan otomobil.
physical-object;['sedan', 'salon', 'salon araba'];Kapalı binek taşıtı
physical-object;['tahtırevan', 'tahterevan', 'palanquins gösterilir', 'palkhi', 'çöp'];Geçmişte önemli ve zengin kişilerin taşındığı taşıma aracının karşılığıdır
physical-object;['fil', '♗', '♝', 'piskopos'];Satranç oyununda bir taş
physical-object;['at', '♘', '♞', 'şövalye'];Satranç oyununda bir taş
physical-object;['oyuncak ayı', 'oyuncak ayılar'];ABD Başkanı Theodore Roosevelt tarafından bir ayı türünün korunması amacıyla lanse edilmiş ve Başkan' ın isminden ötürü bütün dünyada Teddy Bear adı ile popülerlik kazanmış oyuncak.
physical-object;['sepet'];Eşya taşımak için kullanılan kap.
physical-object;['makas', '✁', '✂', '✃', '✄'];El aleti
physical-object;['diş macunu', 'diş macun'];Diş temizliğinde kullanılan macun
physical-object;['menteşe', 'esnek eklem', 'menteşeli'];Kapı ve pencerelerde kullanılan metalden imal edilmis bağlantı elemanlarına verilen genel ad.
physical-object;['av tüfeği', 'çifte', '12 kalibrelik', 'kısa namlulu av tüfeği'];Avcılık ta kullanılan tüfek lere verilen genel ad
physical-object;['yüzme havuzu', 'havuz', 'natatorium', 'hamamı'];Yüzme veya süs amaçlı kullanılan, içi su ile doldurulan çukur.
physical-object;['atlas', 'atlant', 'heykel sütun'];Mimarlıkta bir saçaklığı, balkonu ya da bir çıkmayı desteklemek için kolon ve sütun olarak kullanılan erkek figür heykeli.
physical-object;['palet'];Ressamların boya karıştırmak için kullandıkları levha
physical-object;['pencere', 'dayanmalık', 'pervaz'];Mimari öge.
physical-object;['ampul', 'akkor ampul', 'akkor lamba', 'ampül', 'lamba', 'çubuk ampul', 'ampulün tarihçesi', 'filaman', 'akkor aydınlatma', 'akkor ışık', 'ampuller', 'elektrik-ampul', 'elektrik ışığı', 'elektrikli filaman', 'lightbulb'];Işık kaynağı.
physical-object;['keski', 'makas', 'i̇skarpela'];Otomotiv ekipmanı
physical-object;['hastane', 'sağlık merkezi', 'tıbbi merkez', 'darüşşifa', 'revir', 'bölge hastanesi', 'hastaneler'];Sağlık hizmeti verilen ve bu amaçla gerektiğinde hastaların yatarak tedavi oldukları kurum.
physical-object;['han', 'konaklama yeri', 'konak', 'meyhane', 'misafirhane', 'otel', 'auberge', 'hancı', 'misafirhaneler'];Eskiden yolcuların konaklamaları için yapılan, yolların konaklama yerlerine inşa edilmiş yapı.
physical-object;['klavye', 'tuş takımı', 'bilgisayar klavyesi', 'tuştakımı', 'alfanümerik klavye', 'bilgisayar klavye'];Bilgisayar veri giriş ögesi.
physical-object;['savaş topu'];Gülle veya şarapnel atan büyük, ateşli silah.
physical-object;['objektif', 'kamera lensi', 'lens', 'objektif görüş açısı', 'optik lens', 'fotoğrafik lens'];Fotograf makinesi bileşeni
physical-object;['torpido', 'torpil', 'torpedoe'];Savaş gemilerinde su altı silahı olarak kullanılan büyük bomba.
physical-object;['yatağan', 'osmanlı kılıcı', 'yatağan kılıcı', 'yeniçeri kılıcı', 'türk kılıcı'];Bir Türk kılıcı, efelerin belindeki uzun bıçak, manisanın yuntdağ köylerinde yılan bıçağı denen cobanların kullandığı uzun eğri pala.
physical-object;['uzunçalar', 'long play', 'longplay', 'lp', 'plak2', 'l-p', 'lp albümü', 'lp kaydı', 'uzun oynama'];Plaklara verilen alt isim.
physical-object;['anahtar', 'şalter', 'elektrik anahtarı', 'komütatör', 'anahtarlar', 'elektrik düğmesi'];Bir elektrik devresinde akımı kesmeye yarayan elemandır.
physical-object;['balık ağı', 'balık ağları', 'fishnet'];Balık avlamada kullanılan düzenek
physical-object;['asansör', 'götürge', 'ascenseur', 'aufzug'];Dikey ve yatay olarak yük ve insan taşımada kullanılan bir araç.
physical-object;['far', 'farlar', 'adaptif far', 'xenon hid far'];Otomobillerde kullanılan aydınlatma aracı.
physical-object;['panflüt', 'panflütisyen', 'panpipe', 'flüt', 'pan boru', 'pan flüt', 'pandean boru', 'panpipes'];Flüt benzeri üflemeli bir çalgıdır.
physical-object;['ustura', 'yülgü', 'usturayla'];Tıraş olmada kullanılan, katlanıp kapanabilen çok keskin bıçak.
physical-object;['oturma odası', 'salon', 'sitting room', 'ön oda'];Hol veya sofa
physical-object;['hamam', 'türk hamamı'];Avrupa `da Türk Hamamı olarak da bilinen, yıkanmak için yapılmış bina ya da büyük oda.
physical-object;['shaker', 'kokteyl shaker'];Soğutulmuş olarak sunulmak üzere içinde buzlu kokteyl malzemelerinin çalkalandığı çift çeperli kapalı maşrapa
physical-object;['fişek', 'av tüfeği kabukları', 'birdshot', 'shotgun kabuk', 'shotshell'];Yivsiz av tüfeklerinin kullandığı mühimmat.
physical-object;['böcek', 'adamcağız', 'dinleme cihazı', 'gizli dinleme cihazı'];Bir ortamdaki sesleri gizlice dinlemeye yarayan cihaz.
physical-object;['pil', 'battery', 'pilin icadı', 'piller', 'elektrik pil'];Cep telefonu ve benzeri cihazlara takılan şarjlı pil.
physical-object;['oyuncak bebek', 'bebek'];Bebek, çocuk veya erişkin görünümlü oyuncak veya süs eşyası
physical-object;['hisar', 'kale'];Yüksek duvarlı ve kuleli, çevresinde hendekler bulunan küçük kale, kermen, germen.
physical-object;['sundurma', 'veranda'];Binaların giriş katında bulunan açık alan.
physical-object;['boya', 'yağlı boya', 'boyalar', 'boyalı'];Satan veya nesnelere uygulayan kişi
physical-object;['george washington köprüsü', 'george washington bridge', 'hudson river bridge', 'hudson river köprüsü'];New York City `yi Fort Lee, New Jersey'e bağlayan köprü
physical-object;['kontrol sistemi', 'kontrol sistemleri'];Kimyasal, mekanik, biyolojik, çevresel vb. sistemleri istenilen çalışma şartlarında çalışmalarını sağlama özelliği.
physical-object;['elektron tüpü', 'vakum tüpü', 'elektron tübü', 'elektron tüp', 'termiyonik tüpü', 'termiyonik vakum tüpü', 'termiyonik vana', 'termiyonik vanalar', 'tüp', 'vakum tüpleri'];Ses ve müzik sistemlerinde sinyal yükseltme amaçlı kullanılan elektron tüpleri halk arasında lamba olarak da bilinir.
physical-object;['konsol', 'komodin', 'şifoniyer'];Mobilyacılıkta tablasının arka yanı duvara gelen, ön yanı ise süslü ayaklara oturan, masa ya da sehpaya benzeyen eşya.
physical-object;['kontakt lens', 'lens', 'kontak lens'];Görmeyi düzeltici mercek
physical-object;['bulmaca'];Oyuncuların zeka, mantık, dikkat ve hafıza gibi zihinsel yeteneklerini kullanarak çözdükleri. yazılı, sözlü veya mekanik formatlardaki problemlerden oluşan genellikle tek kişilik oyun.
physical-object;['yay ve ok', 'yay', 'ok ve yay', 'yay ve oklar'];Ok atmaya yarayan, ağaç veya metalden yapılmış, eğri çubuk şeklinde bir silah.
physical-object;['ekonomi sınıfı', 'ekonomi class', 'ikinci mevkii'];Hava ve demiryolu ulaşımında en düşük koltuk sınıfı
physical-object;['tonoz', 'tonozlu tavan'];Alttan obruk, yarım silindir biçiminde tavan örtüsü.
physical-object;['semt pazarı', 'pazar', 'alışveriş pazarı', 'pazar, alışveriş yeri', 'şatak', 'pazar yeri', 'sokak pazarı', 'çarşı'];Geleneksel olarak alışveriş yapılan merkezler.
physical-object;['semt pazarı', 'pazar', 'alışveriş pazarı', 'pazar, alışveriş yeri', 'şatak', 'pazar yeri', 'sokak pazarı', 'çarşı'];Açık alan pazarları.
physical-object;['elektrik santrali', 'elektrik santralı', 'elektrik santralleri', 'enerji santralları', 'enerji santralleri', 'termik santralı', 'termik santral', 'güç istasyonu', 'üreten istasyonu'];Elektrik üretilen tesis
physical-object;['bomba', 'bombalar', 'bombalı saldırı', 'bombalama'];Hedefine ulaştıktan sonra patlayacak biçimde tasarlanmış bir silah.
physical-object;['kervansaray', 'kervansaraylar', 'caravansarai', 'karavan inn'];Eskiden kervanların ticaret yolları üzerindeki bir konak yeri
physical-object;['sonar', 'asdic', 'aktif sonar', 'iskandiller', 'pasif sonar', 'sesli iskandil'];Nesnelerin yönünü ve uzaklığını ses dalgalarıyla belirleyen teknik, bu tekniği kullanan cihaz
physical-object;['mikroişlemci', 'mikroişlemciler', 'i̇slemcilerin sınıflandırılması', 'i̇şlemci', 'i̇şlemci sınıflandırması', 'i̇şlemci yazmaçları', 'i̇şlemciler', 'i̇şlemci̇ siniflandirmasi', 'mikro işlemci', 'register', 'yazmaç'];Bir bilgisayar devresi.
physical-object;['sigorta', 'elektrik sigorta'];Elektrik ve elektronik cihazları aşırı akımdan koruyan devre elemanı
physical-object;['işık düzengeci', 'diyafram'];Fotoğraf makinelerinde kullanılan düzenek
physical-object;['far', 'göz farı'];Bir makyaj malzemesi.
physical-object;['perde', 'stor perde', 'perdeler', 'perdelik', 'sunak bez'];Iç mekanın görülmemesi ya da ışık almaması için tasarlanmış eşya
physical-object;['foucault sarkacı', 'focault sarkacı'];Dünya `nın dönüşünü kanıtlayan deneysel düzenek
physical-object;['bisiklet', 'velespit', 'yarış bisikleti'];Motorsuz, iki tekerlekli, pedallı, insan gücü ile ilerleyen bir ulaşım aracı
physical-object;['iron maiden', 'demir bakire', 'demir giyotin'];Kurgusal bir işkence aleti.
physical-object;['reklam panosu', 'billboard', 'ilan panosu', 'istifleme', 'reklam panoları'];Açık alanda kullanılan reklam panolarının genel adı
physical-object;['balon', 'sıcak hava balonu', 'balonlar'];Hava taşıtı
physical-object;['saray', 'kraliyet ikametgahı', 'palazzo', 'saraylar'];Hükümdarların veya dinî liderlerin ikâmet ettiği büyük ve gösterişli yapı.
physical-object;['havuz', 'dry dock', 'havuzlamak', 'kuru dok', 'rıhtım oyuyor', 'yüzer havuzlamak'];Gemilerin tersane bünyesinde inşa ve bakım faaliyetlerinin yürütüldüğü yapı.
physical-object;['pil', 'battery', 'pilin icadı', 'piller', 'elektrik pil'];Cep telefonu ve benzeri cihazlara takılan şarjlı pil.
physical-object;['gırgır', 'girgir', 'halı süpürgesi'];Mekanik halı süpürgesi
physical-object;['anten', 'çanak anten', 'radyo anteni', 'tevcihli anten', 'antenler', 'hava iletim'];Elektromanyetik dalgaları toplayan alıcı cihaz.
physical-object;['kano', 'kürek kano'];Bir tekne türü.
physical-object;['kefen', 'ekranlar', 'pall', 'sargı-giysiler', 'sargı yapraklık'];Vefat eden kişinin, kabre konulmadan önce sarıldığı bez.
physical-object;['kale', '♖', '♜'];Satranç oyununda bir taş
physical-object;['bodrum'];Bir yapının yol düzeyinden aşağıda kalan bölümü
physical-object;['vezir', '♕', '♛', 'kraliçe'];Satranç oyununda bir taş.
physical-object;['ayak iskemlesi', 'hassock', 'osmanlı', 'puf'];Ayak iskemlesi veya sedir denen mobilyanın İngilizce karşılığı
physical-object;['teras', 'patio', 'veranda'];Binaların en üst katında bulunan açık alan.
physical-object;['tütü', 'bale eteği'];Balerin giysisi
physical-object;['i̇nternet', 'siber uzay', 'internet', 'sanal alem', 'siberuzay', 'genel ağ', 'arpanet', 'bilgisunar', 'i̇nt', 'i̇nterenet', 'i̇nternetin bulunuşu', 'küresel ağ', 'örütbağ', 'siber'];Bağlantılardan oluşan bir ağ sistemi
physical-region;['yay', 'eğri', 'kavis', 'dairesel yay'];Geometride bir eğriden alınan parça.
physical-region;['oktan sayısı', 'oktan', 'oktan oranı', 'oktan ölçüsü'];Yakıtlar ile ilgili bir sınıflandırma sistemi.
physical-region;['gökkuşağı', 'ebem kuşağı', 'peygamber kuşağı', 'gökkkuşağı', 'alaimisema', 'eleğimsağma', 'alkım', 'ebekuşağı', 'ebemkuşağı', 'gök kuşağı', 'gökkuşakları', 'çift gökkuşağı'];Güneş ışınlarının yağmur damlalarında veya sis bulutlarında yansıması ve kırılmasıyla meydana gelen ve ışık tayfı renklerinin bir yay şeklinde göründüğü meteorolojik bir olaydır.
plan;['pas', 'oyun geçen', 'oyunu geçen'];Futbolda, oyunculardan birinin topu takım arkadaşına atmasıdır.
political-geographic-object;['camelot'];Kral Arthur `un mitolojik kalesi
political-geographic-object;['delhi', 'eski delhi', 'shahjahanbad'];Hindistan `da bulunan federal yapıya sahip Yeni Delhiyi de içine alan ulusal başkent bölgesi.
political-geographic-object;['lancaster şehri', 'lancaster', 'lancaster, i̇ngiltere'];Kasabalar, köyler ve kırsal alanlar da sınırları içinde bulunur.
