abstract-region;['скаларна физичка величина', 'скалар'];Еднодимензионална физичка величина
physical-object;['тесла', 'те́сла'];Алатка
physical-object;['оружје', 'о́ружје'];Секој предмет кој служи за повредување, убивање или онеспособување на човечки или други живи суштества
physical-object;['железничка станица', 'жс'];Железнички објект каде возовите застануваат
physical-object;['интернет', 'семрежје', 'киберпростор', 'кибернетски простор', 'сајберспејс', 'internet', 'интернетот', 'семрежјето'];Светски сисетем од поврзани сметачки мрежи
physical-object;['вистински раи'];Семејство риби
physical-region;['завојна линија', 'завојница', 'хеликс'];Мазна просторна крива
political-geographic-object;['орландо', 'orlando', 'орландо, флорида', 'орландо флорида'];Град во Флорида, САД
political-geographic-object;['worcester'];Презиме (Worcester)
political-geographic-object;['шенјанг'];Главен град на покраината Љаонинг, Кина
political-geographic-object;['солун', 'салоника', 'тесалоника', 'тесалоники'];Град во Егејска Македонија
political-geographic-object;['едрене', 'одрин', 'адријанопол', 'едирне'];Град во Турција
political-geographic-object;['лајпциг', 'leipzig', 'липск'];Град во Германија
political-geographic-object;['нирнберг'];Град во Баварија, Германија
political-geographic-object;['пусан', 'бусан', 'busán'];Втор по големина град во Јужна Кореја
political-geographic-object;['херес де ла фронтера', 'jérez de la frontera', 'херез де ла фронтера'];Град во Кадис, Шпанија
political-geographic-object;['тајџунг', 'тајчунг', 'taichung'];Град во Тајван
political-geographic-object;['утрехт', 'utrecht'];Град и општина во Холандија
political-geographic-object;['лајден', 'лејден', 'leiden'];Град и општина во Јужна Холандија
political-geographic-object;['сиан', "си'ан", 'чанган', 'сји́ан'];Главен град на покраината Шенси, Кина
political-geographic-object;['хангџоу', 'ха́нгџоу', 'hángzhōu'];Главен град на покраината Џеѓанг, Кина
political-geographic-object;['белизе', 'британски хондурас', 'белиз', 'бели́з', 'belize', 'белисе'];земја во Средна Америка
political-geographic-object;['северен јоркшир', 'north yorkshire'];Грофовија во Англија
political-geographic-object;['беркшир', 'berkshire', 'баркшир'];Грофовија во Англија
political-geographic-object;['англија', 'а́нглија'];Земја во состав на Обединетото Кралство
political-geographic-object;['советски сојуз', 'сојуз на советските социјалистички републики', 'ссср', 'советскиот сојуз', 'cccp', 'советска русија', 'советски', 'сојуз на советски социјалистички републики', 'сојузот на советски социјалистички републики', 'сојузот на советските социјалистички републики'];земја во Европа и Азија од 1922 до 1991 г.
political-geographic-object;['корнвол'];Грофовија во Англија
political-geographic-object;['обединето кралство', 'велика британија', 'обеди́нето кра́лство на ве́лика брита́нија и се́верна и́рска', 'британија', 'обединето кралство на велика британија и северна ирска', 'обединетото кралство', 'обединетото кралство на велика британија и северна ирска', 'британски', 'британско', 'в. британија', 'вб', 'великa британијa', 'земји во обединетото кралство', 'обединето кралство на велика британија и ирска', 'ок'];Земја во северозападна Европа
political-geographic-object;['чад', 'république du tchad', 'tchad', 'република чад', 'تشاد', 'جمهورية تشاد'];Земја во централна Африка
political-geographic-object;['лестершир', 'leicestershire'];Грофовија во Англија
political-geographic-object;['гроф на фландрија', 'список на грофови на фландрија'];Список на статии на Викимедија
political-geographic-object;['западен јоркшир', 'west yorkshire'];Грофовија во Англија
political-geographic-object;['белгија', 'кралство белгија', 'кралството белгија'];Земја во Европа
political-geographic-object;['тонга', 'тонгански', "pule'anga 'o tonga", 'tonga', 'кралство тонга', 'пријателски острови', 'тонгански острови'];Список на статии на Викимедија
political-geographic-object;['мјанмар', 'мијанмар', 'бу́рма', 'мјанмар [бурма]', 'бурма', 'бурманска унија', 'мјанмарска унија', 'мјанмарски сојуз', 'република бурма', 'република унија мјанмар', 'сојуз мјанмар', 'унија бурма', 'унија мјанмар'];Град во југоистична Азија
political-geographic-object;['кан', 'cannes'];Град во департманот Приморски Алпи, Франција
political-geographic-object;['њукасл на тајн', 'newcastle upon tyne', 'њукасл'];Град во Тајн и Вер, Англија
political-geographic-object;['антверпен'];Град во покраината Антверпен, Белгија
political-geographic-object;['кадис', 'cádiz', 'кадиз'];Град во Андалузија, Шпанија
political-geographic-object;['макао', 'мака́о'];Специјален административен регион во Кина
political-geographic-object;['гансу', 'gansu'];Покраина во Кина
political-geographic-object;['јунан', 'ју́нан', 'yunnán', 'јинан', 'јиннан', 'јуннан'];Покраина во Кина
political-geographic-object;['трентино-јужен тирол', 'трентино-алто адиџе'];Автономен регион во северна Италија
political-geographic-object;['венето', 'ве́нето', 'vèneto'];Регион во Италија
political-geographic-object;['апартхејд', 'apartheid'];Систем на расна сегрегација поддржана со законската регулатива на Јужноафриканската Република
political-geographic-object;['замбија', 'северна родезија', 'за́мбија', 'република замбија'];британски протекторат во Африка
political-geographic-object;['демократска република конго', 'белгиско конго', 'конго - киншаса', 'др конго', 'заир', 'конго, демократска република', 'дрк', 'конго-киншаса', 'д.р. конго', 'демократската република конго', 'конго др'];Земја во Африка
political-geographic-object;['полска', 'polska', 'rzeczpospolita polska', 'полска република', 'република полска'];Држава во средна Европа
political-geographic-object;['суринам', 'су́ринам', 'суринамe'];Земја во Јужна Америка
political-geographic-object;['грција', 'grcija', 'greece', 'yunanistan', 'република грција', 'хеленска република', 'јунанистан'];земја во Југоисточна Европа
political-geographic-object;['јужна кореја', 'кореја', 'ју́жна коре́ја', 'република кореја'];Земја во Источна Азија
political-geographic-object;['гвинеја-бисао', 'гвинеа-биса', 'guiné-bissau', 'república da guiné-bissau', 'гвинеја-биса0', 'гвинеја бисао', 'република гвинеја-бисао'];Земја во Западна Африка
political-geographic-object;['еквадор', 'ec', 'ecu', 'република еквадор', 'ecuador', 'república del ecuador'];Демократска република во Јужна Америка
political-geographic-object;['предградие'];Населба на работ на поголем град
political-geographic-object;['блекпул', 'blackpool'];Град во Ланкашир, Англија
political-geographic-object;['џенова'];Град во Италија
political-geographic-object;['кантон', 'kanton'];Вид административна единица
political-geographic-object;['јужна дакота', 'јужна дако́та'];држава во САД
political-geographic-object;['окрузи во иран', 'окрузи на иран', 'шахрестан', 'шахрестани'];Административна единица на Иран
political-geographic-object;['стратфорд на ејвон', 'stratford-upon-avon'];Град во Ворикшир, Англија
political-geographic-object;['линколншир', 'lincolnshire'];Грофовија во Англија
political-geographic-object;['сарагоса', 'zaragoza', 'зарагоза'];Град во Арагон, Шпанија
political-geographic-object;['тибет'];Автономен регион во Кина
political-geographic-object;['вануату', 'вануа́ту', 'ванату', 'vanuatu', 'republic of vanuatu', 'ripablik blong vanuatu', 'république du vanuatu', 'република вануату'];независна островска држава во Океанија
political-geographic-object;['порт луј', 'порт луис', 'port louis'];Главен град на Маврициус
political-geographic-object;['белфаст', 'belfast'];Главен град на Северна Ирска, Обединето Кралство
political-geographic-object;['бризбејн', 'brisbane'];Главен град на Квинсленд, Австралија
political-geographic-object;['киев', 'киeв', 'київ'];Главен и најголем град во Украина
political-geographic-object;['атланта', 'atlanta', 'atlonta', 'ατλάντα', 'горад атланта', 'ատլանտա', 'אטלאנטא', 'אטלנטה', 'آتلانتا', 'أتلانتا، جورجيا', 'اٹلانٹا، جارجیا', 'अटलांटा', 'एट्लान्टा', 'એટલાન્ટા', 'அட்லான்டா', 'అట్లాంటా', 'ಅಟ್ಲಾಂಟಾ', 'അറ്റ്ലാന്റാ നഗരം', 'แอตแลนตา', 'ཨ་ཊི་ལཱན་ཊཱ།', 'အတ္တလန္တာမြို့', 'ატლანტა', 'アトランタ', '亚特兰大', '亞特蘭大', '애틀랜타'];Главен град на Џорџија, САД
political-geographic-object;['одиша', 'orissâ', 'ориса'];Сојузна држава во Индија
political-geographic-object;['ротердам', 'rotterdam'];Град во Холандија
political-geographic-object;['брисел'];Главен град на Белгија
political-geographic-object;['никозија', 'левкозија', 'лефкозија'];Главен град на Кипар
political-geographic-object;['тбилиси', 'тби́лиси', 'тифлис'];Главен град на Грузија
political-geographic-object;['порт-о-пренс', 'порт о пренс', 'port-au-prince'];Главен град на Хаити
political-geographic-object;['рига', 'rīga'];Главен град на Латвија
political-geographic-object;['коломбо'];Град во Шри Ланка
political-geographic-object;['манила', 'manila'];главен град на Филипините
political-geographic-object;['ланџоу', 'ла́нџоу', 'lanzhou'];Главен град на покраината Гансу, Кина
political-geographic-object;['загреб', 'zagreb'];Главен град на Хрватска
political-geographic-object;['болоња'];Покраина во Италија
political-geographic-object;['татковина'];Концепт на местото каде една етничка група има долга историја и длабока културна асоцијација
political-geographic-object;['квебек', 'квебе́к'];Главен град на покраината Квебек, Канада
political-geographic-object;['мешхед'];Втор град по големина во Иран
political-geographic-object;['сиднеј', 'sydney'];Главен град на австралиската сојузна држава Нов Јужен Велс
political-geographic-object;['карачи', 'karāchi'];Главен град на покраината Синд, Пакистан
political-geographic-object;['пиемонт'];Регион во Италија
political-geographic-object;['финикс', 'феникс', 'phoenix'];Град во Аризона, САД
political-geographic-object;['департмани во франција', 'департман во франција', 'генерален совет', 'департман', 'департмани на франција', 'список на департмани во франција', 'список на департмани на франција', 'француски департмани'];Административна единица на Франција
political-geographic-object;['покраина', 'провинција'];Административно-територијална единица во некои земји
qualitative-role;['дознака'];Паричен трансфер од странски работник испратен до неговата матична држава
qualitative-role;['подарок'];Доброволно предавање на објект без надомест
quality;['доктор на науки', 'доктор по филозофија', 'докторат'];Академски степен што нема врска со филозофијата
quality;['брзина'];Скаларна величина
quality;['тиркизна боја', 'вода'];Нијанса на синозелената боја
quality;['алова', 'алова боја'];Нијанса на црвената боја
quality;['егоцентризам'];Појаснителна страница на Викимедија
quality;['многубоштво', 'многубо́штво', 'политеи́зам', 'политеизам'];Верување во повеќе од еден бог
quality;['анабаптизам'];Христијанско движење и верувања што се појавиле како последица на реформите во Западното Христијанство
quality;['родољубивост', 'национали́зам', 'патриотизам', 'родољубие', 'патриот'];Посветеност на татковината
quality;['сина', 'сина боја', 'син', 'нијанси на сината боја'];Боја
quality;['рационалност'];состојба на разумност и способност за расудување
quality;['млада месечина', 'новина'];Месечева мена
quality;['полна месечина'];Месечева мена
quality;['висина', 'височина'];Растојание од највисоката до најниската точка на еден објект
region;['хектар', 'ha', 'ха', 'хектари'];Единица за површина
region;['долга и кратка скала', '1000000000000'];Два система на именување на броевите
region;['барн', 'barn', 'b', 'б'];Мерна единица за пресечна површина во нуклеарната физика
region;['драм'];Стара мерка за тежина
region;['пфенинг', 'фенинг', 'pfennig'];Стара германска пара
region;['галон', 'gal', 'галони'];Мерка за течност
region;['квадратен метар', 'm', 'м²', 'метри квадратни', '㎡', 'cm', 'квадратен сантиметар', 'квадратни метри', 'квадратни сантиметри', 'метар квадратен', 'сантиметар квадратен', 'сантиметри квадратни', 'см²'];Единица за површина
region;['степен', 'лачен степен'];Единица за агол
region;['километар', 'киломе́тар', 'km', 'километри', 'км', 'kilometer'];Единица за должина
region;['сантиметар', 'сантиме́тар', 'cm', 'см', 'цм'];Единица за должина
region;['ангстрем', 'angstrom', 'å'];Единица за должина
region;['дециметар', 'dm', 'дм'];Единица за должина
region;['милиметар', 'милиме́тар', 'mm', 'мм', 'милиметри'];Единица за должина
region;['пикометар', 'микромикрон', 'пикометри'];Единица за должина
region;['кубен метар', 'm', 'кубик', 'м³', 'метар кубен', 'km', 'километар кубен', 'км³', 'кубен километар', 'кубен хектометар', 'кубици', 'кубни километри', 'кубни метри', 'метри кубни'];Единица за зафатнина
region;['подвижна запирка', 'број со подвижна запирка'];Сметачки формат за претставување на реални броеви
region;['електронволт', 'ev', 'ев', 'gev', 'kev', 'mev', 'pev', 'tev', 'гигаелектронволт', 'гигаелектронволти', 'електрон-волт', 'електрон-волти', 'електрон волт', 'електрон волти', 'електронволти', 'килоелектронволт'];Единица за енергија
region;['њутн', 'newton', 'n', 'њ', 'њутон'];Единица за величина на сила
region;['милја', 'милји', 'mi', 'ми', 'mile', 'копнена милја', 'римска милја', 'римски милји'];Мерка за должина
region;['паламар', 'furlong', 'ферлонг', 'фурлонг'];Единица за должина
region;['јазол', 'морска милја', 'наутичка милја', 'нм', 'kn', 'nm', 'nmi', 'морска миља', 'морски милји', 'морски миљи', 'наутичка миља', 'наутички милји', 'наутички миљи', 'нми'];Единица за растојание, еднаква на 1852 метри
region;['ват', 'w', 'вт', 'kw', 'вати', 'киловат', 'киловати', 'мегават', 'мегавати'];Единица за моќност
region;['минута', 'минути', 'мин', 'min'];Единица за време
region;['тона', 'gg', 'kt', 'mg', 't', 'тон', 'гигатон', 'гигатони', 'килотон', 'килотони', 'мегатон', 'мегатони', 'тератон', 'тератони'];Метричка единица за маса
region;['кубит', 'аршин', 'лакот'];Стара мерна единица
region;['лига'];единица за растојание
region;['милкшејк'];ладен млечен пијалак
region;['100', 'сто'];природен број
region;['метар', 'метри', 'm', 'м', 'декаметар', 'мегаметар'];Единица за должина според СИ
region;['белгиски франк'];Валута на Белгија од 1830 до 2002 година
region;['финска марка'];Валута
region;['хонгконшки долар'];Валута на Хонгконг
region;['шекел'];древна парична единица
region;['лира'];Назив на низа парична единици во повеќе земји
region;['злоти', 'полска злота', 'злота', 'полски злоти'];Парична единица во Полска
region;['јужноафрикански ранд', 'zar'];Валута на ЈАР
region;['50', 'педесет'];природен број
region;['40', 'четириесет'];природен број
region;['70', 'седумдесет'];природен број
region;['60', 'шеесет', 'ше́есет'];природен број
region;['30', 'триесет', 'три́есет'];природен број
region;['120'];природен број
region;['19', 'деветнаесет', 'деветна́есет'];природен број
region;['дузина', '12', 'дванаесет', 'двана́есет', 'дузини'];природен број
region;['16', 'шеснаесет', 'шесна́есет'];природен број
region;['6', 'шест', 'chicuacē', 'gatandatu', 'isii', 'itchaksrat', 'joweego', 'juróom benn', 'lix', 'loeg', 'motóbá', 'mukaaga', 'numro 6', 'nümar 6', 'ono', 'poteĩ', "sanu n'chimodzi", 'sax', 'sechs', 'seie', 'seis', 'ses', 'sex', 'seyes', 'shida', 'sikis', 'sis', 'suqta', 'talet 6', 'tanhatu', 'tsevu', 'vikhondi na kamoza', 'zintandathu', 'şeş', 'šest', 'анлъго', 'ряхва', 'фба', '۶', 'ఆరు', 'ಆರು', '༦', 'ექვსი', 'ሹዱሽተ', 'ᑯᐧᑖᔥᒡ', 'ṱhanu na nthihi'];природен број
region;['5', 'пет'];природен број
region;['15', 'петнаесет', 'петна́есет'];природен број
region;['10', 'десет', 'де́сет', 'анцӏго', 'ацӏва', 'chunka', 'cumi', 'decem', 'deci', 'deh', 'dek', 'deu', 'dez', 'diece', 'diez', 'fukk', 'fumi', 'goma', 'gumi', 'hamar', 'iri', 'ishumi', 'khume', 'khumi', 'kkumi', 'mahtlāctli', 'numro 10', 'nümar 10', 'pa', 'qulit', 'sappo', 'talet 10', 'ten', 'tini', 'tunka', 'zehn', 'zéng', 'zómi', 'жәаба', 'ун', '۱۰', '૧૦', 'పది', '༡༠', 'ዓሰርተ', 'ᒥᑖᐦᑦ'];природен број
region;['3', 'три'];природен број
region;['2', 'два'];природен број
region;['17', 'седумнаесет'];природен број
region;['11', 'единаесет'];природен број
region;['14', 'четиринаесет', 'четирина́есет'];природен број
region;['4', 'четири'];природен број
region;['13', 'тринаесет'];природен број
region;['21', 'дваесет и еден', 'два́есет и е́ден'];природен број
region;['29', 'дваесет и девет', 'два́есет и де́вет'];природен број
region;['26', 'дваесет и шест', 'два́есет и шест'];природен број
region;['25', 'дваесет и пет', 'два́есет и пет'];природен број
region;['22', 'дваесет и два', 'два́есет и два'];природен број
region;['28', 'дваесет и осум', 'два́есет и о́сум'];природен број
region;['27', 'дваесет и седум', 'два́есет и се́дум'];природен број
region;['24', 'дваесет и четири', 'два́есет и че́тири'];природен број
region;['23', 'дваесет и три', 'два́есет и три'];природен број
region;['светлосна година', 'милиони светлосни години', 'светлинска година', 'светлосни години', 'сг', 'сгд'];Единица за должина и растојание еднаква на патот што го изминува светлината за една година
region;['мол', 'mol'];Единица за количество супстанција
region;['1', 'еден'];природен број
region;['ден', 'деноноќие', 'календарски ден'];Единица за време која се состои од 24 часа
region;['144'];природен број
regulation;['човекови права', 'човековите права', 'човечки права'];Неотуѓиви основни права кои му се наследно зададени на човекот
regulation;['еднакви можности'];Сличен третман на сите луѓе
regulation;['парност'];Поим во физиката
relation;['преносливост'];Својство на глаголите
relevant-part;['чаура'];Вид плод што се отвора
relevant-part;['кожа'];Орган на телото
set;['простор', 'тополошки простор'];Математички поим
simple-collection;['астеризам'];Шара од ѕвезди на небото
simple-collection;['соѕвездие', 'констелација', 'соѕвездието', 'соѕвездија'];Определена површина на небесниот свод
simple-collection;['волк'];Соѕвездие
simple-collection;['голема кола', 'плуг'];астеризам во соѕвездието Голема Мечка
simple-collection;['тримурти', 'trimūrti', 'индиско тројство', 'хиндуистичко тројство'];Поим во хиндуизмот
simple-collective;['народ'];појаснителна страница
simple-collective;['војвода'];Благодорничка титула
simple-collective;['благородништво', 'аристократија', 'аристокра́т', 'аристокра́тка', 'велможа', 'дворјанство'];Привилегиран општествен слој
simple-planned-collective;['населено место', 'населба', 'naselbi', 'населени места', 'урбана област'];Место со згуснати човечки живеалишта
simple-planned-collective;['заселок', 'крстопат', 'селиште'];Мошне мало населено место
simple-planned-collective;['дом на лордовите', 'горен дом'];Горен дом на Парламентот на Обединетото Кралство
situation;['конвенција'];Сет на договорени и општо прифатени стандарди
situation;['сепуку', 'сеппуку', 'харакири'];Начин на самоубиство
situation;['душевна болест', 'душевно пореметување', 'душевно растројство', 'ментална болест', 'ментално пореметување', 'ментално растројство', 'психолошка болест'];Психолошко пореметување
situation;['доктор на науки', 'доктор по филозофија', 'докторат'];Академски степен што нема врска со филозофијата
situation;['ксенофобија'];Страв и недоверба кон странците и нивните вредности
situation;['равенка', 'равенки'];Математички исказ што цели дека два израза се еднакви
situation;['теорема', 'математички исказ'];математичко тврдење кое е докажано
situation;['крстозбор'];Зборовна игра
situation;['спринт'];Атлетичка дисциплина со брзо кратко трчање
situation;['кривично дело'];сериозен криминал
situation;['навод', 'цитат', 'наводи'];Упат кон изворот на информацијата
situation;['повелба за правата', 'bill of rights'];Првите десет амандмани на Уставот на САД
situation;['импетиго', 'impetigo'];човекова болест
situation;['шап и лигавка'];Заразна болест кај стоката
situation;['мали сипаници', 'morbilli', 'мала сипаница', 'морбили', 'ситна сипаница', 'ситни сипаници'];Заразна болест на дишниот систем
situation;['кирилица', 'кирилицата', 'кирилично писмо', 'кирилска азбука', 'кирилската азбука', 'кирилско писмо', 'климентовица'];Азбука
situation;['виза', 'ви́за'];Документ или дозвола за патување во странство
situation;['копривница', 'уртијарија'];кожна болест
situation;['укинување'];Отповикување (поништување) на закон
situation;['етапа'];Дел од трка која трае повеќе денови
situation;['змејарство', 'змеј'];Вид летачки спорт
situation;['полимиозитис'];вид хронично воспаление на мускулите
situation;['colit'];Colit
situation;['хепатит', 'хепатитис'];воспаление на црниот дроб
situation;['менингитис', 'meningitis'];Meningitis
situation;['пропаганда', 'propagandă'];начин на комуницирање со намера да го/ги доведе човекот/луѓето во заблуда прикажувајќи само една страна од аргументот
situation;['потпала', 'опожарување', 'палеж', 'подметнат пожар', 'потпален пожар', 'потпалување'];чин на намерно предизвикување на пожар
situation;['геноцид'];Целосно или делумно систематско уништување на расна, етничка, верска или национална група
situation;['економска ликвидација'];пропадната компанија
situation;['возење'];управување со возило
situation;['патување'];Движење на луѓето помеѓу релативно одделени географски места
situation;['население', 'populacija', 'популација', 'жител', 'жители'];Единки што живеат во заедница или на дадено подрачје
situation;['шредингерова равенка'];Парцијална диференцијална равенка за промената на квантната состојба на еден физички систем со текот на времето
situation;['медал на честа'];Највисока воена декорација доделена од САД.
situation;['моторџиство'];Возење на мотоцикл
social-role;['монетна остава', 'остава', 'депо', 'монетно депо'];збир вредни предмети оставени на едно место, особено во археологијата
socially-constructed-person;['томас бекет'];Светец, канцелар на Англија и Архиепископ Кантербериски
socially-constructed-person;['франциск асишки', 'св. франциск', 'св. франциск асишки', 'свети франциск', 'свети француск асишки', 'фрањо асишки'];Католички светец и основач на монашкиот ред Францисканци
socially-constructed-person;['фридрих ii', 'фридрих ii велики', 'фридрих велики'];Крал на Прусуија
socially-constructed-person;['џорџ iii'];Крал на Велика Британија
socially-constructed-person;['данте габриел росети', 'dante gabriel rossetti'];Појаснителна страница на Викимедија
socially-constructed-person;['чарлс пирс', 'чарлс сандерс перс', 'чарлс парс'];Американски филозоф, логичар, математичар и научник
socially-constructed-person;['емил зола', 'émile zola'];Француски писател
socially-constructed-person;['џорџ v'];Крал на Обединетото Кралство
socially-constructed-person;['махатма ганди', 'ганди'];Индиски општественик
socially-constructed-person;['ервин шредингер', 'erwin schrödinger'];австриски физичар
socially-constructed-person;['зенон китиски'];Старогрчки филозоф
socially-constructed-person;['гоблин', 'хобгоблин', 'goblin', 'гоблини'];Суштество од народните верувања
socially-constructed-person;['виленик', 'гремлин'];Суштество од народните верувања
socially-constructed-person;['виленик', 'гремлин'];Суштество од народните верувања
socially-constructed-person;['плејади'];небесни нимфи во старогрчката митологија
socially-constructed-person;['ија', 'íó', 'ио', 'јо'];Нимфа од старогрчката митологија
socially-constructed-person;['естира', 'ester'];Библиска кралица на Персија
socially-constructed-person;['адам', 'adam'];Библиски лик
socially-constructed-person;['јаков'];Порок од Библијата
socially-constructed-person;['the conduit'];Видеоигра од 2009 година
socially-constructed-person;['arianrhod'];Женско лично име
socially-constructed-person;['вилијам шекспир', 'шекспир'];Англиски драматург и поет
socially-constructed-person;['џон дан', 'john donne'];Англиски поет
socially-constructed-person;['карл линеј', 'карл лине', 'карл фон лине', 'l.', 'carl linnaeus', 'carolus linnaeus', 'linnaeus', 'линеј'];Шведски ботаничар и зоолог
socially-constructed-person;['катерина ii', 'катерина', 'catherine', 'екатерина ii', 'екатерина велика', 'катерина ii од русија', 'катерина ii руска', 'катерина велика'];Женско лично име
socially-constructed-person;['џозеф листер', 'joseph lister'];Англиски хирург, основоположник на антисептиката
socially-constructed-person;['карл густав јунг', 'карл јунг'];Швајцарски психијатар, филозоф и писател
socially-constructed-person;['бенито мусолини', 'мусолини', 'benito musolīni', 'benito mussolini', 'benits mosuolėnės', 'benitu mussolini', 'benitus mussolini', 'mussolini benito', 'μπενίτο μουσολίνι', 'бенито муссолини', 'беніта мусаліні', 'беніто муссоліні', 'бэніта мусаліні', 'муссолини', 'բենիտո մուսոլինի', 'בניטו מוסוליני', 'בעניטא מוסאליני', 'بنیتو موسولینی', 'بينيتو موسولينى', 'بينيتو موسوليني', 'بینیتو موزولینی', 'बेनिटो मुसोलिनी', 'बेनितो मुसोलिनी', 'বেনিতো মুসোলিনি', 'பெனிட்டோ முசோலினி', 'ముస్సోలినీ', 'ಬೆನಿಟೋ ಮುಸೊಲಿನಿ', 'മുസ്സോളിനി', 'බෙනිටෝ මුසෝලිනී', 'เบนิโต มุสโสลินี', 'မူဆိုလီနီ ၊ ဗင်နီတို', 'ბენიტო მუსოლინი', 'ベニート・ムッソリーニ', '贝尼托·墨索里尼', '베니토 무솔리니'];италијански политичар
socially-constructed-person;['лудвиг витгенштајн', 'ludwig wittgenstein'];Австриски филозоф
socially-constructed-person;['вилард ван орман квајн', 'в.в.о. квајн', 'вилард квајн'];Американски филозоф и логичар
socially-constructed-person;['елизабета ii', 'елизабета ii од обединетото кралство', 'елизабета александра мери виндзор', 'елизабета втора'];Кралица на Обединетото Кралство и земјите од Комонвелтот
socially-constructed-person;['џими картер'];39. претседател на САД
socially-constructed-person;['џејмс монро', 'james monroe'];Американски политичар, V претседател на САД
socially-constructed-person;['војвода'];Благодорничка титула
socially-constructed-person;['свети христифор', 'св. христифор'];Блискоисточен христијански светец и маченик од III век
socially-constructed-person;['апостол павле', 'павле', 'апостол савле', 'свети павле'];Апостол и мисионер
socially-constructed-person;['балерина', 'балетски уметник', 'балетан'];Лице кое игра балет
socially-constructed-person;['балерина', 'балетски уметник', 'балетан'];Лице од женски пол кое игра балет
socially-constructed-person;['хугеноти', 'хугенот'];Етнорелигиозна група на француските калвинисти
socially-constructed-person;['гели'];Народ во Европа
socially-constructed-person;['махараџа'];Владетелска титула во Индија
socially-constructed-person;['личност', 'човек', 'person', 'индивидуа'];Бистински човек или измислен лик
socially-constructed-person;['гном'];Суштество од народните верувања
socially-constructed-person;['лекар', 'лекарка', 'доктор', 'др.'];Лице кое професионално се занимава со медицина
socially-constructed-person;['вепси'];Угрофински народ во Русија
socially-constructed-person;['пожарникар'];Лице кое гасне пожари, спасува луѓе и имот
socially-constructed-person;['сијукси', 'сиукси', 'сиу', 'сиујци'];Народ во Северна Америка
socially-constructed-person;['роми', 'ром', 'ромка', 'цигани'];Народност во Европа
socially-constructed-person;['номади', 'номад'];Член на една заедница на луше кои живеат во различни места, движејќи се од место до место
socially-constructed-person;['чероки', 'чироки'];Домороден народ во југоистокот на САД
socially-constructed-person;['низински индијанци', 'прериски индијанци'];домородни народи од Големата Низина во Северна Америка
socially-constructed-person;['амхарци'];Народ во Африка
socially-constructed-person;['квапо', 'quapaw', 'куапо'];Американски староседелски народ
socially-constructed-person;['раселено лице'];Лице кое присилно е иселено од својот дом или регион
socially-constructed-person;['спроводник', 'наведувач', 'пилот'];Морепловец кој маневрира бродови низ опасни или закрчени води
socially-constructed-person;['космонаут', 'астрона́ут', 'космона́ут', 'астронаут'];Човек кој командува со, пилотира или служи како член на посадата на вселенско летало
socially-constructed-person;['мажјак'];Животно од машки пол
socially-constructed-person;['странец', 'туѓинец'];Човек во една држава каде нема државјанство
socially-constructed-person;['светец', 'светител', 'светителка', 'светица', 'светители', 'светици', 'светци'];Дице со исклучителна благочестивост и доблест според црквата
socially-constructed-person;['играч', 'учесник', 'учесничка'];Субјект во теоријата на игрите
socially-constructed-person;['пијанист'];Музичар што свири на пијано
socially-constructed-person;['тетида', 'тетис'];Праисториски океан
socially-constructed-person;['моргана', 'морган ле феј'];Вила од артуровските легенди
socially-constructed-person;['модел', 'фотомодел', 'манекен', 'манекенка'];Занимање
socially-constructed-person;['девојка', 'девојче'];Женско човечко битие во своето детство или младост
socially-constructed-person;['маж', 'мажи'];Личност од машки пол
socially-constructed-person;['бегалец', 'бежанец'];Вид на раселено лице
socially-constructed-person;['географ', 'географи'];Научен работник што се занимава со изучување на географијата
socially-constructed-person;['консултант', 'советник'];Лице што дава совети од неговата стручна област
socially-constructed-person;['реакција', 'реакционер', 'реакционери', 'реакционерство'];Политички поим
socially-constructed-person;['bear'];Презиме (Bear)
socially-constructed-person;['фелдмаршал'];Обично највисокиот чин во една армија
socially-constructed-person;['апостол петар', 'св. петар', 'св.петар', 'свети петар'];Апостол и прв папа
socially-constructed-person;['хајнрих рудолф херц', 'хајнрих херц'];германски физичар
socially-constructed-person;['лизимах', 'лисимах'];македонски офицер и крал
socially-constructed-person;['генерал'];Воен чин
socially-constructed-person;['бернхард риман', 'георг фридрих бернхард риман'];Германски математичар
socially-constructed-person;['марко антониј'];Римски државник и војсководец
socially-constructed-person;['шумар'];лице кое се занимава со шумарство
socially-constructed-person;['статистичар'];Човек кој работи со теоретска или применета статистика
socially-constructed-person;['вложувач', 'инвеститор'];Човек или претпријатие што вложува капитал во претприемништвото
socially-constructed-person;['wright'];Презиме (Wright)
socially-constructed-person;['чембалист', 'чембали́ст', 'чембали́стка', 'клавичембалист'];Музичар што свири на чембало
socially-constructed-person;['сценарист'];Писател на дејства во телевисиски и драмски дела
socially-constructed-person;['минос', 'minos'];Митски крал на Крит
socially-constructed-person;['цар на светото римско царство', 'свет римски цар', 'список на цареви на светото римско царство', 'цареви на светото римско царство', 'римско-германски цар', 'свети римски цареви', 'светиот римски цар', 'список на свети римски цареви'];Владетел на Светото Римско Царство
socially-constructed-person;['калки', 'kalkî'];Десетта преродба на богот Вишну во хиндуизмот
socially-constructed-person;['министер за внатрешни работи на обединетото кралство'];Список на статии на Викимедија
socially-constructed-person;['калиф'];исламска форма на владеење
socially-constructed-person;['мајкл фарадеј', 'michael faraday'];Британски физичар и хемичар
