abstract-quality;['indiwiduallyk'];INDIWIDUALLYK
region;['türk lirasy', 'türk lirası'];Türk lirasy, Türkiýäniň we Demirgazyk Kipryny resmi pul birligi.
region;['doňg', 'đồng'];Đồng — Wýetnamda Pul.
region;['9', '0'];Sanlar
region;['6'];Sanlar
region;['5'];Sanlar
region;['10', 'on'];Sanlar
region;['8'];Sanlar
region;['7'];Sanlar
region;['4'];Sanlar
region;['ýagtylyk ýyly'];Ýagtylyk ýyly uzynlygy takmynan 10 trillion kilometre barabar bolan ölçeg birligidir.
region;['drob', 'droby bolmek'];' a b {\displaystyle {\frac {a}{b}}} ' görnüşli aňlatma drob diýilýär.
region;['absissa'];Absissa - nokadyň dekart koordinatlarynyň biri.
relevant-part;['bagana önümçiligi'];BAGANA ÖNÜMÇILIGI — 1—3 günlük garaköli guzularyň derisiniň soýlup alynmagy.
simple-collection;['kiçi ýedigen'];Kiçi Ýedigen (lat.
simple-collective;['iňlisler'];Iňlisler
situation;['autizm'];Autizm —Çagalykda, esasan hem çaganyň 3 ýaşyna çenli döwründe onuň ruhy taýdan ösüşiniň binýady tutulyp, gylyk-häsiýetler toplumynyň emele gelmegi we kebşirlenmegi bolup geçýändir.
situation;['merezýel'];Merezýel keseli – dowamly weneriki kesel bolup, deriniň, nemli örtükleriň, içki agzalaryň, süňkleriň we nerw ulgamynyň şikeslenmegi bilen häsiýetlendirilýär.
situation;['gökbogma'];Çaga ýokanç keselleriň arasynda iň giňden ýaýranlarynyň biri – gökbogmadyr (lat.
situation;['infeksion keseller'];Infeksion keseller — organizmde patogen mikroorganizmleriň ýaýramagy sebäpli döreýän keseller topary.
situation;['fobiýa'];Fobiýa: bu islendik birzatdan gorkmak keseli.
situation;['gipotireoz'];Gipotireoz – köp duş gelýän kliniki alamatlar toplumy bolup, galkan şekilli mäziň gormonlarynyň täsiriniň ýetmezçiligi sebäpli ýüze çykýandyr.
situation;['deňleme'];Deñlemeler, iki sanyñ deñ bolşuny görkezýän arabaglanşykdyr.
situation;['adaglama'];Adaglama —Ömürboýy bile ýaşajak, her hili kynçylyklary bilelikde ýeňip geçjek, täze dünýä injek çagalara eýe boljak oglan bilen gyzyň nikahdan öň biri-birini görüp, tanyşmagy, häsiýetlerini öwrenmegi täze guruljak maşgalanyň berkligi üçin öpän möhümdir.
situation;['gyzamyk'];Gyzamyk (lat.
situation;['garamyk'];Garamyk keseli (lat.
situation;['hapgyrtma'];Hapgyrtma (parotit) (lat.
situation;['poliomiýelit'];Poliomiýelit (gad.-grek.
situation;['guduzlama'];Guduzlama keseli (lat.
situation;['kiril'];Kirilda Kiril ýa-da kirilisa rus elipbiýine berilýän atdyr.
situation;['differensial deňlemeler'];dx=xdy === Differensial deňlemeleriñ görnüşleri === d u d x = c u + x 2.
situation;['salam', 'allo'];Her gün birnäçe gezek ulanýan ALO sözümiz nirden gelip çykypdyr?!
situation;['awitaminoz'];Awitaminoz (gr.
situation;['egridaban'];Egridaban — bu ekwino- kawa- warus deformasiýasy bolup, dabanyň displaziýasy we düzüminiň durnukly dislokasiýasy bilen häsiýetlendirilýar.
situation;['brusellýoz'];Bruselloz
situation;['wirusly gepatitler'];Wirusly gepatitler (lat.
situation;['inçekesel'];Inçekesel
situation;['trihomoniaz'];Jyns ýollarynyň trihomoniazy – iň köp ýaýran weneriki keselleriň biri bolup, ony jynshana trihomonadasy döredýändir.
situation;['otit'];Otit (gad.-grek.
situation;['bronhit'];Bronhit (lat.
situation;['prostatit'];Prostatit – erkeklik jyns mäziniň sowuklamagy bolup, 20-50 ýaş aralygyndaky erkek adamlarda iň köp duş gelýän urologiki keseldir.
situation;['köriçege'];Gurçuk görnüşli ösüntginiň (appendiks) (lat.
situation;['absses'];Absses -iriňli baş.
situation;['gyzylja'];Gyzylja (krasnuha) (lat.
situation;['babasyl'];Babasyl keseli köp duş gelýän, adama köp oňaýsyzlyklary döredýän keseldir.
situation;['howa maglumaty'];Howa maglumaty — belli bir nokatda ýa-da sebitde, belli bir döwrüň dowamynda boljak howa ýagdaýy barada ylmy esasda öňe sürülýän çaklama.
situation;['bronhial astma', 'demgysma'];Bokurdagyň, bronhlaryň, öýkeniň, ýürek-damar we nerw ulgamynyň demgysma alamaty bilen geçýän 50-den gowrak keseli bardyr.
situation;['ingi'];INGI - icki organlaryn ya-da icrakde yerleshen dokumalaryn oz yerlerini uytgedip, dashky ortuginin bitewiligine zyyan yetirman, derasty ya-da myshsara kletcatka boshluklaryna cykmagy.
situation;['abort'];Abort - 1
situation;['plagiat'];Haýsydyr bir ýerden alynan pikirleri çeşme görkezmezden ulanmakdyr.
situation;['ewtanaziya', 'ewtanaziýa'];Ewtanaziýa - bejerişi bolmadyk keselden ejir çekýän, çydamsyz agyry çekýän adamlaryň öz islegleri ýa-da islegsiz öldürilmegi.Bu adama ölüm getiraýjek dozada ukol edilmegi ýaly görnüşlerde amala aşyrylýar.
situation;['aşpezlik'];== Tagamlar ==
situation;['inwalidlik'];Inwalidlik
socially-constructed-person;['nikkolo makiawelli'];Niccolò di Bernardo dei Machiavelli, taryh ve syýaset biliminiň gurujusy bolan Floransaly filazof, döwlet adamy, esgeri strategiyaçy, şahyr we oyun ýazary.
socially-constructed-person;['gýote iogann wolfgang', 'gýote'];— nemes şahyry, akyldary, tebigaty öwreniji.
socially-constructed-person;['wiktor gýugo'];Wiktor Gýugo - fransuz ýazyjysy,fransuz edebiýatynda romantizm akymynyň düýbüni tutujy.
socially-constructed-person;['alek\xadsandr graýam bel'];Alek­sandr Gre­ýam Bell te­le­fo­ny oý­lap ta­pyp­dyr.
socially-constructed-person;['mahatma gandi'];Mohandis Karamçand Gandi — 1869-njy ýylda günbatar hindistanda indus maşgalasynda dogulyar.
socially-constructed-person;['erwin şrýodinger', 'erwin schrödinger'];Şrýodingeriñ pişigi == Daşarky çykgytlar == Erwin Schrödinger on an Austrian banknote.
socially-constructed-person;['indira gandi', 'indira gandhi'];Indira Gandi.
socially-constructed-person;['isgender zülkarneýn'];Şablon:Referințe Isgender Zülkarneýn,.
socially-constructed-person;['muhammet', 'mu\xadham\xadmet py\xadgam', 'hezreti muhammet', 'muhammed', 'muhammed pygamber', 'muhammet pygamber'];Muhammet bin Abdylla bolup, 570-nji ÿylda Arabystan ÿarymadasynyñ Mekge şäherinde eneden bolÿar we onuñ Gurhan kitabynda ÿer ÿüzüne iberilen iñ soñky pygamberligi we resullygy bellenip geçilÿär.
socially-constructed-person;['gladiator'];Gladýator latyn dilinden terjime edende gylyç göteriji diýen manyny berýär.Olar öz-özleri bilen her hili haýwanlar bilen halky güýmenje üçin ýörite gurylan arenalarda söweşipdirler.Gladýator oýunlary Rim imperýasynyň güýçlenmegi bilen täze-täze ýerleri basyp almagy,gullaryň sanynyň has köpelmegi bilen başlapdyr.
socially-constructed-person;['ýaponiýanyň imperatory'];Ýaponiýanyň imperatory Imperiýal maşgalanyňnyň başydyr we Ýaponiýaniň başydyr.
socially-constructed-person;['jon polk'];Jon Polk, 1795-1849 ýyllary arasynda ýaşap geçen.
socially-constructed-person;['zakari teýlor', 'zachary taylor'];Zaçary Teýlor, 1784-1850 ýyllarynda ýaşap geçen.
socially-constructed-person;['hristofor kolumb'];Hristofor Kolumb 1451 ỳylyň oktỳabr aỳynda Genuỳada dogulỳar.
socially-constructed-person;['leonardo da winçi'];Leonardo da Vinçi –
socially-constructed-person;['frensis bekon', 'francis bacon', 'fren\xadsis be\xadk'];Fren­siz Be­konn – iň­lis aly­my we sy­ýa­sy iş­gä­ri.
socially-constructed-person;['rene dekart'];Rene Dekart — meşhur fransuz matematigi, fizigi, filosofy we fiziology.
socially-constructed-person;['jon lak', 'john locke'];Jon Lak 1632-nji ýylyň 29-njy awgustynda doglan, 1704-nji ýylyň 28-nji oktýabrynda ölen, aýdyňlanma eýýamynyň iň täsirli pähimdarlaryndan biri we Liberalizmiň atasy hökmünde giňden ykrar edilen Iňlis filosofy we lukmany.
socially-constructed-person;['karl linneý', 'linnaeus'];Karl Linneý (şwed.
socially-constructed-person;['ýekaterina ii', 'catherine'];Beýik Ýekaterina II (Ýekaterina Alekseýewna. Sofiýa Frederika Awgusta Angalt-Serbstskaya, nem.
socially-constructed-person;['karl fredrih gauss'];== Daşarky çykgytlar ==
socially-constructed-person;['wan gog win\xadse'];Wan Gog Win­sent gol­land su­rat­ke­şi.
socially-constructed-person;['sigmund freyd'];Sigmund Şlomo Freyd Awstriýanyň psihianaliz.
socially-constructed-person;['lýudwig witgenşteýin', 'ludwig wittgenstein'];Awusturýaly pelsepeçi we matematik.Logika we dil pelespesine uly goşant goşupdyr.
socially-constructed-person;['jorj waşington', 'jorj waşiňton', 'george washington'];Jorj Waşiňton : 11.02.1731-14.12.1799 Wirjiniýada, gul eýesi bolan we nikotin öndürýän baý maşgalada doguldy, ýaşka kakasy we agasy wepat boldy.
socially-constructed-person;['jon adams', 'john adams'];Jon Adams -300.10.1735-04.07.1826 ABŞ-nyň Jorj Waşingtondan soňra ikinji prezidenti, prezidentlikden öň hem ABŞ ilkinji prezidentiniň wise-prezidenti bolup hyzmat eden.
socially-constructed-person;['jon f. kennedi', 'jon kennedi'];Jon Fisžerald Kennedi ABŞ-nyň döwlet işgäri.
socially-constructed-person;['tomas jeferson', 'thomas jefferson'];Tomas Jeferson 1735-1826 ýyllary arasynda ýaşap geçen, 04.03.1797 - 04.03.1801 senelerinde ABŞ prezidenti bolan, ABŞ üçinji prezidentidir.
socially-constructed-person;['ronald reagan'];Ronald Wilson Reagan, 40th Prezidenti Amerikanyň Birleşen Ştatlary.
socially-constructed-person;['jeýms madison', 'james madison'];Jeýms Madison, 1751-1836 ýyllary arasynda ýaşap geçen.
socially-constructed-person;['jeýms monro', 'james monroe'];Jeýms Monro, 1738-1831 ýyllary arasynda ýaşap geçen.
socially-constructed-person;['oktawian awgust'];Oktawian Awgust
socially-constructed-person;['jon kuinsy adams', 'john quincy adams'];Jon Kuinsy Adams, 1767-1848 ýyllary aralygynda ýaşap geçen.
socially-constructed-person;['endrýu jekson', 'andrew jackson'];Andrýu Jekson, 1767-1845 ýyllary arasynda ýaşap geçen.
socially-constructed-person;['martin wan býuren', 'martin van buren'];Martin Wan Býuren, 1782-1862ýyllary aralykda ýaşap geçen.
socially-constructed-person;['william henry harrison'];William Henry Harrison, 1773-1841 ýyllary aralykda ýaşap geçen.
socially-constructed-person;['gazaklar'];Gazaklar — Esasan Orta Aziýada ýaşaýan türki kowumlardan biri.
socially-constructed-person;['astekler'];Astekler (özl.
socially-constructed-person;['mongollar'];Mogollar, Mongollar
socially-constructed-person;['indeýler'];Indeýler Amerikanyň ýerli ilatynyň umumy ady.
socially-constructed-person;['sýerra-leone', 'sierra leone', 'sýerra leone'];Sýerra Leone Günbatar Afrikada ýerleşýän döwlet.
socially-constructed-person;['alym'];Alym—adalga we leksik manysy ylym
socially-constructed-person;['isa pygamber', 'isus hristos', 'isa'];Isa hristiýaň dini maglumatyna görä, hristiýaň dininiň düýbüni tutujy.
socially-constructed-person;['şahyr', 'kyssachy'];Şahyrlar barada aýdamda türkmenleriň görnükli, ajaýyp şahyrlary köp.
socially-constructed-person;['tomas edison'];Tomas Edison — Amerikaly alym Tomas Edison oýlap tapylan zatlaryň sany boýunça dünyäde birinji orunda durýar.
socially-constructed-person;['robert oppenheimer'];Robert Oppenheimer Amerikally fiziki we mugallym degişlilik fizika.
socially-constructed-person;['ernest hemigueý', 'ernest hemingway'];Ernest Hemingueý
socially-constructed-person;['wikingler'];Wikingler — irki orta asyrlar skandinaw deňiz syýahatçylary, olar 8—11 asyrlarda Winlanddan Biarmiýa çenli we Hazar deňzinden Demirgazyk Afrika çenli deňiz ýörişlerini geçiripdirler.
socially-constructed-person;['ezop'];(latynça – Aisopos, iňlisçe – Aesop, rusça – Эзоп)
socially-constructed-person;['jon taýler', 'john tyler'];Jon Taýler, 04.04.1841 - 04.03.1845 senesinde ABŞ-yň 10-njy prezidenti bolan, William Henry Harrisondan soňraky prezident.
socially-constructed-person;['millard filmor', 'millard fillmore'];Milýard Filmor, 1800-1874 ýyllarynda ýaşap geçen, ABŞ-nyň 13-nji prezidenti, prezident bolmazdan ozal ABŞ 12-nji prezidenti Zaçary Teýloryň wise prezidenti bolan, Zaçary Teýlor wepat etmeginden soňra möhletiň ahyryna çenli prezidentlik wezipesinde boldy.
socially-constructed-person;['isaak nýuton'];Isaak Nýuton beýik iňlis matematigi, fizigi we astronomy.
socially-constructed-person;['karl marks'];Karl Marks German ydysatçy we žurnalist.
socially-constructed-person;['onore de balzak', 'honorè de balzac'];Onore de Balzak
socially-constructed-person;['martin lýuter'];XVI asyryň başlarynda German ýerleriniň ykdysady sosial syýasy ösüşine käbir zatlar ters täsirini ýetirdi.
socially-constructed-person;['gomer'];Gomer Gomeriň hakykatdan-da ýaşap geçen şahs bolandygy barada biziň döwrümize anyk maglumat gelip ýetmändir.
socially-constructed-person;['žuzeppe garibaldi', 'giuseppe garibaldi'];Žuzeppe Garibaldi — Milli gahryman
socially-constructed-person;['çingiz han'];Çingiz han
socially-constructed-person;['aristotel'];Aristotel
socially-constructed-person;['albert eýnşteýn', 'ilatly nokat'];Albert Eýnşteýn — Modern fizikanyň 2 sütüninden biri bolan Otnositellik teoriýasyny. kwant teoriýasyny we statistk fizikany esaslandyran Germaniýada doglan fizik.
socially-constructed-person;['anton çehow'];Anton Çehow — rusça ýazyjy.
socially-constructed-person;['fýodor dostoýewskiý'];Fýodor Mihaýlowiç Dostoýewskiý Dünýä edebiýatynyň iň belli kyssaçylarynyň biri, beýik rus ýazyjysy we akyldary Fýodor Dostoýewskiý 1821-nji ýylda, Moskwada dünýä indi.
socially-constructed-person;['gay', 'gomoseksual'];Gay- iňlis sözidir.
socially-constructed-person;['gerodot'];Gerodot
socially-constructed-person;['prezident'];Gurbanguly Mälikgulyýewiç Berdimuhammedow, Türkmenistanyň Prezidenti.
space-region;['taraz'];Taraz iki ýa-da birnäçe derýanyň, kölüň, deňziň ýa-da okeanyň suw ýygnaýjy basseýnlerini bölüp aýyrýan ýerüsti şertli topografiki liniýa bolup durýar.
space-region;['beýik ýüpek ýoly'];Taryhda “Beýik Ýüpek ýoly” adyny alan gadymy ýüpek ýoly söwda, işjeň duşuşyklar we gepleşikler üçin örän uly mümkinçilikler beripdir, ajaýyp ösüşleri özara baýlaşdyrmaga ýardam edipdir.
space-region;['kosmos'];Kosmos bu Ýeriň atmosferasynyň daşyna berilýän atdyr.
space-region;['demirgazyk polýus'];Demirgazyk polýus — Ýeriň aýlanýan hyýaly okunyň Demirgazyk ýarymşarda ýeriň ýüzi bilen kesişýän nokady.
space-region;['günorta polýus'];Günorta polýus — Ýeriň aýlanýan hyýaly okunyň Günorta ýarymşarda ýeriň ýüzi bilen kesişýän nokady.
spatial-feature;['dag'];Dag, depäniň uly görnüşi.
spatial-feature;['alplar', 'alp daglary'];Alplar (nem.
spatial-feature;['maunt raşmor'];“Mount-Rushmore” milli memorialy, ABŞ-nyň Günorta Dakota ştatynyň Keystone diýen ýeriniň ýanynda ýerleşýän Mount-Rushmore’yň granit ýüzünde çapylyp ýasalan heýkeldir.
spatial-feature;['jomolungma', 'ewerest'];Jomolungma (tib.
spatial-feature;['gimalaýlar'];Gimalaýlar (sanskr.
spatial-feature;['gaýalyk daglar'];Gaýalyk daglar (iňl.
spatial-feature;['kilimanjaro', 'kilimanjaro dagy'];Kilimanjaro Tanzaniýanyň demirgazyk-gündogaryndaky dag massiwi, Afrikanyň deňiz derejesinden iň belent nokady.
state;['abuliýa'];ABULIÝA -erksizlik ýa patologik gowşaklyk.
subject;['statistika'];Statistika Matematikanyn bir bölümidir.
subject;['analiz'];Analiz matematikada hasaplamalarda öran wajyp rol oynayar.
subject;['ylym'];Ylym — hakykat baradaky obýektiw bilimleriň işlenilip düzülmegine we teoretiki taýdan ulgamlaşdyrylmagyna gönükdirilen adamzat işiniň sferasy.
subject;['matematika'];Matematika (gad.-grek.
subject;['geologiýa'];Geologiýa (gad.-grek.
subject;['meteorologiýa'];METEOROLOGIÝA – atmosferada bolup geçýän hadysalary öwrenýän we olaryñ sebäplerini düşündirýän ylymdyr ýa-da atmosferarnyñ fizikasydyr.
subject;['geografiýa', 'jugrafiýa'];Jugrafiýa
subject;['arheologiýa'];Arheologiýa (gad.-grek.
subject;['ähtimallyk teoriýasy'];Ähtimallyk teoriýasy matematikanyň tötänleýin hadysalaryň ähtimallygyny analiz edýän bölümi.
subject;['ekologiýa'];Ekologiýa, bir alymlyk.
subject;['zoologiýa'];Zoologiýa (gad.-grek.
subject;['botanika'];Botanika (gad.-grek.
subject;['ýasama akyl'];Ýasama Akyl - kompýuter ylymynyň bir bölegi bolup, awtomatlara akylly şekilde pikirlenmegi we özüni alyp barmagy öwretmek isleýän ylymdyr.
subject;['atom inženerligi'];Atom inženerligi, ösen döwletlerde has hem kämilleşipdir.
subject;['gurluşyk inženerligi'];Binagärlik – gurluşyk fakultetine degişli kafedralar.
subject;['informatika'];Informatika—Informasiýa informatikanyň ilkinji we düýpli düşünjeleriniň biridir.
subject;['elektrik i̇nženerligi', 'elektrik inženerligi'];Elektrik inženerligi,Inženerlikler içinde iñ giň bolanydyr.
subject;['maşyn inženerligi', 'maşyn inženerigi'];Maşyn inženerligi,esasy fizika prentsiplerini we material tehnologiýasyny ulanyp mehaniki sistemalaryñ Konstruksiýasy,Derňewi,Öndürmesi bilen gyzyklanyan inženerlik pudagydyr..
subject;['himiýa inženerligi'];Himiýa inženerligi, Himiýa, Matematika, Fizika, we Ykdysadyýet bilimlerini ulanyp daşky gurşawy problemalardan goraýan inženerligiñ pudagyndan biridir.
subject;['onomastika'];Onomastika – şahsy atlar hakyndaky ylym.
subject;['logika'];Paradoks'lar
subject;['astronomiýa'];Astronomiýa asman jisimlerini, meselem ýyldyzlary, planetalary, kometalary hem-de galaktikalary öwrenýän ylymdyr.
subject;['sanlar teoriýasy'];Sanlar Teoriyasy ady üstünde sanlar bilen gyzyklanyar.
subject;['köplükler we san köplükleri'];Köplükler we san köplükleri —Matematikada kesgitlemesi getirilmeýän ilkinji düşünjeleriň biri hem köplük düşünjesidir.
subject;['himiýa'];Himiýa, Kimýä
subject;['fizika inženerligi', 'amaly bilimler', 'amaly ylymlar', 'inženerlik'];Elektrik inženerligi
subject;['fizika inženerligi', 'amaly bilimler', 'amaly ylymlar', 'inženerlik'];Fizika inženerligi tebigat hadysalaryny açyklamak we olary ulanyp adamzadyň durmuşyny aňsatlaşdyrmak maksady bilen döredilen bölümdir.
subject;['fizika inženerligi', 'amaly bilimler', 'amaly ylymlar', 'inženerlik'];Inženerlik ýaly ugurlar amaly bilimlere degişli.
subject;['algebra'];Algebra (arap.
subject;['trigonometriýa'];Trigonometriýa, Gadymy Grek dilinde trigōnon "üçburçluk" + metron "ölçemek" sözünden gelip çykypdyr.
subject;['geometriýa'];Geometriýa — Matematika giňişlik gatnaşyklaryň we olaryň gelnen netije.
subject;['pelsepe', 'filosofiýa'];Pelsepe
subject;['fizika'];Fizika gadymy grek dilinden gelip tebigat, tebigat bilimi manysyna gelyar.
subject;['tokaý inženerligi'];== Daşarky çykgytlar ==
subject;['antropologiỳa', 'antropologiýa'];Antropologiýa – adam kelle süňklerini öwrenýän ylym.
subject;['sosiologiýa'];Sosiýologiýa (lat.
subject;['awiasiýa medisinasy'];Awiasiýa Medisinasy - medisinanyň awiasiýa uçuşlary medisina hyzmaty bilen üpjün edýän bölümi.
subject;['paleografiýa'];“Oguz hanyň düzen beýik düzgün-nyzamly döwletleri müň ýylyklarda uzapdyr, Oguz hanyň düzen elipbiýi müň ýyllyklaryň içinde hereket edipdir.
subject;['epigrafika'];Epigrafika (gad.-grek.
subject;['genetika inženerligi'];== Daşarky çykgytlar ==
substance-role;['babbit'];Babbit —esasy galaýy ýa-da gurşun bolan antifriksion splaw.
task;['kopeltmek'];Kopeltmek-bu kopeldijinin komelija deglegi kopeltmek hasylydyr.
taxonomic-collective;['kiçi görnüş'];Biologik sistematikada kiçi görnüş (lat.
taxonomic-collective;['biologik görnüş', 'görnüş'];Görnüş (lat.
taxonomic-collective;['indew'];INDEW -atanakguller mashgalasyna degishli biryyllyk otjumak osumlik.
taxonomic-collective;['süle', 'avena'];Süle (lat.
taxonomic-collective;['at', 'equus'];At - Münmek üçin ýa-da iş maly hökmünde peýdalanylýan, bir toýnakly iri öý haýwany.
taxonomic-collective;['durnalar', 'grus', 'durna'];Durnalar (lat.
temporal-region;['daş asyry'];Daş asyry — adamzadyň ösüşinde iň gadymy medeni-taryhy döwür, şonda esasy zähmet gurallary we ýaraglar esasan daşdan ýasalypdyr, emma agaç bilen süňk hem ulanylypdyr.
temporal-region;['demir asyry'];Demir asyry — adamzadyň ilkidurmuş we irki synpylyk taryhynda bir eýýam, ol demiriň metallurgiýasynyň giňden ýaýramagy hem-de demir ýaraglaryň ýasalmagy bilen häsiýetlendirilýär.
temporal-region;['müňýyllyk'];Müňýyllyk 1000 ýyla deň bolan wagt ölçegidir.
temporal-region;['ýekşenbe', 'dynçgün'];Köne ady Dynçgün.
temporal-region;['şükranalyk baýramçylygy'];Bu baýramçylyk ABŞ-da bütin ýurt baýramçylygy bolup hemmeler bu gün işden boşadylýar we maşgalalary bilen baýramçylygy belleýärler.
temporal-region;['paleolit döwri'];Paleolit.
temporal-region;['wagt'];Wagt — fiziki we psihiki prosesleriň geçiş formasy, üýtgemek mümkinçiligini berýän şert.
temporal-region;['ýanwar'];Ýanwar = Türkmenbaşy
temporal-region;['1890ýý'];== Wakalar we akymlar ==
temporal-region;['1920ýý'];== Wakalar we akymlar ==
temporal-region;['1930ýý'];== Wakalar we akymlar ==
temporal-region;['1940ýý'];== Wakalar we akymlar ==
temporal-region;['1950ýý'];== Wakalar we akymlar ==
temporal-region;['1960ýý'];== Wakalar we akymlar ==
temporal-region;['1970ýý'];== Wakalar we akymlar ==
temporal-region;['1990ýý'];== Wakalar we akymlar ==
temporal-region;['penşenbe', 'sogapgün'];Köne ady Sogapgün.
temporal-region;['ýanwar'];Ýanwar = Türkmenbaşy
temporal-region;['ýanwar'];Ýanwar = Türkmenbaşy
temporal-region;['çarşenbe', 'hoşgün'];Köne ady Hoşgün.
temporal-region;['dekabr', 'dekabr aýy'];Dekabr Gregorýan Kalendaryna laýyklykda ýylyň 31 günlük ýedi aýyndan biri bolan on ikinji we iň ahyrky aýydyr.
temporal-region;['dekabr', 'dekabr aýy'];Dekabr Gregorýan Kalendaryna laýyklykda ýylyň 31 günlük ýedi aýyndan biri bolan on ikinji we iň ahyrky aýydyr.
temporal-region;['maý'];Magtymguly
temporal-region;['sentýabr'];Ruhnama
temporal-region;['fewral'];Fewral = Baýdak
temporal-region;['awgust'];Alp Arslan
temporal-region;['iýul'];Gorkut
temporal-region;['aprel'];Gurbansoltan, Ýylyň dördünji aýy.
temporal-region;['iýun'];Oguz
temporal-region;['noýabr'];Noýabr = Sanjar
temporal-region;['oktýabr'];Garaşsyzlyk
temporal-region;['wozroždeniýe', 'renessans'];Renessans (fr.
temporal-region;['orta asyrlar'];Orta asyrlar — Gadymyýetden soňraky we Täze döwrüň öňýanyndaky taryhy döwür.
temporal-region;['duşenbe', 'başgün'];Köne ady Başgündir.
temporal-region;['şenbe', 'ruhgün'];Köne ady Ruhgün.
temporal-region;['anna'];Köne ady Annagün.
temporal-region;['sişenbe', 'ýaşgün'];Köne ady Ýaşgün.
temporal-region;['ilkidurmuş jemgyýeti'];Ilkidurmuş jemgyýeti — adamzat taryhynda ýazuw oýlanyp tapylýança geçen döwür, ýazuw döränden soň ýazuw çeşmelerini öwrenmeklige esaslanýan taryhy gözlegleri geçirmek mümkinçiligi ýüze çykýar.
theory;['darwiniň ewolýusiýa teoriýasy'];Darwiniň ewolýusiýa hakyndaky teoriýasy - Çaklama Darwiniň ewolýusiýa hakyndaky teoriýasy, ähli ýaşaýyş biri-birine degişli we umumy urugbaşdan gaýdýar diýen çaklamadan durýar: guşlar we bananlar, balyklar we güller - ählisi biri-birine degişli we bagly bolup durýar.
