abstract-region;['terfyn', 'terfan', 'cyfyngu ar bwynt', 'pwynt o gasglu'];term mathemategol
political-geographic-object;['wcráin', 'ukrain', 'yr wcráin', 'wcrain', 'iwcrain', 'ukraine', 'yr wcrain', 'ukrayina'];Gwlad yn nwyrain Ewrop
political-geographic-object;['de corea', 'gweriniaeth corea', 'de korea', 'gweriniaeth korea'];Gwlad yn nwyrain Asia
political-geographic-object;["côte d'ivoire", 'arfordir ifori', 'côte d’ivoire', "cote d'ivoire", 'ivory coast', 'iforiaid', 'traeth ifori', 'y traeth ifori', 'yr arfordir ifori', "gweriniaeth o cote d'ivoire"];gwlad yn Affrica
political-geographic-object;['camerŵn', 'y camerŵn', 'cameroun', 'cameroon', 'camerwn', 'gweriniaeth camerŵn'];gwlad yn Affrica
political-geographic-object;['guinea-bissau', 'gini bisaw', 'guiné-bissau', 'gini-bisaw', 'gini-bissau', 'guinéa-bissau', 'gwini-bisau', 'guine-bissau', 'gweriniaeth gini bissau', 'portiwgaleg guinea'];gwlad yn Affrica
political-geographic-object;['senegal', 'sénégal', 'gweriniaeth senegal', 'république du sénégal', 'sn', '🇸🇳', 'gweriniaeth o senegal'];Gweriniaeth yn Affrica
political-geographic-object;['ffrainc', 'ffrengig', 'france', 'gweriniaeth ffrainc', 'ffrangeg gweriniaeth'];Gwlad yng ngorllewin Ewrop
political-geographic-object;['ecwador', 'ecuador', 'ecu', 'ec', 'gweriniaeth ecwador', 'ecwadoriaid', 'gweriniaeth o ecuador'];Gwlad yng ngogledd-orllewin De America
political-geographic-object;['gweriniaeth iwerddon', 'iwerddon', 'iwerddon rydd', 'éire', 'gwyddelig', 'ireland', 'republic of ireland', 'siart senglau gwyddelig', 'yr iwerddon', 'eire', 'iwerddon gweriniaeth'];Gweriniaeth Iwerddon
political-geographic-object;['tennessee', 'gwirfoddolwyr y wladwriaeth', 'tn'];talaith yn Unol Daleithiau America
political-geographic-object;['kentucky', 'bluegrass wladwriaeth', 'kentuckian', 'ky'];talaith yn Unol Daleithiau America
political-geographic-object;['kansas', 'ks', 'wladwriaeth sunflower'];talaith yn Unol Daleithiau America
political-geographic-object;['vermont', 'vermonter', 'vt', 'wladwriaeth green mountain'];talaith yn Unol Daleithiau America
political-geographic-object;['massachusetts', 'bay wladwriaeth', 'colony hen'];talaith yn Unol Daleithiau America
political-geographic-object;['rhode island', 'ynys rhode', 'ocean wladwriaeth', 'rhody little', 'ri'];talaith yn Unol Daleithiau America
political-geographic-object;['de dakota', 'south dakota', 'mount rushmore wladwriaeth', 'sd', 'wladwriaeth coyote'];talaith yn Unol Daleithiau America
political-geographic-object;['alaska', 'alasga', 'ak', 'frontier diwethaf'];talaith yn Unol Daleithiau America
political-geographic-object;['montana', 'treasure wladwriaeth'];talaith yn Unol Daleithiau America
political-geographic-object;['oregon', 'beaver wladwriaeth'];talaith yn Unol Daleithiau America
political-geographic-object;['louisiana', 'pelican wladwriaeth'];talaith yn Unol Daleithiau America
political-geographic-object;['arkansas', 'land of cyfle'];talaith yn Unol Daleithiau America
political-geographic-object;['florida', 'fflorida', 'everglade wladwriaeth', 'fl', 'y wladwriaeth sunshine'];talaith yn Unol Daleithiau America
political-geographic-object;['georgia', 'empire state y de', 'wladwriaeth peach'];talaith yn Unol Daleithiau America
political-geographic-object;['gogledd carolina', 'north carolina', 'nc', 'old north state', 'wladwriaeth sawdl tar'];talaith yn Unol Daleithiau America
political-geographic-object;['mecsico newydd', 'new mexico', 'land of enchantment'];talaith yn Unol Daleithiau America
political-geographic-object;['arizona', 'arisona', 'grand canyon y wladwriaeth'];talaith yn Unol Daleithiau America
political-geographic-object;['mississippi', 'wladwriaeth magnolia'];talaith yn Unol Daleithiau America
political-geographic-object;['de carolina', 'south carolina', 'palmetto wladwriaeth'];talaith yn Unol Daleithiau America
political-geographic-object;['virginia', 'dominion hen', 'old dominion wladwriaeth'];talaith yn Unol Daleithiau America
political-geographic-object;['idaho', 'gem y wladwriaeth'];talaith yn Unol Daleithiau America
political-geographic-object;['hawaii', "hawai'i", 'hawai', 'hawaï', 'hawäi', 'aloha wladwriaeth'];talaith yn Unol Daleithiau America
political-geographic-object;['nevada', 'arian y wladwriaeth', 'nv', 'wladwriaeth brwydr ganwyd', 'wladwriaeth sagebrush'];talaith yn Unol Daleithiau America
political-geographic-object;['califfornia', 'california', 'calif', 'wladwriaeth golden'];talaith yn Unol Daleithiau America
political-geographic-object;['wyoming', 'wladwriaeth cydraddoldeb', 'wy'];talaith yn Unol Daleithiau America
political-geographic-object;['utah', 'mormon wladwriaeth', 'wladwriaeth beehive'];talaith yn Unol Daleithiau America
political-geographic-object;['colorado', 'wladwriaeth centennial'];talaith yn Unol Daleithiau America
political-geographic-object;['gogledd dakota', 'north dakota', 'wladwriaeth ardd heddwch'];talaith yn Unol Daleithiau America
political-geographic-object;['sheffield'];dinas yn Ne Swydd Efrog
political-geographic-object;['stratford-upon-avon', 'stratford-on-avon'];Tref yng Nghorllewin-Canolbarth Lloegr
political-geographic-object;['lazio', 'latium', 'latiwn'];rhanbarth yr Eidal
political-geographic-object;['gwlad iorddonen', 'yr iorddonen', 'iorddonen', 'gwlad yr iorddonen', 'iorddoniaid', 'hashemite teyrnas jordan'];Gwlad sofran
political-geographic-object;['cabo verde', 'cape verde', 'penrhyn verde', 'gweriniaeth cabo verde', 'y penrhyn gwyrdd', 'cap ferde', 'ynysoedd penrhyn verde', 'gweriniaeth o cape verde'];Gwlad sofran yn Affrica
political-geographic-object;['trinidad a tobago', 'trinidad a thobago', 'trinidad and tobago', 'gweriniaeth o trinidad a tobago', 'trinidadian'];Gwlad ynysol yn y Môr y Caribî
political-geographic-object;['gwlad yr iâ', 'gwlad yr ia', 'is', 'iceland', 'wlad yr iâ', 'ynys-yr-iâ', 'ynys yr iâ', 'weriniaeth gwlad yr iâ'];ynys a gweriniaeth sofran yng Ngogledd Ewrop
political-geographic-object;['rhufain', 'roma', 'brifddinas yr eidal', 'city tragwyddol', 'cyfalaf eidaleg'];dinas yn yr Eidal
political-geographic-object;['brisbane', 'brisbane, queensland'];Dinas yng ngogledd-ddwyrain Awstralia
political-geographic-object;['bari'];dinas yn yr Eidal
political-geographic-object;['beijing', 'peking', 'pecin', 'cyfalaf o tsieina goch', 'peiping'];Prifddinas Gweriniaeth Pobl Tseina
political-geographic-object;['aqaba', 'acaba', "al-'aqabah", 'akaba', 'al aqabah'];Dinas Gwlad Iorddonen
political-geographic-object;['manhattan', 'ynys manhattan', 'manhattan sgist'];bwrdeistref Dinas Efrog Newydd
political-geographic-object;['yr alban', 'alban', 'albanaidd', 'sgotland'];Gwlad yng ngogledd Ewrop, rhan o''r Deyrnas Unedig
political-geographic-object;['tbilisi', 'tiflis'];prifddinas Georgia
political-geographic-object;['oslo', 'christiana', 'christiania', 'cyfalaf o norwy'];Prifddinas Norwy
political-geographic-object;['stockholm', 'cyfalaf o sweden'];prifddinas Sweden
political-geographic-object;['tiwnis', 'tunis', 'cyfalaf o tunisia'];Prifddinas Tiwnisia
political-geographic-object;['baku', 'cyfalaf o azerbaijan'];Prifddinas Aserbaijan
political-geographic-object;['banjul', 'cyfalaf o gambia'];Prifddinas Y Gambia
political-geographic-object;['wellington', 'cyfalaf o seland newydd'];Prifddinas Seland Newydd
political-geographic-object;['valparaíso', 'valparaiso'];dinas yn Tsile
political-geographic-object;['mamwlad', 'hemland', 'motherland', 'thad', 'tir brodorol', 'wlad tarddiad'];Cysyniad o'r lle y mae grŵp ethnig yn dal hanes hir a chymdeithas ddiwylliannol ddwfn
political-geographic-object;["l'aquila", 'aquila degli abruzzi'];dinas yn yr Eidal
political-geographic-object;['piemonte', 'piedmont'];rhanbarth yr Eidal
political-geographic-object;['texas', 'tecsas', 'tx', 'unigol-star wladwriaeth'];talaith yn Unol Daleithiau America
political-geographic-object;['den haag', 'the hague', 'y hague', 'yr hâg', '’s-gravenhage', "'s gravenhage", "mae'r hague"];dinas yn yr Iseldiroedd
qualitative-role;['trosglwyddiad', 'taliad', 'taliadau'];Trosglwyddo arian gan weithiwr tramor i'w wlad gartref
quality;['man geni', 'nevus', 'nevi'];Brycheuyn neu farc ar groen a geir ers ddydd yr enedigaeth
quality;['porffor', 'glasgoch', 'piws', 'purpleness'];Lliw
quality;['arian', 'arian llwyd', 'lludw llwyd'];Lliw
quality;['llwyd', 'grayness', 'greyness'];Lliw
quality;['egocentrism', 'egocentric', 'hunan-canolbwynt,', 'hunan-concern'];Tudalen wahaniaethu Wikimedia
quality;['pensaernïaeth faróc', 'pensaerniaeth faroc', 'baroqueness', 'baróc', 'bensaernïaeth baróc'];Arddull bensaernïol
quality;['glas', 'cleisiau'];Lliw
quality;['feto', 'veto', 'pleidlais atal', 'feto arlywyddol', 'feto suspensive', 'pŵer feto', 'roi feto'];dyfais gyfansoddiadol i roi stop ar fesur seneddol. Ymadrodd sy'n dweud nad oes hawl gan berson neu gorff wneud rhywbeth
quality;['gwyrdd', 'gwyrddlas', 'viridity'];Lliw
quality;['melyn', 'yellowness'];Lliw
region;['owns', 'oz.'];Uned o fass
region;['metr sgwâr', 'm', 'm2', 'm^2', '㎡', 'centimetr sgwâr', 'centare'];Arwynebedd safonol
region;['centimetr ciwb', 'milliliter', 'centimetr ciwbig', 'ml', 'cc'];Uned (cyfaint)
region;['rhif baryon'];Un rhan o dair o'r gwahaniaeth rhwng nifer y cwarciau a hen bethau mewn system
region;['llathen', 'llath', 'iard', 'cyflymder'];Uned (hyd)
region;['tunnell', 'gg', 'kt', 'mg', 't', 'tunnell fetrig', 'gigaton', 'gigatonne', 'megatonne'];Uned fetrig o fass
region;['metr', 'm', 'medr', 'metre'];Hyd safonol
region;['metical mosambic', 'metical'];arian cyfred
region;['doler newydd taiwan', 'nt$', 'twd', 'taiwan doler'];arian cyfred Taiwan
region;['cystadleuaeth chwaraeon', 'gêm'];Cystadleuaeth o fewn fframwaith rheolau sefydlog camp
regulation;['rheol'];Rheoleiddio egwyddor pobl, gan gynnwys cyfreithiau, cyfarwyddiadau, canllawiau, confensiynau cymdeithasol
regulation;['hawliau dynol', 'hawl dynol', 'iawnderau dynol', 'dynol-hawliau', 'hawl ddynol', 'hawliau dynol cyffredinol', 'hawliau dynol groes', 'troseddau hawliau dynol'];Hawliau sylfaenol annymunol y mae gan unigolyn hawl iddyn nhw
regulation;['cyfle cyfartal'];Trin pawb yn debyg
relevant-part;['y gwregys asteroid', 'gwregys asteroid', 'asteroid belt prif', 'asteroid brif-belt', 'maes asteroid', 'prif-belt'];Rhanbarth o'r system Solar, wedi'i leoli rhwng orbitau Mawrth a Iau
simple-collection;['pisces'];Cytser
simple-collection;['bydysawd', 'y bydysawd', 'macrocosm', 'byd', 'byd ffisegol', 'cosmos', 'universes'];Cyfanswm y gofod a'r holl gynnwys
simple-planned-collective;['deddfwrfa', 'corff deddfwriaethol', 'ddeddfwrfa', 'henaduriaeth', 'bresbyteraidd ffurflywodraeth', 'classis', 'cynulliad deddfwriaethol', 'deddfwrfeydd', 'deddfwriaethol', 'gangen deddfwriaethol', 'gweinidog presbyteraidd', 'gyfraith gwneuthurwyr', 'pŵer deddfwriaethol'];Cynulliad sydd a'r hawl i newid deddfau
simple-planned-collective;['cyfadran', 'gyfadran'];Rhan o brifysgol
situation;['cytundeb', 'anghonfensiynol', 'arferol', 'chonfensiynau cymdeithasol', 'confensiwn cymdeithasol', 'confensiynol', 'gonfensiwn', 'gonfensiynau cymdeithasol'];Set o safonau a gytunwyd, a nodwyd, neu a dderbynnir yn gyffredinol
situation;['gwrthddywediad', 'anghyson o', 'gwrthddywediadau'];Anghydnawsedd rhesymegol rhwng dau neu fwy o gynigion
situation;['cyflwr'];Cyflwr neu amgylchiadau peth gwrthrych neu ddigwyddiad
situation;['ffibrosis systig', 'clefyd fibrocystic y pancreas', 'ffibrosis y pancreas', 'mucoviscidosis'];Afiechyd sy'n ymwneud mwcws
situation;['periodontitis', 'afiechyd periodontitis', 'clefyd periodontol'];Afiechyd dynol
situation;['estrongasedd', 'estrongasineb', 'estrongasäwr', 'senoffobia', 'xenophobic'];Yn anfodlon ar yr hyn a ystyrir yn dramor neu'n rhyfedd
situation;['llyfryddiaeth', 'bibliografía'];rhestr o lyfrau neu ddogfennau sy'n berthnasol i bwnc neu awdur penodol
situation;['canlyniad', 'ganlyniad', 'effaith'];Canlyniad terfynol cyfres o weithredoedd neu ddigwyddiadau
situation;['hajj', 'hadj', 'haj', 'bererindod i mecca'];Bererindod Islamaidd i Fecca
situation;['anorecsia', 'colli archwaeth'];Symtom meddygol
situation;['ffelwniaeth', 'ffeloniaeth', 'felonies', 'troseddwyr'];Trosedd difrifol
situation;['diffyg maeth', 'clefydau diffyg', 'diffygion maethol', 'dioddef o ddiffyg maeth', 'maeth gwael', 'newyn yn y byd'];Afiechyd dynol
situation;['rhagfynegiad', 'rhagweld', 'rhagfynegiadau', 'rhagfynegol', 'rhagolygon'];datganiad am ddigwyddiad ansicr
situation;['cynsail', 'dybiaeth', 'premiss', 'rhagosodiad'];Datganiad y bydd dadleuon dadl yn cymell neu'n cyfiawnhau casgliad
situation;['cytundeb heddwch', 'cytundebau heddwch', 'heddwch cytundeb'];cytundeb rhwng dau neu fwy o barthau gelyniaethus sy'n dod a rhyfel i ben yn ffurfiol
situation;['isbwysedd', 'pwysedd gwaed isel'];Pwysedd gwaed is nag arfer
situation;['microcephaly', 'microceffali', 'microcephalic', 'microcephalus', 'nanocephaly'];Afiechyd bodau dynol
situation;['fisa', 'teitheb', 'fisa cludo', 'fisa gludo', 'fisa myfyriwr', 'fisa twristiaid', 'fisa ymadael'];Dogfen swyddogol
situation;['herpes syml', 'herpes simplecs'];Clefyd a achosir gan firws o'r enw herpes simplex
situation;['torasgwrn', 'asgwrn wedi torri', 'torri esgyrn'];Cyflwr meddygol ble ceir difrod i asgwrn
situation;['canser y fron', 'cancr y fron'];Canser thorasig sy'n tarddu yn y chwarren laeth
situation;['osteoarthritis', 'arthritis dirywiol', 'arthrosis', 'clefyd dirywiol y cyd', 'osteoarthrosis'];Math o arthritis
situation;['tarwden y traed', 'pedis tinea'];Clefyd y traed
situation;['methiant y galon', 'diffyg y galon', 'methiant y fentrigl chwith', 'methiant y galon cronig'];Cyflwr lle nad yw'r galon yn gallu pwmpio gwaed yn ddigonol
situation;['hypothermia'];Y broses pan fo'r corff dynol yn oeri'n sylweddol
situation;['hil-laddiad', 'hil laddiad', 'difodi hiliol', 'hil-laddiadau', 'hil-leiddiol', 'llofruddiaeth hil'];Dinistrio systematig o popeth, neu ran sylweddol o grŵp hiliol, ethnig, crefyddol neu genedlaethol
situation;['tynnu sylw'];y broses o symud neu newid meddyliau grwp o bobl
situation;['teithio'];Symudiad o pobl rhwng lleoliadau daearyddol cymharol bell
situation;['medal anrhydedd', 'medal of honor', 'medal of honor cyngresol'];yr addurn milwrol uchaf a ddyfarnwyd gan yr Unol Daleithiau.
situation;['acne', 'acni', 'plorynnod', 'vulgaris acne'];Afiechyd ar y chwarren sebwm
situation;['cyflafan', 'lladdfa', 'llofrudd', 'llofruddiaeth torfol', 'gyflafan', 'gweithredu màs', 'lladd màs', 'llofruddiaeth dorfol', 'llofruddiaethau torfol', 'massacres', 'saethu màs'];Gweithred o lofruddio nifer fawr o bobl
situation;['ffrwythlondeb', 'ffrwythlon'];Y gallu i epilio
situation;['y dioddefaint', 'y pasiwn', 'dioddefaint crist'];Y cyfnod ar ddiwedd bywyd yr Iesu
situation;['cyflafan', 'lladdfa', 'llofrudd', 'llofruddiaeth torfol', 'gyflafan', 'gweithredu màs', 'lladd màs', 'llofruddiaeth dorfol', 'llofruddiaethau torfol', 'massacres', 'saethu màs'];Gweithred o lofruddio nifer fawr o bobl
socially-constructed-person;['ffransis o assisi', 'sant ffransis o assisi', 'giovanni di bernardone', 'st ffransis o assisi'];sant Catholig, a sylfaenydd Urdd Sant Ffransis
socially-constructed-person;['edward ii, brenin lloegr', 'edward ii', 'edward ii o loegr'];Brenin Lloegr a anwyd yng Nghaernarfon
socially-constructed-person;['harri vii, brenin lloegr', 'harri vii', 'harri tudur', 'harri 7', 'harri 7fed', 'harri vii o loegr', 'henry tudor'];Brenin Lloegr, 1485–1509
socially-constructed-person;['catrin o aragón', 'catrin o aragon', 'catalina de aragón y castilla', 'catherine of aragon', 'catherine o aragon'];Gwraig gyntaf Harri VIII, brenin Lloegr
socially-constructed-person;['dante gabriel rossetti', 'rossetti'];Tudalen wahaniaethu Wikimedia
socially-constructed-person;['edward vii', 'edward vii, brenin y deyrnas unedig', 'iorwerth vii', "edward vii o'r deyrnas unedig", 'albert edward'];brenin y Deyrnas Unedig ac ymerawdwr India (1901–1910)
socially-constructed-person;['mahatma gandhi', 'gandhi', 'mohandas gandhi', 'mohandas karamchand gandhi', 'mohandas gandhi karamchand'];Arweinydd gwleidyddol a chrefyddol Indiaidd
socially-constructed-person;['myrddin', 'merlin', 'myrddin emrys', 'myrddin wyllt'];cymeriad chwedlonol, a bardd
socially-constructed-person;['artemis', 'cynthia'];Duwies Roegaidd
socially-constructed-person;['arianrhod', 'arianrod', 'arianrhod ferch don', 'arianrhod ferch dôn', 'arianrod ferch dôn'];Enw personol benywaidd
socially-constructed-person;['leonardo da vinci', 'da vinci.', 'da vinci', 'leonardo'];arlunydd a pholymath Eidalaidd
socially-constructed-person;['catrin fawr', 'catherine', 'catherine fawr', 'catherine ii o rwsia', 'catrin ii, tsarina rwsia', 'catrin ii, ymerawdres rwsia', 'catrin ii o rwsia', 'catrin ii', 'catherine ii'];ymerodres Rwsia
socially-constructed-person;['bertrand russell', 'bertrand arthur william russell', 'earl russell'];athronydd o Gymru, logician, mathemategydd, hanesydd, llenor, beirniad cymdeithasol, actifydd gwleidyddol a enillydd gwobr Nobel
socially-constructed-person;['ulysses s. grant', 'hiram ulysses grant', 'llywydd grant', 'ulysses grant', 'ulysses grant simpson'];18fed arlywydd Unol Daleithiau America
socially-constructed-person;['elisabeth ii, brenhines y deyrnas unedig', 'elisabeth ii', 'elizabeth ii', 'elizabeth yr ail', "elisabeth ii o'r deyrnas unedig", 'elisabeth ii o loegr', 'elizabeth ii, brenhines y deyrnas unedig', "elizabeth ii o'r deyrnas unedig"];Brenhines y Deyrnas Unedig, Canada, Awstralia, Seland Newydd a 12 gwledydd arall. Pennaeth y Gymanwlad
socially-constructed-person;['bill clinton', 'arlywydd clinton', 'william jefferson clinton'];42ain arlywydd Unol Daleithiau America
socially-constructed-person;['siartiaeth', 'mudiad y siartwyr', 'siartwyr', 'siartaeth', 'siartwr', 'y siartwyr', 'gwrthryfel y siartwyr'];idioleg
socially-constructed-person;['amddifad', 'plentyn amddifad', 'amddifad rhyfel', 'plant amddifad'];plentyn heb rieni
socially-constructed-person;['gangster', 'mobster', 'gangsters'];Aelod o gang troseddol
socially-constructed-person;['diva', 'prima donna', 'divas', 'donna prima', 'primadonna'];Cantores glodfawr
socially-constructed-person;['diva', 'prima donna', 'divas', 'donna prima', 'primadonna'];y brif gantores fenywaidd mewn cwmni opera
socially-constructed-person;['mynach', 'mynachaidd', 'mynachod'];Galwedigaeth grefyddol
socially-constructed-person;['cynghorydd', 'aelod o gyngor', 'councilmember', 'y cynghorydd'];Cynrychiolydd etholedig llywodraeth leol
socially-constructed-person;['nomad', 'nomadiaid', 'nomadig', 'bobl grwydrol', 'crwydrol', 'lled-grwydrol', 'llwyth crwydrol', 'llwythau crwydrol', 'lwythau crwydrol', 'nomadiaeth'];Aelod o gymuned o bobl sy'n byw mewn gwahanol leoliadau, gan symud o un lle i'r llall
socially-constructed-person;['delaware county, pennsylvania', 'delaware county'];sir yn nhalaith Pennsylvania, Unol Daleithiau America
socially-constructed-person;['asiaid', 'asiaidd'];Tudalen wahaniaethu Wikimedia
socially-constructed-person;['cymro', 'cymry', 'cymraes', 'gymreig', 'gymry'];Cenedl sy''n frodorol o Gymru
socially-constructed-person;['sant padrig', 'padrig', 'padrig sant', 'san padrig', 'sant patrick', 'patrick', 'st patrick'];Nawddsant Iwerddon a Nigeria, a anwyd yng Nghymru
socially-constructed-person;['person dadleoledig', 'person heb ddinasyddiaeth', "person sydd wedi'i ddadleoli", "pobl wedi'u dadleoli", 'dp', 'pobl heb ddinasyddiaeth', 'statelessness'];Person sydd wedi cael ei symud yn orfodol o'u cartref neu ranbarth cartref
socially-constructed-person;['mathemategydd', 'mathemategwyr'];Person efo llawer o gwybodaeth am mathemateg
socially-constructed-person;['gofodwr', 'gofodwraig', 'gofodwyr', 'cosmonaut', 'spaceman'];Person wedi'i hyfforddi'n broffesiynol i deithio i'r gofod
socially-constructed-person;['gwryw', 'gwrywol', 'dynion', 'person gwrywaidd'];Rhyw (ar gyfer anifail neu blanhigyn, nid person)
socially-constructed-person;['estron', 'estron preswyl', 'estroniaid anghyfreithlon', 'estroniaid preswyl', 'noncitizen', 'outlander'];Person mewn gwlad heb dinasyddiaeth
socially-constructed-person;['sant', 'santes', 'catholig sant', 'saint', 'seintiau cristnogol'];Person sanctaidd
socially-constructed-person;['arlunydd', 'artist', 'arlunwyr', 'paentiwr', 'artistiaid', 'berson creadigol'];unigolyn sydd yn creu, ymarfer neu weithredu unrhyw fath o gelf
socially-constructed-person;['gwyddonydd', 'gwyddonwyr', 'gwyddonydd ymchwil'];Person sydd wedi astudio gwyddoniaeth
socially-constructed-person;['athro prifysgol', 'athro llawn'];Swydd a safle
socially-constructed-person;['barnwr', 'cyfiawnder', 'iudex', 'ynadon'];Swyddog sy'n gyfrifol am lys barn
socially-constructed-person;['ffisegydd', 'ffisegwyr'];gwyddonydd ym maes ffiseg
socially-constructed-person;['gof', 'gofaint', 'siop gof'];Unigolyn sy'n creu cynnyrch haearn gyr neu ddur drwy ofannu, forthwylo, plygu a thorri
socially-constructed-person;['bardd', 'prydydd', 'prydyddes', 'beirdd', 'poetess'];Un sy''n cyfansoddi barddoniaeth
socially-constructed-person;['gof aur', 'eurof', 'aur-weithiwr', 'goldsmithing', 'goldworker', 'gwaith aur'];Gweithiwr metel sy'n arbenigo mewn gweithio gydag aur a metelau gwerthfawr eraill
socially-constructed-person;['ffoadur', 'ffoaduriaid', 'ceiswyr lloches', 'ceisiwr lloches', 'ymgeisiwr lloches', 'ymgeiswyr lloches', 'cheiswyr lloches', 'ffoaduriaid gwleidyddol', 'ffoaduriaid rhyfel', 'statws ffoadur'];Math o berson wedi'i dadleoli
socially-constructed-person;['banerwr', 'cludwr baner', 'dygiedydd lliw', 'flagbearer', 'safon-dygiedydd'];Person sy'n cludo baner mewn gallu swyddogol
socially-constructed-person;['rheolwr gwesty', 'gwestywr', 'hotelkeeper', 'hotelman', 'rheoli gwesty', 'rheoli lletygarwch'];Unigolyn sy'n rheoli gwesty
socially-constructed-person;['morwr', 'morwyr', 'morwr masnachol'];Person sy'n gweithio ar longau
socially-constructed-person;['sant siôr', 'siôr', 'san siôr', 'siors', 'siorys', 'saint george', 'st george'];Sant a merthyr Cristnogol
socially-constructed-person;['esop', 'aesop'];Chwedleuwr yn yr Hen Roeg
socially-constructed-person;['sant pedr', 'simon pedr', 'pedr sant', 'saint peter', 'sant pedr yr apostol', 'st peter'];Apostol a'r pab cyntaf
socially-constructed-person;['euclid', 'ewclid', 'euclid o alexandria', 'euclides', 'eukleides'];mathemategydd Groegaidd
socially-constructed-person;['ffraid', 'brigid o iwerddon', 'brigit', 'brîd', 'naomh bhríde', 'santes ffraid', 'bridget', 'brigid', 'saint bride', 'saint bridget', 'saint brigid', 'st bride', 'st bridget', 'st brigid'];Santes, abades ac un o nawddseintiau Iwerddon
socially-constructed-person;['clovis i', 'clovis'];Brenin cyntaf y Franks (c 466-511)
socially-constructed-person;['swyddog cyffredinol', 'cadfridogion', 'cyffredinol llawn', 'swyddogion cyffredinol'];rheng filwrol
socially-constructed-person;['gwrthwynebydd cydwybodol', 'gwrthwynebwr cydwybodol', 'gwrthwynebwyr cydwybodol', 'wrthwynebiad cydwybodol', 'wrthwynebydd cydwybodol'];Person nad yw'n dymuno ymuno a byddin
socially-constructed-person;['hyfforddwr'];Proffesiwn
socially-constructed-person;['albert einstein', 'einstein'];Ffisegydd damcaniaethol a anwyd yn yr Almaen
socially-constructed-person;['daniel morgan'];Arloeswr, milwr a gwleidydd Americanaidd o dras Gymreig
socially-constructed-person;['ystadegydd', 'actiwari', 'ystadegwyr'];Person sy'n gweithio ym maes ystadegau
socially-constructed-person;['dynwaredwr', 'ddynwaredwr', 'dynwared'];unigolyn sydd yn dynwared neu efelychu ymddygiad neu weithredoedd rhywun arall
socially-constructed-person;['cogydd', 'cogyddes', 'coginio archeb byr', 'gogyddes'];Galwedigaeth yn coginio bwyd
socially-constructed-person;['saer maen', 'seiri maen', 'stonecutter'];Crefftwr
socially-constructed-person;['heusor', 'bugeilio cŵn', 'cŵn bugeilio', 'herder', 'herdsman', 'porthmyn'];un sy'n edrych ar ôl anifeiliaid crwydrol
socially-constructed-person;['wright'];Cyfenw
socially-constructed-person;['pregethwr', 'bregethwyr', 'dyn pregethwr', 'sermoniser', 'sermonizer'];Un sy''n pregethu
socially-constructed-person;['harpsicordydd', 'harpsichordist'];Un sydd yn canu'r harpsicord
socially-constructed-person;['nofelydd', 'nofelwyr'];Un sy''n ysgrifennu nofelau
socially-constructed-person;['dramodydd', 'dramodwr', 'dramodwyr', 'ysgrifennu dramâu'];Un sy'n ysgrifennu dramau
socially-constructed-person;['peiriannydd ceir', 'auto-mechanic', 'car-mechanic', 'mecanig moduron', 'mwnci saim', 'peiriannydd automobile', 'trwsio auto', 'trwsio modurol'];galwedigaeth
socially-constructed-person;['cefnder', 'gefnder dileu unwaith', 'cefndryd cyntaf', 'gefnder', 'gefnder-almaenwr', 'gefnder cyntaf', 'gefnder dwbl', 'gefnder dwbl cyntaf', 'gefnder llawn', 'gefnder trydydd', 'gyfyrder', 'gyfyrder dileu unwaith'];mab i fodryb neu ewythr
socially-constructed-person;['curadur', 'curadur amgueddfa', 'curaduron'];Unigolyn sy'n gyfrifol am drefnu arddangosfa
socially-constructed-person;['maer', 'faeryddiaeth', 'maeres', 'meiri', 'rheolwr ddinas', 'rheolwr y dref'];Pennaeth awdurdod neu cyngor lleol
socially-constructed-person;['llywodraethwr', 'etholiad gubernatorial', 'gubernatorial', 'llywodraethwr milwrol', 'llywodraethwyr'];Swyddog o fewn llywodraeth
socially-constructed-person;['arweinydd', 'cyfarwyddwr cerdd'];Un sy''n arwain cerddorfa
socially-constructed-person;['arglwydd y sêl gyfrin', 'arglwydd geidwad y sêl gyfrin'];Swydd yn llywodraeth y DU
socially-constructed-person;['banerwr', 'cludwr baner', 'dygiedydd lliw', 'flagbearer', 'safon-dygiedydd'];Person sy'n cludo baner mewn gallu swyddogol
socially-constructed-person;['abad', 'archimandrite', 'abadau', 'archmandrite'];Person crefyddol
spatial-feature;['llwyfandir', 'plateau', 'llwyfandir uchel', 'llwyfandiroedd', 'tableland'];Tirwedd uchel gwastad
spatial-feature;['ffin', 'terfyn', 'ffin ryngwladol', 'gosod ffiniau', 'borders', 'ffin genedlaethol', 'ffiniol', 'gosod etholaethau', 'gosod ffiniau ffin', 'llinell derfyn', 'mesuraf', 'traws-ffiniol'];Ffin ddaearyddol endidau gwleidyddol neu awdurdodaethau cyfreithiol
spatial-feature;['mynydd everest', 'mynydd chomolungma', 'everest', 'mount everest', 'mynydd eferest', 'qomolangma', 'sagarmatha', 'mt. everest'];Mynydd uchaf y Ddaear, rhan o'r Himalaya rhwng Nepal a Tsieina
subject;['pensaernïaeth neoglasurol', 'pensaerniaeth neoglasurol', 'arddull neo-glasurol', 'neo-glasurol pensaernïaeth', 'adeilad neo-glasurol', 'neo-glasurol pensaer'];Arddull pensaernïol
