abstract-quality;['individuallik'];Individuallik
political-geographic-object;['oʻzbekiston', 'o‘zbekiston respublikasi', 'o‘zbekiston', 'ŭzbekiston respublikasi', 'ўзбекистон', 'oʻzbekiston respublikasi', "o'zbekiston respublikasi", 'o`zbekiston respublikasi', '"o\'zbekiston"', '"o`zbekiston"', '"oʻzbekiston"', '"o‘zbekiston"', "o'zbekiston", 'o`zbekiston', 'o`zbеkistоn rеspublikаsi', 'o’zbekiston respublikasi', 'uzbekistůn', 'özbegistan', 'ӯзбакистон', 'ئۆزبېكىستان', 'ประเทศอุซเบกิสถาน'];Oʻzbekiston — Markaziy Osiyoning markaziy qismida joylashgan mamlakat.
political-geographic-object;['mali', 'imali', 'maali', 'mailí', 'malee', 'mali respublikasi', 'malio', 'malis', 'malium', 'maliyän', 'maly', 'malí', 'malí - mali', 'malî', 'malïi', 'małì', 'màili', 'málì', 'μάλι', 'мали', 'малудин орн', 'малі', 'малӣ', 'մալի', 'מאלי', 'مالى', 'مالي', 'مالی', 'ܡܠܝ', 'މާލީ', 'माली', 'माली गाविस, दोलखा जिल्ला', 'মালি', 'ମାଲି', 'மாலி', 'മാലി', 'මාලි', 'ประเทศมาลี', 'མ་ལི།', 'မာလီနိုင်ငံ', 'მალი', 'ማሊ', 'マリ共和国', '馬里', '马里', '马里共和国', '말리'];Mali, Mali Respublikasi — Gʻarbiy Afrikadagi davlat.
political-geographic-object;['qozogʻiston', "qozog'iston", "qozog'iston respublikasi", 'qozog`iston', 'qozog`iston respublikasi', 'qozogʻiston respublikasi', 'qozog‘iston', 'qozog‘iston respublikasi'];Qozogʻiston yoki Qozogʻiston Respublikasi – Oʻrta Osiyoda joylashgan mamlakat.
political-geographic-object;['mongoliya', 'moʻgʻuliston', 'an mhongóil', 'bông-kó͘', 'chʼah diʼilii bikéyah', 'imongoliya', "mo'g'uliston", 'mo`g`uliston', 'mogitolia', 'mongoalje', 'mongoelya', 'mongolei', 'mongoli', 'mongolia', 'mongolia - монгол улс', 'mongolie', 'mongoliet', 'mongolija', 'mongolio', 'mongolië', 'mongoliýa', 'mongolo', 'mongolska', 'mongolsko', 'mongolya', 'mongolän', 'mongolí', 'mongoolia', 'mongoriya', 'monguolėjė', 'mongòilia', 'mongòlia', 'mongòllia', 'mongólia', 'mongólía', 'mongōria', 'monholië', 'monokolia', 'monqolustan', 'moğolistan', 'moğolıstan', 'mo‘g‘uliston', 'mungolia', 'mungul suyu', 'mungzguj', 'mòngolskô', 'mòngólíà', 'mông cổ', 'mùng-kú-koet', 'mūng-gū', 'můngolijo', 'yn vongoil', 'μογγολία', 'мангол', 'манголія', 'монгол', 'монгол улас', 'монгол улс', 'монголи', 'монголие', 'монголия', 'монголија', 'монголія', 'моңголстан', 'моңғолия', 'моңһлмудин орн', 'муғулистон', 'мѫголи', 'մոնղոլիա', 'מאנגאליי', 'מונגוליה', 'مغولستان', 'منغوليا', 'منگولیا', 'موغولئون', 'مونجوليا', 'موڭغۇلىيە', 'مەنگۆلیا', 'މޮންގޯލިއާ', 'मंगोलिया', 'मङ्गोलिया', 'মঙ্গোলিয়া', 'ਮੰਗੋਲੀਆ', 'મંગોલિયા', 'ମଙ୍ଗୋଲିଆ', 'மங்கோலியா', 'మంగోలియా', 'ಮಂಗೋಲಿಯ', 'മംഗോളിയ', 'මොංගෝලියාව', 'ประเทศมองโกเลีย', 'མོང་གོལ།', 'སོག་པོ་', 'မွန်ဂိုးလီးယားနိုင်ငံ', 'მონღოლეთი', 'ሞንጎልያ', 'ម៉ុងហ្គោលី', 'モンゴル国', '蒙古国', '蒙古國', 'ꮌꮒꭺꮅᏹ', '몽골'];Mongoliya yoki Moʻgʻuliston — Sharqiy Osiyoda joylashgan mamlakat.
political-geographic-object;['liverpul', 'líverpool'];Liverpool — Buyuk Britaniyaning gʻarbiy qismidagi shahar.
political-geographic-object;['lodz', 'łódź'];Lodz — Polshaning markaziy qismidagi shahar.
political-geographic-object;['tyantszin'];Tyantszin — Xitoyning shimsharqiy qismidagi shahar.
political-geographic-object;['verakrus', 'veracruz'];Verakrus — Meksika shtati, mamlakatning jan.-sharqida, Meksika qoʻltigʻi sohilida.
political-geographic-object;['nyu-jersi', "n'yu-jersi", 'new jersey', 'nyu jersi'];Nyu-Jersi - Amerika Qoʻshma Shtatlaridan biri.
political-geographic-object;['illinoys', 'illinois', 'illinois shtati'];Illinoys - AQSH shimolidagi shtat.
political-geographic-object;['minnesota'];Minnesota – AQShning shimoliy qismidagi shtat.
political-geographic-object;['missuri', 'missouri'];Missuri — AQShning markaziy qismidagi shtat.
political-geographic-object;['michigan'];Michigan — AQShning shimoliy qismidagi shtat.
political-geographic-object;['nebraska'];Nebraska — AQShning markaziy qismidagi shtat.
political-geographic-object;['belgiya', "a' bheilg", 'an bheilg', "bel'gii", 'belchica', 'beldjike', 'beldjym', 'belezi', 'belge', 'belghia', 'belgia', 'belgica', 'belgice', 'belgicko', 'belgie', 'belgien', 'belgija', 'belgijo', 'belgijskô', 'belgika', 'belgikondre', 'belgio', 'belgique', 'belgiska', 'belgiu', 'belgium', 'belgiya qirolligi', 'belgiä', 'belgië', 'belgiýa', 'belgje', 'belgjika', 'belgjo', 'belgän', 'belgía', 'belgėjė', 'belhika', 'belhië', 'beljiam', 'beljika', 'beljim', 'beljiya', 'beljum', 'belsik', 'belsj', 'belzika', 'belçika', 'belçıka', 'belġju', 'berdjiyum', 'bergike', 'beļgeja', 'beļģija', 'bilhika', 'biljik', 'bilkiya', 'bäigien', 'bälgien', 'bèlge', 'bèlgia', 'bèlgica', 'bèlg·iqu', 'bèljik', 'bélgi', 'bélgia', 'bélgica', 'bélgii bikéyah', 'bélgika', 'béljika', 'bélxica', 'bélxica - belgië - belgique - belgien', 'bêleze', 'bī-lé-sì', 'bɛ́ljika', 'bẹ́ljíọ̀m', 'bỉ', 'gwlad belg', 'ibhelijiyamu', 'pehiamu', 'pelekiuma', 'pow belg', 'pí-li-sṳ̀', 'ubelgiji', 'ububiligi', 'véyhika', 'yn velg', 'βέλγιο', 'βέλγιον', 'белгия', 'белгија', 'белгэ', 'бельги', 'бельгие', 'бельгий', 'бельгия', 'бельгія', 'бельҗмудин нутг', 'белґія', 'бэльгія', 'бєлгїѥ', 'բելգիա', 'בלגיה', 'בעלגיע', 'بلجئیم', 'بلجيكا', 'بلجیم', 'بلژیک', 'بیلجیم', 'بېلگىيە', 'بەلجیکا', 'ܒܠܓܝܩܐ', 'ބެލްޖިއަމް', 'बेल्जियम', 'बेल्जियम्', 'বেলজিয়াম', 'ਬੈਲਜੀਅਮ', 'ବେଲଜିଅମ', 'பெல்ஜியம்', 'బెల్జియం', 'ബെൽജിയം', 'ประเทศเบลเยียม', 'པེར་ཅིན།', 'བེལ་ཇིཡམ', 'ဘယ်လ်ဂျီယမ်နိုင်ငံ', 'ბელგია', 'ቤልጅግ', 'ベルギー', '比利时', '比利時', 'ꮗꮅꮵꭵꮋ', '벨기에'];Belgiya, Belgiya Qirolligi — Gʻarbiy Yevropadagi davlat.
political-geographic-object;['svazilend', 'an tsuasalainn', 'dùthaich nan suasaidh', 'gwlad swazi', 'iswazilandi', 'pow swati', 'souazilande', 'suacilandia - swaziland', 'suasïsuiu', 'suazi', 'suazilandia', 'suazilendi', 'suazilândia', 'suazitlālpan', 'suwaasilaand', 'suwasilandya', 'svaasimaa', 'svasiland', 'svasiyän', 'svasíland', 'svazi', 'svazieana', 'svazijsko', 'svaziland', 'svazilandas', 'svazilandiya', 'svazilando', 'svazilend qirolligi', 'svazilenda', 'svazėlands', 'swasiland', 'swasilandya', 'swasilound', 'swasisuyu', 'swati', 'swazi-tē', 'swazia', 'swaziland', 'swazilande', 'swazilandia', 'swazilando', 'swazilandya', 'swazilann', 'swazilend', 'swazilàndia', 'swazilân', 'swazimaa', 'swazini', 'sważiland', 'swoseland', 'swáazi dineʼé bikéyah', 'swásílándì', 'swäzïlânde', 'szváziföld', 'sƿasiland', 'sṳ̂-vî-sṳ-làn', 'umbuso weswatini', 'uswazi', 'yn çheer swassee', 'σουαζιλάνδη', 'свазиланд', 'свазиленд', 'свазилендин нутг', 'свазіленд', 'суазиланд', 'суазилэнд', 'сўазілэнд', 'סווזילנד', 'سوازيلاند', 'سوازيلاندا', 'سوازيلانډ', 'سوازی لینڈ', 'سوازیلاند', 'سوازیلند', 'سۋازىلېند', 'ސުވާޒިލޭންޑު', 'स्वाज़ीलैण्ड', 'स्वाजीलैंड', 'स्वाझीलँड', 'সোয়াজিল্যান্ড', 'ਸਵਾਜ਼ੀਲੈਂਡ', 'સ્વાઝીલેન્ડ', 'ସ୍ଵାଜିଲ୍ୟାଣ୍ଡ', 'சுவாசிலாந்து', 'ಸ್ವಾಜಿಲ್ಯಾಂಡ್', 'സ്വാസിലാന്റ്', 'ประเทศสวาซิแลนด์', 'སུ་ཝ་ཛི་ལནཌ།', 'ဆွာဇီလန်နိုင်ငံ', 'სვაზილენდი', 'ስዋዚላንድ', 'スワジランド', '斯威士兰', '스와질란드'];Svazilend, Svazilend Qirolligi — Janubiy Afrikada joylashgan davlat.
political-geographic-object;['tonga', 'tonga qirollig i', 'batonga', 'toga', 'tongaliklar', 'tongo', 'tonguäns', 'tonka', 'tonqa', 'ton’ga', 'to’a', 'tunqa', 'tuonga', 'tònga', 'tóngà', 'tûng-kâ', 'tůnga', 'tʼónga', 'yn tongey', 'τόνγκα', 'тонгæ', 'тонга', 'тонһлмудин нутг', 'טונגה', 'تونجا', 'تونگا', 'تۆنگا', 'ٹونگا', 'ޓޮންގާ', 'टोंगा', 'টঙ্গা', 'টোঙ্গা', 'ਟੋਂਗਾ', 'ଟୋଙ୍ଗା', 'தொங்கா', 'ಟೋಂಗಾ', 'ടോങ്ക', 'ประเทศตองกา', 'ཊོང་ག', 'တုံဂါနိုင်ငံ', 'ტონგა', 'ቶንጋ', 'トンガ', '東加', '통가'];Tonga, Tonga Qirollig i — Tinch okeanning jan.gʻarbiy qismidagi va Polineziyadagi Tonga arxipelagida joylashgan davlat.
political-geographic-object;['pokiston', 'an phacastáin', 'bakistaan', 'eʼeʼaahjí naakaii dootłʼizhí bikéyah', 'ipakistani', 'iphakhistani', "kisygu'e", 'pacistan', 'pagastàn', 'pakisitani', 'pakistaan', 'pakistan', 'pakistanas', 'pakistani', 'pakistania', 'pakistano', 'pakistán', 'pakistáni', 'pakistän', 'pakistāna', 'pakisztán', 'pakitana', 'pakitāne', 'pakístàn', 'pakėstans', 'pakıstan', 'paquistan', 'paquistán', 'paquistán - پاکستان', 'paquistão', 'pokistan', 'pokiston islom respublikasi', 'pákistán', 'pâ-kî-sṳ̂-thán', 'päkistan', 'yn phakistaan', 'πακιστάν', 'пакистан', 'пакистэн', 'пакьстан', 'пакістан', 'покистон', 'пәкістан', 'сарта паксин орн', 'պակիստան', 'פאקיסטאן', 'פקיסטן', 'باكستان', 'پاكىستان', 'پاکستان', 'پاکِستان', 'پاڪستان', 'ܦܐܩܣܛܐܢ', 'ޕާކިސްތާން', 'पाकिस्तान', 'पाकिस्तानम्', 'পাকিস্তান', 'ਪਾਕਿਸਤਾਨ', 'પાકિસ્તાન', 'ପାକିସ୍ଥାନ', 'பாக்கித்தான்', 'పాకిస్తాన్', 'ಪಾಕಿಸ್ತಾನ', 'പാകിസ്താൻ', 'පාකිස්ථානය', 'ประเทศปากีสถาน', 'པ་ཀི་སི་ཐན', 'ပါကစ္စတန်နိုင်ငံ', 'პაკისტანი', 'ፓኪስታን', 'ᐸᑭᔅᑕᓐ', 'ប៉ាគីស្ថាន', 'パキスタン', '巴基斯坦', '파키스탄'];Pokiston, Pokiston Islom Respublikasi — Osiyo janubida, Hindiston yarim orolining shimoli-gʻarbidagi davlat.
political-geographic-object;['bangladesh', 'an bhanglaidéis', 'banagaladesa', 'bangaladeshi', 'bangglades', 'bangla bikéyah', 'bangla desh', 'banglaades', 'bangladais', 'bangladash', 'bangladejän', 'banglades', 'bangladesch', 'bangladesci', 'bangladesh - বাংলাদেশ', 'bangladesh xalq respublikasi', 'bangladesha', 'bangladeshi', 'bangladesj', 'bangladess', 'bangladesz', 'bangladex', 'bangladexe', 'bangladexx', 'bangladeŝo', 'bangladeş', 'bangladeš', 'bangladeša', 'bangladešas', 'bangladešos', 'bangladèch', 'bangladèsh', 'bangladés', 'bangladéš', 'bangladẹ́shì', 'banglladèch·', 'bangradet', 'banladish', 'banqladeş', "begygu'e", 'bengladeş', 'bángaladɛ́si', 'bængladesc', 'ibhangladeshi', 'men-kâ-lâ-koet', 'vangyladẽ', 'yn vangladesh', 'μπανγκλαντές', 'бангладеш', 'бангладэш', 'банглядэш', 'банґладеш', 'баңгладеш', 'баҥладеш', 'бенгалмудин улс орн', 'բանգլադեշ', 'באנגלאדעש', 'בנגלדש', 'بانجلاديش', 'بانگلادېش', 'بنغلاديش', 'بنګله دېش', 'بنگلادش', 'بنگلاديش', 'بنگلہ دیش', 'بەنگلادێش', 'ބަންގާޅު', 'बंगलादेश', 'बंगलादेशः', 'बांगलादेश', 'बांग्लादेश', 'বাংলাদেশ', 'ਬੰਗਲਾਦੇਸ਼', 'ବଙ୍ଗଳାଦେଶ', 'வங்காளதேசம்', 'బంగ్లాదేశ్', 'ಬಾಂಗ್ಲಾದೇಶ', 'ബംഗ്ലാദേശ്', 'බංගලාදේශය', 'ประเทศบังกลาเทศ', 'བངྒ་ལ་དེཤ', 'བྷང་ལ་རྡེ་ཤུ།', 'ဘင်္ဂလားဒေ့ရှ်နိုင်ငံ', 'ბანგლადეში', 'ባንግላዴሽ', 'បង់ក្លាដែស្ស', 'バングラデシュ', '孟加拉', '孟加拉国', '孟加拉國', '방글라데시'];Bangladesh Xalq Respublikasi — Janubiy Osiyodagi davlat.
political-geographic-object;['afgʻoniston', 'афғонистон', "afg'oniston", "afg'oniston islom davlati", 'afg`oniston', 'afg`oniston islom davlati', 'afgʻoniston islom davlati', 'afg‘oniston', 'afg‘oniston islom davlati'];Afgʻoniston — Afgʻoniston Islom Respublikasi — janubi-gʻarbiy Osiyoning eng chekka sharqiy qismida joylashgan mamlakat.
political-geographic-object;['avstriya', 'an ostair', 'aostria', 'aotrisy', 'ateria', 'austerrike', 'austilia', 'austreja', 'austria', 'austria - österreich', 'austrick', 'austrie', 'austrija', 'austrijo', 'austriya', 'austrya', 'austríà', 'austrėjė', 'austurríki', 'ausztria', 'auteria', 'autriche', 'avstria', 'avstrii', 'avstrija', 'avstriya respublikasi', 'avusturya', 'awistriya', 'awstiriya', 'awstria', 'awstrija', 'awstriska', 'awstriya', 'awstriýa', 'awıstırya', 'aùstrëjackô', 'aŭstrio', 'eastenryk', 'eestereich', 'eestraisch', 'esterreich', 'estrych', 'eysturríki', 'i-ostriya', 'itävalta', 'iyosithiya', 'lösterän', 'nuortariika', 'o-thi-li', 'oesteriek', 'oostenrijk', 'oostenryk', 'oosteriek', 'oostnriek', 'ositiriya', 'ostria', 'ostriya', 'oteriya', 'otrich', 'otriche', 'otris', 'otrish', 'rakousko', 'rakúsko', 'tang-kok', 'yn austeyr', 'ysteraic', 'àustria', 'áo', 'áustria', 'ååstenrik', 'éisträich', 'óóswiya', 'ó̤-dê-lé', 'ôostnryk', 'ôtrich·', 'österreich', 'österrike', 'öösterriek', 'østerrike', 'østrig', 'østrigi', 'ēastrīce', 'αυστρία', 'австри', 'австрие', 'австрий', 'австрия', 'австрија', 'австрія', 'аустрия республикасы', 'аустрија', 'аустрэ', 'аўстрыя', 'аѵстрїꙗ', 'утриш', 'өстрмүдин орн', 'ավստրիա', 'אוסטריה', 'עסטרייך', 'آسٹریا', 'ئاۋستىرىيە', 'اتريش', 'اتریش', 'النمسا', 'نەمسا', 'ܢܡܣܐ', 'އޮސްޓްރިއާ', 'अष्ट्रिया', 'अष्ट्रीया', 'आस्ट्रिया', 'ऑस्ट्रिया', 'অস্ট্রিয়া', 'ਆਸਟਰੀਆ', 'ઑસ્ટ્રિયા', 'ଅଷ୍ଟ୍ରିଆ', 'ஆசுதிரியா', 'ఆస్ట్రియా', 'ಆಸ್ಟ್ರಿಯ', 'ഓസ്ട്രിയ', 'ඔස්ට්\u200dරියාව', 'ประเทศออสเตรีย', 'ཨས་ཊི་ཡ', 'ཨོ་སི་ཐྲི་ཡ།', 'သြစတြီးယားနိုင်ငံ', 'ავსტრია', 'ኦስትሪያ', 'オーストリア', '奥地利', '奧地利', 'ꭰꮝꮯꮿ', '오스트리아'];Avstriya, Avstriya Respublikasi – Markaziy Yevropadagi davlat, Dunayning o‘rta oqimi havzasida joylashgan.
political-geographic-object;['laos', 'ilawoso', 'lao-kok', 'laos xalq demokratik respublikasi', 'laosa', 'laosas', 'laosi', 'laoso', 'laosz', 'laosän', 'laotia', 'lauosos', 'law suyu', 'lawosi', 'layos', 'laòs', 'liàu-koet', 'luaos', 'lào', 'làos', 'làthos', 'lááʼos', 'láọ̀s', 'pow lao', 'raot', 'república democrática popular lao - ສາທາລະນະລັດ ປະຊາທິປະໄຕ ປະຊາຊົນ ລາວ', 'réewum lawos', 'yn laos', 'λάος', 'лаос', 'лаосин улс орн', 'լաոս', 'לאוס', 'لاؤس', 'لائوس', 'لاوس', 'لاووس', 'ލާއޯސް', 'लाओस', 'লাওস', 'ਲਾਓਸ', 'લાઓસ', 'ଲାଓସ', 'லாவோஸ்', 'లావోస్', 'ಲಾವೋಸ್', 'ലാവോസ്', 'ලාඕසය', 'ประเทศลาว', 'ປະເທດລາວ', 'ལའོ་སུ།', 'လာအိုနိုင်ငံ', 'ლაოსი', 'ላዎስ', 'ឡាវ', 'ラオス', '老挝', '老撾', '라오스'];Laos, Laos Xalq Demokratik Respublikasi — Janub-Sharqiy Osiyoda, Hindixitoy yarim oralning markaziy qismida joylashgan davlat.
political-geographic-object;['birma'];Birma poytaxti - Naylido.BMT a'zosi.
political-geographic-object;['kambodja', 'kambodja qirolligi'];Kambodja, (kxmer.
political-geographic-object;['avstraliya', 'avstraliya hamjamiyati', 'australië', 'ahitereiria', 'an astráil', 'aostralia', 'astràilia', 'asturaliya', 'audaihleihya', 'ausetalia', 'austraalia', 'austraalien', 'austraalje', 'australeja', 'australie', 'australien', 'australija', 'australijo', 'australiya', 'australya', 'australėjė', 'austrałia', 'austràlia', 'austrália', 'austrálie', 'austrálíà', 'austrālija', 'ausztrália', 'autaralia', 'autereraria', 'avstralia', 'avstralii', 'avstralija', 'avustralya', 'awistralya', 'awstralia', 'awstraliýa', 'awstralja', 'awstralska', 'awstralya', 'awustireliyaa', 'awıstralya', 'aüstralia', 'aŭstralio', 'i-ostreliya', 'laustralän', 'nahatʼeʼiitsoh bikéyah', 'ositaraliya', 'ostrali', 'ostralia', 'ostraliya', 'ostralya', 'ostralïi', 'ostrelia', 'ostrielya', 'otereiriya', 'oustrália', "sralygu'e", 'usṭralya', 'yn austrail', 'àu-thai-li-â', 'ástralía', 'óstraali', 'ó̤-ciŭ', 'ôstralie', 'úc', 'αυστραλία', 'австрали', 'австралиа', 'австралие', 'австралий', 'австралия', 'австралия одағы', 'австралија', 'австралмудин ниицән', 'австральскый союз', 'австралійський союз', 'аустралиа', 'аустралиэ', 'аустралија', 'аўстралія', 'аѵстралїꙗ', 'ավստրալիա', 'אויסטראליע', 'אוסטרליה', 'آسٹریلیا', 'آسټراليا', 'أستراليا', 'ئاۋستىرالىيە', 'ئۆسترالیا', 'استرالیا', 'اوستراليا', 'ܐܘܣܛܪܠܝܐ', 'އޮސްޓަރުލިޔާ', 'अष्ट्रेलिया', 'आस्ट्रेलिया', 'ऑस्ट्रेलिया', 'অস্ট্রেলিয়া', 'ਆਸਟ੍ਰੇਲੀਆ', 'ઑસ્ટ્રેલિયા', 'ଅଷ୍ଟ୍ରେଲିଆ', 'ஆஸ்திரேலியா', 'ఆస్ట్రేలియా', 'ಆಸ್ಟ್ರೇಲಿಯ', 'ഓസ്ട്രേലിയ', 'ඕස්ට්\u200dරේලියාව', 'ประเทศออสเตรเลีย', 'ປະເທດອົດສະຕາລີ', 'ཨས་ཊེཡེ་ལི་ཡ', 'ཨོ་སེ་ཐེ་ལི་ཡ།', 'ဩစတြေးလျနိုင်ငံ', 'ავსტრალია', 'አውስትራልያ', 'ኣውስትራሊያ', 'ᐊᔅᑦᕌᓕᐊ', 'អូស្ត្រាលី', '‘aukekulelia', 'オーストラリア', '澳大利亚', '澳大利亞', '澳洲', 'ꮢꮃꮧꮭ', '오스트레일리아'];Avstraliya, Avstraliya Ittifoqi – Janubiy yarim shardagi davlat, A. materigi, Tasmaniya orol va boshqa orollarda joylashgan.
political-geographic-object;['konnektikut', 'connecticut', 'konnectikut'];Konnektikut— AQShning shim.-sharqiy qismidagi shtat, Yangi Angliyada.
political-geographic-object;['sichuan'];Sichuan — Xitoydagi provinsiya, Yanszi daryosining yuqori oqimida.
political-geographic-object;['kann', 'cannes'];Cannes yoki Kann, Fransiya janubidagi kurort shahar hisoblanadi.
political-geographic-object;['konakri', 'conakry'];Konakri — Gvineya poytaxti.
political-geographic-object;['messina'];Messina Italiya provinsiyalaridan biridir.
political-geographic-object;['hannover', 'gannover', 'hannober', 'hannova', 'hannovera', 'hannovere', 'hannóver - hannover', 'hanofér', 'hanover', 'hanoveri', 'hanoveris', 'hanovra', 'hanovre', 'hanovro', 'hanower', 'hanowery', 'hanôver', 'hànobhar', 'ihanoveri', 'αννόβερο', 'ганновер', 'ганновэр', 'гановэр', 'горад гановер', 'ханновер', 'хановер', 'հաննովեր', 'האנאווער', 'הנובר', 'هانوفر', 'ہینوور', 'हानोफर', 'হানোফার', 'ฮันโนเวอร์', 'ჰანოვერი', 'ハノーファー', '汉诺威', '漢諾威', '하노버'];Hannover — Olmoniyadagi shahar, Leyn daryosi boʻyidagi port, Quyi Saksoniya yerining maʼmuriy markazi.
political-geographic-object;['bordeaux'];Bordeaux Fransiyaning Akvitaniya mintaqasida joylashgan kommunadir.
political-geographic-object;['antofagasta', 'antofagast', 'antofagasta, an tsile', 'antofagasta, chile', 'antofagasta, şili', 'antuofagasta', 'αντοφαγάστα', 'антафагаста', 'антофагаста', 'антофаґаста', 'אנטאפאגאסטא', 'آنتوفاگاستا', 'انتوفاکوستا', 'अंतोफागास्ता', 'ანტოფაგასტა', 'アントファガスタ', '安托法加斯塔', '안토파가스타'];Antofagasta — Chilidagi shahar.
political-geographic-object;['antverpen'];Antverpen — Belgiyaning shim.dagi shahar. Antverpen provinsiyasining ma’muriy markazi, kema qatnaydigan Shelda daryosi va Albert kanali bo‘yida, Shim.
political-geographic-object;['oran'];Oran — Jazoirning shim.-gʻarbiy qismidagi shahar.
political-geographic-object;['mombasa'];Mombasa —Keniyadagi shahar, Hind okeanidagi marjon orolida, materik bilan damba va koʻprik orqali bogʻlangan.
political-geographic-object;['bergen'];Bergen — Norvegiya jan.gʻarbidagi shahar.
political-geographic-object;['kadis', 'cádiz'];Kadis — Ispaniyaning jan.
political-geographic-object;['gyoteborg', 'yyoteborg'];Gyoteborg, Yyoteborg — Shvetsiyaning jan.-gʻarbidagi shahar.
political-geographic-object;['kastri', 'castries'];Kastri - Sent-Lyusiya davlati poytaxti.
political-geographic-object;['makao', 'aomen', 'aomin', 'aumwnz', 'ma cao', 'macao', 'macau', 'macau - 澳门', 'macaum', 'makaaw', 'makau', 'makaw', 'makawo', 'makaó', 'makèë', 'màkáù', 'àu-mûn', 'ò-mn̂g', 'ó̤-muòng', 'μακάου', 'аоминь', 'макаа', 'макао', 'մակաու', 'מקאו', 'ئاۋمېن', 'ماكاو', 'ماکائو', 'مکاؤ', 'މަކާއޫ', 'मकाउ', 'मकाओ', 'মাকাউ', 'মাকাও', 'ਮਕਾਉ', 'મકાઉ', 'மக்காவு', 'మకావు', 'ಮಕಾವು', 'മകൗ', 'เขตบริหารพิเศษมาเก๊า', 'မကာအို', 'მაკაო', 'マカオ', '澳門', '澳门', '마카오'];Aomin — Xitoy janubi-sharqidagi maxsus ma’muriy rayon Janubiy Xitoy dengizi sohilida, Chjuts-zyan daryosi quyilish joyida.
political-geographic-object;['butan', 'бутан', 'butan podsholigi', 'bûtan', 'بوتان', 'an bhútain', 'bhoetaan', 'bhoetan', 'bhoutan', 'bhutan', 'bhután', 'bhútán', 'botan', 'boutan', 'butaan', 'butana', 'butanas', 'butania', 'butano', 'butans', 'butàn', 'bután', 'bután - འབྲུག་ཡུལ', 'butáni', 'butão', 'butän', 'butāna', 'buuten', 'bútan', 'iiʼniʼ tłʼiizhtsoh bikéyah', 'kraljevina butan', 'μπουτάν', 'бутан патшалығы', 'бутон', 'բութան', 'בהוטן', 'بهوټان', 'بھوٹان', 'بۇتان', 'ބޫޓާން', 'भुटान', 'भूटान', 'भूतान', 'ভুটান', 'ભૂતાન', 'ଭୁଟାନ', 'பூட்டான்', 'భూటాన్', 'ಭೂತಾನ್', 'ഭൂട്ടാന്\u200d', 'ประเทศภูฏาน', 'འབྲུག་ཡུལ་', 'འབྲུག་ཡུལ།', 'ბჰუტანი', 'ブータン', '不丹', '부탄'];Ushbu maqola mamlakat haqidadir.
political-geographic-object;['gansu'];Gansu — Xitoyning shimoligʻarbidagi provinsiya.
political-geographic-object;['nyu-bransuyk'];Nyu-bransuyk - Kanadaning sharqiy qismidagi provinsiya, Atlantika okeani sohilida, Maydoni 72,9 ming km².
political-geographic-object;['britaniya kolumbiyasi'];Britaniya kolumbiyasi — Kanada g‘arbidagi provinsiya.
political-geographic-object;['yunnan'];Yunnan — Xitoyning jan.gʻarbiy qismidagi provinsiya.
political-geographic-object;['kastiliya'];Kastiliya — Pirenei yarim orol markaziy qismidagi qirollik.
political-geographic-object;['kataloniya', 'cataluña'];Kataloniya
political-geographic-object;['aparteid', 'apartheid', 'apartxeyd'];Aparteid, apartxeyd — irqiy kamsitishning eng ashaddiy ko‘rinishi.
