abstract-region;['quadratische funktion'];A quadratische Funktion is in da Mathematik a gonzrationale Funktion zwoatn Grades.
physical-object;['swagger stick'];A Swagger stick oda Offiziassteckal wead vo Offizian ois Symboi vo eanara Autorität trogn.
physical-object;['radl', 'fahrrad', 'foaradl', 'rad'];A Radl oda Rod is a kroasrunda Gegnstand, dea wo si um a Axn draan ko.
physical-object;['glarinettn', 'klarinette', 'klarinettn'];D' Glarinettn ghead zu de tipisch boarischn Musikinschtrumente, de in da boarischn Voiksmusi midspuin.
physical-object;['toupet'];A Toupet is a Hoartei bzw.
physical-object;['fotznhobe', 'fotzhobl', 'mundharmonika'];Da Fotznhobe oda da Fotzhobl oda de Fotzorgl is a Musiginschtrument, des wo midm Mai blosn wead.
physical-object;['speis', 'speisekammer'];A Speis is a klaana Raum, dea wos ois Vuarotskauma fia Speisn und Drangln gnutzt wiad.
physical-object;['mokasin', 'mokassin'];Da Mokasin is a Schuah, dea wo aus woachn Leda gmocht is.
physical-object;['haglstegga', 'haglstäga'];Da Haglstegga, boarisch deitsch Hagelstecken
physical-object;['zeichnkoin', 'zeichenkohle'];A Zeichnkoin bstehd aus vakoide Hoizstabal, bzw.
physical-object;['droadkåstn', 'troadkasten'];A Droadkostn is a hüzana Bau, wiar a Schdodl oda a Schaian, wo fria bai de Bauan s'Droad aiglogat woan is.
physical-object;['klampfen', 'gitarr', 'gitarre', 'gitarrn', 'klampfe', 'klampfm', 'klampfn'];A Klampfen, aa Gitarrn, is a Lautninstrument.
physical-object;['tuam', 'turm', 'türme'];A Tuam
physical-object;['kleaolog', 'glairolog', 'kläranlage'];A Kleaolog oda Kleaaulog is a Olog, de wo as Obwossa reiniga duat.
physical-object;['hoidal', 'reißnagel'];A Hoidal oda Reißnogl
physical-object;['kondom'];A Kondom is a dünna Gummi, den wos ma ban Gschlechtsvakea iwan errigiatn Zipfe stroaft.
physical-object;['haubn'];A Haubn oda Haum is a Gwand fian Schädl.
physical-object;['ruadaleiberl'];A Ruadaleiberl is a Hemad ohne Äamen, ohne Krogn, Toschn oda Knepf.
physical-object;['uah', 'uhr'];A Uah is a Inschtrument, wo de Zeid ozoagn oda a Zeidspann messn duad.
physical-object;['hau', 'haindl', 'hainl'];A Hau, aa Haindl oda Hainl, is a Weakzeig zua Bodnbeorwatung fia Fejd und Goartn.
physical-object;['blusn', 'bluse'];A Blusn is a eha lose sitzads Obagwand, wo heit nua no vo Deandln und Fraun zan Kiddl oda zua Hosn drong wead.
physical-object;['traunsfoamatoa', 'trafo', 'transformator'];A Traunsfoamatoa oda kuaz Trafo bsteht aus zwoa Spuin, de mit an Eisnkean mitaranaund vabundn san.
physical-object;['traunsfoamatoa', 'trafo', 'transformator'];A Traunsfoamatoa oda kuaz Trafo bsteht aus zwoa Spuin, de mit an Eisnkean mitaranaund vabundn san.
physical-object;['totempfoi', 'totempfahl'];A Totempfoi is a monumentale Skujptua, de wo aus an grossn Baamstomm gschnitzt und nacha ogmoit wead.
physical-object;['amulett'];A Amulett is a Gegnstod, dem o magische Kräfte zuagschriem wean.
physical-object;['bulldog', 'bullog', 'schleppa', 'traktor'];A Bulldog, aa Traktor oda Schleppa is a Zugmaschin, de wo am Ofang vom 20.
physical-object;['maibaam', 'maibam', 'maibaum'];A Maibaam is a gschmickta Baam bzw.
physical-object;['degl'];A Degl
physical-object;['budanfassl', 'butterfass'];A Budanfassl is a Behejta, in den da obgschepfde Rahm gem und oschliaßnd zua Budan gstompfd oda gschlong wead.
physical-object;['schofar'];Da Schofar oda s Schofarheandl, jidd.
physical-object;['kiddl', 'kittel', 'kittl'];A Kiddl wor im Boarischn uaspringle a jeds Gwand, des wo iban Hemad und iba da Blusn drogn worn is.
physical-object;['semafor', 'winkeralphabet'];Des Semafor deant zua optischn Nochrichtniwamittlung zwischn Schiffn.
physical-object;['spuizeig', 'spielzeug'];Spuizeig san Sachan, de wo zan Spuin vawendt wean.
physical-object;['zuawaziaga', 'feanroa', 'fernrohr', 'refraktor'];A Zuawaziaga oda Feanroa is a optisches Inschtrument, wo Sochan de wo weit wegga san, vui gressa ausschaugn losst.
physical-object;['hogg', 'hogga', 'hoggn', 'hagge', 'axt', 'hacke', 'åxt'];A Hogg, aa Hogga oda Hoggn, is a oids Weakzeig zan spoitn, zatein und forma vo Hoiz.
physical-object;['traunsfoamatoa', 'trafo', 'transformator'];A Traunsfoamatoa oda kuaz Trafo bsteht aus zwoa Spuin, de mit an Eisnkean mitaranaund vabundn san.
physical-object;['kondensatoa', 'kondensator'];A Kondensatoa
physical-object;['sans', 'sansn', 'sengsn', 'sense'];A Sans is a Werkzeig zum Mahn vo Gras und Droad.
physical-object;['biaschtn', 'bembsl'];A Biaschtn oda a Biaschtl
physical-object;['zuawaziaga', 'reflektor', 'teleskop'];A Zuawaziaga, aa Reflektor oda Teleskop, is a optischs Gerät fia d Astronomie.
physical-object;['musiginschtrument', 'musiinschtrument', 'musikinstrument'];A Musiinschtrument is a Gegnstand mid dem wo ma Musi macha ko.
physical-object;['loft', 'unterdåch', 'dachboden'];Der Pegriff Unterdåch wert in Óst- unt Sidtiról, mit Ausnåhm van Vinschgau, zun Toal aa in Nórdtiról verwéndet.
physical-object;['loft', 'unterdåch', 'dachboden'];A Loft is a Wohnung in an friaan Geweabe- bzw.
physical-object;['janka', 'jacke', 'janker', 'joppe'];Da Janka oder de Joppn is a Obagwand und entspricht da breissischn Jackn.
physical-object;['bumbareddn'];A Bumbareddn is genarej a Hosn fian Intimbereich.
physical-object;['ottoman', 'couch', 'kanapee', 'kautsch', 'sofa'];A Ottoman, a Kanapee, Sofa oda Kautsch gnennt, is a Mebestickl, auf dem se bequem oana hileng oda mearare hisitzn kina.
physical-object;['liacht', 'licht'];S' Liacht is dea Tei vo da elektromagnetischn Strahlung, den a Mensch mim Aug seng ko.
physical-object;['kunstliacht', 'kunstlicht'];Kunstliacht is Liacht, wos duach kinstliche Liachtquejn eazeigd wead, im Gengsoz zum Dogesliacht.
physical-object;['stoffschluß'];A Stoffschluß is in da Technik a Vabindung vo zwoa Teile, de zsammahoidn, wei atomaren oder molekularn Kräft wirkn.
physical-object;['kuglloga'];A Kuglloga is a Variantn vom Wäizloga.
physical-object;['blendn'];De Blendn is a Bauteil vo Objektive.
physical-object;['gwand', 'gewand', 'gwanda', 'gwaund', 'gwånd', 'kleidung'];Gwand oda Gwanda is da Sammebegriff fia olle Stoffe, wo in Keapa vom Menschn eng einhuin und eam ois Schutz und Ausdrucksmiddl deana.
physical-object;['zuawaziaga', 'fernglas', 'binokular', 'feanglasl', 'fäidstecha', 'gucka', 'opanglasln'];Zuawaziaga ois Feanglasl, aa Gucka oda Binokular gnennt, bestengan im Prinzip aus zwoa zammbautn Feanroa, wo ma mit boade Augn gleizeiti duachschaun ko.
physical-object;['wärmepumpn'];A Wärmepumpn pumpt thermische Energie vo am niedrign Temperaturniveau auf a hoachs.
physical-object;['lorgnon'];Des Lorgnon
physical-object;['braka', 'pracker'];A Braka is Weakzaig mid dem ma an Debich sauwa griagt in dem ma in Schdaub und de Müm aussa brakt.
physical-object;['gåbe', 'gåfi'];Des Internetz oda kuaz Netz, aa Internet, is a wejdweits Netzweak aus vui vaschiedanan Rechnanetzweakn, iwa de wo Datn austauscht wean kena.
physical-object;['eadboahra', 'erdbohrer'];A Eadboahra is a Weakzeig, um Eadlecha ausz'hem.
physical-object;['radl', 'foaradl'];A Radl, oda Foaradl, is a aspurigs Foazeig mit zwa Radln, des wos mit Musklkroft betriem wiad.
physical-object;['bschdegg', 'besteck', 'bstegg'];S'Bschdegg is a wichtiga Bestaundtei vu am jedm Essn.
physical-object;['reindl', 'bräter', 'rein'];A Reindl oda Rein is a flochs rechteckads oda runds Kochgschia mit zwoa Hengln.
physical-object;['gwetschn', 'ziach', 'akkordeon', 'diatonische', 'quetschn', 'ziehharmonika'];Vorlage:Infobox Musikinstrument/Wartung/Parameter Klangbeispiel fehltDe Gwetschn oda Ziach gheat zu de tipisch boarischn Musikinschtrumente, de in da boarischn Voiksmusi a wichtige Roin spuin.
physical-object;['westn'];A Westn (dt.
physical-object;['bierzäit', 'biazejt', 'bierzelt', 'biazeit'];A Bierzejt is wos, wo ma si neihocka ko und nachad a Bier vo da Bedienung griagt und wennst mechst, nachad glei a so vui, das di, auf oan Schlog von da Bank obadraht.
physical-object;['zuaweziaga', 'zuawaziaga', 'zuawezaara'];Zuaweziaga oda Zuawezaara san optische Geräte, de wo oam Sachan, de weid weg han, näha herziagn.
physical-object;['ringlspü', 'ringlspüü', 'ringelspiel'];A Ringlspüü, aa Ringlgspüü oda Ringlspui
physical-object;['laser', 'light amplification by stimulated emission of radiation'];LASER is a englische Abkirzung fia Light Amplification by Stimulated Emission of Radiation.
physical-object;['sumpfkoich', 'koichfoarb', 'sumpfkalk'];A Sumpfkoich oda Gruamkoich
physical-object;['woidzither', 'cister', 'waldzither', 'zister', 'zitter', 'cyther', 'hoizzither'];De Woidzither, is a Zupfinstrument aus da Familie vo de Lautn.
physical-object;['nochthemmad', 'nåchthemmad', 'nachthemd', 'nochtgwand', 'nochtpfoadl'];A Nochthemmad oda Nochtgwand is a Gwand, wos noamalaweis zum Schloufa oozajgt.
physical-object;['huad', 'hut'];A Huad is a Gwand fian Schädl mid ana umlaffadn Krempn.
physical-object;['bundeslodn', 'bundeslade'];De Bundeslodn, aa Bundeslade, woa a Truchn, de wos vaum Voik Israel ois Kuitgengstaund gnutzt wuan is.
physical-object;['lok'];A Lok oda aa: Lokomotiv is a Foahzeig, wos af Schina foad und sejm koi Ausfliagla oda Kuffan midnimmd.
physical-object;['busbahnhof'];ABusbahnhof aa Omnibusbahhof, Bushof oda Busterminal, is a greaßare Hoitesteinanlog, de ois - meist zentroia - Vaknüpfungspunkt vo vaschiedane Buslinien deant.
physical-object;['hittn', 'hütte', 'hüttn'];A Hittn is im Untaschied zan Haus a oafochs, kloans Gebaide, des wo untaschiedlichn Zweckn deana ko.
physical-object;['e-gitarren', 'e-gitar'];E-Gitarren stähd fia "elektrische Gitarren", oiso a elektrisch vasteakde Gitarren.
physical-object;['zwicka', 'zwicker'];Da Zwicka is a Brüün ohne Bigl.
physical-object;['pergl', 'pergola', 'weinlaube'];Die Pergl isch in die Sidtiroulr Weinpaugepiate a långs Grischt aus Hólz, dés als Stitz fir dr Weinréb nótwéndig isch, weil die Réb a Klettrpflånz isch unt nét van alloan steahn kånn.
physical-object;['synagogn', 'synagoge'];A Synagogn is a jidischa Vasaumlungs- und Sakralbau fias Bätn, fias Studium vau de heulign Schriftn und fia de Schulung.
physical-object;['wuchtl'];A Wuchtl is da Boi fias Fuaßboispü.
physical-object;['tuba'];De Tuba is a typisch boarisches Instrument.
physical-object;['zindhäizl'];A Zindhejzl, Schdreichhejzl oda aa Schwäfehejzl, isa Hoizschdabal zan Ozindn vo an Feia.
physical-object;['dize'];A Dize, Duzl, Duttl, Lulla oda Zuzl
physical-object;['dexel', 'dechsel', 'dachsbeil', 'querbeil)'];De Dexel oda Dechsel is a Weakzeig zua Hoizbeorbatung.
physical-object;['befestigungswesn'];Im Bfestigungswesn
physical-object;['dresor'];A Dresor is a stabis Behältniss, des d sichan Vawahrung vo Gegenständn, meist vo beträchtlichem Weat oda Sensibilität, dint.
physical-object;['glubbal', 'glubberl', 'wäscheklammer'];A Glubbal, aa Glupperl oda Kluppm is a Klamma zan Weschafhenga.
physical-object;['internet', 'internetz', 'netz', 'intanet'];Des Internetz oda kuaz Netz, aa Internet, is a wejdweits Netzweak aus vui vaschiedanan Rechnanetzweakn, iwa de wo Datn austauscht wean kena.
physical-object;['gschicht vom busnhoida', 'büstenhalter'];Da Busnhoida kuaz BH, is a Untawäsch, de wos de Brust untaschtizn soi.
political-geographic-object;['moaktgmoa', 'markt', 'marktgemeinde', 'marktrecht', 'moaktgemeinde', 'moaktgmeind', 'mårktrecht'];A Moaktgmoa is a Gmoa mit Moaktrecht.
political-geographic-object;['rumänien', 'românia', 'rumenien'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE Rumänien is a Republik in Middleiropa, de 850 km vo da Pannonischen Tiefebene bis zum Schwoazn Meer longt.
political-geographic-object;['jugoslawien', 'ex-jugoslawien', 'juchuslowien'];Jugoslawien is vo 1918/1929 bis 2003/2006 a Stoot in Mittl- und Sidosteuropa in untaschiedlicha territoriala und politischa Form gwesn.
political-geographic-object;['bronx'];De Bronx is da neadlichste vo de fimf Stodbeziake vo da Stod New York.
political-geographic-object;['florenz', 'firenze'];Florenz is de Haptstod vo da Toskana.
political-geographic-object;['kioto', 'kyoto'];Kioto (jap.
political-geographic-object;['lyon', 'leyden'];Lyon [ljɔ̃] is de Haptstod vo da Region Auvergne-Rhône-Alpes und vom Métropole Lyon im Ostn vo Frankreich.
political-geographic-object;['ciudad juárez', 'el paso del norte'];Juárez Stod is a Stod im mexikanischn Bundesstoot Chihuahua.
political-geographic-object;['punta arenas'];Punta Arenas is a Stod im eißastn Sidn vo Chile.
political-geographic-object;['ho-chi-minh-stadt', 'ho-chi-minh-stod', 'saigon'];De Ho-Chi-Minh-Stod (dt.
political-geographic-object;['marseille', 'massilien'];Marseille is de wichtigste franzesische und de drittgresste eiropäische Hofnstod.
political-geographic-object;['nizza', 'nice'];Nizza (franz.: Nice [ˈnis], okzit.
political-geographic-object;['leipzig'];Leipzig is a kroasfreie Stod am Freistoot Sachsn.
political-geographic-object;['niamberg', 'nüanbeag', 'nürnberg'];Niamberg is a Groußstod in Bayern.
political-geographic-object;['los angeles'];Los Angeles is a Stod im Bundesstoot Kalifornien in da USA. Sie liegt am Pazifischem Ozean und am Fluss Los Angeles.
political-geographic-object;['stuggart', 'stuagart', 'stuttgart'];Stuagart is de Haptstod vo Bodn-Wiattmbeag.
political-geographic-object;['breslau', 'wrocław'];Breslau is a kroasfreie Groußstod an da Oder.
political-geographic-object;['genf', 'genève'];Genf is a Stod in da Schweiz und da Haptoat vom Kanton Genf.
political-geographic-object;['sankt petersburg', 'leningrad', 'petersburg', 'petrograd', 'st. petersburg', 'sånkt bedasburg'];Sankt Petersburg (russ.
political-geographic-object;['verona'];Verona is a Oat in Simbabwe.
political-geographic-object;['essen'];Essen is a Groußstod am Zendrum vom Ruhrgebiet und da Metropolregion Rhein-Ruhr.
political-geographic-object;['danzig', 'gdansk', 'gdańsk'];Danzig is oa Hofen- und ehemolige Hansestod in Poin.
political-geographic-object;['wiazburg', 'wiazbuag', 'wirzburg', 'wüazburg', 'würzburg'];Wiazburg is a kroasfreie Stod im boarischn Untafrankn mit Sitz vo da Regiarung vo Untafrankn.
political-geographic-object;['köln'];Köln is eihwohnamasse de viatgreßte und noch da Fläch de drittgresste Groußstod in Deitschland und d greßte Stod z Nordrhein-Westfalen.
political-geographic-object;['noadkorea', 'nordkorea', 'demokratische volksrepublik korea'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE Noadkorea, Nordkorea is a Stoot in Ostasien.
political-geographic-object;['norwegn', 'kongeriket noreg', 'kongeriket norge', 'noreg', 'norge', 'norwegen', 'norweng'];Norwegn is a Land in Skandinavien, im Noadn vo Eiropa.
political-geographic-object;['holland', 'hollãnd', 'nederland', 'niedalande', 'niedalånde', 'niederlande', 'niederlanden'];Vorlage:Infobox Staat/Wartung/NAME Holland is a parlamentarische Monarchie und a Tei vom Kinireich vo Niedaland im neadlichn Westeiropa.
political-geographic-object;['japan', 'jápan', 'nippon'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE Japan
political-geographic-object;['japan', 'jápan', 'nippon'];Midn Begriff Bluescreen-Technik moant ma a Technik, de wo de Amis afundn hom, womid ma reale Figuan in an Computer eiscanna ko und dees nacha, ganz wia ma moant, in an ondan Hintagrund einiblotzian kann.
political-geographic-object;['monaco'];As Fiaschtndum Monaco is a Stodstoot in Westeiropa.
political-geographic-object;['malaysia'];Malaysia is a Land in Siadostasien und bestehd aus zwoa duachs Siadkinäsische Meer drennde Landesteile, da malaiischn Hoibinsl am Westn und Teile vo da Insl Borneo am Ostn.
political-geographic-object;['namibia', 'namibien', 'republik namibia'];Vorlage:Infobox Staat/Wartung/NAME Namibia is a Stoot im sidlichn Afrika zwischn Angola, Sambia, Botswana, Sidafrika Da Nam vom Stoot loat se vo da Wiastn Namib ob, de'n gsomtn Gstodraum vom Lond eihnimmt.
political-geographic-object;['antigua und barbuda'];Antigua und Barbuda is a Staat im Commonwealth, der wo aus de Insln Antigua und aus Barbuda buid wiad.
political-geographic-object;['belize'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE Belize [beˈliːz] is a Stoot in Zendralamerika.
political-geographic-object;['equatorialguinea', 'äquatorialguinea'];Equatorialguinea is a Land in Subsahara-Afrika.
political-geographic-object;['st. kitts und nevis'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE St.
political-geographic-object;['dominica'];Dominica is a Inslstood a de gloan Antilln a da estlichn Karibik.
political-geographic-object;['st. lucia', 'saint lucia', 'santa lucia'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE St.
political-geographic-object;['vawoitungseihheit'];Ois Vawoitungseihheitn wean Gebiete betrochdd, de se aus da Afteiung vo om Stootsgebiet in Zuaständigkeitsbereiche eagem.
political-geographic-object;['england', 'englas', 'englaund', 'englond', 'englãnd', 'englånd'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE England is da gressde und da om dichtesdn bsiedlde Landestei van Vaoanigtn Kinireich.
political-geographic-object;['noadirland', 'nordirland', 'northern ireland', 'tuaisceart'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE Noadirland
political-geographic-object;['acapulco de juárez', 'acapulco'];Acapulco de Juárez is a Stod im mexikanischn Bundesstoot Guerrero.
political-geographic-object;['schweiz', 'ch', 'schweizerische eidgenossenschaft', 'suisse'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-FLAGGE-BREITEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE De Schweiz oda amtle: Schweizerische Eidgenossenschaft is a eiropäischer Binnenstaat zwischn Deitschlaund, Estareich, Italien und Fraunkreich.
political-geographic-object;['vaeinigte arabische emirate', 'vaoanigte arabische emirate', 'vae', 'vereinigte arabische emirate'];Vorlage:Infobox Staat/Wartung/TRANSKRIPTIONVorlage:Infobox Staat/Wartung/NAME-DEUTSCHVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE De Vaoanigtn Arabischn Emirate, hand a Födarazion vo siem Emirate im Sidostn vo da Arabischn Hoibinsl in Sidwestasien.
political-geographic-object;['sowjetunion', 'udssr', 'cccp', 'sowjetrussland', 'union der sozialistischen sowjetrepubliken'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE De Sowjetunion woa a zentralistisch regiada, födarativa Aaparteinstoot in Osteiropa, im Kaukasus sowia Nord- und Zentralasien.
political-geographic-object;['weimar', 'kroasfreie stod weimar'];Weimar is a kroasfreie Stod in Thüringen in Deitschland, de wo vor oim fia ia kuiturejs Eabe bekannt is.
political-geographic-object;['frankfurt am main', 'frankfurt', 'frånkfurt am main'];Frankfurt am Main is de gresste Stod vo Hessn.
political-geographic-object;['luxmburg', 'luxnbuag', 'großherzogtum luxemburg', 'luxemburg'];Luxnbuag is a Groußheazogtum und Midglid vo da Eiropäischn Union.
political-geographic-object;['marokko'];Marokko is a Stoot im Noadwestn vo Afrika und is duach de Stroßn vo Gibraltar vo Eiropa trennt.
political-geographic-object;['vaeinigts kinireich', 'vaoanigts kinireich vo großbritannien und noadirland', 'vaoanigts kinireich', 'vaeinigte kinireich', 'vereinigtes königreich', 'gb', 'groußbritannien', 'großbritannien', 'uk', 'united kingdom', 'united kingdom of great britain and northern ireland', 'vaeinigts kinereich', 'vaeinigts kinireich großbritannien und nordirlånd', 'vaeinigts kinireich vo großbritannien und nordirlånd', 'vareinigts kinireich vó großbritannien und nordirland', 'vereinigtes königreich von großbritannien und irland', 'vereinigtn königreich vo grossbritannien und nordirland'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE As Vaoanigte Kinireich oda Vereinigtes Königreich
political-geographic-object;['spanien', 'españa', 'kinigreich spanien', 'reino de españa', 'schbanien', 'schpanien'];Spanien is a Stoot im Sidwestn vo Eiropa af da Iberischn Hoibinsl.
political-geographic-object;['saudi arabien', 'saudi-arabien'];Saudi-Arabien is a Laund in Asien af da arabischn Hoibinsel.
political-geographic-object;['tschad'];Vorlage:Infobox Staat/Wartung/TRANSKRIPTIONVorlage:Infobox Staat/Wartung/NAME-DEUTSCH Tschad is a Stoot in Zentralafrika, weicha an Libyen, Sudan, Zentralafrikanische Republik, Kamerun, Niger und Nigeria grenzt.
political-geographic-object;['tadschikistan'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE Tadschikistan is a Binnenstoot in Zentralasien.
political-geographic-object;['weißrussland', 'weißrusslaund', 'weißrusslånd', 'беларусь'];Weißrussland
political-geographic-object;['simbabwe', 'zimbabwe'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE Simbabwe is a Stoot im sidlichn Afrika.
political-geographic-object;['aserbaidschan'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE Aserbaidschan is a Binnenstod in Vorderasien, wo zwischn am Kaspischn Meea und am Kaukasus ligt.
political-geographic-object;['kirgisistan', 'kiagisien', 'kirgisien', 'kirgistan'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE Kirgisistan is a Stoot in Asien und grenzt an Kasachstan, Voiksrepublik China, Tadschikistan, Usbekistan.
political-geographic-object;['usbekistan'];Usbekistan (usbek.: Oʻzbekiston bzw.
political-geographic-object;['mali'];Vorlage:Infobox Staat/Wartung/NAME-DEUTSCH Mali is a Binnenland in Westafrika.
political-geographic-object;['kasachstan', 'qasaqstan', 'qazaqstan', 'republik kasachstan'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE Kasachstan is a Staad in Zentralasien und – wenn ma an Fluss Ural ais Grenz zwischn Eiroba und Asien betracht – zu a gloanan Deil im eisersten Osteuroba.
political-geographic-object;['mongolei'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE De Mongolei, mongolisch: Монгол Улс/Mongol Uls. /mongɣol ulus, amtli: Mongolischa Stoot, zwischn Zentroi-, Noad- und Ostasien gleng, is glei noch Kasachstan da vo da Flächn her gseng da zwoatgresste Binnenstoot af da Wejd.
political-geographic-object;['new jersey'];New Jersey (engl.
political-geographic-object;['illinois'];Illinois is a US-amerikanischa Bundesstoot.
political-geographic-object;['minnesota', 'minn.'];Minnesota is da 32.
political-geographic-object;['missouri'];Missouri is a Bundesstoot vo da USA. Ea liegt im Mittlan Westn.
political-geographic-object;['michigan'];Michigan is a Bundesstoot vo da USA. Michigan liegt an de Groußn Seen und wead dahea aa „Great Lakes State“ gnennt.
political-geographic-object;['nebraska'];Nebraska is a Bundesstoot im Mittlan Westn vo da USA. Da Nama kimmt vo de Indiana, de wo do amoi glebt hom und hoasst „flochs Wossa“.
political-geographic-object;['belgien', 'bäigien', 'bejgien', 'kinigreich bejgien', 'kinigreich bäigien'];Bejgien, offiziäi Kinigreich Bejgien is a fedaral organisirschte parlamentarische Monarchie in Westeiropa, houd uma 10,5 Millionan Einwohna und is 30.528 km² gross und is a Mitglied vo da Eiropäischn Union.
political-geographic-object;['pakistan', 'islamische republik pakistan'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE Pakistan is a Stoot in Sidasien.
political-geographic-object;['bangladesch', 'ostpakistan'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE Bangladesch is a Stoot in Sidasien.
political-geographic-object;['afghanistan'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE Afghanistan, offiziell Islamische Republik Afghanistan, is a Binnenstood in Siadasien a da Schnittstei vo Siad- zu Zendralasien, dea wos an Iran, Turkmenistan, Usbekistan, Tadschikistan, Kina und Pakistan grenzt.
political-geographic-object;['östareich', 'estareich', 'estarreich', 'esterraich', 'esterreich', 'estreich', 'äsdareich', 'ästareich', 'ésdaraich', 'östarreich', 'österreich'];Östareich oda Estareich, aumtlich Österreich, is a demokratischa Bundesstoot in Middleiropa.
political-geographic-object;['laos', 'demokratische volksrepublik laos'];Laos is a Stoot in Sidostasien und grenzt an Kina, Vietnam, Kambodscha, Thailand und Myanmar.
political-geographic-object;['myanmar'];Myanmar, amtle Pyidaungsu Thamada Myanmar Naing-Ngan-Daw, a kuaz Myanma Naingngan odara Birma oda Burma, is a Land in Siadostasien wos an Thailand, Laos, d Voiksrepublik China, Indien, Bangladesch und an Goif vo Bengalen grenzt.
political-geographic-object;['kambodscha', 'königreich kambodscha'];As Kenigreich Kambodscha is a Stoot in Sidoschtasien.
political-geographic-object;['australien'];Vorlage:Infobox Staat/Wartung/NAME Australien is da gresste Stoot vom australischn Kontinent.
political-geographic-object;['connecticut'];Connecticut is a Bundesstoot in da USA. De Haptstod is Hartford und de gresste Stod Bridgeport.
political-geographic-object;['bundesland tirol', 'bundeslånd tirol', 'bundeslånd tiaroi', 'tirol', 'bundeslãnd tiaroi', 'tiroi'];S Bundeslond Tirol odr middlboarisch: Diaroi odr Tiroi ghert z' Eschtareich und bildt'n eschtareichischn Toal vun dr hischtorisch gwoggsanen Region Tirol, di aus di Toale Nord-, Sid-, und Oschttiroul sowia aus'm Trentino besteat.
political-geographic-object;['cancún'];Cancún is a Stod im mexikanischn Bundesstoot Quintana Roo am Gstod vo da Hoibinsl Yucatán.
political-geographic-object;['sichuan'];Sichuan
political-geographic-object;['hannova', 'hannover'];Hannover is de Haptstod vom Land Niedersachsen.
political-geographic-object;['bordeaux'];Bordeaux is des politische, wirtschaftliche und geistige Zentrum vom Sidwestn vo Frankreich.
political-geographic-object;['antofagasta'];Antofagasta is a Stod am Noadn vom sidamerikanischn Andn-Land Chile.
political-geographic-object;['trondheim'];Trondheim?/i is de drittgreßte Stod in Norwegn.
political-geographic-object;['gotnburg', 'göteborg'];Gotnburg, amtli: Göteborg is a Stod in da schwedischn Provinz Västra Götalands Län und dena historischn Provinzn Västergötland und Bohuslän.
political-geographic-object;['macao'];Macao is a ehemoiige portugiesische Kolonie, de wôs in da Näh vo Hongkong is.
political-geographic-object;['bhutan'];Bhutan is a asiatischs Kinigreich im Himalaja, des zwischn Kina und Indien liegd.
political-geographic-object;['british columbia'];British Columbia is a kanadische Provinz a da Küstn vom Pazifischn Ozean.
political-geographic-object;['toskana', 'toscana', 'tuskien'];De Toskana, boarisch Tuskien, is a Region in Middl-Italien.
political-geographic-object;['trentino-sidtiroul', 'treant-sidtirol', 'trentino-alto adige', 'trentino-südtirol'];Trentino-Sidtiroul isch die nerdlichschte Region va Italien.
political-geographic-object;['venezien', 'venetien', 'veneto'];Venezien oda aa da Veneto is a Region in Italien.
