activity;['raga', 'kiwiki', 'rugby', 'raga soka', 'rugger'];Raga (ing.
locative-role;['chicago', 'chichago', 'chicago, illinois', 'windy city'];Chicago ni mji mkubwa wa jimbo la Illinois na pia mji mkubwa wa tatu nchini Marekani, bada tu ya New York na Los Angeles.
locative-role;['minneapolis', 'minneapolis, minnesota', 'mpls'];Minneapolis ni mji wa Marekani katika jimbo la Minnesota.
locative-role;['memphis, tennessee', 'memphis'];Memphis ni mji wa Marekani katika jimbo la Tennessee.
locative-role;['kituo cha metorolojia', 'vituo vya metorolojia', 'kituo cha hali ya hewa', 'hali ya hewa kituo cha', 'vituo vya hali ya hewa', 'za hali ya hewa ya uchunguzi post'];Kituo cha metorolojia ni mahali ambako hali ya hewa inachunguliwa kwa njia ya upimaji wa mfululizo na kutunza vipimo hivyo kwa muda mrefu.
locative-role;['welisi', 'cambria', 'cymru', 'wales'];Welisi (Kiing.: Wales. (Kiwelisi: Cymru ( matamshi ?)) ni nchi ya Ulaya kwenye kisiwa cha Britania na sehemu ya Ufalme wa Muungano.
locative-role;['patagonia'];Patagonia ni sehemu ya kusini kabisa ya bara la Amerika ya Kusini yenye umbo la pembetatu ndefu.
locative-role;['ionia'];Ionia ilikuwa eneo la kihistoria katika magharibi ya Asia Ndogo zamani za Ugiriki ya Kale.
locative-role;['nusutropiki', 'subtropics', 'hali ya hewa subtropical', 'nusu-tropiki', 'semitropical', 'semitropics', 'subtropic', 'subtropical', 'ya kitropiki'];Nusutropiki ni sehemu za dunia upande wa kusini na kaskazini ya kanda la tropiki.
locative-role;['samarkand', 'samarcand'];Samarkand ni mji maarufu wa kihistoria katika Asia ya Kati.
locative-role;['shirikisho la madola ya marekani', 'shirikisho la madola ya amerika', 'afrika', 'dixieland', 'makundi nchi', 'makundi wa marekani'];Kifupi chake cha Kimarekani mara nyingi ni CSA kwa Confederate States of America Shirikisho la Madola ya Marekani
locative-role;['rotterdam'];Rotterdam ni mji wa mkoa wa Zuid-Holland nchini Uholanzi.
locative-role;['mashariki ya kati', 'middle east', 'mashariki ya karibu', 'mideast'];Mashariki ya Kati ni namna ya kutaja sehemu kubwa ya Asia ya Magharibi pamoja na Afrika ya kaskazini-mashariki, hasa Misri.
locative-role;['münchen', 'munich', 'munchen', 'muenchen'];München au kufuatana na uzoefu wa lugha ya Kiingereza Munich ni mji mkubwa wa tatu nchini Ujerumani baada ya Berlin na Hamburg
locative-role;['lanzhou', 'lanchou', 'lanchow'];Lanzhou ni mji wa China.
locative-role;['milano', 'milan'];Milano ni mji mkubwa wa Italia ya kaskazini mwenye wakazi milioni 1.3.
locative-role;['palermo'];Palermo ni mji wa Italia katika mkoa wa Sisilia.
locative-role;['naha, okinawa', 'naha', 'naha city'];Naha ndiyo mji mkuu katika mkoa wa Okinawa.
locative-role;['valparaiso'];Valparaíso ni jina la mji mkuu wa mkoa wa Valparaíso katika Chile.
locative-role;['yellowstone national park'];Hifadhi ya Taifa ya Yellowstone ni mbuga ya kitaifa nchini Marekani.
locative-role;['rio de janeiro', 'rio', 'rio de janeiro brazil', 'rio de janeiro janeiro', 'rio de janerio', 'río de janeiro', 'são sebastião kufanya rio de janeiro'];Rio de Janeiro ni jiji kubwa la pili nchini Brazil baada ya São Paulo.
locative-role;['mesopotamia'];Mesopotamia ni jina la kihistoria kwa nchi ya Irak.
locative-role;['tel aviv', 'tel aviv-yalo', 'tel aviv-yopa'];Tel Aviv-Yafa ni mji mkubwa wa pili nchini Israel, wenye wakazi 380,000.
locative-role;['istanbul', 'i̇stanbul', 'jimbo la i̇stanbul', 'miklagard', 'stamboul', 'stambul'];Istanbul ni mji mkubwa zaidi katika nchi ya Uturuki, ukiwa na wakazi wanaokadiriwa kuwa kati ya milioni 11 na 15, ambao wanaufanya kuwa miongoni mwa miji mikubwa ya dunia.
locative-role;['detroit, michigan', 'detroit', 'motor city', 'motown', 'sauti motown'];Detroit ni mji wa Marekani katika jimbo la Michigan.
locative-role;['st. louis, missouri', 'st. louis', 'st louis', 'gateway ya magharibi'];St.
locative-role;['new york', 'new york city', 'nyc', 'new york, new york', 'new york city, new york', 'greater new york', 'mji wa new york'];New York ni jiji kubwa kabisa Marekani na kati ya miji mikubwa duniani.
locative-role;['karachi'];Karachi ni mji mkubwa wa Pakistan na mji mkuu wa jimbo la Sindh.
locative-role;['philadelphia, pennsylvania', 'philadelphia', 'mji wa upendo wa kindugu'];Philadelphia ni mji wa Marekani katika jimbo la Pennsylvania.
locative-role;['douala'];Douala ni mji mkubwa wa Kamerun ukiwa na wakazi 2,678,400.
locative-role;['guayaquil', 'santiago de guayaquil'];Guayaquil ni mji katika Ekuador.
locative-role;['omdurman'];Omdurman ni mji mkubwa kabisa nchini Sudan kando la mto Nile ikitazama mji mkuu Khartoum.
locative-role;['korintho', 'korinthos'];Korintho ni mji wa Ugiriki wa Kusini.
locative-role;['ulaya ya kaskazini', 'ulaya ya kazkazini', 'kaskazini mwa ulaya'];Ulaya ya Kaskazini ni sehemu ya kaskazini ya bara la Ulaya.
locative-role;['tropiki', 'kitropiki', 'nchi za tropiki', 'nchi za hari', 'eneo la torrid', 'kanda ya kitropiki', 'kitropiki ukanda', 'ukanda kitropiki'];Tropiki ni ukanda wa dunia uliopo pande zote mbili za ikweta kati ya latitudo za 23.5° za kaskazini na za kusini.
locative-role;['amerika ya kilatini', 'amerika ya kusini'];Amerika ya Kilatini ni jina la kutaja sehemu kubwa ya Amerika.
locative-role;["l'aquila", 'akula degli abruzzi'];L'Aquila ni makao makuu ya mkoa wa Abruzzo, Italia Kusini.
locative-role;['venezia', 'venice', 'venesia', 'venisi', 'sestiere'];Venezia ni mji wa Italia na makao makuu ya mkoa wa Veneto, kaskazini-mashariki mwa nchi.
locative-role;['kusini kwa sahara', 'afrika kusini mwa sahara', 'black afrika'];Kusini kwa Sahara ni eneo lote la bara la Afrika ambalo liko upande wa kusini wa Jangwa la Sahara.
locative-role;['aktiki', 'akitiki', 'amerika ya frigid eneo la', 'arctic eneo la', 'arktis'];Aktiki ni sehemu ya kaskazini kabisa ya dunia yetu, ikijumlisha nchi na bahari inayozunguka ncha ya kaskazini.
locative-role;['cape town', 'cape town, afrika ya kusini'];Cape Town ni mji mkubwa wa tatu wa Afrika Kusini na mmoja kati ya miji mikuu mitatu ya nchi ikiwa ni makao ya Bunge.
locative-role;['ukulu mtakatifu', 'vatikani', 'kiti cha kitume', 'holy see', 'jimbo la vatican city', 'kitakatifu'];Ukulu mtakatifu au Ukulu wa Kitume kwa maana asili ni kiti maalumu alichowekewa Papa katika Kanisa kuu la Roma, ambacho ni ishara ya mamlaka ya kiaskofu ambayo Wakatoliki wanasadiki anayo ya kufundisha, kutakasa na kuongoza Taifa la Mungu kokote duniani.
locative-role;['chanzo', 'headwater', 'headwaters', 'mto chanzo'];Chanzo cha mto ni mahali ambako mto huu unaanza.
locative-role;['makazi', 'makazi madogo', 'makazi ya wanyamapori', 'mazingira ya wanyama pori', 'nyumbani ardhi'];Makazi kwa maana ya elimu ya ekolojia ni eneo au mazingira ambayo ni makao ya mnyama au mmea fulani au aina nyingine ya viumbe hai.
locative-role;['sahara', 'jangwa la sahara', 'sahara desert'];Sahara ni jangwa kubwa kaskazini mwa Afrika.
locative-role;['studio ya kurekodia', 'kurekodi studio', 'studio kurekodi', 'studio ya kurekodi', 'studio ya redio'];Studio ya kurekodia ni mahali palipoandaliwa kwa kurekodi sauti hasa muziki.
mental-object;['akili ya binadamu', 'mind', 'akili', 'kichwa chake', 'maudhui ya akili', 'nous', 'psyche'];Akili ya binadamu ni kipawa kinachowezesha kufikiri, kuelewa, kuwasiliana, kujifunza, kupanga na kutatua matatizo.
mental-object;['ujuzi', 'knowledge', 'maarifa', 'utambuzi', 'noesis', 'cognitions', 'kazi ya utambuzi', 'michakato ya utambuzi', 'usindikaji utambuzi', 'uwezo utambuzi', 'uwezo wa utambuzi'];Ujuzi maana yake ni kufahamu, kujua na kuelewa hali, habari na maelezo yanayohusu mazingira tunapoishi.
method;['serikali ya kibunge', 'demokrasia ya bunge', 'bunge', 'kupambana parliamentarism', 'mfumo wa bunge', 'parliamentarianism', 'parliamentarism', 'ubunge demokrasia'];Serikali ya kibunge ni muundo wa siasa ambako serikali inategemea bunge.
method;['udikteta', 'imla', 'caesarism', 'shogunate', 'stalinism', 'ubabe', 'dhuluma', 'dikteta', 'jefule', 'jeuri', 'kiimla', 'kimabavu', 'madikteta', 'monocracy', 'mtu mmoja ya utawala', 'serikali stalinist', 'stalinists', 'totalitarianism', 'totalitarism', 'tyrannical', 'utawala wa kiimla', 'zama stalinist'];Udikteta ni mfumo wa utawala wa nchi ambapo mtu mmoja asiyebanwa na sheria wala katiba anashika madaraka ya serikali na ana uwezo wa kuyatumia jinsi anavyoamua mwenyewe.
method;['demokrasia', 'demokrasia ya kidunia', 'harakati demokrasia', 'jamhuri', 'kidemokrasia', 'mchakato wa kidemokrasia', 'serikali ya kidemokrasia'];Demokrasia ni aina ya serikali.
method;['ufalme', 'kifalme', 'monarchic', 'monarchical', 'monarchies', 'regnant'];Ufalme ni mfumo wa utawala ambapo mfalme, malkia au mtu mwingine aliyerithi cheo chake ni mkuu wa dola.
non-agentive-physical-object;['kisima', 'alizaa-shimo', 'kuchimba shimo', 'visima'];Kisima ni jina la ujumla kwa shimo lolote ndefu nyembamba lililochimbwa katika ardhi, aidha kwenda chini au sambamba.
non-agentive-physical-object;['suruali', 'jozi ya suruali', 'trouser'];Suruali ni vazi linaloshonwa na linalovaliwa kutoka kiunoni hadi miguuni chini na lenye nafasi mbili zinazotenganishwa kupenyezea miguu.
non-agentive-physical-object;['mkanda', 'ukanda'];Mkanda ni vazi ambayo hutumika kiunoni kwa ajili ya kushikilia nguo, hasa suruali.
non-agentive-physical-object;['mfereji wa panama', 'panama canal'];Mfereji wa Panama ni njia ya maji nchini Panama kati ya Bahari ya Pasifiki na Bahari ya Atlantiki.
non-agentive-physical-object;['bizimu', 'pete', 'pete kidole'];Bizimu ni mapambo yanayofungwa na watu hasa wanawake kwenye nguo kwa sindano.
non-agentive-physical-object;['chura', 'vyura', 'anura', 'anuran', 'anurans', 'batrachian', 'chua', 'chua chura', 'frogspawn', 'salientian'];Kwa nyota angalia hapa Chura Vyura ni wanyama wa ngeli Amphibia wanaoanza maisha yao ndani ya maji na baada ya kupita metamofosi wanaendelea kuishi kwenye nchi kavu, isipokuwa vyura-kucha ambao huishi majini maisha yao yote.
non-agentive-physical-object;['uzi', 'kuhesabu thread'];Uzi ni ugwe mwembamba ambao unatokana na pamba, mkonge, sufi, hariri n.k.
non-agentive-physical-object;['bilula', 'fauseti', 'tapu', 'tapu ya maji', 'bomba', 'faucets', 'maji bomba', 'maji ya bomba'];Bilula
non-agentive-physical-object;['chelezo', 'raft', 'rafts'];Chelezo ni chombo sahili cha usafiri kwenye maji.
non-agentive-physical-object;['kuruka kamba', 'kamba kuruka', 'ruka kamba'];Kuruka kamba ni mchezo asilia wa watoto hasa.
non-agentive-physical-object;['kasula', 'chasuble'];Kasula ni vazi la nje la Askofu na la kasisi katika adhimisho la Ekaristi.
non-agentive-physical-object;['champs-élysées', 'champs elysees'];Champs-Élysées is a prestigious avenue in Paris, Ufaransa.
non-agentive-physical-object;['mzinga wa nyuki', 'mizinga', 'mzinga', 'nyuki mzinga'];Mzinga wa nyuki ni mahali au nafasi ambako kundi la nyuki inakaa pamoja na sega.
non-agentive-physical-object;['gauni', 'rinda', 'mavazi', 'frock'];Gauni ni vazi kutoka nje linalovaliwa kutoka magotini hadi miguuni limekuwa likivaliwa na wanaume kwa wanawake katika nchi zaUlaya kutoka Zama za mwanzo za karne ya kumi na saba . baadaye, gauni ilikuwa inatumika kama vazi la mwanamke yeyote inayoonekana kama muunganiko wa nguo ya juu na sketi.
non-agentive-physical-object;['njia ya reli', 'njia za reli', 'tracks reli', 'kufuatilia', 'kufuatilia treni', 'matengenezo ya njia', 'njia ya kudumu'];Njia ya reli ni barabara maalumu iliyojengwa kwa ajili ya matumizi ya treni.
non-agentive-physical-object;['choo', 'vyoo', 'crapper', 'potty', 'sufuria', 'sufuria chumba'];Choo ni mahali ambako watu hutoa kinyesi, yaani mkojo na mavi.
non-agentive-physical-object;['kapele', 'yarmulke', 'kippa', 'kippah', 'kippot', 'yarmelke', 'yarmulka'];Kapele ni jina la kata ya Wilaya ya Momba katika Mkoa wa Songwe, Tanzania.
non-agentive-physical-object;['broadway', 'great white njia'];Broadway ni jina la barabara katika miji mbalimbali hasa nchini Marekani.
non-agentive-physical-object;['kiko', 'bomba sigara', 'bomba tumbaku', 'piptobak'];Kiko ni chombo kinachomwezesha mtu kuvuta moshi wa tumbaku, bangi au bidhaa nyingine za uraibu zinazovutwa kama sigara.
non-agentive-physical-object;['mapambo ya vito', 'jewellery', 'kujitia', 'jewelers'];Mapambo ya vito ni vitu vya nakshi ambavyo huvaliwa katika mwili au hata katika nguo alizovaa mtu.
non-agentive-physical-object;['kisafishi ombwe', 'cleaners utupu', 'kifyonza'];Kisafishi ombwe ni kifaa kinachofagia na kusafisha sakafu, mikeka na kuta kwa kutumia teknolojia ya kwamba mata hairuhusu pahala pawe ombwe.
non-agentive-physical-object;['barabara', 'njia', 'causeways', 'ujenzi wa barabara'];Barabara ni njia iliyotengenezwa ili kupitisha binadamu akitumia vyombo vya usafiri kama vile magari, pikipiki, baiskeli pamoja na farasi.
non-agentive-physical-object;['koti', 'kanzu'];Koti fasheni
non-agentive-physical-object;['mitindo', 'fashion', 'mtindo', 'fashions', 'sekta ya mtindo'];Mitindo ni njia ya mtu, kundi au jamii kufanya au kuwasilisha jambo kwa namna maalumu.
non-agentive-physical-object;['mavazi', 'vazi', 'habiliment', 'makala ya nguo', 'sekta ya nguo', 'wearable', 'womenswear'];Mavazi ni nguo ambazo huvaliwa na watu ili kufunika mwili au sehemu zake.
non-agentive-physical-object;['hereni', 'ukono', 'earring', 'pete'];Hereni ni mapambo yanayovaliwa masikioni.
non-agentive-physical-object;['mfereji', 'mifereji'];Mfereji ni njia ya maji iliyotengenezwa na watu tofauti na njia asilia za maji kama mito au maziwa.
non-agentive-physical-object;['chupi', 'hatua katika', 'nyimivu', 'pantie', 'panties', 'panty'];Chupi ni nguo/vazi dogo ambalo huvaliwa ndani kwa ajili ya kukinga viungo vya uzazi vya wanawake na wanaume.
non-agentive-physical-object;['dadu', 'kete', 'dice', 'kete kubeba', 'kete polihedra', 'kufa'];Dadu ni kidude ambacho kwa kawaida kina umbo la mchemraba lakini kuna aina nyingine pia.
non-agentive-physical-object;['pambo', 'nakshi', 'kugeuka', 'nakishi'];Nakshi ni kitu chochote kinachotumika kuongeza mvuto wa uzuri wa kitu fulani.
non-agentive-physical-object;['kasiba', 'bunduki pipa', 'pipa', 'pipa bunduki'];Kasiba ni sehemu ya silaha ya moto kama bunduki, bastola au mzinga.
non-agentive-physical-object;['sidiria', 'sindiria', 'bandeau', 'kanchiri', 'bra', 'brassieres'];Sidiria ni vazi la wasichana na akina mama ambalo huvaliwa kusetiri na kushikilia matiti.
non-physical-collection;['data', 'data ya kisayansi', 'takwimu'];Data inamaanisha makundi ya habari ambayo inawakilisha sifa qualitative au quantitative za variable au seti ya variables.
non-physical-collection;['uhindu', 'mabanyani', 'mhindu', 'ubaniani', 'ubanyani', 'wahindu', 'sanatana dharma', 'utamaduni hindu'];Uhindu ni dini kubwa yenye asili katika Bara Hindi.
non-physical-collection;['kasumba', 'stereotype', 'pogofu', 'stereotype kijamii', 'stereotypical', 'stereotypically', 'zilizozoeleka'];Kasumba ni wazo au fikra/imani ya watu wengine kuhusu kitu au kundi la watu fulani ya kwamba wanatabia fulani hasa kwa kumwonekano wao wa nje, ambapo kiasi fulani inaweza kuwa kweli au sio kweli.
non-physical-collection;['ufeministi', 'harakati ya ukombozi wa wanawake', 'kifeministi', 'harakati', 'ukombozi wa wanawake'];Ufeministi ni jina linalojumlisha aina nyingi za misimamo, itikadi na matapo tofautitofauti yanayochanga lengo kuu la kutetea haki za wanawake dhidi ya ubaguzi wa jinsia uliotawala dunia kwa muda mrefu sana upande wa siasa, uchumi, utamaduni, dini na jamii kwa jumla.
non-physical-collection;['yoga', 'yogic'];Yoga ni mazoezi ya kiroho na kimwili yenye asili katika falsafa ya Uhindi.
non-physical-collection;['unajimu', 'falaki', 'astrolojia', 'utabiri wa nyota', 'astrology', 'astrology mundane', 'nyota uganga', 'wachawi'];Unajimu ni mafundisho yasiyo ya kisayansi juu ya uhusiano kati ya nyota na maisha hapa duniani.
non-physical-collection;['dini', 'imani', 'muumini', 'imani ya dini', 'imani za kidini', 'mapokeo ya kidini'];Imani kwa Kiswahili ni neno lenye maana mbalimbali
non-physical-collection;['dini', 'imani', 'muumini', 'imani ya dini', 'imani za kidini', 'mapokeo ya kidini'];Dini inamaanisha jumla ya imani ya binadamu kadhaa pamoja na mafundisho wanayotoa kuhusu yale ambayo wanayazingatia ama kuyasadiki, yaani mambo ya roho, kama vile kuhusiana na Mungu, maisha na uumbaji.
non-physical-collection;['mtindo wa kiroma', 'romanesque', 'romanesque usanifu', 'style romanesque', 'usanifu romanesque'];Mtindo wa Kiroma katika usanifu majengo ni mtindo sahili wa Karne za Kati ulioenea kote Ulaya.
non-physical-collection;['mtindo wa kigothi', 'gotiki', 'cathedrals gothic', 'gothic', 'gothic usanifu', 'mtindo gothic', 'usanifu gothic'];Mtindo wa Kigothi katika usanifu majengo wa Ulaya ni mtindo ulioanza katika karne ya 12 na kutumiwa hadi mnamo 1500.
non-physical-collection;['waadventista wasabato', 'waadventista waadventista'];Waadventista Wasabato ni Wakristo Waadventisti wa madhehebu yanayosisitiza ujio wa pili wa Yesu yakisema uko jirani kutokea na kwamba utawahi wafuasi wake wakishika Sabato, si Jumapili.
non-physical-collection;['ushirikina', 'kishirikina', 'kishirikina wazo'];Ushirikina ni wazo ambalo halina sababu yenye msingi katika maarifa au mang'amuzi.
non-physical-collection;['waadventisti', 'waadventista', 'pili waadventista', 'wasabato'];Waadventisti ni Wakristo wa madhehebu mbalimbali yanayosisitiza ujio wa pili wa Yesu yakisema uko jirani kutokea.
non-physical-collection;['upagani', 'heathenism', 'kipagani dini', 'wasiomjua'];Upagani ni jina la kutaja imani za kidini amabazo ama zinaabudu miungu mingi au ni dini za jadi.
non-physical-collection;['umoja wa mungu', 'monotheism', 'dini monotheistic', 'monotheistic'];Umoja wa Mungu ni hoja iliyotetewa na falsafa na imani ya dini mbalimbali, ya kwamba kuna Mungu mmoja tu, ambaye ni mkuu kabisa kuliko vitu vyote na ni nafsi
non-physical-collection;['ushirikina', 'dini ya miungu mingi', 'upolitheisti', 'polytheism', 'washirikina', 'mushrik'];Dini ya miungu mingi
non-physical-collection;['waanabaptisti', 'wamenno', 'anabaptism', 'anabaptist'];Waanabaptisti ni Wakristo ambao hasa kuanzia karne ya 16 walikataa ubatizo jinsi ulivyotolewa na Kanisa Katoliki na madhehebu mbalimbali ya Uprotestanti.
non-physical-collection;['ujain', 'ujaini', 'wajain', 'jain', 'jainism', 'mahavrata', 'nirgrantha'];Ujain au Jina Dharma ni dini yenye asili ya Uhindi na wafuasi wake huitwa Wajain.
non-physical-collection;['utao', 'watao', 'udao', 'daoism', 'daoist', 'taoist'];Utao ni aina ya imani katika nchi ya China inayoitwa wakati mwingine falsafa na wakati mwingine dini.
non-physical-collection;['uzoroastro', 'uzoroasta', 'uzardoshti', 'uzoroaster', 'mazdaism', 'zoroastrianism', 'mazdean', 'zoroastrians'];Uzoroasta ni dini na falsafa inayopata jina lake kutoka nabii wake Zoroasta au Zarathustra, ambayo iliathiri imani ya Uyahudi na ya dini zilizotokana na Uyahudi.
non-physical-collection;['walutheri', 'ulutheri', 'kilutheri', 'kanisa la kilutheri', 'kanisa la kiinjili la kilutheri', 'lutheranism', 'kiinjili la kilutheri', 'la kiinjili kilutheri'];Walutheri ni jina linalotumika kuwataja kwa jumla wafuasi wa Yesu Kristo wanaozingatia mafundisho yaliyotolewa na Martin Luther katika karne ya 16.
non-physical-collection;['uchawi', 'uganga', 'urogi', 'mchawi', 'wachawi', 'hila mchawi', 'witchery'];Uchawi ni nguvu za giza zinazotumiwa na jamii nyingi duniani, kwa ajili ya mtu kuumiza wengine kimazingara, au kwa ajili ya kujilinda au kujifurahisha kwa kuwatesa watu wengine kwa kuwachukua msukule au kuwafanya waugue au wafe.
non-physical-collection;['sheria za kanisa', 'kanoni sheria', 'kikanisa sheria', 'mwanasheria canon', 'sheria kisheria', 'sheria ya kikanisa'];Sheria za Kanisa ni taratibu zilizokubaliwa na mamlaka ya Kanisa katika kuendesha shughuli zake za ndani na za nje.
non-physical-collection;['sheria ya kimataifa', 'sheria za kimataifa', 'sheria ya mataifa', 'mkataba wa kimataifa', 'sheria kimataifa', 'sheria ya umma wa kimataifa'];Sheria ya kimataifa inaweza kuashiria mambo matatu: sheria ya umma ya kimataifa, sheria ya kibinafsi ya kimataifa au mgongano wa sheria na sheria ya mashirika makubwa ya kimataifa, kama vile sheria ya Umoja wa Ulaya.
non-physical-collection;['ukomeshaji wa biashara ya watumwa', 'abolitionism', 'antislavery', 'harakati kukomesha hukumu', 'harakati za kupambana na utumwa', 'kukomesha utumwa', 'kupambana utumwa', 'wanaharakati'];Ukomeshaji wa biashara ya watumwa ni mchakato au mlolongo wa matukio yaliyopelekea ufutaji au usitishaji wa biashara ya watumwa katika karne ya 19.
non-physical-collection;['uyakinifu', 'materialism', 'physicalism', 'kimwili ontolojia', 'materialistic', 'materialists'];Uyakinifu ni msimamo wa kifalsafa unaodai vyote ni mata tu, kwa kukanusha hasa uwepo wa roho za aina yoyote.
non-physical-collection;['waanglikana', 'anglikana', 'kanisa anglikana', 'kanisa la anglikana', 'kanisa la kianglikana', 'ushirika wa kianglikana', 'anglicanism'];Anglikana ni madhehebu ya Ukristo yenye asili ya Uingereza.
non-physical-collection;['shinto', 'ushinto', 'mshinto', 'shintoist', 'washinto'];Shinto au Ushinto ni dini ya jadi nchini Japani.
non-physical-collection;['uislamu', 'kiislamu', 'dini ya kiislamu', 'islam', 'waislamu', 'imani ya kiislamu', 'islami', 'mohammedanism', 'muhammadanism', 'uislam', 'uislamu wapiganaji', 'waislam'];Uislamu ni dini inayotokana na mafunzo ya Mtume Muhammad.
non-physical-collection;['uyahudi', 'dini ya kiyahudi'];Uyahudi ni mojawapo kati ya dini za kale za binadamu, lakini jina hilo lilienea baada ya makabila mengi ya Israeli kutoweka, hata wakabaki karibu watu wa kabila la Yuda tu.
non-physical-collection;['wapentekoste', 'walokole', 'pentecosti', 'harakati pentekoste', 'kanisa la pentekoste', 'kipentekoste kanisa', 'kipentekoste movement', 'makanisa ya pentekoste', 'movement kipentekoste', 'pentacostal', 'pentecostalist', 'pentekoste'];Wapentekoste ni jina linalojumuisha Wakristo wanaofuata tapo la Kipentekoste linalolenga kuleta upyaisho katika Kanisa kwa kutia maanani tukio la sikukuu ya Pentekoste ya mwaka uleule wa kifo na ufufuko wa Yesu.
non-physical-collection;['wamethodisti', 'metodisti', 'harakati methodist', 'kanisa la methodist', 'uamsho methodist', 'wesleyans'];Wamethodisti ni wafuasi wa Yesu Kristo wanaozingatia mafundisho ya John Wesley ambaye katikati ya karne ya 18 alianzisha uamsho katika ushirika wa Anglikana akisaidiana na mdogo wake Charles na George Whitefield.
non-physical-collection;['ukristo', 'christianity', 'kikristo', 'mkristo', 'ukristu', 'wakristo', 'dini ya kikristo', 'imani ya kikristo', 'mkristo dini', 'msingi wa ukristo'];Ukristo ni dini inayomwamini Mungu pekee kama alivyofunuliwa kwa Waisraeli katika historia ya wokovu ya Agano la Kale na hasa Yesu Kristo katika [[Agano Jipya]] ambaye ni mwanzilishi wake katika karne ya 1.
non-physical-collection;['ukonfusio', 'confucianism', 'confuciansim'];Ukonfusio ni mtazamo kuhusu maadili, siasa na falsafa ambao ulianzishwa na Konfusio
non-physical-collection;['uario', 'arianism', 'arian', 'arians'];Uario ni msimamo wa teolojia ambao unamuita Yesu "Mwana wa Mungu" lakini kwa kukanusha imani ya Wakristo karibu wote kuhusu Utatu mtakatifu, yaani uwemo wa nafsi tatu za milele katika Mungu pekee: Baba, Mwana na Roho Mtakatifu.
non-physical-collection;['uprotestanti', 'waprotestanti', 'mprotestanti', 'kiprotestanti kanisa', 'kiprotestanti mkristo', 'kiprotestanti ukristo', 'makanisa ya kiprotestanti'];Uprotestanti ni aina ya Ukristo iliyotokana na Kanisa Katoliki huko Ulaya Kaskazini katika karne XVI kufuatana na tapo la kidini na la kisiasa maarufu kwa jina la "Matengenezo ya Kiprotestanti".
non-physical-collection;['wakalvini', 'ukalvini', 'waprebiteri', 'wapresbiteri', 'wapresbiteriani', 'wareformed', 'calvinism', 'calvinistic', 'calvinists', 'kanisa calvinist', 'kanisa reformed', 'makanisa reformed', 'mapokeo reformed', 'pointi tano ya calvinism', 'reformed', 'reformed msomi', 'teolojia reformed', 'theolojia reformed'];Wakalvini ni Wakristo Waprotestanti wanaofuata kimsingi mafundisho yaliyotolewa awali na Uldrik Zwingli na hasa John Calvin katika karne ya 16.
non-physical-collection;['ubuddha wa kitibeti', 'lamaism', 'tibetan buddhist', 'tibetan mabudha', 'tibetan mtawa'];Ubuddha wa Kitibeti ni mwili wa nakalafundishi za kibuddha na aina ya utaasisi wa kitibeti, ukanda wa Himalaya, Mongolia, Buryatia, Tuva na Kalmykia, na kaskazini mashariki ya Uchina.
non-physical-place;['kuzimu', 'netherworld', 'scheol', 'tuku'];Kuzimu ni huko ambako binadamu wanasadikiwa kuendelea kuishi baada ya kufariki dunia.
non-physical-place;['kaburi', 'makaburi', 'makaburini', 'sepulchral'];Kaburi ni mahali pa kulaza maiti ya binadamu au mabaki yake.
non-physical-place;['jehanum', 'jehanamu', 'jahanamu', 'jehenamu', 'he apo moni', 'bonde hinomu', 'bonde la hinomu', 'gehenna', 'gehinnom', 'hinomu'];Jehanum ni neno lenye asili ya Kiebrania linalomaanisha adhabu ya moto wa milele ambayo kadiri ya Biblia na Kurani itawapata watu waovu huko ahera kwa hukumu ya Mwenyezi Mungu.
organized-collection;['galaksi', 'galaksia', 'magalaksi', 'extragalactic nebula', 'galaxies', 'galaxy'];Galaksi (ing.
organized-collection;['maktaba', 'maktaba pamoja', 'maktaba programu', 'maktaba ya darasa', 'maktaba ya programu', 'mpango maktaba', 'subroutine maktaba'];Maktaba katika utarakilishi ni mkusanyo wa taratibu au class zinazotumiwa kwa kutengeneza programu za kompyuta.
organized-collection;['data', 'data ya kisayansi', 'takwimu'];Data inamaanisha makundi ya habari ambayo inawakilisha sifa qualitative au quantitative za variable au seti ya variables.
organized-collection;['maktaba', 'maktaba utafiti', 'maktaba ya kumbukumbu', 'maktaba ya utafiti', 'médiathèque'];Maktaba ni sehemu au jengo lililo maalum kwa ajili ya kujisomea na kujifunza juu ya vitu mbalimbali.
organized-collection;['mawingu ya magellan', 'magellanic cloud'];Mawingu ya Magellan
organized-collection;['sheria za kanisa', 'kanoni sheria', 'kikanisa sheria', 'mwanasheria canon', 'sheria kisheria', 'sheria ya kikanisa'];Sheria za Kanisa ni taratibu zilizokubaliwa na mamlaka ya Kanisa katika kuendesha shughuli zake za ndani na za nje.
organized-collection;['sheria ya kimataifa', 'sheria za kimataifa', 'sheria ya mataifa', 'mkataba wa kimataifa', 'sheria kimataifa', 'sheria ya umma wa kimataifa'];Sheria ya kimataifa inaweza kuashiria mambo matatu: sheria ya umma ya kimataifa, sheria ya kibinafsi ya kimataifa au mgongano wa sheria na sheria ya mashirika makubwa ya kimataifa, kama vile sheria ya Umoja wa Ulaya.
