abstract-quality;['persoonallisuus', 'luonne', 'big five'];Kullekin ihmiselle luonteenomainen ajatusten, tunteiden ja käyttäytymisen muodostama kokonaisuus
physical-object;['makuuvaunu', 'makuuvaunussa', 'makuuvaunut', 'sleeper juna'];Junanvaunu, jossa voi nukkua pitkien junamatkojen aikana
physical-object;['ravintolavaunu', 'dining osasto', 'ruokakomero auto'];junavaunu, jossa on ravintola
physical-object;['täytekynä', 'kuulakynä', 'mustekynä', 'mustekynän', 'mustekynät'];kirjoitusväline
physical-object;['symbaali', 'lautaset', 'lautanen', 'symbaalit'];Idiofoneihin kuuluva lyömäsoitin
physical-object;['gongi', 'tam-tam', 'tamtam', 'kumistin', 'kongi', 'gong', 'kumistimet'];lyömäsoitin
physical-object;['hilpari', 'pertuska', 'halberdier', 'halberds'];ase
physical-object;['ehkäisypilleri', 'e-pilleri', 'ehkäisytabletti', 'pilleri', 'anovulatorinen lääke', 'e-pillerit', 'ehkäisypillereiden', 'ehkäisypillereitä', 'anovulant', 'anovulatorisia huumeiden', 'ehkäisypillerit', 'ehkäisytabletin', 'ehkäisytablettien'];Ehkäisymuoto
physical-object;['heittoistuin', 'katapultti-istuin', 'heittoistuimet', 'nolla-nolla heittoistuin'];Lentokoneissa ja joissakin helikoptereissa käytössä oleva pelastautumisväline
physical-object;['kellari', 'maakellari', 'talouskellari', 'maakellarissa'];Kokonaan tai osaksi maan alle rakennettu säilytystila
physical-object;['maali', 'maalinteko', 'maalipylväiden', 'maalitolppien', 'tavoite', 'tavoite postitse'];Tietyissä urheilulajeissa pisteen saavuttaminen
physical-object;['luuttu', 'luutisti', 'luuttuja'];Pyöreäpohjainen, kaksoiskielin varustettu näppäilysoitin
physical-object;['käsiase', 'pienase', 'tuliase', 'ase', 'pienaseet', 'aseen', 'gun shop', 'pienaseiden', 'pieni-arm', 'pieni käsi', 'pienten aseiden'];ase, joka ampuu ammuksia pienen räjähteen voimalla
physical-object;['partavaahto', 'partasaippua', 'parranajosaippua', 'parranajovoide', 'partakreemi', 'partavoide'];Parranajon helpottamiseen käytettävä aine
physical-object;['partavaahto', 'partasaippua', 'parranajosaippua', 'parranajovoide', 'partakreemi', 'partavoide'];Saippua josta valmistetaan partavaahtoa partasudin avulla
physical-object;['kyklooppimuuri', 'kyklooppimuurit', 'cyclopean muuraus', 'cyclopean', 'cyclopean seinät'];muuraustyyli
physical-object;['panhuilu', 'pan-huilu', 'panpipe', 'pandean putki', 'panflute', 'panhuilunsoiton', 'pannulla putket', 'panpipes', 'yleiseurooppalainen putki'];Puhallinsoitin
physical-object;['kaapparilaiva', 'kaappari', 'kaapparit', 'privateer', 'privateering'];Laiva tai kapteeni, joka valtaa vihollisaluksia valtion valtuuttamana
physical-object;['nuoli'];heitettävä tai ammuttava terävä ase
physical-object;['aallonmurtaja', 'rantavalli', 'möljä', 'rantapenger', 'vallitus', 'rantamuuri', 'uloke', 'seawall', 'aallonmurtajan', 'aallonmurtajat', 'breakwall', 'groyne', 'groynes', 'laituri', 'laiturit', 'malecón', 'myyrä', 'nivus', 'seawalls'];Vesialueen rannalla sijaitsevan sataman, majakan tai vastaavan suojaksi rakennettu täytepenger
physical-object;['kasino', 'pelikasino', 'hotellikasino', 'kasino uhkapeli'];Rahapelien pelaamiseen tarkoitettu rakennus
physical-object;['orpo', 'orpous', 'puoliorpo', 'täysorpo', 'orpoja', 'orvoksi', 'sodan orpo'];Lapsi, joka on menettänyt toisen tai molemmat vanhempansa
physical-object;['julkinen liikenne', 'joukkoliikenne', 'yleinen liikenne', 'ilmainen joukkoliikenne', 'joukkoliikenteen', 'julkisen liikenteen'];yleinen joukkoliikkenne
physical-object;['odotushuone', 'odotustila', 'aula', 'odotusalue', 'jono', 'odotussali', 'lounge-musiikkia', 'lounge laulaja', 'odotushuoneessa', 'ultra lounge'];sisätila, joka on tarkoitettu odottamista varten
physical-object;['pesukarhulakki', 'supihattu', 'supilakki', 'coonskin korkki', 'coonskin'];päähine
physical-object;['ohjaskelkkailu', 'ohjaskelkka', 'ratakelkkailu', 'luge'];Luonnonratakelkkailu luonnollisella ja keinotekoisella radalla
physical-object;['matkustajavaunu', 'vaunu', 'junavaunu', 'henkilöauto', 'matkustajavaunut', 'metrossa', 'valmentaja'];matkustajien kuljettamiseen tarkoitettu rautatievaunu
physical-object;['vuoristorata', 'kouru--kouru', 'vuoristorataa', 'vuoristoratoja'];Huvipuistolaite
physical-object;['partahöylä', 'parranajokone', 'partakone'];Parranajoväline, jossa terän ja ihon väliin on sijoitettu suojaava osa
physical-object;['partaveitsi', 'parranajokone', 'partaveitsellä'];Ihokarvojen poistamiseen käytettävä veitsi
physical-object;['äänikirja', 'äänikirjan', 'äänikirjat', 'äänikirjoja', 'äänikirjojen'];ääneen luetun kirjan tallenne
physical-object;['cd', 'cd-levy', 'compact disc', 'cd-da', 'cd-levyke', 'cd-r/rw', 'cd-rom', 'romppu', 'aad', 'cd-rw', 'cd-tietolevy', 'vcd', 'cd-levyt', 'cd audio', 'digitaalinen albumi', 'levyt'];Optinen digitaalisen datan tallennusmedia
physical-object;['videonauha', 'videokasetti'];magneettinauha, johon on tallennettu liikkuvaa kuvaa
physical-object;['tekohampaat', 'hammasproteesi'];Proteesilaite, joka korvaa puuttuneet hampaat
physical-object;['cromorne', 'crumhorn', 'krummhorn', 'krumhorni', 'krumhorn', 'krummhorni', 'krummhörn'];J-kirjaimen mallinen tuulikapselisoitin
physical-object;['jääkiekkokaukalo', 'kiekkokaukalo', 'jääkiekko jäähalli', 'jääkiekkokaukaloon', 'inline jääkiekko jäähalli', 'prässi', 'sininen viiva'];jääkiekon pelikenttä
physical-object;['luistinrata', 'kaukalo', 'luistelukaukalo', 'jäähalli', 'tekojäärata'];Luisteluun tarkoitettu jääkenttä
physical-object;['avaruusluotain', 'luotain', 'avaruusluotaimen', 'avaruusluotaimet'];Avaruuteen tai taivaankappaleelle lähetetty tutkimuslaite
physical-object;['kylpyhuone'];Peseytymiseen tarkoitettu huone
physical-object;['vankiselli', 'selli', 'putka', 'vankisellissään', 'sellissä', 'vankilaselliin'];vankilan asuinhuone
physical-object;['gulag', 'gulag-leiri', 'venäläinen vankileiri', 'vankileireillä'];Neuvostoliiton turvallisuuspoliisin hallinnoima ojennusleiri
physical-object;['turvatyyny', 'ilmatyyny', 'air bag', 'airbag', 'turvatyynyt', 'polviturvatyyny', 'turvaverhot turvatyyny'];Turvavaruste
physical-object;['jäänmurtaja', 'ilmahuuhtelu', 'jäänsärkijä', 'tärinäherätin', 'jäänmurto'];Jään rikkomiseen suunniteltu laiva
physical-object;['parkki', 'parkkilaiva', 'pursi'];purjealustyyppi
physical-object;['sääsatelliitti', 'sää satelliitteja'];satelliitti, jonka mittaustuloksia käytetään sään tarkasteluun
physical-object;['justeeri', 'hirsisaha', 'tukkisaha', 'pukkuri', 'whipsaw', 'kahden käden näki', 'kahden miehen näki', 'kahden mies näki', 'kirvesmies n näki', 'kuoppaan näki'];Saha
physical-object;['konservatorio', 'musiikkikoulu', 'musiikkiopisto', 'konservatoriossa', 'hochschule für musik', 'music academy', 'musiikkiopistossa', 'musikhochschule'];Musiikkioppilaitos
physical-object;['transistori', 'liitostransistori', 'bipolaaritransistori', 'emitteri', 'kollektori', 'puolijohdetransistori', 'transistor', 'bipolaaritransistorit', 'liitostransistorin', 'sähköisen transistori', 'transistorit', 'transistoroitu'];elektroninen komponentti
physical-object;['lämpöpatteri', 'huonetermostaatti', 'konvektori', 'patterilämmitys', 'patteritermostaatti', 'radiaattori', 'sähköpatteri'];lämpöä tuottava laite
physical-object;['peliasu', 'varusteet', 'välineet'];jalkapalloilijan käyttämä joukkueen asu
physical-object;['kannus', 'kannukset'];metallinen työkalu ratsastuksessa
physical-object;['kilpi', 'vaakunakilpi', 'vaakunan kilpi', 'aseistukseen', 'heraldinen kilpi', 'inescutcheon'];Vaakunan fyysinen perusosa
physical-object;['öljytankkeri', 'säiliöalus', 'tankkeri', 'säiliölaiva', 'tankkilaiva', 'kaasutankkeri', 'supertankkeri', 'antenni tankkauksen', 'anturi ja jarruvarjo', 'ilma-ilmatankkaus', 'ilmatankkaus', 'inflight tankkauksen', 'lennon aikana tankkauksen', 'raakaöljysäiliöalukselle', 'supertankers', 'säiliö aluksen', 'tankkauslentokoneen', 'tuotesäiliöalus', 'öljysäiliöalusten'];Laiva, joka kuljettaa säiliöissään nestemäisiä
physical-object;['jäänmurtaja', 'ilmahuuhtelu', 'jäänsärkijä', 'tärinäherätin', 'jäänmurto'];Jään rikkomiseen suunniteltu laiva
physical-object;['oboe', 'barokkioboe', 'oboisti', 'hautbois', 'hautboy', 'barokki oboe', 'oboeta'];puhallinsoitin
physical-object;['liukumäki', 'leikkipuiston liukumäki', 'liukurata', 'leikkipaikka liukumäki', 'liukuva aluksella'];leikkiväline
physical-object;['puusee', 'ulkokäymälä', 'käymälä', 'huussi', 'makki', 'paskahuussi', 'puucee', 'ulkohuussi', 'ulkovessa', 'ulkorakennus', 'jakes', 'maa-kaappi', 'piharakennusten'];päärakennuksen ulkopuolinen rakennus, jossa on käymälä
physical-object;['hävittäjä', 'ohjusten torjunta-alus', 'hävittäjäalus', 'hävittäjä miinalaiva', 'hävittäjää', 'ohjus hävittäjä', 'torpedovene destroyer', 'torpedovene hävittäjä'];Nopea ja ketteräliikkeinen sota-alus
physical-object;['lugger', 'loggerttipurje'];Harukseton nelikulmainen purjetyyppi
physical-object;['ukulele', 'baritoniukulele', 'havaijikitara', 'konserttiukulele', 'sopraanoukulele', 'tenoriukulele', 'ukelele'];kielisoitin
physical-object;['golfpallo', 'golfpallon'];golfissa käytettävä pallo
physical-object;['lentävä pommi', 'v1-ohjus', 'surinapommi', 'v-1-ohjus', 'v-1', 'v1', 'buzz pommi', 'lentävät pommi', 'robotti pommi', 'v-1 raketti', 'v1 raketti'];toisen maailmansodan aikainen ohjus
physical-object;['sormustin', 'fingerpori'];Sormenpäätä ommeltaessa suojaava metallikuppi
physical-object;['bungalow', 'mökki', 'tupa', 'bungaloweja', 'kesämökki'];Pieni talo maaseudulla
physical-object;['juomalasi', 'kuppi', 'juomapikari', 'kupin'];Lasimassasta valmistettu juoma-astia
physical-object;['levyke', 'lerppu', 'korppu', 'disketti', '3,5 levyke', 'levykeasema', 'levykkeet', 'veltto'];Datan tallennusväline
physical-object;['plektra', 'kynsi', 'pleku', 'soittolehti', 'plectron'];pieni apuväline kielisoittimen soittamiseen
physical-object;['säähavaintopallo', 'sääpallo', 'sääilmapallo', 'meteorologiset ilmapallo', 'säähavaintopallojen'];Lentävä säätutkimuslaite
physical-object;['siipiratasalus', 'siipirataslaiva', 'mela-höyrystin', 'mela-pyöräinen', 'mela höyrysilittimille', 'paddlesteamer', 'paddlewheeler', 'sidewheel', 'sidewheel höyrylaiva', 'sidewheeler', 'sternwheel'];laiva, joka kulkee eteenpäin siipirattaan avulla
physical-object;['ilmalaiva', 'ilma-alus', 'zeppeliini', 'ilmalaivat', 'laivat'];Ilmaa kevyempi ilma-alus
physical-object;['teslakäämi', 'teslamuuntaja', 'tesla coil', 'teslageneraattori', 'teslanmuuntaja', 'tesla kela'];elektroninen suurjännitelaite
physical-object;['hiihtokenkä', 'mono', 'monot'];sukseen kiinnitettävä hiihtokenkä
physical-object;['olkihattu', 'panamahattu', 'livorno', 'panama hattu', 'veneilijä'];oljista punottu kevyt päähine
physical-object;['olkihattu', 'panamahattu', 'livorno', 'panama hattu', 'veneilijä'];hattu
physical-object;['sarkofagi', 'sakrofagi', 'sarcophagi'];kivinen hauta-arkun ulko-osa
physical-object;['aitta', 'vilja-aitta', 'viljamakasiini', 'varasto', 'puori', 'jauhoaitta', 'jyväaitta', 'jyväpuoti', 'riistaitta', 'aitat', 'kerätä'];Varastorakennus viljalle
physical-object;['sombrero', 'sombrerot'];Meksikolainen hattu
physical-object;['basaari', 'bazar', 'basaarit', 'myyjäisiä'];eräänlainen kauppapaikka
physical-object;['sitar', 'sitaria', 'sitarist'];intialainen kielisoitin
physical-object;['mandoliini', 'brescialainen mandoliini', 'cremonalainen mandoliini', 'firenzeläinen mandoliini', 'genovalainen mandoliini', 'lombardialainen mandoliini', 'milanolainen mandoliini', 'napolilainen mandoliini', 'tasapohjainen mandoliini', 'toscanalainen mandoliini', 'toskanalainen mandoliini', 'mandolini', 'mandoliinit', 'mandolinisti'];Näppäilysoitin
physical-object;['piano', 'pianoforte', 'akustinen piano', 'flyygeli', 'forte-piano', 'fortepianisti', 'fortepiano', 'grand piano', 'klassista pianoa'];klaveerisoitin
physical-object;['kitara', 'kitarat', 'avoin viritys kitarassa', 'guitar', 'klassinen kitara', 'skeba', 'skitta', 'rock-kitara'];Näppäilysoitin
physical-object;['höyläpenkki', 'työpöytä', 'työpenkki', 'penkki', 'työstöpenkki', 'työstöpenkin', 'workbench'];puusepän työtaso
physical-object;['linnoitus', 'linnake', 'sitadelli', 'bastioni'];keskuslinnoitus
physical-object;['kuisti', 'porstua', 'porttirakennus', 'veranta'];pääovea suojaava katosrakennelma
physical-object;['muistomerkki', 'monumentti', 'historiallinen monumentti', 'monumentteja', 'muistomerkkejä'];Tapahtuman, rakennuksen tai henkilön muistoksi osoitettu tai tehty kivi, rakennelma tai merkintä
physical-object;['katto', 'ulkokatto', 'aumakatto', 'vesikatto', 'yläpohja', 'katot'];huoneen, rakennuksen tai tilan yläpinta
physical-object;['rakennus', 'julkinen rakennus', 'rakennelma', 'julkisten rakennusten', 'mahtava rakennus'];Erillinen, kiinteä, omalla sisäänkäynnillä varustettu rakennelma, joka sisältää katettua, yleensä seinien erottamaa tilaa
physical-object;['sukellusvene', 'sukellusveneet', 'ydinsukellusvene', 'pigboat', 'sukellusveneitä'];Veden alla kulkemaan suunniteltu laiva
physical-object;['golden gate bridge', 'golden gate -silta', 'golden gaten silta'];Riippusilta Kaliforniassa, Yhdysvalloissa
physical-object;['brooklyn bridge', 'brooklynin silta', 'brooklyn-silta'];silta New Yorkissa
physical-object;['elektroniputki', 'tyhjiöputki', 'elektroninen väline', 'diodiputki', 'pentodi', 'putkidiodi', 'radioputki', 'tetrodi', 'thyratron', 'triodi', 'kuumakatodi venttiili', 'kuumakatodi venttiilien', 'putki', 'thermionic elektroniputki', 'thermionic putki', 'thermionic venttiili', 'tyhjiö-putki', 'tyhjöputket'];Elektroninen komponentti
physical-object;['sähköverkko', 'sähköjärjestelmä', 'jakeluverkko', 'verkko', 'sähkönsiirtoverkko', 'keskijännite', 'keskijänniteverkko', 'pienjännite', 'pienjänniteverkko', 'suurjänniteverkko', 'sähkönjakeluverkko', 'voimalinja', 'sähköverkkoon', 'sähköjärjestelmän', 'sähköverkkoihin', 'sähköverkon', 'voimajärjestelmät'];energiansiirto
physical-object;['inertianavigointijärjestelmä', 'inertiasuunnistus', 'inertiaohjausjärjestelmä', 'inertianavigointi', 'inertiaalinen ohjausjärjestelmän', 'inertiaviiteyksikkö järjestelmä'];navigointimenetelmä
physical-object;['kasettisoitin', 'kasettidekki', 'kasettinauhuri'];c-kasetteja pyörittävä äänentoistolaite
physical-object;['kiikaritähtäin', 'teleskooppitähtäin', 'bullet drop korvaukset', 'kivääri soveltamisala', 'teleskooppi näky'];ampuma-aseen optinen tähtäin
physical-object;['valvontakamera', 'kaapelitelevisio', 'kameravalvonta', 'dome-kamera', 'dome kamera', 'suljetun piirin televisiota', 'suljetun piirin kamera', 'suljetun piirin kameran', 'turvakamerat', 'valvontakameran', 'valvontakameroita', 'videovalvonta'];tekninen laite, jota käytetään alueen valvontaan
physical-object;['ajastin', 'kellokytkin', 'munakello'];Aikamekanismi
physical-object;['kello', 'aikarauta', 'tiuku', '(tasku)nauris', 'klogu', 'kloku', 'seinäkello', 'mekaanisen kellon'];Ajan näyttävä laite
physical-object;['deodorantti', 'hajunpoistoaine', 'hajunpoistaja', 'antiperspirantti', 'deororantti', 'dödö', 'hienestoaine', 'ihonraikaste', 'raikaste', 'deodorantit', 'deodourant'];kosmeettinen tuote, jolla ehkäistään hien hajua
physical-object;['ruohonleikkuri', 'niittokone', 'niitto', 'päältäajettava ruohonleikkuri', 'ramppa', 'ruohonleikkurit', 'puutarhatraktori', 'ruohonleikkurin'];laite, jolla leikataan nurmikkoa
physical-object;['ruohonleikkuri', 'niittokone', 'niitto', 'päältäajettava ruohonleikkuri', 'ramppa', 'ruohonleikkurit', 'puutarhatraktori', 'ruohonleikkurin'];heinän leikkaamiseen tarkoitettu kone
physical-object;['kuokka', 'suokuokka', 'perunakuokka'];Maataloustyökalu
physical-object;['jojo', 'yoyo', 'jo-jo', 'yo-yo'];Lelu
physical-object;['muuntaja', 'muuntajan muuntosuhde', 'muuntosuhde', 'sähkömuuntaja', 'transformaattori', 'virtamuuntaja', 'muuntajan', 'sähkö-muuntaja'];Sähkötekniikan komponentti
physical-object;['muuntaja', 'muuntajan muuntosuhde', 'muuntosuhde', 'sähkömuuntaja', 'transformaattori', 'virtamuuntaja', 'muuntajan', 'sähkö-muuntaja'];Sähkötekniikan komponentti
physical-object;['sellofaani'];Kemiallinen yhdiste
physical-object;['päätykolmio', 'frontoni', 'pääty', 'fronton', 'pedimentti', 'päätykolmiot', 'rikki päätykolmio'];klassisen arkkitehtuurin rakennuselementti
physical-object;['toteemipaalu', 'toteemi pylväät'];Pohjois-Amerikan luoteisrannikon intiaanien perinteinen monumentti
physical-object;['jäteauto', 'roska-auto'];ajoneuvo.
physical-object;['coupé', 'kupee', 'coupe', 'berlinetta', 'kaksiovinen auto', 'urheilu coupé', 'urheiluautoon'];auton korityyppi
physical-object;['ketsi', 'kaljaasi'];Kaksimastoinen purjealus
physical-object;['sotavaunut', 'sotavaunu', 'kilpa-ajovaunut'];sotilaskäyttöön tarkoitettu hevosen vetämä vaunu
physical-object;['gyroskooppi', 'hyrrä', 'gyro', 'gyroskoopit', 'gyroskooppiset'];Asennon mittaamisen ja vakauttamisen laite
physical-object;['sähkövatkain', 'yleiskone', 'mikseri'];sähkömoottorilla toimiva vatkain
physical-object;['varoventtiili', 'pakoventtiili', 'varaventtiili', 'ylipaineventtiili', 'paeta kukko', 'paineenalennusventtiili', 'poistoventtiili'];virtausteknine komponentti
physical-object;['kirjastoauto', 'kirjastoauton'];kirjastona toimiva ajoneuvo
physical-object;['avaruusalus', 'avaruusalukset', 'avaruusaluksia', 'ballististen kapseli', 'raketti aluksen'];Avaruusmatkailussa käytettävä laite
physical-object;['linja-auto', 'bussi', 'vaunut', 'dösä', 'linkkuri', 'onnikka', 'autobus', 'motorbus', 'motorcoach', 'turistiauto', 'bussilinjoja', 'bussiyhtiö', 'henkilöauto', 'jitney', 'kaksikerrosvoileipä', 'kaupunki-esikaupunki bussilinja', 'kaupunkien lähiöiden linja', 'linja', 'valmentaja'];Suurehko auto, jota käytetään kuljettamaan useita ihmisiä
physical-object;['linja-auto', 'bussi', 'vaunut', 'dösä', 'linkkuri', 'onnikka', 'autobus', 'motorbus', 'motorcoach', 'turistiauto', 'bussilinjoja', 'bussiyhtiö', 'henkilöauto', 'jitney', 'kaksikerrosvoileipä', 'kaupunki-esikaupunki bussilinja', 'kaupunkien lähiöiden linja', 'linja', 'valmentaja'];Pitkämatkaiseen liikennöintiin tarkoitettu linja-auto
physical-object;['alus', 'veneet'];Kulkuväline joka kulkee ilmassa, vedessä tai avaruudessa ja mahdollisesti myös maalla
physical-object;['ilma-alus', 'lentokone', 'ilmakulkuneuvo', 'lentoalus', 'lentävä kone', 'raskaampi kuin-ilma lennon'];Ilmassa liikkuva kulkuväline
physical-object;['sähköauto', 'sähkö-', 'sähköajoneuvo', 'täyssähköauto', 'sähkö auto', 'sähköautojen', 'sähköinen'];Auto, jonka voimanlähteenä toimii sähkömoottori
physical-object;['lumiaura', 'aura-auto'];lumen siirtoon tarkoitettu työväline
physical-object;['traktori', 'vetoauto', 'maataloustraktori', 'voiman ulosotto', 'voimansiirtojärjestelmä', 'traktorin', 'traktorit'];Liikkuva työkone
physical-object;['juhannussalko', 'vappusalko', 'maistonki', 'majstång', 'juhannussalko tanssi', 'maypole tanssi'];Juhannusperinne
physical-object;['pata', 'kattila', 'pataluha', 'padat', 'pato'];astia
physical-object;['megaliitti', 'megaliittirakennelma', 'megaliitit', 'megaliittialueet', 'megaliittien historia', 'megaliittien synty', 'megaliittikulttuuri', 'kivenlohkare', 'megaliittiajan', 'megaliittiajan hauta', 'megaliittiajan muistomerkki', 'megaliittiajan rakenne', 'megaliths'];ihmisen pystyttämä suuri kivi
physical-object;['pilvenpiirtäjä', 'pilvenpiirtäjät', 'pilvenpiirtäjiä', 'supertall', 'toimistotalo'];Hyvin korkea kerrostalo
physical-object;['partiovene', 'partioalus', 'vartiolaiva', 'ulkovartiolaiva', 'partio alus', 'offshore patrol vessel', 'partioveneet'];pienehkö yleiskäyttöinen partioalus
physical-object;['kalastusalus', 'kalastusvene', 'kalastajavene', 'kalastus smack', 'kalastusaluksia', 'kalastusalusten', 'nuotta'];Kalanpyyntiin suunniteltu vene tai laiva
physical-object;['monstranssi', 'ostensorium', 'monstrance'];Siunatun ehtoollisleivän rasia katolisuudessa
physical-object;['kiekko', 'jääkiekko', 'lätkä', 'jääkiekko kiekko'];pyöreä kuminen peliväline
physical-object;['jousipyssy', 'jousi ja nuoli', 'jousi', 'jousiase', 'käsijousi', 'nuolipyssy', 'taljajousi', 'keula ja nuoli', 'jousin ja nuolin', 'keula ja nuolet'];Joustavasta kaaresta ja jänteestä sekä tähtäysvarresta koostuva ase, jolla ammutaan nuolia
physical-object;['stoola', 'stola', 'varasti'];Liturginen vaatekappale
physical-object;['laivan hylky', 'hylky', 'hylyt', 'laivahylky', 'laivanhylky', 'museohylky', 'pintahylky', 'haaksirikko', 'hylkyjä'];Uponneen tai muutoin hylätyn eli haaksirikkoutuneen laivan tai muun aluksen runko tai aluksen irtaimisto
physical-object;['kuusiokoloavain', 'kuusiotappiavain', 'kuusikulma-avain', 'kuusioavain', 'kuusiokoloavaimella'];Kuusiokoloruuvin kiertämiseen käytettävä vääntötyökalu
physical-object;['kynä', 'mustekynä', 'sulkakynä', 'kynä ja mustetta'];Kirjoitusväline
physical-object;['moppi', 'lattialuuttu', 'luuttu', 'lattiariepu'];siivousväline
physical-object;['turistiluokka', 'economy-luokka', 'hyttiluokassa', 'turistiluokan'];matkustusluokka kulkuvälineissä
physical-object;['liipaisin', 'laukaisija', 'laukaisuvoima', 'liipasin', 'yksitoiminen', 'kaksitoiminen', 'liipasimesta', 'yksitoiminen revolveri'];Laukaisumekanismi
physical-object;['kirnu', 'voikirnu', 'kirnuaminen', 'voita vaihtuvuus'];Astia jossa kermasta tehdään voita
physical-object;['keskuslämmitys', 'ilmanvaihtokone', 'ilmaistointikone', 'ilmastointikone', 'koneellinen poistoilmajärjestelmä', 'koneellinen tulo- ja poistoilmajärjestelmä', 'painovoimainen ilmanvaihtojärjestelmä'];lämmitystapa
physical-object;['silta', 'maantiesilta', 'rautatiesilta', 'rautatie silta', 'rautatiesillan', 'tien silta'];Pysyvä tai tilapäinen rakennelma, jota pitkin on ylitetty puro, joki, suo tai muu este
physical-object;['autogiro', 'gyrokopteri', 'autogiron', 'autogyro', 'gyrocopter'];ilma-alus
physical-object;['lentokenttä', 'lentoasema', 'lentopaikka', 'aerodromi', 'lentoterminaali', 'drome', 'lentokenttäalueella', 'maaliikennealueella', 'maanpuoleisen'];Säännölliseen liikenteeseen tarkoitettu lentopaikka
physical-object;['lentokenttä', 'lentoasema', 'lentopaikka', 'aerodromi', 'lentoterminaali', 'drome', 'lentokenttäalueella', 'maaliikennealueella', 'maanpuoleisen'];Ilma-alusen saapumista, lähtemistä ja maassa tai vedessä liikkumista varten tarkoitettu alue (laajempi käsite kuin lentoasema)
physical-object;['vesitaso', 'vesilentokone', 'meritoimintakone', 'sea plane'];lentokone, joka käyttää vettä kiitoratanaan
physical-object;['matkustajakone', 'matkustajalentokone', 'liikennelentokone', 'liikennekone', 'kaupallinen matkustajakone', 'matkustajakoneet'];Lentokone, joka kuljettaa matkustajia
physical-object;['potkuriturbiini', 'turbopotkurikone', 'potkuriturbiinikone', 'turbiinimoottori', 'turboprop', 'turboshaft', 'potkuriturbiinikone moottori', 'potkuriturbiinikoneet', 'propjet', 'turbo-potkurin tasossa', 'turbo-prop'];Lentokoneissa käytettävä turbiinimoottori, jossa akselin vääntömomenttia käytetään hyödyksi työntövoiman sijaan
physical-object;['katapultti', 'ballista', 'trebuchet', 'mangoneli', 'heittokone', 'linko', 'onageri', 'vastapainokatapultti', 'arbalest', 'bricole', 'mangonel', 'arbalist', 'ballistae', 'ballistas', 'catapault', 'katapultit', 'trebucket'];esineiden linkoamiseen tarkoitettu laite
physical-object;['katapultti', 'ballista', 'trebuchet', 'mangoneli', 'heittokone', 'linko', 'onageri', 'vastapainokatapultti', 'arbalest', 'bricole', 'mangonel', 'arbalist', 'ballistae', 'ballistas', 'catapault', 'katapultit', 'trebucket'];Vastapainokatapultti: piiritystaisteluissa käytetty heittokone
physical-object;['katapultti', 'ballista', 'trebuchet', 'mangoneli', 'heittokone', 'linko', 'onageri', 'vastapainokatapultti', 'arbalest', 'bricole', 'mangonel', 'arbalist', 'ballistae', 'ballistas', 'catapault', 'katapultit', 'trebucket'];Piirityskone
physical-object;['psalttari', 'psaltteri', 'psaltery', 'harpuilla'];Kaulaton, näppäillen soitettava sitrasoitin
physical-object;['steela', 'kivipaadet', 'kivipaasi', 'steele', 'stela', 'hautajaiskoristeet puutaulun', 'hautajaiskoristeet stelen', 'kivi tabletti', 'puutaulun', 'stelae'];pystyssä seisova monumentti
physical-object;['lippuviittoilu', 'opastin', 'kaksilippujärjestelmä', 'lippusemafori', 'semaforiliput', 'viittoiluliput', 'siipiopastin'];merellä käytetty merkinantojärjestelmä
physical-object;['mikroaaltouuni', 'mikro', 'mikrouuni', 'mikroaaltokypsennyksessä', 'mikroaaltouunit', 'mikrossa'];kodinkone
physical-object;['seinä', 'muuri'];muuraamalla tehty seinämä
physical-object;['jalusta', 'plintti', 'plinthon', 'plinthos', 'sokkeli', 'footstall', 'sokkelit'];pylvään jalan aluslaatta
physical-object;['kauppapaikka', 'tori', 'kauppahalli', 'kauppatori', 'markkinapaikka', 'markkinat kauppias', 'markkinoilla', 'torikaupassa'];paikka, johon ihmiset kokoontuvat ostamaan ja myymään elintarvikkeita ja muita hyödykkeitä
physical-object;['louvre', 'louvre-museo', 'musee du louvre', 'musée du louvre'];Kansallinen taide- ja arkeologinen museo Pariisissa Ranskassa
physical-object;['lelu', 'leikkikalu', 'leikkikalut', 'lelut', 'leluja', 'toyline'];väline, jolla leikitään
physical-object;['kasa', 'keko', 'hautakumpu', 'penkka', 'valli', 'röykkiö'];Pääasiassa maasta kasattu hautarakenne, joka erottuu selvästi ympäröivästä maastosta
physical-object;['basilika', 'basilikakirkko', 'basilican', 'basilikaa'];Katolisen kirkon merkittävä kirkkorakennus
physical-object;['lunttulukko', 'musketti', 'matchlock', 'matchlocks'];sytytysjärjestelmä varhaisissa tuliaseissa
physical-object;['väylä', 'kokoomakisko', 'virtakisko', 'laiteväylä', 'väyläohjain', 'kiskon', 'sähköinen kokoomakisko'];laite, joka siirtää tietoa ja virtaa tietokoneen eri osien välillä
physical-object;['muuntaja', 'muuntajan muuntosuhde', 'muuntosuhde', 'sähkömuuntaja', 'transformaattori', 'virtamuuntaja', 'muuntajan', 'sähkö-muuntaja'];Sähkötekniikan komponentti
physical-object;['kondensaattori', 'sähkökondensaattori', 'elko', 'kapasitori', 'kapasitanssi', 'kapasitiivinen', 'kondensaattoriin', 'kondensaattorit', 'sähkö lauhdutin'];Sähköinen komponentti
