abstract-quality;['વ્યક્તિત્વ'];વ્યક્તિત્વ એટલે જે-તે વ્યક્તિની વર્તનશૈલી, તેની બૌદ્ધિક શક્તિઓ, અભિયોગ્યતાઓ, વિચારો, ટેવો, આવેગો, મનોવલણો અને બીજાં એવાં વિશિષ્ટ પાસાંઓના ગત્યાત્મક સંગઠનથી ઊપજેલું સુગ્રથિત સ્વરૂપ.
physical-object;['ગટરવ્યવસ્થા'];ગટર વ્યવસ્થા કે ઘરેલૂ ગંદાપાણીની વ્યવસ્થા, ગંદાપાણી અને ઘરેલૂ ગટરના વહેતા પાણી માંથી અશુદ્ધિઓને દૂર કરવાની એક પ્રક્રિયા છે.
physical-object;['નિરોધ', 'કોંડોમ', 'કોન્ડોમ'];કોન્ડોમ કે કોન્ડમ એ એક ગર્ભાધાન અવરોધી કે નિરોધી સાધન છે આને જાતિય સંભોગનો સમયે સૌથી સામાન્ય રીતે વપરાતું સાધન છે.
physical-object;['દીવાદાંડી'];દીવાદાંડીએ જુના સમયમાં દરિયાખેડુઓને માર્ગદર્શન આપવા માટે દરિયા કીનારે બાધવામાં આવતી અને જેની ટોચ પર દૂર સુધી દેખાય તે રીતનો પ્રકાશ રાખવામાં આવે છે તેને કહે છે.
physical-object;['પાઘડી', 'ફાળિયું', 'turban'];પાઘડી એ માથા પર બાંધીને પહેરવાનું પરિધાન અથવા પહેરવેશ છે.
physical-object;['કો-ઍક્સિયલ કેબલ'];કો-ઍક્સિયલ કેબલ કે કો-એક્સ એ એક પ્રકારનો વિદ્યુત વાહક વાયર છે, જેની આજુ બાજુ વિદ્યુત અવાહકનું પડ ચડાવેલું હોય છે તથા તેના બે વાયર વચ્ચે પણ અવાહક જાડું પડ હોય છે.
physical-object;['ઇથરનેટ', 'éthernet'];ઇથરનેટ લોકલ એરિયા નેટવર્ક માટે કમ્પ્યુટર નેટવર્કીંગ ટેકનોલોજી નો એક પરિવાર છે.
physical-object;['સ્ટેનફોર્ડ યુનિવર્સિટી'];ધી લેલેન્ડ સ્ટેનફોર્ડ જુનિયર યુનિવર્સિટી કે જેનો સામાન્ય રીતે સ્ટેનફોર્ડ યુનિવર્સિટી અથવા સ્ટેનફોર્ડ તરીકે ઉલ્લેખ કરવામાં આવે છે તે સ્ટેનફોર્ડ, કેલિફોર્નિયા, યુનાઇટેડ સ્ટેટ્સ ખાતે આવેલી એક ખાનગી સંશોધન યુનિવર્સિટી છે.
physical-object;['ઑક્સફર્ડ વિશ્વવિદ્યાલય', 'ઓક્સફોર્ડ યુનિવર્સિટી', 'ઓક્સફર્ડ વિશ્વવિદ્યાલય'];યુનિવર્સિટી ઓફ ઑક્સફર્ડ એ ઈંગ્લેન્ડનાં શહેર ઑક્સફર્ડમાં આવેલું એક જગવિખ્યાત વિશ્વવિદ્યાલય છે, જે હાલમાં હયાત હોય તેવા સૌથી જુના વિશ્વવિદ્યાલયોમાં ત્રીજા ક્રમે આવે છે, અને અંગ્રેજી બોલતા દેશોમાં સૌથી જુનું છે..
physical-object;['લિટમસ પરીક્ષણ'];લિટમસ પરીક્ષણ રસાયણશાસ્ત્રમાં કોઈપણ પદાર્થ એસિડિક છે કે બેઝિક તે જાણવા માટેનો સૌથી જૂનું અને સરળ પરીક્ષણ છે.
physical-object;['હેલિકોપ્ટર'];હેલિકાપ્ટર એક આકાશમાં ઉડી શકતું વાહન છે, જેને એક અથવા અધિક ક્ષૈતિજ રોટર દ્વારા ઊપરની દિશામાં ઉડાડી શકાય છે.
physical-object;['જેટ વિમાન'];જેટ વિમાન જેટ એંન્જિન વડે ચાલતું એક પ્રકારનું વાયુયાન છે.
physical-object;['રમકડું'];રમકડું એ એક એવી વસ્તુ છે કે જેનો ઉપયોગ કરવાથી મનોરંજન પ્રાપ્ત કરી શકાય છે.
physical-object;['યાટ', 'ક્રીડાનૌકા'];યાટ એક મનોરંજન માટેની નૌકા છે.
physical-object;['કૃત્રિમ પેસમેકર'];પેસમેકર એક ચિકિત્સા ઉપકરણ છે જેમાં હૃદયના ધબકારાને નિયંત્રિત કરવા માટે વિદ્યુત આવેગોનો ઉપયોગ કરવામાં આવે છે, જેના માટે હૃદયની માંસપેશીઓ સાથે સંપર્ક કરી ઇલેક્ટ્રોડને તેમાં પહોંચાડવામાં આવે છે.
physical-object;['ખગોળીય દૂરબીન'];દૂરબીન એક એવું ઉપકરણ હોય છે જેનો ઉપયોગ દૂર આવેલ વસ્તુ અથવા વિદ્યુતચુંબકીય વિકિરણોનું અવલોકન કરવા માટે થાય છે.
physical-object;['બેરોમીટર'];બેરોમીટર એ વાતાવરણલક્ષી દબાણને માપવા માટે ઉપયોગમાં લેવામાં આવતુ એક વૈજ્ઞાનિક સાધન છે.
physical-object;['અલ્ટીમીટર'];અલ્ટીમીટર એ દરિયાની સપાટીથી જે તે સ્થળની ઊંચાઈ માપવા માટેનું ઉપકરણ છે.
physical-object;['સંગીત વાદ્ય', 'વાજું'];સંગીતનાં સાધન ની બનાવટ કે તેનો ઉપયોગ સંગીતનાં સૂરો ઉત્પન્ન કરવા માટે કરવામાં આવે છે.
physical-object;['કમ્પ્યુટર હાર્ડવેર'];પર્સનલ કમ્પ્યુટર કમ્પ્યુટર હાર્ડવેરનું બનેલું છે, જે મલ્ટિપલ ફિઝિકલ કમ્પોનન્ટ્સ છે, જેમાં કમ્પ્યુટરની કામગીરી બજાવતા અસંખ્ય સોફ્ટવેર લોડ કરી શકાય છે.
physical-object;['પ્રકાશ'];આંખમાં સંવેદના ઉપજાવતાં વિદ્યુતચુંબકીય વિકિરણને પ્રકાશ કહેવાય છે.
physical-object;['ક્રિકેટનો દડો', 'ક્રિકેટનો બૉલ'];ક્રિકેટ દડો એ એક પ્રકારનો સખત અને કડક દડો છે જેનો ઉપયોગ ક્રિકેટ રમવા માટે થાય છે.
physical-object;['મશક વાજું'];મશક વાજું એ એક પશ્ચિમી વાદ્ય યંત્ર છે.
physical-object;['કપડાં'];કપડાં પહેરવા એ મોટાભાગના માનવ સમાજોનું એક લક્ષણ છે, સામગ્રીઓની વિશાળ વિવિધતા ધરાવતો આ એક પ્રકાર છે જે શરીરને ઢાંકે છે.
physical-object;['બાઇનૉક્યુલર', 'દ્વિનેત્રીય દૂરબીન', 'બાયનોક્યુલર'];બાઇનૉક્યુલર એટલે બાજુ બાજુમાં જોડેલાં બે દૂરબીન.
physical-object;['ઉષ્ણતામાપક', 'થર્મોમીટર', 'તાપમાપક'];થર્મોમીટર છે એવું સાધન છે કે જે વિવિધ સિદ્ધાંતોના ઉપયોગ વડે ઉષ્ણતામાન કે ઉષ્ણતામાનની માત્રાનું માપન કરે છે.
physical-object;['બોલપેન'];બોલપેન એ આધુનિક યુગમાં હાથ વડે લખવા માટેનું મુખ્ય સાધન છે.
physical-object;['લેસર'];લાઇટ એમ્પ્લીફિકેશન બાય સ્ટિમ્યુલેટેડ એમિસન ઓફ રેડિયેશન એ ઇલેક્ટ્રોમેગ્નેટિક વિકિરણ સ્રાવ માટેની, ખાસ કરીને ઉત્તેજિત સ્ત્રાવની પ્રક્રિયા દ્વારા થતા પ્રકાશ અથવા દેખાતા પ્રકાશની પ્રક્રિયા છે.
physical-object;['કાર્બ્યુરેટર'];કાર્બ્યુરેટર, સામાન્ય બોલીમાં કાર્બોરેટર તરીકે ઓળખાતો પુર્જો, એક એવી યાંત્રિક રચના છે, જે આંતરિક દહન એન્જીનમાં મોકલવા માટે હવા અને જ્વલનશીલ પ્રવાહીનું યોગ્ય પ્રમાણમાં મિશ્રણ કરે છે.
physical-object;['વેક્યૂમ પંપ'];વેક્યૂમ પંપ એક એવું ઉપકરણ છે જે સીલબંધ જગ્યામાંથી ગેસના પરમાણુઓને દુર કરે છે જેથી આંશિક વેક્યૂમ થઈ શકે.
physical-object;['વિદ્યુત કોષ'];વિદ્યુત કોષ અથવા બેટરી એ એક ઉપકરણ છે જે એક અથવા વધુ ઇલેક્ટ્રોકેમિકલ કોષોનો સમાવેશ કરે છે જેમાં બાહ્ય જોડાણ આપેલા હોય છે અને આ જોડાણ વીજળીનાં ઉપકરણો જેવા કે ફ્લેશલાઇટ્સ, મોબાઇલ ફોન્સ અને ઇલેક્ટ્રિક કારો ને આપવામાં આવે છે.
physical-object;['માછલીઘર', 'જળચર ઘર'];માછલીઘર એટલે કે પ્રાણીઓને કુદરતી અવસ્થામાં રાખવાની જગ્યા છે જેની એક બાજુ પારદર્શક હોય છે અને જેમાં પાણીમાં થતી વનસ્પતિ કે પ્રાણીઓ રાખવામાં આવે છે.
physical-object;['મધરબોર્ડ'];મધરબોર્ડ એ કોમ્પ્યુટરનું મુખ્ય પ્રિન્ટેડ સર્કિટ બોર્ડ ‍‍‍ છે જેમાં કોમ્પ્યુટરના મહત્વના ભાગો જોડાયેલા હોય છે અને સમાવેશ થાય છે.
physical-object;['કિલ્લો', 'કિલ્લેબંદી', 'ગઢ'];કિલ્લો એ લશ્કરી બાંધકામ અથવા મકાન, દિવાલ કે આડશ રૂપે ઊભું કરવામાં આવેલું આવરણ છે જે યુદ્ધમાં પ્રદેશોના સંરક્ષણ માટે બનાવવામાં આવ્યું હોય છે અને તેનો ઉપયોગ રાજશાહીકાળમાં બાહરી લશ્કરી હુમલાઓથી રક્ષણ મેળવવા માટે કરવામાં આવતો હતો.
physical-object;['હથિયારો', 'શસ્ત્ર'];હથિયાર એ માનવ, પશુ કે ઇમારતોને નુકસાન કે હાનિ પહોંચાડવા માટે વપરાતુ સાધન છે.
physical-object;['ઇન્ટરનેટ', 'આંતરજાળ'];ઇન્ટરનેટ એ કોમ્પ્યુટર્સ વચ્ચેનું નેટવર્ક છે, જેમાં વપરાશકાર વિવિધ ચેનલથી માહિતીની આપ-લે છે.
physical-quality;['રેખા'];રેખા એ એક બિંદુથી બીજા બિંદુ સુધીનો માર્ગ છે.
physical-region;['મેઘધનુષ', 'મેઘધનુષ્ય'];મેઘધનુષ આકાશમાં ખાસ કરીને ચોમાસા દરમિયાન જોવા મળે છે.
political-geographic-object;['રોમાનિયા'];રોમાનિયા જે દક્ષિણપૂર્વ અને મધ્‍ય યુરોપમાં, બાલ્‍કન દ્વિપકલ્‍પની ઉત્તરમાં, દાનુબે ના નીચેના વિસ્‍તારમાં, કાર્પેથીયન આર્કની અંદર અને બહારના ભાગમાં, કાળા સમુદ્ર[9]ની સીમા પર સ્‍થિત દેશ છે.
political-geographic-object;['ક્યોટો'];ક્યોટો જાપાનનું એક શહેર છે.
political-geographic-object;['દિલ્હી', 'délhi', 'દિલ્લી', 'નવી દિલ્હી'];દિલ્હી - સ્થાનિક રીતે દિલ્લી ના અને નેશનલ કેપિટલ ટેરિટરી ઓફ દિલ્હી ના અધિકૃત નામથી પણ જાણીતું દિલ્હી એ ભારતનું બીજા ક્રમનું સૌથી મોટું મહાનગર છે.
political-geographic-object;['લોસ એન્જેલસ', 'લોસ એન્જલસ'];લોસ એન્જેલસ અમેરિકાના દક્ષિણ કેલિફોર્નિયામાં આવેલું શહેર છે.
political-geographic-object;['સ્ટુટગાર્ટ', 'stuttgart'];ઢાંચો:Infobox German Location
political-geographic-object;['મક્કા'];મક્કા શહેર અરબસ્તાન મા આવેલુ પવિત્ર ધામ છે.
political-geographic-object;['તમિલનાડુ', 'támil nadu', 'તમિલ નાડુ', 'તામિલ નાડુ'];તમિલનાડુ દક્ષિણ-ભારતના ચાર રાજ્યોમાંનું એક રાજ્ય છે.
political-geographic-object;['લીડ્ઝ', 'leeds'];લીડ્ઝ એ ઇંગ્લેન્ડના વેસ્ટ યોર્કશાયરનું શહેર અને મેટ્રોપોલિટન બરો છે.
political-geographic-object;['ઉત્તર કોરિયા'];ઉત્તર કોરિયા, આધિકારિક રૂપે કોરિયા જનવાદી લોકતાંત્રિક ગણરાજ્ય પૂર્વી એશિયા માં કોરિયા પ્રાયદ્વીપ ના ઉત્તરમાં વસેલો દેશ છે.
political-geographic-object;['નોર્વે', 'નૉર્વે'];નૉર્વે યુરોપ મહાદ્વીપમાં સ્થિત એક દેશ છે.
political-geographic-object;['નેધરલેંડ', 'નેધરલેન્ડ'];નેધરલેંડ જેને હોલેંડના નામથી પણ ઓળખવામાં આવે છે, તે યુરોપ ખંડ નો એક પ્રમુખ દેશ છે.
political-geographic-object;['જાપાન'];જાપાન એશિયાના પૂર્વ છેડે આવેલો દ્વિપદેશ છે.
political-geographic-object;['મોનૅકો', 'મોનેકો', 'મોનાકો'];મોનૈકો ની રાજકુમારશાહી યુરોપ મહાદ્વીપ માં સ્થિત એક દેશ છે.
political-geographic-object;['સમોઆ'];સમોઆ, અધિકૃત રીતે સ્વતંત્ર સમોઆ રાજ્ય, /səˈmoʊə/ પહેલાં પશ્ચિમી સમોઆ અને જર્મન સમોઆ તરીકે ઓળખાતા હતા, જે પ્રશાંત મહાસાગરની દક્ષિણ દિશામાં આવેલો એક દેશ છે.
political-geographic-object;['મલેશિયા'];મલેશિયા દક્ષિણ પૂર્વ એશિયામાં આવેલો એક ઉષ્ણકટિબંધીય દેશ છે.
political-geographic-object;['નોર્ધન આયર્લેન્ડ', 'ઉત્તરી આયર્લૅન્ડ'];ઉત્તરી આયર્લૅન્ડ એ યુનાઈટેડ કિંગડ્મના ચાર દેશો માંહેનો એક છે.
political-geographic-object;['સ્વિત્ઝરલેન્ડ', 'સ્વિત્ઝરલૅન્ડ', 'સ્વિટ્ઝર્લૅન્ડ', 'ch', 'સ્વીત્ઝરલેંડ'];સ્વિત્ઝરલૅન્ડ મધ્ય યુરોપ નો એક દેશ છે.
political-geographic-object;['સોવિયેત યુનિયન'];સોવિયેત યુનિયન, ૧૯૨૨ થી ૧૯૯૧ સુધી અસ્તિત્વ ધરાવતો સામ્યવાદી દેશ હતો.જે ૧૯૧૭ ની રશિયન ક્રાંતિ અને ૧૯૧૮ થી ૧૯૨૧ નાં આંતરવિગ્રહો પછી,રશિયન સામ્રાજ્યમાંથી રચાયેલ.
political-geographic-object;['લક્ઝેમ્બર્ગ', 'લક્ઝમબર્ગ'];લક્ઝમબર્ગ યુરોપ મહાદ્વીપમાં આવેલો એક દેશ છે.
political-geographic-object;['યુનાઇટેડ કિંગડમ', 'ઈંગલૈંડ', 'યુનાઇટેડ કિંગડમ ઓફ ગ્રેટ બ્રિટન અને ઉત્તરીય આયર્લેન્ડ', 'ઇંગ્લેન્ડ', 'યુ.કે.', 'યુનાઇટેડ કિંગ્ડમ'];યુનાઇટેડ કિંગડમ ઓફ ગ્રેટ બ્રિટન અને ઉત્તરીય આયર્લેન્ડ તરીકે ઓળખાય છે.
political-geographic-object;['સ્પેન', 'સ્પેઇન'];સ્પેન યુરોપનો એક દેશ છે.
political-geographic-object;['સાઉદી અરેબિયા'];સાઉદી અરેબિયા મધ્યપૂર્વમાં સ્થિત એક મુસ્લિમ દેશ છે.
political-geographic-object;['ચૅડ', 'ચેડ', 'ચાડ'];ચૅડ (ફ્રેંચ: Tchad), (અરેબિક:تشاد), Tshād), સાંવિધાનીક નામ ચૅડ ગણતંત્ર, ચારે બાજુથી જમીની સીમાથી ઘેરાયેલો મધ્ય આફ્રિકામાં આવેલો દેશ છે.
political-geographic-object;['તાજિકિસ્તાન', 'તજાકિસ્તાન', 'તાજ઼િકિસ્તાન', 'તાજીકિસ્તાન'];તાજ઼િકિસ્તાન મધ્ય એશિયા માં સ્થિત એક દેશ છે જે ચારોં તરફથી જ઼મીન થી ઘેરાયેલ છે.
political-geographic-object;['બેલારુસ'];બેલારૂસ યુરોપ મહાદ્વીપ મેં સ્થિત એક દેશ હૈ૤ રાજધાની - મિન્‍સ્‍ક, ભાષા - રૂસી, બેલારૂસી.
political-geographic-object;['અઝેરબીજાન', 'અજરબેયજાન', 'અઝરબૈજાન'];અઝેરબીજાન, કોકેશસ ના પૂર્વી ભાગ માં આવેલ એક ગણરાજ્ય છે, પૂર્વી યુરોપ અને એશિયા ની મધ્યમાં વસેલ ભૌગોલિક રૂપે આ એશિયા નો જ ભાગ છે.
political-geographic-object;['કીરગીઝસ્તાન', 'કિર્ગિસ્તાન', 'કિરગિઝ', 'કિર્ગિઝિસ્તાન', 'કિર્ગિઝ્સ્તાન'];કિર્ગિસ્તાન, આધિકારિક તૌર પર કિર્ગિઝ ગણતંત્ર, મધ્ય એશિયા માં સ્થિત એક દેશ છે.
political-geographic-object;['ઉઝબેકિસ્તાન', 'ઉઝ્બેકિસ્તાન'];એશિયાના કેન્દ્રિય ભાગમાં સ્થિત એક દેશ છે જે ચારે તરફથી જમીનથી ઘેરાયેલો છે.
political-geographic-object;['માલી', 'malí'];== સંદર્ભો ==
political-geographic-object;['કઝાકિસ્તાન'];કઝાકિસ્તાન યૂરેશિયામાં સ્થિત એક દેશ છે.
political-geographic-object;['મંગોલિયા'];મંગોલિયા પૂર્વ અને મધ્ય એશિયા માં એક લેંડલૉક દેશ છે.
political-geographic-object;['મિઝોરી', 'missouri'];ઢાંચો:Infobox U.S. state
political-geographic-object;['નેબ્રાસ્કા', 'nebraska'];ઢાંચો:Infobox U.S. state
political-geographic-object;['બેલ્જિયમ', 'બેલ્જીયમ'];બેલ્જીયમ યુરોપ ખંડમાં આવેલ એક દેશ છે, જેની રાજધાની બ્રસેલ્સ ખાતે આવેલ છે.
political-geographic-object;['સ્વાઝીલેન્ડ', 'સ્વાઝીલેંડ', 'સ્વાઝિલેન્ડ'];સ્વાઝીલેન્ડ, અધિકૃત રીતે સ્વાઝીલેન્ડના રાજ્ય અને કેટલીક વખત ન્ગ્વેને અથવા સ્વાતીની તરીકે પણ ઓળખાતો આ દેશ દક્ષિણી આફ્રિકામાં ચોતરફ ભૂમિ સરહદ ધરાવતો દેશ છે, તેની ઉત્તર, દક્ષિણ અને પશ્ચિમ સરહદે દક્ષિણ આફ્રિકા અને પૂર્વે મોઝામ્બિક છે.
political-geographic-object;['પાકિસ્તાન', 'કરાંચી'];પાકિસ્તાન દક્ષિણ એશિયામાં સ્થિત દેશ છે.
political-geographic-object;['બાંગ્લાદેશ'];બાંગ્લાદેશ એશિયા ખંડમાં આવેલો ભારત દેશનો પડોશી દેશ છે.
political-geographic-object;['અફઘાનિસ્તાન', 'અફગાનિસ્તાન'];અફઘાનિસ્તાન મધ્ય એશિયાનો દેશ છે.
political-geographic-object;['ઑસ્ટ્રિયા', 'ઓસ્ટ્રિયા'];ઑસ્ટ્રિયા પ્રજાસત્તાક એક જમીનથી ઘેરાયેલો યુરોપની મધ્યમાં આવેલો દેશ છે.
political-geographic-object;['લાઓસ'];લાઓસ અગ્નિ એશિયામાં સ્થિત એક લેંડલૉક દેશ છે.
political-geographic-object;['બર્મા', 'મ્યાનમાર', 'બ્રહ્મદેશ', 'મ્યાંમાર'];મ્યાન્માર, મ્યાંમાર, અથવા બ્રહ્મદેશ એશિયાનો એક દેશ છે.
political-geographic-object;['કમ્બોડીયા', 'કમ્બોડિઆ'];કંબોડિયા જેને પહલે કંપૂચિયા ના નામે ઓળખવામાં આવતો હતો અગ્નિ એશિયામાં આવેલો એક દેશ છે.
political-geographic-object;['ઑસ્ટ્રેલિયા', 'ઓસ્ટ્રેલિયા'];ઑસ્ટ્રેલિયા તરીકે ઓળખાતો દેશ, કે જેનું મુળ નામ કોમનવેલ્થ ઓફ ઑસ્ટ્રેલિયા છે, તે પૃથ્વીનાં દક્ષિણ ગોળાર્ધમાં આવેલો છે.
political-geographic-object;['મકાઉ', 'મકાઓ'];મકાઉ અધિકૃત નામે ચીનના પ્રજાસત્તાકનો મકાઉ વિશેષ વહીવટી પ્રદેશ એ પુર્વ એશિયામાં પર્લ નદીના પશ્ચિમી કિનારે સ્થિત એક સ્વાયત પ્રદેશ છે.
political-geographic-object;['ભૂતાન', 'ભૂટાન'];ભૂતાન એટલે કે ભૂતાનનું રાજ્ય, હિમાલય પર વસેલો દક્ષિણ એશિયાનો એક નાનકડો અને મહત્વપૂર્ણ દેશ છે.
political-geographic-object;['તુર્કમેનિસ્તાન', 'તુર્ક્મનિસ્તાન'];તુર્કમેનિસ્તાન મધ્ય એશિયા માં સ્થિત એક તુર્કિક દેશ છે.
political-geographic-object;['જ્યોર્જીયા', 'જોર્જા', 'ગુર્જિયા', 'ગુર્જિસ્તાન'];જૉર્જિયા — ટ્રાંસકાકેશિયા ક્ષેત્ર ના કેંદ્રવર્તી તથા પશ્ચિમી અંશ માં કાળા સમુદ્ર ની દક્ષિણ-પૂર્વી કિનારે સ્થિત એક રાજ્ય છે.
political-geographic-object;['હોન્ડુરાસ', 'દોન્ડૂરાસ', 'હોન્ડુરસ', 'honduras'];હોન્ડુરાસ એ મધ્ય અમેરિકામાં આવેલો એક પ્રજાસત્તાક દેશ છે.
political-geographic-object;['હંગેરી'];હંગરી યુરોપ માં સ્થિત યુરોપિય સંઘનો એક સદસ્ય દેશ છે.
political-geographic-object;['પોલેંડ'];પોલેંડ આધિકારિક રૂપે પોલેંડ ગણરાજ્ય એક મધ્ય યુરોપિય રાષ્ટ્ર છે.
political-geographic-object;['ટાન્ઝાનિયા', 'ટાન્ઝાનિઆ', 'તાંઝાનિયા'];ટાન્ઝાનિયા યુનાઇટેડ રીપબ્લિક ઓફ ટાન્ઝાનિયા અને સ્વાહિલી ભાષામાં જમ્હુરી યા મુઉંગાનો વા ટાન્ઝાનિયા તરીકે ઓળખાય છે.
political-geographic-object;['વિએટનામ', 'વિયેતનામ'];વિયેટનામ દક્ષિણપૂર્વ એશિયા ના હિન્દચીન પ્રાયદ્વીપ ના પૂર્વી ભાગ માં સ્થિત એક દેશ છે.
political-geographic-object;['જર્મની'];જર્મની, સત્તાવાર રીતે ફેડરલ રિપબ્લિક ઓફ જર્મની એ મધ્ય યુરોપનો એક દેશ છે.
political-geographic-object;['સુદાન', 'સૂડાન', 'sudan'];સુદાન, આધિકૃત રીતે સુદાન ગણરાજ્ય, ઉત્તર પૂર્વ આફ્રિકામાં સ્થિત એક દેશ છે.
political-geographic-object;['ઇજિપ્ત', 'મિસ્ર', 'મિસર'];મિસર અથવા ઇજિપ્ત ઉત્તર આફ્રિકા સ્થિત એક દેશ છે.
political-geographic-object;['ગિયાના', 'ગયાના', 'ગુયાના'];ગુયાના એ દક્ષિણ અમેરિકા ખંડમાં ઉત્તર કિનારા પર આવેલો એક દેશ છે.
political-geographic-object;['સુરીનામ'];સૂરીનામ કે ડચ ગિયાના એ દક્ષિણ અમેરિકામાં આવેલો એક દેશ છે.
political-geographic-object;['વેનેઝુએલા'];વેનેઝુએલા એ દક્ષિણ અમેરિકામાં આવેલો એક દેશ છે.
political-geographic-object;['અલ્જીરિયા', 'અલજીરિયા', 'અલ્જીરિઆ'];અલ્જીરિયા, ભૂમધ્ય સમુદ્રના કાંઠે વસેલો આફ્રિકા ખંડનો એક મહત્ત્વનો દેશ છે.
political-geographic-object;['ભારત', 'ઈન્ડિયા', 'ઇન્ડિયા', 'ભારત પ્રજાસત્તાક', 'ભારત વર્ષ', 'હિંદુસ્તાન', 'હિન્દુસ્તાન'];ભારતીય ગણરાજ્ય એ અનેક સાંસ્કૃતિક વિવિધતાઓ ધરાવતો દક્ષિણ એશિયા સ્થિત દુનિયાનો સૌથી મોટું લોકશાહી તંત્ર ધરાવતો દેશ છે.
political-geographic-object;['ઈટલી', 'ઇટાલી', 'ઇટલી'];ઇટલી યુરોપ મહાદ્વીપની દક્ષિણમાં સ્થિત એક દેશ છે.
political-geographic-object;['ચીલી', 'ચિલી'];ચિલી દક્ષિણ અમેરિકીમાં એંડિઝ પર્વત અને પ્રશાંત મહાસાગર ની વચ્ચે સ્થિત લાંબો અને સાંકડો દેશ છે.
political-geographic-object;['ઈંડોનેશિયા', 'ઇન્ડોનેશિયા', 'ઇન્ડોનેશિઆ'];ઇંડોનેશિયા પૂર્વી જંબુદ્વીપનો એક પ્રમુખ દેશ છે.
political-geographic-object;['ગ્રીસ'];ગ્રીસ અથવા યૂનાન યુરોપ મહાદ્વીપ માં સ્થિત દેશ છે.
political-geographic-object;['યુક્રેન', 'યૂક્રેઇન'];યુક્રેન યુરોપ ખંડના પૂર્વ ભાગમાં આવેલો એક દેશ છે.
political-geographic-object;['મેક્સિકો'];મેક્સિકો એ ઉત્તર્ અમેરિકાનું એક સ્વતંત્ર સંવૈધાનિક ગણતંત્ર છે.
political-geographic-object;['આર્મેનિયા', 'આર્મીનિયા'];આર્મેનિયા યુરોપ ના કાકેશસ ક્ષેત્ર માં સ્થિત એક દેશ છે.
political-geographic-object;['ઈરાક', 'ઇરાક'];ઇરાક એશિયા ખંડમાં સ્થિત એક દેશ છે.
political-geographic-object;['દક્ષિણ કોરિયા'];દક્ષિણ કોરિયા, આધિકારિક રીતે કોરિયા ગણરાજ્ય પૂર્વી એશિયામાં કોરિયાઈ પ્રાયદ્વીપ ના દક્ષિણી ભાગમાં સ્થિત એક દેશ છે.
political-geographic-object;['ગેમ્બિયા', 'ગામ્બિયા', 'ગામ્બિઆ'];ગામ્બિયા, સતાવાર નામે ગામ્બિયા ગણરાજ્ય એ એક પશ્ચિમ આફ્રિકી રાષ્ટ્ર છે.
political-geographic-object;['ઘાના'];ઘાના, સાંવિધાનિક નામ ઘાના ગણતંત્ર, પશ્ચિમ આફ્રિકામાં આવેલો દેશ છે.
political-geographic-object;['નાઈજેરિયા', 'નાઇજીરીયા', 'નાઇજીરિયા'];નાઇજીરીયા, સાંવિધાનીક નામ ફેડરલ રિપબ્લિક ઓફ નાઇજીરીયા, એક સમવાયી સાંવિધાનીક ગણતંત્ર છે જેમાં ૩૬ રાજ્યો અને એક સમવાયી રાજધાની પ્રદેશનો સમાવેશ થાય છે.
political-geographic-object;['નાઈજર', 'નાઇજર', 'níger'];નાઈજર, સાંવિધાનીક નામ નાઈજર ગણતંત્ર, ચારે બાજુથી જમીની સીમા ધરાવતો પશ્ચિમ આફ્રિકામાં આવેલો દેશ છે જેનું નામ નાઈજર નદી પરથી પડ્યું છે.
political-geographic-object;['ફ્રાન્સ', 'ફ્રાઁસ', 'ફ્રાંસ'];ફ્રાન્સ યુરોપ ખંડના નૈઋત્ય ખૂણામાં આવેલો એક દેશ છે.
political-geographic-object;['ઈક્વેડોર', 'એક્વાડોર', 'ec', 'ecu', 'ecuador', 'república del ecuador'];એક્વાડોર, આધિકારિક રીતે એક્વાડોર ગણરાજ્ય, દક્ષિણ અમેરિકામાં સ્થિત એક પ્રતિનિધિ લોકતાંત્રિક ગણરાજ્ય છે.
political-geographic-object;['આયરલેંડનું ગણતંત્ર', 'આયર્લેન્ડ'];આયરલેંડ યુરોપ મહાદ્વીપ નો એક નાનકડો દેશ છે જેની ચારે તરફ પ્રકૃતિનું સૌન્દર્ય ફેલાયેલ છે.
political-geographic-object;['મડાગાસ્કર', 'મેડાગાસ્કર'];મડાગાસ્કર, અથવા મેડાગાસ્કર ગણરાજ્ય હિન્દ મહાસાગરમાં આફ્રિકા ખંડના પૂર્વીય તટ પર આવેલા એક દ્વીપ પર વસેલો દેશ છે.
political-geographic-object;['માલદીવ્સ', 'માલદિવ્સ'];માલદીવ્સ, અધિકૃત રીતે રીપબ્લિક ઓફ માલદિવ્સ, દક્ષિણ એશિયામાં હિંદ મહાસાગરમાં આવેલો ટાપુ દેશ છે.
political-geographic-object;['ફીલીપાઈન્સ', 'ફિલિપીન્ઝ', 'ફ઼લીપીન્સ', 'ફિલિપિન્સ'];ફિલીપીન્સ, આધિકારિક રીતે ફિલીપીન્સ ગણતંત્ર, દક્ષિણ પૂર્વ એશિયામાં સ્થિત એક દેશ છે.
political-geographic-object;['સ્વિડન', 'સ્વીડન'];સ્વિડન અથવા સ્વીડેન યુરોપ મહાદ્વીપમાં સ્થિત એક દેશ છે.
political-geographic-object;['રાજધાની', 'પાટનગર'];રાજકીય વહીવટી એકમના મુખ્ય મથક ને રાજધાની કે પાટનગર કહે છે.
