abstract-quality;['шәхси кемлек'];Мин төшенчәсе, Кемлек, Үзаң, Үзбәяләү һәм Үзбилгеләү төшенчәләре белән бутамагыз.
non-physical-collection;['диалектик материализм', 'диамат'];Диалектик материализм яки Диама́т - материянең беренчеллеген раслаучы, һәм аның хәрәкәтенең һәм үсешенең 3 төп законын нигезенә салучы фәлсәфи мәктәп.
non-physical-collection;['ислам', 'íslam', 'мөселманлык', 'möselman', 'ислам дине', 'мөселман дине'];Бу мәкаләнең латин әлифбасындагы игезәге бар.
non-physical-collection;['яһүд дине', 'иудаизм', 'яһүди', 'яһүдилек', 'яһүдлек', 'яһүдләрнең дине'];Бу мәкаләнең латин әлифбасындагы игезәге бар.Яһүдле́к, яки Иудаи́зм (бор.-грек.
non-physical-collection;['стоиклык', 'стоицизм'];Стоиклык, яки стоицизм — Рим һәм грек дөньясында безнең эраның III гасырына кадәр чәчәк аткан эллинистик фәлсәфә мәктәбе.
non-physical-collection;['христианлык', 'христиан', 'христиан дине', 'xristian', 'xristian dine', 'христианнар'];Бу мәкаләнең латин әлифбасындагы игезәге бар.
non-physical-collection;['конфуцийчылык'];Конфуцийчылык — Конфуций тәгълимате нигезендә барлыкка килгән көнчыгыш дин.
non-physical-collection;['протестантлык', 'протестантизм', 'протестантчылык', 'protestantlıq', 'pıratistanlıq', 'протестант дине'];Протестантлык — христиан диненең өченче төп тармагы.
non-physical-collection;['вишнуизм'];Вишнуи́зм, яки вайшнави́зм
non-physical-place;['кабер'];Кабер — үлгәннең, ешрак кешенең, күмелгән урыны.
non-physical-place;['зодиак билгеләре', 'зодиак билгесе'];Зодиак билгеләре — астрологиядә эклиптикадагы 12 утыз градуслы сектор.
non-physical-place;['кыз'];Кыз — язда була торган көн белән төн тигезлегеннән исәпләгәндә эклиптиканың 150°дән 180°гә кадәрге секторына туры килүче алтынчы зодиак билгесе.
organized-collection;['галактика', 'galaktika'];Гала́ктика – гравитация белән бәйләнгән йолдызлардан, йолдызарасы газлар, тузаннан һәм караңгы материядән торган система.
organized-collection;['арифметик прогрессия'];Арифметик прогрессия — икенчесеннән башлап һәр бер сан үзеннән алдагы санга шул рәт өчен үзгәрмәс бер сан d ны кушудан хасил булган саннар рәте.
organized-collection;['китапханә', 'bibliotek', 'kitapxanä', 'библиотек'];Китапханә — басма һәм язма истәлекләрне саклаган, аларны ачык куллану мөмкинлеге булган махсус бина.
organized-collection;['халыкара хокук', 'xalıqara xoquq'];Халы́кара хоку́к – чит ил элементлары һәм тәртип актлары катнашындагы хокук бәйләнешләрен үз эченә алучы һәм аларны тәртиптә тотучы гомуми термин.
organized-collection;['күренмә нурланыш', 'күренүче яктылык', 'kürenä torğan nurlar', 'күренүче нурланыш'];Күренмә нурланыш - спектрның якынча 380 нанометрдан 780 нм хәтле дулкын озынлыклы өлешен алып торучы кеше күзе кабул итә алган электромагнит дулкыннар.
organized-collection;['киек каз юлы күренеше'];Киек каз юлы (лат.
organized-collection;['ngc 292'];NGC 292 — Томанлыклар һәм йолдыз тупланмалары яңа гомуми каталогында теркәлгән галактика.
organized-collective;['этнос', 'этник төркем', 'etnos', 'qawem', 'qäwem', 'кавем'];Э́тнос (грек.
organized-collective;['иҗтимагый төркем', 'җәмгыяви төркем', 'социаль төркем', 'cämäğät', 'ictimaği törkem', 'җәмәгать'];Иҗтимагый фәннәрдә, бер-берсе белән элемтәдә торучы, уртак үзенчәлекләре булган һәм бердәмлек хисенә ия булган кешеләр җәмгыятенең ике яки күбрәк вәкиленнән торган төркемне социаль төркем яки иҗтимагый төркем дип атыйлар.
parameter;['тизләнеш', 'tizläneş'];Тизләнеш (гадәттә
parameter;['төн уртасы'];Төн уртасы - тәүлекнең алмашуы белән бәйле вакыт аралыгы.
parameter;['даун авыруы', 'даун синдромы'];Даун авыруы — тумыштан килгән олигофрениянең бер формасы, монда баланың акылдан язганлык белән бергә аның тышкы кыяфәте дә үзенә хас күренешендә була.
parameter;['смог', 'smog'];Смог
parameter;['тизлек', 'tizlek'];Тизлек (
parameter;['аллергия', 'алиргия', 'allergiä'];Аллергия (бор.
parameter;['касык педикулезы', 'касык бетләре'];== Касык педикулезы == Касык бетләре — кешеләрдә очрый торган паразитларның бетләр группасына керүче бер төре.
parameter;['иммунитет'];Иммунитет (лат.
parameter;['кояш чыгу', 'таң', 'qoyaş çığu', 'tañ'];Коя́ш чыгу́ — офыкта кояш чыгуы.
parameter;['кояш чыгу', 'таң', 'qoyaş çığu', 'tañ'];Таң - ул кояшның бер өлешенең горизонтта күренә башлавы белән башлана.
parameter;['өйлә', 'төш', 'төш вакыты'];Өйлә яки төш вакыты - көннең уртасы булып тора.
parameter;['i̇kençe ğälämi tizlek', 'ikençe ğälämi tizlek', 'икенче галәми тизлек', 'икенче космик тизлек'];İkençe ğälämi tizlek - planeta gravitatsiä tartılışın ciñär öçen häm planeta tiräsendäge yomıq orbitadan kitär öçen obyektnıñ iñ keçkenä tizlege.
parameter;['ешлык'];Ешлык — вакыт берәмлеге эчендә ясалган тулы цикллар санына тигез булган периодик процессларны тасвирлаучы физик зурлык.
parameter;['альбедо', 'albedo'];Альбедо — өслекнең диффуз чагылу сәләте сыйфатламасы.
parameter;['яктылык тизлеге', 'yaqtılıq tizlege'];Яктылык тизлеге — вакуумда электромагнитик дулкыннар таралуы тизлегенең абсолют зурлыгы.
parameter;['кояш бату', 'qoyaş batu'];Кояш бату — офыкта кояшның батуы.
parameter;['герц'];Герц — СИ системасында ешлык үлчәү берәмлеге.
phenomenon;['регенерация'];Регенерация (лат.
phenomenon;['plazma', 'плазма'];Plazma - öleşçä yäki tulısınça ionlaşqan gaz, neytral atomnar, molekulalar yäki qorğılı kisäkçälärdän tora.
phenomenon;['зәгыйфь тәэсир итешү', "zäğif tä'sir iteşü", 'zäğif täesir iteşü'];Зәгыйфь тәэсир итешү яки зәгыйфь төш тәэсир итешүе (tat.lat.
phenomenon;['яктылык', 'якты', 'yaqtılıq'];Яктылык — кеше күзе кабул итә алучы кызган яки ярсынган халәттәге матдә тарафыннан таратылучы электромагнитик нурланыш.
phenomenon;['көчле тәэсир итешү', "köçle tä'sir iteşü", 'köçle täesir iteşü', 'төш тәэсир итешүе'];Көчле тәэсир итешү яки төш тәэсир итешүе (төсле тәэсир итешү) (tat.lat.
phenomenon;['фундаменталь тәэсир итешүләр', "fundamental' tä'sir iteşülär"];Фундаменталь тәэсир итешүләр — элементар кисәкчекләрнең һәм алардан торган җисемнәрнең сыйфаты буенча аерылып торган тәэсир итешүләре.
phenomenon;['gravitatsiä manövrı', 'гравитация манёвры'];Gravitatsiä manövrı - kük cisemnäre gravitatsiä qırları tä'sirendä ğälämi apparatnıñ tizlegen arttıru, kimetü yäki oçış yünäleşen üzgärtü.
phenomenon;['ковалент бәйләнеш', 'kovalent bäyläneş'];Ковалент бәйләнеш
phenomenon;['электр кыры'];Электр кыры (tat.lat.
phenomenon;['электр агымы', 'электр агымы көче', 'агым', 'elektr ağımı', 'электр тогы', 'электрик агым'];Электр агымы — ирекле корылмалы кисәкчәләрнең, мәсәлән, электр кыры тәэсирендә билгеле тәртиптә компенсацияләнмәгән хәрәкәте.
phenomenon;['электр', 'elektr'];Электр — электр коргыларының хасил булуы, тәэсир итешүе һәм хәрәкәте белән бәйләнгән күренешләр җыелмасы.
phenomenon;['җылылык', 'cılılıq'];Җылылык - әйләнә-тирәдәге мохит белән җылы алмашу нәтиҗәсендә җисем алган яки югалткан энергия ул.
phenomenon;['инфеләсә', 'инфляция'];Инфляция - җитештерү, акча әйләнеше һәм дәүләт финанслары өлкәсендә гамәлдә булган сәбәпләр аркасында кәгазь акчаларының бәһалары, кыйммәте кими бару.
phenomenon;['өермә', 'tornado', 'торнадо'];Өермә – яшенле болыт эчендә барлыкка килгән, җиргә кадәр багана хасил итеп, җил бөтереп кар, тузан һ.б.
phenomenon;['сиеста'];Сие́ста (исп.
phenomenon;['төшнең бүленүе', 'töşneñ bülenüe'];Төшнең бүленүе — атом төшенең ике якынча тигез массалы төшкә бүленү процессы, шушы калган кисәкләр төш китекләре дип аталалар.
phenomenon;['термотөш реакциясе', 'termotöş reaksiäse', 'termotöş reaktsiäse', 'termotöş sintezı', 'термотөш реакцияләре', 'термотөш синтезы'];Термотөш реакциясе яки термотөш синтезы — җиңел атом төшләре җылылык хәрәкәтенең кинетик энергиясе исәбенә яңа авыррак төшкә берләшүе реакциясе.
phenomenon;['тормыш', 'тереклек эшчәнлеге', 'кеше тормышы', 'тормышлар', 'яшәү дәвере', 'биологик барыш', 'биологик процесс', 'tormış'];Тормыш — тере организмда тереклекне тәэмин итүче һәм терелеген күрсәтүче процесслар күплеге.
phenomenon;['оксидлашу-кайтару реакцияләре', 'oksidlaşu-qaytaru reaksiäse', 'кайтаргыч матдә', 'оксидлаштыручы', 'редокс', 'яңадан кайтаргыч матдә'];Оксидлашу-кайтару реакцияләре яки Редокс - электроннар яңача бүлү ике атом арасында баручы каршы химик реакцияләре: оксидлаштыручы атом электроннарны ала, ә кайтаргыч атом үз электроннарын бирә.
phenomenon;['һетеросексуальлек'];Һетеросексуальлек — башка җенес яки гендер вәкилләренә җенси тартылыш.
phenomenon;['һомосексуальлек', 'гомосексуализм', 'гомосексуал', 'лутыйлык'];Һомосексуальлек — кешенең үзенең җенес яки гендер вәкилләренә җенси тартылыш.
phenomenon;['һангыл'];Һангыл
phenomenon;['давыл', 'буран'];Давыл – җимергеч көчле җил.
phenomenon;['bolıt', 'болыт', 'болытлар', 'bolıtlar'];Болытлар — атмосфераның югары катламнарында куерган су парларының тыгыз томан рәвешендәге массасы.
phenomenon;['йортлаштыру', 'сыерларны йортлаштыру'];Йортлаштыру, кулга ияләштерү, доместикация
phenomenon;['рәшә'];Рәшә, сагым, чагым
phenomenon;['допплер эффекты', 'doppler effektı', 'доплер эффекты'];Допплер эффекты — нурланыш чыганагы һәм/яки күзәтүче хәрәкәтенә күрә күзәтүче алган ешлыкның үзгәреше.
phenomenon;['томан', 'toman'];Томан — атмосфераның җир өстенә якын катламында, су парлары белән туенган һавада барлыкка килгән бик вак су тамчылары җыелмасы.
phenomenon;['гамма-нурланыш', 'gamma nurlanış'];Гамма нурланыш – рентген нурланышка бик нык охшаган, әмма үтеп керү сәләте көчлерәк булган нурланыш ул.
phenomenon;['рентген нурланышы', 'рөнтген нурланышы', 'рентген', 'рентген нурланыш', 'rentgen', 'rentgen nurlanışı', 'röntgen nurlanışı', 'röntgen nurları'];Рөнтге́н нурланышы (tat.lat.
phenomenon;['инфракызыл нурланыш', 'infraqızıl nurlanış', 'i̇nfraqızıl nurlanış'];Инфракызыл нурланыш — күзгә күренүче нурланышның кызыл очы белән микродулкынлы нурланыш арасындагы өлкәне алып торучы нурланыш төре.
phenomenon;['көн', 'көн яктысы', 'көн яктылыгы', 'көн яктыртуы', 'kön', 'көндез'];Көн - Кояш чыгудан башлап кояш баюга кадәр булган вакыт аралыгы.
phenomenon;['атом-төш энергиясе', 'atom-töş energiäse', 'atom energiäse', 'атом энергиясе'];Атом-төш энергиясе – атом төшендә сакланган, атом-төш реакциясе һәм радиоактив таркалыш барышында бүленеп чыга торган энергия.
phenomenon;['реактив каршылык'];Реактив каршылык (tat.lat.
phenomenon;['69'];69 - 68 белән 70 арасындагы натураль сан.
phenomenon;['кар', 'qar'];Кар – ул кар кристаллары формасындагы каты явым-төшем, күбрәк салкын температурада барлыкка килә.
phenomenon;['elektromagnitik nurlanış', 'elektromagnit dulqınnarı', 'elektromagnit nurlanışı', 'elektromagnitik dulqınnar', 'электромагнит дулкыннары', 'электромагнит нурланышы', 'электромагнитик дулкын', 'электромагнитик дулкыннар', 'электромагнитик нурланыш'];Elektromagnitik nurlanış yäki elektromagnitik dulqınnar, elektromagnit nurlanışı - fäzada tarala torğan elektromagnit qırı xaläteneñ üzgäreşläre.
phenomenon;['ультрашәмәхә нурланыш', 'ultraşämäxä nurlanış', 'ультрафиолет нурланыш'];Ультрашәмәхә нурланыш — күзгә күренүче нурланышның шәмәхә төстәге очы белән рентген нурланышы арасындагы өлкәне алып торган электромагнит нурланышы.
phenomenon;['җенси үрчү'];Организмның җенесе ул тудырган гаметалары белән билгеләнә: ата җенеслеләр ата гаметаларны, ана җенеслеләр исә ана гаметаларны тудыра. ата һәм дә ана җенесле гаметаларны тудыра алучы организмларга гермафродит диләр.
phenomenon;['җенси мөнәсәбәт', 'censi mönäsäbät'];Кешеләрнең үз җенсиятләре нигезендә бер-берсенә тартылу һәм аның нигезендә урын алган якын мөнәсәбәтләре кешенең җенси мөнәсәбәтләре яки кешенең сексуаль тотышы дип әйтәләр.
phenomenon;['бисексуальлек'];Бисексуальлек — бердән күбрәк җенес яки гендер вәкилләренә җенси тартылыш.
phenomenon;['җир тетрәү', 'cir teträw', 'зилзилә', 'җир тетрәве'];Җир тетрәү яки Зилзилә — Җир кабыгында энергиянең кинәт бүленеп чыгуы нәтиҗәсендә җир өслегенең тибрәнүе.
phenomenon;['фотосинтез', 'fotosintez'];Күзәнәк яшәр өчен, энергиягә мохтаҗ.
phenomenon;['җенси якынлык', 'җенси мөнәсәбәт', 'censi yaqınlıq', 'yaqınlıq qılu', 'секс'];Калын язылыш
phenomenon;['үрчү'];Үрчү — барлык тере организмнарга хас үзенчәлек, үзеңә охшашларны яңадан барлыкка китерү, нәселне һәм тереклекне дәвам итү.
phenomenon;['параллакс', 'parallaks'];Параллакс (грек.
phenomenon;['нәселдәнлек'];Нәселдәнлек — барлык организмнарның үзләренә хас сыйфатларны киләчәк буыннарга тапшыру сәләте.
phenomenon;['электр көчәнеше', 'электростатик потенциал'];Электр көчәнеше (tat.lat.
phenomenon;['үтә үткәрүчәнлек', 'ütä ütkärüçänlek', 'гадәттән тыш үткәрүчәнлек'];Үтә үткәрүчәнлек яки Гадәттән тыш үткәрүчәнлек
phenomenon;['бөтендөнья тартылу кануны', 'bötendönya tartılu qanunı', 'bötendönya tartım qanunı', 'бөтендөнья тарту кануны', 'бөтендөнья тартылыш кануны', 'бөтендөнья тартылышы', 'бөтендөнья тартым кануны', 'ньютонның бөтендөнья тартым кануны', 'ньютонның тартым классик теориясе'];Бөтендөнья тартылу кануны яки Ньютонның тартылу классик теориясе - классик механика кысаларында гравитацион тәэсир итешүне тасвирлаучы канун.
phenomenon;['җылысыешлык', 'cılısıyışlıq'];Җылысыешлык - термодинамик система температурасы Т үзгәргәндә чыгарылган яки йотылган җылылык микъдары δ Q {\displaystyle \delta Q} ул, кечкенә үзгәреш өчен дифференциаль тигезләмә: C = δ Q d T.
phenomenon;['kinetik energiä', 'кинетик энергия'];Kinetik energiä - saylanğan xisap sistemasındağı noqtalar xäräkäte tizleklärenä bäyle energiä.
phenomenon;["potentsial' energiä", 'potentsiäl energiä', 'потенциаль энергия'];Potentsial' energiä - skalär fizik zurlıq, konservativ köçlär qırında bulğan tulı energiä öleşe bulıp tora.
phenomenon;['һава торышы', 'көн', 'һава'];Һава торышы - теләсә нинди урыннын хәзерге вакыттагы атмосфера халәте.
phenomenon;['тереклек', 'tereklek', 'тере'];Тереклек - биологик процесслары булган һәм булмаган объектларны аеручы үзенчәлек, биология фәне тарафыннан өйрәнелә.
phenomenon;['метаболизм', 'metabolizm', 'матдаләр алмашы'];Метаболи́зм (грек.
phenomenon;['үзәктән куу көче', 'üzäktän quu köçe'];Үзәктән куу көче — әйләнүче хисап системасындагы бар объектларга тәэсир итүче, әйләнү күчәреннән юнәлгән инерция көче.
phenomenon;['кире бәйләнеш'];Кире бәйләнеш (рус.обратная связь, ингл.
phenomenon;['онтогенез'];Онтогенез - ул организмның индивидуаль үзгәрешен аңлата.
phenomenon;['дистиллирлау', 'куу'];Куу (лат.
phenomenon;['ут', 'ялкын', 'ut'];Ут – кызган газлар яки плазма җыелмасы.
phenomenon;['туу', 'tuu'];Туу — тормышның башлану вакыйгасы.
phenomenon;['химик синтез'];Химик синтез - гадирәк молекулалардан катлаулы молекулалар булдыру процесс. химик һәм физик ысуллар кулланып химик кушлымалар алу.
phenomenon;['сулыш', 'җилләтү', 'тын алу', 'вентиляция', 'сулау'];Сулыш — организмның сулау эшчәнлеге, хәрәкәте.
phenomenon;['сулыш', 'җилләтү', 'тын алу', 'вентиляция', 'сулау'];Җилләтү яки Вентиляция
phenomenon;['kreking', 'крекинг', 'крекиң'];Kreking - nefttäge uglevodorodlarnıñ tağı da oçuçanraq matdälärgä tarqalu protsessı.
phenomenon;['электр корылмасы', 'elektr qorğısı', 'elektrik qorğı', 'электр коргылары', 'электр коргысы'];Эле́ктр корылмасы яки электр коргысы – җисемнең электр кыры чыганагы булу һәм электромагнит тәэсир итешүләрендә катнашу мөмкинлеге бирүче үзлеге.
phenomenon;['электр йөртү көче'];Электр йөртү көче (ЭЙК) (tat.lat.
phenomenon;['су басу', 'ташкын'];Су басу
phenomenon;['эволюция', 'evolütsiä'];Эволюция (инг.
phenomenon;['метастаз'];Метастаз (бор.
phenomenon;['sıyıqlıq', 'сыеклык', 'sıyıqça', 'сыекча'];Sıyıqlıq yäki sıyıqça - qatı häm gaz agregat xalätläre arasındağı sıyıq agregat xalättäge matdä.
phenomenon;['газ', 'gaz', 'rix', 'ğaz', 'рих'];Gaz yäki rix (niderl.
phenomenon;['i̇nertsiä momentı', 'inertsiä momentı', 'инерция моменты'];İnertsiä momentı - skalär häm ğomumi oçraqta tenzor zurlığı, küçär tiräsendäge äylänü xäräkäteneñ inertlıq däräcäse.
phenomenon;['яңгыр', 'yañğır'];Яңгы́р — болытлардан су тамчылары булып ява торган атмосфера төшеме.
phenomenon;['чык'];Чык — төнлә һава суынганда, аннан аерылып җир өстенә һәм анда булган әйберләргә кунучы бик вак су тамчылары.
physical-body;['комета', 'kometa'];Коме́та (бор.
physical-body;['nuklon', 'нуклон', 'nucleon', 'нуклоннар'];Nuklon protonnar häm neytronnar ğomumi ataması.
physical-body;['ак кәрлә', 'ак кәрлә йолдыз'];Ак кәрләләр - йолдызлар эволюциясе соң чорындагы Чандрасекар чигеннән зуррак булмаган массалы йолдызлар, ак кәрләнең үз термотөш энергиясе чыганагы юк.
physical-body;['глюон', 'gluon'];Глюоннар — көчле тәэсир итешүнең таратучы элементар кисәкчекләре.
physical-body;['гравитон', 'graviton'];Гравитон - гравитацион тәэсир итешүне таратучы фаразланыла торган массасыз, электр коргысыз элементар кисәкчә, 2ħ спинга һәм полярлашуның ике мөмкин юнәлешенә ия булырга тиеш.
physical-body;['кастор', 'җәүза α', 'җәүза альфасы'];Кастор — Җәүза йолдызлыгының яктырыш буенча икенче йолдызы.
physical-body;['элементар кисәкчек', 'элементар кисәкчекләр', 'элементар кисәкчә'];Кисәкчекләр физикасында, субструктурасының булуы беленмәгән кисәкчеккә элементар кисәкчек яки фундаменталь кисәкчек диелә.
physical-body;['калибрлау бозоннары', 'kalibrlaw bozonnarı'];Калибрлау бозоннары — табигатьтәге фундаменталь тәэсир итешүләрне таратучы бозон-кисәкчекләр.
physical-body;['җирсыман планеталар', 'җир төркеме планеталары'];Җирсыман планеталар — Кояш системасындагы эре булмаган планеталар.
physical-body;['фотон', 'foton'];Фото́н (бор.
physical-body;['c-kvark', 'c-кварк', 'soqlanğan kvark', 'сокланган кварк'];c-kvark yäki soqlanğan kvark - e elektr qorğısı häm +1 soqlanu digän kvant sanına iä bulğan, ikençe buınğa qarağan fundamental' fermion.
physical-body;['s-kvark', 's-кварк', 'säyer kvark', 'сәер кварк'];s-kvark yäki säyer kvark -e elektr qorğısı häm -1 säyerlek iä bulğan, ikençe buınğa qarağan fundamental' fermion.
physical-body;['ngc 1952'];NGC 1952 — Томанлыклар һәм йолдыз тупланмалары яңа гомуми каталогында теркәлгән галактика.
physical-body;['кызыл кәрлә', 'qızıl kärlä', 'кызыл кәрлә йолдыз'];Кызыл кәрлә — кече һәм чагыштырмача салкын йолдыз, түбән яктырту сәләтенә һәм М яки соңгы К спектр сыйныфына ия, Герцшпрунг — Рассел диаграммасында баш эзлеклелектә урнашкан.
physical-body;['чагырташ'];Чагырташ - су хәрәкәте нәтиҗәсендә йомарлак форма алган вак ташлар.
physical-body;['u-kvark', 'u-кварк'];u-kvark yäki öske kvark +e elektr qorğısı iä bulğan, berençe buınğa qarağan fundamental' fermion.
physical-body;['d-kvark', 'd-кварк'];d-kvark yäki asqı kvark -e elektr qorğısı iä bulğan, berençe buınğa qarağan fundamental' fermion.
physical-body;['үтә яңа йолдыз', 'ütä yaña yoldız', 'супернова'];Үтә яңа йолдыз - һәлакәттәге шартлауны кичерелгән йолдыз, шартлау нәтиҗәсендә берничә тәүлек дәвамында йолдызның ялтыравы дистә тапкыр арта.
physical-body;['нейтрон йолдыз', 'neytron yoldız'];Нейтрон йолдыз - йолдызлар эволюциясенең соңгы нәтиҗәләренең берсе, күбесенчә нейтроннардан торган үтә тыгыз йолдыз.
physical-body;['катлаулы йолдыз'];Катлаулы йолдыз өчтән һәм моннан күбрәк йолдыздан гыйбарәт.
physical-body;['куш йолдыз', 'икеле йолдыз'];Куш йолдыз — тарту көче белән бәйләнгән һәм уртак масса үзәге тирәсендә йомык орбиталар буйлап әйләнә торган ике йолдыз.
physical-body;['хромосома', 'хромосом'];Хромосома - күзәнәкләрдә табылган ДНК һәм аксымның оештырылган структурасы.
physical-body;['лептон', 'lepton', 'лептоннар'];Лептоннар (tat.lat.
physical-body;['neytron', 'нейтрон'];Neytron - elementar kisäkçek.
physical-body;['электрон', 'electron', 'elektron', 'elektronnar'];Электрон (бор.
physical-body;['adron', 'adronnar', 'hadron', 'адрон', 'һадрон'];Adron yäki Hadron (bor.
physical-body;['ай', 'ay'];Ай сүзенең башка мәгънәләре дә бар, Ай битен карагыз.Ай — Җирнең бердән-бер табигый иярчене.
physical-body;['астероидлар', 'астероид', 'кечкенә космик җисемнәр', 'asteroid', 'asteroidlar'];Астероидлар — Кояш системасына кергән чагыштырмача зур түгел космик җисемнәр.
physical-body;['barion', 'barionnar', 'барион'];Barion (bor.
physical-body;['газлы планета', 'зур планета'];Газлы планеталар — шактый зур өлеше газдан гыйбарәт планеталар.
physical-body;['бозон', 'bozon', 'bozonnar', 'бозоннар'];Бозон (tat.lat.
physical-body;['фермион', 'fermion', 'фермионнар'];Фермион (tat.lat.
physical-body;['риҗел кентавр', 'ricel kentavr', 'кентавр α', 'кентавр альфасы'];Риҗел Кентавр (гарәп.
physical-body;['галәм', 'böten ğäläm', 'ğaläm', 'ğäläm', 'бөтен галәм', 'күпгаләм'];Галәм гадәттә бар булган һәрнәрсәне - матдә һәм энергия, планеталар, йолдызлар, галактикалар һәм галактикаара бушлыкның барлык эчтәлеген үзенә ала.
physical-body;['планетезималь'];Планетезималь яки планета яралгысы — протопланета дискының тузан кисәкчекләреннән торган кечкенә җисемнәр артымы нәтиҗәсендә барлыкка килгән күк җисеме, ул протойолдыз тирәли орбитасында әйләнә.
physical-body;['галилей иярченнәре', 'галилей юлдашлары'];Галилей иярченнәре - Юпитерның 4 иң зур иярчене: Ио, Аурупа, Ганимед һәм Каллисто.
physical-body;['әлгул', 'algol', 'персей β', 'персей бетасы'];Әлгул (гарәп.
physical-body;['җир', 'җир шары', 'җир планетасы', 'өченче планета', 'cir', 'cir şarı', 'җир йөзе'];Җир (лат.
physical-body;['арктур', 'arktur', 'хариселсәма', 'үгезкөтүче α', 'үгезкөтүче альфасы', 'әлрамих'];Аркту́р (бор.
physical-body;['аурупа', 'europa', 'awrupa'];Ауру́па (бор.
physical-body;['марс', '♂', 'марс планетасы', 'мәрих', 'мәррих', 'mars', 'кызыл планета'];Марс, Мәрих — Кояш системасында Кояштан дүртенче булып урнашкан планета.
physical-body;['(4) веста', '4 vesta'];Веста
physical-body;['капелла'];Капе́лла (лат.
physical-body;['прокион', 'prokion', 'кече эт α', 'кече эт альфасы', 'процион'];Прокио́н (бор.
physical-body;['регул', 'regul', 'кальбеләсәд', 'әсәт α', 'әсәт альфасы'];Ре́гул
physical-body;['риҗел', 'rigel', 'ricel', 'орион β', 'орион бетасы', 'риҗелелҗәббар'];Риҗел (гарәп.
physical-body;['антарес', 'antares'];Анта́рес (бор.
physical-body;['әлдәбәран', 'aldebaran', 'сәвер α', 'сәвер альфасы'];Әлдәбәра́н (гарәп.
physical-body;['вега', 'vega', 'waqıyg', 'вакыйг', 'лира α', 'лира альфасы'];Ве́га (Вакыйг, гарәп.
physical-body;['сириус', 'sirius', 'зур эт α', 'зур эт альфасы'];Си́риус (лат.
physical-body;['тимерказык', 'кече җидегән α', 'кече җидегән альфасы', 'котып йолдызы'];Тимерказык — Кече Җидегән йолдызлыгының +1,97 йолдызча зурлыктагы йолдыз.
physical-body;['ио', 'io'];Ио́ (бор.
physical-body;['мәет', 'мәетләр', 'җәсәт', 'җәсәтләр', 'үле', 'үлеләр'];Мәет (җәсәт, лат.
physical-body;['церера', '1 церера'];Церера — астероид төрендәге кәрлә планета.
physical-body;['проксима кентавр', 'próxima centauri', 'proksima kentavr', 'proksima tsentavra', 'иң якын кентавр', 'кентавр проксимасы', 'проксима', 'проксима центавра'];Проксима Центавра яки Проксима Кентавр, Иң Якын Кентавр — Кояштан соң Җиргә иң якын йолдыз, Риҗел Кентавр йолдыз системасында урнашкан кызыл кәрлә.
physical-body;['хәдар', 'кентавр β', 'кентавр бетасы', 'хазар'];Хәдар (гарәп.
physical-body;['бителҗәүза', 'betelgeyze', 'bitelcäwza', 'бетельгейзе', 'орион α', 'орион альфасы'];Бителҗәүза (гарәп.
physical-body;['каллисто', 'callisto'];Каллисто́ (бор.
physical-body;['меркурий', 'merkuri', 'гатарид', 'готарид', 'меркурий планетасы', 'merkuriy'];Меркурий — Кояш системасында Кояшка иң якын урнашкан планета, Кояш тирәсендә 88 җирдәге тәүлек периодлы әйләнә.
physical-endurant;['зат', 'zat'];Зат - матди булуы яки яшәве мәҗбүри булмаган, ихтияр көче булган нәрсә.
physical-object;['үзәк эшкәрткеч җайланма', 'үзәк процессор', 'процессор'];Үзәк эшкәрткеч җайланма — санак системасының санак программасының системаның төп арифметик, мантыйк һәм керү/чыгу гамәлләрен башкару өчен күрсәтмәләрен үтәүче өлеше.
physical-object;['arka', 'арка'];Arka - käkre sızıqlı, ğädättä duga räweşendä yasalğan diwarda, täräzälärdä, qapqalarda, işeklärdä yäki ike teräklär arasında uyım yä miğmariät qorılması.
physical-object;['велосипед', 'сәпид', 'сәпит', 'әйләнаяк'];Бу мәкаләнең латин әлифбасындагы игезәге бар.
physical-object;['каты диск', 'hdd'];Каты диск саклагычы (HDD. шулай ук каты диск, яки каты саклагыч.
physical-object;['телекоммуникация', 'иликтер элемтәсе'];Телекоммуникация — теле һәм коммуникация һәм "ерак элемтә" яки "элемтә, ерак арага хәбәр"дигәнне аңлата.
physical-object;['төш реакторы', 'töş reaktorı', 'атом-төш реакторы', 'атом реакторы'];Төш реакторы — зур энергияне чыгаручы авыр төшнең бүленүе идарә ителешле килеш үзе яклана торган чылбырлы төш реакциясен оештыру максатыннан ясалган. гадәттә атом-төш энергиясе ярдәмендә термаль һәм электр энергиясе җитештерелә.
physical-object;['автомобиль', 'aftamabil', 'avtomobil', 'avtomobil transportı', 'автомобил', 'автомобиль транспорты'];Автомоби́ль
physical-object;['45'];45 - 44 белән 46 арасындагы натураль сан.
physical-object;['бейсбол тубы', 'beysbol tubı'];Бейсбол тубы бейсбол уенын уйнаганда кулланыла.
physical-object;['кыйтгаара баллистик ракета', 'qıytğaara ballistik raketa'];Кыйтгаара баллистик ракета - "җир-җир" төрендәге идарә ителешле баллистик ракета, очыш ераклыгы кимендә 5500 км тәшкил итә.
physical-object;['буа', 'bua', 'böyä', 'бөя'];Буа — су кимәлен күтәрү өчен агымны туктата торган гидротехник корылма.
