abstract-region;['uoperand', 'operand'];We matymatyce, uoperand to argůmynt uoperatora.
non-physical-collection;['krześćijaństwo', 'chřeśćijaństwo'];Chřeśćijaństwo (gr.
non-physical-collection;['protestantyzm'];Protestantyzm – jydyn s guůwnych kerůnkůw chřeśćijaństwa, skuadajůncy śe s wyznań religijnych powstouych guůwńy na skutek ruchůw reformatorskych wnůntř Kośćoua řimskokatolickigo rozpočyntych we XVI wjeku bez wystůmpjyńy Martina Lutra.
organized-collection;['dane'];Dane
parameter;['szwůng', 'przispjyszyńy', 'přispjyšyńy'];Szwůng – wektorowo wjelgość, kero uoznoczo mjyńyńy wartkośći ćoła we czaśe.
parameter;['ryma alergiczno', 'ryma alergično'];Ryma alergično – ńymoc, alergične zapalyńy buůnůw maźglatych šnupy.
parameter;['ôkres ôrbitalny'];Ôkres ôrbitalny – czas, jaki je potrzebny ciału na wykōnanie jednego połnego ôbiegu ôrbitalnego.
phenomenon;['gyrowańy'];Gyrowańy – beztlynowy proces bjochymičny, polygajůncy na ynzymatyčnym rozpadźe cukrůw, kery je jydnym s elymyntůw fizjolůgji drobnoustrojůw.
phenomenon;['sztrům', 'štrům'];Sztrům – kożdy uporzůndkowany ruch sztrůmowych ładůnkůw.
phenomenon;['hyca'];Hyca – zorta pogody, przi keryj tymperatura luftu je przez +30 °C.
phenomenon;['gyrowańy'];Gyrowańy – beztlynowy proces bjochymičny, polygajůncy na ynzymatyčnym rozpadźe cukrůw, kery je jydnym s elymyntůw fizjolůgji drobnoustrojůw.
phenomenon;['buzeranctwo', 'hōmoseksualizm', 'hōmoseksualnota'];Hōmoseksualizm,
phenomenon;['wodno trůmba', 'trůmba wodno'];Trůmba wodno to zjawisko meteorolůgične polygajůnce na formowańu śe pjůnowygo chmuřastygo wiru na kštout leja, wystympujůncygo přez powjyřchńům wody, pouůnčůnygo s chmurům kuymbjastům.
phenomenon;['dźyń', 'dźeń'];Dźyń – czas půmjyndzy wschodym a zachodym Słůńca, roz a kedy godo śe tak tyż na doba, kero mo 24 sztundy.
phenomenon;['fellatio'];Fellatio to je metoda seksu ôralnego, co polygŏ na sztorcowaniu mynskich nŏrzōndōw płciowych przi pōmocy ust, wargōw a jynzyka.
phenomenon;['śńyg'];Śńyg to je atmosferyczny uopad we postaći krysztołkůw lodu, nojczyńśći we formje szyśćoramjynnych gwjozdkůw.
phenomenon;['seks'];Seks (s łać.
phenomenon;['trzyńśyńy źymje', 'třyńśyńy źymje', 'třyńśyńy źymji'];Trzyńśyńy źymje – to gwołtowne rozładowańy naszpanůwań kere powstowajům we skorupje źymskej we czaśe ruchůw fragmyntůw litosfyry.
phenomenon;['życie'];Życie
phenomenon;['ślimtańy'];Ślymtańy to je emocjůnalny stan, kery je reakcyjům na sroge przeżyćo, nojczyńśći negatywne, kej bojůnczka, bolyńy, smutek abo żałość.
phenomenon;['kraking'];Kraking to je proces, we kerym důgouańcuchowe čůnstečki uorgańične (np.
phenomenon;['goz'];Goz to je stůn skupjyńo matreji, we kerym fizyczne ćoło leko zmjyńo ksztołt a zajmuje cołko przestrzyń jako mo dostympno.
physical-body;['mjeśůnczek', 'kśynžyc', 'mjeśůnček'];Mjeśůnček je jydynym stouym naturalnym satelitům Źymje.
physical-body;['bozůn'];We fizyce czůnstek bozůny (ang.
physical-body;['wszechświat'];Wszechświat – w astrofizyce i kosmologije miano ôznaczajōncŏ wszyjsko co fizycznie je, no tōż cołkõ czasoprzestrzyństwo i materyjõ i ynergijõ w nij.
physical-body;['źymja'];Źymja (łać.
physical-body;['ojropa', 'europa'];Ojropa to najmńyjšy s galilyjušowych kśynžycůw Jowiša.
physical-body;['mars', '♂'];Mars – sztworto podug uoddalyńo uod Słůńca planeta Ůkuodu Słůnečnygo.
physical-body;['merkury'];Merkury – to je pjyrszo podug uodlygośći uod Słůńca planeta we Słůnecznym Ukłodźe.
physical-object;['furgajůncy tepich'];Furgajůncy tepich, abo tyż Magiczny tepich to je wystympůjůncy we berach tepich, kery mo magiczno moc przekludzańo uosůb we lufće, natychmjast abo fest gibko do mjejsca przeznaczyńo.
physical-object;['koło'];Koło – pojazd poruszany bez śůła muskli jadůncych na ńim ludźůw.
physical-object;['galoty'];Galoty – wjyrchńo tajla uoblyczyńo kero uosłańo a skrywo korpus czowjeka uod bjoder ku spodkowi.
physical-object;['auto'];Auto to je pojazd mechańičny přeznačůny do užywańo we ruchu drůgowym, kery mo wuosny napynd a zdřůduo energije.
physical-object;['haśok'];Haśok to je mjano pojymńika do kerygo wćepuje śe roztomajte haśe, a tyż placu kaj take pojymńiki sům stowjane.
physical-object;['fera'];Fera – statek do transportu ludźůw, autůw a towarůw bez woda.
physical-object;['ratuż', 'ratusz'];Ratuż – stawjyńy, we kerym nojczyńśći dźało mjejsko rada, rzodźi burmistrz lebo landrat.
physical-object;['ratuż', 'ratusz'];Ratuż – stawjyńy, we kerym nojczyńśći dźało mjejsko rada, rzodźi burmistrz lebo landrat.
physical-object;['sztrasbana', 'banka', 'štrasbana', 'štrasynbana'];Sztrasbana – glajzowy pojazd przirychtowany do mjejskigo transzportu, kery poruszo śe po ceśće abo na szpecyjolnym uosobnym placu do glajzůw.
physical-object;['kara'];Kara – ńywjelgi wůzyk s jydnym abo dwůma kůłkůma, tajlowo dźwigany rynczńy, użiwany do transportu przedmjotůw abo materjołůw sypkych na ńywjelgich uodlygośćach.
physical-object;['fuzekle', 'zoka', 'zoki'];Fuzekle, inakszy zoki to je elymynt uobleczyńo noszůny jednako bez chopůw a baby na szłapach.
physical-object;['giskana'];Giskana to przynośny zbjorńik na woda, wykůnany nojczyńśći s blachy abo ze sztucznygo tworzywa, przeznaczůny do podlewańo źelinůw.
physical-object;['strzewiki', 'strzewik'];Strzewiki to tajla uobleczyńo, kero uobuwo śe na szłapy.
physical-object;['skuter'];Skuter, roler – leki jednoślad motorowy uo szportowyj budowje.
physical-object;['cajtůng'];Cajtůng (mjym.
physical-object;['fojercojg'];Fojercojg – przećepowalno zacha, kero je używano do zapolańo uogńa, nojczyńśći cygarety abo fajfki.
physical-object;['pulsoksymyjter', 'pulsokrymeter', 'pulsokrymyjter'];Pulsoksymeter – elektrōnicznŏ maszina, co suży do bezinwazyjnego mierzyniŏ saturacyje krwie.
physical-object;['byrna'];Byrna to je zorta lampy na sztrům, we keryj śwjotło dowo kůnsek przewodu rozhajcowany bez sztrům do wysokij tymperatury.
physical-object;['mobilńok'];Mobilńok to je zorta aparatůw telefůńicznych, we kerych do kůmuńikacyje sům używane wele radjowe.
physical-object;['lutkolba'];Lutkolba to je narzyńdźe kere służy do lutowańo.
physical-object;['lazaryt'];Lazaryt to je fest ważno jydnostka uorgańizacyjno we systymje zdrowotnygo pjastůnku.
physical-object;['haka'];Haka – rynczny werkcojg ze dugům szpicům, kero je poźůmo wrażůno na drywńany sztyl.
physical-object;['szperplata', 'šperplata'];Szperplata – kůmpozytowy sztof sprowjůny ze poklejůnych ze śa na krziż szichtůw strůmu.
physical-object;['antryj'];Antryj (ze łać.
physical-object;['dau', 'dhow'];Dau to je zorta arabskigo żaglowygo statku.
physical-object;['kobyr'];Kobyr – kůnsek drzewa uo dwůch kůncach, kożdy kobyr mo roztomajtno dugość a rubość.
physical-object;['paryzol'];Paryzol – zacha do chrůńyńo uod dyszczu, śńygu lebo słůńca.
physical-object;['cug'];Cug – skupina transzportowych uobjektůw . skupinowy cug - zestawjůny s uobjektůma przirychtowanych do wyłůncznyj roboty we skupińy : banowo skupina trakcyjno - wyposażůno we swůj napynd a sygnalizacyjo, skupina maszyn do uobsugi techńicznyj banowych glajzůw, naprawy, śodłowy ćůngńik s naczepům.
physical-object;['binder'];Binder to je uozdobny elymynt chopskigo uoblyczyńo, mo forma gurtu materyje, kery śe wjůnże a zakłodo nauobkoło karku, przi uobujku.
physical-object;['sarůng', 'sarong'];Sarōng to je zorta kecki noszōnyj jednako ôd bŏb i chopōw na Malajach.
physical-object;['gasmaska', 'gazmaska'];Gasmaska to je urzůndzyńe uosobistego użytku, kere uoblyko śe na gowa, przilego uůne do twarzy a robjůne je ze gůminu a we nowszych wzorach ze silikůnu.
physical-object;['moplik'];Moplik – jydnośladowy pojazd, kery mo dwa koła jezdne, wyposażůny we hajcowny śylńik uo pojymnośći do 50 cm3.
physical-object;['perkusyjne insztrumynty', 'insztrumynt perkusyjny', 'insztrumynty perkusyjne', 'perkusyjny insztrumynt', 'perkusyjo'];Perkusyjne insztrumynty – insztrumynty muzyczne, kerych klang wytwarzo śe bez uderzyńe we insztrumynt abo jigo tajla, a ńyskorzi ji drgańe.
physical-object;['myjtermas'];Myjtermas to je przirzůnd, kerym idźe zbadać dugość klamotůw.
physical-object;['klajd'];Klajd to je wjyrchńe babske jednotajlowe uobleczyńe, kere uokrywo ćało uod barůw aże po nogi, ńykej tyż rynce.
physical-object;['amfityjater'];Amfityjater – uodkryto aryna uo ksztołće elipsy abo koła, uotoczůno - uobyczńe wznoszůncymi śe schodkowo - zicůma do widzůw a przeznaczůno do publicznych pokazůw, dowńij m.in.
physical-object;['fernajz'];Fernajz to je strzodek kery je zauobycz używany do impregnowańo drzewa.
physical-object;['bryle'];Bryle to je wihajster zakłodany przed ślypjůma, kery poprowjo jakość widzyńo u uosůb ze felerůma wzroku.
physical-object;['trjangel', 'trůjkůnt'];Trjangel – perkusyjny insztrumynt ze zorty idjofůnůw uo ńyuokreślůnym klangu, ńy je elemyntym szlagcojgu.
physical-object;['ksylofůn'];Ksylofůn – perkusyjny insztrumynt ze zorty idjofůnůw.
physical-object;['tepich'];Tepich to je zorta tkaniny dekoracyjnyj, kerōm pokrywŏ sie nojczyńścij zŏl we izbie, rzŏdzij ściany.
physical-object;['zicherka', 'haszpa'];Zicherka – zorta zapinki zrobjůnyj s drutu, keryj jydyn kůńec zahaczo śe za zagyńće znojdujůnce śe na drůgim kůńcu.
physical-object;['rejestracyjnŏ tabula', 'rejestracyjno tabula', 'rejestracyjno tablica', 'tablica rejestracyjno'];Tabula rejestracyjnŏ to je tabula, co je do imyntu przifasowanŏ do wozidła a je na nij widzialny unikalny nōmer, podle kerygo idzie to wozidło zidentyfikować.
physical-object;['nachtop', 'topek'];Nachtop (z mjym.
physical-object;['gebys'];Gebys – proteza stosowano we dyntystyce lo uzupeuńyńo abo uodbudowy brakujůncygo uzymbjyńo.
physical-object;['tanksztela', 'tankštela'];Tanksztela – plac kaj sprzedowo śe płynne paliwa - benzina, uolej napyndowy a LPG, a s anfanga yno paliwa.
physical-object;['ancug'];Ancug (mjym.
physical-object;['szipa'];Szipa to je przirzůnd, kerym śe zbjyro farfocle zmjotane śmjatkym.
physical-object;['průntki', 'jegua do štrykowańo', 'jeguy do štrykowańo', 'štryknadla', 'štryknadle'];Průntki to ćynke prynty suůžůnce do rynčnygo přerabjańo růžnych zort ńići a wůček na wyroby dźańinowe.
physical-object;['wyrbel', 'werbel'];Werbel, Mały bymbyn (ang.
physical-object;['auto športowe', 'auto szportowe'];Auto szportowe – auto, kere mo cechy jake dowajům mu uośůngać wjelge gibkośći we krůtkim czaśe a tyż dozwalajům na bezpjeczne jygo prowadzyńy przi srogich gibkośćach jazdy.
physical-object;['lauba', 'wyśodka'];Lauba – we dźiśijšym znočyńu letńi důmek we zygrodźe.
physical-object;['tanksztela', 'tankštela'];Tanksztela – plac kaj sprzedowo śe płynne paliwa - benzina, uolej napyndowy a LPG, a s anfanga yno paliwa.
physical-object;['fajla'];Fajla – norzyńdźy kere śe używo do fajlowańo - skrowańo wjyrchńij płachty matyrjału uo rubośći uod 0,01 do 1 mm.
physical-object;['hokejkryka'];Hokejkryka to je jydyn s wożńijszych elymyntůw sprzyntu hokejowygo.
physical-object;['szpind'];Szpind to je zorta szranku, kery idźe trefić we przeblykarńach po roztůmajtych robotach.
physical-object;['sůmbrero', 'sombréro'];Sůmbrero (uod szp.
physical-object;['gitara'];Gitara (grec.
physical-object;['widokowo wjeża'];Widokowo wjeża – wjeża, położůno nojczyńśći we gůrach lebo we mjastach a wśach, s keryj je gryfno panorama uokolice.
physical-object;['arkada'];Arkada (s uać.
physical-object;['ancug'];Ancug (mjym.
physical-object;['olik'];Olik – mechańiczny antykůncypcyjny strzodek, zakłodo śe uůnygo na ćulika we wzwodźe przede płećowym stosůnkem.
physical-object;['mycka'];Mycka – uobleczyńe kere zakłodo śe na gowa, bajstlowane sům bezma zowdy s roztomajtych mjynkich matyrjołůw
physical-object;['luwr'];Luwr to je downy krůlůw pałac we Paryżu, a terozki muzyjům kůnsztu.
physical-object;['auto ćynżarowe', 'auto ćynžarowe'];Auto ćynżarowe – pojazd mechańiczny, śilnikowy, przeznaczůny do przekludzańo towarůw, ćůngńyńo naczepy, prziczepůw abo do przekludzańo ludźi, uo maśe dopuszczalnyj cołkowityj wjyncyj kej 3500 kg.
physical-object;['sztrůmwerk'];Sztrůmwerk to je werk we kerym wytwarzo śe sztrům bez przetworzyńy inkszych zortůw ynergije.
physical-object;['tank', 'čoug'];Czoug – gůńśyńicowy wůz bojowy, przeznaczůny do walki s śiłůma przećiwńika na krůtkych i średńich dystansach za půmocům prowadzyńo uogńo na wprost.
physical-object;['insztrumynt muzyczny'];Insztrumynt muzyczny – przirzōnd wytwŏrzajōncy klang, przeznaczōny do wykōnowaniŏ muzyki.
physical-object;['fara'];Fara – chaupa, we kerej mjyszko farorz a tyż i inksze kśůndze.
physical-object;['ajmer'];Ajmer – naczyńy we ksztołće podane na walec abo ćupńynty stożek na opy.
physical-object;['kachlok'];Kachlok to je akůmulacyjny pjec zbudowany ze szamotowych herckůw a kachlůw, podany we ksztołće na słup.
physical-object;['waserwoga'];Waserwoga to je przirzůnd kery służy do wyznaczańo poźůmu a blaju.
physical-object;['kloper'];Kloper – rynczne norzyńdźy służůnce do snożyńo tepichůw, nojczynśći na klopsztandze.
physical-object;['koukastla'];Koukastla je przirzůnd do trzimańo wůngla, kerym śe hajcuje we kachlokach.
physical-object;['kośćůł'];Kośćůł – we krześcijaństwje je to uobjekt, we kerym uodbywajům śe nabożyństwa a msze.
physical-object;['glazyjki', 'handszuiczki', 'handszuy', 'handszůły'];Glazyjki to je zorta uobleczyńo, kero nakłodo śe na rynce.
physical-object;['koło'];Koło – pojazd poruszany bez śůła muskli jadůncych na ńim ludźůw.
physical-object;['bysztek'];Bysztek to sům wszyjske zachy kere dopomagajům we jedzyńu: łyżki, noże, widelce a.t.p.
physical-object;['truła', 'trůua', 'trůła'];Truła – drzewjanno lebo metalowo szachtla, czynsto wyśćełano matyrjołym a korůnkůma, kery słůży do gracůnku umartych ludźi.
physical-object;['tepich'];Tepich to je zorta tkaniny dekoracyjnyj, kerōm pokrywŏ sie nojczyńścij zŏl we izbie, rzŏdzij ściany.
physical-object;['cyjo'];Cyjo to je muzyczny insztrumynt ze zorty idyjofůnůw.
physical-object;['karasol', 'kećok', 'růmel'];Karasol – werk, skuodajůncy śe s napyndu nadowajůncygo ruch uobrotowy a ziców, přeznačůny do špasu.
physical-object;['gaźńik'];Gaźńik – urzůndzyńe sztosowane we maszinach ze hajcownym motorym uo iskrowym zapalyńu.
physical-object;['luftbiksa'];Luftbiksa – popularne uokreślyńy karabinu pneumatycznygo abo pistoletu pneumatycznygo.
physical-object;['kłobuk', 'hut'];Kłobuk je elymynt uobleczyńo kery zakłodo śe na gowa.
physical-object;['blaj'];Blaj to je narzyńdźe podug kerygo idźe wyznaczyć gynau blaj.
physical-object;['auspuf'];Auspuf je tajla auta, kero suży do pozbyćo śe spalinůw raus ze śilńika.
physical-object;['sztrahecle', 'štrachecla', 'štrachecle', 'štrajchecla', 'štrajchecle'];Sztrahecle – krůtke kůnski drzewa abo tektury taplane we parafińe abo inkszyj substancyji podatnyj na hajcowańy, kerych jedyn kůńec je pokryty masům, kero rozhajcowuje śe uod tarćo.
physical-object;['nupel'];Nupel to je zorta bawidołki lo ńymowlokůw, kero mo udować maminy sutek, a wrażůno bajtlowi do gymby sprowjo, co uruchůmjo mu śe uodruch cyckańo.
physical-object;['frup'];Frup - zawarće naczyńo, uobyczńe flaszki nale kajńikej tyż krauzy lebo termosa, kere je zuůnaczůne ze matyrjołu co ńy puszczo ćeczůw.
physical-object;['banhow', 'banhof'];Banhow – stawjyńy lo uobsłůgi banowygo ruchu.
physical-object;['internec', 'mjyndzynec'];Internec (łac.
physical-object;['lojbik', 'bisenhalter', 'bistynhalter', 'cycynhalter'];Lojbik, inakszy bistynhalter, cycynhalter, pot.
physical-object;['szlojder', 'šlojder'];Szlojder abo gabla to je zorta ćepujůncej brůńi.
physical-region;['danga', 'dynga', 'důnga'];Danga to je zjawisko uoptyčne a meteorolůgične, kere wystympuje we postaći wjeloborwnygo uůku widočnygo na ńebje.
political-geographic-object;['růmůńijo', 'rōmōniyjŏ', 'růmůńja'];Růmůńijo – kraj we pouedńowo-wschodńij tajli Ojropy.
political-geographic-object;['orlando'];Orlando – mjasto we USA, we sztaće Florida, śedźiba hrabstwa Orange.
political-geographic-object;['firenze'];Firenze – mjasto we Italiji, stolica prowincyji Toskańijo a prowincyji Firenze.
political-geographic-object;['kaunas'];Kaunas - mjasto na Litwje, uostrzodek industryji.
political-geographic-object;['mandalaj', 'mandalay'];Mandalaj
political-geographic-object;['lyon'];Lyon – mjasto we Francyji, we regijůńe Rhône-Alpes, we departamyńće Rhône.
political-geographic-object;['delhi'];Delhi (hindi: दिल्ली [d̪ɪlliː], trb.: Dilli, trl.: Dillī. pyndż.: ਦਿੱਲੀ. urdu: دہلی. ang.
political-geographic-object;['salůńiki'];Salůńiki - mjasto we Grecyji, stolica regijůnu Strzodkowo Macedůńijo.
political-geographic-object;['charkůw'];Charkůw
political-geographic-object;['brugge'];Brugge (fr.
political-geographic-object;['hargejsa', 'hargeisa'];Hargejsa
political-geographic-object;['basel'];Basel (fr.
political-geographic-object;['aleppo'];Aleppo
political-geographic-object;['sewastopol'];Sewastopol
political-geographic-object;['ho chi minh'];Ho Chi Minh – mjasto we Wjetnamje, stolica prowincyji Đông Nam Bộ a morsko hawyna nad Chińskim Morzym.
political-geographic-object;['marsylijo', 'marseille'];Marsylijŏ (fr.
political-geographic-object;['nice', 'nicea'];Nice (it.
political-geographic-object;['lajpcik', 'leipzig'];Lajpcik (mjym.: Leipzig, gsob.
political-geographic-object;['nürnberg'];Nürnberg – mjasto na prowach krysu we Mjymcach, we landźe Bajery.
political-geographic-object;['lund'];Lund - mjasto we Szwecyji, we regijůńe Skańijo.
political-geographic-object;['los angeles'];Los Angeles – mjasto we USA nad Uoceanym Spokojnym we stańy Kaliforńijo.
political-geographic-object;['nagasaki'];Nagasaki – mjasto we Japůńiji, na wyspje Kiusiu, stolica prefektury Nagasaki.
political-geographic-object;['stuttgart'];Stuttgart – mjasto na prowach krysu we Mjymcach, stolica landu Badyńijo-Wirtymbyrgijo.
political-geographic-object;['pittsburgh'];Pittsburgh – mjasto we USA, we sztaće Pynsylwańijo, stolica hrabstwa Allegheny.
political-geographic-object;['wrocłow', 'wrocuaw', 'wrocław', 'breslawia', 'bryslał'];Wrocław
political-geographic-object;['jerez de la frontera'];Jerez de la Frontera - mjasto we Szpańiji, we autůnůmicznyj spůlnoće Andaluzyjo, we prowincyji Cadiz.
political-geographic-object;['utrecht'];Utrecht – mjasto a gmin we Ńiderlandach, stolica prowincyji Utrecht.
political-geographic-object;['wołgograd'];Wołgograd
political-geographic-object;['pejtersburg', 'lyńingrad', 'sankt petersburg'];Pejtersburg (Sankt Petersburg, rus.: Санкт-Петербург, dowńi tyž Peterburg, rus.
political-geographic-object;['pisa'];Pisa – mjasto we Italiji, we regijůńe Toskańijo, stolica prowincyji Pisa.
political-geographic-object;['verona'];Verona – mjasto we Italiji, we regijůńe Ojganejsko Wynecyjo, stolica prowincyji Verona.
political-geographic-object;['essen'];Essen – mjasto na prowach krysu we Mjymcach, we landźe Půłnocno Nadryńijo-Westfalijo.
political-geographic-object;['recife'];Recife – mjasto we Brazyliji, stolica sztatu Pernambuco.
political-geographic-object;['tanger'];Tanger (arab.
political-geographic-object;['gdańsk'];Gdańsk (pol.
political-geographic-object;['oaxaca', 'oaxaca de juárez'];Oaxaca de Juárez – mjasto we Meksyku, stolica sztatu Oaxaca.
political-geographic-object;['leeds'];Leeds - mjasto we Wjelgij Brytańiji, we Ynglandźe, we hrabstwje West Yorkshire.
political-geographic-object;['reading'];Reading – mjasto we Wjelgij Brytańiji, we Ynglandźe, we hrabstwje Berkshire.
political-geographic-object;['hiroszima', 'hiroshima', 'hirošima'];Hiroszima (jap.
political-geographic-object;['köln'];Köln – mjasto na prowach krysu we Mjymcach, we landźe Půłnocno Nadryńijo-Westfalijo.
political-geographic-object;['půłnocno koryjo', 'korea půunocno', 'koryjo půunocno', 'krld', 'pōłnocnŏ koryjŏ'];Koryjańsko Republika Ludowo-Dymokratyczno, (kor.
political-geographic-object;['norwygijo', 'kongeriket noreg', 'kongeriket norge', 'noreg', 'norge', 'norwygijŏ'];Norwygijo, Krůlestwo Norwygije – państwo pouożůne we Ojropje Půunocnyj na Půuwyspje Skandynawskym.
political-geographic-object;['ńiderlandy', 'holandja', 'niyderlandy', 'niyderlany'];Ńiderlandy
political-geographic-object;['lesotho'];Lesotho – państwo we połedńowyj Africe, je uůne ynklawům we Republice Połedńowyj Afriki.
political-geographic-object;['japůńijo', 'japůńja', 'japōniyjŏ'];Japůńijo (jap.
political-geographic-object;['můnako', 'mōnako'];Můnako, Kśynstwo Můnako (fr.
political-geographic-object;['samoa'];Samoa – państwo we Uoceańiji, na Pokojnym Uoceańe, we zachodńij tajli Wyspůw Samoa.
political-geographic-object;['strzodkowoafrikańsko republika', 'strzodkowŏafrikańskŏ republika'];Strzodkowoafrikańsko Republika (fr.
political-geographic-object;['dżibuti'];Dżibuti – państwo we wschodńij Africe, rozlygowane nade Adyńskům Zatokům a ćyśńinům Bab al-Mandab.
political-geographic-object;['malezyjo', 'malezyjŏ'];Malezyjo (mal.
political-geographic-object;['namibijo', 'namibijŏ'];Namibijo (Republika Namibije, ang.
political-geographic-object;['antigua a barbuda'];Antigua a Barbuda (ang.
political-geographic-object;['maurytańijo', 'maurytaniyjŏ'];Maurytańijo(arab.
political-geographic-object;['belize'];Belize – państwo we Strzodkowyj Americe, rozlygowane na půłwyspje Jukatůn, nade Karajibskim Morzym.
political-geographic-object;['růwńikowo gwinyjo'];Růwńikowo Gwinyjo, Republika Růwńikowyj Gwinyji – państwo we Africe rozlygowane nade Atlantyckim Uoceanym, grańica mo ze Kamerůnym a Gabůnym.
political-geographic-object;['saint kitts a nevis'];Saint Kitts a Nevis, Federacyjo Saint Kitts a Nevis (ang.
political-geographic-object;['kůmory', 'kōmory'];Kůmory, Zwjůnzek Kůmorůw (fr.
political-geographic-object;['důmińika', 'dōminiyka'];Důmińika – państwo we Půłnocnyj Americe rozlygowane na wyspje uo jednakim mjańe, na Karajibskim Morzu.
political-geographic-object;['saint lucia'];Saint Lucia – państwo we Strzodkowyj Americe, rozlygowane na wyspje uo jednakim mjańe we Małych Antylach.
political-geographic-object;['yngland', 'anglijo'];Yngland, roz za kedy mjanowano tyż Anglijo (ang.
political-geographic-object;['acapulco', 'acapulco de juárez'];Acapulco, połne mjano Acapulco de Juárez – mjasto we Meksyku, we sztaće Guerrero, morsko hawyna przi Pokojnym Uoceańe.
political-geographic-object;['szwajcaryjo', 'ch', 'szwajcaryjŏ', 'šwajcarja', 'šwajcaryjo'];Szwajcaryjo, Szwajcarsko Kůnfederacyjo - państwo federacyjne we Zachodńij Ojropje.
political-geographic-object;['zjednoczůne arabske ymiraty', 'zjednoczōne arabske ymiraty', 'zjydnoczůne arabske ymiraty'];Zjednoczůne Arabske Ymiraty, Państwo Zjednoczůnych Arabskich Ymiratůw – państwo we Azyji, na Bliskim Wschodźe, na Půłwyspje Arabskim nad Perskům Zatokům a Uůmańskům Zatokům.
political-geographic-object;['sojusz socjalistycznych sowjeckich republik', 'sojusz socjalistycznych sowjeckich rypublik', 'sojuš socjalistyčnych sowjeckich rypublik', 'sssr', 'zsrr', 'zwjůnzek socyjolistyčnych rypublik radźeckich', 'zwjůnzek sowjeckich socyjolistyčnych rypublik'];Sojusz Socjalistycznych Sowjeckich Republik (ros.
political-geographic-object;['francusko polinezyjo'];Francusko Polinezyjo (fr.
political-geographic-object;['weimar'];Weimar – mjasto na prowach krysu we Mjymcach, we Turyngiji.
political-geographic-object;['frankfurt am main', 'frankfurt nad mynym'];Frakfurt am Main - mjasto na prowach krysu we Mjymcach, we landźe Hesyjo.
political-geographic-object;['luksymburg'];Luksymburg, Wjelge Kśůnżynstwo Luksymburga – państwo rozlygowane we zachodńij Ojropje.
political-geographic-object;['kornwalijo'];Kornawalijo (ang.
political-geographic-object;['maroko'];Maroko, Krōlestwo Maroka (ar.
political-geographic-object;['wielgŏ brytanijŏ', 'uk', 'zjednoczōne krōlestwo wielgij brytanije a pōłnocnyj irlandyje', '🇬🇧', 'wjelgo brytańijo', 'wjelgo brytańja', 'wjelgŏ brytaniyjŏ', 'zjydnočůne krůlestwo'];Wielgŏ Brytanijŏ, Zjednoczōne Krōlestwo Wielgij Brytanije a Pōłnocnyj Irlandyje – unitarne wyspiarske państwo położōne we Zachodnij Ojropie.
political-geographic-object;['szpańijo', 'hišpańijo', 'hišpańja', 'szpaniyjŏ'];Szpańijo, Krůlestwo Szpańije (szp.
political-geographic-object;['saudyjsko arabijo', 'arabja saudyjsko', 'saudyjsko arabja', 'saudyjskŏ arabijŏ'];Arabja Saudyjsko, Krůlestwo Arabje Saudyjskij (ar.
political-geographic-object;['czad', 'čad'];Czad, Republika Czadu (fr.
political-geographic-object;['tadżykistůn', 'tadžykistan', 'tadżykistōn'];Tadžykistan, Republika Tadžykistanu – państwo we střodkowyj Azyje, grańica mo s Ůzbekistanym, Kirgistanym, Chinůma a Afgańistanym.
political-geographic-object;['uganda', 'ůganda'];Ůganda – państwo we střodkowyj Africe nad Jeźorym Wiktorji, uo placu 236 tys.
political-geographic-object;['bjołoruś', 'biołoruś', 'biŏłŏruś', 'bjouoruś'];Bjołoruś, Republika Bjołoruś
political-geographic-object;['malawi'];Malawi, Republika Malawi (ang.
political-geographic-object;['zimbabwe'];Zimbabwe, Republika Zimbabwe, pjyrwyj Rodezyjo - państwo pouožůne we pouedńowy Africe.
political-geographic-object;['azerbejdżůn', 'azerbejdżōn', 'azerbejdžan'];Azerbejdżůn, Republika Azerbejdżanu – państwo we Azyji nad Kaspijskim Morzym.
political-geographic-object;['kirgistan', 'kyrgystan', 'kyrgystōn'];Kirgistan, Republika Kirgisko (kirg.
political-geographic-object;['uzbekistůn', 'ůzbekistan', 'uzbekistōn'];Ůzbekistan (uzb.
political-geographic-object;['mali'];Mali – państwo we zachodńij Africe, bez dostympu do morza, prziległy do Synygala, Maurytańije, Algeryje, Ńigra, Gwinyje, Wybrzeżo Elefantowych Gnatůw a Burkina Faso.
political-geographic-object;['kazachstůn', 'kazachstan', 'kazachstōn'];Kazachstan, Republika Kazachstanu (kaz.
political-geographic-object;['můngolijo', 'mōngolijŏ'];Můngolijo to je państwo we wschodńij a střodkowyj Azyje, bes dostympu do mořa.
political-geographic-object;['liverpool'];Liverpool to je mjasto we zachodńij Angliji, położůne na půłnocnym brzygu estuaryjům rzyki Mersey.
political-geographic-object;['łůdź', 'uůdź', 'łódź'];Łůdź – mjasto we centralnyj Polsce, stolica łůdzkigo wojewůdztwa, stanowi grodzki krys.
political-geographic-object;['new jersey'];New Jersey je stůn na půłnocnym wschodźe Skuplowanych Stanůw.
political-geographic-object;['illinois'];Illinois to je stůn we połedńowym zachodźe Stanůw Zjydnoczůnych.
political-geographic-object;['minnesota'];Minnesota – sztat we strzodkowo-zachodńij tajli USA.
