abstract-quality;['شخصیت'];شخصیت یا شخسیت مفهومی کلی هسه که معانی مختلفی داینه.
political-geographic-object;['مکه'];مَکّه اتا شهر نوم هسته که سعودی عربستون ِدله دره.
political-geographic-object;['ابوظبی', 'abú dhabí'];ابوظبی اتا امیرنشین هسته که عربی متحده امارات ِکیشور ره نیشتگاه هسته و هفتا امارتون دله گت‌ترین هم هسته.
political-geographic-object;['اورلئان', 'orlèans'];اورلئان اتا شهر نوم هسته که فرانسهِ لوآره دله دره.
political-geographic-object;['لیدز', 'leeds'];لنکاستر اتا شهر نوم هسته که بریتانیا دله دره.
political-geographic-object;['هیروشیما', 'hiroshima'];هیروشیما شابلون:جاپونی جه اتا شهر نوم هسته که جاپون ِهیروشیما استان دله دره.
political-geographic-object;['شمالی کره', 'شمالی کوره'];|
political-geographic-object;['نروژ', 'نروج', 'نرووج'];|نروژ یا نروج اتا کشور هسته که شمالی اروپا دله دَره.
political-geographic-object;['هلند', 'هولند'];|هلند یا هولند اتا خورد کشور هسه که اروپای ِشمال‌غربی دَره و شونزه و نیم میلیون جمعیت دانه که ویشتر مسیحی پروتستان هسنه.
political-geographic-object;['لسوتو'];لسوتو اتا کشور نوم هسه که آفریخا قاره دله دره.
political-geographic-object;['جاپون', 'ژاپن', 'ژاپون'];|
political-geographic-object;['جیبوتی', 'جیوبتی'];|
political-geographic-object;['مالزی'];|
political-geographic-object;['نامیبیا', 'نامی بیا'];نامی بیا اتا کشور نوم هسه که آفریخا قاره دله دره.
political-geographic-object;['موریتانی'];موریتانی اتا کشور نوم هسه که آفریخا قاره دله دره.
political-geographic-object;['کومور'];|
political-geographic-object;['دومینیکا'];دومینیکا اتا کشور نوم هسه که آمریکا قاره دله دره.
political-geographic-object;['سنت لوسیا'];سنت لوسیا اتا کشور نوم هسه که آمریکا قاره دله دره.
political-geographic-object;['شمالی ایرلند'];|شمالی ایرلند اتا کشور هسته که ایرلند جزیره‌ی ِشمالی قسمت ره گیرنه و بریتانیای ِغربی‌ترین ایالِت هسته.
political-geographic-object;['سوییس', 'ch', 'سوئیس'];|
political-geographic-object;['متحده عربی امارات', 'امارات', 'امارات متحده عربی', 'امارات موتحده عربی', 'عربی متحده امارات', 'عربی ِموتحده امارات', 'موتحده عربی ایمارات'];|
political-geographic-object;['شوروی'];شورویِ سوسیالیستی جماهیر ِاتحاد یا خلاصتاً شوروی اتا سوسیالیستی و کمونیستی کشور بی‌یه که روسیه و چنتا متحد ِجمهوری جه تشکیل بی‌یه که تأسیس بیّن جه تا رِقِدبوردِن گادِر گتِ قسمتونی از اروپا و آسیا ره شه سامون دله داشته و دِنیایِ گترین کشور بی‌یه.
political-geographic-object;['لوکزامبورگ', 'اسپانیا'];|لوکزامبورگ ‏ و ‏ اتا کشور هسته که اروپا شومال‌وَری دره.
political-geographic-object;['کیتاکیوشو، فوکوئوکا', 'kitakyūshū'];کیتاکیوشو اتا شهر نوم هسته که جاپون ِفوکوئوکا استان دله دره.
political-geographic-object;['ساپورو', 'sapporo'];ساپورو أتا شهر نوم هسه جاپون دله دره.
political-geographic-object;['مراکش', 'مغرب'];| مراکش یا مغرب اتا کشور هسته که آفریقای ِشمال‌غربی وَر کَته.
political-geographic-object;['بریتانیا', 'انگلستان', 'انگلستون', 'انگليس', 'انگلیس', 'انگیلیس', 'اینگلستان', 'بریتانئون', 'پادشاهی متحده'];گت ِبریتانیا و شمالی ایرلند ِمتحده پادشائی که اختصاراً وه ره بریتانیا گانّه، اتا کشور اروپای ِغربی قِسمِت دله هسه.
political-geographic-object;['ایسپانیا', 'ئیسپانئون', 'ئیسپانیا', 'ئیپسانئون', 'ئەسپانون', 'اسپانیا', 'ایسپانيا'];|ایسپانیا یا اسپانیا اتا کشور هسه که اروپا قاره شنه و ایبری جزیره‌مونا دله دره.
political-geographic-object;['سعودی عربستون', 'عربستون', 'سوعودی عربئون', 'عربئون', 'عربستان'];|سعودی عربستان، عربستون یا عربئون اتا کشور نوم هسه که آسیا قاره و خاورمیونه دله دره.
political-geographic-object;['چاد'];|
political-geographic-object;['اوگاندا', 'uganda'];|
political-geographic-object;['بلاروس'];|
political-geographic-object;['مالاوی'];مالاوی اتا کشور نوم هسه که آفریخا قاره دله دره.
political-geographic-object;['جنوبی رودزیا', 'زیمبابوه', 'رودزیا', 'زیمباوه'];رودزیا أتا سرزمین نوم بی‌یه آفریقا جنوب وَر که قدیم دله اینتا سرزمین بریتانیا کولونی بی‎یه.
political-geographic-object;['جنوبی رودزیا', 'زیمبابوه', 'رودزیا', 'زیمباوه'];|زیمبابوه اتا کشور آفریقای ِجنوب ِوَر دله هسته.
political-geographic-object;['آذربایجون', 'آذربایجان', 'آذربایجان جمهوری', 'آذربایجان جه موری', 'آذربایجان جوموری', 'آذربایجون جمهوری', 'جمهوری آذربایجان'];|آذربایجون اتا کشور هسه قفقاز دله اوروپا و آسیا رادله میون.
political-geographic-object;['قرقیزستون', 'قرقیزئون', 'قرقیزستان'];|
political-geographic-object;['اوزبکستون', 'ازبکستون', 'ازبکئون'];|
political-geographic-object;['مالی', 'malí'];|
political-geographic-object;['قزاقئون', 'قزاقستون', 'قزاقستان'];|قزاقستون اتا کشور هسته که میونی آسیا دله دره.
political-geographic-object;['موغولئون'];موغولئون اتا کشور نوم هسه که آسیا قاره دله دره.
political-geographic-object;['كلان شهر'];کلانشهر که با عنوان مارشهر یا متروپولیس metropolis هم بشناسی بونه عنوانی هسه که در مورد گت و پرجمعیت شهرون به‌کار شونه.
political-geographic-object;['لیورپول', 'líverpool'];لیورپول اتا شهر نوم هسته که بریتانیا دله دره.
political-geographic-object;['کینگستن هال', 'kingston upon hull'];کینگستن هال اتا شهر نوم هسته که بریتانیا دله دره.
political-geographic-object;['وراکروس', 'veracruz'];وراکروس ‏ مکزیک ِاتا از سی و یِتّا ایالت هسته که ونه نیشتنگا شهر خالاپا هسته.
political-geographic-object;['نیو جرسی', 'new jersey', 'نیوجرسی'];نیوجرسی اتا ایالت هسته که آمریکای شرق دره و اتا از ساحلی ایالت‌ئون ِاطلس ِاقیانوس هسته.
political-geographic-object;['ایلینویز', 'illinóis', 'ایلینوی'];ایلینویز یا ایلینوی اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['مینه\u200cسوتا', 'minnesota'];مینه‌سوتا اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['میزوری', 'missouri', 'میسوری'];میزوری اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['میشیگان', 'michigan'];میشیگان اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['نبراسکا', 'nebraska'];نبراسکا اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['بلژیک', 'بلجیک'];|
political-geographic-object;['اسواتینی', 'سوزایلند', 'سوازیلند'];|اِسواتینی یا سوازیلند اتا سلطنتی کشوری هسته که آفریقای ِجنوب میون دَره و ونه نیشتنگا لوبامبا هسته، البته اداری مرکزیت ره مبابانه ِشهر دانّه.
political-geographic-object;['تونگا'];تونگا اتا کشور آرام اوقیانوس دله هسه.
political-geographic-object;['پاکئون', 'پاکستون', 'پاکستان'];| پاکستون یا پاکستان ، اتا کشور آسیای ِجنوب‌غرب میون هسته و ونه نیشتنگا نوم اسلام‌آباده.
political-geographic-object;['بنگلادش'];|بنگلادش اتا کشور هسه آسیایِ جنوب دله.
political-geographic-object;['افغانستان', 'افخانئون', 'افغانستون'];|
political-geographic-object;['اومبریا', 'umbria'];اومبریا ‏ اتا از ۲۰ ناحیه ایتالیا هسته و پروجا ونه نیشتنگائه.
political-geographic-object;['آبروتزو', 'ابروتزو'];آبروتزو ‏ اتا از ۲۰ ناحیه ایتالیا هسته و لاکوئیلا ونه نیشتنگائه.
political-geographic-object;['اتریش', 'اوتريش', 'اوتریش'];|
political-geographic-object;['لائوس'];|
political-geographic-object;['میونمار', 'میانمار'];شِمه منظور شاید اینتا بی‌بائه: برمه.
political-geographic-object;['کامبوج'];کامبوج اتا کشور نوم هسه که آسیا قاره دله دره.
political-geographic-object;['استرالیا', 'اوستراليا جزيره', 'اوسترالیا'];|
political-geographic-object;['کنتیکت', 'connecticut', 'کانتیکت'];کنتیکت اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['تیرول'];تیرول اتا ایالت هسته که اتریش ِغربی‌وَر دره.
political-geographic-object;['کن', 'cannes'];کن اتا شهر نوم هسته که فرانسهِ آلپ-ماریتیم دله دره.
political-geographic-object;['هانوفر', 'hannover'];هانوفر أتا شهر نوم هسه که آلمان دله دره.
political-geographic-object;['بوردو', 'bordeaux'];بوردو اتا شهر نوم هسته که فرانسهِ ژیروند دله دره.
political-geographic-object;['نیوکاسل', 'newcastle upon tyne'];نیوکاسل اتا شهر نوم هسته که بریتانیا دله دره.
political-geographic-object;['ماکائو'];ماکائو اتا جزیره هسه چین جنوبشرقی دله چین جنوبی دریا دله دره.
political-geographic-object;['نیو برونزویک'];نیو برونزویک یا نیو برانزویکاتا منطقه کانادا دله هسته.
political-geographic-object;['توسکانی', 'toscana'];توسکانی ‏ اتا از ۲۰ ناحیه ایتالیا هسته و فلورانس ونه نیشتنگائه.
political-geographic-object;['فریولی ونتزیا جولیا'];فریولی ونتزیا جولیا ‏ اتا از ۲۰ ناحیه ایتالیا هسته و تریسته ونه نیشتنگائه.
political-geographic-object;['پولیا', 'آپولیا'];پولیا ‏ اتا از ۲۰ ناحیه ایتالیا هسته و باری ونه نیشتنگائه.
political-geographic-object;['لمباردی'];لُمباردی یا لمباردیا ‏ اتا از ۲۰ ناحیه ایتالیا هسته و میلان ونه نیشتنگائه.
political-geographic-object;['امیلیا-رومانیا', 'emília-romagna'];امیلیا-رومانیا ‏ اتا از ۲۰ ناحیه ایتالیا هسته و بولونیا ونه نیشتنگائه.
political-geographic-object;['ترنتینو آلتو آدیجه', 'ترنتینو التو آدیجه'];ترنتینو آلتو آدیجه ‏ اتا از ۲۰ ناحیه ایتالیا هسته و ترنتو ونه نیشتنگائه.
political-geographic-object;['ونتو', 'vèneto'];ونتو ‏ اتا از ۲۰ ناحیه ایتالیا هسته و ونیز ونه نیشتنگائه.
political-geographic-object;['کاتالونیا', 'کاتالونون'];کاتالونیا اتا شه‌مختار بخش هسته که ایسپانیایی شمال‌شرقی وَر دره و تقریباً کاتالونون ِتاریخی ناحیه جه برابری کانده.
political-geographic-object;['باسیلیکاتا'];باسیلیکاتا ‏ اتا از ۲۰ ناحیه ایتالیا هسته و پوتنزا ونه نیشتنگائه.
political-geographic-object;['مولیز', 'molise'];مولیز ‏ اتا از ۲۰ ناحیه ایتالیا هسته و کامپوباسو ونه نیشتنگائه.
political-geographic-object;['آپارتاید', 'apartheid'];آپارتاید اتا کلمه آفریقایی زبون هسِّه .آپارتاید اتا جور تبعیض نژادی هسِّه که آفریقای جنوبی دله وجود داشته و تا حدودی دارنه و تبعیض و فرق بشتن سیاه پوستان که اکثریت هسِّنه میون با اسپه آدمون هسِّه.
political-geographic-object;['ترکمونستون', 'ترکمنون', 'ترکمنئون', 'ترکمنستان', 'ترکمنستون', 'تورکمنستون'];تِرکِمونِستون یا ترکمنستون اتا کشور میونی آسیا دله هسته.
political-geographic-object;['گرجستون', 'گرجئون', 'گرجستان', 'گورجئون', 'گورجستون'];|
political-geographic-object;['روآندا', 'رواندا'];|روآندا اتا پچوک کشور هسته که آفریقای ِمرکزی قسمت درون دَره.
political-geographic-object;['زامبیا'];|
political-geographic-object;['زئیر', 'بلژیک کنگو', 'جمهوری دموکراتیک کنگو', 'کنگو دموکراتیک جمهوری', 'کنگو دمکراتیک جمهوری', 'کنگو کینشاسا', 'کنگوی آزاد کشور'];شِمه منظور شاید اینتا بی‌بائه: کنگو.
political-geographic-object;['گواتمالا', 'guatémala'];|
political-geographic-object;['کاستاریکا', 'کستاریکا'];| کاستاریکا یا کاسداریکا کشوری هسته که میونی آمریکا قاره دله دره.
political-geographic-object;['مجارستون', 'مجارستان'];مجارستون اتا کشور مرکزی اروپای دله هسه.
political-geographic-object;['لهستون'];لهستون اتا کشور هسته که شرقی اروپا دله دره.
political-geographic-object;['بوروندی', 'burundí', 'بروندی'];| بوروندی یا بروندی اتا پچوک ِکشور ِنوم هسه که آفریقای ِقاره دله دره.
political-geographic-object;['تانزانیا'];|
political-geographic-object;['گینه'];گینه اتا کشور نوم هسه که آفریخا قاره دله دره.
political-geographic-object;['سومالی'];|
political-geographic-object;['ویتنام'];|ویتنام اتا کشور نوم هسه که آسیا قاره دله دره.
political-geographic-object;['لیبی'];|
political-geographic-object;['شرقی آلمان', 'آلمان شرقی', 'دموکراتیک جوموری آلمان'];آلمان دموکراتیک جمهوری که ونه غیررسمی نوم «شرقی آلمان» بی‎یه، اتا کمونیستی دولت بی‌یه که سال‌های ۱۹۴۹ تا ۱۹۹۰ اتا منطقه‌ی آلمان که شوروی اشغال هاکرد بی‌یه دله حکومت کارده.
political-geographic-object;['آلمان', 'آلمون'];آلمان ‏ که ونه رسمی نوم آلمان ِفدرال ِجمهوری ‏ هسته، اتا کشور اروپا قاره دله هسته که ونه نیشتنگا برلین ِشهر هسته.
political-geographic-object;['سودان', 'sudan'];|سودان اتا کشور هسته که آفریقای ِشمال‌شرقی دله دَره و ونه نیشتنگا خرطوم هسته.
political-geographic-object;['مصر', 'مسر', 'مەسر'];|
political-geographic-object;['گویان', 'گایان'];|
political-geographic-object;['سورینام', 'سورینوم'];|
political-geographic-object;['ونزوئلا', 'ونزولا'];|ونزوئلا اتا کشور هسته که جنوبی آمریکای ِشمالی سواحل دله دَره.
political-geographic-object;['الجزایر', 'الجزائر'];|
political-geographic-object;['هند'];|
political-geographic-object;['ایتالیا', 'ایتالئون'];|
political-geographic-object;['شیلی'];|شیلی اتا کشور هسته که جنوبی آمریکای ِغربی سواحل دله دَره.
political-geographic-object;['پاراگوئه'];|
political-geographic-object;['بوتسوانا'];|
political-geographic-object;['موزامبیک'];موزامبیک اتا کشور نوم هسه که آفریخا قاره دله دره.
political-geographic-object;['اندونزی', 'هلند شرقی هند', 'اندونزیا', 'هولند هند'];|اندونزی أتا کشور هسه که آسیا شرقی جنوب دله دره.
political-geographic-object;['اندونزی', 'هلند شرقی هند', 'اندونزیا', 'هولند هند'];هلند ِهند اندونزی ِکشور ِکوهنه نوم بی‎یه.
political-geographic-object;['یونان'];یونان شابلون:یونانی جه اتا کشور اروپای ِجنوب‌شرقی و بالکان جزیره‌مونای ِجنوب هسته.
political-geographic-object;['اوکراین', 'اکراین'];اوکراین یا اکراین شرقی اروپا کشورون جا هسته.
political-geographic-object;['مکزیک'];|
political-geographic-object;['ارمنستون', 'ئەرمەنون', 'ارمنئون'];| ارمنستون اتا کیشور نوم هست،ه جنوبی قفقاز منطقه دله.
political-geographic-object;['عراق', 'عیراق'];|
political-geographic-object;['جنوبی کره', 'جنوبی کوره', 'کره جنوبی'];جنوبی کُره که ونه رسمی نوم کره‌یِ جمهوری شابلون:به کره‌ای هسته، اتا کشوره که کره جزیره مونایِ جنوبی قسمتون ره آسیایِ شرقی وَر دله جا بَیته.
political-geographic-object;['دومینیکن'];دومینیکن اتا کشور نوم هسه که آمریکا قاره دله دره.
political-geographic-object;['گامبیا'];|
political-geographic-object;['غنا', 'قنا'];|
political-geographic-object;['نیجریه', 'نایجریا', 'نایجریه'];|نیجریه اتا فدرال کشور هست که آفریقایِ غرب دَره.
political-geographic-object;['عاج ساحل', 'ساحل عاج', 'کوته د ایویره', 'کوته دیویره'];|
political-geographic-object;['نیجر', 'níger'];نیجر اتا کشور نوم هسه که آفریخا قاره دله دره.
political-geographic-object;['گابون', 'gabon', 'گابن'];|
political-geographic-object;['کنگو جمهوری', 'جمهوری کنگو', 'کنگو برازاویل', 'کنگوی جمهوری'];شِمه منظور شاید اینتا بی‌بائه: کنگو.
political-geographic-object;['کامرون'];|
political-geographic-object;['سنگال'];|
political-geographic-object;['فرانسه'];شابلون:بهبود منبع فرانسه گت‌ترین کشور غربی‌اروپا دله هسه.
political-geographic-object;['ئەکوادور', 'اکوادر', 'ekvador', 'اکوادور'];| اکوادور یا اکوادر اتا کشور نوم هسته که جنوبی امریکا دله دره.
political-geographic-object;['ایرلند جمهوری', 'ایرلند', 'ايرلند جزيره', 'ایرلند جزیره', 'جمهوری ایرلند', 'جنوبی ایرلند'];ایرلند اتا جزیره نوم هسته که دِتا سیاسی بخش دانّه.
political-geographic-object;['ایرلند جمهوری', 'ایرلند', 'ايرلند جزيره', 'ایرلند جزیره', 'جمهوری ایرلند', 'جنوبی ایرلند'];|
political-geographic-object;['ماداگاسکار', 'مالاگاسی'];|
political-geographic-object;['مالدیو'];مالدیو اتا کشور نوم هسه که آسیا قاره دله دره.
political-geographic-object;['السالوادؤر', 'السالوادور'];السالوادؤر اتا کشور نوم هسه که آمریکا قاره دله دره.
political-geographic-object;['فیلیپین'];فیلیپین اتا جزیره‌یی کشور نوم هسه که آسیا قاره دله دره.
political-geographic-object;['سیشل'];|
political-geographic-object;['بخش گتو'];اتا از بخشون شهرستان بابل جا هسه که یازه کیلومتری بابل قرارهیته.
political-geographic-object;['سوئد'];|
political-geographic-object;['ولادی\u200cوؤستؤک', 'vladivostok', 'وەلادی\u200cوؤستؤک'];ولادی‌وستوک اتا شهر نوم هسه که روسیه شرق سامون دله جا دانه، وه شومالی کره و چین پلی دره.
political-geographic-object;['الکویت', 'کویت'];الکویت اتا اتا شهر نوم هسته که کویت دله دره.
political-geographic-object;['نیشتنگاء', 'نیشتگاه'];نیشتنگاء، نیشتگا، کشور ِمرکز یا شاهنشین هر کشور ِاتا اصلی شهر هستی که معمولاً بقیه شهرون جه گتتره و «وزارت کشور» و بقیه حکومتی نهادون ونه دله درنه.
political-geographic-object;['لیختن اشتاین', 'لیختن\u200cاشتاین'];|
political-geographic-object;['آندورا'];|
political-geographic-object;['تنسی', 'tennessee', 'تنسی ایالت'];تنسی اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['کنتاکی', 'kentucky'];کنتاکی اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['کانزاس', 'kansas'];کانزاس اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['ورمونت', 'vermont'];ورمونت اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['ماساچوست', 'massachusetts'];ماساچوسِت یا مَسِچوسِتز اتا ایالت هسته که آمریکای شرق‌وَر کته و نیوانگلند ایالت‌ئون جه هسته.
political-geographic-object;['رودآیلند', 'rhode island', 'رود آیلند'];رودآیلند اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['جنوبی داکوتا'];جنوبی داکوتا اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['آلاسکا', 'alaska', 'آلاسکا جزیره مونا'];آلاسکا اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['مونتانا', 'montana'];مونتانا اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['اورگن', 'orégon'];اورگن یا اُرگان اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['لوئیزیانا', 'louisiana', 'لوییزیانا'];لوئیزیانا اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['اوکلاهاما', 'oklahoma', 'اکلاهما'];اوکلاهاما اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['آرکانزاس', 'arkansas'];آرکانزاس اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['فلوریدا', 'flórida'];فلوریدا اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['جورجیا', 'geórgia'];جورجیا اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['شمالی کارولینا', 'کارولینای شمالی'];شمالی کارولینا اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['نیومکزیکو'];نیومکزیکو اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['آریزونا', 'arizona'];آریزونا اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['می\u200cسی\u200cسی\u200cپی', 'mississíppi', 'می سی سی پی', 'میسیسیپی'];می‌سی‌سی‌پی اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['جنوبی کارولینا'];جنوبی کارولینا اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['ویرجینیا'];ویرجینیا اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['آیداهو', 'idaho'];آیداهو اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['آلاباما', 'alabama'];آلاباما اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['هاوایی', 'هاوائی'];هاوایی یا هاوائی اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['نوادا', 'névada'];نوادا اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['کالیفرنیا', 'ایالت کالیفرنیا', 'کالیفرنیای ایالت', 'کالیفورنیا'];شِمه منظور شاید اینتا بی‌بائه: کالیفرنیا.
political-geographic-object;['وایومینگ', 'wyoming'];وایومینگ اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['یوتا', 'utah'];یوتا اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['کلرادو', 'colorado'];کلرادو اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['شمالی داکوتا'];شمالی داکوتا اتا ایالت نوم هسته که متحده ایالات امریکا دله دره.
political-geographic-object;['شفیلد', 'sheffield'];شفیلد اتا شهر نوم هسته که بریتانیا دله دره.
political-geographic-object;['عمان', 'عومان'];|
political-geographic-object;['دمشق'];دمشق أتا شهر نوم هسه سوریه دله دره.
political-geographic-object;['تبریز', 'tabriz'];تبریز شهر شرقی آذربایجان اوستان ره نیشتگاه هسته و ونه جمیت ۱٬۳۷۸٬۹۳۵ نفر هسته.
political-geographic-object;['پرسپولیس', 'persépolis'];پرسپولیس اتا کارتونی فیلم هسه که مرجانه ساتراپی وه ره، شه زندگی خَوِری بِساته.
political-geographic-object;['لاتزیو'];لاتزیو ‏ اتا از ۲۰ ناحیه ایتالیا هسته و رم ونه نیشتنگائه و درواقع ایتالیایِ نیشتنگا، رُم، لاتزیو دله دره.
political-geographic-object;['کویت', 'کوویت'];کویت اتا کشور نوم هسه که آسیا قاره دله دره.
political-geographic-object;['اوردون', 'اردن', 'اردون', 'اوردن'];|
political-geographic-object;['تبت'];تبت سرزمین مقدس بودائیون مرکزی آسیای دله هسته که ونه متوسط ارتفاع سطح دریا جه حدود ۴۹۰۰ متر وونه.
political-geographic-object;['لبنان', 'لوبنان'];لبنان اتا پچوک ِکشور هسته که کوهستونی هسته و آسیا و خاورمیونه‌ی ِغرب و مدیترانه دریا پَلی دَره.
political-geographic-object;['بریستول', 'bristol'];بریستول اتا شهر نوم هسته که بریتانیا دله دره.
political-geographic-object;['اوساکا', 'ôsaka'];اوساکا اتا شهر نوم هسته که جاپون ِاوساکا استان دله دره.
political-geographic-object;['کیپ ورد'];|کیپ ورد اتا جزیره‌یی کشوری هسته که اطلس اوقیانوس ِشمال دَره و ونه شرقی وَر آفریقایِ سواحل جه رِسِنه.
political-geographic-object;['بحرین'];|
political-geographic-object;['ایسلند'];|ایسلند ِجمهوری اروپای ِشمالی‌­ترین کشور هسته که شه اتا جزیروئه که اطلس اوقیانوس ِشمال دَره و شمالی قطب جه نزدیکه.
political-geographic-object;['سائوپائولو', 'sâo paulo'];سائوپائولو أتا شهر نوم هسه که برزیل دله دره.
political-geographic-object;['لیسبون'];لیسبون اتا شهر نوم هسته که پرتغال دله دره.
political-geographic-object;['آبوجا', 'abuja'];آبوجا ، نیجریه ِکیشور ره نیشتگاه هسته.
political-geographic-object;['بوگوتا', 'bogotá'];بوگوتا أتا شهر نوم هسه که کلمبیا نیشتگا هسه.
political-geographic-object;['پراگ'];پراگ جوموری چک ِنیشتنگاء هسته.
political-geographic-object;['جاکارتا'];جاکارتا أتا شهر نوم هسه که اندونزی نیشتنگا هسه.
political-geographic-object;['بقداتی', 'بغداد', 'bagdād', 'بغداد، عراق'];بقداتی اتا شهر نوم هسته که گورجستون دله دره و ونه جمعیت ره ۲۰۰۹ سرشماری گادِر ۴٬۸۰۰ نفر اعلام هاکرد بینه.
political-geographic-object;['بقداتی', 'بغداد', 'bagdād', 'بغداد، عراق'];بغداد أتا شهر نوم هسه عراق دله دره.
political-geographic-object;['بیروت'];بیروت لبنان نیشتنگاء هسه.
political-geographic-object;['بخارست'];بخارست ، رومانی ِکیشور ره نیشتگاه هسته.
political-geographic-object;['کییف', 'کی\u200cاف', 'کی\u200cیف'];کییف شابلون:اکراینی جه اکراین ِنيشتنگا و ونه گت‌ترین شهر هسته.
political-geographic-object;['ایروان'];ایروان ارمنستون ِنیشتنگاء هسته.
political-geographic-object;['برلین', 'berlín'];برلین ، آلمان ِکشور ره نیشتنگاء هسته.
political-geographic-object;['پيونگ يانگ'];پیونگ یانگ أتا شهر نوم هسه شمالی کوره دله دره.
political-geographic-object;['ریاض'];ریاض اتا شهر نوم هسته که سعودی عربستون ِدله دره.
political-geographic-object;['پکن'];پکن أتا شهر نوم هسه چین دله دره.
political-geographic-object;['تایلند'];تایلند یا تاییلند که سابقاً ونه نوم سیام بی‌یه، اتا کشور هسته که هندوچین ِجزیره‌مونا دله و آسیای ِجنوب‌شرقی‌وَر دَره.
political-geographic-object;['اتیوپی'];|اِتیوپی که ونه رسمی نوم اتیوپی ِفدرال ِدموکراتیک جمهوری هَسته، اتا کشوره که آفریقای شاخ ِمنطقه دله دَره و دریا جه سامون نِدانّه.
political-geographic-object;['موسکو', 'مسکو'];موسکو أتا شهر نوم هسه که ئوروسیا پایتخت هسه.اینتا شهر دله کرملین کاخ دره.
political-geographic-object;['بنین', 'بینین'];|
political-geographic-object;['بورکینافاسو', 'بورکینا فاسو', 'بورکینو فاسو', 'بورکینوفاسو'];|
political-geographic-object;['باهاما'];|
political-geographic-object;['سائوتومه و پرینسیپ', 'سائوتومه ئو پرنسیب', 'سائوتومه و پرنسیب', 'سائوتومه و پرنسیپ', 'سائوتومه و پرینسیب'];|
political-geographic-object;['اسرائیل', 'ئیسرائیل', 'اسراییل', 'ایسرائیل', 'ایسراییل'];اسرائیل اتا اختلاف‌دار ِکشور نوم هسه که آسیا قاره و خاورمیونه دله دره.
political-geographic-object;['عقبه'];عقبه اتا شهر نوم هسته اردن ِعقبه استان دله دره.
political-geographic-object;['شیکاگو', 'chicago'];شیکاگو أتا شهر نوم هسه که متحده ایالات ِایلینویز دله دره.
political-geographic-object;['ممفیس', 'memphis'];ممفیس أتا شهر نوم هسه که متحده ایالات دله دره.
political-geographic-object;['اسکاتلند'];|
political-geographic-object;['فلاند', 'فنلاند'];فَنلاند یا فَلّاند اتا کشور نوم هسته که و اروپا دله دَره.
political-geographic-object;['سمرکنده', 'samarkand', 'سأمأرکه\u200cنده', 'سمرقند'];سأمأرکه‌نده أتا شهر نوم تاجیک زبان هسه اوزبکئون دله دره.
political-geographic-object;['آسونسیون', 'asunción'];آسونسیون ، پاراگوئه ِکشور ره نیشتگاه هسته.
political-geographic-object;['دوحه', 'dohá'];دوحه اتا شهر نوم هسته قطر ِدوحه‌استان دله دره.
political-geographic-object;['وین'];وی‌یَن اتریش پایتخت و اتا از استانای نُه‌تایی کشور اتریش محسوب وونه.
