abstract-region;['ෆූරියර් ශ්\u200dරේණිය', 'ෆෝරියර් ශ්\u200dරේණිය'];ගණිතයේදී, ෆූරියර් ශ්‍රේණිය මගින් ආවර්තිත ශ්‍රිතයක් සරල දෝලන ශ්‍රිත කිහිපයක ඓක්‍යයක් බවට වියෝජනය කරයි.
physical-object;['පරිගණක මතකය'];පරිගණකය තුල දත්ත ගබඩා කරගැනීම සඳහා "1" සහ "0" යන සංක්‍යයා ද්විත්වය භාවිත කරයි.
physical-object;['සන්නාහ යුද්ධ රථ', 'සන්නාහ යුධ වාහන'];සන්නාහ යුධ වාහනයක් යනු සන්නාහයකින් ආරක්ෂා වී ඇති අවි ආයුධවලින් යුක්ත යුධ වාහනයකි.
physical-object;['බෝම්බය'];බෝම්බයක් යනු ක්ෂණිකව ශක්තිය උත්පාදනය කොට මුදාහරින උපාංගයකි.
physical-object;['කැත්ත'];කැපුම්තලය වක්‍ර හැ‍ඩැති පටියක් ලෙසින් හෝ අඩසඳ ආකාර ආස්තරයක් ලෙසින් හෝ සහිත පිහි වර්ග සඳහා පොදුවේ භාවිතාකරන යෙදුමකි.
physical-object;['වොලිබෝලය', 'අත් පන්දුව', 'අත්පන්දුව', 'වොලිබෝල් (අත් පන්දු) ක්\u200dරීඩාව'];සාමාන්‍යයෙන් කෙරෙන අනිකුත් වොලිබෝල් ක්‍රීඩාව සඳහා නිළ වශයෙන් වොලිබෝලය පාචිච්ච් කරයි.
physical-object;['දුරකථනය', 'telephone', 'තලබනුව', '☏'];දුරකථනය යනු ශබ්දය සම්ප්‍රේෂණයට හා ලබා ගැනීමට භාවිතා වන විදුලි සංදේශ උපකරණයකි.
physical-object;['දුරේක්\u200dෂය', 'දුරේක් ෂය', 'telescope', 'දුරේක්ෂ', 'දුරේක්ෂය', 'දුරේක්\u200dෂ'];දුරේක්‍ෂයක් යනු විද්‍යුත් චුම්බක විකිරණයන් ඒකරාශි කිරීම අනුසාරයෙන් දුරස්ථ වස්තූන් නිරීක්ෂණය ඉවහල් වන පරිදී තනා ඇති උපකරණයකි.
physical-object;['අන්වීක්ෂය'];අන්වීක්ෂය යනු ඉතා කුඩා වස්තූන් විශාල කර බැලීම සදහා යොදා ගනු ලබන උපකරණයකි.ආලෝක හා ඉලෙක්ට්‍රෝන අන්වීක්ෂ ආදී වර්ග තිබේ.
physical-object;['පිටොට් නළය'];පිටොට් නළය යනු තරල ප්‍රවාහයක ප්‍රවේගය මැනීමට භාවිතා කරන පීඩනය මැනීමේ උපකරණයකි.
physical-object;['සංගීත වාද්\u200dය භාණ්ඩ', 'සංගීත උපකරණ'];== සර පුවරු == වාද්‍ය භාණ්ඩයක ශබ්දය කෙසේ නිපදවේද යන්න නොසැලකුවද, බොහෝ වාද්‍ය භාණ්ඩ වල පරිශිලක අතුරු මුහුණත ලෙස සර පුවරුවක් ඇත.
physical-object;['දෘඪාංග', 'පරිගණක දෘඩාංග', 'computer hardware'];පරිගණක දෘඩාංග යනු පරිගණකයක වන භෞතික කොටසය.
physical-object;['ක්ෂුද්\u200dර සැකසුම් ඒකකය'];ක්ෂුද්‍ර සැකසුම් ඒකකය යනු වර්තමාන ලෝකයේ බොහෝ සංකීර්ණ ඉලෙක්ට්‍රොනික් උපකරණ වල භවිතා කරන විදුලියෙන් ක්‍රියා කරන ඉතා කුඩා ප්‍රමාණයට සකස් කරන ලද සංඛ්‍යාංක විදුලි පරිපථයකි. මෙම පරිපථවලට දී ඇති උපදෙස් පෙලක අනුව ක්‍රියා කළ හැකි බැවින් විවිධ කටයුතු සඳහා විශාල වශයෙන් භාවිතා කරයි.
physical-object;['අනුක්\u200dරම තොට'];පරිගණනයෙහි, අනුක්‍රම තොටක් යනු එය හරහා එක් වරකට බිටු එකක් පමණක් ඇතුලතට හෝ පිටතට හෝ තොරතුරු හුවමාරු සිදුකෙරෙන අනුක්‍රම සන්නිවේදන භෞතික අතුරු මුහුණතකි.
physical-object;['ඩේවිගේ ලාම්පුව'];1815 දී ශ්‍රීමත් හම්ප්‍රි ඩේවි විසින් නිපැයුනු ඩේවිගේ ලාම්පුව යනු ඉටිපන්දමක් සහිත ආරක්ෂිත ලාම්පුවකි.
physical-object;['බාල්දිය'];“පනිට්ටුව” ලෙසින්ද හැඳින්වෙන “බාල්දිය” යනු, දිය පිටතට නොයන අන්දමින් මුද්‍රාතැබුනු, විවෘත ඉහල අගකින් හා පැතැලි පතුලකින් යුතු හා කොක්ක ලෙසින් හැඳින්වෙන අර්ධ-වෘත්තාකාර ධාරක මිටකට සාමාන්‍යයෙන් සම්බන්ධිත සිරස් සිලින්ඩරයක් හෝ ලුප්ත කේතුවකි.
physical-object;['උත්ප්\u200dරේරක පරිවර්තනය', 'catalytic converter'];ඒ, උත්ප්රේරක පරිවර්තකයට වූ ඔක්සිකරණ ඔක්සිහරණ ප්රතික්රියා පවාහනය විසින් අඩු විෂ සහිත දූෂක කිරීමට සමන වායු විෂ දූෂක පරිවර්තනය කරන වාහන දුම් පාලනය උපාංගය වේ.
physical-object;['ආලෝකය', 'එලිය', 'ප්\u200dරභා', 'ප්\u200dරභාව'];‍
physical-object;['වෑල්ව', 'වෑල්වය'];තරලයක ගැලීම පාලනය කිරීම සඳහා ඇති උපාංග වෑල්ව නම්වේ.
physical-object;['පලිහ', 'පළිහ'];ප්‍රහාරයන්ගෙන් සිරුර ආරක්‍ෂාකරගැනීම සඳහා යොදාගන්නා උපකරණයකි.
physical-object;['රූපවාහිනිය', 'ටීවී', 'ටෙලි', 'රූපවාහිනියේ - පාරිසරික බලපෑම්'];'ප්‍රථම වරට රූපවාහිනිය නිපදවන ලද්දේ ජෝන් ලොගී බෙයාර්ඩ් විසිනි.
physical-object;['පිටොට් නළය'];පිටොට් නළය යනු තරල ප්‍රවාහයක ප්‍රවේගය මැනීමට භාවිතා කරන පීඩනය මැනීමේ උපකරණයකි.
physical-object;['විලාසිතා-පාවහන් යනු'];=== උස් අඩි පාවහන් === පාවහන් සංයුක්ත වන්නේ පරිස‍රයට එරෙහිව ආරක්ෂා වීමට සනීපාරක්ෂාවට හා අලංකරණයට පලඳින පාදයේ පළඳින පැලඳුමකිනි.
physical-object;['අමුඩය', 'අමුඩෙ'];අමුඩය පිරිමි ඇඳුමකි.
physical-object;['ක්\u200dරීඩා උපකරණ', 'ක් රීඩා උපකරණ', 'sports equipment'];ක්‍රීඩා උපකරණ යනු ක්‍රීඩා සහ ව්‍යායාම සඳහා භාවිතා කරන ඕනෑම භාණ්ඩයකට යෙදෙන පොදු යෙදුමකි.
physical-object;['ඇට සුණු පිඟන් භාණ්ඩ', 'අස්ථි මුසු පිඟන් භාණ්ඩ', 'අස්ථි මුසු පෝසිලේන්'];ඇට සුණු පිඟන් භාණ්ඩ යනු මෘදු-පාප්ප පෝසිලේන් වර්ගයක් වන අතර, ඇට සුණු, පෙල්ස්පැතික ද්‍රව්‍යය සහ කෙයොලීන් වලින් සමන්විත වෙයි.
physical-object;['ක්\u200dරිස්තියානි පල්ලි', 'පල්ලිය', 'දෙව්මැදුරු'];දෙව්මැදුරක්, කිතුනු දේවස්ථානයක් හෝ ක්‍රිස්තියානි පල්ලියක් යනු කිතුනු ආගමික කටයූතු සිදුකරන ගොඩනැගිල්ලකි.
physical-object;['නාශක නැව්'];නාවික පාරිභාෂිකයේ නාශකය යනු වේගවත් සහ උපායශිලී මෙන්ම දිගු පැවැත්මක් සහිත යුධ නැව් වේ.
physical-object;['රික්ත ප්ලාස්කුව'];රික්ත ප්ලාස්කුවක් යනු, තාප පරිවරණය ඇති කරලනු වස්, අන්තර්ගතය හා පරිසරය අතරමැද, පදාර්ථය ඉවත් කල කලාපයක් බහාලීමෙන්, එහි අන්තර්ගතය අවට පරිසරයට වඩා උණුසුම්ව හෝ සිසිල්ව හෝ තබා ගන්නා භාජනයකි.
physical-object;['පාපැදි', 'බයිසිකලය', 'පා පැදි', 'පාපැදිය', 'බයිසිකල්'];පාපැදි හෙවත් බයිසිකල් යනු මිනිස් බලයෙන් ගමන්කරන වාහන වර්ගයක්.
physical-object;['කරත්ත'];ක්‍ෂීරපායී සත්ත්‍ව‍‍‍යකු විසින් ඇදගෙන යනු ලබන වාහන කරත්ත නම්වේ.
physical-object;['රග්බි පන්දුව'];රග්බි පන්දුව ආරම්බයේදී quanco යන නමින් හැදින්විය, මෙය දිගටි ඉලිප්සාභ පන්දුවක් වන අතර රග්බි ක්‍රීඩාව සදහා යොදා ගනී.
physical-object;['දුනු තරාදිය'];දුනු තරාදිය සරල වශයෙන් සැලකූ කළ එය එක් පසකින් අචල ලෙස සවි කොට ඇති හා අනෙක් පසින් වස්තුවක් එල්ලීමට කොක්කක් සහිත දුන්නක් ලෙසින් විස්තර කළ හැක.
physical-object;["අ'කෝඩිඅ'න්", 'එකෝඩියන්', 'accordion', 'අකෝඩියන්', 'සංගීත භාණ්ඩ - ඇකෝඩියන්'];=== වර්ගීකරණය === ෆ්‍රී - රීඩ් භාණ්ඩයකි.
physical-object;['ඡායාරූප පත්\u200dරකලාවේදය'];ඡායාරූප පත්‍රකලාවේදය යනු පත්‍රකලාවේදයේ විශේෂිත ක්ෂේත්‍රයකි.
physical-object;['යුද්ධ නැව්', 'යුධ නෞකාව'];යුධ නෞකා ප්‍රමාණයෙන් ඉතා විශාල වන අතර අධික බරකින්ද යුක්ත වේ.
physical-object;['ලේසර් කිරණ', 'ලේසර්', "ලේස'", 'uses of laser', 'ලේසර්වල ප්\u200dරයෝජන'];ලේසරයක් යනු සමචාරී ආ‍ලෝක විකිරණ විමෝචනය කරන ‍ඉලෙක්ට්‍රොනික ප්රකාශ උපකරණයකි.
physical-object;['ආලෝක විමෝචක දියෝඩය', 'ආලෝක විමෝචන දියෝඩය'];ආලෝක විමෝචක දියෝඩයක් යනු අර්ධ සන්නායක භාවිතයෙන් සෑදුනු ආලෝක ප්‍රභවයකි.
physical-object;['ඡායාරූප මුද්\u200dරණය-ඡායාරූප කඩදාසි', 'ඡායාරූප මුද් රණය-ඡායාරූප කඩදාසි', 'ඡායාරූප කඩදාසි'];ඩිජිටල් ඡායාරූප විකසක ක්‍රියාවලීන් භාවිතයට පැමිණීමට පෙර ඡායාරූප කඩදාසි මඟින් හැඟවුණු එකම අර්ථය වූයේ ආලෝක සංවේදක රසායන ද්‍රව්‍ය ගැල්වූ කඩදාසි ගණනයි.
physical-object;['පෝසිලේන්'];කිරිමැටි වලින් තැනූ භාණ්ඩයක් 1,200 °C සහ 1,400 °C අතර උෂ්ණත්වයක පෝරණු තුල පුළුස්සාගත්විට පොසිලේන් භාණ්ඩ බවට පත්වේ.'
physical-object;['බීකරය'];බීකරය යනු ද්‍රාවණ කැලතීම, මිශ්‍ර කිරීම සහ රත් කිරීම අදිය සිදුකිරීම සඳහා විද්‍යාගාර තුල භාවිතයට ගන්නා සරල බඳුනකි.
physical-object;['වෝල්ට් මීටරය'];වෝල්ට් මීටරය යනු අන්ත දෙකක් අතර විභව අන්තරය මැනීම සදහා භාවිතා කරන උපකරණයකි.
physical-object;['අශ්ව ලාඩම', 'අශ්වලාඩම'];අශ්ව ලාඩමක් යනු, අශ්වයෙකුගේ කුර ගෙවීම වැලැක්වීමට සැලසුම් කළ, සාමාන්‍යයෙන් ලෝහයෙන් තැනුවද, සමහරවිට සම්පූර්ණයෙන් හෝ අර්ධ වශයෙන් හෝ නූතන කෘත්‍රිම ද්‍රව්‍යයන්ගෙන් තැනෙන, පිරිසකසන ලද භාණ්ඩයකි.
physical-object;['සහාධිපත්\u200dය'];සැකිල්ල:Property law සහාධිපත්‍ය යනු නිවාස බුක්තිය සහ අනෙකුත් ඉඩකඩම් දේපොළක විවිධ කොටස්වල අයිතිය වෙනවෙනම පුද්ගලයින් සතුවීමයි.
physical-object;['දම්වැල් කියත'];දම්වැල් කියත යනු පහසුවෙන් එහා මෙහා ගෙන යා හැකි, යාන්ත්‍රික, ඇන්ජිමක් සහිත කියතකි.
physical-object;['බැටරි', 'වියලි කෝෂය'];ඉලෙක්ට්‍රෝන විද්‍යාවේදී, රසායනික ශක්තිය ලෙස ශක්තිය ගබඩා කරන ශ්‍රේණිගතව සම්බන්ධ කළ විද්‍යුත් ශක්තිය නිපදවිය හැකි විද්‍යුත් කෝෂ 2ක් හෝ කීපයක් බැටරියක් නම් වේ.
physical-object;['තොප්පිය', 'hat'];තොප්පිය හිස් ආවරණයක් වන අතර, විවිධ හේතු නිසා තොප්පි පලඳි.
physical-object;['කරත්ත'];ක්‍ෂීරපායී සත්ත්‍ව‍‍‍යකු විසින් ඇදගෙන යනු ලබන වාහන කරත්ත නම්වේ.
physical-object;['කපාට', 'කපාටය'];තරලයක් එක් දිශාවකට පමණක් ගලායාම සිදුකරවන වෑල්ව කපාට නම්වේ.
physical-object;['ටෝපිඩෝ බෝට්ටු', 'ටෝර්පිඩෝ බෝට්ටුව'];දිය යට නළ බෝම්බ ගෙන යා හැකි අයුරින් කුඩාවට සහ ඉතා ඉක්මනින් ගමන් කළ හැකි අයුරින් නිර්මාණය කරන ලද නාවික යාත්‍රාවක් ලෙස ටෝර්පිඩෝ බෝට්ටුව හැදින්විය හැකිය.
physical-object;['යටිතල ව්\u200dයුහය'];සාමාන්‍යයෙන් යටිතල ව්‍යුහය යන පදය භාවිතා වන්නේ මහා මාර්ග, ජල සැපයුම්, ජල අපවහනය, විනෝදාත්මක හා වෙනත් ආර්ථිකව උපයෝගී වන වත්කම් සඳහාය.
physical-object;['රේඩාර් උපාංග', 'radar'];රේඩාර් යනු පරාසය ඌනතා අංශය දිශාව හෝ වේගය හඳුනා ගැනීම සඳහා විද්‍යුත් චුම්භක තරංග භාවිතා කරන පද්ධතියකි.
physical-object;['වයලීනය'];වයලීනය තත් හතරක් සහිත වාදනය කල හැකි උපකරණයකි.
physical-object;['මවුපුවරුව', 'මවු පුවරුව'];පුද්ගල පරිගණකයක මවු පුවරුව යනු එහි මධ්‍යයේ පිහිටි මුද්‍රිත පරිපථ පුවරුවයි.
physical-object;['රැම්', 'සසම්භාවී ප්\u200dරවේශ මතකය', 'සප්\u200dරම', 'සසම්භාවී-ප්\u200dරවේශ මතකය'];සසම්භාවී-ප්‍රවේශ මතකය යනු ධාවනය වෙමින් පවතින වැඩසටහන් හා සිදුකරමින් සිටින ක්‍රියාවලීන්ට අවශ්‍ය දත්ත තාවකාලිකව රඳවා තබා ගැනීමට භාවිතා කරන පරිගණක දත්ත ගබඩා ආකාරයකි.
physical-object;['රැජිණ', 'queen'];ප්‍රධාන ලිපිය: චෙස් ක්‍රීඩාව
physical-object;['ගිනිකූර'];ගිනිකූරක් යනු පාලිත තත්ත්වයන් යටතේ ගින්නක් දැල්වීමට භාවිතා කල හැකි දාහ්‍ය මෙවලමකි.
physical-object;['ප්\u200dරිස්ම - ක්\u200dරියාකරන අයුරු', 'ප්\u200dරිස්මය', 'prisma', 'prism', 'prisms and the nature of light', 'ප්\u200dරිස්ම සහ ආලෝකයේ හැසිරීම'];ප්‍රකාශ විද්‍යාවේදී, ප්‍රිස්මයක් යනු පැතලි, ඔප දැමන ලද මුහුණත් සහිත ආලෝකය වර්තනය කරදමන පාරදෘශ්‍ය ප්‍රකාශ වස්තුවකි.
physical-object;['ස්කයිලැබ්', 'ස්කයි ලැබ් අභ්\u200dයාවකාශ මධ්\u200dයස්ථානය', 'skylab'];ස්කයිලැබ් යනු ඇමරිකාව විසින් උඩු ගුවනට යැවූ මුල්ම අභ්‍යවකාශ මධ්‍යස්ථානය වේ.
physical-object;['රජු', 'king'];ප්‍රධාන ලිපිය: චෙස් ක්‍රීඩාව
physical-object;['අන්තර්ජාලය', 'internet', 'අන්තර් ජාලය', 'ඉන්ටනෙට් හෙවත් අන්තර්ජාලය.'];ලෝකය පුරා පැතිරුණු, ඕනෑම අයෙකුට පිවිසිය හැකි, එකිනෙක හා සම්බන්ධ වූ පරිගණක ජාලයන්ගෙන් සැදුම්ලත් ජාලය අන්තර්ජාලය යි.
physical-object;['තනපට'];‍
physical-region;['දේදුන්න', 'දේදුන්නක්'];වැහි බර කාලගුණයක් ඇති විට හිරු පායන අවස්ථාවලදී අහසෙහි දක්නට ඇති වර්ණාවලියෙන් යුතු කවාකාර දර්ශනය දේදුන්න ලෙස හඳුන්වයි.
physical-region;['හෙවනැල්ල', 'සෙවනැල්ල'];පාරාන්ධ හෝ පාරභාෂක වස්තුවක් නිසා යම් ප්‍රභවයක ආලෝකය නොලැබීම නිසා යම් තලයක සෑදෙන හැඩතලය හෙවනැල්ල හෙවත් සෙවනැල්ල නම්වේ.
political-geographic-object;['රුමේනියාව', 'රොමානියාව', 'රොමේනියාව'];රොමෙනියාව ගිණිකොණින් මධ්‍යම යුරෝපය ද, උතුරින් බෝල්කන් අර්ධද්වීපය, ඇතුලත හා පිටත කාර්පේතියන් ආරුන්තුව හා කළු මුහුදට මායිම්ව පිහිටා ඇත.
political-geographic-object;['යුගෝස්ලාවියාව'];යුගෝස්ලාවියාව යනු 20 වන සියවසේ වැඩි කාලයක් ගිනිකොණදිග යුරෝපයේ පැවති රටකි.
political-geographic-object;['ක්යෝතෝ'];ක්යෝතෝ යනු ජපානයේ පිහිටි නගරයකි.
political-geographic-object;['එඩිරන්', 'එඩිර්නි'];එඩිරන්, තුර්කිය යුරෝපීය කොටසෙහි නගරයකි.
political-geographic-object;['හෝ චි මින් නගරය'];හෝ චි මින් නගරය, හෙවත් සයිගොන් යනු වියට්නාමයේ විශාලතම නගරයයි.
political-geographic-object;['නාගසාකි', 'nagasaki', 'නගසකි'];නාගසාකි යනු ජපානයේ නගරයක් වන අතර, එය ක්යූශූ දූපතේ පිහිටා ඇති නාගසාකි දිස්ත්‍රික්කයේ අගනුවර මෙන්ම විශාලතම නගරයද වේ.
political-geographic-object;['වොල්ගාග්\u200dරාද්', 'වොල්ගෝග්\u200dරාඩ්', 'volgograd'];වොල්ගාග්‍රාද් යනු රුසියාවේ පිහිටි දියුණු කාර්මික නගරයකි.
political-geographic-object;['මක්කම'];මක්කම සවුදි අරාබියාවේ පිහිට ඇති මුස්ලිම්වරුන්කේ ශුද්ධවූ නගරයකි.
political-geographic-object;["චං'ආන්", 'ෂියෑන් නගරය', 'චංආන්', 'චං ආන්', "චං'අන්", 'චැන්ග්ඈන්'];චං'ආන් යනුවෙන් හැඳින්වෙන්නේ චීන ඉතිහාසයේ රාජවංශ දහයකට අධික සංඛ්‍යාවක අගනගරය ලෙස පැවති පුරාතන නගරයකි.
political-geographic-object;['අබුඩාබි', 'abú dhabí'];එක්සත් අරාබි එමීර් රාජ්‍යයේ ප්‍රධාන මෙන්ම දෙවනුවට විශාල නගරය අබුඩාබි වේ.
political-geographic-object;['තමිල්නාඩුව', 'තමිල් නාඩු', 'támil nadu', 'තමිල්නාඩු ප්\u200dරාන්තය'];ඉන්දියාවේ දකුණු කෙළවරෙහි පිහිටි ප්රාන්තයකි.
political-geographic-object;['හිරෝෂිමා', 'hiroshima', 'හිරොෂිමා'];හිරෝෂිමා යනු ජපානයේ නගරයක් වන අතර හිරෝෂිමා දිස්ත්‍රික්කයේ අගනුවරද වේ.
political-geographic-object;['උතුරු කොරියාව', 'කොරියා ප්\u200dරජාතන්ත්\u200dරවාදී මහජන ජනරජය', 'ප්\u200dරජාතන්ත්\u200dරවාදී මහජන කොරියා ජනරජය', 'ප්\u200dරජාතන්ත්\u200dරවාදී මහජන කොරියානු ජනරජය', 'ප්\u200dරජාතන්ත්\u200dරවාදී මහජන කොරියානු සමුහාණ්ඩුව'];උතුරු කොරියාව, හෙවත් නිල වශයෙන් හඳුන්වන පරිදී ප්‍රජාතන්ත්‍රවාදී කොරියානු මහජන සමූහාණ්ඩුව නැගෙනහිර ආසියාවේ පිහිටි කොරියානු අර්ධද්වීපයේ උතුරු කොටසේ පිහිටි රටකි.
political-geographic-object;['නෝර්වේ', 'kongeriket noreg', 'kongeriket norge', 'noreg', 'norge', 'නෝවේ'];උතුරු යුරෝපයට අයත් රටකි.
political-geographic-object;['නෙදර්ලන්තය'];නෙදර්ලන්තය නෙදර්ලන්ත රාජධානිය‍ට අයත් රටවල් 4න් විශාලතම රට වන අතර ස්වෛරී රාජ්‍යයක් වේ.
political-geographic-object;['ජපානය', 'japan', 'ජපාන'];හිරු නැගෙන දේශය නමින් විරුදාවලී ගත් ජපානය, ජපන් ජාතිකයන් විසින් හදුන්වනු ලබන්නේ "නිප්පොන්/නිහොන්" යනුවෙනි.
political-geographic-object;['මොනාකෝ', 'මොනාකෝව'];මොනාකෝ රාජ්‍යයේ නිල නාමය වනුයේ ප්‍රින්සිපැලිටි ඔෆ් මොනාකෝ යන්නය.
political-geographic-object;['සැමෝවා', 'ස්වාධීන සැමෝවා රාජ්\u200dයය'];සැමෝවා යනු ස්වාධීන සැමෝවා රාජ්‍යය' යන නිළ නාමයෙන් හඳුන්වනු ලබන ඕෂනියානු කලාපයට අයත් රටකි.
political-geographic-object;['ජිබුටි'];ජිබුටි, නිල වශයෙන් ජිබුටි ජනරජය යනු, අප්‍රිකාවේ අඟෙහි පිහිටි රටකි.
political-geographic-object;['මලයාසියාව', 'මැලේසියාව', 'malaysia'];මලයාසියාව ගිණිකොණ ආසියාවේ පිහිටි රාජ්‍ය 30 කින් හා එක්සත් පාලන ප්‍රදේශ 3 කින් සමන්විත වර්ග කි.මී.
political-geographic-object;['බෙලීස්', 'belize'];බෙලීස් යනු, මධ්‍යම ඇමරිකාවේ ඊසාන දිග වෙරළ තීරයේ පිහිටි රටකි.
political-geographic-object;['ශාන්ත කිට්ස් සහ නෙවිස්'];ශාන්ත ක්‍රිස්ටෝපර් සහ නෙවිස් ෆෙඩරල් රාජ්‍ය සංගමය යනුවෙන් ද හඳුන්වනු ලබන 'ශාන්ත කිට්ස් සහ නෙවිස් ෆෙඩරල් රාජ්‍ය සමූහය යනු බටහිර ඉන්දීය කලාපයේ පිහිටි 'ලීවර්ඩ්' දූපත් දෙකක වූ ෆෙඩරල් රාජ්‍යයකි.
political-geographic-object;['කොමරොස්'];කොමරොස් නිල වශයෙන් කොමරොස් සංගමය නම්වේ.
political-geographic-object;['ඩොමිනිකා', 'ඩොමිනිකාව'];ඩොමිනිකා පොදු රාජ්‍ය කැරිබියානු මුහුදේ පිහිටි දුපත් රාජ්‍යයකි.එහි වර්ග ප්‍රමාණය වර්ග කි.මි.
political-geographic-object;['ශාන්ත ලුසියා'];ශාන්ත ලුසියා නැගෙනහිර කැරිබියන් මුහුදේ පිහිටි දූපත් රටකි.
political-geographic-object;['මුඩුක්කු සහ පැල්පත්'];මුඩුක්කු සහ පැල්පත් යන්න නිරන්තරයෙන්ම එකට භාවිතා වන බව පෙනේ.
political-geographic-object;['එංගලන්තය', 'tho huttha', 'එන්ගලන්තය'];එංගලන්තය, එක්සත් රාජධානියට අයත් ප්‍රධාන රටයි.
political-geographic-object;['ස්විට්සර්ලන්තය', 'ස්විස්ටර්ලන්තය', 'ch'];ස්විට්සර්ලන්තය නිළ වශයෙන් ස්විස් රාජ්‍ය සන්ධානය, එක්සත් සමුහාණ්ඩුවේ ප්‍රාන්ත 26 කින් යුක්තය.
political-geographic-object;['එක්සත් අරාබි එමීර් රාජ්\u200dයය', 'එක්සත් අරාබි එමිර් රාජ්\u200dයය', 'එක්සත් අරාබි එමීර්', 'අරාබියේ එක්සත්වූ එමීර්', 'එක්සත් අරාබි ඒමීර්'];අරාබි අර්ධද්වීපයේ, පර්සියානු බොක්කේ දකුණු වෙරළේ පිහිටි එක්සත් අරාබි එමීර් රාජ්‍යය, 1971 වසරේදී නිදහස් ශෛක් රටවල් හතක් එක් වීමෙන් සැදුනකි.
political-geographic-object;['සෝවියට් සංගමය', 'සමාජවාදී සෝවියට් ජනරජයන්ගේ එක්සත් සංගමය', 'soviet union', 'එක්සත් සමාජවාදී සෝවියට් ජනරජයන්', 'සෝවියට් දේශය'];සමාජවාදී සෝවියට් ජනරජයන්ගේ එක්සත් සංගමය, 1922 සිට 1991 දක්වා පැවති මාක්ස්-ලෙනින්වාදී සමාජවාදී රාජ්‍යයකි.
political-geographic-object;['ලක්සම්බර්ග්', 'ලක්සම්බර්ගය'];ලක්සම්බර්ග්, නිල වශයෙන් ලක්සම්බර්ග් මහා ආදිපාද දනව්ව යනු, බෙල්ජියමයෙන්, ප්‍රංශයෙන්, සහ ජර්මනියෙන් දේශසීමාවූ, බටහිර යුරෝපයෙහි පිහිටි භූමියෙන් වටවූ රටකි.
political-geographic-object;['එක්සත් රාජධානිය', 'මහා බ්රිතාන්ය හා උතුරු අයර්ලන්ත එක්සත් රාජධානිය', 'united kingdom', 'එංගලන්තය හා වේල්සය', 'එක්සත් රාජධානියේ', 'එරා', 'බ්රිතාන්\u200dය', 'බ්\u200dරිතාන්\u200dයය', 'මහා බ්රිතාන්\u200dය', 'මහා බ්රිතාන්\u200dයය', 'මහා බ්\u200dරිතාන්\u200dය හා උතුරු අයර්ලන්ත එක්සත් රාජධානිය', 'මහා බ්\u200dරිතාන්\u200dයය හා උතුරු අයර්ලන්තය', 'මහා බ්\u200dරිතාන්\u200dයය හා උතුරු අයර්ලන්තය එක්සත් රාජධානිය'];කට වහරේ එක්සත් රාජධානිය හැදින්වෙන මහා බ්‍රිතාන්‍ය හා උතුරු අයර්ලන්ත එක්සත් රාජධානිය යනු යුරෝපයට අයත් මහා බ්‍රිතාන්‍ය දූපත හා අයර්ලන්ත දූපතේ උතුරු කොටස ආවරණය කෙරෙන රටකි.
political-geographic-object;['ස්පාඤ්ඤය', 'spain'];ස්පාඤ්ඤය, නිල වශයෙන් ස්පාඤ්ඤ රාජධානිය ලෙස හැඳින්වෙන්නේ නිරිතදිග යුරෝපයේ අයිබීරියන් අර්ධද්වීපයේ පිහිටි ස්වෛරී රාජ්‍යයකි.
political-geographic-object;['සවුදි අරාබියාව', 'සෞදි අරාබිය'];සවුදි අරාබියාව, නිල වශයෙන් සවුදි අරාබි රාජධානිය යනු මැද පෙරදිග පිහිටි විශාලතම රටයි.
political-geographic-object;['චෑඩ්'];චූඩ් /ˈtʃæd/, නිල ලෙසින් චෑඩ් ජනරජය, යනු මධ්‍යම අප්‍රිකාවේ භූමියෙන් වටවූ රටකි.
political-geographic-object;['ටජිකිස්ථාන්', 'ටජිකිස්තානය'];ටජිකිස්ථානයේ නිල නාමය වනුයේ 'ටජිකිස්ථාන් ජනරජය' යන්නයි.
political-geographic-object;['උගන්ඩාව', 'uganda'];උගන්ඩා ජනරජය නැගෙනහිර අප්‍රිකාවේ පිහිටි සතර දෙසින්ම භූමියෙන් වටවූ රාජ්‍යකි.
political-geographic-object;['බෙලාරස්', 'බෙලාරූස්', 'බෙලරුස්'];බෙලාරුස් මායිම් වන්නේ උතුරින් රුසියාවට හා නැගෙනහිරින් හා යුක්රේනයටද, දකුණින් පෝලන්තයද, බටහිරින් ලිතුනියාවටත් සහ ලැටිවියා උතුරට හා එය ඊසාන යුරෝපීය භූමියකට අයත් රටකි.
political-geographic-object;['සිම්බාබ්වේ', 'zimbabwe', 'zසිම්බාබ්වේ'];සිම්බාබ්වේ නිල වශයෙන් සිම්බාබ්වේ සමූහාණ්ඩුව නම් වේ.
political-geographic-object;['අසර්බයිජාන්', 'අසර්බයිජානය'];අසර්බයිජානය යන නමින් නිල වශයෙන් හඳුන්වනු ලබන මෙම රට යුරේෂියාහි කෝකසස් ප්‍රාන්තයේ පිහිටි රටකි.
political-geographic-object;['කිර්ගිස්තානය', 'කීර්ගිස්තානය'];කීර්ගිස්තානය නිළ වශයෙන් කීර්ගිස්තාන් සමුහාණ්ඩුව, මධ්‍යම ආසියාවේ රටකි.
