abstract-quality;['ವ್ಯಕ್ತಿತ್ವ'];ವ್ಯಕ್ತಿತ್ವವು ಒಬ್ಬ ವ್ಯಕ್ತಿಯ ಭಾವನಾತ್ಮಕ, ಮನೋಭಾವದ, ಮತ್ತು ವರ್ತನಾತ್ಮಕ ಪ್ರತಿಕ್ರಿಯೆ ಮಾದರಿಗಳ ನಿರ್ದಿಷ್ಟ ಸಂಯೋಜನೆ.
physical-body;['ಕಣ'];ಭೌತಿಕ ವಿಜ್ಞಾನಗಳಲ್ಲಿ, ಕಣವು ಚಿಕ್ಕ ಸ್ಥಳೀಕರಿಸಲ್ಪಟ್ಟ ವಸ್ತು ಮತ್ತು ಇದಕ್ಕೆ ಘನ ಅಳತೆ ಅಥವಾ ದ್ರವ್ಯರಾಶಿಯಂತಹ ಹಲವು ಭೌತಿಕ ಗುಣಲಕ್ಷಣಗಳನ್ನು ಹೊಂದಿಸಬಹುದು.
physical-body;['ಶ್ವೇತ ಕುಬ್ಜ'];'ಶ್ವೇತ ಕುಬ್ಜ' {white dwarfವೈಟ್ ಡ್ವಾರ್ಫ್ಇಲೆಕ್ಟ್ರಾನ್matter
physical-body;['ಬೀಟ ಕಣ'];ಬೀಟ ಕಣ
physical-body;['ಬ್ಲ್ಯಾಕ್\u200c ಬಾಡಿ'];ಭೌತಶಾಸ್ತ್ರದಲ್ಲಿ ಬ್ಲ್ಯಾಕ್ ಬಾಡಿ ಎಂದರೆ ಒಂದು ಕಾಲ್ಪನಿಕ ವಸ್ತು .ಅದು ತನ್ನ ಮೇಲೆ ಬೀಳುವ ಎಲ್ಲಾ ಎಲೆಕ್ಟ್ರೊಮ್ಯಾಗ್ನೆಟಿಕ್ ರೇಡಿಯೇಶನ್ ಕಿರಣಗಳನ್ನು ನುಂಗಿ ಹಾಕಿ ಒಳಸೇರಿಸಿ ಕರಗಿಸಿಕೊಳ್ಳುತ್ತದೆ.
physical-body;['ಅಲ್ಫ ಕಣ', 'ಆಲ್ಫ ಕಣ'];ಅಲ್ಫ ಕಣಎಂದರೆ ಒಂದು ವಿಕಿರಣಶೀಲ ಮೂಲವಸ್ತುವು ವಿಕಿರಣ ಹೊಂದುತ್ತಿರುವಾಗ ಹೊರಹೊಮ್ಮಿಸುವ ಧನವಿದ್ಯುತ್ ಅಂಶವಿರುವ ಕಣ.ಈ ಕ್ರಿಯೆಗೆ ಅಲ್ಫ ಕ್ಷಯ ಎಂದು ಹೆಸರು.
physical-body;['ಫೋಟಾನ್'];ಭೌತಶಾಸ್ತ್ರದಲ್ಲಿ ಫೋಟಾನ್ ಎಂದರೆ ವಿದ್ಯುತ್ಕಾಂತೀಯ ಕ್ರಿಯೆಗಳಿಗೆ ಕಾರಣೀಭೂತವಾದ ಅತ್ಯಂತ ಮೂಲಕಣ.
physical-body;['ಕ್ರ್ಯಾಬ್ ನಿಹಾರಿಕೆ', 'm1'];ಕ್ರ್ಯಾಬ್ ನಿಹಾರಿಕೆ ಕ್ರಿ.ಶ.
physical-body;['ಅವಳಿ ನಕ್ಷತ್ರಗಳು'];ಒಂದು ಅವಳಿ ನಕ್ಷತ್ರ ವೆಂದರೆ, ತಮ್ಮ ಸಮಾನ ರಾಶಿಕೇಂದ್ರದ ಸುತ್ತ ಪರಿಭ್ರಮಿಸುವ ಎರಡು ನಕ್ಷತ್ರಗಳನ್ನೊಳಗೊಂಡ ತಾರಾ ಮಂಡಲವಾಗಿದೆ.
physical-body;['ವರ್ಣತಂತು'];ವರ್ಣತಂತು ಎಂದರೆ ಜೀವಕೋಶಗಳಲ್ಲಿ ಕಂಡು ಬರುವ ಡಿಎನ್‌ಎ ಮತ್ತು ಪ್ರೊಟೀನುಗಳ ವ್ಯವಸ್ಥಿತ ರಚನೆಯಾಗಿದೆ.
physical-body;['ಲೆಪ್ಟಾನ್', 'lepton'];ಭೌತಶಾಸ್ತ್ರದಲ್ಲಿ ಲೆಪ್ಟಾನ್ ಗಿರಕಿ-1/2 ಹೊಂದಿರುವ ಒಂದು ಕಣ.
physical-body;['ನ್ಯೂಟ್ರಾನ್', 'ನ್ಯೂಟ್ರಾನು'];== ಉಲ್ಲೇಖಗಳು == ನ್ಯೂಟ್ರಾನ್ ಒಂದು ಉಪಪರಮಾಣು ಕಣ,n ಅಥವ n0 ಅನ್ನುವ ಚಿಹ್ನೆಯನ್ನು ನ್ಯೂಟ್ರಾನ್ ಅನ್ನು ನಿವ್ವಳ ವಿದ್ಯುದಾವೇಶ ಮತ್ತು ಸಾಮೂಹಿಕವಿಲ್ಲದೆ ಬಳಸಲಾಗುತ್ತದೆ.
physical-body;['ಎಲೆಕ್ಟ್ರಾನ್', 'ಋಣವಿದ್ಯುತ್ಕಣ'];ಎಲೆಕ್ಟ್ರಾನ್ ಅಥವಾ ಋಣವಿದ್ಯುತ್ಕಣ - ಇದು ಋಣ ವಿದ್ಯುದಾವೇಶವನ್ನು ಹೊಂದಿರುವ ಒಂದು ಮೂಲ ಉಪಪರಮಾಣು ಕಣ.
physical-body;['ಪಾಸಿಟ್ರಾನ್'];ಪಾಸಿಟ್ರಾನ್ಎಂದರೆ ಎಲೆಕ್ಟ್ರಾನ್‌ಗಳಷ್ಟೇ ದ್ರವ್ಯರಾಶಿ ಹೊಂದಿದ್ದು, ಋಣವಿದ್ಯುದಾಂಶದ ಬದಲು ಧನವಿದ್ಯುದಾಂಶ ಹೊಂದಿರುವ ಮೂಲಭೂತ ಕಣ.ಇದು ವಿಶ್ವ ಕಿರಣಗಳಲ್ಲಿರುತ್ತವೆ ಹಾಗೂ ಬೀಟಾ ಕಿರಣಗಳ ಸವೆಯುವಿಕೆ ಯಲ್ಲಿ ಹೊರಸೂಸಲ್ಪಡುತ್ತವೆ.
physical-body;['ಚಂದ್ರ', 'ಕಳಾಧರ', 'ಶಶಿ'];ಚಂದ್ರ - ಇದು ಭೂಮಿಯ ಏಕೈಕ ನೈಸರ್ಗಿಕ ಉಪಗ್ರಹ.
physical-body;['ಕ್ಷುದ್ರ ಗ್ರಹ', 'ಆಸ್ಟಿರಾಯಿಡ್ಸ್', 'ಎಸ್ಟೆರೊಇಡ್', 'ಕ್ಷುದ್ರಗ್ರಹ'];ಸೌರವ್ಯೂಹದಲ್ಲಿರುವ ಬಹಳ ಸಣ್ಣ ಗ್ರಹ.
physical-body;['ಫರ್ಮಿಯಾನ್'];ಕಣ ಭೌತಶಾಸ್ತ್ರದಲ್ಲಿ, ಫರ್ಮಿಯಾನುಗಳು ಫರ್ಮಿ-ಡಿರ‍್ಯಾಕ್ ಅಂಕಿಅಂಶ ಶಾಸ್ತ್ರಕ್ಕೆ ಬದ್ಧವಾಗಿರುವ ಕಣಗಳು. ಅವುಗಳನ್ನು ಎನ್ರಿಕೋ ಫರ್ಮಿಯವರ ಗೌರವಾರ್ಥವಾಗಿ ಫರ್ಮಿಯಾನ್ ಎಂದು ಹೆಸರಿಸಲಾಯಿತು.
physical-body;['ಅಲ್ಫಾ ಸೆಂಟಾರಿ'];'ಅಲ್ಫಾ ಸೆಂಟಾರಿ' ಸೆಂಟಾರಸ್ ನಕ್ಷತ್ರಪುಂಜದಲ್ಲಿರುವ ಅತ್ಯಂತ ಕಾಂತಿಯುತವಾದ ಒಂದೇ ನಕ್ಷತ್ರದಂತೆ ಗೋಚರಿಸುವ ನಕ್ಷತ್ರಗಳ ಗುಂಪು.
physical-body;['ಅಂತರಿಕ್ಷ', 'ಬ್ರಹ್ಮಾಂಡ', 'ಗೆಲಾಕ್ಸಿಗಳು', 'ನೀಹಾರಿಕೆ', 'ಬಾಹ್ಯಾಕಾಶ'];== ಪೀಠಿಕೆ == ನಾವು ಬ್ರಹ್ಮಾಂಡದ ಬಗೆಗೆ ವೈಜ್ಞಾನಿಕವಾಗಿ ತೀಳಿದುಕೊಳ್ಳುವುದಾದರೆ, ಮೊದಲು ವಿಶ್ವ ಅಥವಾ ಈ ಜಗತ್ತು.
physical-body;['ಅಂತರಿಕ್ಷ', 'ಬ್ರಹ್ಮಾಂಡ', 'ಗೆಲಾಕ್ಸಿಗಳು', 'ನೀಹಾರಿಕೆ', 'ಬಾಹ್ಯಾಕಾಶ'];ವಿಶ್ವದ ಹೆಚ್ಚಾಗಿ ಶೂನ್ಯ ಜಾಗಗಳ ಶೇಖರಣೆಯನ್ನು ಖಗೋಳಶಾಸ್ತ್ರದಲ್ಲಿ ಅಂತರಿಕ್ಷ ಎನ್ನುತ್ತಾರೆ.
physical-body;['ಅಲ್ಗಾಲ್ ನಕ್ಷತ್ರ', 'algol'];ಅಲ್ಗಾಲ್ ನಕ್ಷತ್ರ ಪಾರ್ಥ ಪುಂಜದ ದ್ವಿತೀಯ ನಕ್ಷತ್ರದ ಹೆಸರು.
physical-body;['ಭೂಮಿ', 'ಕು'];ಭೂಮಿ - ಇದು ಸೌರಮಂಡಲದಲ್ಲಿ ೫ನೇ ಅತಿ ದೊಡ್ಡ ಗ್ರಹ.
physical-body;['ಮಂಗಳ', '♂', 'ಮಂಗಳ ಗ್ರಹ', 'ಅಂಗಾರಕ'];ಮಂಗಳ ಮಂಗಳ ಗ್ರಹವು ಸೊರ್ಯನಿಂದ ನಾಲ್ಕನೇ ಗ್ರಹವಾಗಿದ್ದು, ನಮ್ಮ ಸೌರಮಂಡಲದ ಎರಡನೆಯ ಅತಿ ಚಿಕ್ಕ ಗ್ರಹವಾಗಿದೆ ಮರಕ್ಯೊರಿಯ ನಂತರ.
physical-body;['ರೋಹಿಣಿ'];ರೋಹಿಣಿ ನಕ್ಷತ್ರವು ವೃಷಭ ರಾಶಿಯಲ್ಲಿಯ ಪ್ರಮುಖ ತಾರೆ.
physical-body;['ಪ್ರಾಕ್ಸಿಮಾ ಸೆಂಟಾರಿ', 'próxima centauri'];ಪ್ರಾಕ್ಸಿಮಾ ಸೆಂಟಾರಿ ಸೂರ್ಯನ ನಂತರದ ಭೂಮಿಗೆ ಅತೀ ಸಮೀಪದ ನಕ್ಷತ್ರ.
physical-body;['ಬುಧ', 'ಭುಧ'];ಬುಧ - ಸೂರ್ಯನಿಗೆ ಅತ್ಯಂತ ಸಮೀಪವಾದ ಮತ್ತು ಸೌರಮಂಡಲದಲ್ಲಿ ಅತಿ ಸಣ್ಣದಾದ ಗ್ರಹವಾದ ಬುಧವು ಸೂರ್ಯನ ಸುತ್ತ ಪ್ರತಿ ೮೮ ದಿನಗಳಿಗೊಮ್ಮೆ ಪ್ರದಕ್ಷಿಣೆ ಹಾಕುತ್ತದೆ.
physical-object;['ಕೇಂದ್ರ ಸಂಸ್ಕರಣ ಘಟಕ'];ಗಣಕಯಂತ್ರದ ಪ್ರಕ್ರಿಯೆಗಳನ್ನು ಹಾಗು ತಂತ್ರಾಂಶಗಳ ಸೂಚನೆಗಳನ್ನು ನಿರ್ವಹಿಸುವ ಗಣಕಯಂತ್ರದ ಬಹುಮುಖ್ಯ ಭಾಗಕ್ಕೆ ಕೇಂದ್ರ ಸಂಸ್ಕರಣ ಘಟಕ ಅಥವಾ ಸಂಸ್ಕಾರಕ ಎಂದು ಕರೆಯುತ್ತಾರೆ.
physical-object;['ಕಮಾನು'];ಕಮಾನು ಎಂದರೆ ಎತ್ತರದ ಸ್ಥಳವನ್ನು ವ್ಯಾಪಿಸುವ ಒಂದು ಲಂಬವಾದ ವಕ್ರ ರಚನೆ ಮತ್ತು ಇದು ಇದರ ಮೇಲಿನ ತೂಕಕ್ಕೆ ಆಧಾರ ನೀಡಬಹುದು ಅಥವಾ ನೀಡದಿರಬಹುದು, ಅಥವಾ ಕಮಾನು ಅಣೆಕಟ್ಟಿನಂತಹ ಅಡ್ಡಡ್ಡಲಾದ ಕಮಾನಿನ ವಿಷಯದಲ್ಲಿ, ಇದರ ವಿರುದ್ಧದ ದ್ರವಸ್ಥಿತಿಶಾಸ್ತ್ರೀಯ ಒತ್ತಡಕ್ಕೆ ಆಧಾರ ನೀಡಬಹುದು ಅಥವಾ ನೀಡದಿರಬಹುದು.
physical-object;['ಬೂಮ್\u200dರಾಂಗ್', 'bumerang'];ಬೂಮ್‍ರಾಂಗ್ - ಇದು ಮರದಿಂದ ಮಾಡಿದಂತಹ ಒಂದು ಪ್ರಾಚೀನ ಸಾಧನ.
physical-object;['ಸೈಕಲ್', 'ಇಗ್ಗಾಲಿ', 'ಕಾಲುಬಂಡಿ', 'ತುಳಿಬಂಡಿ', 'ದ್ವಿಚಕ್ರ', 'ಸೈಕಲ್ಲು'];ಸೈಕಲ್ ಪೆಡಲ್ಲುಗಳನ್ನು ತುಳಿಯುವ ಮೂಲಕ ಚಾಲನೆ ಮಾಡುವ ಮಾನವಚಾಲಿತ ದ್ವಿಚಕ್ರವಾಹನ.
physical-object;['ಹಾರ್ಡ್ ಡಿಸ್ಕ್\u200c\u200c ಡ್ರೈವ್', 'hdd'];ಎಂಟರ್‌ಪ್ರೈಸ್ ಡಿಸ್ಕ್ ಡ್ರೈವ್ ಇಲ್ಲಿ ಪುನರ್ನಿರ್ದೇಶನ ಪಡೆದುಕೊಳ್ಳುತ್ತದೆ.
physical-object;['ಹಾಸು ಮತ್ತು ಹೊಕ್ಕು', 'ಹೊಕ್ಕು'];ಹಾಸು ಮತ್ತು ಹೊಕ್ಕು ನೆಯ್ಗೆಯಲ್ಲಿ ದಾರ ಅಥವಾ ನೂಲನ್ನು ಬಟ್ಟೆಯಾಗಿ ಬದಲಿಸಲು ಬಳಸಲಾದ ಎರಡು ಮೂಲಭೂತ ಅಂಶಗಳಾಗಿವೆ.
physical-object;['ದೂರಸಂವಹನ ವ್ಯವಸ್ಥೆ'];ಸಂವಹನ ಕಲ್ಪಿಸುವ ಉದ್ದೇಶಕ್ಕಾಗಿ ಗಮನಾರ್ಹವಾದ ದೂರದ ಆಚೆಯಿಂದ ಮಾಹಿತಿಯ ಪ್ರಸಾರಣವೇ ದೂರಸಂವಹನ ವ್ಯವಸ್ಥೆ.
physical-object;['ಬೈಜಿಕ ಕ್ರಿಯಾಕಾರಿ', 'ಅಣು ಸ್ಥಾವರ'];ಬೈಜಿಕ ಕ್ರಿಯಾಕಾರಿಯನ್ನು ಮೊದಲು ಪರಮಾಣು ಗುಡ್ಡೆ ಎನ್ನುತ್ತಿದ್ದರು,ಇದೊಂದು ಸುಸ್ಥಿರವಾಗಿ ನಿಯಂತ್ರಿತ ರೀತಿಯಲ್ಲಿ ಬೈಜಿಕ ಸರಪಣಿ ಕ್ರಿಯೆ ನಡೆಸುವ ಸಾಧನವಾಗಿದೆ.ಬೈಜಿಕ ಕ್ರಿಯಾಕಾರಿಗಳನ್ನು ಬೈಜಿಕ ಸ್ತಾವರಗಳಲ್ಲಿ ವಿದ್ಯುತ್ ಉತ್ಪಾದನೆಗೆ ಮತ್ತು ದೊಡ್ಡ ಹಡಗುಗಳನ್ನು ನೂಕಲು ನೋದನಕಾರಿಯಾಗಿ ಬಳಸಲಾಗುತ್ತಿದೆ.
physical-object;['ಮೋಟಾರು ವಾಹನ', 'ವಾಹನ', 'ಕಾರ್'];ಮೋಟಾರು ವಾಹನವು ಮೋಟಾರನ್ನು ಒಳಗೊಂಡ ಸಾಗಣೆಗೆ ಬಳಸಲಾಗುವ ಒಂದು ಯಂತ್ರ.
physical-object;['ಗಾಳ'];ಗಾಳವು ಮೀನಿನ ಬಾಯಿಯಲ್ಲಿ ಚುಚ್ಚುವ ಮೂಲಕ ಅಥವಾ, ಹೆಚ್ಚು ಅಪರೂಪವಾಗಿ, ಮೀನಿನ ದೇಹವನ್ನು ಅದರಲ್ಲಿ ಸಿಕ್ಕಿಸಿ ಮೀನು ಹಿಡಿಯಲು ಬಳಸಲಾಗುವ ಒಂದು ಸಾಧನ.
physical-object;['ಕಟ್ಟೆ', 'ಅಡ್ಡಗಟ್ಟೆ', 'ಅಣೆ', 'ಅಣೆಕಟ್ಟು'];== ಕಟ್ಟೆ == ನೀರಿನ ಹರಿವನ್ನು ನಿಯಂತ್ರಿಸುವ ಉದ್ದೇಶದಿಂದ ಒಂದು ನದಿಗೆ ಅಥವಾ ಹೊಳೆಗೆ ಅಥವಾ ತೋಡಿಗೆ ಅಡ್ಡವಾಗಿ ಕಟ್ಟಿದ ಕಟ್ಟಡ.
physical-object;['ಬೇಲಿ', 'ಒಬ್ಬೆ'];ಬೇಲಿಯು ಸಾಮಾನ್ಯವಾಗಿ ಹೊರಾಂಗಣದ ಒಂದು ಪ್ರದೇಶವನ್ನು ಆವರಿಸುವ ಒಂದು ರಚನೆ.
physical-object;['ಕ್ರಿಕೆಟ್ ಬ್ಯಾಟ್'];ಕ್ರಿಕೆಟ್ ಬ್ಯಾಟ್ ಎಂಬುದು ಒಂದು ವಿಶೇಷೀಕರಿಸಲ್ಪಟ್ಟ ಸಾಧನಾ ಅಂಗವಾಗಿದ್ದು, ಕ್ರಿಕೆಟ್ ಕ್ರೀಡೆಯಲ್ಲಿ ಚೆಂಡನ್ನು ಹೊಡೆಯಲು ಬ್ಯಾಟುಗಾರರು ಇದನ್ನು ಬಳಸುತ್ತಾರೆ.
physical-object;['ಕ್ವಿಲ್ಟ್', 'ಕವುದಿ', 'ರಜಾಯಿ'];ಕ್ವಿಲ್ಟ್ ಒಂದು ಬಹುಪದರದ ಬಟ್ಟೆಯಾಗಿದೆ ಮತ್ತು ಸಾಂಪ್ರದಾಯಿಕವಾಗಿ ನೂಲಿನ ಮೂರು ಪದರಗಳನ್ನು ಹೊಂದಿರುತ್ತದೆ: ನೇಯ್ದ ಬಟ್ಟೆಯ ಮೇಲ್ಪದರ, ಬ್ಯಾಟಿಂಗ್ ಅಥವಾ ವ್ಯಾಡಿಂಗ್‍ನ ಪದರ, ಮತ್ತು ನೇಯ್ದ ಹಿಂಬದಿ.
physical-object;['ಮತಗಟ್ಟೆ'];ಮತಗಟ್ಟೆಯು ಮತದಾನದ ಗುಪ್ತತೆಯನ್ನು ರಕ್ಷಿಸಲು ಮತದಾರರು ತಮ್ಮ ಮತವನ್ನು ಗುಪ್ತವಾಗಿ ಚಲಾಯಿಸಬಹುದಾದ ಒಂದು ಮತದಾನ ಕೇಂದ್ರದಲ್ಲಿನ ಕೋಣೆ ಅಥವಾ ಕಟ್ಟೆ.
physical-object;['ಸೆಳೆಖಾನೆ', 'ಡ್ರಾವರ್'];ಸೆಳೆಖಾನೆಯು ಅದರ ಒಳಗಿರುವ ವಸ್ತುಗಳನ್ನು ಪಡೆಯಲು ಸಮತಲವಾಗಿ ಸೆಳೆಯಬಲ್ಲ ರೀತಿಯಲ್ಲಿ ಪೀಠೋಪಕರಣದ ಒಂದು ಭಾಗದಲ್ಲಿ ಸರಿಹೊಂದುವ ಪೆಟ್ಟಿಗೆ ಆಕಾರದ ಒಂದು ಧಾರಕ.
physical-object;['ಕುಂಚ'];ಕುಂಚವು ಬಣ್ಣ ಅಥವಾ ಕೆಲವೊಮ್ಮೆ ಶಾಯಿಯನ್ನು ಲೇಪಿಸಲು ಬಳಸಲಾದ ಉಪಕರಣ.
physical-object;['ಅಶ್ವಶಾಲೆ', 'ಕುದುರೆ ಲಾಯ'];ಅಶ್ವಶಾಲೆ ಜಾನುವಾರುಗಳನ್ನು, ವಿಶೇಷವಾಗಿ ಕುದುರೆಗಳನ್ನು ಇಡುವ ಒಂದು ಕಟ್ಟಡ.
physical-object;['ಕಸಾಯಿಖಾನೆ'];ಕಸಾಯಿಖಾನೆ ಆಹಾರಕ್ಕಾಗಿ ಸಾಕಿದ ಪ್ರಾಣಿಗಳನ್ನು ಕೊಂದು, ಅವುಗಳ ಮಾಂಸವನ್ನು ಪರಿಷ್ಕರಿಸಲು ಇರುವ ಸೌಲಭ್ಯವಾಗಿದೆ.
physical-object;['ಹೋಟೆಲ್'];ಹೋಟೆಲ್ ಅಲ್ಪ ಅವಧಿಗೆ ಸಂದಾಯಿತ ವಸತಿಯನ್ನು ಒದಗಿಸುವ ಒಂದು ನೆಲೆ.
physical-object;['ಹಸಿರುಮನೆ'];ಹಸಿರುಮನೆ ಸಸಿಗಳನ್ನು ಬೆಳೆಸುವ ಒಂದು ಕಟ್ಟಡ.
physical-object;['ತೋಬರಿ'];ತೋಬರಿಯು ಮೇವು ತುಂಬಿಸಲಾದ ಚೀಲ.
physical-object;['ತೋಪಡ', 'ಉಜ್ಜುಗೊರಡು', 'ಕೀಸುಳಿ', 'ಹತ್ತರಿ'];ತೋಪಡ ಎಂದರೆ ಕತ್ತರಿಸುವ ಅಲಗನ್ನು ಕಟ್ಟಿಗೆಯ ಮೇಲ್ಮೈ ಮೇಲೆ ನಡೆಸಲು ಬಾಹುಬಲವನ್ನು ಬಳಸಿ ಕಟ್ಟಿಗೆಗೆ ಆಕಾರ ಕೊಡುವ ಉಪಕರಣ.
physical-object;['ಸೌರ ವಿದ್ಯುತ್ಕೋಶ'];ಸೌರ ವಿದ್ಯುತ್ಕೋಶವು ಬೆಳಕಿನ ಶಕ್ತಿಯನ್ನು ದ್ಯುತಿವಿದ್ಯುಜ್ಜನಕ ಪರಿಣಾಮದಿಂದ ನೇರವಾಗಿ ವಿದ್ಯುಚ್ಛಕ್ತಿಯಾಗಿ ಪರಿವರ್ತಿಸುವ ಒಂದು ವಿದ್ಯುತ್ ಸಾಧನ.
physical-object;['ಪಲ್ಲಕ್ಕಿ', 'ಅಂದಣ', 'ಅಂದಳ', 'ಮೇನೆ'];ಪಲ್ಲಕ್ಕಿ ಚಕ್ರರಹಿತ ವಾಹನಗಳ ಒಂದು ವರ್ಗ, ಜನರ ಸಾಗಾಟಕ್ಕಾಗಿ ಒಂದು ಬಗೆಯ ಮಾನವ ಚಾಲಿತ ಸಾರಿಗೆ.
physical-object;['ಒಂಟೆ'];ಒಂಟೆ ಚದುರಂಗದಲ್ಲಿ ಉಪಯೋಗಗೊಳ್ಳುವ ಕಾಯಿಗಳಲ್ಲಿ ಒಂದು.
physical-object;['ಕುದುರೆ'];ಈ ಲೇಖನವು ಬೀಜಗಣಿತದ ಸಂಕೇತದಲ್ಲಿ ಚದುರಂಗದ ಚಲನೆಯನ್ನು ವರ್ಣಿಸುತ್ತದೆ
physical-object;['ಹಂದಿಹುಂಡಿ'];ಹಂದಿಹುಂಡಿ ಎಂದರೆ ಸಾಮಾನ್ಯವಾಗಿ ಮಕ್ಕಳು ನಾಣ್ಯಗಳನ್ನು ಸಂಗ್ರಹಿಸಿಡಲು ಬಳಸುವ ಧಾರಕ.
physical-object;['ಹಾರ'];ಹಾರವು ಹೂವುಗಳು, ಎಲೆಗಳು, ಅಥವಾ ಇತರ ವಸ್ತುವಿನ ಅಲಂಕಾರಿಕ ದಂಡೆ.
physical-object;['ಸಾಬೂನು'];== ಸೋಪು ==
physical-object;['ಮಾರ್ಜಕ'];ಮಾರ್ಜಕ ಎಂಬುದು ಲ್ಯಾಟಿನ್ ಪದದಿಂದ ನಿಷ್ಪತ್ತಿಯಾಗಿದೆ.ಮೇಲ್ಮ್ಯ್ ಪಟುತ್ವ ಉಳ್ಳದ್ದು ಎಂಬುದು ಅದರ ಅರ್ಥ.ಸಂಶ್ಳೇಷಿತ ಮಾರ್ಜಕಗಳನ್ನು ಸರಲವಾಗಿ ಮಾಡುವುದ ಎನ್ನುವುದು ವಾಡೀಕೆ.ಮಾರ್ಜಕಗಳ್ಳನ್ನು ಸಾಬೂನಲ್ಲದ ಸಾಬೂನು ಎಂದು ಕರೆಯುತ್ತಾರೆ.ಮಾರ್ಜಕಗಳು ಗಡಸು ನೀರಿನಲ್ಲಿರುವ ಮೆಗ್ನೆಸಿಯಂ ಆಯಾನುಗಳು ಮತ್ತು ಕ್ಯಾಲ್ಸಿಯಂ ಆಯಾನುಗಳೊಂದಿಗೆ ವಿಲೀನಗೊಳ್ಳದಿರುವುದರಿಂದ ಚರಟ ಉಂಟು ಮಾಡುವುದಿಲ್ಲ.ಆದ್ದರಿಂದ ಮಾರ್ಜಕಗಳು ಗಡಸು ನೀರಿನ್ನಲ್ಲಿಯು ಸಹ ಸಾಬೂನಿಗಿಂತ ಚೆನ್ನಾಗಿ ಸ್ವಛ್ಹಗೊಳಿಸುತ್ತದೆ.ಮಾರ್ಜಕ ಎಂಬುದು ಉದ್ದ ಸರಪಣಿ ಬೆಂಜಿನ್ ಸಲ್ಫೊನಿಕ್ ಆಮ್ಲಗಲ ಸೋಡಿಯಂ ಲವಣ ಅಥವಾಾ ಉದ್ದ ಸರಪಣೀಯ ಆಲ್ಕ್ಯ್ ಲ್ ಹೈಡ್ರೋಜನ್ ಸಲ್ಫೆಟ್ ಸೋಡಿಯಂ ಲವಣ.
physical-object;['ಟಿ ಶರ್ಟ್'];ಟಿ ಶರ್ಟ್ ಎಂಬುದು ಯುನಿಕ್ನೆಸ್ ಫ್ಯಾಬ್ರಿಕ್ ಶರ್ಟಿನ ಶೈಲಿಯಾಗಿದ್ದು, ಅದರ ದೇಹ ಮತ್ತು ತೋಳಿನ ಟಿ ಆಕಾರದ ಹೆಸರಿನಿಂದ ಟಿ ಶರ್ಟ್ ಎಂದು ಹೆಸರಿಸಲಾಗಿದೆ.
physical-object;['ಚಟ್ಟ'];ಚಟ್ಟ ಎಂದರೆ ಅಡ್ಡಣಿಗೆಯಾಗಿದ್ದು ಇದರ ಮೇಲೆ ಶವ, ಶವಪೆಟ್ಟಿಗೆ ಅಥವಾ ಶವವಿರುವ ಪೆಟ್ಟಿಗೆಯನ್ನು ಅಂತಿಮದರ್ಶನಕ್ಕಾಗಿ ಅಥವಾ ಸ್ಮಶಾನಕ್ಕೆ ಒಯ್ಯಲು ಅಥವಾ ಸುಡಲು ಒಯ್ಯಲು ಇಡಲಾಗುತ್ತದೆ.ಚಟ್ಟವು ಚಪ್ಪಟೆಯಾದ ಚೌಕಟ್ಟಾಗಿದ್ದು, ಸಾಂಪ್ರದಾಯಿಕವಾಗಿ ಕಟ್ಟಿಗೆಯಿಂದ ತಯಾರಿಸಲಾಗುತ್ತದ ಆದರೆ ಕೆಲವೊಮ್ಮೆ ಇತರ ವಸ್ತುಗಳಿಂದ ತಯಾರಿಸಬಹುದು.
physical-object;['ವರ್ಲ್ಡ್\u200c ವೈಡ್\u200c ವೆಬ್\u200c', 'ವರ್ಲ್ಡ್ ವೈಡ್ ವೆಬ್'];ವರ್ಲ್ಡ್ ವೈಡ್‌ ವೆಬ್‌ ಎಂಬುದನ್ನು WWW ಮತ್ತು W3 ಎಂಬುದಾಗಿ ಸಂಕ್ಷೇಪಿಸುವುದು ವಾಡಿಕೆ.
physical-object;['ವಿದ್ಯುದ್ವಾರ'];ವಿದ್ಯುದ್ವಾರವು ವಿದ್ಯುನ್ಮಂಡಲದ ಒಂದು ಅಖಂಡ ಭಾಗವನ್ನು
physical-object;['ಬುಗುರಿ'];ಬುಗುರಿ ಎಂಬುದು ಒಂದು ತುದಿಯಲ್ಲಿ ಮೊಳೆಯನ್ನು ಹೊಂದಿರುವ, ಒಂದು ಬಗೆಯ ಗುಂಡನೆಯ ಮರದ ಆಟಿಕೆ.
physical-object;['ಲಾಳಿಕೆ'];ಲಾಳಿಕೆಯು ಅಗ್ರಭಾಗದಲ್ಲಿ ಅಗಲವಾಗಿದ್ದು ಕೆಳಭಾಗದಲ್ಲಿ ಕಿರಿದಾಗಿರುವ ನಳಿಕೆ ಅಥವಾ ನಾಳ.
physical-object;['ಬುಟ್ಟಿ'];ಬುಟ್ಟಿಯು ಸಾಂಪ್ರದಾಯಿಕವಾಗಿ ಬಿರುಸಾದ ನಾರುಗಳಿಂದ ನಿರ್ಮಿಸಲಾದ ಧಾರಕ.
