abstract-quality;['personalidad', 'perfil', 'caracter', 'carácter', 'personalidades'];Concepto en psicología
phenomenon;['tormenta', 'tempestad', 'temporal', 'borrasca', 'tormenta violenta', 'daño por tormenta', 'tormentas', 'tormenta electrica', 'tormenta de viento', 'violenta tormenta'];Estructura nubosa acompañada de actividad eléctrica intermitente en forma de rayos
phenomenon;['nube', 'nubes', 'nuboso', 'rumazón', 'formación de nubes'];Masa visible de cristales de hielo y/o gotas de agua microscópicas
phenomenon;['foehn', 'fohn', 'viento foehn', 'fohen', 'föhn'];Viento seco
phenomenon;['siroco', 'tormenta de arena', 'tormenta de polvo', 'tempestad de arena', 'polvareda', 'jaloque', 'xaloc', 'tormentas de arena', 'tormentas de polvo', 'tormenta de tierra'];Fenómeno meteorológico común en regiones áridas y semiáridas
phenomenon;['respiración de cheyne-stokes', 'respiración de cheyne–stokes', 'cheyne-stokes', 'respiración periódica'];Tipo de respiración
phenomenon;['oligomenorrea', 'oligo amenorrea'];Transtorno menstrual caracterizado por tener menstruaciónes poco frecuentes
phenomenon;['catálisis', 'catalizador', 'catalisis', 'catalisis homogenea', 'catalitico', 'catalítico', 'actividad catalítica', 'cataliza', 'catalizada', 'catalizadores', 'catalizar', 'catálisis homogénea', 'actividad catalitica', 'catalizan', 'catalítica', 'co-catalizador', 'póngase en contacto con la acción'];Sustancia que incrementa la velocidad de una reacción química
phenomenon;['catálisis', 'catalizador', 'catalisis', 'catalisis homogenea', 'catalitico', 'catalítico', 'actividad catalítica', 'cataliza', 'catalizada', 'catalizadores', 'catalizar', 'catálisis homogénea', 'actividad catalitica', 'catalizan', 'catalítica', 'co-catalizador', 'póngase en contacto con la acción'];Proceso químico acelerador de la reacción
phenomenon;['aclimatación', 'ambientación', 'aclimatización', 'aclimatacion'];Proceso de adaptación fisiológica de un organismo a los cambios en su medio ambiente.
phenomenon;['domesticación', 'domesticacion', 'domesticación de animales', 'domesticar', 'animal domestico', 'animal doméstico', 'animales domesticos', 'animales domésticos', 'domador', 'domesticable', 'domesticacion de animales', 'domesticado', 'domestico'];Proceso donde una población de animales o plantas cambian a nivel genético
phenomenon;['depresión', 'borrasca', 'bajas presiones', 'área de baja presión', 'depresion', 'area de baja presion', 'zona de baja presion', 'zona de baja presión', 'células de baja presión', 'depresion atmosferica', 'depresión atmosférica', 'area de baja presión', 'área de baja presion', 'sistema de baja presión', 'baja presión', 'sistemas de baja presión'];Región donde la presión atmosférica es más baja que la del aire circundante
phenomenon;['estela', 'estela de condensación', 'contrail', 'estela de avion', 'estela de avión', 'trazo de avion', 'trazo de avión', 'estela de condensacion', 'condensación rastro'];Estela de condensación thuman
phenomenon;['reflejo', 'acción refleja', 'acto reflejo', 'reacción fisiológica', 'reflejo incondicionado', 'reflejo innato', 'reflejo instintivo', 'respuesta refleja', 'reflejos', 'refleja'];Respuesta automática a un estímulo
phenomenon;['corriente continua', 'corriente directa', 'dc', 'corriente contínua', 'vcc', 'corriente eléctrica directa'];Corriente eléctrica que circula siempre en la misma dirección
phenomenon;['corriente alterna', 'ac', 'corriente eléctrica alterna'];Corriente eléctrica en la que la magnitud y el sentido varían cíclicamente
phenomenon;['fuego de san telmo', 'corposant', 'efecto corona', 'fuegos de san telmo', 'santelmo', 'descarga de corona', 'descarga coronal', 'el fuego de san telmo', 'el fuego de san ulmo', 'fuego de santelmo', 'luz de san telmo', 'resplandor eléctrico', 'san luz de ulmo'];Fenómeno electromagnético
phenomenon;['fuego de san telmo', 'corposant', 'efecto corona', 'fuegos de san telmo', 'santelmo', 'descarga de corona', 'descarga coronal', 'el fuego de san telmo', 'el fuego de san ulmo', 'fuego de santelmo', 'luz de san telmo', 'resplandor eléctrico', 'san luz de ulmo'];Fenómeno Electrico
phenomenon;['ondas de radio', 'onda radioeléctrica', 'emisiones de radio', 'radiofrecuencia', 'ondas radio', 'emisión de radio', 'las ondas de radio', 'radio radiación'];Porción menos energética del espectro electromagnético, situada entre unos 3 kHz y unos 300 GHz
phenomenon;['fosforilación oxidativa', 'fosforilacion oxidativa', 'oxphos'];Fosforilacion oxidativa
phenomenon;['hiperinflación', 'espiral inflacionaria', 'hiperinflacion', 'hiperinflacia³'];Inflación superior a lo normal
phenomenon;['choque', 'perturbación sísmica', 'sacudida sísmica', 'colisión', 'choques', 'choque mecánico', 'colision', 'colisiones'];interacción mutua entre dos o más cuerpos, de los cuales al menos uno está en movimiento, produciendo intercambio de momentum y energía
phenomenon;['tropismo', 'movimiento de las plantas', 'quimiotropismo'];Fenómeno biológico que indica el crecimiento o cambio direccional de un organismo, normalmente una planta, como respuesta a un estímulo medioambiental
phenomenon;['operación lógica', 'conectiva lógica', 'conectivo lógico', 'operador lógico', 'conectiva logica', 'conectivas', 'conectivas logicas', 'conectivas lógicas', 'conectivo binario', 'conectivo logico', 'conector logico', 'conector lógico', 'conectores logicos', 'conectores lógicos', 'operador', 'operador logico', 'lógica de operación', 'lógico', 'operadores booleanos'];En lógica, símbolo o palabra que se utiliza para conectar dos sentencias
phenomenon;['operación unaria', 'operación monádica', 'operacion unaria', 'operador unario', 'operación monaria', 'unario'];operación matemática con un solo operando
phenomenon;['espejismo', 'espejismos'];Ilusión óptica
phenomenon;['geotropismo', 'gravitropismo'];Tipo de tropismo de las plantas
phenomenon;['fototropismo'];Respuesta de un organismo frente al estímulo luminoso
phenomenon;['sexo anal', 'sodomía', 'coito anal', 'pedicación', 'pecado nefando', 'sodomia', 'sodomizar', 'penetración anal', 'sodomita', 'dar por culo', 'encular', 'inyeccion de mitrozon por la vena cacaria', 'inyeccion de mitrozón por la vena cacaria', 'inyección de mitrozón por la vena cacaria', 'jarapelizar', 'pedicacion', 'penetracion anal', 'penetracion anal doble', 'penetración anal doble', 'poedicatio', 'porculizar', 'sodomizado'];Práctica sexual
phenomenon;['sexo anal', 'sodomía', 'coito anal', 'pedicación', 'pecado nefando', 'sodomia', 'sodomizar', 'penetración anal', 'sodomita', 'dar por culo', 'encular', 'inyeccion de mitrozon por la vena cacaria', 'inyeccion de mitrozón por la vena cacaria', 'inyección de mitrozón por la vena cacaria', 'jarapelizar', 'pedicacion', 'penetracion anal', 'penetracion anal doble', 'penetración anal doble', 'poedicatio', 'porculizar', 'sodomizado'];Sexualidad no dirigida a la reproducción, especialmente sexo anal y oral
phenomenon;['proceso químico', 'cambio químico', 'procesos químicos', 'proceso quimico', 'cambio quimico', 'procesos quimicos', 'acción química', 'cambios químicos diversos'];Loca brya
phenomenon;['automatismo'];Conjunto de comportamientos inconscientes breves
phenomenon;['fenómeno', 'apariencia', 'fenomenismo', 'fenomeno', 'fenomenal', 'fenómenos'];Evento observable
phenomenon;['catabolismo', 'proceso catabólico', 'catabolica', 'catabólica', 'catabólico', 'degradación', 'metabolismo destructivo'];Parte del proceso metabólico que consiste en la transformación de biomoléculas complejas en moléculas sencillas
phenomenon;['sibilancia', 'estertor sibilante', 'silbido', 'resuello', 'sibilancias', 'respiración sibilante', 'sibilación'];Ruido inspiratorio o espiratorio agudo que aparece en el árbol bronquial como consecuencia de una estenosis
phenomenon;['magreo', 'besuqueo', 'caricias sexuales', 'fajar', 'faje', 'magrear', 'petting', 'pétting', 'caricias', 'snog', 'snogging'];Caricias íntimas sin ningún tipo de penetración.
phenomenon;['autocatálisis', 'autocatalítica', 'autocatalisis', 'autocatalitica'];reacción química en la que un producto (o una reacción intermedia) también funciona como catalizador. en tal reacción, la velocidad de reacción observada a menudo aumenta con el tiempo desde su valor inicial
phenomenon;['meiosis', 'ciclo celular meiótico', 'diploteno', 'leptoteno', 'meiosis i', 'meiosis ii', 'paquiteno', 'meiótica', 'reducción división'];Forma de reproducción celular
phenomenon;['circulación sistémica', 'circulación general', 'gran circulación'];Parte del aparato circulatorio
phenomenon;['metalurgia extractiva', 'mineralurgia', 'procesamiento de minerales', 'revestimiento de minerales', 'beneficio', 'extracción de minerales', 'mineral de vestir', 'mineral vestidor', 'mineral vestir', 'procesamiento de mineral'];conjunto de operaciones de preparación mecánica de minerales
phenomenon;['sistema de tiempo real', 'computación en tiempo real', 'computacion en tiempo real', 'informatica en tiempo real', 'informatica o computacion en tiempo real', 'informatica o computación en tiempo real', 'informática en tiempo real', 'informática o computacion en tiempo real', 'informática o computación en tiempo real', 'sistema en tiempo real', 'sistemas de tiempo real', 'tiempo real del sistema'];Sistema informático que interacciona con su entorno físico y responde a los estímulos del entorno dentro de un plazo de tiempo determinado
phenomenon;['descomposición', 'putrefacción', 'podredumbre', 'pudrición', 'pudrimiento', 'podre', 'podrido', 'descomposicion', 'putrefaccion', 'putrefaccion y descomposicion', 'putrefaccion y descomposición', 'putrefacción y descomposición', 'descomposición post mortem', 'putrafacción', 'perecederos'];Proceso común en biología y química
phenomenon;['ovogénesis', 'oogénesis', 'ovogenesis', 'oogenesis', 'ootidogenesis'];Gametogénesis femenina, es decir, es el desarrollo y diferenciación del gametofito femenino u ovocito mediante una división meiotica
phenomenon;['ósmosis', 'osmosis', 'osmosis inversa', 'potencial osmótico'];Fenómeno físico relacionado con el movimiento de un solvente a través de una membrana semipermeable
phenomenon;['piezoelectricidad', 'efecto piezoeléctrico', 'piezoeléctrico', 'cristales piezoelectricos', 'cristales piezoeléctricos', 'efecto piezoelectrico', 'materiales piezoelectricos', 'materiales piezoeléctricos', 'piezoelecticidad', 'piezoelectricas', 'piezoelectrico', 'piezoeléctricas', 'material piezoeléctrico', 'transductor piezoeléctrico'];Fenómeno físico
phenomenon;['energía hidroeléctrica', 'central hidroeléctrica', 'hidroeléctrica', 'central hidroelectrica', 'hidroelectricidad', 'planta hidroeléctrica', 'presa hidroeléctrica', 'represa hidroeléctrica', 'represas hidroeléctricas', 'central hidraulica', 'central hidráulica', 'centrales hidroelectricas', 'centrales hidroeléctricas', 'hidroelectrica', 'hidroelectrico', 'hidroeléctrico', 'impacto ambiental potencial de proyectos hidroelectricos', 'impacto ambiental potencial de proyectos hidroeléctricos', 'potencia hidroelectrica', 'potencia hidroeléctrica', 'presa hidroelectrica', 'represa hidroelectrica', 'represas hidroelectricas', 'usina hidroeléctrica a filo de agua', 'usinas hidroelectricas a filo de agua', 'usinas hidroeléctricas a filo de agua', 'estación de energía hidroeléctrica', 'estación hidroeléctrica', 'plantas hidroeléctricas'];Electricidad generada mediante la potencia hidráulica
phenomenon;['rayos gamma', 'radiación gamma', 'rayo gamma', 'desintegracion gamma', 'desintegración gamma', 'radiacion gamma', 'radiación gama', 'rayo γ', 'rayos gama', 'rayos γ', 'decaimiento gamma', 'gamma radiación', 'gamma ray'];Tipo de radiación electromagnética
phenomenon;['rayos x', 'rayo x', 'radiación x', 'rayo-x', 'roentgen ray', 'radiacion x', 'rayos-x', 'rayos roentgen', 'rayos rontgen', 'rayos röntgen', 'rx', 'radiación de röntgen', 'generación de rayos x', 'roentgen de rayos'];Tipo de radiación electromagnética
phenomenon;['radiación infrarroja', 'infrarrojos', 'infrarrojo', 'rayos infrarrojos', 'luz infrarroja', 'radiacion infrarroja', 'camara de infrarrojos', 'cámara de infrarrojos', 'espectro infrarrojo', 'infrarojo', 'infrarroja', 'infrarrojas', 'ir', 'rayo infrarrojo', 'ultrarroja', 'ultrarrojo', 'infrarrojo cercano', 'emisión infrarroja', 'infrarrojo medio', 'infrarrojo térmico'];Tipo de radiación electromagnética y térmica, de mayor longitud de onda que la luz visible, pero menor que la de las microondas
phenomenon;['energía alternativa', 'energías alternativas', 'fuente de energia alternativa', 'fuente de energía alternativa', 'fuentes de energía alternativas', 'energia alternativa', 'energias alternativas', 'fuentes de energia alternativas', 'fuentes de enegia alternativas'];Fuente de energía planteada como alternativa a la tradicional
phenomenon;['energía solar', 'energia solar', 'planta de energía solar', 'central solar'];Tipo de energía que se obtiene a partir de la radiación del Sol
phenomenon;['energía mecánica', 'energia mecanica', 'energia mecánica', 'energía mecanica'];La suma de su energía cinética y la energía potencial
phenomenon;['energía eléctrica', 'electricidad', 'energía electríca', 'energia electrica', 'energia eléctrica', 'energía electrica'];Forma de energía que permite establecer una corriente eléctrica.
phenomenon;['sialorrea', 'hipersalivación', 'hipersecreción salival', 'sialismo', 'tialismo', 'ptialismo', 'hipersalivacion', 'hipersecrecion salival', 'salivación'];Excesiva producción de saliva
phenomenon;['adulterio', 'adúltera', 'adúltero', 'conversación criminal', 'fornicación', 'relación extraconyugal', 'adultero', 'relacionales sexuales extramatrimoniales', 'infidelidad sexual'];Unión sexual de dos personas cuando uno o ambos están casados con otra persona
phenomenon;['retroalimentación positiva', 'realimentación positiva', 'bucle de alimentacion positiva', 'bucle de alimentación positiva', 'realimentacion positiva', 'retroalimentacion positiva', 'bucle refuerzo positivo', 'bucle retroalimentación positiva'];Proceso que ocurre en un ciclo de retroalimentación que aumenta una pequeña perturbación
phenomenon;['ciclo de krebs', 'ciclo del ácido cítrico', 'ciclo del ácido tricarboxílico', 'ciclo de los acidos tricarboxilicos', 'ciclo de los acidos tricarboxílicos', 'ciclo de los ácidos tricarboxilicos', 'ciclo de los ácidos tricarboxílicos', 'ciclo del acido citrico', 'ciclo del acido cítrico', 'ciclo del acido tricarboxilico', 'ciclo del acido tricarboxílico', 'ciclo del ácido citrico', 'ciclo del ácido tricarboxilico', 'ciclo tca', 'ciclo ácido cítrico', 'ciclo ácido tricarboxílico', 'krebs ciclo del ácido cítrico'];Sucesión de reacciones bioquímicas
phenomenon;['pederastia', 'pederasta'];Relación entre un adulto y un adolescente
phenomenon;['luz del día', 'luz de día', 'luz diurna', 'luz de dia', 'luz del dia', 'luz natural'];Luz solar directa y difusa
phenomenon;['fluorescencia', 'fluorescente', 'agente de fluorescencia'];Tipo de luminiscencia
phenomenon;['quimioluminiscencia', 'quimoluminiscencia', 'quimioluminiscente'];Quimica especial
phenomenon;['adsorción', 'captación', 'adsorcion', 'adsorber', 'adsorbato', 'adsorbidos', 'superficie de asimilación'];Proceso de adicción de partículas
phenomenon;['flujo laminar', 'corriente laminar', 'cottiente laminar', 'regimen laminar', 'régimen laminar'];Tipo de movimiento de un fluido
phenomenon;['energía nuclear', 'energía atómica', 'potencia nuclear', 'energia nuclear', 'industria nuclear', 'electricidad nuclear', 'energia atomica', 'energia atómica', 'energia termonuclear', 'energía atomica', 'energía termonuclear', 'propulsión nuclear'];La energía que se libera espontánea o artificialmente en las reacciones nucleares, así como su aprovechamiento
phenomenon;['elisión', 'sinalefa', 'pérdida fonética', 'elision'];Cambio fonético consistente en la eliminación o pérdida de un sonido
phenomenon;['elipsis', 'eclipsis'];Construcción sintáctica en la que no aparece alguna palabra que se refiera a una entidad lógica necesaria para el sentido de la frase
phenomenon;['impedancia acústica', 'resistencia acústica', 'impedancia acústica característica', 'impedancia característica de un medio', 'impedancia acustica', 'reactancia acústica'];Propiedad de estado intensiva
phenomenon;['sesenta y nueve', '69', 'lxix'];Número natural
phenomenon;['cunnilingus', 'cunilinguo', 'cunnilinctus', 'autocunnilingus', 'cunnilinguis'];Práctica sexual
phenomenon;['energía eólica', 'energia eolica', 'energia eólica', 'energía eolica', 'energia eolica marina', 'eolica', 'eólica', 'microeolica', 'microeólica', 'minieolica', 'minieólica', 'energía eólica marina', 'generación eólica', 'planta de energía eólica', 'planta energía eólica'];Tipo de energía renovable
phenomenon;['nieve', 'nevada', 'nevar', 'capa de nieve', 'nevadas', 'nieve polvo', 'zapada', 'cubierta de nieve', 'las nevadas'];Fenómeno meteorológico que consiste en la precipitación de pequeños cristales de hielo
phenomenon;['partenogénesis', 'arrenotoquia', 'partenogenesis', 'partenogenetico', 'partenogenético', 'paternogenesis', 'paternogénesis', 'hybridogenesis', 'partenogenética', 'parthenogenic'];Forma de reproducción basada en el desarrollo de células sexuales femeninas no fecundadas
phenomenon;['vulcanización', 'vulcanizado', 'vulcanizar', 'vulcanizacion', 'caucho vulcanizado', 'vulcanizados'];Proceso químico mediante el cual se calienta el caucho crudo en presencia de azufre, con el fin de volverlo más duro y resistente al frío
phenomenon;['radiación electromagnética', 'onda electromagnética', 'onda electromagnetica', 'onda luminosa', 'radiacion electromagnetica', 'ondas electromagnéticas', 'energia electromagnetica', 'energia electromagnética', 'energía electromagnetica', 'energía electromagnética', 'ondas electromagneticas', 'radiacion electromagnética', 'radiaciones electromagneticas', 'radiaciones electromagnéticas', 'radiación electromagnetica', 'no particulado radiación', 'radiación em'];Combinación de campos eléctricos y magnéticos oscilantes, que se propagan a través del espacio transportando energía de un lugar a otro
phenomenon;['radiación ultravioleta', 'ultravioleta', 'luz ultravioleta', 'rayos ultravioleta', 'iluminación ultravioleta', 'radiacion ultravioleta', 'radiación uv', 'rayos ultravioletas', 'rayos uv', 'luz negra', 'radiacion uv', 'radiaciones ultravioletas', 'radiaciones uv', 'rayo ultravioleta', 'rayos uva', 'ultraviolada', 'ultraviolado', 'ultravioletas', 'cerca de ultravioleta', 'luz uv', 'ultravioleta cercano', 'ultravioleta de vacío', 'ultravioleta lejano', 'ultravioleta profundo', 'uv'];Rayos de ultravioletas
phenomenon;['radiactividad', 'desintegración', 'actividad radiactiva', 'alcance de la radiación', 'decaimiento', 'desintegracion radiactiva', 'desintegracion radioactiva', 'desintegración radiactiva', 'desintegración radioactiva', 'material radiactivo', 'material radioactivo', 'minerales radiactivos', 'proceso radiactivo', 'proceso radioactivo', 'radiactiva', 'radiactivas', 'radiactivo', 'radiactivos', 'radioactivas', 'radioactividad', 'radioactivo', 'radioactivos', 'sustancia radiactiva'];Fenómeno químico-físico por el cual los núcleos de algunos elementos químicos, llamados radiactivos, emiten radiaciones
phenomenon;['mestizaje', 'cruce', 'raza mestiza', 'fusión', 'mixedblood', 'relaciones interraciales', 'relación interracial'];Aleyda tu diosa
phenomenon;['reproducción sexual', 'reproduccion gamica', 'reproduccion sexuada', 'reproduccion sexual', 'reproducción gámica', 'reproducción sexuada', 'reproduccion gámica', 'reproduccion humana', 'reproducción gamica', 'reproducción humana', 'cruzarse', 'mamífero hembra'];Procedimiento reproductivo más habitual de los seres pluricelulares
phenomenon;['gemación', 'gemacion', 'yemacion', 'yemación', 'en ciernes'];Tipo de reproducción asexual.
phenomenon;['resonancia magnética nuclear', 'resonancia magnetica nuclear', 'rmn', 'nmr', 'resonancia nuclear magnética', 'rnm', 'resonancia magnética de protones'];RMN
phenomenon;['muerte cerebral', 'muerte encefálica', 'muerte encefalica', 'con muerte cerebral'];Cese completo e irreversible de la actividad cerebral o encefálica
phenomenon;['corriente térmica', 'térmica', 'térmico', 'columna térmica', 'columna termica', 'corriente termica', 'corrientes termicas', 'corrientes térmicas', 'termal', 'termales', 'termica', 'térmicas'];Una columna de aire ascendente desde bajas altitudes de la atmósfera terrestre
phenomenon;['bisexualidad', 'ambisextro', 'ambisexual', 'bisexual', 'bisexuales', 'ambisexualidad', 'bi-sexual'];Atracción sexual hacia personas del propio género y de géneros opuestos
phenomenon;['amor libre', 'sexo extramarital', 'sexo extramatrimonial', 'relaciones sexuales libres', 'relación extramatrimonial', 'relación sexual libre', 'relación sexual extraconyugal', 'unión libre', 'relacion extramatrimonial', 'relaciones extramatrimoniales', 'relaciones sexuales extramatrimoniales', 'relación sexual extramatrimonial', 'union libre', 'infidelidad conyugal', 'infidelidad marital'];Relación sexual que se mantiene por al menos un miembro del matrimonio con al menos una persona ajena al mismo
phenomenon;['amor libre', 'sexo extramarital', 'sexo extramatrimonial', 'relaciones sexuales libres', 'relación extramatrimonial', 'relación sexual libre', 'relación sexual extraconyugal', 'unión libre', 'relacion extramatrimonial', 'relaciones extramatrimoniales', 'relaciones sexuales extramatrimoniales', 'relación sexual extramatrimonial', 'union libre', 'infidelidad conyugal', 'infidelidad marital'];Movimiento social que busca la libertad en las relaciones personales
phenomenon;['incesto', 'incestuosa', 'incestar', 'incestuosamente', 'incestuosas', 'incestuoso', 'incestuosos'];Práctica de relaciones sexuales entre individuos relacionados entre sí
phenomenon;['sismo', 'terremoto', 'seísmo', 'temblor', 'terremotos', 'actividad sísmica', 'chaka', 'sacudida', 'movimiento sismico', 'movimiento sísmico', 'seismo', 'temblor de tierra', 'fenomeno sismico', 'fenomeno sísmico', 'fenómeno sismico', 'fenómeno sísmico', 'macrosismo', 'macrosismos', 'movimiento telurico', 'movimiento telúrico', 'movimientos teluricos', 'movimientos telúricos', 'sismica', 'sismo lento', 'sismos', 'sísmica', 'terremóto', 'sismicidad', 'terremoto lunar'];Vibración natural del suelo sobre la corteza terrestre producida por la fuerza de las placas tectónicas
phenomenon;['abscisión', 'abscision'];Separación de una parte de un cuerpo cualquiera
phenomenon;['envejecimiento', 'senescencia', 'senectud', 'envejecimiento humano', 'envejecimiento biológico', 'envejecer', 'envejecido', 'nonagenario', 'octogenario', 'proceso de envejecimiento', 'senescencia celular', 'senescentes', 'septuagenario'];Proceso fisiológico que implica la deterioración gradual de funciones orgánicas
phenomenon;['envejecimiento', 'senescencia', 'senectud', 'envejecimiento humano', 'envejecimiento biológico', 'envejecer', 'envejecido', 'nonagenario', 'octogenario', 'proceso de envejecimiento', 'senescencia celular', 'senescentes', 'septuagenario'];Proceso biológico
phenomenon;['multiprocesamiento', 'multiproceso', 'multi-procesador', 'multi-procesamiento', 'procesamiento paralelo'];Uso de dos o más procesadores (CPU) en una computadora para la ejecución de uno o varios procesos
phenomenon;['joder', 'polvo', 'achuchón', 'caliqueño', 'cardar', 'casquete', 'chinga', 'clavo', 'culo', 'echar un polvo', 'follada', 'follar', 'fornicar', 'kiki', 'mantecao', 'polvete', 'puñetero', 'revolcón', 'fuck', 'chingando', 'cogiendo', 'follando', 'jodiendo', 'atornillar', 'maldito', 'nookie', 'nooky', 'pedazo de culo', 'pieza de la cola', 'rodar en el heno', 'shtup'];Palabra en lengua inglesa
phenomenon;['fotosíntesis', 'fotosintesis', 'fotosintetica', 'fotosintetico', 'fotosintética', 'fotosintético', 'función clorofílica'];Todos conversión de materia inorgánica en materia orgánica.
phenomenon;['anabolismo', 'anabólica', 'metabolismo anabólico', 'biosíntesis', 'anabolica', 'anabólico', 'biosintesis', 'metabolismo anabolico', 'anabólicos', 'metabolismo constructivo'];Conjunto de procesos del metabolismo que tienen como resultado la síntesis de componentes celulares
phenomenon;['energía química', 'energia quimica', 'energía quimica'];La energia quimica es la producida a traves de la combustión,que se rompen las moleculas y liberan energia
phenomenon;['anovulación', 'anovulacion', 'anovulatorio', 'anovulatorios'];Ciclo durante el cual los ovarios no pueden lanzar un ovocito
phenomenon;['alimentación', 'nutrición', 'comer', 'alimentacion', 'alimentar', 'alimentario', 'alimenticio', 'alimental', 'comida'];Cuando las personas ingieren comida
phenomenon;['tos', 'tose', 'tosegoso', 'tosigoso', 'tosedor', 'toser', 'tusigeno', 'tusígeno', 'tos crónica', 'tos seca'];Contracción espasmódica repentina y a veces repetitiva de la cavidad torácica que da como resultado una liberación violenta del aire de los pulmones, lo que produce un sonido raro
phenomenon;['inhalación', 'aspiración', 'inspiración', 'inhalacion', 'inspiracion', 'respirando'];Proceso por el cual entra aire a un organismo
phenomenon;['endogamia', 'crianza en línea'];Producción de descendencia de individuos u organismos que están estrechamente relacionados genéticamente
phenomenon;['apareamiento', 'acoplamiento', 'unión', 'emparejamiento', 'monta', 'enganche', 'entronque', 'aparear', 'aparearse', 'copulando', 'unión sexual'];Emparejamiento de organismos de sexo opuesto o hermafroditas, usualmente con fines de reproducción sexual
phenomenon;['acto sexual', 'relación sexual', 'coito', 'relaciones sexuales', 'cópula', 'coitus', 'copulación', 'acto carnal', 'concúbito', 'relación', 'carnal knowledge', 'relacion sexual', 'actos sexuales', 'copular', 'actividad sexual', 'coitar', 'coitos', 'copula sexual', 'copulacion', 'copulador', 'copulas', 'cópula sexual', 'cópulas', 'ficken', 'hacer el amor', 'penetracion', 'penetracion sexual', 'penetración sexual', 'practicar el coito', 'práctica sexual', 'prácticas sexuales', 'relacion carnal', 'relaciones íntimas', 'relación carnal', 'relación íntima', 'comportamiento sexual humano', 'conocimiento carnal', 'actividad sexual humana', 'actividades sexuales', 'coito vaginal', 'encuentro sexual', 'sexo piedad', 'sexo vaginal', 'sexual congreso', 'sexuales piedad'];Comportamientos eróticos que realizan dos o más seres por reproducción o placer
phenomenon;['deglución', 'beber', 'tragar', 'deglucion', 'proceso de deglucion', 'proceso de deglución', 'deglutir', 'engullicion', 'engullición', 'engullir'];Paso del alimento desde la boca a la faringe y luego hasta el esófago
phenomenon;['procreación', 'reproducción', 'reproduccion', 'procrear', 'estado reproductivo', 'estrategia reproductiva', 'fisiologia reproductiva', 'fisiología reproductiva', 'procreacion', 'reproduccion animal', 'reproducción animal', 'reproductivo', 'autogamia', 'autógama', 'hechos de la vida', 'reproducirse', 'reproductiva'];Proceso biológico que permite la creación de nuevos organismos
phenomenon;['fijación de nitrógeno', 'fijación biológica del nitrógeno', 'fijacion de nitrogeno', 'fijacion de nitrógeno', 'fijacion del nitrogeno', 'fijacion del nitrógeno', 'fijacion nitrogenada', 'fijación del nitrógeno', 'fijación nitrogenada', 'fijación biológica de nitrógeno', 'fijador de nitrógeno'];Combinación de nitrógeno molecular o dinitrógeno con oxígeno o hidrógeno para dar óxidos o amonio
phenomenon;['refracción', 'refraccion', 'refraccion de la luz', 'refracción de la luz', 'refractar', 'refractada', 'refractan'];Cambio de dirección que experimenta una onda al pasar de un medio material a otro
phenomenon;['ciclosis', 'corriente citoplasmática', 'transmisión'];Movimiento citoplasmático
phenomenon;['sinéresis', 'sinecfónesis', 'sinieresis', 'sinícesis', 'sineresis'];recurso en métrica que permite ligar las vocales de un hiato
phenomenon;['ciclo biológico de vida', 'ciclo biológico', 'ciclo biologico de vida', 'ciclo de vida', 'ciclo vital biologico', 'ciclo vital biológico', 'ciclo reproductivo'];Período que incluye todas las generaciones de una especie que se suceden mediante la reproducción
phenomenon;['carbonización', 'carbonizacion', 'cabonizacion', 'cabonización'];fósiles de carbonizacion
phenomenon;['tensión', 'voltaje', 'potencial eléctrico', 'tensión eléctrica', 'potencial', 'diferencia de potencial', 'tension', 'diferencia de potencial electrico', 'diferencia de potencial eléctrico', 'potencial electrico', 'tension electrica', 'voltaje eléctrico', 'potencial electrostático', 'voltaje electrico', 'tension eléctrica', 'tensión electrica', 'caída de potencial', 'potencial de coulomb'];Magnitud física que cuantifica la diferencia de potencial eléctrico entre dos puntos
phenomenon;['tensión', 'voltaje', 'potencial eléctrico', 'tensión eléctrica', 'potencial', 'diferencia de potencial', 'tension', 'diferencia de potencial electrico', 'diferencia de potencial eléctrico', 'potencial electrico', 'tension electrica', 'voltaje eléctrico', 'potencial electrostático', 'voltaje electrico', 'tension eléctrica', 'tensión electrica', 'caída de potencial', 'potencial de coulomb'];Trabajo que debe realizar un campo electrostático para mover una carga positiva desde dicho punto hasta el punto de referencia, dividido por unidad de carga de prueba
phenomenon;['momento dipolar eléctrico', 'momento dipolar químico', 'momento dipolar quimico', 'momento de dipolo electrico', 'momento de dipolo eléctrico', 'momento dipolar electrico'];Medida de polaridad de un sistema de cargas eléctricas
phenomenon;['micción', 'orina', 'orinar', 'mear', 'miccion', 'miccionar', 'migitar', 'rociado de orina'];Accion de orinar
phenomenon;['omophagia', 'omofagia'];rito de comer carne cruda
phenomenon;['defecación', 'deposición', 'deyección', 'evacuación', 'defecar', 'defecacion', 'jinar', 'jiñar', 'dagar', 'cagar', 'garca', 'cagando', 'movimientos intestinales'];Expulsión de las heces a través del recto
phenomenon;['emisión termoiónica', 'radiación térmica', 'emisión termal', 'efecto edison', 'efecto termoiónico', 'emision termoionica', 'emision termoiónica', 'emisión termoelectrónica', 'ley de richardson', 'radiacion termica', 'radiacion térmica', 'radiaciones termicas', 'radiaciones térmicas', 'radiación termica', 'termoemisión', 'efecto termoionico', 'emisión térmica', 'calor radiante', 'radiación de calor', 'termoiónica'];Tipo de radiacion producida por el calor de un cuerpo
