abstract-region;['soma', 'montante', 'total', 'importe', 'importância', 'quantia', 'quantitativo', 'número', 'totalizar'];O resultado da adição de duas ou mais quantidades.
phenomenon;['fusão nuclear', 'fusão', 'energia de fusão', 'fusão do hidrogênio', 'fusão do núcleo', 'reacção de fusão nuclear', 'reação de fusão'];Combinação de dois núcleos atómicos leves de modo a formar um núcleo mais pesado com libertação de alguma energia de coesão.
phenomenon;['flato', 'gás', 'peido', 'ar', 'flatos', 'peidar', 'flatulência', 'pum', 'quebra vento'];Emissão de gases digestivos pelo ânus.
phenomenon;['nuvem', 'nuvens', 'cumuliforme', 'estratiforme', 'nublado', '☁', 'formação de nuvens'];Suspensão de diminutas gotas de água ou cristais de gelo produzidos pela condensação de vapor de água.
phenomenon;['sexo anal', 'sodomia', 'pecado nefando', 'peccatum contra naturam', 'anal princess', 'anal queen', 'coito anal', 'sodomita', 'penetração anal', 'sodomizado'];Forma do comportamento sexual humano em que o pénis erecto é inserido no recto através do ânus.
phenomenon;['nevoeiro', 'névoa', 'cerração', 'nevoeiros', 'neblina', 'bruma'];Gotículas de água ou, mais raramente, cristais de gelo suspensos no ar com concentração suficiente para reduzir significativamente a visibilidade.
phenomenon;['deterioração', 'degradação', 'diminuição da qualidade'];Processo de modificação para uma condição ou estado pior.
phenomenon;['fotossíntese', 'captura de carbono', 'como plantas soltam oxigenio', 'fotossintético', 'fotossintéticos', 'fotossíntese nas plantas', 'fotossintese'];Processo pelo qual as plantas transforma dióxido de carbono e água em hidratos de carbono e outros compostos, usando energia do sol captada pela clorofila da planta.
phenomenon;['ovulação', 'ovocitação', 'oocitação', 'ovular'];A libertação de um óvulo do ovário.
phenomenon;['necrose', 'gangrena', 'gangrenas', 'guengrena', 'necroses', 'necrose gangrenosa', 'tipos de necrose', 'gangrenado', 'necrosante', 'necrose do tecido', 'tecido necrótico'];Morte patológica de tecido vivo numa planta ou animal.
phenomenon;['tempo', 'clima', 'estado atmosférico', 'fenómeno climático', 'fenômeno climático', 'fenômenos climáticos', 'tempo atmosférico', 'tempo climático', 'tempo meteorológico', 'condições meteorológicas', 'fenómenos meteorológicos', 'vento', 'condição atmosférica', 'condição de tempo', 'condições climáticas'];As condições meteorológicas do dia, nomeadamente temperatura, nebulosidade e precipitação, que afectam um determinado local.
phenomenon;['chama', 'fogo', 'labareda', 'flama', 'lume', 'ardor', 'chamariz', 'exaltação', 'faísca', 'fervor', 'fogueira', 'fulgor', 'incêndio', 'labaredas', 'lava', 'lavareda', 'luzeiro', 'língua-de-fogo', 'chamas', 'ígneo', 'ardente', 'incêndios'];Porção de ar quente e luminosa produzida por uma reação de combustão.
phenomenon;['abrasão', 'moinho'];Desgaste por fricção. (S.f.. Ref. Geologia. Fonte: IPDF).
physical-body;['cometa', 'cometas', 'cometa de longo período', 'cometa família de júpiter'];Bloco de gelo e pó que orbita em redor do sol. Visto da terra, assemelha-se a uma estrela brilhante com cauda.
physical-body;['sol'];Qualquer estrela, em particular, quando é o centro de um sistema solar.
physical-body;['estrela fixa', 'sol', 'estrelas fixas'];Qualquer estrela, em particular, quando é o centro de um sistema solar.
physical-body;['cadáver', 'corpo', 'restos mortais', 'defunto', 'morto', 'corpo morto'];Estrutura física de uma pessoa ou animal morto.
physical-body;['marte', '♂', 'planeta marte', 'amazonian', 'era amazonian', 'era noachin', 'hesperian', 'horário de rotação de marte', 'luas de marte', 'planeta vermelho'];O quarto planeta (contado a partir do centro) do nosso sistema solar.
physical-body;['io'];A mais interior das quatro luas galileanas do planeta Júpiter.
physical-body;['cadáver', 'defunto', 'corpo', 'restos mortais', 'credor', 'despojo', 'morto', 'presunto', 'ruína', 'cadáveres', 'falecido', 'finado', 'enchido'];Estrutura física de uma pessoa ou animal morto.
physical-body;['mercúrio', 'planeta mercúrio'];O planeta mais pequeno e mais perto do Sol do nosso nosso sistema solar.
physical-object;['rede de computadores', 'rede', 'redes de informação', 'redes de computadores', 'rede de dados', 'beneficios de uma rede de computadores', 'rede de computador', 'rede informática', 'redes informáticas', 'sub-redes', 'super-redes', 'tipos de rede', 'datacom', 'redes computadores', 'redes de dados'];Um conjunto de conexões entre várias infra-estruturas computacionais.
physical-object;['automóvel', 'carro', 'auto', 'veículo', 'máquina', 'viatura', 'carruagem', 'rolante', 'turismo', 'vagão', 'automóveis', 'automotivo', 'carros', 'veículo automotivo', 'automovel', 'automóveis particulares', 'automático'];Veículo de quatro rodas usado no transporte por terra, geralmente propulsionado por um motor de combustão interna alimentado a gasolina ou gasóleo.
physical-object;['bolsa', 'saco', 'saca', 'saco de papel', 'sacola', 'carteira', 'sacola de plástico'];Contentor flexível feito de tecido, papel, plástico, couro, etc., onde se põe algo dentro e se pode transportar.
physical-object;['bolsa', 'mala', 'carteira', 'bolsas'];Objecto utilizado para transportar dinheiro e pequenos acessórios ou objectos pessoais (especialmente pelas mulheres).
physical-object;['abatis', 'abattis'];Obstáculo defensivo formado por galhos de árvores enfileiradas, com as pontas agudas direcionadas para o inimigo.
physical-object;['prisão', 'presídio', 'cadeia', 'casa de detenção', 'cárcere', 'xadrez', 'cana', 'grades', 'xilindró', 'prisões', 'casa de correção', 'estabelecimento prisional', 'penitenciaria', 'presidio', 'preso', 'sistema prisional', 'aljube', 'penitenciária', 'casas de correção', 'presidiário', 'presos', 'prisioneira', 'prisioneiro', 'sistema carcerário', 'sistema penitenciário', 'venustério', 'cadeia do condado', 'encarcerar', 'instituição correcional', 'segurança média'];Lugar no qual as pessoas têm liberdade pessoal restrita.
physical-object;['porquinho-mealheiro', 'banco', 'caixa', 'banco de moeda'];Lugar onde elementos, normalmente do mesmo tipo, são guardados para consulta ou uso posterior, como por exemplo: banco de dados, banco de imagens.
physical-object;['cesto', 'cesta', 'cabaz', 'cestos', 'cestas', 'handbasket'];Um contentor leve, geralmente redondo, aberto no topo, estreitando-se em direcção ao fundo.
physical-object;['batom', 'bâton', 'lábio rouge'];Cosmético que se usa para dar cor aos lábios.
physical-object;['sapato', 'calçado', 'çapato', 'sapatos'];Cobertura protetora dos pés, com uma parte inferior composta de couro grosso ou sola de plástico e freqüentemente com salto mais espesso, e uma parte superior mais macia feita de couro ou material sintético. Os sapatos geralmente não passam do tornozelo, em oposição a botas, que passam.
physical-object;['tesoura', 'tesoira', 'tesouras'];Uma ferramenta usada para cortar um material fino, constituído por duas lâminas de corte encontram, juntou-se por um pivô de modo que a corrediça lâminas uns sobre os outros quando os meios de preensão são fechadas.
physical-object;['jornal', 'diário', 'folha', 'jornal diário', 'papel de periódico', 'jeira', 'jorna', 'noticiário', 'periódico', 'artigo', 'papel-jornal', 'jornais', 'jornal da tarde', 'jornal local', 'jornal nacional', 'papel'];Uma publicação (normalmente diária ou semanal, e impressa em papel barato e de baixa qualidade) que contém notícias e outros artigos.
physical-object;['torneira', 'bica'];Dispositivo aplicado à extremidade de um tubo ou cano para interromper e regular o fluxo de um líquido ou de um gás.
physical-object;['bomba hidráulica', 'bomba', 'bombas', "bomba d'água", 'bomba de combustível', 'bombas hidráulicas', 'bombas de deslocamento positivo', 'bombagem', 'bombas de água', 'bomba a vapor', 'bomba de deslocamento positivo', 'bomba de vapor', 'bomba elétrica'];Máquina que puxa um líquito para dentro de si mesma através de um gargalo de entrada e força a saída desse líquido por meio de um gargalo de exaustão. (Fonte: MGH).
physical-object;['torneira', 'válvula', 'torneira de água', 'torneiras'];Dispositivo aplicado à extremidade de um tubo ou cano para interromper e regular o fluxo de um líquido ou de um gás.
physical-object;['chapa', 'lâmina', 'lousa', 'placa', 'sólido e plano'];Peça fina, lisa e retangular feita de substância consistente, como metal, vidro, madeira, pedra, aço etc.
physical-object;['janela', 'fenestra', 'ventana', 'janelas'];Uma abertura, usualmente coberta por um ou mais painéis de vidro transparente que permite a entrada da luz vinda do exterior para dentro de um edifício ou veículo.
physical-object;['copo de vinho', 'taça'];Copo utilizado para beber vinho.
physical-object;['martelo', 'martelos'];Uma ferramenta formada por uma cabeça pesada e uma pega usada para martelar ou percutir.
physical-object;['volante', 'roda', 'direção'];Objeto circular usado para dirigir certos tipos de veículos.
physical-object;['clínica', 'hospital', 'centro de saúde', 'clínica médica', 'clínicas', 'médicos', 'posto de saúde'];Um lugar onde pessoas que estão doentes ou magoadas são tratadas por médicos e enfermeiros.
physical-object;['hospital', 'clínica', 'hospitais', 'administração hospitalar', 'admissão hospitalar', 'centro hospitalar', 'nosocômio', 'nosocômios', 'serviço médico', 'enfermaria', 'distrito hospital geral', 'hospital distrital'];Um lugar onde pessoas que estão doentes ou magoadas são tratadas por médicos e enfermeiros.
physical-object;['sinagoga', 'templo', 'sacrário', 'sinagogas', 'shul', 'templos', 'sinagoga judaica'];Um lugar de culto para os seguidores da religião judaica.
physical-object;['bagageira'];Compartimento destinado à bagagem num automóvel.
physical-object;['caminhão', 'camião', 'sunkvežimis', 'camiões'];Qualquer veículo motor destinado a transportar cargas.
physical-object;['bomba hidráulica', 'bomba', 'bombas', "bomba d'água", 'bomba de combustível', 'bombas hidráulicas', 'bombas de deslocamento positivo', 'bombagem', 'bombas de água', 'bomba a vapor', 'bomba de deslocamento positivo', 'bomba de vapor', 'bomba elétrica'];Máquina que puxa um líquito para dentro de si mesma através de um gargalo de entrada e força a saída desse líquido por meio de um gargalo de exaustão. (Fonte: MGH).
physical-object;['artefato', 'artefacto', 'produto', 'utensílio'];Um objecto feito pelo homem visto como um todo.
physical-object;['casa', 'habitação', 'lar', 'moradia', 'domicílio', 'residência', 'morada', 'alojamento', 'andar', 'aposentadoria', 'chalé', 'estância', 'poisada', 'pousada', 'vila', 'vivenda', 'espaço doméstico', 'área residencial', 'reforma urbana', 'habitacionais', 'aposento', 'habitações', 'lugar', 'residência privada'];A residência de uma pessoa, o seu domicílio.
physical-object;['prisão', 'cárcere', 'cadeia', 'cana', 'casa de detenção', 'grades', 'presídio', 'xadrez', 'xilindró', 'penal', 'jailhouse', 'grande penalidade', 'penalidade máxima', 'penalty', 'penálti', 'prisno', 'pênalti', 'chato', 'pequeno'];Lugar no qual as pessoas têm liberdade pessoal restrita.
physical-object;['escola', 'colégio', 'educandário', 'departamento', 'escolas', 'prédio escolar'];Uma instituição ou edifício onde crianças ou jovens recebem educação.
physical-object;['placa', 'chapa', 'placa de identificação de veículos', 'matrícula', 'placa de matrícula', 'placa de identificação', 'placa de identificacao do veiculo', 'emplacamento de veículos', 'placa de carro', 'placa de identificação de veículos automóveis', 'numberplate', 'placa de licença', 'placas'];Chapa de metal para identificação alfanumérica de veículos, em suas partes dianteira e/o traseira.
physical-object;['farmácia', 'botica', 'ciências farmacêuticas', 'farmacia', 'farmácias', 'farmácia-bioquímica', 'drogaria', 'drograria', 'botica do', 'farmácia de'];Uma loja onde se fazem e vendem medicamentos.
physical-object;['casa de banho', 'quarto de banho', 'sala de banho', 'banho', 'instalações sanitárias', 'casa-de-banho', 'banheiro', 'instalações sanitarias', 'toalete', 'quartodebanho', 'banheiros'];Uma divisão da casa que contém uma banheira ou chuveiro, e geralmente também um lavatório e uma retrete.
physical-object;['quarto', 'dormitório', 'habitação', 'camarata', 'câmara', 'bedchamber', 'quarto de dormir', 'quartos', 'quartos de dormir'];Uma sala de uma casa (normalmente contendo pelo menos um armário e uma cama) onde uma pessoa dorme.
physical-object;['registro', 'torneira', 'torneira de passagem'];Válvula com a função de regular o fluxo de um líquido ou gás através de um cano.
physical-object;['eixo', 'veio', 'eixo dianteiro', 'eixos'];Parte central de uma roda, que geralmente não gira.
physical-object;['florista', 'floricultura', 'loja de flores', 'floristas', 'loja flores'];A loja que vende flores.
physical-object;['jaqueta', 'casaco', 'jaquetas'];Uma vestimenta exterior que cobre o torso superior e braços.
physical-object;['roda', 'rodas'];Objeto circular que gira ao redor de um eixo central, e que permite, desse modo, um movimento com pouca fricção.
physical-object;['relógio de pulso', 'relógio', 'relógio de bolso', 'relógios de pulso', 'relógios', 'relógios pulso'];Objecto portátil que indica as horas, frequentemente transportado numa correia à volta do punho.
physical-object;['edifício', 'prédio', 'edifícios públicos', 'imóvel', 'construção', 'edificacao', 'edificio', 'predio', 'edificação', 'indoor', 'prédio comercial', 'prédios', 'edifícios', 'casa'];Qualquer coisa construída com telhado e paredes, tal como uma casa ou uma fábrica.
physical-object;['abrigo', 'asilo', 'refúgio'];Cobertura ou proteção, do tempo ou perigo. lugar de refúgio.
physical-object;['prateleira', 'estante'];Estrutura plana, rígida e rectangular, fixa em ângulos rectos a uma parede, e usada para suportar, armazenar ou expôr objectos.
physical-object;['ar condicionado', 'ar-condicionado', 'condicionador de ar', 'condicionamento de ar', 'condicionadores de ar', 'climatização'];Sistema ou processo para controlar a temperatura e também a humidade e o ar puro de uma casa, etc.
physical-object;['preservativo', 'camisinha', 'camisa-de-vênus', 'borracha', 'preservador', 'profilaxia', 'capa', 'preservativos', 'camisa-de-vénus', 'camisa de vénus', 'camisa de vênus', 'preservativo masculino'];Um dispositivo contraceptivo que consiste numa fina película de borracha ou látex, usada sobre o pénis durante a relação sexual.
physical-object;['relógio', 'relógios', 'relogio', 'horológio', 'indústria relojoeira', 'relojoaria', 'relógio de parede', 'relógio eletrônico', '⌚', 'pulso de disparo', 'relógio mecânico'];Um instrumento usado para medir ou acompanhar o tempo.
physical-object;['rede'];Uma malha de fio, cordão ou corda geralmente usada para apanhar peixe ou capturar algo.
physical-object;['ônibus', 'autocarro', 'machimbombo', 'ónibus', 'coche', 'auto-ônibus', 'autocarros', 'auto-ónibus', 'busdoor', 'buso', 'busos', 'microlete', 'otocarro', 'terminal de integração', 'toca-toca', 'autobus', 'charabanc', 'motorbus', 'carreira', 'empresa ônibus', 'linha de ônibus urbano-suburbano', 'moeda de cinco cêntimos', 'rotas de ônibus', 'veículo de passageiros', 'ônibus de dois andares', 'ônibus motor'];Veículo automóvel para transporte colectivo.
physical-object;['relógio de pulso', 'relógio'];Objecto portátil que indica as horas, frequentemente transportado numa correia à volta do punho.
physical-object;['caneta', 'canetas', 'caneta-tinteiro', 'caneta esferográfica', 'caneta e tinta'];Utensílio, normalmente de forma tubular, que contém tinta, usado para escrever ou fazer marcas.
physical-object;['ponte', 'ponte ferroviária', 'ponte rodoviária', 'pontes'];Uma estrutura que transpõe e fornece uma passagem sobre uma estrada, via-férrea, rio, ou algum outro obstáculo.
physical-object;['aeroporto', 'aeródromo', 'aeroportos', 'terminal de aeroporto', 'campo de aviação', 'aerodromo', 'aerogare', 'área de movimento', 'aeroportos da américa do sul', 'drome', 'lado ar', 'landside'];Área de aterragem e descolagem para aeronaves civis, geralmente com pistas pavimentadas, manutenção de aeronaves e instalações para passageiros.
physical-object;['bomba', 'bombas', 'bombardeamento', 'bombardeio'];Dispositivo cheio de explosivos usado para destruir coisas.
physical-object;['escova', 'brocha', 'pincel', 'escova de cabelo', 'escovilhão', 'escova de dentes', 'escovas'];Um utensílio com pega, e uma cabeça com cerdas, mais ou menos flexíveis, usado para arranjar o cabelo.
physical-object;['malha', 'rede', 'rede de computadores', 'trama'];Um conjunto de conexões entre várias infra-estruturas computacionais.
physical-object;['ferradura'];Pedaço de metal destinado a ser colocado no casco de um cavalo como meio de proteção.
physical-object;['sótão', 'loft', 'águas-furtadas', 'sotao', 'mansarda', 'trapeira', 'ático', 'loft vela', 'lofts', 'manhattan loft'];Divisão na parte mais alta de uma casa, sob o tecto.
physical-object;['casaco', 'agasalho', 'blusão', 'sobretudo'];Uma vestimenta exterior que cobre o torso superior e braços.
physical-object;['bater', 'aba'];Movimento de qualquer coisa larga e solta, ou um golpe ou som produzido com ele. como, o bater de uma vela marítima ou de uma asa.
physical-object;['porta-malas', 'bagageira', 'mala', 'porta-bagagem', 'capô', 'compartimento de bagagem', 'tronco', 'tronco automóvel'];Compartimento destinado à bagagem num automóvel.
physical-object;['roupa', 'vestuário', 'vestimenta', 'indumentária', 'traje', 'veste', 'compostura', 'copa', 'fato', 'hábito', 'paramentos', 'trajo', 'vestiaria', 'vestidura', 'abaetar', 'confecção', 'confecções', 'pulôver', 'roupas', 'vestido', 'apetrechos', 'artigo de roupa', 'indústria vestuário', 'moda feminina', 'wearable'];Todas as coberturas concebidas para serem usadas sobre o corpo de uma pessoa.
physical-object;['binóculo', 'binóculos', 'binóculo de teatro', 'óculos de ópera'];Instrumento que faz objetos distantes parecerem mais próximos, com um visor separado para cada olho.
physical-object;['vela de ignição', 'vela', 'velas de ignição'];Dispositivo que provoca a inflamação da mistura gasosa contida nos cilindros de um motor a explosão através da criação de um arco eléctrico entre dois eléctrodos.
physical-object;['bota', 'botas', 'ankle-boot', 'calçado', 'botas de trabalho'];Calçado que cobre parte da perna.
physical-object;['bule', 'bule de chá', 'bules'];Contentor com tampa e pega com o qual se prepara e serve o chá.
physical-object;['garfo'];Um utensílio com dentes usado para colocar comida sólida dentro da boca.
physical-object;['chave', 'fechadura', 'botão de accionamento', 'tecla'];Um objecto desenhado para abrir (e normalmente fechar) uma fechadura.
physical-object;['ferradura', 'ferraduras'];Pedaço de metal destinado a ser colocado no casco de um cavalo como meio de proteção.
physical-object;['escova de dentes', 'escova de dente', 'escovação dental', 'escovas de dentes'];Um instrumento com uma pega, e uma cabeça com múltiplas cerdas, mais ou menos flexíveis, usado para lavar os dentes.
physical-object;['sinagoga', 'templo', 'sacrário', 'sinagogas', 'shul', 'templos', 'sinagoga judaica'];Um lugar de culto para os seguidores da religião judaica.
physical-object;['dorso de calçado', 'dorso de meia', 'dorso de sapato', 'peito do pé', 'dorso do pé'];Seção de qualquer calçado que cobre esta parte do pé.
physical-object;['fósforo', 'palito de fósforo', 'palitos de fósforo', 'fósforos', 'jogo de atrito', 'fósforo de fricção'];Pequeno pau que inclui uma substância inflamável numa das extremidades que se pode incendiar por fricção.
physical-object;['compasso', 'bússola'];Instrumento de desenho técnico que serve para fazer circunferências ou arcos.
physical-object;['estação ferroviária', 'estação de trem', 'terminal ferroviário', 'estação de comboios', 'estações de trem', 'estação de comboio', 'estação de trens', 'estação férrea', 'estações de caminho-de-ferro', 'gare', 'estações ferroviárias', 'estação', 'depósito de trem', 'estação de passageiros', 'estação terminal', 'estação trem', 'parada ferroviária', 'parada ferroviária dinamarquesa', 'parada própria'];Um edifício no qual param os trens.
physical-object;['cofre', 'cofres', 'seguro'];Contentor reforçado utilizado para manter seguro o seu conteúdo.
physical-object;['internet', 'ciberespaço', 'a internet', 'rede', 'rede de computadores', 'cyberespaço', 'ética na internet', 'ciberespaco', 'criptoespaço', 'internauta', 'internete', 'origem da internet', 'rede internet', 'serviços de internet', 'sistemas para internet'];Um conjunto de conexões entre várias infra-estruturas computacionais.
political-geographic-object;['são petersburgo', 'petrogrado', 'leningrado', 'leninegrado', 'санкт-петербург', 's. petersburgo', 'sampetersburgo', 'san petersburgo', 'st petersburg', 'são petesburgo', 'petersburgo', 'piter', 'peterburg'];A segunda maior cidade e anterior capital da Rússia.
political-geographic-object;['japão', 'nihon', 'cipango', 'japonesa', 'japonesas', 'nipo', 'nippon', 'nipônica', '日本', '日本国', '日本國'];País da Ásia Oriental localizado no Oceano Pacífico, a leste da China, Coréia e Rússia, e que se estende do Mar de Okhotsk ao norte até o Mar da China Oriental ao sul.
political-geographic-object;['mónaco', 'mônaco', 'mónaco-ville', 'mônaco-ville', 'principado do mónaco', 'monaco', 'categoria:mônaco', 'cultura de mónaco', 'cultura de mônaco', 'demografia de mónaco', 'demografia do mónaco', 'desporto no mónaco', 'história de mónaco', 'história de mônaco', 'história do mónaco', 'monegasca', 'porto de hércules môneco', 'portus herculis monaeci', 'principado de mónaco', 'principado de mônaco', 'principado do mônaco', 'transportes de mónaco', 'transportes do mónaco', 'transportes no mónaco'];Um país na Europa.
political-geographic-object;['república centro-africana', 'áfrica central', 'política da república centro-africana', 'rep. centro africana', 'república centro africana', 'geografia da república centro-africana', 'história da república centro-africana', 'república centrafricana', 'república da áfrica-central', 'república da áfrica central', 'áfrica-central', 'áfrica interior', 'central africano república'];Um país da África Central.
political-geographic-object;['jibuti', 'djibuti', 'djibouti', 'republica do jibuti', 'república do jibuti', 'geografia do djibouti', 'jibúti', 'política do djibouti', 'república do djibuti', 'território francês dos afars e dos issas', 'república de djibuti', 'afars e issas', 'república de djibouti'];Um país da África Oriental.
political-geographic-object;['mauritânia', 'mauritania', 'república islâmica da mauritânia', 'mauritana', 'mauritano', 'mauritanie', 'mūrītāniyā'];Um país do Norte de África.
political-geographic-object;['guiné equatorial', 'república da guiné equatorial', 'guiné espanhola', 'guiné espanhol', 'guine equatorial', 'guiné-equatorial'];Um país da África Ocidental.
political-geographic-object;['comores', 'ilhas comores', 'arquipélago comores', 'comoros', 'ilhas comoros', 'república federal islâmica dos comoros', 'federal república islâmica das comores'];Um país da África Meridional.
political-geographic-object;['dominica', 'comunidade da dominica', 'domínica', 'história da dominica', 'domingos'];Um país da Caraíbas.
political-geographic-object;['inglaterra', 'england', 'inglesa', 'esportistas da inglaterra'];Uma das nações que constituem o Reino Unido, que ocupa a maior parte dos dois terços meridionais da ilha de Grã-Bretanha, com capital Londres.
political-geographic-object;['emirados árabes unidos', 'emiratos árabes unidos', 'eau', 'emirados árabes', 'uae', 'demografia dos emirados árabes unidos', 'demografia dos emiratos árabes unidos', 'e.a.u.', 'emiradenses', 'emirados arabes unidos', 'emiratos arabes unidos', 'emiratos árabes', 'emirática', 'emiráticas', 'emirático', 'emiráticos'];Um país do Médio-Oriente.
political-geographic-object;['marrocos', 'geografia de marrocos', 'política de marrocos', 'reino de marrocos', 'cultura de marrocos', 'geografia dos marrocos', 'marroquina', 'marroquinas', 'questão marroquina', 'al-magrib', 'maroc', 'marruecos'];Um país do Norte de África.
political-geographic-object;['reino unido', 'reino unido da grã-bretanha e irlanda do norte', 'grã-bretanha', 'grã-bretanha e irlanda do norte', 'r.u.', 'reino unido da grã-bretanha e da irlanda do norte', 'united kingdom', 'gb', 'gbr', '🇬🇧', 'demografia do reino unido', 'grâ bretanha', 'reino-unido', 'ru'];Um país na Europa Ocidental (incluindo o País de Gales, a Escócia, a Inglaterra e a Irlanda do Norte) com Londres como capital.
political-geographic-object;['espanha', 'reino de espanha', 'reino da espanha', 'geografia da espanha', 'geografia de espanha', 'literatura da espanha', 'literatura espanhola', 'espainia', 'españa', 'governo da espanha', 'governo de espanha', 'governo espanhol', 'literatura de espanha', 'espana'];Um país da Europa Ocidental
political-geographic-object;['chade', 'política do chade', 'tchad', 'tchade', 'república do chade'];Um país da África Central.
political-geographic-object;['tajiquistão', 'tadjiquistão', 'república do tajiquistão', 'demografia do tadjiquistão', 'geografia do tadjiquistão', 'geografia do tajiquistão', 'pérsia do norte', 'tadiquistão', 'tadziquistão', 'tajaquistão', 'tajiquistao', 'tadjik'];Um país na Ásia Central.
political-geographic-object;['uganda', 'república do uganda', 'república de uganda'];Um país da África Ocidental.
political-geographic-object;['bielorrússia', 'belarus', 'bielo-rússia', 'rússia branca', 'cultura da bielorrússia', 'república da bielorrússia', 'republica da bielorrussia', 'bielarus', 'bielorrusos', 'bielorrussa', 'bielorrúsia', 'cultura bielorrussa', 'política da bielorrússia', 'bielorrussia', 'bielorússia', 'byelarus'];Um país da Europa Oriental.
political-geographic-object;['malawi', 'república do malawi', 'malavi', 'niassalândia', 'malaui', 'malauí', 'nyasaland', 'malávi', 'maláui', 'niassalanda', 'do malauí'];Um país da África Oriental.
political-geographic-object;['zimbábue', 'rodésia', 'rodésia do sul', 'zimbabué', 'zimbabwe', 'república do zimbábue', 'rhodesia', 'zimbaué', 'zimbabwé', 'zimbábwe', 'republica do zimbabue', 'cultura do zimbabwe', 'república da rodésia', 'república do zimbabué', 'zimbabue', 'do zimbábue', 'república do zimbabwe'];Um país da África Meridional.
political-geographic-object;['uzbequistão', 'usbequistão', 'república do usbequistão', 'república do uzbequistão', 'cultura do uzbequistão', 'demografia do uzbequistão', 'subdivisões do uzbequistão', 'música do uzbequistão', 'parlamento do uzbequistão', 'provincías do uzbequistão', 'províncias do usbequistão', 'províncias do uzbequistão', 'subdivisões do usbequistão', 'usbesques', 'uzbekistan', 'uzbequistao'];País da Ásia Central, com capital Tashkent.
political-geographic-object;['mali', 'sudão francês', 'república do mali', 'máli', 'malinês'];Um país da África Ocidental, cuja capital é Bamako.
political-geographic-object;['cazaquistão', 'república do cazaquistão', 'casaquistão', 'cazaquistao', 'cultura do cazaquistão', 'demografia do cazaquistão', 'geografia do cazaquistão', 'política do cazaquistão', 'republica do cazaquistao', 'casaquestão', 'cazaquestão', 'cultura cazaque', 'divisões administrativas do cazaquistão', 'esporte no cazaquistão'];País da Ásia Central, cuja capital é Astana.
political-geographic-object;['metrópole', 'cidade', 'urbe', 'metrópoles', 'aglomeração urbana', 'cidade-metrópole', 'metróploles', 'metrópole mundial', 'metrópole regional', 'metrópoles regionais', 'centro urbano', 'município'];Conjunto de ocupações humanas que dispõem das principais funções ligadas à vida urbana (administração, economia, transporte, cultura, educação), geralmente composto de uma ou duas cidades e suas periferias.
political-geographic-object;['suazilândia', 'essuatíni', 'reino de eswatini', 'eswatini', 'reino da suazilândia', 'suazilandia', 'reino de essuatíni', 'demografia da suazilândia', 'essuatiní', 'swaziland', 'swazilandia', 'swazilândia'];Um país da África Meridional.
political-geographic-object;['afeganistão', 'estado islâmico do afeganistão', 'república islâmica do afeganistão', 'cidades do afeganistão', 'lista de cidades do afeganistão'];Um país na Ásia Central com a capital em Cabul.
political-geographic-object;['austrália', 'comunidade da austrália', 'commonwealth da austrália', 'australia', 'australo'];Um país na Oceânia, cuja capital é Camberra.
political-geographic-object;['butão', 'butao', 'demografia do butão', 'política do butão', 'butã', 'reino do butão'];Um país do sul da Ásia
political-geographic-object;['geórgia', 'sakartvelo', 'copa da geórgia de futebol', 'fc metalurgi rustavi', 'fc olimpi rustavi', 'fc zestafoni', 'fc zestaponi', 'federação georgiana de futebol', 'georgia', 'república da geórgia', 'sapekhburto klubi zestaponi', 'umaglesi liga'];Um país da Ásia Ocidental ou da Europa Oriental, cuja capital é Tbilisi.
political-geographic-object;['ruanda', 'demografia de ruanda', 'república de ruanda', 'república do ruanda', 'rwanda', 'ruanda república'];Um país da África Oriental.
political-geographic-object;['zâmbia', 'rodésia do norte', 'república da zâmbia', 'zambia', 'zambiano'];Um país da África Meridional. A sua capital é Lusaca.
political-geographic-object;['república democrática do congo', 'congo-kinshasa', 'congo belga', 'zaire', 'congo-quinxassa', 'cultura da república democrática do congo', 'rep. democratica do congo', 'republica democratica do congo', 'congo, r.d.', 'rd congo', 'rdc', 'congo-quinchasa', 'congo-quinchassa', 'congo-quinxasa', 'economia da república democrática do congo', 'economia do república democrática do congo', 'geografia da república democrática do congo', 'país do zaire', 'r.d. congo', 'religião na república democrática do congo', 'religião na república democrática no congo', 'república do zaire', 'segunda república do congo', 'terceira república do congo', 'zaïre'];Um país da África Central.
political-geographic-object;['costa rica', 'costa-rica', 'república da costa rica', 'crc', 'costarriquenha', 'costarriquenho'];Um país da América Central, com capital San José.
political-geographic-object;['hungria', 'república da hungria', 'esporte na hungria', 'húngara', 'magyarorszag'];Um país da Europa Central com capital em Budapeste.
political-geographic-object;['polónia', 'polônia', 'república da polónia', 'polonia', 'polska', 'lista de florestas na polónia', 'república da polônia', 'terceira república da polônia', 'terceira república polaca'];Um país na Europa.
political-geographic-object;['burundi', 'burúndi', 'república do burundi', 'cultura do burundi', 'demografia do burundi'];Um país da África Oriental.
political-geographic-object;['tanzânia', 'república unida da tanzânia', 'tanzania', 'republica unida da tanzania', 'cultura da tanzânia', 'demografia da tanzânia', 'geografia da tanzânia', 'história da tanzânia', 'da tanzânia'];Um país da África Ocidental.
political-geographic-object;['guiné', 'república da guiné', 'guiné francesa', 'guine', 'guine-conacri', 'guiné-conacri', 'guiné-conakri', 'guiné-conakry', 'guiné conacri', 'guineense'];Um país da África Ocidental.
