abstract-quality;['זהות אישית', 'אינדיבידואליות'];מודל סוציולוגי
physical-object;['מטמן', 'חמים', 'נוח'];כיסוי לקנקן תה המיועד לשמירת חום
physical-object;['משקפיים', 'מִשְׁקָפַיִם', 'משקפיים\u200e', 'משקפים', 'משקפי קריאה', 'משקפי ראייה', 'ממושקף', 'מפרט', 'משקפי מגן'];מכשיר להתגברות על פגמי ראייה
physical-object;['מחבת', 'מַחֲבַת\u200e', 'frypan'];כלי עגול ושטוח עשוי ממתכת המשמש לטיגון
physical-object;['כוס נייר', 'דיקסי הגביע', 'דיקסי כוס'];כוס העשויה בעיקר מניר או קרטון
physical-object;['אוניית תענוגות', 'אוניית נופש', 'אוניית קרוז', 'ספינת תענוגות', 'שיט עינוגים', 'שיט תענוגות', 'שייט תענוגות', 'ספינת תענוגים', 'ספינות שייט'];אוניית נוסעים המשמשת לתיירות ובילויים
physical-object;['מחסנית', 'בעל מחסנית', 'מגזין', 'קליפ המחסנית'];אמצעי הזנת תחמושת
physical-object;['תחבושת', 'אספלנית', 'תחבושות'];פיסת בד המשמשת כאמצעי רפואי לצורך כיסוי פצע, ספיגה או במקרה נקע
physical-object;['האלברד', 'אלברדה', 'הלברד', 'קרדום', 'halberdier', 'רמחים'];סוג של נשק מוט
physical-object;['אגורה', 'ágora'];מקום כינוס
physical-object;['לוחית רישוי', 'לוחית רישוי לרכב', 'לוחיות רישוי', 'לוחית זיהוי', 'מספר רישוי'];סימון רכבים לפי מספר סידורי
physical-object;['מעלית', 'מַעֲלִית', 'מַעֲלִית\u200e', 'מעלית הידראולית', 'במעלית'];מתקן שינוע אנכי
physical-object;['נשק קל', 'כלי ירייה', 'נק"ל', 'אקדח', 'בחנות כלי נשק', 'זרוע קטנה', 'חנות אקדח', 'מנשק קל', 'נשק', 'קטנת זרוע'];כלי נשק היורה קליע במהירות גבוהה באמצעות חומר נפץ הודף
physical-object;['אוהל', 'אֹהֶל', 'אֹהֶל\u200e', 'אהל', 'אוהל בירה', 'אוהלים', 'מחסה מתקפלת'];מקום לינה ארעי עשוי בד ומוטות
physical-object;['גוררת', 'גּוֹרֶרֶת\u200e', 'ספינת גרר', 'ספינת-גרר', 'towboat', 'towboats', 'גוררות', 'דוברת המשיכה המשולבת ופותחה', 'משיכת אוקיינוס צי', 'משיכת צי', 'סירת משיכה'];ספינה שמטרתה לגרור או לדחוף אוניות וספינות
physical-object;['דולמן', 'דולמנים', 'cromlech', 'hunebed', 'גלעד', 'פורטל קבר', 'קבר פורטל'];סוג של מבנה מגליתי (כלומר בנוי מאבנים גדולות)
physical-object;['מעגל מודפס', 'המעגלים', 'כרטיס מעגל', 'מטוס כוח', 'תוספים', 'תוספת'];לוח שנועד להכיל ולחבר רכיבים אלקטרוניים
physical-object;['צימר', 'חדר אירוח', 'חדר נופש', 'חדרי אירוח', 'לינה כפרית', 'אכסניה', 'פנסיון'];מבנה המושכר לנופש
physical-object;['חץ', 'חֵץ\u200e'];מוט מחודד הנורה מקשת
physical-object;['שובר גלים', 'קיר ים', 'שׁוֹבֵר גַּלִּים\u200e', 'מזח', 'breakwall', 'malecon', 'במלקון', 'חומת ים', 'מזחים', 'סכרים', 'שוברי גלים', 'שומה'];קיר בנוי על החוף להגנה מגלי הים
physical-object;['קזינו', 'קָזִינוֹ\u200e', 'בית הימורים', 'בית קזינו', 'הימורים בקזינו', 'קזינו הימורים'];מקום המארח משחקי מזל
physical-object;['תור', 'חדר המתנה', 'תוֹר\u200e', 'המתנה בתור', 'אזור התור', 'זמר טרקלין', 'מוסיקת טרקלין', 'מחכה אזור'];שורה של אנשים הממתינים לקבלת השירות
physical-object;['מעטר', 'coaming'];מסגרת מוגבהת סביב כווה או פתח בסיפון שנועדה למנוע חדירת מים
physical-object;['מרקקה'];כלי שיורקים לתוכו
physical-object;['אמבטיה', 'אַמְבַּטְיָה', 'אַמְבַּטְיָה\u200e', 'אמבטיה\u200e', 'אמבט\u200e', 'אמבט', 'אמבטיות', 'גיגית', 'גיגית רחצה'];מכל מים המשמש לרחיצת הגוף
physical-object;['שיניים תותבות'];אביזר מכני המיועד להשלים או להחליף שיניים חסרות, ונתמכות בידי הרקמות הקשות והרכות בחלל הפה
physical-object;['קרומהורן', 'cromorne', 'crumhorn', 'krumhorn', 'krummhorn'];כלי נגינה ממשפחת כלי הנשיפה
physical-object;['חרב', 'centerboard', 'לוח איזון', 'זזת שדרית', 'ירידת שדרית'];לוח הבולט כסנפיר מתחתית מפרשית באמצעיתה, בקו השדרית, ומשמש להגדלת ההתנגדות של המפרשית לטרידה. החרב נעה על ציר או עולה ויורדת וכך אפשר להרימה כדי שלא תפריע לכלי השיט במים רדודים
physical-object;['מלאכת טוחן', 'אבן משחזת', 'אֶבֶן מַשְׁחֶזֶת\u200e', 'טחינה', 'אבן משחזה'];אבן המשמשת להשחזה וחידוד סכינים
physical-object;['מעטה ברמודה', 'מערך ברמודה', 'אסדת ברמודה', 'ברמודה אסדה', 'הברמודי אסדה', 'מרקוני אסדה'];מעטה המאופיין במפרש משולש גבוה ותורן נוטה מעט לכיוון הירכתיים
physical-object;['טיל', '!טִיל', 'טיל מונחה', 'טילים', 'מודרכת טילים'];חימוש מונחה בעל מנוע רקטי
physical-object;['משחקייה', 'חדר משחקים', 'משחקיה', 'חדר מנוחה'];חדר בבית המשמש למשחקים, צעצועים ומשחקי מחשב
physical-object;['חדר תשמישי הקדושה', 'כלי קודש'];בכנסייה חדר לשמירה על בגדי התפילה (כדוגמת גלימת הכומר הלבנה או האפוד המשמש את הכומר בזמן המיסה) וציוד כנסייתי אחר, כלי קודש (גביעים, פמוטים, נרות), ספרי קודש, לחם הקודש ותיקי הקהילה
physical-object;['סלון', 'סלון\u200e', 'טרקלין', 'חדר קדמי'];חדר בבית מגורים
physical-object;['חדר אוכל', 'לחדר האוכל'];חדר שבו מגישים ארוחות לסועדים
physical-object;['חמאם', 'חמאם טורקי'];בית מרחץ טורקי
physical-object;['כרית אוויר', 'כריות אוויר', 'כריות אויר', 'כרית אויר', 'צד גוף כרית אוויר'];אמצעי בטיחותי חשוב בכלי רכב, שתפקידו למזער את הפגיעה בנהג ובנוסעים כתוצאה מתאונת דרכים
physical-object;['קטמרן', 'katamaran', 'קטמרנים'];כלי שיט דו־גופי ששני גופיו שווים
physical-object;['ברקה', 'סירה'];ספינת מפרש בעלת שלושה עד חמישה תרנים. התורן האחורי נושא מפרשים אורכיים ושאר התרנים נושאים מפרשים רוחביים
physical-object;['בית ספר לאמנות', 'בבית דר künste'];בית ספר המתמקד בלימוד אמנות
physical-object;['סורג', 'מסך בית המקהלה', 'מסך צלב', 'צלב מסך'];אלמנט באדריכלות כנסיות
physical-object;['מושב', 'מושב מטוס'];מושב לנוסע במטוס נוסעים
physical-object;['צריח', 'אקדח צריח', 'מתחם אקדח'];כינוי למבנה משוריין מסתובב נושא אמצעי לחימה (כגון תותח או מקלעים) בכלי צבאי
physical-object;['טלית', 'בטלית', 'הטלית'];בד עם ציציות בפינותיו הנלבש על ידי יהודים דתיים
physical-object;['מלונה', 'פנסיון לכלבים', 'מְלוּנָה', 'מלונה\u200e', 'בית כלב'];צריף קטן לכלב
physical-object;['מלונה', 'פנסיון לכלבים', 'מְלוּנָה', 'מלונה\u200e', 'בית כלב'];מקום המעניק טיפול יומיומי לכלבים או חתולים
physical-object;['אוניית משא', 'אניית משא', 'ספינת משא', 'ספינות משא', 'ספינת מטען'];כל סוג אונייה אשר נועדה להוביל משאות, סחורות וטובין אחרים מנמל אחד למשנהו
physical-object;['מכלית', 'מכלית נפט', '!מְכָלִית', 'מכלית נפט\u200e', 'מיכלית', 'מיכלית נפט', 'מכלית על', 'בטיסת תדלוק', 'תדלוק בטיסה', 'אוויר תדלוק', 'לתדלוק בטיסה', 'מיכליות נפט', 'מיכליות ענקית', 'מכלית מוצר', 'מכלית נפט גולמית', 'ספינת טנק'];אונייה הנושאת מטען נוזלי גדול בתפזורת
physical-object;['מכלית', 'מכלית נפט', '!מְכָלִית', 'מכלית נפט\u200e', 'מיכלית', 'מיכלית נפט', 'מכלית על', 'בטיסת תדלוק', 'תדלוק בטיסה', 'אוויר תדלוק', 'לתדלוק בטיסה', 'מיכליות נפט', 'מיכליות ענקית', 'מכלית מוצר', 'מכלית נפט גולמית', 'ספינת טנק'];אוניית משא שמשנעת נפט
physical-object;['יוקשת', 'minelayers'];מונח
physical-object;['סנדל', 'סנדלים', 'סַנְדָּל', 'סַנְדָּל\u200e'];פריטי הנעלה המורכבים מסוליות המהודקות אל כף הרגל ברצועות או בחבלים העוברים מעל לקימור כף הרגל ומסביב לקרסול
physical-object;['כליב'];סיכה עשויה מתכת דמוית האות 'ח' המשמשת במכלב להידוק דפים
physical-object;['שרפרף'];אחד מרהיטי הישיבה הראשונים
physical-object;['כיפה', 'כִּפָּה\u200e', 'כיפה סרוגה', 'כיפה שחורה', 'כִּפָּה', 'yarmelke', 'כיפות'];כיסוי ראש יהודי
physical-object;['חליפת מכנסיים'];חליפה הכוללת מכנסיים וז'קט תואם
physical-object;['מיטת תינוק', 'אָקווַאנִי', 'אקוואני', 'עריסה', 'המיטה של התינוק'];מיטת תינוק מאזור הקווקז (גאורגיה)
physical-object;['לול', 'לוּל'];מתקן המשמש בחקלאות לגידול תרנגולות
physical-object;['משחתת', 'מַשְׁחֶתֶת', 'יוקשת משחתת', 'משחתות', 'משחתת טילים מונחים', 'משחתת ספינת טורפדו'];סוג של ספינת מלחמה
physical-object;['פיקולו', 'piccolos'];סוג של חליל
physical-object;['ביסטרו', 'bistro'];סוג של מסעדה צרפתית שייחודו בעיצוב המסעדה, בתפריט האוכל המוגש בו ובתמחור בהשוואה למסעדות יוקרה
physical-object;['מכונית ספורט', 'מכוניות ספורט'];מכונית מוכוונת ביצועים, בדרך כלל קטנה קלת משקל
physical-object;['פטיש יושב ראש', 'פטיש יו"ר', 'פטיש שופטים', "פטיש יו 'ר"];פטיש טקסי קטן שבדרך כלל עשוי מעץ, ונועד להטחה על משטח קשיח לרוב עשוי מעץ, על מנת ליצור רעש
physical-object;['בונגלו', "קוטג'", 'דו-משפחתי', 'ביתנים', 'קוטג', "קוטג'ים"];סוג של מבנה מגורים
physical-object;['כוס'];כלי קיבול לנוזלים
physical-object;['מפוחית פה', 'מַפּוּחִית פֶּה\u200e', 'מפוחית', 'הרמוניקה', 'נבל פה'];כלי נגינה
physical-object;['בראסרי', 'brasserie', 'ברסרי', 'מסבאה'];סוג של מסעדה בנוסח צרפתי עם אווירה מרגיעה, שמגישים בה מנות יחידות וארוחות שונות
physical-object;['ספינת תותחים', 'gunvessel', 'ספינות תותחים', 'ספינת קרב'];סוג של אוניית מלחמה
physical-object;['מבחש', 'בוחש', 'בוחשן', 'סטירר', 'תמעך את המקל'];בוחשן, סטירר. מקלון לערבוב משקאות
physical-object;['דום-דום', 'דום דום', 'דומדום', 'טומטום', 'כדור דומדום'];סוג של קליע
physical-object;['קפסולת חלל', 'חללית'];חללית מאוישת, שמשמשת להחזרת האסטרונאוטים לכדור הארץ
physical-object;['שלוחה קדמית', 'חרטום'];כלונס הבולט קדימה מחרטום כלי שיט
physical-object;['סכין פלטה', 'סכין'];כלי ציור
physical-object;['כידון', 'חנית הטלה', 'כידון הטלה', 'כידונים'];כלי נשק קר
physical-object;['טריידנט', 'קלשון'];נשקו של פוסידון
physical-object;['גלובוס', 'גלובוס\u200e'];דגם כדורי של כדור הארץ
physical-object;['קשר שטוח', 'ַקֶשֶׁר שָׁטוּח\u200e'];סוג של קשר
physical-object;['מקל הליכה', 'מקל הליכה\u200e', 'מקלות הליכה'];מקל המסייע בהליכה לאנשים בעלי מוגבלות, כגון מי שלא התאוששו מפגיעה פיזית או זקנים, או להליכה בשטחים קשים למעבר
physical-object;['סרקופג', 'סַרְקוֹפָג\u200e', 'סרקופאג', 'גלוסקמה', 'סרקופגים'];מְכל אבן המשמש כארון קבורה
physical-object;['רפייר', 'סיף', 'estoc'];סוג של חרב אירופאית ארוכה
physical-object;['סומבררו', 'סוֹמְבְּרֶרוֹ\u200e', 'sombréro'];כובע מקסיקני בעל כיפה גבוהה ושוליים רחבים מאוד, שבשימושו המקורי נועד להגן על האיכר החובש אותו מפני השמש
physical-object;['זקף', 'בולארד', 'זקף רציף', 'bitt', 'הזקף', 'סדנים'];משמש לרתיקת כלי שיט
physical-object;['זקף', 'בולארד', 'זקף רציף', 'bitt', 'הזקף', 'סדנים'];משמש לרתיקת כלי שיט
physical-object;['מבצר', '!מְצוּדָה', 'מצודה'];מבנה צבאי מבוצר ומוקף חומה
physical-object;['בלוקהאוס', 'בית בלוק', 'מצודה', 'עמדות מבוצרות', 'תבצור'];סוג של ביצור הגנתי
physical-object;['הדליה', 'סורג', 'צמחים מטפסים'];פעולה חקלאית
physical-object;['מגדל', 'מִגְדָּל'];מבנה גבוה
physical-object;['בניין', 'בִּנְיָן', 'בִּנְיָן', 'בִּנְיָן\u200e', 'בניין\u200e', 'מבנה'];מבנה נדל"ן הנבנה על ידי האדם, עמוד במקום אחד, בדרך כלל עם קירות וגג
physical-object;['צבע', 'צֶבַע', 'צֶבַע\u200e'];כינוי למשפחה של חומרים שמכסים בהם גופים (על ידי משיחה, ציפוי וכדומה) כדי שישנו את צבעם
physical-object;['מגן אשכים', 'מָגֵן בֵּיצִים\u200e', "ג'וקסטראפ", 'מגן ביצים', 'suspensor', 'חגורת ספורט', 'תומך אתלטים', 'תחתונים'];בגד תחתון המשמש כתומך באיבר המין הזכרי במהלך פעילות ספורטיבית או גופנית נמרצת אחרת
physical-object;['מדף', 'מַדָּף', 'מערכת מדפים', 'מַדָּף\u200e', 'אצטבה', 'מדפים'];מתקן אחסון בעל מספר מדפים
physical-object;["גשר ג'ורג' וושינגטון", 'george washington bridge', "גשר ג'ורג' ושינגטון", 'גשר וושינגטון'];גשר תלוי מעל נהר הדסון ומקשר בין האי מנהטן שבעיר ניו יורק, במדינת ניו יורק, לבין פורט לי שבמדינת ניו ג'רזי שבארצות הברית
physical-object;['רכבל', 'חשמלית אווירית', 'גשר חבלים', 'חשמלית', 'חשמלית כבל', 'רכבל אווירי'];קרון המונע באמצעות כבל עילי המחובר למספר מערכות גלגלים הנמצאים בדרך כלל בין שתי נקודות גבוהות
physical-object;['שפופרת ריק', 'מנורת רדיו', 'שפופרת רדיו', 'thermionic סתום', 'thermionic צינור', 'thermionic שסתומים', 'צינור', 'צינור אלקטרון', 'צינור הוואקום thermionic', 'צינור ואקום', 'שפופרות ואקום'];רכיב אלקטרוני
physical-object;['מיזוג אוויר', 'מזגן', 'מַזְגָן', 'מַזְגָן\u200e', 'מזגן אוויר', 'בקרת אקלים', 'מיזוג אויר', 'מזגן אינוורטור', 'מזגן אינוורטר', 'ממוזג'];מערכת אקלימית
physical-object;['מערכת ניווט אינרציאלית', 'ins', 'הנחיה אינרציאלית', 'מערכת הנחיה', 'מערכת הנחיה אינרציאלית', 'ניווט אינרציאלי', 'מערכת ההנחיה אינרציאלית', 'מערכת הניווט אינרציאלית', 'פלטפורמת אינרציה'];סוג של מערכת ניווט
physical-object;['צריח מחודד', 'מגדל כנסייה', 'פלש', 'צריח המצלב', 'מגדל מחודד', 'צריח'];אלמנט אדריכלי
physical-object;['כוונת טלסקופית', 'היקף רובה', 'כוונת אופטית'];כוונת רובה בעלת עדשה מגדילה למרחק
physical-object;['בית קולנוע', 'בית־קולנוע', 'אולם קולנוע', 'ניקלודאון', 'קולנוע'];מקום בילוי בו רואים סרטים
physical-object;['טריודה', 'טריאודה', 'triode'];רכיב אלקטרוני בעל שלוש אלקטרודות. ברוב המקרים מתייחס המונח לשפופרת ריק
physical-object;['שתי וערב'];שמות החוטים מהם אורגים בד
physical-object;['סקלפל', 'אִזְמֵל', 'אזמל\u200e', 'אזמל', 'אזמל נתוחים', 'אזמלים'];מכשיר חיתוך שבראשו להב חד קטן מאוד, המשמש לניתוח
physical-object;['בושם', 'בֹּשֶׂם', 'בשמים', 'מי קולון'];שם כולל לנוזל שמן או משחה המפיצים ריח נעים בשימוש קוסמטי
physical-object;['גלגל שיניים', "ראצ'ט", 'גלגלי שיניים', 'בורג גלגל', 'גלגל הילוך', 'גלגל מיועד'];גלגל אשר בהיקפו מסודרות שיניים במרחקים שווים אחת מן השנייה, אשר נועד להעביר מומנט (שילוב של כוח ותנועה) לגלגל שיניים נוסף או לכל רכיב משונן אחר
physical-object;['מגדל שעון', 'מגדל שעון\u200e', 'מגדלי שעון', 'שעון מגדל'];השעון הידוע בעולם
physical-object;['יו-יו', 'יו־יו\u200e', 'yo-yo', 'יויו', 'יו יו', 'yoyo'];סוג של צעצוע
physical-object;['טורבן', 'turban'];כיסוי ראש אסייתי ומזרח אסייתי מסורתי הנלבש כמעט ורק על ידי גברים
physical-object;['סמי-טריילר', 'סמי טריילר', 'סמיטריילר', 'הסמיטריילר'];רכב משא כבד
physical-object;['קמע', 'קָמֵעַ', 'קָמֵעַ\u200e', 'קמיע', 'קמעות'];חפץ שמיוחסים לו כוחות סגוליים
physical-object;['משאית סמי-טריילר', 'סמיטריילר', 'סמי-טריילר', 'סמי טריילר', 'משאית למחצה', 'קרוון טרקטור', 'אסדת הובלות', 'משאית גרר', 'משאית שנוסחה', 'מתקן גדול', 'סמיטריילרים'];רכב משא כבד המורכב מגורר (משאית) ונגרר (סמי-טריילר)
physical-object;['רכב לפינוי אשפה', 'משאית אשפה', 'משאית זבל', 'אוטו זבל', 'dustcart'];משאית המשמשת לפינוי אשפה
physical-object;['משולש', 'להגדיר כיכר'];כלי שרטוט
physical-object;['חליל', 'חליל שלושה נקבים', 'צינור'];כלי נגינה ממשפחת כלי הנשיפה
physical-object;['קטש'];מפרשית דו־תורנית
physical-object;['קולן', 'קולן\u200e'];כלי לכוונון כלי נגינה
physical-object;['סגיר', 'שקל', 'לכבול'];חוליית חיבור ממתכת בצורת פרסה או האות D, המשמשת לחיבור שרשראות, טבעות וכדומה
physical-object;['אוניברסיטת סטנפורד', 'אוניברסיטת סטאנפורד', 'סטנפורד'];אוניברסיטה במדינת קליפורניה, ארה"ב
physical-object;['אוניברסיטת אוקספורד', 'האוניברסיטה של אוקספורד'];אוניברסיטה בממלכה המאוחדת
physical-object;['אוניברסיטת הרווארד', 'harvard university', 'harvard university press', 'אוניברסיטת הארווארד', 'אוניברסיטת הארוורד', 'אוניברסיטת הרוארד', 'אוניברסיטת הרוורד', 'הארווארד', 'הארוורד', 'הוצאת אוניברסיטת הרווארד', 'הרוארד', 'הרווארד', 'הרוורד'];אוניברסיטה אמריקאית פרטית בעיר קיימברידג' שבמסצ'וסטס, האוניברסיטה האמריקאית הוותיקה והעשירה ביותר, ומהידועות שבהן. חברה בליגת הקיסוס ומדורגת באופן עקבי בין האוניברסיטאות המובילות בעולם
physical-object;['מצערת', 'צלחת המצערת', 'שסתום מצערת'];מנגנון לשליטה על הכוח של המנוע
physical-object;['אוטובוס', 'אוֹטוֹבּוּס', 'אוֹטוֹבּוּס\u200e', 'אבטובוס', 'נידרפלור', 'charabanc', 'אוטובוס ונוסע', 'קרונוע', 'חברת אוטובוסים', 'מאמן', 'מיניבוסים', 'קווי אוטובוסים', 'קומותיים', 'רכב נוסע'];כלי רכב ממונע וארוך להסעת מספר רב של נוסעים
physical-object;['קרון מתים', 'קרון מת'];מכונית לוויות המותאמת להנעה ושינוע של ארונות קבורה
physical-object;['אמבולנס', 'אַמְבּוּלַנְס\u200e', 'אמבולאנסה\u200e', 'אמבולאנסייה\u200e', 'חישפוזית\u200e', 'אט"ן', 'אמבולנס טיפול נמרץ', 'נט"ן', 'ניידת טיפול נמרץ'];רכב חירום לפינוי לבתי חולים ומתן עזרה ראשונה
physical-object;['טרקטור', 'לוקומוביל', 'טרקטורים'];כלי רכב כבד המשמש לגרירת ומשיכת כלים שונים. נפוץ בחקלאות, עבודות עפר והנדסה
physical-object;['מגלית', 'megalith', 'אנדרטת המגליתית', 'המגליתית', 'מבנה המגליתית'];אבן גדולה ששימשה לצורך בניית מבנה או מונומנט, לבדה או ביחד עם אבנים אחרות
physical-object;['גורד שחקים', 'גּוֹרֵד־שְׁחָקִים', 'גורדי שחקים', 'מגדל משרדים', 'מגדל מגורים', 'supertall'];בניין רב-קומות גבוה
physical-object;['ספינת סיור', 'ספינות סיור'];ספינה קטנה ומהירה המשמשת לביטחון שוטף ושמירה על הגבול הימי
physical-object;['אונייה', 'אֳנִיָּה', 'ספינה', 'אוניה', 'אניה', 'אנייה', 'הספינה', 'ספינות'];סוג של כלי שיט בעל סיפון
physical-object;['אוניית מפרשים', 'ספינת שייט', 'אֳנִיַּת מִפְרָשִׂים\u200e', 'סְפִינַת מִפְרָשִׂים\u200e', 'ספינת מפרש', 'כלי שייט'];כלי שיט הנע באמצעות הרוח
physical-object;['אפוד מגן', 'אפוד קרמי', 'שכבת פיצוץ', 'שכפ"ץ', 'שכפ"צ', 'שכפץ', 'אפוד בליסטי', 'אפוד הוכחת כדור', 'אפודי מגן', "שכפ 'ץ"];מיגון לביש לגוף
physical-object;['מגדל תצפית אש', 'firetower', 'אש מגדל', 'מגדל תצפית'];מבנה שממנו ניתן לאתר על שריפות יער
physical-object;['קזאין', 'צבע קזאין'];סוג של צבע
physical-object;['נשק גרעיני', 'נשק גרעיני\u200e', 'נשק אטומי', 'טיל גרעיני', 'לוחמה אטומית', 'לוחמה גרעינית', 'מירוץ החימוש הגרעיני', 'מרוץ החימוש הגרעיני', 'פיצוץ גרעיני', 'רשימת מדינות בעלות נשק גרעיני', 'מתקן גרעיני', 'פצצות אטומות', 'פצצות גרעיניות'];נשק להשמדה המונית המבוסס על פיזיקה גרעינית
physical-object;['קורי עכביש', 'קוּרֵי עַכָּבִישׁ\u200e', 'קור עכביש', 'קורי העכביש'];חוטי משי דקיקים עשויי חלבון אותם מייצר העכביש
physical-object;['חלונות ארדון', 'חזון ישעיהו'];ויטראז'' בספרייה הלאומית מאת מרדכי ארדון
physical-object;['מפתח אלן', 'אלן מפתח', 'אלן מפתח ברגים', 'מפתח ברגים'];מפתח ברגים
physical-object;['סינכרוציקלוטרון', 'סינכרוציקלטרון', 'synchrocyclotron'];סוג של מאיץ חלקיקים
physical-object;['גשר', 'גשר קשת', 'גשר רכבת', 'גשר כביש'];מבנה הנדסי
physical-object;['כובע בוגרים', 'מגבעת'];פריט לבוש אקדמי
physical-object;['מאזנות', 'מאזנת'];משטח שליטה נע הממוקם בשפת הזרימה של כנף כלי טיס
physical-object;['מטוס סילון', 'מְטוֹס-סִילוֹן'];מטוס המונע ע"י מנוע סילון
physical-object;['נמל מסוקים', 'מנחת מסוקים'];נמל תעופה שתוכנן למסוקים
physical-object;['בליסטרה', 'טרבושה', 'קטפולטה', 'בליסטה', 'בליסטרא', 'arbalest', 'bricole', 'trebuchet', 'בליסטרות', 'arbalist', 'ballistae', 'catapault', 'trebucket'];כלי נשק וכלי מצור קדום
physical-object;['שופר', 'שׁוֹפָר\u200e', 'shophar'];כלי נשיפה עשוי מקרן, תשמיש מצווה יהודי
physical-object;['אסטלה', 'סטלה', 'stela', 'אסטלות', 'לוח אבן', 'מצבת קבורה'];אבן קדומה עם כתובת הנצחה
physical-object;['מצנם', 'תנור מקלה', 'טוסטר', 'טוסטר אובן', 'מקלה', 'תנור מצנם', 'טוסטרים'];מכשיר ביתי לקליית פרוסות לחם
physical-object;['קמרון', 'קמרונות', 'תקרה קמורה'];אדריכלות
physical-object;['קיר', 'חומה'];חלק בסיסי במבנים המשמש להפרדה
physical-object;['כורסת טלוויזיה', 'כִּסֵּא נוֹחַ\u200e', 'כורסה', 'כורסת טלביזיה'];רהיט ישיבה
physical-object;['מוזיאון הלובר', '!שָׁלָב', 'לוברה\u200e', 'הלובר', 'לובר', 'מוזאון הלובר', 'המוזיאון הלובר'];מיזאון לאמנות וארכאולוגיה בפריז, צרפת
physical-object;['צעצוע', 'צַעֲצוּעַ\u200e', 'צעצועים', 'toyline'];חפץ המשמש למשחק
physical-object;['משאית', 'מַשָּׂאִית\u200e', 'motortruck', 'המשאית', 'משאיות', 'משאית הובלה'];כלי רכב להובלת משא בעל מנוע בעירה פנימית
physical-object;['גרזן', 'גַּרְזֶן', 'קַרְדֹּם', 'גרזן אש', 'הגרזן', 'הגרזן שלו'];כלי עבודה וכלי נשק קדום
physical-object;['אפיק נתונים', 'אפיק מחשב', 'אוטובוס', 'אוטובוס חשמלי', 'אוטובוס מחשב', 'פס אלומיניום'];תת-מערכת המשמשת להעברת מידע בין רכיבי מערכות ממוחשבות
physical-object;['תחנת כוח', 'תַּחֲנַת־כֹּחַ\u200e', 'תחנת כח', 'powerplant'];מתקן תעשייתי להפקת אנרגיה חשמלית
physical-object;['מטווח', 'מטווח\u200e'];מתקן המשמש לאימון ותרגול בכלי ירייה
physical-object;['רכב קרבי משוריין', 'טנק', 'טנקים', 'רכב קרבי משורין', 'רכבי לחימה משוריינים', 'רק"ם', 'רק"מ', 'טנקיסט', 'מט"ק', 'נהג טנק', 'שריונר', 'כלי רכב קרבי משוריינים', 'צבא טנק'];סוג של רכב קרבי משוריין
physical-object;['רכב קרבי משוריין', 'טנק', 'טנקים', 'רכב קרבי משורין', 'רכבי לחימה משוריינים', 'רק"ם', 'רק"מ', 'טנקיסט', 'מט"ק', 'נהג טנק', 'שריונר', 'כלי רכב קרבי משוריינים', 'צבא טנק'];כלי רכב משוריין המשמש בדרך כלל כוחות צבא
physical-object;['פצצה', 'פְּצָצָה', 'פצצות'];אמצעי לחימה וסוג של תחמושת
physical-object;['מוקש', 'מיקוש', 'שדה מוקשים', 'מוקשים', 'מכרת קרקע מקומה-'];אמצעי לחימה המורכב ממטען נפץ ממולכד
physical-object;['ספרות זולה', 'מגזין עיסה', 'רומן עיסה'];סוגה
physical-object;['הידרומטר', 'מד לתכונות נוזלים', 'מד צפיפות'];מכשיר המודד צפיפות של נוזל
physical-object;['מאזניים', 'משקולת מדידה\u200e', 'מאזני קפיץ', 'שקילה', 'משקל מכונה'];מכשיר מדידה המיועד למדידת משקלם של חפצים שונים
physical-object;['טלסקופ'];מכשיר לצפייה בכוכבים
physical-object;['מד גובה', 'אלטימטר', 'מד רום', 'altimetry', 'altimetry לווין'];מכשיר המשמש למדידת מרחק אנכי של אובייקט ביחס לאובייקט או נקודת ייחוס קבועה
physical-object;['סונאר', 'sónar', 'סונר', 'asdic', 'גשוש הד', 'סונאר הפעיל'];טכנולוגית ניווט לכלי תחבורה ימיים
physical-object;['כלי נגינה', 'כְּלִי נְגִינָה\u200e', 'כלי מוזיקלי'];כלים המפיקים צלילי מוזיקה
physical-object;['בית הכומר', 'בבית הקרתני', 'בית כומר'];מבנה השייך לכנסייה ומשמש למגורי הכומר
physical-object;['רודסטר', 'מכונית ספיידר', 'מכונית רודסטר', 'runabout', 'דו מושבית'];מכונית ספורטיבית פתוחה
physical-object;['מקרן', 'dlp'];מכשיר להצגת תוכן חזותי
physical-object;['כן נסע', 'גלגל נחיתה', 'כן נחיתה', 'הילוך monowheel', 'נחיתה', 'נחיתה נשלפת', 'נחיתת monowheel'];המכלול שתומך בגלגל של מטוס או מסוק בדחיפה, בהסעה, בהמראה או בנחיתה
physical-object;['ספה', 'סַפָּה', 'סַפָּה\u200e', 'ספות'];רהיט ישיבה
physical-object;['תלת-חתרית', 'טְרִירֶמָה\u200e', 'תְּלַת חַתְרִית\u200e', 'טרירמה', 'תלת-טורית', 'תלת חתרית', 'תלת טוריות', 'תלת טורית', 'אניית המלחמה', 'triremes'];ספינת מלחמה ים-תיכונית בעת העתיקה
physical-object;['פתיל השהיה', 'מַרְעוֹם', 'מרעום', 'פתיל השהייה', 'פיוז', 'exploder'];פתיל
