abstract-quality;['ідэнтычнасьць'];Ідэнты́чнасьць — самавызначэньне асобы, індывіда, асэнсаваньне свайго месца ў прасторы і часе.
locative-role;['карачы', 'karāchi'];Карачы (урду: کراچی, па-ангельску: Karachi, сындхі: ڪراچي) — партовы горад на поўдні Пакістану, найбуйнейшы горад краіны й адзін з найбуйнейшых гарадоў сьвету, сталіца правінцыі Сынд.
locative-role;['філадэлфія'];Філядэлфія (па-ангельску: Philadelphia) — адзін з найстарэйшых гарадоў ЗША, пяты па велічыні насельніцтва горад краіны і самы населены горад штата Пэнсыльванія, з насельніцтвам 1 447 395 жыхароў (зьвесткі 2008 году).
locative-role;['гуаякіль', 'guayaquil', 'ґуаякіль'];Ґуаякі́ль (па-гішпанску: Guayaquil) — найбуйнейшы эквадорскі партовы горад пры ўпадзеньні ракі Ґуаяс у Ціхі акіян (Ґуаякільская затока), цэнтар правінцыі Ґуаяс.
locative-role;['паўночная эўропа'];Паўночная Эўропа — частка Эўрапэйскага кантыэнту, якая ахоплівае паўночныя рэгіёны.
locative-role;['цэнтральная амэрыка'];Цэнтральная Амэрыка (па-гішпанску: América Central ці Centroamérica) — рэгіён на поўдні Паўночнай Амэрыкі, перашыек паміж ёй і Паўднёвай Амэрыкай.
locative-role;['тропікі'];Тро́пікі (ад стар.-грэц.
locative-role;['лацінская амэрыка'];Лацінская Амэрыка — агульная назва Паўднёвай і Цэнтральнай Амэрыкі.
locative-role;['вэнэцыя'];Вэнэцыя — горад у паўночнай Італіі.
locative-role;['антарктыка'];Анта́рктыка — паўднёвая палярная вобласьць Зямлі, якая ўключае мацярык Антарктыду і прылеглыя да яе воды Паўднёвага акіяна.
locative-role;['арктыка'];Арктыка (па-грэцку: ἄρκτος — «мядзьведзь». грэц.
locative-role;['кейптаўн'];Кейптаўн (па-ангельску: Cape Town, па-афрыкаанс: Kaapstad, коса: iKapa) — другі па колькасьці насельніцтва горад у Паўднёвай Афрыцы, сталіцы Заходне-Капскай правінцыі, разьмешчаны ў Паўднёва-Афрыканскай Рэспублікі.
locative-role;['выток ракі', 'выток'];Выто́к ракі́ — месца пачатку ракі, дзе яна ўтвараецца шляхам выйсьця дажджавых водаў на паверхню, сілкаваньня з балота ці возера, сутокаў іншых рэчак і інш.
locative-role;['сахара', 'sáhara'];Саха́ра (па-арабску: الصحراء الكبرى‎ — «Найвялікшая пустэльня») — найвялікшая пустэльня, разьмешчаная на поўначы Афрыкі.
mental-object;['падсьвядомасьць'];Падсьвядомасьць — псыхічныя працэсы, якія адбываюцца без выяўленьня іх у сьвядомасьці і па-за сьвядомым кіраваньнем.
mental-object;['псыхіка', 'розум'];Псы́хіка — асаблівасьць высокаарганізаванай матэрыі, функцыяй якой зьяўляецца суб'ектыўнае адлюстраваньне аб'ектыўнай рэальнасьці.
mental-object;['псыхіка', 'розум'];Ро́зум — здольнасьць маніпуляваць абстрактнымі паняцьцямі ці здольнасьць аналітычнага мысьленьня з выцягваньнем вывадаў з апрацоўваемых зьвестак.
mental-object;['веды'];Ве́ды — знаёмства з чымсьці, што можа ўключаць у сябе інфармацыю, факты, апісаньне ці навыкі, атрыманыя на аснове вопыту ці адукацыі, а таксама мае рэчаісную інтэрпрэтацыю й адлюстроўвае ісьціну.
method;['аўтарытарызм', 'дыктатура', 'аўтарытарны рэжым', 'самаўладзьдзе'];Аўтарытары́зм (ад лат.
method;['аўтарытарызм', 'дыктатура', 'аўтарытарны рэжым', 'самаўладзьдзе'];Дыктату́ра
method;['канстытуцыйная манархія'];Канстытуцыйная манархія — манархія, пры якой улада манарха абмежаваная так, што ў некаторых, або ва ўсіх сфэрах дзяржаўнай улады ён ня мае вярхоўных паўнамоцтваў.
method;['алігархія'];Аліга́рхія (па-грэцку: ὀλιγαρχία (oligarchia) — «улада нямногіх», ад па-старажытнагрэцку: ὀλίγος (oligos) — «нямногія» і па-старажытнагрэцку: ἀρχή (arche) — «улада») — палітычны рэжым, пры якім улада знаходзіцца ў руках параўнальна малалікай групы грамадзянаў (напрыклад, прадстаўнікоў буйнога манапалізаванага капіталу) і, часам, абслугоўвае іх асабістыя і групавыя інтарэсы, а не інтарэсы ўсіх грамадзянаў.
method;['аўтакратыя'];Аўтакра́тыя — сыстэма праўленьня, пры якой адной асобе належыць неабмежаваная вярхоўная ўлада.
method;['дэмакратыя', 'народаўладзьдзе'];Дэмакра́тыя (па-грэцку: δημοκρατία — «народаўладзьдзе», «рэспубліка») — форма кіраваньня дзяржавай або палітычная сыстэма, пры якой улада ажыцьцяўляецца праз прамое народаўладзьдзе (прамая дэмакратыя) альбо праз прадстаўнікоў, якія абіраюцца народам або нейкай часткай народу (прадстаўнічая дэмакратыя).
method;['тэакратыя'];Тэакра́тыя — форма дзяржаўнага праўленьня, пры якой глава дзяржавы зьяўляецца таксама главой царквы і, такім чынам, канцэнтруе ў руках сьвецкую і духоўную ўладу.
method;['манархія'];Мана́рхія (па-грэцку: μοναρχία — «адзінаўладзьдзе») — 1) форма кіраваньня, пры якой вярхоўная дзяржаўная ўлада прыналежыць адной асобе — манарху (каралю, цару, імпэратару, герцагу, эрцгерцагу, султану, эміру…) і звычайна перадаецца па спадчыне.
method;['палітычная сыстэма', 'дзяржаўны лад', 'палітычная сыстэма грамадзтва'];Паліты́чная сыстэ́ма — гэта дынамічная сукупнасьць інстытутаў, адносінаў і ідэяў, зьвязаных з фармаваньнем і практычным ажыцьцяўленьнем палітыкі, то бок улады і кіраваньня грамадзтвам.
non-agentive-physical-object;['клейнод', 'кляйнод'];Клейнод (Наверша, Кляйнот) — ўпрыгожваньне, якое зьмяшчаецца на прылбіцы, над каронай і ўяўляе сабою паўтор гербавай эмблемы або яго элемэнта.
non-agentive-physical-object;['нагавіцы', 'порткі', 'штаны', 'брукі'];Нагавіцы, штаны, порткі — адна з асноўных частак традыцыйнага адзеньня.
non-agentive-physical-object;['бранзалет'];Бранзалет — звычайна круглая мэталічная, шкляная, керамічная, касьцяная, драўляная, бурштынавая, камянёвая, ці плястмасавая рэч для ўпрыгожваньня рук.
non-agentive-physical-object;['панамскі канал'];Пана́мскі кана́л — штучны гідратэхнічны комплекс каналаў, які лучыць Атлянтычны акіян (ад Карыбскага мора) з Ціхім акіянам.
non-agentive-physical-object;['зграфіта', 'графіта'];Зграфіта ці графіта (італ.
non-agentive-physical-object;['шкарпэткі'];Шкарпэткі — элемэнт штодзённай вопраткі, які акладаецца на ногі.
non-agentive-physical-object;['каналізацыя'];Каналіза́цыя — складовая частка сыстэмы водазабесьпячэньня і водаадвядзеньня, прызначаная для выдаленьня цьвёрдых і вадкіх прадуктаў жыцьцядзейнасьці чалавека, гаспадарча-бытавых і дажджавых сьцёкавых вод з мэтай іх ачысткі ад забруджваньняў і далейшай эксплюатацыі або вяртаньня ў вадаём.
non-agentive-physical-object;['галерэя'];Галерэ́я (па-француску: galerie, ад італ.
non-agentive-physical-object;['швэдар', 'швэдэр'];Швэдэр, Швэдар, сьвітэр — від цёплай вязанай вопраткі верхняй часткі цела.
non-agentive-physical-object;['андрэеўскі крыж', 'крыж сьвятога андрэя'];Андрэеўскі крыж — дыяганальны крыж, які абазначае расьпяцьце апостала Андрэя Першазванага.
non-agentive-physical-object;['мальтыйскі крыж', 'мальтанскі крыж'];Мальтыйскі крыж, таксама крыж Амальфі — ідэнтыфікаваны як сымбаль ордэну хрысьціянскіх вояў, вядомых як Ордэн гаспітальераў або Мальтыйскія рыцары, з-за чаго пазьней атрымаў повязь зь міжземнаморскім востравам Мальтай і зрабіўся адным зь дзяржаўных сымбаляў Мальты.
non-agentive-physical-object;['тыяра', 'tiara'];Тыяра (па-грэцку: τιάρα) — галаўны ўбор, які сымбалізуе карону.
non-agentive-physical-object;['бясхвостыя', 'жаба'];Бясхвостыя (лацінская назва: Anura) — найбуйнейшы атрад земнаводных, які налічвае каля 5 тысяч відаў.
non-agentive-physical-object;['зубны налёт', 'зубная бляшка'];Зубны налёт — скупнасьць бактэрыяў у выглядзе плёнкі, якая ўтвараецца на зубах.
non-agentive-physical-object;['роў'];Роў або абарончы роў — абарончае ўмацаваньне ў выглядзе штучна ўтворанага канала ці яра, галоўнай функцыяй якога было перакрыць падыход да ўмацаваньня.
non-agentive-physical-object;['трыкалёр'];Трыкалёр (па-француску: tricolore - "тры колеры") — трохкаляровы сьцяг.
non-agentive-physical-object;['спадніца'];Спадні́ца — прадмет адзеньня, які пакрывае ніжнюю частку цела.
non-agentive-physical-object;['вэлюм'];Вэлюм
non-agentive-physical-object;['шалік'];Шалік — доўгі кавалак матэрыі, які абвіваюць вакол шыі для ўтылітарных, эстэтычных ці рэлігійных мэтаў.
non-agentive-physical-object;['кашуля'];Кашу́ля — вопратка зь лёгкай тканіны, якая пакрывае верхнюю частку цела і ўжываецца як частка бялізны ці як верхняя вопратка.
non-agentive-physical-object;['вясельная сукенка'];Вясельная сукенка — урачыстае ўбраньне, якое прынята апранаць на цырымонію шлюбу або падчас абраду вянчаньня нявесьце.
non-agentive-physical-object;['пральная машына'];Пральная машына — машына для мэханічнага мыцьця, паласканьня і адцісканьня бялізны.
non-agentive-physical-object;['фрыз'];Фрыз — сярэдняя частка антаблемэнта, разьмешчаная паміж архітравам і карнізам.
non-agentive-physical-object;['халадзільнік'];Халадзі́льнік — збудаваньне ці апарат для ахалоджваньня й захоўваньня біялягічных аб’ектаў, мэдыцынскіх прэпаратаў, харчовых ці іншых скорапсавальных прадуктаў пры тэмпэратурах, ніжэйшых за тэмпэратуру навакольнага асяродзьдзя.
non-agentive-physical-object;['кухонны камбайн'];Кухонны камбайн — унівэрсальная кухонная машына, якая складаецца з электрапрывода і насадак для атрыманьня фруктовых, ягадных і агароднінных сокаў, прыгатаваньня розных фаршаў, паштэтаў, пюрэ, размолу кавы і вострых прыправаў, узьбіваньня крэмаў, сьмятанкі, мусаў, малочных і фруктовых кактэйляў, вымешваньня цеста, праціркі сухароў, арэхаў, сыру, наразаньня гародніны, абіраньня бульбы.
non-agentive-physical-object;['шнуркі'];Шнуркі (ад ням.
non-agentive-physical-object;['гальштук'];Гальштук, краватка — палоска тканіны, завязаная вакол шыі.
non-agentive-physical-object;['трубаправод'];Трубаправод — штучнае збудаваньне, прызначанае для транспартаваньня газападобных і вадкіх рэчываў, а таксама цьвёрдага паліва ды іншых цьвёрдых рэчываў у выглядзе завісі пад узьдзеяньнем розьніцы ціскаў у папярочных перасеках трубы.
non-agentive-physical-object;['элізэйскія палі'];Элізэйскія палі або Шанз-Элізэ (па-француску: avenue des Champs-Élysées або les Champs-Élysées, або проста les Champs) — адна з галоўных магістраляў у VIII акрузе Парыжа.
non-agentive-physical-object;['лесьвіца'];Лесьвіца — канструкцыйны функцыянальны элемэнт, які забясьпечвае вэртыкальныя сувязі (перамяшчэньне па вышыні) ў выглядзе шэрагу прыступак.
non-agentive-physical-object;['сукенка'];Сукенка — адна з распаўсюджаных разнавіднасьцяў верхняга адзеньня, абавязкова з досыць доўгім крысом, якое хавае цела і верхнюю частку ног.
non-agentive-physical-object;['тунэль', 'tunel'];Тунэ́ль
non-agentive-physical-object;['пісуар'];Пісуар — разнавіднасьць унітаза толькі для мачавыпусканьня.
non-agentive-physical-object;['туалет'];Туалет (па-француску: toilette), таксама прыбіральня — памяшканьне для адпраўленьня натуральных патрэбаў (мачавыпусканьня і дэфэкацыі).
non-agentive-physical-object;['фарватар'];Фарва́тар (гал.
non-agentive-physical-object;['намітка'];Намітка (Намёт) — хустка, якой рыцары прыкрывалі прылбіцу падчас крыжовых паходаў, каб засьцерагчыся ад сьпякотнага сонца.
non-agentive-physical-object;['жэмчуг', 'пэрлы'];Жэмчуг, таксама пэрлы — цьвёрдае круглявае ўтварэньне, выманае з ракавінаў некаторых малюскаў.
non-agentive-physical-object;['эскалатар', 'эскалятар'];Эскалатар
non-agentive-physical-object;['брыль'];Брыль — саламяны капялюш з шырокімі палямі.
non-agentive-physical-object;['трос'];Трос — віты або скручаны канатна-вяровачны выраб.
non-agentive-physical-object;['саколка'];Саколка — трыкатажная майка без рукавоў і каўняра.
non-agentive-physical-object;['вадамёт'];Вадамёт — шматфункцыянальная прылада, прызначаная для выкіду струменю вады пад вялікім ціскам на пэўную адлегласьць.
non-agentive-physical-object;['сюрко'];Сюрко — у XII стагодзьдзі доўгі і прасторны плашч-нарамнік, падобны па кроі на панчо і часта ўпрыгожваўся гербам уладальніка.
non-agentive-physical-object;['пілётка', 'пілотка'];Пілётка — галаўны ўбор у выглядзе пляскатага з бакоў лёгкага капялюшыку.
non-agentive-physical-object;['алея', 'бульвар'];Але́я — дарога, пешаходная ці праезная, абсаджаная паабапал дрэвамі, часам у спалучэньні з хмызьнякамі.
non-agentive-physical-object;['алея', 'бульвар'];Бульва́р — паласа дрэвавых або кустовых насаджэньняў уздоўж гарадзкіх вуліцаў, праспэктаў і набярэжных.
non-agentive-physical-object;['гарсэт'];Гарсэ́т — прадмет, галоўным чынам, жаночага адзеньня ў выглядзе шырокага пояса з ушытымі пругкімі пласьцінкамі, туга ахоплівае ніжнюю частку грудной клеткі і жывот для наданьня постаці неабходнага віду і мяккай падтрымкі грудзей.
non-agentive-physical-object;['калготкі'];Калго́ткі
non-agentive-physical-object;['хол'];Хол (па-ангельску: Hall) — памяшканьне, від пярэдняга пакоя ў кватэры (доме) або памяшканьне ў грамадзкіх, адміністрацыйных будынках, прызначанае для адпачынку, чаканьня.
non-agentive-physical-object;['масвэрк'];Ма́свэрк — гатычны дэкаратыўны каркасны арнамэнт, усе элемэнты якога пабудаваны пры дапамозе цыркуля.
non-agentive-physical-object;['дарога', 'аўтамабільная дарога'];Дарога (шлях) — паласа зямлі, прызначаная для руху. шлях зносінаў.
non-agentive-physical-object;['майткі', 'трусы'];Ма́йткі, трусы́ — прадмет сподняга адзеньня, кароткія штаны, якія апранаюць непасрэдна на голае цела.
non-agentive-physical-object;['люстра'];Люстра (па-француску: lustre) — падвесная столевая сьвяцільня, прызначаная для стварэньня бесьценевага асьвятленьня (у адрозьненьне ад кропкавай крыніцы) памяшканьняў.
non-agentive-physical-object;['панчохі'];Панчохі
non-agentive-physical-object;['джынсы'];Джынсы
non-agentive-physical-object;['мода'];Мо́да — у штодзённым уяўленьні азначае непрацяглае панаваньне асобнага густу ў якой-небудзь галіне жыцьця ці культуры.
non-agentive-physical-object;['флёр-дэ-ліс'];Флёр-дэ-Ліс або лілея — гербавая постаць, чацьвертая па папулярнасьці сярод натуральных геральдычных сымбаляў пасьля крыжа, арла і льва.
non-agentive-physical-object;['адзеньне', 'адзенне', 'вопратка'];Адзеньне, вопратка — сукупнасьць вырабаў (часьцей за ўсё тканых ці вязаных з розных матэрыялаў), якія людзі апранаюць на сябе для прыкрыцьця цела з мэтай абароны ад прыродных фактараў (холаду, гарачыні), прыкрыцьця аголенасьці, гігіены, упрыгожваньня, а таксама дзеля дапаможных (спэцвопратка, кішэні) і сыгнальных (інфармацыя пра сацыяльны статус, узрост, плоць, нацыянальнасьць, густ) функцыяў.
non-agentive-physical-object;['завушніцы', 'завушніца'];Завушніцы — упрыгожваньне, якое носяць у вушах, для гэтага праколваюць спэцыяльныя адтуліны ў вушах.
non-agentive-physical-object;['канал'];Во́дны кана́л — штучная водная артэрыя, прызначаная для скарачэньня водных маршрутаў або для перанакіраваньня воднай плыні.
non-agentive-physical-object;['намітка'];На́мітка, наметка — старажытны традыцыйны жаночы галаўны ўбор усходніх славянаў, балтаў і некаторых іншых народаў.
non-agentive-physical-object;['ходнік', 'тратуар'];Ходнік, тратуа́р — каменная, драўляная або асфальтавая пешаходная дарожка, якая месьціцца збоку або абапал вуліцы, узьнятая над праезжай часткай і апраўленая бардзюрам для функцыянальнага аддзяленьня ад яе.
non-agentive-physical-object;['капялюш'];Капялюш — галаўны ўбор, які складаецца з тульі — якая пакрывае галаву — і палёў.
non-agentive-physical-object;['падцяжкі'];Падцяжкі — элястычныя стужкі, якія падтрымліваюць штаны, радзей спадніцы.
non-agentive-physical-object;['герб'];Герб (ад ням.
non-agentive-physical-object;['ствол', 'руля'];Ствол (для стрэльбаў — ру́ля) — асноўная частка пальнай зброі, прызначаная для кіданьня снарада (міны, гранаты, кулі) з вызначанай пачатковай хуткасьцю і надання яму ўстойлівага палёту ў жаданым кірунку.
non-agentive-physical-object;['печ', 'печка'];Печ — мураванае або глінабітнае збудаваньне для ацяпленьня памяшканьня і гатаваньня страваў.
non-agentive-physical-object;['жаночая ніжняя бялізна', 'ніжняя бялізна'];Жаночая ніжняя бялізна — інтымная жаночая вопратка, апранаецца на голае цела.
non-agentive-physical-object;['бюстгальтар', 'станік'];Бюстгальтар (па-нямецку: Büstenhalter — «які падтрымлівае грудзі»), таксама станік — прадмет жаночай ніжняй бялізны, якая служыць для падтрыманьня грудзей.
non-physical-collection;['экзыстэнцыялізм'];Экзыстэнцыялі́зм стаў адным з найбольш уплывовых і прадуктыўных культурагенных фактараў 20 стагодзьдзя.
non-physical-collection;['індывідуалізм'];Індывідуалі́зм
non-physical-collection;['грамадзкая думка'];Грамадзкая думка — сукупнасьць адносін розных сацыяльных груп і слаёў насельніцтва да праблем, працэсаў і фактаў сацыяльна-палітычнай і сацыяльна-культурнай рэчаіснасьці.
non-physical-collection;['ерась', 'гарэзія', 'герэзія', 'ератык'];Е́рась (па-грэцку: αἵρεσις — «выбар, кірунак, думка») — сьвядомы адыход ад дагматаў веры, які па-новаму тлумачыць раней прынятыя каноны рэлігійнага вучэньня. вылучэньне са складу царквы новай абшчыны.
non-physical-collection;['індуізм'];Індуізм — адна з найбуйнейшых паводле колькасьці вернікаў рэлігіяў сьвету.
non-physical-collection;['тэлеалёгія'];Тэлеалёгія — філязофская канцэпцыя, паводле якой усё ў сьвеце створана мэтазгодна і ўсялякае разьвіцьцё ёсьць ажыцьцяўленьнем загадзя вызначаных Богам і прыродай мэтаў.
non-physical-collection;['фэмінізм'];Фэмінізм (лац.
non-physical-collection;['сьвецкасьць'];Сьве́цкасьць (сэкуляры́зм) — канцэпцыя, згодна зь якой дзяржава і грамадзтва павінныя існаваць асобна ад любога тыпу рэлігіяў і рэлігійнай веры.
non-physical-collection;['ёга', 'yóga'];Ёга (дэванагары: योग) — паняцьце індыйскай культуры, у шырокім сэнсе азначае сукупнасьць розных духоўных і фізычных практык, якія былі распрацаваны ў розных напрамках індуізма й будызма й галоўнай мэтай якой зьяўляецца кіраваньне псыхікай і псыхафізыялёгіяй індывідуума дзеля дасягненьня найвышэйшага псыхічнага й духоўнага стану.
non-physical-collection;['лексыка'];Лексыка (па-старажытнагрэцку: τὸ λεξικόν які адносіцца да слова) — сукупнасьць словаў, слоўнікавы склад мовы безадносна да паходжаньня словаў, часу іх узьнікненьня, стылістычнай і экспрэсіўнай дыфэрэнцыяцыі.
non-physical-collection;['заканадаўства'];Заканада́ўства — выданьне, прыняцьце законаў. таксама звод законаў.
non-physical-collection;['меркаваньне'];Меркаваньне — выражаны ў вэрбальнай форме пункт гледжаньня, моцна зьвязаны з суб’ектыўнымі поглядамі аўтара, пэўнымі ягонымі пачуцьцямі, верай і жаданьнямі.
non-physical-collection;['дэтэрмінізм'];Дэтэрміні́зм (па-лацінску: Determinatus — выбітны, абмежаваны) — філязоўскае матэрыялістычнае вучэньне аб агульнай аб'ектыўнай абумоўленасьці зьяваў прыроды, грамадзтва й чалавечай псыхікі, у прыватнасьці волі.
non-physical-collection;['табу', 'tabù'];Табу́ — забарона, прынятая ў грамадзтве (пад страхам пакараньня), накладваецца на якія-небудзь дзеяньні або словы чальцоў гэтае супольнасьці.
non-physical-collection;['астралёгія'];Астралёгія (па-грэцку: αστρολογία, ад ἄστρον — «зорка», «сьветач», сузор’е, λογία — «вучэньне») — вучэньне пра ўплыў нябесных сьвяцілаў на зямны сьвет і чалавека.
non-physical-collection;['альхімія'];Альхі́мія (па-лацінску: alchimia, alchymia, ад арабскага خيمياء al-kîmîa) — старажытная галіна натурфілязофіі, у 17—18 стагодзьдзях паступова выцесьнена сучаснай хіміяй і фармакалёгіяй.
non-physical-collection;['memento mori'];Memento mori
non-physical-collection;['нігілізм'];Нігілі́зм
non-physical-collection;['рэлігія'];Рэлі́гія (ад лац.
non-physical-collection;['раманскі стыль', 'раманская архітэктура'];Раманскі стыль — стыль сярэдневяковага эўрапейскага мастацтва 10—13 ст.
non-physical-collection;['гатычная архітэктура'];Гатычная архітэктура — плынь у эўрапейскай архітэктуры высокага й позьняга сярэднявечча.
non-physical-collection;['паняцьце', 'панятак'];Паняцьце, панятак — адна з асноўных адзінак мысьліцельнай дзейнасьці, найвышэйшы ўзровень абагульненьня. лягічная форма, з дапамогай якой будуюцца іншыя формы мысьленьня (суджэньне, вывад).
non-physical-collection;['шаманізм'];Шамані́зм — вера ў асобна-магутныя надпрыродныя магчымасьці старажытных адмысловых служыцеляў культу.
non-physical-collection;['функцыяналізм'];Функцыяналізм - напрамак у архітэктуры першай паловы ХХ стагодзьдзя, адно з адгалінаваньняў рацыянальнага руху ў архітэктуры падобна канструктывізму.
non-physical-collection;['паганства', 'язычніцтва'];Пага́нства — сыстэма рэлігійных культаў, якія адухаўляюць навакольныя рэчы і зьявы прыроды
non-physical-collection;['монатэізм'];Монатэізм (літар.
non-physical-collection;['політэізм'];Політэізм (ад грэц.
non-physical-collection;['татэмізм'];Татэмізм — некалі амаль унівэрсальная і сёньня яшчэ існая рэлігійна-сацыяльная сыстэма, у аснове якой ляжыць своеасаблівы культ так званага татэма.
non-physical-collection;['анабаптызм', 'анабаптысты'];Анабапты́зм (па-грэцку: ἀναβαπτισμός — перахрост) — хрысьціянская пратэстанцкая плынь XVI стагодзьдзя ў Эўропе, аднак існуе меркаваньне, што анабаптызм адрозьніваецца ад пратэстанцкага руху.
non-physical-collection;['джайнізм'];Джайнізм (санскрыт: जैन, ад санскр.
non-physical-collection;['даасізм'];Даасізм (па-кітайску: 道教) — кітайскае традыцыйнае вучэньне, якое ўключае элемэнты рэлігіі, містыкі, варажбы, шаманізму, мэдытацыйнай практыкі, навукі.
non-physical-collection;['зараастрызм', 'зораастрызм'];Зараастрызм альбо маздаізм — рэлігія, заснаваная ў VIII ці VII стагодзьдзях да н. э.
non-physical-collection;['лютэранства', 'лютэранская царква', 'лютаранства', 'лютэране', 'лютэраны'];Лютэра́нства — пратэстанцкая плынь у хрысьціянстве.
non-physical-collection;['міжнароднае права'];Міжнаро́днае пра́ва — сукупнасьць праваадносінаў з удзелам замежных элемэнтаў і нарматыўных актаў, якія рэгулююць гэтыя адносіны.
non-physical-collection;['юрыспрудэнцыя'];Юрыспрудэ́нцыя (правазна́ўства, юрыды́чная наву́ка. лац.
non-physical-collection;['ідэя'];Ідэ́я (па-старажытнагрэцку: ἰδέα — від, форма, правобраз) у шырокім сэнсе — уяўны правобраз якога-небудзь прадмета, зьявы, прынцыпу, які вылучае яго асноўныя, галоўныя і істотныя рысы.
non-physical-collection;['тэізм'];Тэі́зм (па-грэцку: Τέος — Бог) — у шырокім значэньні — вера ў Бога ці багоў. у вузкім разуменьні — рэлігійна-філязофскі сьветапогляд, які сьцьвярджае, што сьвет быў створаны Богам, і што тварэц працягвае сваю дзейнасьць у сьвеце, які стварыў.
non-physical-collection;['ірэдэнтызм'];Ірэдэнты́зм — палітыка дзяржавы, партыі або палітычнага руху па аб’яднаньні народу, нацыі, этнасу ў рамках адзінае дзяржавы.
non-physical-collection;['матэрыялізм', 'матэрыяльнае'];Матэрыялізм — у філязофіі гэта ўяўленьне аб тым, што ўсе факты прычынна залежаць ад фізычных працэсаў ці прыводзяцца імі.
non-physical-collection;['мармоны', 'царква ісуса хрыста сьвятых апошніх дзён'];Мармоны — неафіцыйная назва Царквы Ісуса Хрыста Сьвятых апошніх дзён.
non-physical-collection;['прэсьбітэрыянства'];Прэсьбітэрыянства (па-грэцку: πρεσβύτερoς — старэйшы) — адна з галінаў пратэстанцкага хрысьціянства, якая звычайна прытрымліваецца кальвінісцкай багаслоўскай традыцыі й чые кангрэгацыі арганізаваны ў адпаведнасьці з прэсьбітэрыянскай палітыкай.
non-physical-collection;['англіканства', 'англіканская царква'];Англіканства (па-ангельску: Anglicanism) — хрысьціянская царква, якая зьмяшчае Царкву Ангельшчыны й цэрквы, якія гістарычна зьвязаныя зь ёй ці маюць падобныя вераваньні, пакланеньні, практыкі й царкоўныя структуры.
non-physical-collection;['ідэальнае'];Ідэа́льнае –
non-physical-collection;['значэньне'];Значэньне — асацыятыўная сувязь паміж знакам і прадметам пазначэньня.
non-physical-collection;['сынтаізм', 'сінтаізм'];Сынтаізм (па-японску: 神道, «шлях багоў») — традыцыйная рэлігія Японіі, заснаваная на анімістычных вераваньнях старажытных японцаў, аб'ектамі глыбокай пашаны зьяўляюцца шматлікія бажаствы й духі памерлых.
non-physical-collection;['крэацыянізм'];Крэацыяні́зм (ад лац.
non-physical-collection;['дыялектычны матэрыялізм'];Дыялекты́чны матэрыялі́зм — мадэль, кірунак у філязофіі, які сьцьвярджае першапачатковую ролю матэрыі ў гнасэалягічным пляне.
non-physical-collection;['іслам'];Іслам (па-арабску: الإسلام‎, што значыць «пакорнасьць Боскай волі») — манатэістычная рэлігія, другая ў сьвеце па колькасьці прыхільнікаў.
non-physical-collection;['юдаізм', 'юдэй'];Юдаі́зм — адна з найстарэйшых монатэістычных рэлігіяў і найбольш старажытная з захаваных да цяперашняга часу.
non-physical-collection;['саліпсызм', 'саліпсізм'];Саліпсызм (ад лац.
non-physical-collection;['папулізм'];Папулі́зм (па-француску: popylisme ад лац.
non-physical-collection;['мэйнстрым'];Мэ́йнстрым (па-ангельску: mainstream — асноўная плынь) — пераважны кірунак у якой-небудзь галіне (навуковай, культурнай і інш.) для адпаведнага пэрыяду часу.
non-physical-collection;['хрысьціянства', 'хрысьціяне', 'хрысьціянін'];Хрысьція́нства — монатэістычная і абрамістычная рэлігія, заснаванай на жыцьці і вучэньні Ісуса Хрыста, прадстаўленыя ў кананічных эвангельлях і іншых новазапаветных пісаньнях.
non-physical-collection;['канфуцыянства'];Канфуцыянства — філязофская й этычная сыстэма, распрацаваная на вучэньні кітайскага філёзафа Канфуцыя.
non-physical-collection;['пратэстанцтва', 'пратэстант', 'пратэстанты', 'пратэстантызм'];Пратэста́нцтва, пратэстанты́зм (па-лацінску: protestans) — адзін з трох, нараўне з каталіцтвам і праваслаўем, галоўных кірункаў хрысьціянства, які ўяўляе сабой сукупнасьць шматлікіх і самастойных Цэркваў і дэнамінацыяў, зьвязаных сваім паходжаньнем з Рэфармацыяй — шырокім антыкаталіцкім рухам XVI стагодзьдзя ў Эўропе.
non-physical-collection;['кальвінізм', 'кальвіністы'];Кальвінізм — кірунак пратэстантызму, найболей выразна сфармуляваны францускім тэолягам і прапаведнікам Жанам Кальвінам.
non-physical-place;['склеп'];Склеп — гаспадарчае памяшканьне для захаваньня гародніны ў выглядзе паўзямлянкі.
non-physical-place;['маўзалей'];Маўзалей — манумэнт, пахавальнае збудаваньне, што ўключае ў сябе камэру з астанкамі памерлага, і часам памінальную залю.
non-physical-place;['магіла'];Магіла — месца пахаваньня мёртвага цела, часьцей чалавека.
non-physical-place;['бэнталь'];Бэнта́ль — дно вадаёма, заселенае арганізмамі, якія жывуць на грунце або ў яго тоўшчы.
non-physical-place;['біягеаграфічны рэгіён', 'эказона'];Біягеаграфі́чны рэгіё́н, альбо эказо́на — найбуйнейшая адзінка пры дзяленьні зямной паверхні на зоны ў адпаведнасьці з разьмеркаваньнем жывых арганізмаў.
non-physical-place;['мідгард', 'midgård'];Мі́дгард — «сярэдняя зямля» ў скандынаўскай міталёгіі, сьвет, населены людзьмі.
non-physical-place;['панна', 'дзева'];Па́нна — шосты знак задыяку, адпаведны сэктару экліптыкі ад 150° да 180°, калі лічыць ад пункту вясновага раўнадзенства.
