abstract-quality;['ஆளுமை'];ஆளுமை என்பது என்ன என்பது பற்றி உறுதியான எல்லோராலும் ஏற்றுக் கொள்ளப்பட்ட வரையறை இல்லை.
parameter;['முகடு', 'ஆகாரம்'];கணிதம் மற்றும் புள்ளியியலில், தரவின் முகடு அல்லது ஆகாரம் என்பது அத்தரவில் அடிக்கடி காணப்படும் மதிப்பாகும்.
parameter;['அதிர்வெண்', 'அலையெண்', 'அலைவுக்காலம்', 'அலைவெண்'];அதிர்வெண் அல்லது அலைவெண் என்பது ஒரு குறிப்பிட்ட நேர அலகிற்குள் எத்தனை முறை ஒரு சுழற்சி நிகழ்வு நிகழ்கிறது என்பதற்கான அளவையாகும்.
parameter;['பொன் விகிதம்', 'தங்க விகிதம்'];கணிதவியலிலும் கலையிலும் எவையேனும் இரு அளவுகளின் கூடுதலுக்கும் அவற்றில் பெரிய அளவுக்குமான விகிதமானது, பெரிய அளவுக்கும் சிறிய அளவுக்குமான விகிதத்திற்குச் சமமாக இருந்தால் அந்த இரு அளவுகளும் பொன் விகிதத்தில் அமைந்துள்ளன எனப்படுகின்றன.
parameter;['கதிர் ஏற்பளவு'];கதிர் ஏற்பளவு என்பது ஒரு பொருள் தன்னில் விழும் கதிர் வீச்சில் எவ்வளவு ஆற்றலை ஏற்றுள்ளது என்பதனைக் குறிக்கும்.
parameter;['சூரிய மாறிலி'];சூரிய மாறிலி என்பது பாய அடர்த்தி அளவீடு ஆகும்.
parameter;['இறப்பு வீதம்', 'இறப்பு விகிதம்'];இறப்பு வீதம் மக்கள்தொகையில் நிகழும் இறப்புக்களை அளவிடும் முறையாகும்.
parameter;['கருவள வீதம்', 'பிறப்பு வீதம்'];மக்கள்தொகையின் முழு கருவள வீதம், சுருக்கமாக கருவள வீதம், கால முழு கருவள வீதம் அல்லது முழு கால கருவள வீதம் என பலவாறு அழைக்கப்படும்1ASFRs2
parameter;['வெண் எகிர்சிதறல்', 'எதிரொளிதிறன்', 'albédo', 'ஆல்பேடோ', 'எதிரொளி திறன்', 'எதிரொளிப்புத் திறன்'];ஒரு பொருளின் வெண் எகிர்சிதறல் அல்லது எதிரொளி திறன் என்பது அதன் ஒளி பிரதிபலிப்புத் தன்மையாகும், இஃது உள்வரு மின்காந்த கதிர்வீச்சு மற்றும் பிரதிபலிக்கப்பட்ட கதிர்வீச்சின் விகிதம் எனக்கொள்ளப்படும்.
parameter;['சாரீரப்பதன்', 'தொடர்பு ஈரப்பதன்'];சாரீரப்பதன் எனப்படுவது வளிமண்டலத்தில் காணப்படும் நீராவியின் அளவிற்கும் நிரம்பிய நிலை நீராவியளவிற்கும் இடையயிலான விகிதமாகும்.
parameter;['குவிய விகிதம்'];ஒளியியலில், குவிய விகிதம் என்பது, ஒளியியல் தொகுதி ஒன்றின் நுழைவுத் துளைக்கும், வில்லையின் குவியத் தூரத்துக்கும் இடையிலான விகிதம் ஆகும்.
parameter;['இயந்திரப் பயன்'];இயந்திரப் பயன் அல்லது இயந்திர லாபம் என்பது ஒரு இயந்திரத்தின் மீது செலுத்தப்படும் விசைக்கும் அது நகர்த்தும் எடைக்கும் உள்ள தகவு ஆகும்.
parameter;['நிகழ்வெண்'];புள்ளியியலில் ஒரு நிகழ்ச்சியின் நிகழ்வெண் என்பது எடுத்துக்கொள்ளப்பட்ட சமவாய்ப்புச் சோதனையின் போது அந்நிகழ்ச்சி எத்தனை முறை நடைபெறுகிறது என்பதைக் குறிக்கும் எண்ணாகும்.
parameter;['மாக் எண்', 'மக் எண்', 'மேக் எண்'];பாய்ம இயக்கவியலில் மாக் எண் அல்லது மேக் எண் என்பது வளியினூடாக அல்லது ஏதாவதொரு பாய்ம ஊடகத்தினூடாகச் செல்லும் ஒரு பொருளின் வேகத்தை அதே ஊடகத்தில் ஒலியின் வேகத்தால் வகுக்க வரும் எண்ணாகும்.
parameter;['ஒளிவிலகல் குறிப்பெண்', 'ஒளிவிலகல் எண்', 'ஒளிவிலகல் குறிப்பான்', 'ஒளிவிலகல் சுட்டெண்'];ஓர் ஊடகத்தின் ஒளிவிலகல் குறிப்பான் அல்லது ஒளிவிலகலின் குறிப்பான் என்பது ஒரு ஊடகத்திற்குள்ளாக ஒளியின் வேகம் எவ்வாறு குறைக்கப்படுகிறது என்பதற்கான அளவீடாகும்.
parameter;['இறக்கைபாரம்'];காற்றியக்கவியலில் இறக்கைபாரம் என்பது முழு வானூர்தியின் எடையை வானூர்தியின் இறக்கைப் பரப்பளவால் வகுக்கக் கிடைப்பதாகும்.
parameter;['உருவ விகிதம்'];படிமம் ஒன்றின் உருவ விகிதம் என்பது அப் படிமத்தின் அகலம், உயரம் என்பவற்றுக்கு இடையிலான தொடர்பை விளக்குகிறது.
parameter;['விகிதம்'];விகிதம் என்பது இரண்டு எண்களுக்கு இடையில் உள்ள உறவினை குறிக்கும்.
parameter;['பரவற்படி', 'மாறுபாட்டெண்'];புள்ளியியல் மற்றும் நிகழ்தகவுக் கோட்பாட்டில் பரவற்படி அல்லது மாறுபாட்டெண் என்பது, ஒரு எண்தரவு எந்தளவு பரந்து கிடக்கிறது என்பதை அளவிடுகிறது.
parameter;['ஒளியின் வேகம்', 'ஒளி வேகம்', 'ஒளியின் திசைவேகம்', 'ஒளிவேகம்'];வெற்றிடம் ஒன்றில் ஒளியின் வேகம் என்பது இயற்பியலில் ஒரு அடிப்படை மாறிலி.
parameter;['நியமவிலகல்', 'சராசரி அகற்சி', 'திட்ட விலக்கம்', 'திட்டவிலக்கம்', 'நியமச்சாய்வு'];புள்ளியியல் மற்றும் நிகழ்தகவுக் கோட்பாட்டில், நியமவிலகல் அல்லது திட்ட விலக்கம் என்பது, ஒரு தரவிலுள்ள ஒவ்வொரு மதிப்பும் அத்தரவின் சராசரி மதிப்பிலிருந்து எவ்வளவு விலகி உள்ளது என்பதைக் கணிப்பதாகும்.
parameter;['குழந்தைப்பருவம்'];குழந்தைப்பருவம் என்பது பிறப்பு முதல் விடலைப்பருவம் உள்ள காலம் ஆகும்.
parameter;['துப்புரவு', 'துப்பரவு'];துப்புரவு என்பது கழிவுகளையும், பேரிடர் பொருள்களையும் முறையாக மேலாண்மை செய்து நலத்தை ஊக்குவிக்கப் பயன்படும் செயலேற்பாடுகள் ஆகும்.
parameter;['எதிர்வுப் பெறுமதி', 'சராசரி', 'எதிர்பார்ப்பு மதிப்பு', 'சராசரி மதிப்பு'];நிகழ்தகவு கோட்பாட்டில், ஒரு எழுமாற்று மாறியின் எதிர்வுப் பெறுமதி என்பது எழுமாற்று மாறி எடுக்கக்கூடிய அனைத்து சாத்தியமான பெறுமானங்களினதும் எடையிடப்பட்ட சராசரி ஆகும்.
parameter;['சுற்றுக்காலம்'];சுற்றுக்காலம் என்பது ஒரு கோள் தன் சுற்றுப்பாதையை முழுமையாய் சுற்றி வர ஆகும் கால அளவாகும்.
parameter;['அரையிருள்'];அரையிருள் அல்லது மாலை இருள் அல்லது கருக்கல் என்பது மெல்லொளியின் கரிய நிலைச் செயற்பாடாகும்.
parameter;['ஏர்ட்சு', 'எர்ட்சு', 'ஹெர்ட்ஸ்', 'ஹேர்ட்ஸ்', 'மெகா ஏர்ட்சு', 'மெகாஹெர்ட்சு'];ஏர்ட்சு அதிர்வெண்ணை அளக்கும் அலகாகும்.
parameter;['இடைநிலையளவு', 'இடையம்'];கணிதம் மற்றும் புள்ளியியலில், இராசிகளின் இடைநிலையளவு அல்லது இடையம் என்பது இராசிகளை ஏறு அல்லது இறங்கு வரிசையில் வரிசைப்படுத்தினால் நடுவில் உள்ள இராசியைக் குறிக்கும்.
parametrized-collection;['கத்தோலிக்க செபமாலை', 'ஒளியின் மறை உண்மைகள்', 'செபமாலை', 'துயரம் நிறை மறை உண்மைகள்', 'மகிமை நிறை மறை உண்மைகள்', 'மகிழ்ச்சி நிறை மறை உண்மைகள்', 'மறை உண்மைகள்'];கத்தோலிக்க செபமாலை என்பது கத்தோலிக்கரின் பக்தி முயற்சிகளுள் ஒன்றாகும்.
phenomenon;['மீளாக்கம்', 'புத்துயிர்ப்பு'];உயிரியலில் மீளாக்கம் அல்லது மீளுருவாக்கம் அல்லது புத்துயிர்ப்பு என்பது உயிர்கள் தமது பாதிக்கப்பட்ட அல்லது துண்டிக்கப்பட்ட உறுப்புகளைத் தாமாகப் புதுப்பித்துக் கொள்ளும் நிகழ்வு ஆகும்.
phenomenon;['வேதியியற் தாக்கம்', 'வேதி வினை', 'இரசாயனத் தாக்கம்', 'வேதிவினை', 'வேதியியல் வினை'];வேதி வினை என்பது வேதிப்பொருட்களின் ஒரு தொகுதி வேறு வேதிபொருட்களின் தொகுதியாக மாற்றம் அடையும் செயல்முறை வேதிவினை எனப்படும்.
phenomenon;['பொருட்களின் நிலை'];பொருட்களின் நிலை என்பது ஒரு பொருள் காணப்படக்கூடிய பல்வேறு நிலைகளுள் ஒன்றைக் குறிக்கும்.
phenomenon;['உணவுச் சங்கிலி'];உணவுச் சங்கிலி என்பது, ஒரு குறிப்பிட்ட வாழ்சூழலில் உள்ள உயிரினங்களுக்கு இடையிலான உணவுத் தொடர்பினை விளக்கும் எளிய சங்கிலித் தொடர்பு.
phenomenon;['நுகர்வு'];பொருளியலில் நுகர்வு என்பது, பண்டங்களினதும், சேவைகளினதும் பயன் பெறுதற்குரிய இறுதிப் பயன்பாட்டைக் குறிக்கும்.
phenomenon;['நியூட்டனின் மூன்றாம் விதி'];நியூட்டனின் மூன்றாவது விதியானது "ஒவ்வொரு வினைக்கும் அதற்கு இணையான எதிர் வினை உண்டு." கூறுகின்றது.
phenomenon;['சூறாவளி', 'புயல்'];சூறாவளி பூமியைப் போல் ஒரே திசையில் சுற்றும் அடர்த்தியான, உருண்டையான நிலையற்ற இயக்கத்தைக் கொண்ட பரப்பு என்று வானிலையியல் கூறுகிறது..
phenomenon;['நிலை'];இயற்பு அறிவியல்களில், நிலை என்பது ஒரு வேதித் தொகுதியில் உள்ள ஒரு பொருளின் இயற்பியல் இயல்புகள் சீராக இருக்கும் ஒரு கட்டம் ஆகும்.
phenomenon;['பிளாஸ்மா', 'பிளாசுமா', 'அயனிமம்'];அயனிமம் அல்லது பிளாஸ்மா
phenomenon;['வலிகுறை இடைவினை', 'மெலிய கரு விசை'];துகள் இயற்பியலில் வலிகுறை இடைவினை என்பது, இயற்கையின் நான்கு அடைப்படை இடைவினைகளுள் ஒன்று.
phenomenon;['ஒளி', 'ஒளி அலைகள்', 'ஒளியலை', 'கட்புலனாகும் ஒளி', 'ஜோதி'];ஒளி என்பது கண்களுக்குப் புலப்படும் அலைநீளம் கொண்ட மின்காந்த அலைகள் என்று வரையறுக்கப்படுகின்றன.
phenomenon;['தகைவு', 'தகைப்பு'];தகைவு என்பது ஒரு பொருளின் வடிவத்தை மாற்றவோ அல்லது உடைக்கவோ செய்யும் ஓரலகு பரப்பளவு மீது செயற்படும் விசை ஆகும்.
phenomenon;['வலிய இடைவினை', 'வலிய கரு விசை'];துகள் இயற்பியலில் வலிய இடைவினை என்பது, இயற்கையின் நான்கு அடைப்படை இடைவினைகளுள் ஒன்று.
phenomenon;['வலு', 'சக்தி', 'திறன்'];இயற்பியலில், காலத்தால் வேலையை செய்யும் அல்லது ஆற்றும் விரைவைக் குறிக்கும்.
phenomenon;['நிலைமம்', 'சடத்துவம்'];நிலைமம் அல்லது சடத்துவம் என்பது ஒரு துணிக்கையின் இயக்க நிலையில் நேரும் மாற்றங்களுக்கு எதிராக அப்பொருள் கொண்டுள்ள உள்ளீடான தடுப்பாற்றல் எனக்கொள்ளலாம்.
phenomenon;['அடிப்படை விசைகள்'];அடிப்படை விசைகள் என்பவை நான்கு என அறிவியல் அறிஞர்கள் கருதுகின்றனர்.
phenomenon;['ஐதரசன் பிணைப்பு', 'ஹைட்ரஜன் பிணைப்பு'];ஐதரசன் பிணைப்பு என்பது மூலக்கூறின் சகப்பிணைப்பில் உள்ள ஐதரசன் அணுவிற்கும் வேறொரு வேதி வினைக்குழு அல்லது மூலக்கூற்றிலுள்ள நைட்ரசன், ஆக்சிசன் அல்லது புளோரின் போன்ற அதிக எதிர்மின்ம அணுவிற்கும் இடையே நிகழும் இருமுனை-இருமுனை கவர்ச்சிவிசை காரணமாக உருவாகும் பிணைப்பு ஆகும்.
phenomenon;['சகப் பிணைப்பு', 'இணைப் பிணைப்பு', 'பகிர் பிணைப்பு', 'பகிர்பிணைப்பு', 'பங்கீட்டுப் பிணைப்பு', 'சகப்பிணைப்பு', 'பங்கீட்டு வலுப் பிணைப்பு', 'பங்கீட்டுவலுப் பிணைப்பு'];சகப் பிணைப்பு அல்லது பங்கீட்டு வலுப்பிணைப்பு என்பது இரு அணுக்கள் எலக்ட்ரான்களை சமமாக வழங்கி சமமாகப் பகிர்ந்து கொள்வதால் உருவாகும் பிணைப்பு ஆகும்.
phenomenon;['நொதித்தல்', 'நொதிப்பு'];நொதிப்பு அல்லது நொதித்தல் என்பது காபோவைதரேட்டுக்களை அமிலம் அல்லது ஆல்ககோல் ஆக மாற்றும் செயல்முறையாகும்.
phenomenon;['வெப்பம் கொள் செயல்முறை'];வெப்பம் கொள் செயல்முறை என்பது சூழலில் இருந்து ஆற்றலை உள்ளிழுத்துக் கொள்ளும் ஒரு செயல்முறை அல்லது வேதிவினையைக் குறிக்கும்.
phenomenon;['வெப்பம் விடு வினை', 'புறவெப்பத் தாக்கம்'];ஒரு வேதியியல் தாக்கம் வெப்பத்தை வெளியிட்டபடி நடைபெறுமாயின் அது வெப்பம் விடு வினை அல்லது புறவெப்பத்தாக்கம் எனப்படும்.
phenomenon;['வேதியியற் சமநிலை'];வேதியியற் சமநிலை என்பது, ஒரு வேதியியற் தாக்கத்தின்போது, தாக்கத்தில் ஈடுபடும் வினைபொருட்களும், வினைபடு பொருட்களும், ஒரே செறிவு நிலையில் மாற்றமின்றி இருக்கும் நிலையைக் குறிக்கும்.
phenomenon;['நீராற்பகுத்தல்'];ஒரு பொருளின் மீது நீரேற்றரம் செய்யபடும் வினைக்கு நீராற்பகுத்தல் என்று பெயர்.ஒரு உப்பை நீரேற்றரம் செய்யபடும் வினையும் நீராற்பகுத்தல்.ஒரு எத்தில்குளோரைடு காரத்தின் முன்னிலையில் நீராற்பகுக்கும்போது எத்தில்ஆல்கஹால் உருவாகிறது.ஒரு எஸ்டரைஅமிலத்தின் முன்னிலையில் நீராற்பகுக்கும்போது ஆல்கஹால் மற்றும் அமிலம் உருவாகிறது.எ.கா சுக்ரோஸ் நீராற்பகுக்கும்போது குளுகோக்கோஸ்மற்றும் பிரக்டோசாக மாறுகிறது .இதற்கு நீராற்பகுத்தல் என்று பெயர்.
phenomenon;['புகை'];புகை என்பது எரிக்கப்படும் எரிபொருள் முழுமையாக எரியாததன் விளைவாக ஏற்படுவதாகும்.
phenomenon;['பணவாட்டம்', 'பணச்சுருக்கம்'];பொருளாதாரத்தில் பணவாட்டம் என்பது பண்டங்கள் மற்றும் பணிகளின் விலை நிலைகள் பொதுவாகக் குறைந்தே காணப்படும் நிலை ஆகும்.
phenomenon;['திரள் கார்முகில்'];திரள் கார்முகில் என்பவை மிகவும் உயரமான, அடர்த்தியான மேக வகையாகும்.
phenomenon;['பகுத்தறிவுமயமாதல்'];சமூகவியலில், பகுத்தறிவுமயமாதல் என்பது, சமூகத்தில் நடத்தைகளை ஊக்குவிப்பனவான மரபுகள், விழுமியங்கள், உணர்வுகள் ஆகியவற்றை பகுத்தறிவு, காரண ஆய்வு என்பன சார்ந்த கருத்துருக்களால் மாற்றீடு செய்வதைக் குறிக்கிறது.
phenomenon;['வண்டல் விசிறி'];வண்டல் விசிறி அல்லது வண்டல் விசிறிக்குவியல் என்பது ஆற்று நீரோட்டத்தால் ஏற்படும் நில வடிவமைப்பாகும்.
phenomenon;['ஈர்ப்புப் புலம்'];ஈர்ப்புப் புலம் என்பது இரு நிறைகள் ஒரு குறிப்பிட்ட தொலைவினால் பிரிக்கப்பட்டுள்ளபோது, ஒன்று மற்றொன்றின் மீது ஈர்ப்பியல் விசையைச் செயல்படுத்துகின்றது.
phenomenon;['மின்புலம்'];மின் தன்மைகளில் இரண்டு வகைகள் உள்ளன.
phenomenon;['மின்னோட்டம்', 'மின்னோட்டவியல்'];மின்னோட்டம் அல்லது ஓட்ட மின்சாரம் என்பது நகரும் மின்னூட்டமே ஆகும்.
phenomenon;['நின்றொளிர்தல்'];நின்றொளிர்தல் என்பது உடனொளிர்தலிருந்து சற்று மாறுபட்டது.
phenomenon;['மின்சாரம்', 'மிண்சாரம்', 'மின்னியல்'];மின்சாரம் என்பது மின்னூட்டத்துடன் தொடர்புடைய இயற்பியல் நிகழ்வாகும்.
phenomenon;['வெப்பம்'];இயற்பியல், வேதியியல், பொறியியல், வெப்பஇயக்கவியலில், வெப்பம் என்பது ஒருவகை ஆற்றல் ஆகும்..</ref> இது வேலை தவிர்த்த வேறு எந்த வழியில் உற்பத்திசெய்யக்கூடிய அல்லது மற்றொரு உடல், பிராந்தியம், அல்லது வெப்பவியக்கவியல் அமைப்பிற்கு மாற்றப்படக்கூடிய ஆற்றலாக உள்ளது.
phenomenon;['பணவீக்கம்', 'பண வீக்கம்'];பொருளாதாரத்தில் பண வீக்கம் என்பது சந்தையிலுள்ள பொருட்களின் பொதுவான விலை உயர்வால், அந்த நாட்டின் நாணயத்தின் பொருட்களை வாங்கும் திறன் உள்நாட்டுச் சந்தையில் குறைந்து போவதை குறிக்கும்.
phenomenon;['குவி மேகம்', 'திரள் மேகம்'];குவி மேகம் அல்லது திரள் மேகம் என்பது பூமியின் மேல் பகுதியிலிருந்து 400 கிலோ மீற்றர்கள் முதல் 1000 கிலோ மீற்றர்கள் உயரத்தில் குவியல் குவியலாக காணப்படும் மேகக்கூட்டம் ஆகும்.
phenomenon;['முகிற்பேழ் மழை', 'மேக வெடிப்பு'];முகிற்பேழ் மழை என்பது சில நிமிடங்களில் மிக அதிக அளவிலான மழை பொழிவாகும்.
phenomenon;['அதிவேகக் காற்றுப்புனல்'];அதிவேகக் காற்றுப்புனல் என்பது சில கோள்களின் வளிமண்டலத்தில் குறுகலாக வளைந்து வளைந்து வெகு வேகமாக செல்லக்கூடிய காற்றோட்டமாகும்.
phenomenon;['உயிர்த்தோற்றவியல்', 'உயிரிலித் தோற்றம்', 'சடப்பிறப்பு', 'உயிரிலிவழிப்பிறப்பு', 'உயிர்களின் தோற்றம்', 'உயிர்த் தோற்றம்', 'உயிர்த்தோற்றம்'];உயிர்த்தோற்றவியல் அல்லது உயிர்களின் தோற்றம் என்பது வாழ்வற்ற பொருளிடமிருந்து எவ்வாறு முதன்முதலாக உயிர் வடிவங்கள் தோன்றின என்பதைக் குறித்தான கல்வி ஆகும்.
phenomenon;['படை முகில்', 'stratus'];படை முகில் என்பது கீழ்ப்படைக்குரிய ஒருமுகில்வகை ஆகும்.
phenomenon;['சுழல் காற்று', 'சூறாவளி', 'tornado', 'குழல் காற்று', 'கொடுங்குழல் காற்று', 'டொர்னாடோ'];சுழல் காற்று என்பது மின்னலையும், இடியையும் தோற்றுவிக்கக்கூடிய முகிலொன்றின் உட்பகுதியிலிருந்து தொடங்கி நிலமட்டம் வரை நீட்சியடைந்த, கூடிய வேகத்துடன் சுழல்கின்ற வளிநிரல் ஆகும்.
phenomenon;['சர்க்கரைச் சிதைவு', 'கிளைகோப்பகுப்பு', 'கிளைகோலைஸிஸ்', 'குளுக்கோசு சிதை வினை', 'கிளைக்கோபகுப்பு'];சர்க்கரைச் சிதைவு என்பது வளர்சிதை மாற்ற வழிமுறை ஆகும், இது குளுக்கோஸ், C6H12O6 ஐ, பைருவேட், CH3COCOO− + H+ ஆக மாற்றுகிறது.
phenomenon;['இயற்கைத் தேர்வு', 'இயற்கைத் தேர்வுக் கோட்பாடு'];இயற்கைத் தேர்வு என்பது சுற்றுச்சூழலின் பண்புகளைப் பொறுத்து ஒரு சனத்தொகையின் குறிப்பிட்ட உயிரியல் குணவகைகள், மற்றும் மரபியல் குணவகைகளை ஆதாரமாகக் கொண்டு, அந்தக் குறிப்பிட்ட சனத்தொகை பெரும்பான்மையாகவோ அல்லது சிறுபான்மையாகவோ மாறும் ஒரு இயற்கையான நிகழ்முறை.
phenomenon;['நாரீனிச்சிதைவு'];நாரீனிச்சிதைவு என்னும் செயற்பாடு குருதி உறைகட்டிகள் வளர்ந்து சிக்கல்களை உருவாக்காமல் தடுக்கிறது.
phenomenon;['அணுக்கரு பிளவு', 'அணுக்கரு பிளப்பு', 'அணுக்கருப் பிளவு'];அணுக்கரு பிளவு அணுக்கரு வினையாலோ அல்லது கதிரியக்கச் சிதைவாலோ ஏற்படலாம்.
phenomenon;['அணுக்கரு இணைவு', 'அணுக்கரு சேர்க்கை', 'அணுக்கரு பிணைவு', 'அணுக்கருப் பிணைவு', 'அணுப்பிணைவு'];அணுக்கரு இயற்பியல் மற்றும் அணுக்கரு வேதியியலில் அணுக்கரு இணைவு அல்லது அணுக்கருப் பிணைவு என்பது வலிமையான அணுவின் மையக்கருவை உருவாக்குவதற்கு ஒத்த மின்சுமையுடைய அணுக்கருக்களை ஒன்றாக இணைக்கும் செயல்பாட்டைக் குறிப்பதாகும்.
phenomenon;['கோளப் பிறழ்ச்சி'];கோளப் பிறழ்ச்சி என்பது கோள ஆடியில் அல்லது வளைபரப்பாடியில் ஒளிக்கதிர்கள் விழும் போது எல்லாக் கதிர்களும் ஒரே புள்ளியில் குவியாமல் ஒன்றிற்கு மேற்பட்ட குவியங்களைக் கொடுப்பதைக் குறிக்கும்.
phenomenon;['நுண்புழை நுழைவு', 'நுண்புழை'];நுண்புழைக் குழாயில் நீர்மம் நுழைவதை நுண்புழை நுழைவு என்கிறோம்.
phenomenon;['பரப்பு இழுவிசை', 'மேற்பரப்பு இழுவிசை', 'மேற்பரப்பிழுவிசை'];மேற்பரப்பு இழுவிசை என்பது நீர்மத்தின் மேற்பரப்பு புறவிசையை எதிர்க்கின்ற பண்பு.
phenomenon;['சிறுமுரண் இரும்பியக் காந்தவியல்'];சிறுமுரண் இரும்பியக் காந்தவியல் என்பது சில திண்மப் பொருள்களில் காணப்படும் ஒருவகையான மென்மையான நிலைக்காந்தவியல்.
phenomenon;['ஒளியியல் தோற்றப்பாடு'];ஒளி, பொருளுக்கு இடையிலான இடைத்தாக்கத்தினால் தோன்றும் அவதானிக்கப்படக்கூடிய நிகழ்வு, அல்லது தோற்றப்பாடு ஒளியியல் தோற்றப்பாடு எனப்படும்.
phenomenon;['தகனம்', 'எரிதல்'];எரிதகவுள்ள பொருட்கள் தகனத் துணை வாயுவான ஒக்சிசன் முன்னிலையில் எரிந்து வெப்பத்தையும் வெளிச்சத்தையும் வெளிவிடல் தகனம் எனப்படும்.
phenomenon;['நொதித்தல்', 'நொதிப்பு'];நொதிப்பு அல்லது நொதித்தல் என்பது காபோவைதரேட்டுக்களை அமிலம் அல்லது ஆல்ககோல் ஆக மாற்றும் செயல்முறையாகும்.
phenomenon;['பல்லுறுப்பாக்கல்'];பல்லுறுப்பு வேதியியலில், ஒற்றைப்படி மூலக்கூறுகள் பல ஒன்றிணைந்து, வேதியியற் தாக்கத்தில் ஈடுபட்டு, பல்லுறுப்புச் சங்கிலித்தொடர்களை உருவாக்கும் செயல்முறையைப் பல்லுறுப்பாக்கல் அல்லது பலபடியாக்கல் என்று அழைக்கலாம்.
phenomenon;['அணுக்கருத் தாக்கம்', 'அணுக்கருத்தாக்கம்', 'அணுக்கரு வினைகள்'];அணுக்கரு இயற்பியல் மற்றும் அணுக்கரு வேதியியலில் அணுக்கருத்தாக்கம் என்பது இரு அணுக்கருக்களோ அல்லது அணுவுக்கு வெளியிலிருந்தான உப துகளும் ஓர் அணுக்கருவும் மோதி ஆரம்ப துகளிலிருந்து மாறுபட்ட விளைவைத்தரும் செயன்முறையாகும்.
phenomenon;['வண்ணப்படிவுப் பிரிகை'];வண்ணப்படிவுப் பிரிகை என்பது கலவைகளைப் பிரிப்பதற்கான ஒரு வகை தொழில்நுட்பத்தின் பொதுவான பதமாகும்.
phenomenon;['விக்கல்'];விக்கல் ஓர் அனிச்சை செயல் ஆகும்.
phenomenon;['கடத்தி அலை'];மின்காந்த அலையின் ஒரு பகுதி கடத்தி அலை ஆகும்.
phenomenon;['ஏப்பம்', 'ஏவறை'];ஏப்பம் அல்லது ஏவறை என்பது செரிமானப் பாதையிலிருந்து வாய் வழியாக காற்று வெளியேறுவது ஆகும்.
phenomenon;['ஆக்சிசனேற்ற மற்றும் ஆக்சிசனிறக்க வேதி வினைகள்', 'குறைத்தல்', 'ஒடுக்க-ஏற்ற வேதிவினைகள்', 'ஆக்சிசனிறக்கம்', 'ஆக்சிசனேற்ற மற்றும் ஒடுக்க வேதி வினைகள்', 'ஆக்சிசனேற்ற மற்றும் ஒடுக்க வேதிவினைகள்', 'ஆக்சிசனேற்றம்'];ஆக்சிசனேற்ற மற்றும் ஒடுக்க வினைகள் என்பது ஒரு வேதிவினை வகை ஆகும்.
phenomenon;['பருவப் பெயர்ச்சிக் காற்று', 'பருவகாலம்', 'பருவக்காற்று', 'பருவமழை', 'வடகிழக்கு பருவமழை'];பருவப்பெயர்ச்சிக் காற்று என்பது நிலத்திற்கும் கடலிற்கும் இடையேயுள்ள வெப்பநிலை வேறுபாட்டினால் பருவந்தோறும் உருவாகும் காற்றுப்பெயர்ச்சி ஆகும்.
phenomenon;['எதிர்பால்சேர்க்கை', 'எதிர்பாலுணர்ச்சி'];எதிர்பாலினத்தவருக்கிடையே இடம்பெறும் ஈர்ப்பு அல்லது உடலுறவு எதிர்பாலீர்ப்பு அல்லது எதிர்பால்சேர்க்கை.
phenomenon;['தற்பால்சேர்க்கை', 'ஓரினச்சேர்க்கை', 'ஒருபாலுறவு', 'சமபாலுறவு', 'சமப்பாலுறவு', 'தன்னினச் சேர்க்கை', 'தன்னினச்சேர்க்கை'];ஓரினச்சேர்க்கை, தற்பால்சேர்க்கை, ஒருபாலீர்ப்பு அல்லது தன்பாலீர்ப்பு என்பது ஆணுக்கும் ஆணுக்குமிடையே அல்லது பெண்ணும் பெண்ணுக்குமிடையே ஏற்படும் பாலியல் ஈர்ப்பு அடிப்படையிலான உறவைக் குறிக்கும்.
phenomenon;['அங்குல்', 'அங்குல் எழுத்துமுறை'];அங்குல் என்பது கொரிய மொழியின் தாயக எழுத்துமுறை ஆகும்.
phenomenon;['நெருப்புப்புயல்', 'தீச்சூறாவளி'];தனக்காக தனியே ஒரு காற்றுத்தொகுதியை உருவாக்கி அவற்றை பராமரித்து நிலைநிறுத்திக் கொள்ளக்கூடிய பெரும் தீக்கள் நெருப்புப்புயல் அல்லது தீச்சூறாவளி என்றழைக்கப்படுகின்றன.
phenomenon;['இடிமழை', 'இடியுடன் கூடிய மழை'];. இடிமழை எனப்படுவது புவி வளிமண்டலத்தில் இடி அல்லது மின்னலுடன் கூடிய மழையைக் குறிக்கும்.
phenomenon;['சூரியக் காற்று'];சூரியக் காற்று என்பது சூரியனின் மேல் வளிமண்டலத்திலிருந்து வெளியேறும் ஏற்றமுள்ள துணிக்கைகளின் கூட்டம் ஆகும்.
phenomenon;['சூரிய நடுக்கம்', 'சூரிய சூறாவளி'];சூரிய நடுக்கம்
phenomenon;['தும்மல்'];தும்மல், காற்று தவிர வேறு எந்த வெளிப் பொருளும் மூக்கில் நுழைந்தால், நமது மூக்கு அதை அனுமதிக்க மறுக்கிறது.
